date,SPXL_unscaled,SPXL_monthly,isPartial,scale,SPXL
2016-07-29,16,6.0,,0.06,0.96
2016-07-30,0,6.0,,0.06,0.0
2016-07-31,0,6.0,,0.06,0.0
2016-08-01,0,4.0,False,0.04,0.0
2016-08-02,24,4.0,,0.04,0.96
2016-08-03,25,4.0,,0.04,1.0
2016-08-04,100,4.0,,0.04,4.0
2016-08-05,0,4.0,,0.04,0.0
2016-08-06,0,4.0,,0.04,0.0
2016-08-07,0,4.0,,0.04,0.0
2016-08-08,75,4.0,,0.04,3.0
2016-08-09,50,4.0,,0.04,2.0
2016-08-10,51,4.0,,0.04,2.04
2016-08-11,53,4.0,,0.04,2.12
2016-08-12,26,4.0,,0.04,1.04
2016-08-13,29,4.0,,0.04,1.16
2016-08-14,30,4.0,,0.04,1.2
2016-08-15,0,4.0,,0.04,0.0
2016-08-16,0,4.0,,0.04,0.0
2016-08-17,0,4.0,,0.04,0.0
2016-08-18,0,4.0,,0.04,0.0
2016-08-19,0,4.0,,0.04,0.0
2016-08-20,0,4.0,,0.04,0.0
2016-08-21,0,4.0,,0.04,0.0
2016-08-22,52,4.0,,0.04,2.08
2016-08-23,51,4.0,,0.04,2.04
2016-08-24,51,4.0,,0.04,2.04
2016-08-25,48,4.0,,0.04,1.92
2016-08-26,25,4.0,,0.04,1.0
2016-08-27,0,4.0,,0.04,0.0
2016-08-28,28,4.0,,0.04,1.12
2016-08-29,24,4.0,,0.04,0.96
2016-08-30,0,4.0,,0.04,0.0
2016-08-31,0,4.0,,0.04,0.0
2016-09-01,0,6.0,False,0.06,0.0
2016-09-02,20,6.0,,0.06,1.2
2016-09-03,0,6.0,,0.06,0.0
2016-09-04,24,6.0,,0.06,1.44
2016-09-05,0,6.0,,0.06,0.0
2016-09-06,0,6.0,,0.06,0.0
2016-09-07,0,6.0,,0.06,0.0
2016-09-08,19,6.0,,0.06,1.14
2016-09-09,100,6.0,,0.06,6.0
2016-09-10,0,6.0,,0.06,0.0
2016-09-11,22,6.0,,0.06,1.3199999999999998
2016-09-12,76,6.0,,0.06,4.56
2016-09-13,58,6.0,,0.06,3.48
2016-09-14,19,6.0,,0.06,1.14
2016-09-15,78,6.0,,0.06,4.68
2016-09-16,20,6.0,,0.06,1.2
2016-09-17,0,6.0,,0.06,0.0
2016-09-18,22,6.0,,0.06,1.3199999999999998
2016-09-19,57,6.0,,0.06,3.42
2016-09-20,19,6.0,,0.06,1.14
2016-09-21,38,6.0,,0.06,2.28
2016-09-22,59,6.0,,0.06,3.54
2016-09-23,40,6.0,,0.06,2.4
2016-09-24,47,6.0,,0.06,2.82
2016-09-25,0,6.0,,0.06,0.0
2016-09-26,38,6.0,,0.06,2.28
2016-09-27,39,6.0,,0.06,2.34
2016-09-28,19,6.0,,0.06,1.14
2016-09-29,58,6.0,,0.06,3.48
2016-09-30,60,6.0,,0.06,3.5999999999999996
2016-10-01,0,5.0,False,0.05,0.0
2016-10-02,0,5.0,,0.05,0.0
2016-10-03,20,5.0,,0.05,1.0
2016-10-04,60,5.0,,0.05,3.0
2016-10-05,59,5.0,,0.05,2.95
2016-10-06,40,5.0,,0.05,2.0
2016-10-07,82,5.0,,0.05,4.1000000000000005
2016-10-08,24,5.0,,0.05,1.2000000000000002
2016-10-09,0,5.0,,0.05,0.0
2016-10-10,0,5.0,,0.05,0.0
2016-10-11,61,5.0,,0.05,3.0500000000000003
2016-10-12,41,5.0,,0.05,2.0500000000000003
2016-10-13,0,5.0,,0.05,0.0
2016-10-14,63,5.0,,0.05,3.1500000000000004
2016-10-15,0,5.0,,0.05,0.0
2016-10-16,0,5.0,,0.05,0.0
2016-10-17,20,5.0,,0.05,1.0
2016-10-18,100,5.0,,0.05,5.0
2016-10-19,41,5.0,,0.05,2.0500000000000003
2016-10-20,61,5.0,,0.05,3.0500000000000003
2016-10-21,21,5.0,,0.05,1.05
2016-10-22,0,5.0,,0.05,0.0
2016-10-23,24,5.0,,0.05,1.2000000000000002
2016-10-24,0,5.0,,0.05,0.0
2016-10-25,0,5.0,,0.05,0.0
2016-10-26,20,5.0,,0.05,1.0
2016-10-27,60,5.0,,0.05,3.0
2016-10-28,21,5.0,,0.05,1.05
2016-10-29,24,5.0,,0.05,1.2000000000000002
2016-10-30,24,5.0,,0.05,1.2000000000000002
2016-10-31,20,5.0,,0.05,1.0
2016-11-01,0,5.0,False,0.05,0.0
2016-11-02,0,5.0,,0.05,0.0
2016-11-03,0,5.0,,0.05,0.0
2016-11-04,26,5.0,,0.05,1.3
2016-11-05,31,5.0,,0.05,1.55
2016-11-06,15,5.0,,0.05,0.75
2016-11-07,86,5.0,,0.05,4.3
2016-11-08,36,5.0,,0.05,1.8
2016-11-09,100,5.0,,0.05,5.0
2016-11-10,13,5.0,,0.05,0.65
2016-11-11,26,5.0,,0.05,1.3
2016-11-12,0,5.0,,0.05,0.0
2016-11-13,15,5.0,,0.05,0.75
2016-11-14,12,5.0,,0.05,0.6000000000000001
2016-11-15,13,5.0,,0.05,0.65
2016-11-16,13,5.0,,0.05,0.65
2016-11-17,51,5.0,,0.05,2.5500000000000003
2016-11-18,0,5.0,,0.05,0.0
2016-11-19,0,5.0,,0.05,0.0
2016-11-20,0,5.0,,0.05,0.0
2016-11-21,13,5.0,,0.05,0.65
2016-11-22,0,5.0,,0.05,0.0
2016-11-23,0,5.0,,0.05,0.0
2016-11-24,0,5.0,,0.05,0.0
2016-11-25,0,5.0,,0.05,0.0
2016-11-26,0,5.0,,0.05,0.0
2016-11-27,0,5.0,,0.05,0.0
2016-11-28,34,5.0,,0.05,1.7000000000000002
2016-11-29,47,5.0,,0.05,2.35
2016-11-30,36,5.0,,0.05,1.8
2016-12-01,0,3.0,False,0.03,0.0
2016-12-02,100,3.0,,0.03,3.0
2016-12-03,0,3.0,,0.03,0.0
2016-12-04,0,3.0,,0.03,0.0
2016-12-05,22,3.0,,0.03,0.6599999999999999
2016-12-06,0,3.0,,0.03,0.0
2016-12-07,24,3.0,,0.03,0.72
2016-12-08,0,3.0,,0.03,0.0
2016-12-09,26,3.0,,0.03,0.78
2016-12-10,31,3.0,,0.03,0.9299999999999999
2016-12-11,0,3.0,,0.03,0.0
2016-12-12,24,3.0,,0.03,0.72
2016-12-13,24,3.0,,0.03,0.72
2016-12-14,74,3.0,,0.03,2.2199999999999998
2016-12-15,50,3.0,,0.03,1.5
2016-12-16,52,3.0,,0.03,1.56
2016-12-17,0,3.0,,0.03,0.0
2016-12-18,0,3.0,,0.03,0.0
2016-12-19,77,3.0,,0.03,2.31
2016-12-20,53,3.0,,0.03,1.5899999999999999
2016-12-21,54,3.0,,0.03,1.6199999999999999
2016-12-22,56,3.0,,0.03,1.68
2016-12-23,0,3.0,,0.03,0.0
2016-12-24,0,3.0,,0.03,0.0
2016-12-25,0,3.0,,0.03,0.0
2016-12-26,0,3.0,,0.03,0.0
2016-12-27,53,3.0,,0.03,1.5899999999999999
2016-12-28,27,3.0,,0.03,0.8099999999999999
2016-12-29,53,3.0,,0.03,1.5899999999999999
2016-12-30,0,3.0,,0.03,0.0
2016-12-31,29,3.0,,0.03,0.87
2017-01-01,0,5.0,False,0.05,0.0
2017-01-02,52,5.0,,0.05,2.6
2017-01-03,96,5.0,,0.05,4.800000000000001
2017-01-04,73,5.0,,0.05,3.6500000000000004
2017-01-05,100,5.0,,0.05,5.0
2017-01-06,49,5.0,,0.05,2.45
2017-01-07,0,5.0,,0.05,0.0
2017-01-08,0,5.0,,0.05,0.0
2017-01-09,94,5.0,,0.05,4.7
2017-01-10,23,5.0,,0.05,1.1500000000000001
2017-01-11,95,5.0,,0.05,4.75
2017-01-12,0,5.0,,0.05,0.0
2017-01-13,73,5.0,,0.05,3.6500000000000004
2017-01-14,0,5.0,,0.05,0.0
2017-01-15,54,5.0,,0.05,2.7
2017-01-16,0,5.0,,0.05,0.0
2017-01-17,47,5.0,,0.05,2.35
2017-01-18,23,5.0,,0.05,1.1500000000000001
2017-01-19,47,5.0,,0.05,2.35
2017-01-20,47,5.0,,0.05,2.35
2017-01-21,27,5.0,,0.05,1.35
2017-01-22,0,5.0,,0.05,0.0
2017-01-23,45,5.0,,0.05,2.25
2017-01-24,93,5.0,,0.05,4.65
2017-01-25,23,5.0,,0.05,1.1500000000000001
2017-01-26,0,5.0,,0.05,0.0
2017-01-27,48,5.0,,0.05,2.4000000000000004
2017-01-28,28,5.0,,0.05,1.4000000000000001
2017-01-29,28,5.0,,0.05,1.4000000000000001
2017-01-30,45,5.0,,0.05,2.25
2017-01-31,23,5.0,,0.05,1.1500000000000001
2017-02-01,100,5.0,False,0.05,5.0
2017-02-02,60,5.0,,0.05,3.0
2017-02-03,0,5.0,,0.05,0.0
2017-02-04,0,5.0,,0.05,0.0
2017-02-05,24,5.0,,0.05,1.2000000000000002
2017-02-06,0,5.0,,0.05,0.0
2017-02-07,40,5.0,,0.05,2.0
2017-02-08,20,5.0,,0.05,1.0
2017-02-09,21,5.0,,0.05,1.05
2017-02-10,21,5.0,,0.05,1.05
2017-02-11,0,5.0,,0.05,0.0
2017-02-12,0,5.0,,0.05,0.0
2017-02-13,40,5.0,,0.05,2.0
2017-02-14,61,5.0,,0.05,3.0500000000000003
2017-02-15,83,5.0,,0.05,4.15
2017-02-16,20,5.0,,0.05,1.0
2017-02-17,41,5.0,,0.05,2.0500000000000003
2017-02-18,0,5.0,,0.05,0.0
2017-02-19,25,5.0,,0.05,1.25
2017-02-20,0,5.0,,0.05,0.0
2017-02-21,81,5.0,,0.05,4.05
2017-02-22,40,5.0,,0.05,2.0
2017-02-23,81,5.0,,0.05,4.05
2017-02-24,42,5.0,,0.05,2.1
2017-02-25,0,5.0,,0.05,0.0
2017-02-26,0,5.0,,0.05,0.0
2017-02-27,37,5.0,,0.05,1.85
2017-02-28,0,5.0,,0.05,0.0
2017-03-01,92,7.0,False,0.07,6.44
2017-03-02,96,7.0,,0.07,6.720000000000001
2017-03-03,60,7.0,,0.07,4.2
2017-03-04,47,7.0,,0.07,3.2900000000000005
2017-03-05,0,7.0,,0.07,0.0
2017-03-06,37,7.0,,0.07,2.5900000000000003
2017-03-07,18,7.0,,0.07,1.2600000000000002
2017-03-08,39,7.0,,0.07,2.7300000000000004
2017-03-09,39,7.0,,0.07,2.7300000000000004
2017-03-10,40,7.0,,0.07,2.8000000000000003
2017-03-11,23,7.0,,0.07,1.61
2017-03-12,22,7.0,,0.07,1.54
2017-03-13,18,7.0,,0.07,1.2600000000000002
2017-03-14,59,7.0,,0.07,4.130000000000001
2017-03-15,80,7.0,,0.07,5.6000000000000005
2017-03-16,60,7.0,,0.07,4.2
2017-03-17,41,7.0,,0.07,2.87
2017-03-18,24,7.0,,0.07,1.6800000000000002
2017-03-19,24,7.0,,0.07,1.6800000000000002
2017-03-20,20,7.0,,0.07,1.4000000000000001
2017-03-21,99,7.0,,0.07,6.930000000000001
2017-03-22,40,7.0,,0.07,2.8000000000000003
2017-03-23,20,7.0,,0.07,1.4000000000000001
2017-03-24,21,7.0,,0.07,1.4700000000000002
2017-03-25,0,7.0,,0.07,0.0
2017-03-26,24,7.0,,0.07,1.6800000000000002
2017-03-27,20,7.0,,0.07,1.4000000000000001
2017-03-28,60,7.0,,0.07,4.2
2017-03-29,100,7.0,,0.07,7.000000000000001
2017-03-30,81,7.0,,0.07,5.670000000000001
2017-03-31,40,7.0,,0.07,2.8000000000000003
2017-04-01,15,5.0,False,0.05,0.75
2017-04-02,0,5.0,,0.05,0.0
2017-04-03,25,5.0,,0.05,1.25
2017-04-04,13,5.0,,0.05,0.65
2017-04-05,13,5.0,,0.05,0.65
2017-04-06,25,5.0,,0.05,1.25
2017-04-07,13,5.0,,0.05,0.65
2017-04-08,16,5.0,,0.05,0.8
2017-04-09,0,5.0,,0.05,0.0
2017-04-10,13,5.0,,0.05,0.65
2017-04-11,26,5.0,,0.05,1.3
2017-04-12,13,5.0,,0.05,0.65
2017-04-13,39,5.0,,0.05,1.9500000000000002
2017-04-14,0,5.0,,0.05,0.0
2017-04-15,0,5.0,,0.05,0.0
2017-04-16,33,5.0,,0.05,1.6500000000000001
2017-04-17,26,5.0,,0.05,1.3
2017-04-18,74,5.0,,0.05,3.7
2017-04-19,25,5.0,,0.05,1.25
2017-04-20,13,5.0,,0.05,0.65
2017-04-21,27,5.0,,0.05,1.35
2017-04-22,0,5.0,,0.05,0.0
2017-04-23,0,5.0,,0.05,0.0
2017-04-24,25,5.0,,0.05,1.25
2017-04-25,100,5.0,,0.05,5.0
2017-04-26,25,5.0,,0.05,1.25
2017-04-27,38,5.0,,0.05,1.9000000000000001
2017-04-28,13,5.0,,0.05,0.65
2017-04-29,0,5.0,,0.05,0.0
2017-04-30,0,5.0,,0.05,0.0
2017-05-01,47,6.0,False,0.06,2.82
2017-05-02,12,6.0,,0.06,0.72
2017-05-03,0,6.0,,0.06,0.0
2017-05-04,49,6.0,,0.06,2.94
2017-05-05,100,6.0,,0.06,6.0
2017-05-06,0,6.0,,0.06,0.0
2017-05-07,15,6.0,,0.06,0.8999999999999999
2017-05-08,0,6.0,,0.06,0.0
2017-05-09,48,6.0,,0.06,2.88
2017-05-10,48,6.0,,0.06,2.88
2017-05-11,12,6.0,,0.06,0.72
2017-05-12,51,6.0,,0.06,3.06
2017-05-13,0,6.0,,0.06,0.0
2017-05-14,0,6.0,,0.06,0.0
2017-05-15,38,6.0,,0.06,2.28
2017-05-16,26,6.0,,0.06,1.56
2017-05-17,26,6.0,,0.06,1.56
2017-05-18,0,6.0,,0.06,0.0
2017-05-19,66,6.0,,0.06,3.96
2017-05-20,16,6.0,,0.06,0.96
2017-05-21,0,6.0,,0.06,0.0
2017-05-22,13,6.0,,0.06,0.78
2017-05-23,38,6.0,,0.06,2.28
2017-05-24,39,6.0,,0.06,2.34
2017-05-25,13,6.0,,0.06,0.78
2017-05-26,28,6.0,,0.06,1.68
2017-05-27,17,6.0,,0.06,1.02
2017-05-28,0,6.0,,0.06,0.0
2017-05-29,0,6.0,,0.06,0.0
2017-05-30,26,6.0,,0.06,1.56
2017-05-31,13,6.0,,0.06,0.78
2017-06-01,34,6.0,False,0.06,2.04
2017-06-02,18,6.0,,0.06,1.08
2017-06-03,0,6.0,,0.06,0.0
2017-06-04,0,6.0,,0.06,0.0
2017-06-05,17,6.0,,0.06,1.02
2017-06-06,33,6.0,,0.06,1.98
2017-06-07,0,6.0,,0.06,0.0
2017-06-08,34,6.0,,0.06,2.04
2017-06-09,36,6.0,,0.06,2.16
2017-06-10,41,6.0,,0.06,2.46
2017-06-11,21,6.0,,0.06,1.26
2017-06-12,34,6.0,,0.06,2.04
2017-06-13,83,6.0,,0.06,4.9799999999999995
2017-06-14,100,6.0,,0.06,6.0
2017-06-15,52,6.0,,0.06,3.12
2017-06-16,0,6.0,,0.06,0.0
2017-06-17,0,6.0,,0.06,0.0
2017-06-18,21,6.0,,0.06,1.26
2017-06-19,17,6.0,,0.06,1.02
2017-06-20,64,6.0,,0.06,3.84
2017-06-21,49,6.0,,0.06,2.94
2017-06-22,0,6.0,,0.06,0.0
2017-06-23,17,6.0,,0.06,1.02
2017-06-24,0,6.0,,0.06,0.0
2017-06-25,21,6.0,,0.06,1.26
2017-06-26,35,6.0,,0.06,2.1
2017-06-27,18,6.0,,0.06,1.08
2017-06-28,36,6.0,,0.06,2.16
2017-06-29,36,6.0,,0.06,2.16
2017-06-30,55,6.0,,0.06,3.3
2017-07-01,24,4.0,False,0.04,0.96
2017-07-02,0,4.0,,0.04,0.0
2017-07-03,65,4.0,,0.04,2.6
2017-07-04,0,4.0,,0.04,0.0
2017-07-05,21,4.0,,0.04,0.84
2017-07-06,40,4.0,,0.04,1.6
2017-07-07,20,4.0,,0.04,0.8
2017-07-08,23,4.0,,0.04,0.92
2017-07-09,0,4.0,,0.04,0.0
2017-07-10,0,4.0,,0.04,0.0
2017-07-11,20,4.0,,0.04,0.8
2017-07-12,40,4.0,,0.04,1.6
2017-07-13,100,4.0,,0.04,4.0
2017-07-14,20,4.0,,0.04,0.8
2017-07-15,23,4.0,,0.04,0.92
2017-07-16,0,4.0,,0.04,0.0
2017-07-17,20,4.0,,0.04,0.8
2017-07-18,40,4.0,,0.04,1.6
2017-07-19,40,4.0,,0.04,1.6
2017-07-20,39,4.0,,0.04,1.56
2017-07-21,0,4.0,,0.04,0.0
2017-07-22,0,4.0,,0.04,0.0
2017-07-23,0,4.0,,0.04,0.0
2017-07-24,20,4.0,,0.04,0.8
2017-07-25,40,4.0,,0.04,1.6
2017-07-26,0,4.0,,0.04,0.0
2017-07-27,39,4.0,,0.04,1.56
2017-07-28,20,4.0,,0.04,0.8
2017-07-29,23,4.0,,0.04,0.92
2017-07-30,0,4.0,,0.04,0.0
2017-07-31,40,4.0,,0.04,1.6
2017-08-01,0,6.0,False,0.06,0.0
2017-08-02,0,6.0,,0.06,0.0
2017-08-03,0,6.0,,0.06,0.0
2017-08-04,50,6.0,,0.06,3.0
2017-08-05,19,6.0,,0.06,1.14
2017-08-06,19,6.0,,0.06,1.14
2017-08-07,47,6.0,,0.06,2.82
2017-08-08,77,6.0,,0.06,4.62
2017-08-09,16,6.0,,0.06,0.96
2017-08-10,33,6.0,,0.06,1.98
2017-08-11,100,6.0,,0.06,6.0
2017-08-12,0,6.0,,0.06,0.0
2017-08-13,0,6.0,,0.06,0.0
2017-08-14,49,6.0,,0.06,2.94
2017-08-15,33,6.0,,0.06,1.98
2017-08-16,49,6.0,,0.06,2.94
2017-08-17,16,6.0,,0.06,0.96
2017-08-18,0,6.0,,0.06,0.0
2017-08-19,0,6.0,,0.06,0.0
2017-08-20,19,6.0,,0.06,1.14
2017-08-21,15,6.0,,0.06,0.8999999999999999
2017-08-22,16,6.0,,0.06,0.96
2017-08-23,48,6.0,,0.06,2.88
2017-08-24,64,6.0,,0.06,3.84
2017-08-25,33,6.0,,0.06,1.98
2017-08-26,0,6.0,,0.06,0.0
2017-08-27,0,6.0,,0.06,0.0
2017-08-28,48,6.0,,0.06,2.88
2017-08-29,47,6.0,,0.06,2.82
2017-08-30,47,6.0,,0.06,2.82
2017-08-31,16,6.0,,0.06,0.96
2017-09-01,0,3.0,False,0.03,0.0
2017-09-02,29,3.0,,0.03,0.87
2017-09-03,0,3.0,,0.03,0.0
2017-09-04,0,3.0,,0.03,0.0
2017-09-05,0,3.0,,0.03,0.0
2017-09-06,23,3.0,,0.03,0.69
2017-09-07,0,3.0,,0.03,0.0
2017-09-08,48,3.0,,0.03,1.44
2017-09-09,56,3.0,,0.03,1.68
2017-09-10,0,3.0,,0.03,0.0
2017-09-11,72,3.0,,0.03,2.16
2017-09-12,24,3.0,,0.03,0.72
2017-09-13,48,3.0,,0.03,1.44
2017-09-14,24,3.0,,0.03,0.72
2017-09-15,0,3.0,,0.03,0.0
2017-09-16,29,3.0,,0.03,0.87
2017-09-17,29,3.0,,0.03,0.87
2017-09-18,0,3.0,,0.03,0.0
2017-09-19,0,3.0,,0.03,0.0
2017-09-20,48,3.0,,0.03,1.44
2017-09-21,24,3.0,,0.03,0.72
2017-09-22,100,3.0,,0.03,3.0
2017-09-23,0,3.0,,0.03,0.0
2017-09-24,29,3.0,,0.03,0.87
2017-09-25,0,3.0,,0.03,0.0
2017-09-26,24,3.0,,0.03,0.72
2017-09-27,0,3.0,,0.03,0.0
2017-09-28,49,3.0,,0.03,1.47
2017-09-29,25,3.0,,0.03,0.75
2017-09-30,89,3.0,,0.03,2.67
2017-10-01,30,5.0,False,0.05,1.5
2017-10-02,48,5.0,,0.05,2.4000000000000004
2017-10-03,74,5.0,,0.05,3.7
2017-10-04,100,5.0,,0.05,5.0
2017-10-05,75,5.0,,0.05,3.75
2017-10-06,26,5.0,,0.05,1.3
2017-10-07,0,5.0,,0.05,0.0
2017-10-08,29,5.0,,0.05,1.4500000000000002
2017-10-09,25,5.0,,0.05,1.25
2017-10-10,24,5.0,,0.05,1.2000000000000002
2017-10-11,25,5.0,,0.05,1.25
2017-10-12,50,5.0,,0.05,2.5
2017-10-13,26,5.0,,0.05,1.3
2017-10-14,0,5.0,,0.05,0.0
2017-10-15,30,5.0,,0.05,1.5
2017-10-16,25,5.0,,0.05,1.25
2017-10-17,25,5.0,,0.05,1.25
2017-10-18,25,5.0,,0.05,1.25
2017-10-19,77,5.0,,0.05,3.85
2017-10-20,52,5.0,,0.05,2.6
2017-10-21,31,5.0,,0.05,1.55
2017-10-22,0,5.0,,0.05,0.0
2017-10-23,74,5.0,,0.05,3.7
2017-10-24,49,5.0,,0.05,2.45
2017-10-25,100,5.0,,0.05,5.0
2017-10-26,25,5.0,,0.05,1.25
2017-10-27,78,5.0,,0.05,3.9000000000000004
2017-10-28,0,5.0,,0.05,0.0
2017-10-29,89,5.0,,0.05,4.45
2017-10-30,73,5.0,,0.05,3.6500000000000004
2017-10-31,0,5.0,,0.05,0.0
2017-11-01,21,5.0,False,0.05,1.05
2017-11-02,79,5.0,,0.05,3.95
2017-11-03,21,5.0,,0.05,1.05
2017-11-04,24,5.0,,0.05,1.2000000000000002
2017-11-05,23,5.0,,0.05,1.1500000000000001
2017-11-06,20,5.0,,0.05,1.0
2017-11-07,20,5.0,,0.05,1.0
2017-11-08,59,5.0,,0.05,2.95
2017-11-09,40,5.0,,0.05,2.0
2017-11-10,43,5.0,,0.05,2.15
2017-11-11,0,5.0,,0.05,0.0
2017-11-12,0,5.0,,0.05,0.0
2017-11-13,20,5.0,,0.05,1.0
2017-11-14,20,5.0,,0.05,1.0
2017-11-15,60,5.0,,0.05,3.0
2017-11-16,40,5.0,,0.05,2.0
2017-11-17,0,5.0,,0.05,0.0
2017-11-18,0,5.0,,0.05,0.0
2017-11-19,0,5.0,,0.05,0.0
2017-11-20,61,5.0,,0.05,3.0500000000000003
2017-11-21,63,5.0,,0.05,3.1500000000000004
2017-11-22,66,5.0,,0.05,3.3000000000000003
2017-11-23,0,5.0,,0.05,0.0
2017-11-24,23,5.0,,0.05,1.1500000000000001
2017-11-25,24,5.0,,0.05,1.2000000000000002
2017-11-26,23,5.0,,0.05,1.1500000000000001
2017-11-27,19,5.0,,0.05,0.9500000000000001
2017-11-28,78,5.0,,0.05,3.9000000000000004
2017-11-29,79,5.0,,0.05,3.95
2017-11-30,100,5.0,,0.05,5.0
2017-12-01,41,9.0,False,0.09,3.69
2017-12-02,0,9.0,,0.09,0.0
2017-12-03,0,9.0,,0.09,0.0
2017-12-04,61,9.0,,0.09,5.49
2017-12-05,50,9.0,,0.09,4.5
2017-12-06,0,9.0,,0.09,0.0
2017-12-07,41,9.0,,0.09,3.69
2017-12-08,42,9.0,,0.09,3.78
2017-12-09,0,9.0,,0.09,0.0
2017-12-10,12,9.0,,0.09,1.08
2017-12-11,41,9.0,,0.09,3.69
2017-12-12,20,9.0,,0.09,1.7999999999999998
2017-12-13,71,9.0,,0.09,6.39
2017-12-14,42,9.0,,0.09,3.78
2017-12-15,33,9.0,,0.09,2.9699999999999998
2017-12-16,13,9.0,,0.09,1.17
2017-12-17,13,9.0,,0.09,1.17
2017-12-18,21,9.0,,0.09,1.89
2017-12-19,54,9.0,,0.09,4.859999999999999
2017-12-20,100,9.0,,0.09,9.0
2017-12-21,80,9.0,,0.09,7.199999999999999
2017-12-22,24,9.0,,0.09,2.16
2017-12-23,13,9.0,,0.09,1.17
2017-12-24,0,9.0,,0.09,0.0
2017-12-25,0,9.0,,0.09,0.0
2017-12-26,25,9.0,,0.09,2.25
2017-12-27,23,9.0,,0.09,2.07
2017-12-28,23,9.0,,0.09,2.07
2017-12-29,23,9.0,,0.09,2.07
2017-12-30,0,9.0,,0.09,0.0
2017-12-31,0,9.0,,0.09,0.0
