date,UVXY_unscaled,UVXY_monthly,isPartial,scale,UVXY
2016-10-15,10,42.0,,0.42,4.2
2016-10-16,11,42.0,,0.42,4.62
2016-10-17,70,42.0,,0.42,29.4
2016-10-18,35,42.0,,0.42,14.7
2016-10-19,41,42.0,,0.42,17.22
2016-10-20,69,42.0,,0.42,28.98
2016-10-21,54,42.0,,0.42,22.68
2016-10-22,12,42.0,,0.42,5.04
2016-10-23,16,42.0,,0.42,6.72
2016-10-24,40,42.0,,0.42,16.8
2016-10-25,57,42.0,,0.42,23.939999999999998
2016-10-26,61,42.0,,0.42,25.619999999999997
2016-10-27,66,42.0,,0.42,27.72
2016-10-28,85,42.0,,0.42,35.699999999999996
2016-10-29,31,42.0,,0.42,13.02
2016-10-30,11,42.0,,0.42,4.62
2016-10-31,70,42.0,,0.42,29.4
2016-11-01,41,60.0,False,0.6,24.599999999999998
2016-11-02,47,60.0,,0.6,28.2
2016-11-03,46,60.0,,0.6,27.599999999999998
2016-11-04,46,60.0,,0.6,27.599999999999998
2016-11-05,8,60.0,,0.6,4.8
2016-11-06,9,60.0,,0.6,5.3999999999999995
2016-11-07,60,60.0,,0.6,36.0
2016-11-08,55,60.0,,0.6,33.0
2016-11-09,100,60.0,,0.6,60.0
2016-11-10,68,60.0,,0.6,40.8
2016-11-11,41,60.0,,0.6,24.599999999999998
2016-11-12,5,60.0,,0.6,3.0
2016-11-13,4,60.0,,0.6,2.4
2016-11-14,23,60.0,,0.6,13.799999999999999
2016-11-15,32,60.0,,0.6,19.2
2016-11-16,44,60.0,,0.6,26.4
2016-11-17,31,60.0,,0.6,18.599999999999998
2016-11-18,29,60.0,,0.6,17.4
2016-11-19,2,60.0,,0.6,1.2
2016-11-20,3,60.0,,0.6,1.7999999999999998
2016-11-21,24,60.0,,0.6,14.399999999999999
2016-11-22,29,60.0,,0.6,17.4
2016-11-23,28,60.0,,0.6,16.8
2016-11-24,9,60.0,,0.6,5.3999999999999995
2016-11-25,14,60.0,,0.6,8.4
2016-11-26,2,60.0,,0.6,1.2
2016-11-27,2,60.0,,0.6,1.2
2016-11-28,24,60.0,,0.6,14.399999999999999
2016-11-29,21,60.0,,0.6,12.6
2016-11-30,28,60.0,,0.6,16.8
2016-12-01,50,41.0,False,0.41,20.5
2016-12-02,53,41.0,,0.41,21.73
2016-12-03,8,41.0,,0.41,3.28
2016-12-04,4,41.0,,0.41,1.64
2016-12-05,37,41.0,,0.41,15.17
2016-12-06,61,41.0,,0.41,25.009999999999998
2016-12-07,56,41.0,,0.41,22.959999999999997
2016-12-08,60,41.0,,0.41,24.599999999999998
2016-12-09,56,41.0,,0.41,22.959999999999997
2016-12-10,10,41.0,,0.41,4.1
2016-12-11,6,41.0,,0.41,2.46
2016-12-12,45,41.0,,0.41,18.45
2016-12-13,53,41.0,,0.41,21.73
2016-12-14,100,41.0,,0.41,41.0
2016-12-15,36,41.0,,0.41,14.76
2016-12-16,53,41.0,,0.41,21.73
2016-12-17,8,41.0,,0.41,3.28
2016-12-18,12,41.0,,0.41,4.92
2016-12-19,54,41.0,,0.41,22.139999999999997
2016-12-20,50,41.0,,0.41,20.5
2016-12-21,43,41.0,,0.41,17.63
2016-12-22,55,41.0,,0.41,22.549999999999997
2016-12-23,35,41.0,,0.41,14.35
2016-12-24,13,41.0,,0.41,5.33
2016-12-25,9,41.0,,0.41,3.69
2016-12-26,8,41.0,,0.41,3.28
2016-12-27,30,41.0,,0.41,12.299999999999999
2016-12-28,73,41.0,,0.41,29.93
2016-12-29,57,41.0,,0.41,23.369999999999997
2016-12-30,62,41.0,,0.41,25.419999999999998
2016-12-31,19,41.0,,0.41,7.789999999999999
2017-01-01,6,37.0,False,0.37,2.2199999999999998
2017-01-02,8,37.0,,0.37,2.96
2017-01-03,52,37.0,,0.37,19.24
2017-01-04,55,37.0,,0.37,20.35
2017-01-05,36,37.0,,0.37,13.32
2017-01-06,42,37.0,,0.37,15.54
2017-01-07,18,37.0,,0.37,6.66
2017-01-08,0,37.0,,0.37,0.0
2017-01-09,43,37.0,,0.37,15.91
2017-01-10,39,37.0,,0.37,14.43
2017-01-11,45,37.0,,0.37,16.65
2017-01-12,100,37.0,,0.37,37.0
2017-01-13,46,37.0,,0.37,17.02
2017-01-14,7,37.0,,0.37,2.59
2017-01-15,9,37.0,,0.37,3.33
2017-01-16,11,37.0,,0.37,4.07
2017-01-17,32,37.0,,0.37,11.84
2017-01-18,40,37.0,,0.37,14.8
2017-01-19,53,37.0,,0.37,19.61
2017-01-20,43,37.0,,0.37,15.91
2017-01-21,12,37.0,,0.37,4.4399999999999995
2017-01-22,2,37.0,,0.37,0.74
2017-01-23,38,37.0,,0.37,14.06
2017-01-24,37,37.0,,0.37,13.69
2017-01-25,37,37.0,,0.37,13.69
2017-01-26,48,37.0,,0.37,17.759999999999998
2017-01-27,33,37.0,,0.37,12.209999999999999
2017-01-28,11,37.0,,0.37,4.07
2017-01-29,9,37.0,,0.37,3.33
2017-01-30,53,37.0,,0.37,19.61
2017-01-31,48,37.0,,0.37,17.759999999999998
2017-02-01,85,28.0,False,0.28,23.8
2017-02-02,54,28.0,,0.28,15.120000000000001
2017-02-03,39,28.0,,0.28,10.920000000000002
2017-02-04,17,28.0,,0.28,4.760000000000001
2017-02-05,10,28.0,,0.28,2.8000000000000003
2017-02-06,83,28.0,,0.28,23.240000000000002
2017-02-07,59,28.0,,0.28,16.520000000000003
2017-02-08,49,28.0,,0.28,13.72
2017-02-09,70,28.0,,0.28,19.6
2017-02-10,42,28.0,,0.28,11.760000000000002
2017-02-11,21,28.0,,0.28,5.880000000000001
2017-02-12,0,28.0,,0.28,0.0
2017-02-13,45,28.0,,0.28,12.600000000000001
2017-02-14,86,28.0,,0.28,24.080000000000002
2017-02-15,82,28.0,,0.28,22.96
2017-02-16,63,28.0,,0.28,17.64
2017-02-17,67,28.0,,0.28,18.76
2017-02-18,28,28.0,,0.28,7.840000000000001
2017-02-19,4,28.0,,0.28,1.12
2017-02-20,24,28.0,,0.28,6.720000000000001
2017-02-21,68,28.0,,0.28,19.040000000000003
2017-02-22,85,28.0,,0.28,23.8
2017-02-23,100,28.0,,0.28,28.000000000000004
2017-02-24,83,28.0,,0.28,23.240000000000002
2017-02-25,31,28.0,,0.28,8.680000000000001
2017-02-26,3,28.0,,0.28,0.8400000000000001
2017-02-27,48,28.0,,0.28,13.440000000000001
2017-02-28,68,28.0,,0.28,19.040000000000003
2017-03-01,61,32.0,False,0.32,19.52
2017-03-02,35,32.0,,0.32,11.200000000000001
2017-03-03,66,32.0,,0.32,21.12
2017-03-04,9,32.0,,0.32,2.88
2017-03-05,3,32.0,,0.32,0.96
2017-03-06,47,32.0,,0.32,15.040000000000001
2017-03-07,55,32.0,,0.32,17.6
2017-03-08,90,32.0,,0.32,28.8
2017-03-09,59,32.0,,0.32,18.88
2017-03-10,68,32.0,,0.32,21.76
2017-03-11,6,32.0,,0.32,1.92
2017-03-12,9,32.0,,0.32,2.88
2017-03-13,27,32.0,,0.32,8.64
2017-03-14,51,32.0,,0.32,16.32
2017-03-15,50,32.0,,0.32,16.0
2017-03-16,55,32.0,,0.32,17.6
2017-03-17,87,32.0,,0.32,27.84
2017-03-18,22,32.0,,0.32,7.04
2017-03-19,6,32.0,,0.32,1.92
2017-03-20,49,32.0,,0.32,15.68
2017-03-21,81,32.0,,0.32,25.92
2017-03-22,81,32.0,,0.32,25.92
2017-03-23,93,32.0,,0.32,29.76
2017-03-24,100,32.0,,0.32,32.0
2017-03-25,19,32.0,,0.32,6.08
2017-03-26,6,32.0,,0.32,1.92
2017-03-27,83,32.0,,0.32,26.560000000000002
2017-03-28,79,32.0,,0.32,25.28
2017-03-29,76,32.0,,0.32,24.32
2017-03-30,69,32.0,,0.32,22.080000000000002
2017-03-31,48,32.0,,0.32,15.36
2017-04-01,2,33.0,False,0.33,0.66
2017-04-02,10,33.0,,0.33,3.3000000000000003
2017-04-03,40,33.0,,0.33,13.200000000000001
2017-04-04,47,33.0,,0.33,15.510000000000002
2017-04-05,51,33.0,,0.33,16.830000000000002
2017-04-06,47,33.0,,0.33,15.510000000000002
2017-04-07,63,33.0,,0.33,20.790000000000003
2017-04-08,18,33.0,,0.33,5.94
2017-04-09,18,33.0,,0.33,5.94
2017-04-10,56,33.0,,0.33,18.48
2017-04-11,67,33.0,,0.33,22.11
2017-04-12,100,33.0,,0.33,33.0
2017-04-13,76,33.0,,0.33,25.080000000000002
2017-04-14,11,33.0,,0.33,3.6300000000000003
2017-04-15,13,33.0,,0.33,4.29
2017-04-16,11,33.0,,0.33,3.6300000000000003
2017-04-17,54,33.0,,0.33,17.82
2017-04-18,40,33.0,,0.33,13.200000000000001
2017-04-19,65,33.0,,0.33,21.45
2017-04-20,80,33.0,,0.33,26.400000000000002
2017-04-21,50,33.0,,0.33,16.5
2017-04-22,8,33.0,,0.33,2.64
2017-04-23,3,33.0,,0.33,0.99
2017-04-24,63,33.0,,0.33,20.790000000000003
2017-04-25,69,33.0,,0.33,22.77
2017-04-26,70,33.0,,0.33,23.1
2017-04-27,26,33.0,,0.33,8.58
2017-04-28,44,33.0,,0.33,14.520000000000001
2017-04-29,15,33.0,,0.33,4.95
2017-04-30,2,33.0,,0.33,0.66
2017-05-01,28,38.0,False,0.38,10.64
2017-05-02,38,38.0,,0.38,14.44
2017-05-03,39,38.0,,0.38,14.82
2017-05-04,41,38.0,,0.38,15.58
2017-05-05,39,38.0,,0.38,14.82
2017-05-06,6,38.0,,0.38,2.2800000000000002
2017-05-07,9,38.0,,0.38,3.42
2017-05-08,44,38.0,,0.38,16.72
2017-05-09,38,38.0,,0.38,14.44
2017-05-10,35,38.0,,0.38,13.3
2017-05-11,46,38.0,,0.38,17.48
2017-05-12,19,38.0,,0.38,7.22
2017-05-13,9,38.0,,0.38,3.42
2017-05-14,6,38.0,,0.38,2.2800000000000002
2017-05-15,40,38.0,,0.38,15.2
2017-05-16,39,38.0,,0.38,14.82
2017-05-17,100,38.0,,0.38,38.0
2017-05-18,98,38.0,,0.38,37.24
2017-05-19,46,38.0,,0.38,17.48
2017-05-20,8,38.0,,0.38,3.04
2017-05-21,0,38.0,,0.38,0.0
2017-05-22,41,38.0,,0.38,15.58
2017-05-23,44,38.0,,0.38,16.72
2017-05-24,44,38.0,,0.38,16.72
2017-05-25,44,38.0,,0.38,16.72
2017-05-26,46,38.0,,0.38,17.48
2017-05-27,6,38.0,,0.38,2.2800000000000002
2017-05-28,6,38.0,,0.38,2.2800000000000002
2017-05-29,6,38.0,,0.38,2.2800000000000002
2017-05-30,34,38.0,,0.38,12.92
2017-05-31,69,38.0,,0.38,26.22
2017-06-01,59,39.0,False,0.39,23.01
2017-06-02,43,39.0,,0.39,16.77
2017-06-03,9,39.0,,0.39,3.5100000000000002
2017-06-04,6,39.0,,0.39,2.34
2017-06-05,57,39.0,,0.39,22.23
2017-06-06,100,39.0,,0.39,39.0
2017-06-07,69,39.0,,0.39,26.91
2017-06-08,68,39.0,,0.39,26.52
2017-06-09,58,39.0,,0.39,22.62
2017-06-10,12,39.0,,0.39,4.68
2017-06-11,0,39.0,,0.39,0.0
2017-06-12,80,39.0,,0.39,31.200000000000003
2017-06-13,68,39.0,,0.39,26.52
2017-06-14,84,39.0,,0.39,32.76
2017-06-15,93,39.0,,0.39,36.27
2017-06-16,57,39.0,,0.39,22.23
2017-06-17,18,39.0,,0.39,7.0200000000000005
2017-06-18,3,39.0,,0.39,1.17
2017-06-19,53,39.0,,0.39,20.67
2017-06-20,76,39.0,,0.39,29.64
2017-06-21,53,39.0,,0.39,20.67
2017-06-22,60,39.0,,0.39,23.400000000000002
2017-06-23,37,39.0,,0.39,14.43
2017-06-24,3,39.0,,0.39,1.17
2017-06-25,12,39.0,,0.39,4.68
2017-06-26,49,39.0,,0.39,19.11
2017-06-27,60,39.0,,0.39,23.400000000000002
2017-06-28,59,39.0,,0.39,23.01
2017-06-29,89,39.0,,0.39,34.71
2017-06-30,68,39.0,,0.39,26.52
2017-07-01,7,33.0,False,0.33,2.31
2017-07-02,13,33.0,,0.33,4.29
2017-07-03,33,33.0,,0.33,10.89
2017-07-04,15,33.0,,0.33,4.95
2017-07-05,41,33.0,,0.33,13.530000000000001
2017-07-06,71,33.0,,0.33,23.43
2017-07-07,44,33.0,,0.33,14.520000000000001
2017-07-08,5,33.0,,0.33,1.6500000000000001
2017-07-09,5,33.0,,0.33,1.6500000000000001
2017-07-10,47,33.0,,0.33,15.510000000000002
2017-07-11,37,33.0,,0.33,12.21
2017-07-12,53,33.0,,0.33,17.490000000000002
2017-07-13,57,33.0,,0.33,18.810000000000002
2017-07-14,63,33.0,,0.33,20.790000000000003
2017-07-15,7,33.0,,0.33,2.31
2017-07-16,5,33.0,,0.33,1.6500000000000001
2017-07-17,100,33.0,,0.33,33.0
2017-07-18,57,33.0,,0.33,18.810000000000002
2017-07-19,49,33.0,,0.33,16.17
2017-07-20,48,33.0,,0.33,15.84
2017-07-21,54,33.0,,0.33,17.82
2017-07-22,9,33.0,,0.33,2.97
2017-07-23,7,33.0,,0.33,2.31
2017-07-24,57,33.0,,0.33,18.810000000000002
2017-07-25,34,33.0,,0.33,11.22
2017-07-26,34,33.0,,0.33,11.22
2017-07-27,54,33.0,,0.33,17.82
2017-07-28,49,33.0,,0.33,16.17
2017-07-29,9,33.0,,0.33,2.97
2017-07-30,10,33.0,,0.33,3.3000000000000003
2017-07-31,43,33.0,,0.33,14.190000000000001
2017-08-01,28,56.0,False,0.56,15.680000000000001
2017-08-02,30,56.0,,0.56,16.8
2017-08-03,32,56.0,,0.56,17.92
2017-08-04,31,56.0,,0.56,17.360000000000003
2017-08-05,7,56.0,,0.56,3.9200000000000004
2017-08-06,3,56.0,,0.56,1.6800000000000002
2017-08-07,25,56.0,,0.56,14.000000000000002
2017-08-08,30,56.0,,0.56,16.8
2017-08-09,66,56.0,,0.56,36.96
2017-08-10,96,56.0,,0.56,53.760000000000005
2017-08-11,100,56.0,,0.56,56.00000000000001
2017-08-12,12,56.0,,0.56,6.720000000000001
2017-08-13,10,56.0,,0.56,5.6000000000000005
2017-08-14,94,56.0,,0.56,52.64000000000001
2017-08-15,63,56.0,,0.56,35.28
2017-08-16,34,56.0,,0.56,19.040000000000003
2017-08-17,85,56.0,,0.56,47.6
2017-08-18,82,56.0,,0.56,45.92
2017-08-19,12,56.0,,0.56,6.720000000000001
2017-08-20,8,56.0,,0.56,4.48
2017-08-21,65,56.0,,0.56,36.400000000000006
2017-08-22,65,56.0,,0.56,36.400000000000006
2017-08-23,61,56.0,,0.56,34.160000000000004
2017-08-24,49,56.0,,0.56,27.44
2017-08-25,62,56.0,,0.56,34.720000000000006
2017-08-26,13,56.0,,0.56,7.280000000000001
2017-08-27,5,56.0,,0.56,2.8000000000000003
2017-08-28,62,56.0,,0.56,34.720000000000006
2017-08-29,73,56.0,,0.56,40.88
2017-08-30,40,56.0,,0.56,22.400000000000002
2017-08-31,43,56.0,,0.56,24.080000000000002
2017-09-01,71,47.0,False,0.47,33.37
2017-09-02,27,47.0,,0.47,12.69
2017-09-03,14,47.0,,0.47,6.58
2017-09-04,25,47.0,,0.47,11.75
2017-09-05,100,47.0,,0.47,47.0
2017-09-06,83,47.0,,0.47,39.01
2017-09-07,53,47.0,,0.47,24.91
2017-09-08,79,47.0,,0.47,37.129999999999995
2017-09-09,24,47.0,,0.47,11.28
2017-09-10,17,47.0,,0.47,7.989999999999999
2017-09-11,84,47.0,,0.47,39.48
2017-09-12,76,47.0,,0.47,35.72
2017-09-13,52,47.0,,0.47,24.439999999999998
2017-09-14,83,47.0,,0.47,39.01
2017-09-15,87,47.0,,0.47,40.89
2017-09-16,16,47.0,,0.47,7.52
2017-09-17,11,47.0,,0.47,5.17
2017-09-18,66,47.0,,0.47,31.02
2017-09-19,77,47.0,,0.47,36.19
2017-09-20,68,47.0,,0.47,31.959999999999997
2017-09-21,59,47.0,,0.47,27.729999999999997
2017-09-22,67,47.0,,0.47,31.49
2017-09-23,5,47.0,,0.47,2.3499999999999996
2017-09-24,11,47.0,,0.47,5.17
2017-09-25,63,47.0,,0.47,29.61
2017-09-26,72,47.0,,0.47,33.839999999999996
2017-09-27,61,47.0,,0.47,28.669999999999998
2017-09-28,45,47.0,,0.47,21.15
2017-09-29,57,47.0,,0.47,26.79
2017-09-30,11,47.0,,0.47,5.17
2017-10-01,4,37.0,False,0.37,1.48
2017-10-02,49,37.0,,0.37,18.13
2017-10-03,43,37.0,,0.37,15.91
2017-10-04,49,37.0,,0.37,18.13
2017-10-05,39,37.0,,0.37,14.43
2017-10-06,58,37.0,,0.37,21.46
2017-10-07,4,37.0,,0.37,1.48
2017-10-08,9,37.0,,0.37,3.33
2017-10-09,40,37.0,,0.37,14.8
2017-10-10,48,37.0,,0.37,17.759999999999998
2017-10-11,56,37.0,,0.37,20.72
2017-10-12,51,37.0,,0.37,18.87
2017-10-13,51,37.0,,0.37,18.87
2017-10-14,2,37.0,,0.37,0.74
2017-10-15,6,37.0,,0.37,2.2199999999999998
2017-10-16,46,37.0,,0.37,17.02
2017-10-17,46,37.0,,0.37,17.02
2017-10-18,40,37.0,,0.37,14.8
2017-10-19,60,37.0,,0.37,22.2
2017-10-20,63,37.0,,0.37,23.31
2017-10-21,11,37.0,,0.37,4.07
2017-10-22,11,37.0,,0.37,4.07
2017-10-23,36,37.0,,0.37,13.32
2017-10-24,66,37.0,,0.37,24.419999999999998
2017-10-25,100,37.0,,0.37,37.0
2017-10-26,64,37.0,,0.37,23.68
2017-10-27,55,37.0,,0.37,20.35
2017-10-28,7,37.0,,0.37,2.59
2017-10-29,2,37.0,,0.37,0.74
2017-10-30,57,37.0,,0.37,21.09
2017-10-31,63,37.0,,0.37,23.31
2017-11-01,59,34.0,False,0.34,20.060000000000002
2017-11-02,63,34.0,,0.34,21.42
2017-11-03,59,34.0,,0.34,20.060000000000002
2017-11-04,7,34.0,,0.34,2.3800000000000003
2017-11-05,7,34.0,,0.34,2.3800000000000003
2017-11-06,43,34.0,,0.34,14.620000000000001
2017-11-07,57,34.0,,0.34,19.380000000000003
2017-11-08,40,34.0,,0.34,13.600000000000001
2017-11-09,65,34.0,,0.34,22.1
2017-11-10,72,34.0,,0.34,24.48
2017-11-11,15,34.0,,0.34,5.1000000000000005
2017-11-12,5,34.0,,0.34,1.7000000000000002
2017-11-13,38,34.0,,0.34,12.920000000000002
2017-11-14,55,34.0,,0.34,18.700000000000003
2017-11-15,100,34.0,,0.34,34.0
2017-11-16,61,34.0,,0.34,20.740000000000002
2017-11-17,55,34.0,,0.34,18.700000000000003
2017-11-18,20,34.0,,0.34,6.800000000000001
2017-11-19,5,34.0,,0.34,1.7000000000000002
2017-11-20,42,34.0,,0.34,14.280000000000001
2017-11-21,71,34.0,,0.34,24.14
2017-11-22,40,34.0,,0.34,13.600000000000001
2017-11-23,15,34.0,,0.34,5.1000000000000005
2017-11-24,40,34.0,,0.34,13.600000000000001
2017-11-25,10,34.0,,0.34,3.4000000000000004
2017-11-26,12,34.0,,0.34,4.08
2017-11-27,27,34.0,,0.34,9.180000000000001
2017-11-28,50,34.0,,0.34,17.0
2017-11-29,72,34.0,,0.34,24.48
2017-11-30,71,34.0,,0.34,24.14
2017-12-01,76,30.0,False,0.3,22.8
2017-12-02,17,30.0,,0.3,5.1
2017-12-03,6,30.0,,0.3,1.7999999999999998
2017-12-04,70,30.0,,0.3,21.0
2017-12-05,100,30.0,,0.3,30.0
2017-12-06,73,30.0,,0.3,21.9
2017-12-07,64,30.0,,0.3,19.2
2017-12-08,68,30.0,,0.3,20.4
2017-12-09,17,30.0,,0.3,5.1
2017-12-10,3,30.0,,0.3,0.8999999999999999
2017-12-11,54,30.0,,0.3,16.2
2017-12-12,45,30.0,,0.3,13.5
2017-12-13,54,30.0,,0.3,16.2
2017-12-14,39,30.0,,0.3,11.7
2017-12-15,75,30.0,,0.3,22.5
2017-12-16,12,30.0,,0.3,3.5999999999999996
