date,ON_unscaled,ON_monthly,isPartial,scale,ON
2016-09-06,88,88.0,,0.88,77.44
2016-09-07,86,88.0,,0.88,75.68
2016-09-08,89,88.0,,0.88,78.32000000000001
2016-09-09,90,88.0,,0.88,79.2
2016-09-10,97,88.0,,0.88,85.36
2016-09-11,99,88.0,,0.88,87.12
2016-09-12,89,88.0,,0.88,78.32000000000001
2016-09-13,93,88.0,,0.88,81.84
2016-09-14,92,88.0,,0.88,80.96
2016-09-15,90,88.0,,0.88,79.2
2016-09-16,89,88.0,,0.88,78.32000000000001
2016-09-17,94,88.0,,0.88,82.72
2016-09-18,98,88.0,,0.88,86.24
2016-09-19,92,88.0,,0.88,80.96
2016-09-20,93,88.0,,0.88,81.84
2016-09-21,92,88.0,,0.88,80.96
2016-09-22,93,88.0,,0.88,81.84
2016-09-23,91,88.0,,0.88,80.08
2016-09-24,93,88.0,,0.88,81.84
2016-09-25,99,88.0,,0.88,87.12
2016-09-26,90,88.0,,0.88,79.2
2016-09-27,91,88.0,,0.88,80.08
2016-09-28,92,88.0,,0.88,80.96
2016-09-29,88,88.0,,0.88,77.44
2016-09-30,90,88.0,,0.88,79.2
2016-10-01,91,87.0,False,0.87,79.17
2016-10-02,95,87.0,,0.87,82.65
2016-10-03,87,87.0,,0.87,75.69
2016-10-04,91,87.0,,0.87,79.17
2016-10-05,88,87.0,,0.87,76.56
2016-10-06,88,87.0,,0.87,76.56
2016-10-07,88,87.0,,0.87,76.56
2016-10-08,96,87.0,,0.87,83.52
2016-10-09,100,87.0,,0.87,87.0
2016-10-10,94,87.0,,0.87,81.78
2016-10-11,91,87.0,,0.87,79.17
2016-10-12,90,87.0,,0.87,78.3
2016-10-13,87,87.0,,0.87,75.69
2016-10-14,85,87.0,,0.87,73.95
2016-10-15,93,87.0,,0.87,80.91
2016-10-16,96,87.0,,0.87,83.52
2016-10-17,88,87.0,,0.87,76.56
2016-10-18,90,87.0,,0.87,78.3
2016-10-19,90,87.0,,0.87,78.3
2016-10-20,89,87.0,,0.87,77.42999999999999
2016-10-21,85,87.0,,0.87,73.95
2016-10-22,93,87.0,,0.87,80.91
2016-10-23,94,87.0,,0.87,81.78
2016-10-24,88,87.0,,0.87,76.56
2016-10-25,87,87.0,,0.87,75.69
2016-10-26,87,87.0,,0.87,75.69
2016-10-27,89,87.0,,0.87,77.42999999999999
2016-10-28,89,87.0,,0.87,77.42999999999999
2016-10-29,92,87.0,,0.87,80.04
2016-10-30,93,87.0,,0.87,80.91
2016-10-31,90,87.0,,0.87,78.3
2016-11-01,79,85.0,False,0.85,67.14999999999999
2016-11-02,81,85.0,,0.85,68.85
2016-11-03,82,85.0,,0.85,69.7
2016-11-04,82,85.0,,0.85,69.7
2016-11-05,83,85.0,,0.85,70.55
2016-11-06,87,85.0,,0.85,73.95
2016-11-07,84,85.0,,0.85,71.39999999999999
2016-11-08,90,85.0,,0.85,76.5
2016-11-09,67,85.0,,0.85,56.949999999999996
2016-11-10,84,85.0,,0.85,71.39999999999999
2016-11-11,86,85.0,,0.85,73.1
2016-11-12,87,85.0,,0.85,73.95
2016-11-13,85,85.0,,0.85,72.25
2016-11-14,81,85.0,,0.85,68.85
2016-11-15,82,85.0,,0.85,69.7
2016-11-16,82,85.0,,0.85,69.7
2016-11-17,80,85.0,,0.85,68.0
2016-11-18,80,85.0,,0.85,68.0
2016-11-19,82,85.0,,0.85,69.7
2016-11-20,83,85.0,,0.85,70.55
2016-11-21,80,85.0,,0.85,68.0
2016-11-22,82,85.0,,0.85,69.7
2016-11-23,84,85.0,,0.85,71.39999999999999
2016-11-24,100,85.0,,0.85,85.0
2016-11-25,86,85.0,,0.85,73.1
2016-11-26,86,85.0,,0.85,73.1
2016-11-27,89,85.0,,0.85,75.64999999999999
2016-11-28,80,85.0,,0.85,68.0
2016-11-29,82,85.0,,0.85,69.7
2016-11-30,83,85.0,,0.85,70.55
2016-12-01,63,88.0,False,0.88,55.44
2016-12-02,61,88.0,,0.88,53.68
2016-12-03,66,88.0,,0.88,58.08
2016-12-04,67,88.0,,0.88,58.96
2016-12-05,61,88.0,,0.88,53.68
2016-12-06,65,88.0,,0.88,57.2
2016-12-07,63,88.0,,0.88,55.44
2016-12-08,65,88.0,,0.88,57.2
2016-12-09,58,88.0,,0.88,51.04
2016-12-10,65,88.0,,0.88,57.2
2016-12-11,66,88.0,,0.88,58.08
2016-12-12,63,88.0,,0.88,55.44
2016-12-13,62,88.0,,0.88,54.56
2016-12-14,63,88.0,,0.88,55.44
2016-12-15,62,88.0,,0.88,54.56
2016-12-16,58,88.0,,0.88,51.04
2016-12-17,65,88.0,,0.88,57.2
2016-12-18,65,88.0,,0.88,57.2
2016-12-19,61,88.0,,0.88,53.68
2016-12-20,61,88.0,,0.88,53.68
2016-12-21,63,88.0,,0.88,55.44
2016-12-22,62,88.0,,0.88,54.56
2016-12-23,62,88.0,,0.88,54.56
2016-12-24,68,88.0,,0.88,59.84
2016-12-25,100,88.0,,0.88,88.0
2016-12-26,73,88.0,,0.88,64.24
2016-12-27,64,88.0,,0.88,56.32
2016-12-28,64,88.0,,0.88,56.32
2016-12-29,66,88.0,,0.88,58.08
2016-12-30,67,88.0,,0.88,58.96
2016-12-31,68,88.0,,0.88,59.84
2017-01-01,100,89.0,False,0.89,89.0
2017-01-02,97,89.0,,0.89,86.33
2017-01-03,86,89.0,,0.89,76.54
2017-01-04,88,89.0,,0.89,78.32000000000001
2017-01-05,88,89.0,,0.89,78.32000000000001
2017-01-06,87,89.0,,0.89,77.43
2017-01-07,98,89.0,,0.89,87.22
2017-01-08,96,89.0,,0.89,85.44
2017-01-09,87,89.0,,0.89,77.43
2017-01-10,85,89.0,,0.89,75.65
2017-01-11,89,89.0,,0.89,79.21000000000001
2017-01-12,86,89.0,,0.89,76.54
2017-01-13,88,89.0,,0.89,78.32000000000001
2017-01-14,93,89.0,,0.89,82.77
2017-01-15,97,89.0,,0.89,86.33
2017-01-16,93,89.0,,0.89,82.77
2017-01-17,88,89.0,,0.89,78.32000000000001
2017-01-18,89,89.0,,0.89,79.21000000000001
2017-01-19,87,89.0,,0.89,77.43
2017-01-20,86,89.0,,0.89,76.54
2017-01-21,96,89.0,,0.89,85.44
2017-01-22,96,89.0,,0.89,85.44
2017-01-23,89,89.0,,0.89,79.21000000000001
2017-01-24,91,89.0,,0.89,80.99
2017-01-25,87,89.0,,0.89,77.43
2017-01-26,89,89.0,,0.89,79.21000000000001
2017-01-27,88,89.0,,0.89,78.32000000000001
2017-01-28,92,89.0,,0.89,81.88
2017-01-29,98,89.0,,0.89,87.22
2017-01-30,92,89.0,,0.89,81.88
2017-01-31,93,89.0,,0.89,82.77
2017-02-01,92,84.0,False,0.84,77.28
2017-02-02,88,84.0,,0.84,73.92
2017-02-03,88,84.0,,0.84,73.92
2017-02-04,93,84.0,,0.84,78.11999999999999
2017-02-05,100,84.0,,0.84,84.0
2017-02-06,84,84.0,,0.84,70.56
2017-02-07,89,84.0,,0.84,74.75999999999999
2017-02-08,87,84.0,,0.84,73.08
2017-02-09,88,84.0,,0.84,73.92
2017-02-10,89,84.0,,0.84,74.75999999999999
2017-02-11,91,84.0,,0.84,76.44
2017-02-12,97,84.0,,0.84,81.48
2017-02-13,88,84.0,,0.84,73.92
2017-02-14,86,84.0,,0.84,72.24
2017-02-15,85,84.0,,0.84,71.39999999999999
2017-02-16,86,84.0,,0.84,72.24
2017-02-17,90,84.0,,0.84,75.6
2017-02-18,92,84.0,,0.84,77.28
2017-02-19,92,84.0,,0.84,77.28
2017-02-20,93,84.0,,0.84,78.11999999999999
2017-02-21,86,84.0,,0.84,72.24
2017-02-22,85,84.0,,0.84,71.39999999999999
2017-02-23,85,84.0,,0.84,71.39999999999999
2017-02-24,86,84.0,,0.84,72.24
2017-02-25,89,84.0,,0.84,74.75999999999999
2017-02-26,93,84.0,,0.84,78.11999999999999
2017-02-27,85,84.0,,0.84,71.39999999999999
2017-02-28,87,84.0,,0.84,73.08
2017-03-01,91,87.0,False,0.87,79.17
2017-03-02,94,87.0,,0.87,81.78
2017-03-03,90,87.0,,0.87,78.3
2017-03-04,96,87.0,,0.87,83.52
2017-03-05,100,87.0,,0.87,87.0
2017-03-06,92,87.0,,0.87,80.04
2017-03-07,91,87.0,,0.87,79.17
2017-03-08,93,87.0,,0.87,80.91
2017-03-09,91,87.0,,0.87,79.17
2017-03-10,91,87.0,,0.87,79.17
2017-03-11,95,87.0,,0.87,82.65
2017-03-12,96,87.0,,0.87,83.52
2017-03-13,91,87.0,,0.87,79.17
2017-03-14,89,87.0,,0.87,77.42999999999999
2017-03-15,94,87.0,,0.87,81.78
2017-03-16,89,87.0,,0.87,77.42999999999999
2017-03-17,90,87.0,,0.87,78.3
2017-03-18,89,87.0,,0.87,77.42999999999999
2017-03-19,99,87.0,,0.87,86.13
2017-03-20,90,87.0,,0.87,78.3
2017-03-21,91,87.0,,0.87,79.17
2017-03-22,93,87.0,,0.87,80.91
2017-03-23,95,87.0,,0.87,82.65
2017-03-24,91,87.0,,0.87,79.17
2017-03-25,94,87.0,,0.87,81.78
2017-03-26,97,87.0,,0.87,84.39
2017-03-27,94,87.0,,0.87,81.78
2017-03-28,93,87.0,,0.87,80.91
2017-03-29,95,87.0,,0.87,82.65
2017-03-30,92,87.0,,0.87,80.04
2017-03-31,90,87.0,,0.87,78.3
2017-04-01,87,86.0,False,0.86,74.82
2017-04-02,91,86.0,,0.86,78.26
2017-04-03,83,86.0,,0.86,71.38
2017-04-04,82,86.0,,0.86,70.52
2017-04-05,79,86.0,,0.86,67.94
2017-04-06,81,86.0,,0.86,69.66
2017-04-07,83,86.0,,0.86,71.38
2017-04-08,84,86.0,,0.86,72.24
2017-04-09,88,86.0,,0.86,75.67999999999999
2017-04-10,81,86.0,,0.86,69.66
2017-04-11,82,86.0,,0.86,70.52
2017-04-12,81,86.0,,0.86,69.66
2017-04-13,83,86.0,,0.86,71.38
2017-04-14,84,86.0,,0.86,72.24
2017-04-15,87,86.0,,0.86,74.82
2017-04-16,100,86.0,,0.86,86.0
2017-04-17,86,86.0,,0.86,73.96
2017-04-18,83,86.0,,0.86,71.38
2017-04-19,82,86.0,,0.86,70.52
2017-04-20,80,86.0,,0.86,68.8
2017-04-21,78,86.0,,0.86,67.08
2017-04-22,84,86.0,,0.86,72.24
2017-04-23,87,86.0,,0.86,74.82
2017-04-24,82,86.0,,0.86,70.52
2017-04-25,80,86.0,,0.86,68.8
2017-04-26,80,86.0,,0.86,68.8
2017-04-27,83,86.0,,0.86,71.38
2017-04-28,79,86.0,,0.86,67.94
2017-04-29,83,86.0,,0.86,71.38
2017-04-30,88,86.0,,0.86,75.67999999999999
2017-05-01,85,86.0,False,0.86,73.1
2017-05-02,84,86.0,,0.86,72.24
2017-05-03,86,86.0,,0.86,73.96
2017-05-04,86,86.0,,0.86,73.96
2017-05-05,84,86.0,,0.86,72.24
2017-05-06,88,86.0,,0.86,75.67999999999999
2017-05-07,94,86.0,,0.86,80.84
2017-05-08,84,86.0,,0.86,72.24
2017-05-09,84,86.0,,0.86,72.24
2017-05-10,85,86.0,,0.86,73.1
2017-05-11,85,86.0,,0.86,73.1
2017-05-12,83,86.0,,0.86,71.38
2017-05-13,88,86.0,,0.86,75.67999999999999
2017-05-14,90,86.0,,0.86,77.4
2017-05-15,83,86.0,,0.86,71.38
2017-05-16,84,86.0,,0.86,72.24
2017-05-17,82,86.0,,0.86,70.52
2017-05-18,82,86.0,,0.86,70.52
2017-05-19,81,86.0,,0.86,69.66
2017-05-20,88,86.0,,0.86,75.67999999999999
2017-05-21,94,86.0,,0.86,80.84
2017-05-22,85,86.0,,0.86,73.1
2017-05-23,83,86.0,,0.86,71.38
2017-05-24,84,86.0,,0.86,72.24
2017-05-25,85,86.0,,0.86,73.1
2017-05-26,86,86.0,,0.86,73.96
2017-05-27,88,86.0,,0.86,75.67999999999999
2017-05-28,93,86.0,,0.86,79.98
2017-05-29,100,86.0,,0.86,86.0
2017-05-30,85,86.0,,0.86,73.1
2017-05-31,85,86.0,,0.86,73.1
2017-06-01,85,89.0,False,0.89,75.65
2017-06-02,91,89.0,,0.89,80.99
2017-06-03,92,89.0,,0.89,81.88
2017-06-04,95,89.0,,0.89,84.55
2017-06-05,88,89.0,,0.89,78.32000000000001
2017-06-06,87,89.0,,0.89,77.43
2017-06-07,87,89.0,,0.89,77.43
2017-06-08,88,89.0,,0.89,78.32000000000001
2017-06-09,90,89.0,,0.89,80.1
2017-06-10,91,89.0,,0.89,80.99
2017-06-11,96,89.0,,0.89,85.44
2017-06-12,89,89.0,,0.89,79.21000000000001
2017-06-13,88,89.0,,0.89,78.32000000000001
2017-06-14,90,89.0,,0.89,80.1
2017-06-15,89,89.0,,0.89,79.21000000000001
2017-06-16,93,89.0,,0.89,82.77
2017-06-17,99,89.0,,0.89,88.11
2017-06-18,100,89.0,,0.89,89.0
2017-06-19,93,89.0,,0.89,82.77
2017-06-20,90,89.0,,0.89,80.1
2017-06-21,89,89.0,,0.89,79.21000000000001
2017-06-22,91,89.0,,0.89,80.99
2017-06-23,93,89.0,,0.89,82.77
2017-06-24,96,89.0,,0.89,85.44
2017-06-25,99,89.0,,0.89,88.11
2017-06-26,93,89.0,,0.89,82.77
2017-06-27,91,89.0,,0.89,80.99
2017-06-28,91,89.0,,0.89,80.99
2017-06-29,90,89.0,,0.89,80.1
2017-06-30,92,89.0,,0.89,81.88
2017-07-01,92,88.0,False,0.88,80.96
2017-07-02,95,88.0,,0.88,83.6
2017-07-03,94,88.0,,0.88,82.72
2017-07-04,100,88.0,,0.88,88.0
2017-07-05,87,88.0,,0.88,76.56
2017-07-06,86,88.0,,0.88,75.68
2017-07-07,87,88.0,,0.88,76.56
2017-07-08,90,88.0,,0.88,79.2
2017-07-09,94,88.0,,0.88,82.72
2017-07-10,88,88.0,,0.88,77.44
2017-07-11,88,88.0,,0.88,77.44
2017-07-12,88,88.0,,0.88,77.44
2017-07-13,87,88.0,,0.88,76.56
2017-07-14,88,88.0,,0.88,77.44
2017-07-15,93,88.0,,0.88,81.84
2017-07-16,99,88.0,,0.88,87.12
2017-07-17,88,88.0,,0.88,77.44
2017-07-18,86,88.0,,0.88,75.68
2017-07-19,89,88.0,,0.88,78.32000000000001
2017-07-20,88,88.0,,0.88,77.44
2017-07-21,86,88.0,,0.88,75.68
2017-07-22,91,88.0,,0.88,80.08
2017-07-23,93,88.0,,0.88,81.84
2017-07-24,90,88.0,,0.88,79.2
2017-07-25,86,88.0,,0.88,75.68
2017-07-26,87,88.0,,0.88,76.56
2017-07-27,86,88.0,,0.88,75.68
2017-07-28,87,88.0,,0.88,76.56
2017-07-29,94,88.0,,0.88,82.72
2017-07-30,92,88.0,,0.88,80.96
2017-07-31,85,88.0,,0.88,74.8
2017-08-01,90,86.0,False,0.86,77.4
2017-08-02,93,86.0,,0.86,79.98
2017-08-03,89,86.0,,0.86,76.53999999999999
2017-08-04,89,86.0,,0.86,76.53999999999999
2017-08-05,91,86.0,,0.86,78.26
2017-08-06,97,86.0,,0.86,83.42
2017-08-07,91,86.0,,0.86,78.26
2017-08-08,89,86.0,,0.86,76.53999999999999
2017-08-09,92,86.0,,0.86,79.12
2017-08-10,91,86.0,,0.86,78.26
2017-08-11,88,86.0,,0.86,75.67999999999999
2017-08-12,92,86.0,,0.86,79.12
2017-08-13,96,86.0,,0.86,82.56
2017-08-14,88,86.0,,0.86,75.67999999999999
2017-08-15,90,86.0,,0.86,77.4
2017-08-16,89,86.0,,0.86,76.53999999999999
2017-08-17,87,86.0,,0.86,74.82
2017-08-18,88,86.0,,0.86,75.67999999999999
2017-08-19,94,86.0,,0.86,80.84
2017-08-20,95,86.0,,0.86,81.7
2017-08-21,89,86.0,,0.86,76.53999999999999
2017-08-22,88,86.0,,0.86,75.67999999999999
2017-08-23,90,86.0,,0.86,77.4
2017-08-24,86,86.0,,0.86,73.96
2017-08-25,89,86.0,,0.86,76.53999999999999
2017-08-26,100,86.0,,0.86,86.0
2017-08-27,100,86.0,,0.86,86.0
2017-08-28,89,86.0,,0.86,76.53999999999999
2017-08-29,86,86.0,,0.86,73.96
2017-08-30,85,86.0,,0.86,73.1
2017-08-31,87,86.0,,0.86,74.82
2017-09-01,87,85.0,False,0.85,73.95
2017-09-02,92,85.0,,0.85,78.2
2017-09-03,98,85.0,,0.85,83.3
2017-09-04,100,85.0,,0.85,85.0
2017-09-05,83,85.0,,0.85,70.55
2017-09-06,87,85.0,,0.85,73.95
2017-09-07,87,85.0,,0.85,73.95
2017-09-08,84,85.0,,0.85,71.39999999999999
2017-09-09,90,85.0,,0.85,76.5
2017-09-10,92,85.0,,0.85,78.2
2017-09-11,88,85.0,,0.85,74.8
2017-09-12,86,85.0,,0.85,73.1
2017-09-13,86,85.0,,0.85,73.1
2017-09-14,86,85.0,,0.85,73.1
2017-09-15,86,85.0,,0.85,73.1
2017-09-16,95,85.0,,0.85,80.75
2017-09-17,97,85.0,,0.85,82.45
2017-09-18,88,85.0,,0.85,74.8
2017-09-19,89,85.0,,0.85,75.64999999999999
2017-09-20,89,85.0,,0.85,75.64999999999999
2017-09-21,87,85.0,,0.85,73.95
2017-09-22,88,85.0,,0.85,74.8
2017-09-23,95,85.0,,0.85,80.75
2017-09-24,97,85.0,,0.85,82.45
2017-09-25,90,85.0,,0.85,76.5
2017-09-26,90,85.0,,0.85,76.5
2017-09-27,90,85.0,,0.85,76.5
2017-09-28,88,85.0,,0.85,74.8
2017-09-29,87,85.0,,0.85,73.95
2017-09-30,93,85.0,,0.85,79.05
2017-10-01,100,86.0,False,0.86,86.0
2017-10-02,85,86.0,,0.86,73.1
2017-10-03,87,86.0,,0.86,74.82
2017-10-04,88,86.0,,0.86,75.67999999999999
2017-10-05,89,86.0,,0.86,76.53999999999999
2017-10-06,89,86.0,,0.86,76.53999999999999
2017-10-07,91,86.0,,0.86,78.26
2017-10-08,95,86.0,,0.86,81.7
2017-10-09,93,86.0,,0.86,79.98
2017-10-10,89,86.0,,0.86,76.53999999999999
2017-10-11,86,86.0,,0.86,73.96
2017-10-12,92,86.0,,0.86,79.12
2017-10-13,88,86.0,,0.86,75.67999999999999
2017-10-14,90,86.0,,0.86,77.4
2017-10-15,92,86.0,,0.86,79.12
2017-10-16,92,86.0,,0.86,79.12
2017-10-17,88,86.0,,0.86,75.67999999999999
2017-10-18,90,86.0,,0.86,77.4
2017-10-19,86,86.0,,0.86,73.96
2017-10-20,85,86.0,,0.86,73.1
2017-10-21,91,86.0,,0.86,78.26
2017-10-22,92,86.0,,0.86,79.12
2017-10-23,87,86.0,,0.86,74.82
2017-10-24,87,86.0,,0.86,74.82
2017-10-25,89,86.0,,0.86,76.53999999999999
2017-10-26,88,86.0,,0.86,75.67999999999999
2017-10-27,87,86.0,,0.86,74.82
2017-10-28,89,86.0,,0.86,76.53999999999999
2017-10-29,90,86.0,,0.86,77.4
2017-10-30,84,86.0,,0.86,72.24
2017-10-31,86,86.0,,0.86,73.96
2017-11-01,75,86.0,False,0.86,64.5
2017-11-02,75,86.0,,0.86,64.5
2017-11-03,80,86.0,,0.86,68.8
2017-11-04,83,86.0,,0.86,71.38
2017-11-05,83,86.0,,0.86,71.38
2017-11-06,81,86.0,,0.86,69.66
2017-11-07,82,86.0,,0.86,70.52
2017-11-08,81,86.0,,0.86,69.66
2017-11-09,80,86.0,,0.86,68.8
2017-11-10,84,86.0,,0.86,72.24
2017-11-11,90,86.0,,0.86,77.4
2017-11-12,88,86.0,,0.86,75.67999999999999
2017-11-13,80,86.0,,0.86,68.8
2017-11-14,80,86.0,,0.86,68.8
2017-11-15,80,86.0,,0.86,68.8
2017-11-16,79,86.0,,0.86,67.94
2017-11-17,79,86.0,,0.86,67.94
2017-11-18,83,86.0,,0.86,71.38
2017-11-19,88,86.0,,0.86,75.67999999999999
2017-11-20,83,86.0,,0.86,71.38
2017-11-21,80,86.0,,0.86,68.8
2017-11-22,85,86.0,,0.86,73.1
2017-11-23,100,86.0,,0.86,86.0
2017-11-24,88,86.0,,0.86,75.67999999999999
2017-11-25,86,86.0,,0.86,73.96
2017-11-26,88,86.0,,0.86,75.67999999999999
2017-11-27,80,86.0,,0.86,68.8
2017-11-28,84,86.0,,0.86,72.24
2017-11-29,85,86.0,,0.86,73.1
2017-11-30,82,86.0,,0.86,70.52
2017-12-01,59,88.0,False,0.88,51.92
2017-12-02,64,88.0,,0.88,56.32
2017-12-03,65,88.0,,0.88,57.2
2017-12-04,59,88.0,,0.88,51.92
2017-12-05,60,88.0,,0.88,52.8
2017-12-06,62,88.0,,0.88,54.56
2017-12-07,60,88.0,,0.88,52.8
2017-12-08,59,88.0,,0.88,51.92
2017-12-09,64,88.0,,0.88,56.32
2017-12-10,65,88.0,,0.88,57.2
2017-12-11,60,88.0,,0.88,52.8
2017-12-12,60,88.0,,0.88,52.8
2017-12-13,57,88.0,,0.88,50.160000000000004
2017-12-14,59,88.0,,0.88,51.92
2017-12-15,60,88.0,,0.88,52.8
2017-12-16,60,88.0,,0.88,52.8
2017-12-17,61,88.0,,0.88,53.68
2017-12-18,57,88.0,,0.88,50.160000000000004
2017-12-19,58,88.0,,0.88,51.04
2017-12-20,58,88.0,,0.88,51.04
2017-12-21,59,88.0,,0.88,51.92
2017-12-22,58,88.0,,0.88,51.04
2017-12-23,62,88.0,,0.88,54.56
2017-12-24,66,88.0,,0.88,58.08
2017-12-25,100,88.0,,0.88,88.0
2017-12-26,69,88.0,,0.88,60.72
2017-12-27,65,88.0,,0.88,57.2
2017-12-28,61,88.0,,0.88,53.68
2017-12-29,62,88.0,,0.88,54.56
2017-12-30,64,88.0,,0.88,56.32
2017-12-31,68,88.0,,0.88,59.84
2018-01-01,100,86.0,False,0.86,86.0
2018-01-02,86,86.0,,0.86,73.96
2018-01-03,89,86.0,,0.86,76.53999999999999
2018-01-04,86,86.0,,0.86,73.96
