date,XLF_unscaled,XLF_monthly,isPartial,scale,XLF
2016-08-24,68,28.0,,0.28,19.040000000000003
2016-08-25,90,28.0,,0.28,25.200000000000003
2016-08-26,0,28.0,,0.28,0.0
2016-08-27,0,28.0,,0.28,0.0
2016-08-28,0,28.0,,0.28,0.0
2016-08-29,76,28.0,,0.28,21.28
2016-08-30,88,28.0,,0.28,24.64
2016-08-31,50,28.0,,0.28,14.000000000000002
2016-09-01,9,77.0,False,0.77,6.93
2016-09-02,10,77.0,,0.77,7.7
2016-09-03,1,77.0,,0.77,0.77
2016-09-04,0,77.0,,0.77,0.0
2016-09-05,1,77.0,,0.77,0.77
2016-09-06,3,77.0,,0.77,2.31
2016-09-07,6,77.0,,0.77,4.62
2016-09-08,7,77.0,,0.77,5.390000000000001
2016-09-09,12,77.0,,0.77,9.24
2016-09-10,1,77.0,,0.77,0.77
2016-09-11,5,77.0,,0.77,3.85
2016-09-12,3,77.0,,0.77,2.31
2016-09-13,8,77.0,,0.77,6.16
2016-09-14,3,77.0,,0.77,2.31
2016-09-15,5,77.0,,0.77,3.85
2016-09-16,6,77.0,,0.77,4.62
2016-09-17,0,77.0,,0.77,0.0
2016-09-18,0,77.0,,0.77,0.0
2016-09-19,100,77.0,,0.77,77.0
2016-09-20,32,77.0,,0.77,24.64
2016-09-21,15,77.0,,0.77,11.55
2016-09-22,23,77.0,,0.77,17.71
2016-09-23,14,77.0,,0.77,10.780000000000001
2016-09-24,4,77.0,,0.77,3.08
2016-09-25,5,77.0,,0.77,3.85
2016-09-26,11,77.0,,0.77,8.47
2016-09-27,6,77.0,,0.77,4.62
2016-09-28,9,77.0,,0.77,6.93
2016-09-29,6,77.0,,0.77,4.62
2016-09-30,8,77.0,,0.77,6.16
2016-10-01,0,34.0,False,0.34,0.0
2016-10-02,28,34.0,,0.34,9.520000000000001
2016-10-03,31,34.0,,0.34,10.540000000000001
2016-10-04,100,34.0,,0.34,34.0
2016-10-05,8,34.0,,0.34,2.72
2016-10-06,23,34.0,,0.34,7.82
2016-10-07,55,34.0,,0.34,18.700000000000003
2016-10-08,28,34.0,,0.34,9.520000000000001
2016-10-09,27,34.0,,0.34,9.180000000000001
2016-10-10,39,34.0,,0.34,13.260000000000002
2016-10-11,24,34.0,,0.34,8.16
2016-10-12,63,34.0,,0.34,21.42
2016-10-13,55,34.0,,0.34,18.700000000000003
2016-10-14,41,34.0,,0.34,13.940000000000001
2016-10-15,0,34.0,,0.34,0.0
2016-10-16,18,34.0,,0.34,6.12
2016-10-17,31,34.0,,0.34,10.540000000000001
2016-10-18,46,34.0,,0.34,15.64
2016-10-19,79,34.0,,0.34,26.860000000000003
2016-10-20,70,34.0,,0.34,23.8
2016-10-21,24,34.0,,0.34,8.16
2016-10-22,10,34.0,,0.34,3.4000000000000004
2016-10-23,0,34.0,,0.34,0.0
2016-10-24,15,34.0,,0.34,5.1000000000000005
2016-10-25,23,34.0,,0.34,7.82
2016-10-26,15,34.0,,0.34,5.1000000000000005
2016-10-27,23,34.0,,0.34,7.82
2016-10-28,41,34.0,,0.34,13.940000000000001
2016-10-29,9,34.0,,0.34,3.06
2016-10-30,18,34.0,,0.34,6.12
2016-10-31,23,34.0,,0.34,7.82
2016-11-01,12,69.0,False,0.69,8.28
2016-11-02,0,69.0,,0.69,0.0
2016-11-03,7,69.0,,0.69,4.83
2016-11-04,16,69.0,,0.69,11.04
2016-11-05,0,69.0,,0.69,0.0
2016-11-06,0,69.0,,0.69,0.0
2016-11-07,22,69.0,,0.69,15.18
2016-11-08,25,69.0,,0.69,17.25
2016-11-09,33,69.0,,0.69,22.77
2016-11-10,86,69.0,,0.69,59.339999999999996
2016-11-11,100,69.0,,0.69,69.0
2016-11-12,27,69.0,,0.69,18.63
2016-11-13,18,69.0,,0.69,12.419999999999998
2016-11-14,79,69.0,,0.69,54.51
2016-11-15,72,69.0,,0.69,49.67999999999999
2016-11-16,76,69.0,,0.69,52.44
2016-11-17,66,69.0,,0.69,45.54
2016-11-18,56,69.0,,0.69,38.64
2016-11-19,9,69.0,,0.69,6.209999999999999
2016-11-20,18,69.0,,0.69,12.419999999999998
2016-11-21,15,69.0,,0.69,10.35
2016-11-22,16,69.0,,0.69,11.04
2016-11-23,37,69.0,,0.69,25.529999999999998
2016-11-24,0,69.0,,0.69,0.0
2016-11-25,30,69.0,,0.69,20.7
2016-11-26,17,69.0,,0.69,11.729999999999999
2016-11-27,4,69.0,,0.69,2.76
2016-11-28,24,69.0,,0.69,16.56
2016-11-29,53,69.0,,0.69,36.57
2016-11-30,76,69.0,,0.69,52.44
2016-12-01,83,70.0,False,0.7,58.099999999999994
2016-12-02,54,70.0,,0.7,37.8
2016-12-03,28,70.0,,0.7,19.599999999999998
2016-12-04,7,70.0,,0.7,4.8999999999999995
2016-12-05,16,70.0,,0.7,11.2
2016-12-06,50,70.0,,0.7,35.0
2016-12-07,70,70.0,,0.7,49.0
2016-12-08,100,70.0,,0.7,70.0
2016-12-09,68,70.0,,0.7,47.599999999999994
2016-12-10,29,70.0,,0.7,20.299999999999997
2016-12-11,7,70.0,,0.7,4.8999999999999995
2016-12-12,40,70.0,,0.7,28.0
2016-12-13,86,70.0,,0.7,60.199999999999996
2016-12-14,65,70.0,,0.7,45.5
2016-12-15,96,70.0,,0.7,67.19999999999999
2016-12-16,88,70.0,,0.7,61.599999999999994
2016-12-17,15,70.0,,0.7,10.5
2016-12-18,0,70.0,,0.7,0.0
2016-12-19,99,70.0,,0.7,69.3
2016-12-20,82,70.0,,0.7,57.4
2016-12-21,52,70.0,,0.7,36.4
2016-12-22,20,70.0,,0.7,14.0
2016-12-23,27,70.0,,0.7,18.9
2016-12-24,8,70.0,,0.7,5.6
2016-12-25,8,70.0,,0.7,5.6
2016-12-26,28,70.0,,0.7,19.599999999999998
2016-12-27,19,70.0,,0.7,13.299999999999999
2016-12-28,72,70.0,,0.7,50.4
2016-12-29,44,70.0,,0.7,30.799999999999997
2016-12-30,40,70.0,,0.7,28.0
2016-12-31,7,70.0,,0.7,4.8999999999999995
2017-01-01,0,66.0,False,0.66,0.0
2017-01-02,26,66.0,,0.66,17.16
2017-01-03,38,66.0,,0.66,25.080000000000002
2017-01-04,47,66.0,,0.66,31.020000000000003
2017-01-05,54,66.0,,0.66,35.64
2017-01-06,43,66.0,,0.66,28.380000000000003
2017-01-07,22,66.0,,0.66,14.520000000000001
2017-01-08,32,66.0,,0.66,21.12
2017-01-09,28,66.0,,0.66,18.48
2017-01-10,41,66.0,,0.66,27.060000000000002
2017-01-11,51,66.0,,0.66,33.660000000000004
2017-01-12,37,66.0,,0.66,24.42
2017-01-13,81,66.0,,0.66,53.46
2017-01-14,28,66.0,,0.66,18.48
2017-01-15,0,66.0,,0.66,0.0
2017-01-16,29,66.0,,0.66,19.14
2017-01-17,46,66.0,,0.66,30.360000000000003
2017-01-18,100,66.0,,0.66,66.0
2017-01-19,55,66.0,,0.66,36.300000000000004
2017-01-20,45,66.0,,0.66,29.700000000000003
2017-01-21,16,66.0,,0.66,10.56
2017-01-22,0,66.0,,0.66,0.0
2017-01-23,35,66.0,,0.66,23.1
2017-01-24,50,66.0,,0.66,33.0
2017-01-25,68,66.0,,0.66,44.88
2017-01-26,45,66.0,,0.66,29.700000000000003
2017-01-27,84,66.0,,0.66,55.440000000000005
2017-01-28,33,66.0,,0.66,21.78
2017-01-29,22,66.0,,0.66,14.520000000000001
2017-01-30,71,66.0,,0.66,46.86
2017-01-31,45,66.0,,0.66,29.700000000000003
2017-02-01,33,74.0,False,0.74,24.419999999999998
2017-02-02,26,74.0,,0.74,19.24
2017-02-03,100,74.0,,0.74,74.0
2017-02-04,18,74.0,,0.74,13.32
2017-02-05,22,74.0,,0.74,16.28
2017-02-06,25,74.0,,0.74,18.5
2017-02-07,51,74.0,,0.74,37.74
2017-02-08,49,74.0,,0.74,36.26
2017-02-09,30,74.0,,0.74,22.2
2017-02-10,47,74.0,,0.74,34.78
2017-02-11,19,74.0,,0.74,14.06
2017-02-12,23,74.0,,0.74,17.02
2017-02-13,44,74.0,,0.74,32.56
2017-02-14,49,74.0,,0.74,36.26
2017-02-15,84,74.0,,0.74,62.16
2017-02-16,67,74.0,,0.74,49.58
2017-02-17,45,74.0,,0.74,33.3
2017-02-18,18,74.0,,0.74,13.32
2017-02-19,19,74.0,,0.74,14.06
2017-02-20,8,74.0,,0.74,5.92
2017-02-21,74,74.0,,0.74,54.76
2017-02-22,48,74.0,,0.74,35.519999999999996
2017-02-23,37,74.0,,0.74,27.38
2017-02-24,42,74.0,,0.74,31.08
2017-02-25,13,74.0,,0.74,9.62
2017-02-26,13,74.0,,0.74,9.62
2017-02-27,52,74.0,,0.74,38.48
2017-02-28,25,74.0,,0.74,18.5
2017-03-01,100,72.0,False,0.72,72.0
2017-03-02,46,72.0,,0.72,33.12
2017-03-03,64,72.0,,0.72,46.08
2017-03-04,26,72.0,,0.72,18.72
2017-03-05,9,72.0,,0.72,6.4799999999999995
2017-03-06,31,72.0,,0.72,22.32
2017-03-07,48,72.0,,0.72,34.56
2017-03-08,55,72.0,,0.72,39.6
2017-03-09,51,72.0,,0.72,36.72
2017-03-10,41,72.0,,0.72,29.52
2017-03-11,0,72.0,,0.72,0.0
2017-03-12,4,72.0,,0.72,2.88
2017-03-13,41,72.0,,0.72,29.52
2017-03-14,37,72.0,,0.72,26.64
2017-03-15,56,72.0,,0.72,40.32
2017-03-16,60,72.0,,0.72,43.199999999999996
2017-03-17,39,72.0,,0.72,28.08
2017-03-18,13,72.0,,0.72,9.36
2017-03-19,18,72.0,,0.72,12.959999999999999
2017-03-20,33,72.0,,0.72,23.759999999999998
2017-03-21,70,72.0,,0.72,50.4
2017-03-22,33,72.0,,0.72,23.759999999999998
2017-03-23,19,72.0,,0.72,13.68
2017-03-24,46,72.0,,0.72,33.12
2017-03-25,9,72.0,,0.72,6.4799999999999995
2017-03-26,4,72.0,,0.72,2.88
2017-03-27,44,72.0,,0.72,31.68
2017-03-28,49,72.0,,0.72,35.28
2017-03-29,49,72.0,,0.72,35.28
2017-03-30,42,72.0,,0.72,30.24
2017-03-31,34,72.0,,0.72,24.48
2017-04-01,0,48.0,False,0.48,0.0
2017-04-02,39,48.0,,0.48,18.72
2017-04-03,44,48.0,,0.48,21.119999999999997
2017-04-04,57,48.0,,0.48,27.36
2017-04-05,32,48.0,,0.48,15.36
2017-04-06,58,48.0,,0.48,27.84
2017-04-07,66,48.0,,0.48,31.68
2017-04-08,0,48.0,,0.48,0.0
2017-04-09,24,48.0,,0.48,11.52
2017-04-10,52,48.0,,0.48,24.96
2017-04-11,52,48.0,,0.48,24.96
2017-04-12,33,48.0,,0.48,15.84
2017-04-13,92,48.0,,0.48,44.16
2017-04-14,49,48.0,,0.48,23.52
2017-04-15,0,48.0,,0.48,0.0
2017-04-16,0,48.0,,0.48,0.0
2017-04-17,59,48.0,,0.48,28.32
2017-04-18,63,48.0,,0.48,30.24
2017-04-19,38,48.0,,0.48,18.24
2017-04-20,77,48.0,,0.48,36.96
2017-04-21,41,48.0,,0.48,19.68
2017-04-22,32,48.0,,0.48,15.36
2017-04-23,8,48.0,,0.48,3.84
2017-04-24,89,48.0,,0.48,42.72
2017-04-25,70,48.0,,0.48,33.6
2017-04-26,100,48.0,,0.48,48.0
2017-04-27,51,48.0,,0.48,24.48
2017-04-28,33,48.0,,0.48,15.84
2017-04-29,23,48.0,,0.48,11.04
2017-04-30,16,48.0,,0.48,7.68
2017-05-01,97,52.0,False,0.52,50.440000000000005
2017-05-02,58,52.0,,0.52,30.16
2017-05-03,66,52.0,,0.52,34.32
2017-05-04,88,52.0,,0.52,45.760000000000005
2017-05-05,76,52.0,,0.52,39.52
2017-05-06,16,52.0,,0.52,8.32
2017-05-07,8,52.0,,0.52,4.16
2017-05-08,40,52.0,,0.52,20.8
2017-05-09,80,52.0,,0.52,41.6
2017-05-10,40,52.0,,0.52,20.8
2017-05-11,20,52.0,,0.52,10.4
2017-05-12,35,52.0,,0.52,18.2
2017-05-13,17,52.0,,0.52,8.84
2017-05-14,9,52.0,,0.52,4.68
2017-05-15,21,52.0,,0.52,10.92
2017-05-16,71,52.0,,0.52,36.92
2017-05-17,100,52.0,,0.52,52.0
2017-05-18,79,52.0,,0.52,41.08
2017-05-19,51,52.0,,0.52,26.52
2017-05-20,18,52.0,,0.52,9.36
2017-05-21,9,52.0,,0.52,4.68
2017-05-22,50,52.0,,0.52,26.0
2017-05-23,48,52.0,,0.52,24.96
2017-05-24,43,52.0,,0.52,22.36
2017-05-25,58,52.0,,0.52,30.16
2017-05-26,86,52.0,,0.52,44.72
2017-05-27,9,52.0,,0.52,4.68
2017-05-28,18,52.0,,0.52,9.36
2017-05-29,8,52.0,,0.52,4.16
2017-05-30,36,52.0,,0.52,18.72
2017-05-31,92,52.0,,0.52,47.84
2017-06-01,43,57.0,False,0.57,24.509999999999998
2017-06-02,36,57.0,,0.57,20.52
2017-06-03,10,57.0,,0.57,5.699999999999999
2017-06-04,20,57.0,,0.57,11.399999999999999
2017-06-05,17,57.0,,0.57,9.69
2017-06-06,8,57.0,,0.57,4.56
2017-06-07,29,57.0,,0.57,16.529999999999998
2017-06-08,42,57.0,,0.57,23.939999999999998
2017-06-09,72,57.0,,0.57,41.04
2017-06-10,21,57.0,,0.57,11.969999999999999
2017-06-11,5,57.0,,0.57,2.8499999999999996
2017-06-12,42,57.0,,0.57,23.939999999999998
2017-06-13,41,57.0,,0.57,23.369999999999997
2017-06-14,42,57.0,,0.57,23.939999999999998
2017-06-15,22,57.0,,0.57,12.54
2017-06-16,26,57.0,,0.57,14.819999999999999
2017-06-17,10,57.0,,0.57,5.699999999999999
2017-06-18,5,57.0,,0.57,2.8499999999999996
2017-06-19,25,57.0,,0.57,14.249999999999998
2017-06-20,28,57.0,,0.57,15.959999999999999
2017-06-21,29,57.0,,0.57,16.529999999999998
2017-06-22,29,57.0,,0.57,16.529999999999998
2017-06-23,41,57.0,,0.57,23.369999999999997
2017-06-24,5,57.0,,0.57,2.8499999999999996
2017-06-25,0,57.0,,0.57,0.0
2017-06-26,22,57.0,,0.57,12.54
2017-06-27,40,57.0,,0.57,22.799999999999997
2017-06-28,59,57.0,,0.57,33.629999999999995
2017-06-29,100,57.0,,0.57,56.99999999999999
2017-06-30,28,57.0,,0.57,15.959999999999999
2017-07-01,17,57.0,False,0.57,9.69
2017-07-02,11,57.0,,0.57,6.27
2017-07-03,41,57.0,,0.57,23.369999999999997
2017-07-04,17,57.0,,0.57,9.69
2017-07-05,15,57.0,,0.57,8.549999999999999
2017-07-06,60,57.0,,0.57,34.199999999999996
2017-07-07,38,57.0,,0.57,21.659999999999997
2017-07-08,5,57.0,,0.57,2.8499999999999996
2017-07-09,11,57.0,,0.57,6.27
2017-07-10,23,57.0,,0.57,13.11
2017-07-11,46,57.0,,0.57,26.22
2017-07-12,37,57.0,,0.57,21.09
2017-07-13,65,57.0,,0.57,37.05
2017-07-14,100,57.0,,0.57,56.99999999999999
2017-07-15,11,57.0,,0.57,6.27
2017-07-16,0,57.0,,0.57,0.0
2017-07-17,56,57.0,,0.57,31.919999999999998
2017-07-18,37,57.0,,0.57,21.09
2017-07-19,28,57.0,,0.57,15.959999999999999
2017-07-20,27,57.0,,0.57,15.389999999999999
2017-07-21,47,57.0,,0.57,26.79
2017-07-22,21,57.0,,0.57,11.969999999999999
2017-07-23,16,57.0,,0.57,9.12
2017-07-24,37,57.0,,0.57,21.09
2017-07-25,55,57.0,,0.57,31.349999999999998
2017-07-26,36,57.0,,0.57,20.52
2017-07-27,55,57.0,,0.57,31.349999999999998
2017-07-28,28,57.0,,0.57,15.959999999999999
2017-07-29,0,57.0,,0.57,0.0
2017-07-30,11,57.0,,0.57,6.27
2017-07-31,32,57.0,,0.57,18.24
2017-08-01,73,44.0,False,0.44,32.12
2017-08-02,64,44.0,,0.44,28.16
2017-08-03,37,44.0,,0.44,16.28
2017-08-04,100,44.0,,0.44,44.0
2017-08-05,26,44.0,,0.44,11.44
2017-08-06,9,44.0,,0.44,3.96
2017-08-07,66,44.0,,0.44,29.04
2017-08-08,85,44.0,,0.44,37.4
2017-08-09,74,44.0,,0.44,32.56
2017-08-10,62,44.0,,0.44,27.28
2017-08-11,15,44.0,,0.44,6.6
2017-08-12,35,44.0,,0.44,15.4
2017-08-13,9,44.0,,0.44,3.96
2017-08-14,83,44.0,,0.44,36.52
2017-08-15,53,44.0,,0.44,23.32
2017-08-16,37,44.0,,0.44,16.28
2017-08-17,38,44.0,,0.44,16.72
2017-08-18,53,44.0,,0.44,23.32
2017-08-19,0,44.0,,0.44,0.0
2017-08-20,9,44.0,,0.44,3.96
2017-08-21,43,44.0,,0.44,18.92
2017-08-22,30,44.0,,0.44,13.2
2017-08-23,30,44.0,,0.44,13.2
2017-08-24,37,44.0,,0.44,16.28
2017-08-25,15,44.0,,0.44,6.6
2017-08-26,26,44.0,,0.44,11.44
2017-08-27,0,44.0,,0.44,0.0
2017-08-28,81,44.0,,0.44,35.64
2017-08-29,22,44.0,,0.44,9.68
2017-08-30,22,44.0,,0.44,9.68
2017-08-31,36,44.0,,0.44,15.84
2017-09-01,53,44.0,False,0.44,23.32
2017-09-02,20,44.0,,0.44,8.8
2017-09-03,0,44.0,,0.44,0.0
2017-09-04,0,44.0,,0.44,0.0
2017-09-05,98,44.0,,0.44,43.12
2017-09-06,56,44.0,,0.44,24.64
2017-09-07,99,44.0,,0.44,43.56
2017-09-08,41,44.0,,0.44,18.04
2017-09-09,0,44.0,,0.44,0.0
2017-09-10,0,44.0,,0.44,0.0
2017-09-11,49,44.0,,0.44,21.56
2017-09-12,100,44.0,,0.44,44.0
2017-09-13,91,44.0,,0.44,40.04
2017-09-14,51,44.0,,0.44,22.44
2017-09-15,51,44.0,,0.44,22.44
2017-09-16,20,44.0,,0.44,8.8
2017-09-17,20,44.0,,0.44,8.8
2017-09-18,74,44.0,,0.44,32.56
2017-09-19,74,44.0,,0.44,32.56
2017-09-20,82,44.0,,0.44,36.08
2017-09-21,83,44.0,,0.44,36.52
2017-09-22,61,44.0,,0.44,26.84
2017-09-23,0,44.0,,0.44,0.0
2017-09-24,30,44.0,,0.44,13.2
2017-09-25,42,44.0,,0.44,18.48
2017-09-26,83,44.0,,0.44,36.52
2017-09-27,92,44.0,,0.44,40.48
2017-09-28,34,44.0,,0.44,14.96
2017-09-29,34,44.0,,0.44,14.96
2017-09-30,21,44.0,,0.44,9.24
2017-10-01,9,49.0,False,0.49,4.41
2017-10-02,58,49.0,,0.49,28.419999999999998
2017-10-03,74,49.0,,0.49,36.26
2017-10-04,60,49.0,,0.49,29.4
2017-10-05,83,49.0,,0.49,40.67
2017-10-06,100,49.0,,0.49,49.0
2017-10-07,9,49.0,,0.49,4.41
2017-10-08,9,49.0,,0.49,4.41
2017-10-09,74,49.0,,0.49,36.26
2017-10-10,73,49.0,,0.49,35.769999999999996
2017-10-11,59,49.0,,0.49,28.91
2017-10-12,67,49.0,,0.49,32.83
2017-10-13,61,49.0,,0.49,29.89
2017-10-14,18,49.0,,0.49,8.82
2017-10-15,18,49.0,,0.49,8.82
2017-10-16,60,49.0,,0.49,29.4
2017-10-17,83,49.0,,0.49,40.67
2017-10-18,75,49.0,,0.49,36.75
2017-10-19,39,49.0,,0.49,19.11
2017-10-20,86,49.0,,0.49,42.14
2017-10-21,9,49.0,,0.49,4.41
2017-10-22,35,49.0,,0.49,17.15
2017-10-23,44,49.0,,0.49,21.56
2017-10-24,81,49.0,,0.49,39.69
2017-10-25,75,49.0,,0.49,36.75
2017-10-26,52,49.0,,0.49,25.48
2017-10-27,47,49.0,,0.49,23.03
2017-10-28,0,49.0,,0.49,0.0
2017-10-29,0,49.0,,0.49,0.0
2017-10-30,22,49.0,,0.49,10.78
2017-10-31,23,49.0,,0.49,11.27
2017-11-01,33,43.0,False,0.43,14.19
2017-11-02,52,43.0,,0.43,22.36
2017-11-03,33,43.0,,0.43,14.19
2017-11-04,0,43.0,,0.43,0.0
2017-11-05,6,43.0,,0.43,2.58
2017-11-06,37,43.0,,0.43,15.91
2017-11-07,58,43.0,,0.43,24.94
2017-11-08,73,43.0,,0.43,31.39
2017-11-09,42,43.0,,0.43,18.06
2017-11-10,23,43.0,,0.43,9.89
2017-11-11,13,43.0,,0.43,5.59
2017-11-12,13,43.0,,0.43,5.59
2017-11-13,31,43.0,,0.43,13.33
2017-11-14,21,43.0,,0.43,9.03
2017-11-15,11,43.0,,0.43,4.7299999999999995
2017-11-16,31,43.0,,0.43,13.33
2017-11-17,43,43.0,,0.43,18.49
2017-11-18,6,43.0,,0.43,2.58
2017-11-19,19,43.0,,0.43,8.17
2017-11-20,32,43.0,,0.43,13.76
2017-11-21,39,43.0,,0.43,16.77
2017-11-22,58,43.0,,0.43,24.94
2017-11-23,25,43.0,,0.43,10.75
2017-11-24,6,43.0,,0.43,2.58
2017-11-25,6,43.0,,0.43,2.58
2017-11-26,0,43.0,,0.43,0.0
2017-11-27,10,43.0,,0.43,4.3
2017-11-28,36,43.0,,0.43,15.48
2017-11-29,78,43.0,,0.43,33.54
2017-11-30,100,43.0,,0.43,43.0
2017-12-01,49,74.0,False,0.74,36.26
2017-12-02,9,74.0,,0.74,6.66
2017-12-03,13,74.0,,0.74,9.62
2017-12-04,100,74.0,,0.74,74.0
2017-12-05,33,74.0,,0.74,24.419999999999998
2017-12-06,37,74.0,,0.74,27.38
2017-12-07,49,74.0,,0.74,36.26
2017-12-08,58,74.0,,0.74,42.92
2017-12-09,9,74.0,,0.74,6.66
2017-12-10,5,74.0,,0.74,3.7
2017-12-11,48,74.0,,0.74,35.519999999999996
2017-12-12,33,74.0,,0.74,24.419999999999998
2017-12-13,59,74.0,,0.74,43.66
2017-12-14,54,74.0,,0.74,39.96
2017-12-15,52,74.0,,0.74,38.48
2017-12-16,23,74.0,,0.74,17.02
2017-12-17,18,74.0,,0.74,13.32
2017-12-18,70,74.0,,0.74,51.8
2017-12-19,67,74.0,,0.74,49.58
2017-12-20,32,74.0,,0.74,23.68
2017-12-21,67,74.0,,0.74,49.58
2017-12-22,74,74.0,,0.74,54.76
2017-12-23,14,74.0,,0.74,10.36
2017-12-24,5,74.0,,0.74,3.7
2017-12-25,5,74.0,,0.74,3.7
2017-12-26,32,74.0,,0.74,23.68
2017-12-27,43,74.0,,0.74,31.82
