date,DNA_unscaled,DNA_monthly,isPartial,scale,DNA
2016-08-29,89,45.0,,0.45,40.050000000000004
2016-08-30,100,45.0,,0.45,45.0
2016-08-31,94,45.0,,0.45,42.300000000000004
2016-09-01,74,63.0,False,0.63,46.62
2016-09-02,70,63.0,,0.63,44.1
2016-09-03,52,63.0,,0.63,32.76
2016-09-04,58,63.0,,0.63,36.54
2016-09-05,66,63.0,,0.63,41.58
2016-09-06,81,63.0,,0.63,51.03
2016-09-07,79,63.0,,0.63,49.77
2016-09-08,84,63.0,,0.63,52.92
2016-09-09,77,63.0,,0.63,48.51
2016-09-10,57,63.0,,0.63,35.910000000000004
2016-09-11,65,63.0,,0.63,40.95
2016-09-12,86,63.0,,0.63,54.18
2016-09-13,83,63.0,,0.63,52.29
2016-09-14,86,63.0,,0.63,54.18
2016-09-15,89,63.0,,0.63,56.07
2016-09-16,84,63.0,,0.63,52.92
2016-09-17,57,63.0,,0.63,35.910000000000004
2016-09-18,68,63.0,,0.63,42.84
2016-09-19,98,63.0,,0.63,61.74
2016-09-20,95,63.0,,0.63,59.85
2016-09-21,100,63.0,,0.63,63.0
2016-09-22,99,63.0,,0.63,62.37
2016-09-23,78,63.0,,0.63,49.14
2016-09-24,57,63.0,,0.63,35.910000000000004
2016-09-25,67,63.0,,0.63,42.21
2016-09-26,99,63.0,,0.63,62.37
2016-09-27,86,63.0,,0.63,54.18
2016-09-28,99,63.0,,0.63,62.37
2016-09-29,100,63.0,,0.63,63.0
2016-09-30,82,63.0,,0.63,51.660000000000004
2016-10-01,48,69.0,False,0.69,33.12
2016-10-02,61,69.0,,0.69,42.089999999999996
2016-10-03,75,69.0,,0.69,51.74999999999999
2016-10-04,82,69.0,,0.69,56.58
2016-10-05,78,69.0,,0.69,53.81999999999999
2016-10-06,80,69.0,,0.69,55.199999999999996
2016-10-07,68,69.0,,0.69,46.919999999999995
2016-10-08,47,69.0,,0.69,32.43
2016-10-09,54,69.0,,0.69,37.26
2016-10-10,72,69.0,,0.69,49.67999999999999
2016-10-11,79,69.0,,0.69,54.51
2016-10-12,81,69.0,,0.69,55.88999999999999
2016-10-13,83,69.0,,0.69,57.269999999999996
2016-10-14,72,69.0,,0.69,49.67999999999999
2016-10-15,49,69.0,,0.69,33.809999999999995
2016-10-16,61,69.0,,0.69,42.089999999999996
2016-10-17,88,69.0,,0.69,60.72
2016-10-18,91,69.0,,0.69,62.78999999999999
2016-10-19,83,69.0,,0.69,57.269999999999996
2016-10-20,81,69.0,,0.69,55.88999999999999
2016-10-21,74,69.0,,0.69,51.059999999999995
2016-10-22,52,69.0,,0.69,35.879999999999995
2016-10-23,61,69.0,,0.69,42.089999999999996
2016-10-24,87,69.0,,0.69,60.029999999999994
2016-10-25,90,69.0,,0.69,62.099999999999994
2016-10-26,94,69.0,,0.69,64.86
2016-10-27,91,69.0,,0.69,62.78999999999999
2016-10-28,77,69.0,,0.69,53.129999999999995
2016-10-29,58,69.0,,0.69,40.019999999999996
2016-10-30,71,69.0,,0.69,48.989999999999995
2016-10-31,100,69.0,,0.69,69.0
2016-11-01,76,77.0,False,0.77,58.52
2016-11-02,83,77.0,,0.77,63.910000000000004
2016-11-03,78,77.0,,0.77,60.06
2016-11-04,71,77.0,,0.77,54.67
2016-11-05,45,77.0,,0.77,34.65
2016-11-06,49,77.0,,0.77,37.730000000000004
2016-11-07,75,77.0,,0.77,57.75
2016-11-08,70,77.0,,0.77,53.9
2016-11-09,59,77.0,,0.77,45.43
2016-11-10,76,77.0,,0.77,58.52
2016-11-11,59,77.0,,0.77,45.43
2016-11-12,51,77.0,,0.77,39.27
2016-11-13,70,77.0,,0.77,53.9
2016-11-14,95,77.0,,0.77,73.15
2016-11-15,94,77.0,,0.77,72.38
2016-11-16,89,77.0,,0.77,68.53
2016-11-17,88,77.0,,0.77,67.76
2016-11-18,76,77.0,,0.77,58.52
2016-11-19,46,77.0,,0.77,35.42
2016-11-20,50,77.0,,0.77,38.5
2016-11-21,67,77.0,,0.77,51.59
2016-11-22,67,77.0,,0.77,51.59
2016-11-23,45,77.0,,0.77,34.65
2016-11-24,36,77.0,,0.77,27.72
2016-11-25,48,77.0,,0.77,36.96
2016-11-26,51,77.0,,0.77,39.27
2016-11-27,65,77.0,,0.77,50.050000000000004
2016-11-28,94,77.0,,0.77,72.38
2016-11-29,100,77.0,,0.77,77.0
2016-11-30,94,77.0,,0.77,72.38
2016-12-01,96,73.0,False,0.73,70.08
2016-12-02,85,73.0,,0.73,62.05
2016-12-03,57,73.0,,0.73,41.61
2016-12-04,68,73.0,,0.73,49.64
2016-12-05,98,73.0,,0.73,71.53999999999999
2016-12-06,99,73.0,,0.73,72.27
2016-12-07,99,73.0,,0.73,72.27
2016-12-08,100,73.0,,0.73,73.0
2016-12-09,86,73.0,,0.73,62.78
2016-12-10,58,73.0,,0.73,42.339999999999996
2016-12-11,62,73.0,,0.73,45.26
2016-12-12,93,73.0,,0.73,67.89
2016-12-13,97,73.0,,0.73,70.81
2016-12-14,98,73.0,,0.73,71.53999999999999
2016-12-15,85,73.0,,0.73,62.05
2016-12-16,68,73.0,,0.73,49.64
2016-12-17,49,73.0,,0.73,35.769999999999996
2016-12-18,58,73.0,,0.73,42.339999999999996
2016-12-19,65,73.0,,0.73,47.449999999999996
2016-12-20,67,73.0,,0.73,48.91
2016-12-21,60,73.0,,0.73,43.8
2016-12-22,54,73.0,,0.73,39.42
2016-12-23,41,73.0,,0.73,29.93
2016-12-24,35,73.0,,0.73,25.55
2016-12-25,46,73.0,,0.73,33.58
2016-12-26,44,73.0,,0.73,32.12
2016-12-27,44,73.0,,0.73,32.12
2016-12-28,44,73.0,,0.73,32.12
2016-12-29,40,73.0,,0.73,29.2
2016-12-30,41,73.0,,0.73,29.93
2016-12-31,39,73.0,,0.73,28.47
2017-01-01,38,79.0,False,0.79,30.020000000000003
2017-01-02,44,79.0,,0.79,34.760000000000005
2017-01-03,59,79.0,,0.79,46.61
2017-01-04,67,79.0,,0.79,52.93
2017-01-05,68,79.0,,0.79,53.72
2017-01-06,73,79.0,,0.79,57.67
2017-01-07,46,79.0,,0.79,36.34
2017-01-08,53,79.0,,0.79,41.870000000000005
2017-01-09,74,79.0,,0.79,58.46
2017-01-10,83,79.0,,0.79,65.57000000000001
2017-01-11,98,79.0,,0.79,77.42
2017-01-12,96,79.0,,0.79,75.84
2017-01-13,84,79.0,,0.79,66.36
2017-01-14,46,79.0,,0.79,36.34
2017-01-15,46,79.0,,0.79,36.34
2017-01-16,55,79.0,,0.79,43.45
2017-01-17,88,79.0,,0.79,69.52000000000001
2017-01-18,94,79.0,,0.79,74.26
2017-01-19,92,79.0,,0.79,72.68
2017-01-20,81,79.0,,0.79,63.99
2017-01-21,43,79.0,,0.79,33.97
2017-01-22,55,79.0,,0.79,43.45
2017-01-23,88,79.0,,0.79,69.52000000000001
2017-01-24,94,79.0,,0.79,74.26
2017-01-25,98,79.0,,0.79,77.42
2017-01-26,92,79.0,,0.79,72.68
2017-01-27,85,79.0,,0.79,67.15
2017-01-28,49,79.0,,0.79,38.71
2017-01-29,60,79.0,,0.79,47.400000000000006
2017-01-30,95,79.0,,0.79,75.05
2017-01-31,100,79.0,,0.79,79.0
2017-02-01,92,90.0,False,0.9,82.8
2017-02-02,94,90.0,,0.9,84.60000000000001
2017-02-03,90,90.0,,0.9,81.0
2017-02-04,46,90.0,,0.9,41.4
2017-02-05,60,90.0,,0.9,54.0
2017-02-06,88,90.0,,0.9,79.2
2017-02-07,97,90.0,,0.9,87.3
2017-02-08,100,90.0,,0.9,90.0
2017-02-09,95,90.0,,0.9,85.5
2017-02-10,86,90.0,,0.9,77.4
2017-02-11,53,90.0,,0.9,47.7
2017-02-12,60,90.0,,0.9,54.0
2017-02-13,91,90.0,,0.9,81.9
2017-02-14,91,90.0,,0.9,81.9
2017-02-15,99,90.0,,0.9,89.10000000000001
2017-02-16,91,90.0,,0.9,81.9
2017-02-17,85,90.0,,0.9,76.5
2017-02-18,49,90.0,,0.9,44.1
2017-02-19,52,90.0,,0.9,46.800000000000004
2017-02-20,67,90.0,,0.9,60.300000000000004
2017-02-21,86,90.0,,0.9,77.4
2017-02-22,94,90.0,,0.9,84.60000000000001
2017-02-23,92,90.0,,0.9,82.8
2017-02-24,84,90.0,,0.9,75.60000000000001
2017-02-25,52,90.0,,0.9,46.800000000000004
2017-02-26,62,90.0,,0.9,55.800000000000004
2017-02-27,90,90.0,,0.9,81.0
2017-02-28,96,90.0,,0.9,86.4
2017-03-01,95,90.0,False,0.9,85.5
2017-03-02,97,90.0,,0.9,87.3
2017-03-03,93,90.0,,0.9,83.7
2017-03-04,58,90.0,,0.9,52.2
2017-03-05,65,90.0,,0.9,58.5
2017-03-06,99,90.0,,0.9,89.10000000000001
2017-03-07,99,90.0,,0.9,89.10000000000001
2017-03-08,99,90.0,,0.9,89.10000000000001
2017-03-09,100,90.0,,0.9,90.0
2017-03-10,81,90.0,,0.9,72.9
2017-03-11,56,90.0,,0.9,50.4
2017-03-12,59,90.0,,0.9,53.1
2017-03-13,90,90.0,,0.9,81.0
2017-03-14,83,90.0,,0.9,74.7
2017-03-15,87,90.0,,0.9,78.3
2017-03-16,86,90.0,,0.9,77.4
2017-03-17,88,90.0,,0.9,79.2
2017-03-18,61,90.0,,0.9,54.9
2017-03-19,68,90.0,,0.9,61.2
2017-03-20,95,90.0,,0.9,85.5
2017-03-21,91,90.0,,0.9,81.9
2017-03-22,95,90.0,,0.9,85.5
2017-03-23,90,90.0,,0.9,81.0
2017-03-24,80,90.0,,0.9,72.0
2017-03-25,50,90.0,,0.9,45.0
2017-03-26,60,90.0,,0.9,54.0
2017-03-27,93,90.0,,0.9,83.7
2017-03-28,92,90.0,,0.9,82.8
2017-03-29,86,90.0,,0.9,77.4
2017-03-30,86,90.0,,0.9,77.4
2017-03-31,71,90.0,,0.9,63.9
2017-04-01,40,89.0,False,0.89,35.6
2017-04-02,52,89.0,,0.89,46.28
2017-04-03,76,89.0,,0.89,67.64
2017-04-04,71,89.0,,0.89,63.19
2017-04-05,67,89.0,,0.89,59.63
2017-04-06,71,89.0,,0.89,63.19
2017-04-07,63,89.0,,0.89,56.07
2017-04-08,39,89.0,,0.89,34.71
2017-04-09,46,89.0,,0.89,40.94
2017-04-10,72,89.0,,0.89,64.08
2017-04-11,64,89.0,,0.89,56.96
2017-04-12,62,89.0,,0.89,55.18
2017-04-13,65,89.0,,0.89,57.85
2017-04-14,71,89.0,,0.89,63.19
2017-04-15,56,89.0,,0.89,49.84
2017-04-16,63,89.0,,0.89,56.07
2017-04-17,81,89.0,,0.89,72.09
2017-04-18,87,89.0,,0.89,77.43
2017-04-19,99,89.0,,0.89,88.11
2017-04-20,92,89.0,,0.89,81.88
2017-04-21,86,89.0,,0.89,76.54
2017-04-22,66,89.0,,0.89,58.74
2017-04-23,72,89.0,,0.89,64.08
2017-04-24,92,89.0,,0.89,81.88
2017-04-25,100,89.0,,0.89,89.0
2017-04-26,90,89.0,,0.89,80.1
2017-04-27,87,89.0,,0.89,77.43
2017-04-28,74,89.0,,0.89,65.86
2017-04-29,53,89.0,,0.89,47.17
2017-04-30,62,89.0,,0.89,55.18
2017-05-01,99,76.0,False,0.76,75.24
2017-05-02,100,76.0,,0.76,76.0
2017-05-03,95,76.0,,0.76,72.2
2017-05-04,96,76.0,,0.76,72.96000000000001
2017-05-05,87,76.0,,0.76,66.12
2017-05-06,63,76.0,,0.76,47.88
2017-05-07,69,76.0,,0.76,52.44
2017-05-08,94,76.0,,0.76,71.44
2017-05-09,90,76.0,,0.76,68.4
2017-05-10,82,76.0,,0.76,62.32
2017-05-11,81,76.0,,0.76,61.56
2017-05-12,77,76.0,,0.76,58.52
2017-05-13,59,76.0,,0.76,44.84
2017-05-14,68,76.0,,0.76,51.68
2017-05-15,79,76.0,,0.76,60.04
2017-05-16,82,76.0,,0.76,62.32
2017-05-17,73,76.0,,0.76,55.480000000000004
2017-05-18,77,76.0,,0.76,58.52
2017-05-19,65,76.0,,0.76,49.4
2017-05-20,52,76.0,,0.76,39.52
2017-05-21,56,76.0,,0.76,42.56
2017-05-22,80,76.0,,0.76,60.8
2017-05-23,75,76.0,,0.76,57.0
2017-05-24,75,76.0,,0.76,57.0
2017-05-25,69,76.0,,0.76,52.44
2017-05-26,61,76.0,,0.76,46.36
2017-05-27,49,76.0,,0.76,37.24
2017-05-28,50,76.0,,0.76,38.0
2017-05-29,55,76.0,,0.76,41.8
2017-05-30,73,76.0,,0.76,55.480000000000004
2017-05-31,69,76.0,,0.76,52.44
2017-06-01,99,59.0,False,0.59,58.41
2017-06-02,99,59.0,,0.59,58.41
2017-06-03,79,59.0,,0.59,46.61
2017-06-04,81,59.0,,0.59,47.79
2017-06-05,98,59.0,,0.59,57.82
2017-06-06,95,59.0,,0.59,56.05
2017-06-07,100,59.0,,0.59,59.0
2017-06-08,92,59.0,,0.59,54.279999999999994
2017-06-09,91,59.0,,0.59,53.69
2017-06-10,72,59.0,,0.59,42.48
2017-06-11,77,59.0,,0.59,45.43
2017-06-12,93,59.0,,0.59,54.87
2017-06-13,94,59.0,,0.59,55.459999999999994
2017-06-14,92,59.0,,0.59,54.279999999999994
2017-06-15,94,59.0,,0.59,55.459999999999994
2017-06-16,82,59.0,,0.59,48.379999999999995
2017-06-17,80,59.0,,0.59,47.199999999999996
2017-06-18,84,59.0,,0.59,49.559999999999995
2017-06-19,94,59.0,,0.59,55.459999999999994
2017-06-20,88,59.0,,0.59,51.919999999999995
2017-06-21,88,59.0,,0.59,51.919999999999995
2017-06-22,87,59.0,,0.59,51.33
2017-06-23,78,59.0,,0.59,46.019999999999996
2017-06-24,72,59.0,,0.59,42.48
2017-06-25,82,59.0,,0.59,48.379999999999995
2017-06-26,99,59.0,,0.59,58.41
2017-06-27,100,59.0,,0.59,59.0
2017-06-28,95,59.0,,0.59,56.05
2017-06-29,81,59.0,,0.59,47.79
2017-06-30,74,59.0,,0.59,43.66
2017-07-01,77,51.0,False,0.51,39.27
2017-07-02,73,51.0,,0.51,37.230000000000004
2017-07-03,100,51.0,,0.51,51.0
2017-07-04,83,51.0,,0.51,42.33
2017-07-05,95,51.0,,0.51,48.45
2017-07-06,91,51.0,,0.51,46.410000000000004
2017-07-07,90,51.0,,0.51,45.9
2017-07-08,78,51.0,,0.51,39.78
2017-07-09,80,51.0,,0.51,40.8
2017-07-10,94,51.0,,0.51,47.94
2017-07-11,99,51.0,,0.51,50.49
2017-07-12,92,51.0,,0.51,46.92
2017-07-13,83,51.0,,0.51,42.33
2017-07-14,91,51.0,,0.51,46.410000000000004
2017-07-15,75,51.0,,0.51,38.25
2017-07-16,80,51.0,,0.51,40.8
2017-07-17,81,51.0,,0.51,41.31
2017-07-18,92,51.0,,0.51,46.92
2017-07-19,90,51.0,,0.51,45.9
2017-07-20,83,51.0,,0.51,42.33
2017-07-21,80,51.0,,0.51,40.8
2017-07-22,77,51.0,,0.51,39.27
2017-07-23,80,51.0,,0.51,40.8
2017-07-24,96,51.0,,0.51,48.96
2017-07-25,92,51.0,,0.51,46.92
2017-07-26,79,51.0,,0.51,40.29
2017-07-27,90,51.0,,0.51,45.9
2017-07-28,90,51.0,,0.51,45.9
2017-07-29,80,51.0,,0.51,40.8
2017-07-30,91,51.0,,0.51,46.410000000000004
2017-07-31,81,51.0,,0.51,41.31
2017-08-01,83,56.0,False,0.56,46.480000000000004
2017-08-02,79,56.0,,0.56,44.24
2017-08-03,82,56.0,,0.56,45.92
2017-08-04,75,56.0,,0.56,42.00000000000001
2017-08-05,75,56.0,,0.56,42.00000000000001
2017-08-06,84,56.0,,0.56,47.040000000000006
2017-08-07,96,56.0,,0.56,53.760000000000005
2017-08-08,85,56.0,,0.56,47.6
2017-08-09,80,56.0,,0.56,44.800000000000004
2017-08-10,77,56.0,,0.56,43.120000000000005
2017-08-11,70,56.0,,0.56,39.2
2017-08-12,80,56.0,,0.56,44.800000000000004
2017-08-13,77,56.0,,0.56,43.120000000000005
2017-08-14,84,56.0,,0.56,47.040000000000006
2017-08-15,95,56.0,,0.56,53.2
2017-08-16,89,56.0,,0.56,49.84
2017-08-17,85,56.0,,0.56,47.6
2017-08-18,88,56.0,,0.56,49.28
2017-08-19,74,56.0,,0.56,41.440000000000005
2017-08-20,82,56.0,,0.56,45.92
2017-08-21,80,56.0,,0.56,44.800000000000004
2017-08-22,89,56.0,,0.56,49.84
2017-08-23,100,56.0,,0.56,56.00000000000001
2017-08-24,94,56.0,,0.56,52.64000000000001
2017-08-25,95,56.0,,0.56,53.2
2017-08-26,73,56.0,,0.56,40.88
2017-08-27,73,56.0,,0.56,40.88
2017-08-28,91,56.0,,0.56,50.96000000000001
2017-08-29,98,56.0,,0.56,54.88
2017-08-30,99,56.0,,0.56,55.440000000000005
2017-08-31,97,56.0,,0.56,54.32000000000001
2017-09-01,62,69.0,False,0.69,42.779999999999994
2017-09-02,54,69.0,,0.69,37.26
2017-09-03,57,69.0,,0.69,39.33
2017-09-04,61,69.0,,0.69,42.089999999999996
2017-09-05,68,69.0,,0.69,46.919999999999995
2017-09-06,69,69.0,,0.69,47.61
2017-09-07,66,69.0,,0.69,45.54
2017-09-08,67,69.0,,0.69,46.23
2017-09-09,46,69.0,,0.69,31.74
2017-09-10,55,69.0,,0.69,37.949999999999996
2017-09-11,70,69.0,,0.69,48.3
2017-09-12,70,69.0,,0.69,48.3
2017-09-13,75,69.0,,0.69,51.74999999999999
2017-09-14,84,69.0,,0.69,57.959999999999994
2017-09-15,79,69.0,,0.69,54.51
2017-09-16,56,69.0,,0.69,38.64
2017-09-17,71,69.0,,0.69,48.989999999999995
2017-09-18,100,69.0,,0.69,69.0
2017-09-19,100,69.0,,0.69,69.0
2017-09-20,91,69.0,,0.69,62.78999999999999
2017-09-21,85,69.0,,0.69,58.65
2017-09-22,84,69.0,,0.69,57.959999999999994
2017-09-23,64,69.0,,0.69,44.16
2017-09-24,68,69.0,,0.69,46.919999999999995
2017-09-25,85,69.0,,0.69,58.65
2017-09-26,88,69.0,,0.69,60.72
2017-09-27,92,69.0,,0.69,63.48
2017-09-28,90,69.0,,0.69,62.099999999999994
2017-09-29,80,69.0,,0.69,55.199999999999996
2017-09-30,65,69.0,,0.69,44.849999999999994
2017-10-01,66,78.0,False,0.78,51.480000000000004
2017-10-02,82,78.0,,0.78,63.96
2017-10-03,85,78.0,,0.78,66.3
2017-10-04,87,78.0,,0.78,67.86
2017-10-05,85,78.0,,0.78,66.3
2017-10-06,81,78.0,,0.78,63.18
2017-10-07,56,78.0,,0.78,43.68
2017-10-08,69,78.0,,0.78,53.82
2017-10-09,84,78.0,,0.78,65.52
2017-10-10,89,78.0,,0.78,69.42
2017-10-11,83,78.0,,0.78,64.74000000000001
2017-10-12,94,78.0,,0.78,73.32000000000001
2017-10-13,82,78.0,,0.78,63.96
2017-10-14,63,78.0,,0.78,49.14
2017-10-15,65,78.0,,0.78,50.7
2017-10-16,93,78.0,,0.78,72.54
2017-10-17,99,78.0,,0.78,77.22
2017-10-18,95,78.0,,0.78,74.10000000000001
2017-10-19,93,78.0,,0.78,72.54
2017-10-20,81,78.0,,0.78,63.18
2017-10-21,57,78.0,,0.78,44.46
2017-10-22,71,78.0,,0.78,55.38
2017-10-23,94,78.0,,0.78,73.32000000000001
2017-10-24,100,78.0,,0.78,78.0
2017-10-25,94,78.0,,0.78,73.32000000000001
2017-10-26,98,78.0,,0.78,76.44
2017-10-27,85,78.0,,0.78,66.3
2017-10-28,54,78.0,,0.78,42.120000000000005
2017-10-29,66,78.0,,0.78,51.480000000000004
2017-10-30,91,78.0,,0.78,70.98
2017-10-31,95,78.0,,0.78,74.10000000000001
2017-11-01,64,96.0,False,0.96,61.44
2017-11-02,65,96.0,,0.96,62.4
2017-11-03,61,96.0,,0.96,58.559999999999995
2017-11-04,36,96.0,,0.96,34.56
2017-11-05,42,96.0,,0.96,40.32
2017-11-06,61,96.0,,0.96,58.559999999999995
2017-11-07,66,96.0,,0.96,63.36
2017-11-08,66,96.0,,0.96,63.36
2017-11-09,65,96.0,,0.96,62.4
2017-11-10,53,96.0,,0.96,50.879999999999995
2017-11-11,40,96.0,,0.96,38.4
2017-11-12,48,96.0,,0.96,46.08
2017-11-13,79,96.0,,0.96,75.84
2017-11-14,78,96.0,,0.96,74.88
2017-11-15,79,96.0,,0.96,75.84
2017-11-16,72,96.0,,0.96,69.12
2017-11-17,68,96.0,,0.96,65.28
2017-11-18,42,96.0,,0.96,40.32
2017-11-19,46,96.0,,0.96,44.16
2017-11-20,71,96.0,,0.96,68.16
2017-11-21,61,96.0,,0.96,58.559999999999995
2017-11-22,45,96.0,,0.96,43.199999999999996
2017-11-23,42,96.0,,0.96,40.32
2017-11-24,68,96.0,,0.96,65.28
2017-11-25,66,96.0,,0.96,63.36
2017-11-26,69,96.0,,0.96,66.24
2017-11-27,100,96.0,,0.96,96.0
2017-11-28,98,96.0,,0.96,94.08
2017-11-29,81,96.0,,0.96,77.75999999999999
2017-11-30,82,96.0,,0.96,78.72
2017-12-01,96,86.0,False,0.86,82.56
2017-12-02,71,86.0,,0.86,61.06
2017-12-03,70,86.0,,0.86,60.199999999999996
2017-12-04,100,86.0,,0.86,86.0
2017-12-05,92,86.0,,0.86,79.12
2017-12-06,93,86.0,,0.86,79.98
2017-12-07,90,86.0,,0.86,77.4
2017-12-08,82,86.0,,0.86,70.52
2017-12-09,59,86.0,,0.86,50.74
2017-12-10,67,86.0,,0.86,57.62
2017-12-11,90,86.0,,0.86,77.4
2017-12-12,99,86.0,,0.86,85.14
2017-12-13,91,86.0,,0.86,78.26
2017-12-14,91,86.0,,0.86,78.26
2017-12-15,81,86.0,,0.86,69.66
2017-12-16,52,86.0,,0.86,44.72
2017-12-17,59,86.0,,0.86,50.74
2017-12-18,73,86.0,,0.86,62.78
2017-12-19,72,86.0,,0.86,61.92
2017-12-20,69,86.0,,0.86,59.339999999999996
2017-12-21,62,86.0,,0.86,53.32
2017-12-22,50,86.0,,0.86,43.0
2017-12-23,44,86.0,,0.86,37.839999999999996
2017-12-24,44,86.0,,0.86,37.839999999999996
2017-12-25,59,86.0,,0.86,50.74
2017-12-26,60,86.0,,0.86,51.6
2017-12-27,54,86.0,,0.86,46.44
2017-12-28,45,86.0,,0.86,38.7
