date,SNAP_unscaled,SNAP_monthly,isPartial,scale,SNAP
2017-01-28,84,61.0,,0.61,51.24
2017-01-29,80,61.0,,0.61,48.8
2017-01-30,92,61.0,,0.61,56.12
2017-01-31,90,61.0,,0.61,54.9
2017-02-01,78,62.0,False,0.62,48.36
2017-02-02,81,62.0,,0.62,50.22
2017-02-03,93,62.0,,0.62,57.66
2017-02-04,100,62.0,,0.62,62.0
2017-02-05,76,62.0,,0.62,47.12
2017-02-06,74,62.0,,0.62,45.88
2017-02-07,81,62.0,,0.62,50.22
2017-02-08,80,62.0,,0.62,49.6
2017-02-09,73,62.0,,0.62,45.26
2017-02-10,79,62.0,,0.62,48.98
2017-02-11,66,62.0,,0.62,40.92
2017-02-12,73,62.0,,0.62,45.26
2017-02-13,77,62.0,,0.62,47.74
2017-02-14,68,62.0,,0.62,42.16
2017-02-15,77,62.0,,0.62,47.74
2017-02-16,86,62.0,,0.62,53.32
2017-02-17,80,62.0,,0.62,49.6
2017-02-18,71,62.0,,0.62,44.02
2017-02-19,68,62.0,,0.62,42.16
2017-02-20,81,62.0,,0.62,50.22
2017-02-21,83,62.0,,0.62,51.46
2017-02-22,76,62.0,,0.62,47.12
2017-02-23,77,62.0,,0.62,47.74
2017-02-24,72,62.0,,0.62,44.64
2017-02-25,70,62.0,,0.62,43.4
2017-02-26,66,62.0,,0.62,40.92
2017-02-27,75,62.0,,0.62,46.5
2017-02-28,80,62.0,,0.62,49.6
2017-03-01,26,96.0,False,0.96,24.96
2017-03-02,100,96.0,,0.96,96.0
2017-03-03,57,96.0,,0.96,54.72
2017-03-04,28,96.0,,0.96,26.88
2017-03-05,23,96.0,,0.96,22.08
2017-03-06,35,96.0,,0.96,33.6
2017-03-07,37,96.0,,0.96,35.519999999999996
2017-03-08,32,96.0,,0.96,30.72
2017-03-09,25,96.0,,0.96,24.0
2017-03-10,25,96.0,,0.96,24.0
2017-03-11,19,96.0,,0.96,18.24
2017-03-12,19,96.0,,0.96,18.24
2017-03-13,24,96.0,,0.96,23.04
2017-03-14,23,96.0,,0.96,22.08
2017-03-15,24,96.0,,0.96,23.04
2017-03-16,23,96.0,,0.96,22.08
2017-03-17,22,96.0,,0.96,21.119999999999997
2017-03-18,17,96.0,,0.96,16.32
2017-03-19,19,96.0,,0.96,18.24
2017-03-20,21,96.0,,0.96,20.16
2017-03-21,24,96.0,,0.96,23.04
2017-03-22,24,96.0,,0.96,23.04
2017-03-23,22,96.0,,0.96,21.119999999999997
2017-03-24,22,96.0,,0.96,21.119999999999997
2017-03-25,17,96.0,,0.96,16.32
2017-03-26,17,96.0,,0.96,16.32
2017-03-27,23,96.0,,0.96,22.08
2017-03-28,24,96.0,,0.96,23.04
2017-03-29,23,96.0,,0.96,22.08
2017-03-30,22,96.0,,0.96,21.119999999999997
2017-03-31,19,96.0,,0.96,18.24
2017-04-01,78,64.0,False,0.64,49.92
2017-04-02,75,64.0,,0.64,48.0
2017-04-03,83,64.0,,0.64,53.120000000000005
2017-04-04,91,64.0,,0.64,58.24
2017-04-05,88,64.0,,0.64,56.32
2017-04-06,92,64.0,,0.64,58.88
2017-04-07,83,64.0,,0.64,53.120000000000005
2017-04-08,79,64.0,,0.64,50.56
2017-04-09,74,64.0,,0.64,47.36
2017-04-10,88,64.0,,0.64,56.32
2017-04-11,84,64.0,,0.64,53.76
2017-04-12,84,64.0,,0.64,53.76
2017-04-13,89,64.0,,0.64,56.96
2017-04-14,75,64.0,,0.64,48.0
2017-04-15,68,64.0,,0.64,43.52
2017-04-16,76,64.0,,0.64,48.64
2017-04-17,91,64.0,,0.64,58.24
2017-04-18,100,64.0,,0.64,64.0
2017-04-19,96,64.0,,0.64,61.44
2017-04-20,83,64.0,,0.64,53.120000000000005
2017-04-21,80,64.0,,0.64,51.2
2017-04-22,74,64.0,,0.64,47.36
2017-04-23,74,64.0,,0.64,47.36
2017-04-24,81,64.0,,0.64,51.84
2017-04-25,88,64.0,,0.64,56.32
2017-04-26,85,64.0,,0.64,54.4
2017-04-27,85,64.0,,0.64,54.4
2017-04-28,75,64.0,,0.64,48.0
2017-04-29,68,64.0,,0.64,43.52
2017-04-30,72,64.0,,0.64,46.08
2017-05-01,57,69.0,False,0.69,39.33
2017-05-02,55,69.0,,0.69,37.949999999999996
2017-05-03,53,69.0,,0.69,36.57
2017-05-04,55,69.0,,0.69,37.949999999999996
2017-05-05,54,69.0,,0.69,37.26
2017-05-06,50,69.0,,0.69,34.5
2017-05-07,50,69.0,,0.69,34.5
2017-05-08,58,69.0,,0.69,40.019999999999996
2017-05-09,59,69.0,,0.69,40.709999999999994
2017-05-10,91,69.0,,0.69,62.78999999999999
2017-05-11,100,69.0,,0.69,69.0
2017-05-12,71,69.0,,0.69,48.989999999999995
2017-05-13,51,69.0,,0.69,35.19
2017-05-14,50,69.0,,0.69,34.5
2017-05-15,64,69.0,,0.69,44.16
2017-05-16,63,69.0,,0.69,43.47
2017-05-17,60,69.0,,0.69,41.4
2017-05-18,53,69.0,,0.69,36.57
2017-05-19,51,69.0,,0.69,35.19
2017-05-20,48,69.0,,0.69,33.12
2017-05-21,49,69.0,,0.69,33.809999999999995
2017-05-22,57,69.0,,0.69,39.33
2017-05-23,59,69.0,,0.69,40.709999999999994
2017-05-24,56,69.0,,0.69,38.64
2017-05-25,57,69.0,,0.69,39.33
2017-05-26,52,69.0,,0.69,35.879999999999995
2017-05-27,51,69.0,,0.69,35.19
2017-05-28,48,69.0,,0.69,33.12
2017-05-29,49,69.0,,0.69,33.809999999999995
2017-05-30,58,69.0,,0.69,40.019999999999996
2017-05-31,57,69.0,,0.69,39.33
2017-06-01,46,77.0,False,0.77,35.42
2017-06-02,48,77.0,,0.77,36.96
2017-06-03,45,77.0,,0.77,34.65
2017-06-04,44,77.0,,0.77,33.88
2017-06-05,50,77.0,,0.77,38.5
2017-06-06,50,77.0,,0.77,38.5
2017-06-07,54,77.0,,0.77,41.58
2017-06-08,52,77.0,,0.77,40.04
2017-06-09,53,77.0,,0.77,40.81
2017-06-10,41,77.0,,0.77,31.57
2017-06-11,43,77.0,,0.77,33.11
2017-06-12,51,77.0,,0.77,39.27
2017-06-13,50,77.0,,0.77,38.5
2017-06-14,49,77.0,,0.77,37.730000000000004
2017-06-15,54,77.0,,0.77,41.58
2017-06-16,49,77.0,,0.77,37.730000000000004
2017-06-17,43,77.0,,0.77,33.11
2017-06-18,43,77.0,,0.77,33.11
2017-06-19,53,77.0,,0.77,40.81
2017-06-20,54,77.0,,0.77,41.58
2017-06-21,53,77.0,,0.77,40.81
2017-06-22,86,77.0,,0.77,66.22
2017-06-23,100,77.0,,0.77,77.0
2017-06-24,76,77.0,,0.77,58.52
2017-06-25,75,77.0,,0.77,57.75
2017-06-26,73,77.0,,0.77,56.21
2017-06-27,71,77.0,,0.77,54.67
2017-06-28,73,77.0,,0.77,56.21
2017-06-29,64,77.0,,0.77,49.28
2017-06-30,61,77.0,,0.77,46.97
2017-07-01,86,72.0,False,0.72,61.919999999999995
2017-07-02,75,72.0,,0.72,54.0
2017-07-03,86,72.0,,0.72,61.919999999999995
2017-07-04,76,72.0,,0.72,54.72
2017-07-05,86,72.0,,0.72,61.919999999999995
2017-07-06,87,72.0,,0.72,62.64
2017-07-07,83,72.0,,0.72,59.76
2017-07-08,82,72.0,,0.72,59.04
2017-07-09,73,72.0,,0.72,52.559999999999995
2017-07-10,82,72.0,,0.72,59.04
2017-07-11,100,72.0,,0.72,72.0
2017-07-12,95,72.0,,0.72,68.39999999999999
2017-07-13,90,72.0,,0.72,64.8
2017-07-14,88,72.0,,0.72,63.36
2017-07-15,78,72.0,,0.72,56.16
2017-07-16,72,72.0,,0.72,51.839999999999996
2017-07-17,88,72.0,,0.72,63.36
2017-07-18,91,72.0,,0.72,65.52
2017-07-19,89,72.0,,0.72,64.08
2017-07-20,86,72.0,,0.72,61.919999999999995
2017-07-21,83,72.0,,0.72,59.76
2017-07-22,72,72.0,,0.72,51.839999999999996
2017-07-23,72,72.0,,0.72,51.839999999999996
2017-07-24,87,72.0,,0.72,62.64
2017-07-25,87,72.0,,0.72,62.64
2017-07-26,87,72.0,,0.72,62.64
2017-07-27,85,72.0,,0.72,61.199999999999996
2017-07-28,81,72.0,,0.72,58.32
2017-07-29,73,72.0,,0.72,52.559999999999995
2017-07-30,69,72.0,,0.72,49.68
2017-07-31,92,72.0,,0.72,66.24
2017-08-01,80,74.0,False,0.74,59.2
2017-08-02,79,74.0,,0.74,58.46
2017-08-03,73,74.0,,0.74,54.019999999999996
2017-08-04,72,74.0,,0.74,53.28
2017-08-05,62,74.0,,0.74,45.88
2017-08-06,59,74.0,,0.74,43.66
2017-08-07,75,74.0,,0.74,55.5
2017-08-08,67,74.0,,0.74,49.58
2017-08-09,70,74.0,,0.74,51.8
2017-08-10,100,74.0,,0.74,74.0
2017-08-11,89,74.0,,0.74,65.86
2017-08-12,57,74.0,,0.74,42.18
2017-08-13,55,74.0,,0.74,40.7
2017-08-14,72,74.0,,0.74,53.28
2017-08-15,71,74.0,,0.74,52.54
2017-08-16,66,74.0,,0.74,48.839999999999996
2017-08-17,64,74.0,,0.74,47.36
2017-08-18,61,74.0,,0.74,45.14
2017-08-19,54,74.0,,0.74,39.96
2017-08-20,52,74.0,,0.74,38.48
2017-08-21,58,74.0,,0.74,42.92
2017-08-22,62,74.0,,0.74,45.88
2017-08-23,67,74.0,,0.74,49.58
2017-08-24,70,74.0,,0.74,51.8
2017-08-25,61,74.0,,0.74,45.14
2017-08-26,54,74.0,,0.74,39.96
2017-08-27,49,74.0,,0.74,36.26
2017-08-28,64,74.0,,0.74,47.36
2017-08-29,66,74.0,,0.74,48.839999999999996
2017-08-30,68,74.0,,0.74,50.32
2017-08-31,65,74.0,,0.74,48.1
2017-09-01,93,66.0,False,0.66,61.38
2017-09-02,83,66.0,,0.66,54.78
2017-09-03,81,66.0,,0.66,53.46
2017-09-04,78,66.0,,0.66,51.480000000000004
2017-09-05,88,66.0,,0.66,58.080000000000005
2017-09-06,89,66.0,,0.66,58.74
2017-09-07,87,66.0,,0.66,57.42
2017-09-08,80,66.0,,0.66,52.800000000000004
2017-09-09,74,66.0,,0.66,48.84
2017-09-10,75,66.0,,0.66,49.5
2017-09-11,84,66.0,,0.66,55.440000000000005
2017-09-12,86,66.0,,0.66,56.760000000000005
2017-09-13,97,66.0,,0.66,64.02
2017-09-14,100,66.0,,0.66,66.0
2017-09-15,92,66.0,,0.66,60.720000000000006
2017-09-16,84,66.0,,0.66,55.440000000000005
2017-09-17,80,66.0,,0.66,52.800000000000004
2017-09-18,93,66.0,,0.66,61.38
2017-09-19,91,66.0,,0.66,60.06
2017-09-20,93,66.0,,0.66,61.38
2017-09-21,88,66.0,,0.66,58.080000000000005
2017-09-22,92,66.0,,0.66,60.720000000000006
2017-09-23,82,66.0,,0.66,54.120000000000005
2017-09-24,82,66.0,,0.66,54.120000000000005
2017-09-25,95,66.0,,0.66,62.7
2017-09-26,97,66.0,,0.66,64.02
2017-09-27,93,66.0,,0.66,61.38
2017-09-28,98,66.0,,0.66,64.68
2017-09-29,90,66.0,,0.66,59.400000000000006
2017-09-30,87,66.0,,0.66,57.42
2017-10-01,84,67.0,False,0.67,56.28
2017-10-02,86,67.0,,0.67,57.620000000000005
2017-10-03,97,67.0,,0.67,64.99000000000001
2017-10-04,100,67.0,,0.67,67.0
2017-10-05,92,67.0,,0.67,61.64
2017-10-06,89,67.0,,0.67,59.63
2017-10-07,83,67.0,,0.67,55.61000000000001
2017-10-08,78,67.0,,0.67,52.260000000000005
2017-10-09,95,67.0,,0.67,63.650000000000006
2017-10-10,87,67.0,,0.67,58.290000000000006
2017-10-11,92,67.0,,0.67,61.64
2017-10-12,100,67.0,,0.67,67.0
2017-10-13,94,67.0,,0.67,62.980000000000004
2017-10-14,80,67.0,,0.67,53.6
2017-10-15,81,67.0,,0.67,54.27
2017-10-16,93,67.0,,0.67,62.31
2017-10-17,91,67.0,,0.67,60.970000000000006
2017-10-18,94,67.0,,0.67,62.980000000000004
2017-10-19,94,67.0,,0.67,62.980000000000004
2017-10-20,87,67.0,,0.67,58.290000000000006
2017-10-21,75,67.0,,0.67,50.25
2017-10-22,81,67.0,,0.67,54.27
2017-10-23,88,67.0,,0.67,58.96
2017-10-24,93,67.0,,0.67,62.31
2017-10-25,90,67.0,,0.67,60.300000000000004
2017-10-26,91,67.0,,0.67,60.970000000000006
2017-10-27,91,67.0,,0.67,60.970000000000006
2017-10-28,78,67.0,,0.67,52.260000000000005
2017-10-29,75,67.0,,0.67,50.25
2017-10-30,89,67.0,,0.67,59.63
2017-10-31,87,67.0,,0.67,58.290000000000006
2017-11-01,63,68.0,False,0.68,42.84
2017-11-02,63,68.0,,0.68,42.84
2017-11-03,55,68.0,,0.68,37.400000000000006
2017-11-04,56,68.0,,0.68,38.080000000000005
2017-11-05,55,68.0,,0.68,37.400000000000006
2017-11-06,85,68.0,,0.68,57.800000000000004
2017-11-07,94,68.0,,0.68,63.92
2017-11-08,100,68.0,,0.68,68.0
2017-11-09,79,68.0,,0.68,53.720000000000006
2017-11-10,69,68.0,,0.68,46.92
2017-11-11,57,68.0,,0.68,38.760000000000005
2017-11-12,56,68.0,,0.68,38.080000000000005
2017-11-13,63,68.0,,0.68,42.84
2017-11-14,65,68.0,,0.68,44.2
2017-11-15,67,68.0,,0.68,45.56
2017-11-16,65,68.0,,0.68,44.2
2017-11-17,61,68.0,,0.68,41.480000000000004
2017-11-18,60,68.0,,0.68,40.800000000000004
2017-11-19,58,68.0,,0.68,39.440000000000005
2017-11-20,66,68.0,,0.68,44.88
2017-11-21,64,68.0,,0.68,43.52
2017-11-22,61,68.0,,0.68,41.480000000000004
2017-11-23,53,68.0,,0.68,36.04
2017-11-24,58,68.0,,0.68,39.440000000000005
2017-11-25,57,68.0,,0.68,38.760000000000005
2017-11-26,57,68.0,,0.68,38.760000000000005
2017-11-27,64,68.0,,0.68,43.52
2017-11-28,62,68.0,,0.68,42.160000000000004
2017-11-29,67,68.0,,0.68,45.56
2017-11-30,68,68.0,,0.68,46.24
2017-12-01,89,66.0,False,0.66,58.74
2017-12-02,87,66.0,,0.66,57.42
2017-12-03,86,66.0,,0.66,56.760000000000005
2017-12-04,91,66.0,,0.66,60.06
2017-12-05,92,66.0,,0.66,60.720000000000006
2017-12-06,94,66.0,,0.66,62.040000000000006
2017-12-07,92,66.0,,0.66,60.720000000000006
2017-12-08,87,66.0,,0.66,57.42
2017-12-09,83,66.0,,0.66,54.78
2017-12-10,84,66.0,,0.66,55.440000000000005
2017-12-11,93,66.0,,0.66,61.38
2017-12-12,93,66.0,,0.66,61.38
2017-12-13,87,66.0,,0.66,57.42
2017-12-14,89,66.0,,0.66,58.74
2017-12-15,89,66.0,,0.66,58.74
