date,ME_unscaled,ME_monthly,isPartial,scale,ME
2016-06-14,69,38.0,,0.38,26.22
2016-06-15,72,38.0,,0.38,27.36
2016-06-16,74,38.0,,0.38,28.12
2016-06-17,80,38.0,,0.38,30.4
2016-06-18,99,38.0,,0.38,37.62
2016-06-19,96,38.0,,0.38,36.480000000000004
2016-06-20,75,38.0,,0.38,28.5
2016-06-21,74,38.0,,0.38,28.12
2016-06-22,72,38.0,,0.38,27.36
2016-06-23,69,38.0,,0.38,26.22
2016-06-24,76,38.0,,0.38,28.88
2016-06-25,97,38.0,,0.38,36.86
2016-06-26,93,38.0,,0.38,35.34
2016-06-27,71,38.0,,0.38,26.98
2016-06-28,74,38.0,,0.38,28.12
2016-06-29,74,38.0,,0.38,28.12
2016-06-30,76,38.0,,0.38,28.88
2016-07-01,77,40.0,False,0.4,30.8
2016-07-02,96,40.0,,0.4,38.400000000000006
2016-07-03,100,40.0,,0.4,40.0
2016-07-04,96,40.0,,0.4,38.400000000000006
2016-07-05,74,40.0,,0.4,29.6
2016-07-06,68,40.0,,0.4,27.200000000000003
2016-07-07,69,40.0,,0.4,27.6
2016-07-08,71,40.0,,0.4,28.400000000000002
2016-07-09,91,40.0,,0.4,36.4
2016-07-10,87,40.0,,0.4,34.800000000000004
2016-07-11,70,40.0,,0.4,28.0
2016-07-12,70,40.0,,0.4,28.0
2016-07-13,68,40.0,,0.4,27.200000000000003
2016-07-14,66,40.0,,0.4,26.400000000000002
2016-07-15,74,40.0,,0.4,29.6
2016-07-16,92,40.0,,0.4,36.800000000000004
2016-07-17,92,40.0,,0.4,36.800000000000004
2016-07-18,72,40.0,,0.4,28.8
2016-07-19,70,40.0,,0.4,28.0
2016-07-20,69,40.0,,0.4,27.6
2016-07-21,72,40.0,,0.4,28.8
2016-07-22,75,40.0,,0.4,30.0
2016-07-23,96,40.0,,0.4,38.400000000000006
2016-07-24,89,40.0,,0.4,35.6
2016-07-25,71,40.0,,0.4,28.400000000000002
2016-07-26,69,40.0,,0.4,27.6
2016-07-27,70,40.0,,0.4,28.0
2016-07-28,69,40.0,,0.4,27.6
2016-07-29,75,40.0,,0.4,30.0
2016-07-30,98,40.0,,0.4,39.2
2016-07-31,90,40.0,,0.4,36.0
2016-08-01,76,37.0,False,0.37,28.12
2016-08-02,72,37.0,,0.37,26.64
2016-08-03,72,37.0,,0.37,26.64
2016-08-04,71,37.0,,0.37,26.27
2016-08-05,81,37.0,,0.37,29.97
2016-08-06,96,37.0,,0.37,35.519999999999996
2016-08-07,87,37.0,,0.37,32.19
2016-08-08,68,37.0,,0.37,25.16
2016-08-09,65,37.0,,0.37,24.05
2016-08-10,66,37.0,,0.37,24.419999999999998
2016-08-11,68,37.0,,0.37,25.16
2016-08-12,72,37.0,,0.37,26.64
2016-08-13,89,37.0,,0.37,32.93
2016-08-14,85,37.0,,0.37,31.45
2016-08-15,69,37.0,,0.37,25.53
2016-08-16,68,37.0,,0.37,25.16
2016-08-17,67,37.0,,0.37,24.79
2016-08-18,69,37.0,,0.37,25.53
2016-08-19,72,37.0,,0.37,26.64
2016-08-20,96,37.0,,0.37,35.519999999999996
2016-08-21,91,37.0,,0.37,33.67
2016-08-22,67,37.0,,0.37,24.79
2016-08-23,67,37.0,,0.37,24.79
2016-08-24,68,37.0,,0.37,25.16
2016-08-25,72,37.0,,0.37,26.64
2016-08-26,79,37.0,,0.37,29.23
2016-08-27,100,37.0,,0.37,37.0
2016-08-28,96,37.0,,0.37,35.519999999999996
2016-08-29,73,37.0,,0.37,27.009999999999998
2016-08-30,70,37.0,,0.37,25.9
2016-08-31,69,37.0,,0.37,25.53
2016-09-01,66,37.0,False,0.37,24.419999999999998
2016-09-02,74,37.0,,0.37,27.38
2016-09-03,100,37.0,,0.37,37.0
2016-09-04,100,37.0,,0.37,37.0
2016-09-05,91,37.0,,0.37,33.67
2016-09-06,68,37.0,,0.37,25.16
2016-09-07,65,37.0,,0.37,24.05
2016-09-08,64,37.0,,0.37,23.68
2016-09-09,72,37.0,,0.37,26.64
2016-09-10,92,37.0,,0.37,34.04
2016-09-11,84,37.0,,0.37,31.08
2016-09-12,63,37.0,,0.37,23.31
2016-09-13,63,37.0,,0.37,23.31
2016-09-14,64,37.0,,0.37,23.68
2016-09-15,62,37.0,,0.37,22.94
2016-09-16,70,37.0,,0.37,25.9
2016-09-17,92,37.0,,0.37,34.04
2016-09-18,82,37.0,,0.37,30.34
2016-09-19,65,37.0,,0.37,24.05
2016-09-20,63,37.0,,0.37,23.31
2016-09-21,64,37.0,,0.37,23.68
2016-09-22,65,37.0,,0.37,24.05
2016-09-23,69,37.0,,0.37,25.53
2016-09-24,92,37.0,,0.37,34.04
2016-09-25,88,37.0,,0.37,32.56
2016-09-26,63,37.0,,0.37,23.31
2016-09-27,62,37.0,,0.37,22.94
2016-09-28,63,37.0,,0.37,23.31
2016-09-29,63,37.0,,0.37,23.31
2016-09-30,73,37.0,,0.37,27.009999999999998
2016-10-01,98,38.0,False,0.38,37.24
2016-10-02,86,38.0,,0.38,32.68
2016-10-03,67,38.0,,0.38,25.46
2016-10-04,66,38.0,,0.38,25.080000000000002
2016-10-05,62,38.0,,0.38,23.56
2016-10-06,68,38.0,,0.38,25.84
2016-10-07,74,38.0,,0.38,28.12
2016-10-08,97,38.0,,0.38,36.86
2016-10-09,88,38.0,,0.38,33.44
2016-10-10,73,38.0,,0.38,27.740000000000002
2016-10-11,64,38.0,,0.38,24.32
2016-10-12,68,38.0,,0.38,25.84
2016-10-13,65,38.0,,0.38,24.7
2016-10-14,75,38.0,,0.38,28.5
2016-10-15,100,38.0,,0.38,38.0
2016-10-16,86,38.0,,0.38,32.68
2016-10-17,67,38.0,,0.38,25.46
2016-10-18,63,38.0,,0.38,23.94
2016-10-19,66,38.0,,0.38,25.080000000000002
2016-10-20,65,38.0,,0.38,24.7
2016-10-21,73,38.0,,0.38,27.740000000000002
2016-10-22,97,38.0,,0.38,36.86
2016-10-23,90,38.0,,0.38,34.2
2016-10-24,64,38.0,,0.38,24.32
2016-10-25,66,38.0,,0.38,25.080000000000002
2016-10-26,66,38.0,,0.38,25.080000000000002
2016-10-27,65,38.0,,0.38,24.7
2016-10-28,75,38.0,,0.38,28.5
2016-10-29,94,38.0,,0.38,35.72
2016-10-30,88,38.0,,0.38,33.44
2016-10-31,69,38.0,,0.38,26.22
2016-11-01,65,35.0,False,0.35,22.75
2016-11-02,66,35.0,,0.35,23.099999999999998
2016-11-03,65,35.0,,0.35,22.75
2016-11-04,75,35.0,,0.35,26.25
2016-11-05,100,35.0,,0.35,35.0
2016-11-06,88,35.0,,0.35,30.799999999999997
2016-11-07,65,35.0,,0.35,22.75
2016-11-08,67,35.0,,0.35,23.45
2016-11-09,49,35.0,,0.35,17.15
2016-11-10,68,35.0,,0.35,23.799999999999997
2016-11-11,80,35.0,,0.35,28.0
2016-11-12,98,35.0,,0.35,34.3
2016-11-13,89,35.0,,0.35,31.15
2016-11-14,65,35.0,,0.35,22.75
2016-11-15,66,35.0,,0.35,23.099999999999998
2016-11-16,66,35.0,,0.35,23.099999999999998
2016-11-17,67,35.0,,0.35,23.45
2016-11-18,75,35.0,,0.35,26.25
2016-11-19,94,35.0,,0.35,32.9
2016-11-20,88,35.0,,0.35,30.799999999999997
2016-11-21,70,35.0,,0.35,24.5
2016-11-22,72,35.0,,0.35,25.2
2016-11-23,76,35.0,,0.35,26.599999999999998
2016-11-24,83,35.0,,0.35,29.049999999999997
2016-11-25,86,35.0,,0.35,30.099999999999998
2016-11-26,85,35.0,,0.35,29.749999999999996
2016-11-27,81,35.0,,0.35,28.349999999999998
2016-11-28,64,35.0,,0.35,22.4
2016-11-29,62,35.0,,0.35,21.7
2016-11-30,63,35.0,,0.35,22.049999999999997
2016-12-01,63,38.0,False,0.38,23.94
2016-12-02,68,38.0,,0.38,25.84
2016-12-03,91,38.0,,0.38,34.58
2016-12-04,82,38.0,,0.38,31.16
2016-12-05,66,38.0,,0.38,25.080000000000002
2016-12-06,63,38.0,,0.38,23.94
2016-12-07,64,38.0,,0.38,24.32
2016-12-08,63,38.0,,0.38,23.94
2016-12-09,67,38.0,,0.38,25.46
2016-12-10,90,38.0,,0.38,34.2
2016-12-11,84,38.0,,0.38,31.92
2016-12-12,66,38.0,,0.38,25.080000000000002
2016-12-13,65,38.0,,0.38,24.7
2016-12-14,64,38.0,,0.38,24.32
2016-12-15,64,38.0,,0.38,24.32
2016-12-16,72,38.0,,0.38,27.36
2016-12-17,91,38.0,,0.38,34.58
2016-12-18,85,38.0,,0.38,32.3
2016-12-19,73,38.0,,0.38,27.740000000000002
2016-12-20,76,38.0,,0.38,28.88
2016-12-21,76,38.0,,0.38,28.88
2016-12-22,81,38.0,,0.38,30.78
2016-12-23,92,38.0,,0.38,34.96
2016-12-24,97,38.0,,0.38,36.86
2016-12-25,100,38.0,,0.38,38.0
2016-12-26,92,38.0,,0.38,34.96
2016-12-27,79,38.0,,0.38,30.02
2016-12-28,83,38.0,,0.38,31.54
2016-12-29,79,38.0,,0.38,30.02
2016-12-30,89,38.0,,0.38,33.82
2016-12-31,93,38.0,,0.38,35.34
2017-01-01,92,38.0,False,0.38,34.96
2017-01-02,86,38.0,,0.38,32.68
2017-01-03,69,38.0,,0.38,26.22
2017-01-04,67,38.0,,0.38,25.46
2017-01-05,67,38.0,,0.38,25.46
2017-01-06,68,38.0,,0.38,25.84
2017-01-07,84,38.0,,0.38,31.92
2017-01-08,80,38.0,,0.38,30.4
2017-01-09,64,38.0,,0.38,24.32
2017-01-10,63,38.0,,0.38,23.94
2017-01-11,64,38.0,,0.38,24.32
2017-01-12,66,38.0,,0.38,25.080000000000002
2017-01-13,71,38.0,,0.38,26.98
2017-01-14,93,38.0,,0.38,35.34
2017-01-15,85,38.0,,0.38,32.3
2017-01-16,78,38.0,,0.38,29.64
2017-01-17,66,38.0,,0.38,25.080000000000002
2017-01-18,66,38.0,,0.38,25.080000000000002
2017-01-19,66,38.0,,0.38,25.080000000000002
2017-01-20,69,38.0,,0.38,26.22
2017-01-21,92,38.0,,0.38,34.96
2017-01-22,85,38.0,,0.38,32.3
2017-01-23,69,38.0,,0.38,26.22
2017-01-24,73,38.0,,0.38,27.740000000000002
2017-01-25,72,38.0,,0.38,27.36
2017-01-26,70,38.0,,0.38,26.6
2017-01-27,76,38.0,,0.38,28.88
2017-01-28,100,38.0,,0.38,38.0
2017-01-29,96,38.0,,0.38,36.480000000000004
2017-01-30,68,38.0,,0.38,25.84
2017-01-31,69,38.0,,0.38,26.22
2017-02-01,64,39.0,False,0.39,24.96
2017-02-02,61,39.0,,0.39,23.79
2017-02-03,71,39.0,,0.39,27.69
2017-02-04,91,39.0,,0.39,35.49
2017-02-05,82,39.0,,0.39,31.98
2017-02-06,59,39.0,,0.39,23.01
2017-02-07,63,39.0,,0.39,24.57
2017-02-08,64,39.0,,0.39,24.96
2017-02-09,64,39.0,,0.39,24.96
2017-02-10,71,39.0,,0.39,27.69
2017-02-11,100,39.0,,0.39,39.0
2017-02-12,87,39.0,,0.39,33.93
2017-02-13,64,39.0,,0.39,24.96
2017-02-14,67,39.0,,0.39,26.130000000000003
2017-02-15,64,39.0,,0.39,24.96
2017-02-16,64,39.0,,0.39,24.96
2017-02-17,72,39.0,,0.39,28.080000000000002
2017-02-18,98,39.0,,0.39,38.22
2017-02-19,93,39.0,,0.39,36.27
2017-02-20,76,39.0,,0.39,29.64
2017-02-21,65,39.0,,0.39,25.35
2017-02-22,64,39.0,,0.39,24.96
2017-02-23,65,39.0,,0.39,25.35
2017-02-24,73,39.0,,0.39,28.470000000000002
2017-02-25,96,39.0,,0.39,37.44
2017-02-26,89,39.0,,0.39,34.71
2017-02-27,64,39.0,,0.39,24.96
2017-02-28,66,39.0,,0.39,25.740000000000002
2017-03-01,64,42.0,False,0.42,26.88
2017-03-02,66,42.0,,0.42,27.72
2017-03-03,70,42.0,,0.42,29.4
2017-03-04,95,42.0,,0.42,39.9
2017-03-05,88,42.0,,0.42,36.96
2017-03-06,65,42.0,,0.42,27.3
2017-03-07,64,42.0,,0.42,26.88
2017-03-08,65,42.0,,0.42,27.3
2017-03-09,67,42.0,,0.42,28.14
2017-03-10,70,42.0,,0.42,29.4
2017-03-11,94,42.0,,0.42,39.48
2017-03-12,91,42.0,,0.42,38.22
2017-03-13,71,42.0,,0.42,29.82
2017-03-14,67,42.0,,0.42,28.14
2017-03-15,68,42.0,,0.42,28.56
2017-03-16,67,42.0,,0.42,28.14
2017-03-17,77,42.0,,0.42,32.339999999999996
2017-03-18,96,42.0,,0.42,40.32
2017-03-19,91,42.0,,0.42,38.22
2017-03-20,71,42.0,,0.42,29.82
2017-03-21,67,42.0,,0.42,28.14
2017-03-22,66,42.0,,0.42,27.72
2017-03-23,66,42.0,,0.42,27.72
2017-03-24,75,42.0,,0.42,31.5
2017-03-25,100,42.0,,0.42,42.0
2017-03-26,92,42.0,,0.42,38.64
2017-03-27,70,42.0,,0.42,29.4
2017-03-28,68,42.0,,0.42,28.56
2017-03-29,66,42.0,,0.42,27.72
2017-03-30,67,42.0,,0.42,28.14
2017-03-31,73,42.0,,0.42,30.66
2017-04-01,95,43.0,False,0.43,40.85
2017-04-02,92,43.0,,0.43,39.56
2017-04-03,65,43.0,,0.43,27.95
2017-04-04,65,43.0,,0.43,27.95
2017-04-05,64,43.0,,0.43,27.52
2017-04-06,65,43.0,,0.43,27.95
2017-04-07,71,43.0,,0.43,30.53
2017-04-08,100,43.0,,0.43,43.0
2017-04-09,90,43.0,,0.43,38.7
2017-04-10,68,43.0,,0.43,29.24
2017-04-11,67,43.0,,0.43,28.81
2017-04-12,66,43.0,,0.43,28.38
2017-04-13,68,43.0,,0.43,29.24
2017-04-14,83,43.0,,0.43,35.69
2017-04-15,98,43.0,,0.43,42.14
2017-04-16,91,43.0,,0.43,39.13
2017-04-17,69,43.0,,0.43,29.669999999999998
2017-04-18,64,43.0,,0.43,27.52
2017-04-19,65,43.0,,0.43,27.95
2017-04-20,65,43.0,,0.43,27.95
2017-04-21,75,43.0,,0.43,32.25
2017-04-22,97,43.0,,0.43,41.71
2017-04-23,90,43.0,,0.43,38.7
2017-04-24,66,43.0,,0.43,28.38
2017-04-25,66,43.0,,0.43,28.38
2017-04-26,65,43.0,,0.43,27.95
2017-04-27,66,43.0,,0.43,28.38
2017-04-28,70,43.0,,0.43,30.099999999999998
2017-04-29,97,43.0,,0.43,41.71
2017-04-30,90,43.0,,0.43,38.7
2017-05-01,60,46.0,False,0.46,27.6
2017-05-02,57,46.0,,0.46,26.220000000000002
2017-05-03,58,46.0,,0.46,26.68
2017-05-04,59,46.0,,0.46,27.14
2017-05-05,65,46.0,,0.46,29.900000000000002
2017-05-06,90,46.0,,0.46,41.4
2017-05-07,83,46.0,,0.46,38.18
2017-05-08,63,46.0,,0.46,28.98
2017-05-09,61,46.0,,0.46,28.060000000000002
2017-05-10,59,46.0,,0.46,27.14
2017-05-11,61,46.0,,0.46,28.060000000000002
2017-05-12,67,46.0,,0.46,30.82
2017-05-13,90,46.0,,0.46,41.4
2017-05-14,86,46.0,,0.46,39.56
2017-05-15,62,46.0,,0.46,28.52
2017-05-16,62,46.0,,0.46,28.52
2017-05-17,61,46.0,,0.46,28.060000000000002
2017-05-18,61,46.0,,0.46,28.060000000000002
2017-05-19,67,46.0,,0.46,30.82
2017-05-20,93,46.0,,0.46,42.78
2017-05-21,87,46.0,,0.46,40.02
2017-05-22,65,46.0,,0.46,29.900000000000002
2017-05-23,63,46.0,,0.46,28.98
2017-05-24,61,46.0,,0.46,28.060000000000002
2017-05-25,66,46.0,,0.46,30.360000000000003
2017-05-26,76,46.0,,0.46,34.96
2017-05-27,97,46.0,,0.46,44.620000000000005
2017-05-28,100,46.0,,0.46,46.0
2017-05-29,91,46.0,,0.46,41.86
2017-05-30,68,46.0,,0.46,31.28
2017-05-31,70,46.0,,0.46,32.2
2017-06-01,62,52.0,False,0.52,32.24
2017-06-02,71,52.0,,0.52,36.92
2017-06-03,84,52.0,,0.52,43.68
2017-06-04,81,52.0,,0.52,42.120000000000005
2017-06-05,65,52.0,,0.52,33.800000000000004
2017-06-06,62,52.0,,0.52,32.24
2017-06-07,63,52.0,,0.52,32.76
2017-06-08,65,52.0,,0.52,33.800000000000004
2017-06-09,72,52.0,,0.52,37.44
2017-06-10,88,52.0,,0.52,45.760000000000005
2017-06-11,84,52.0,,0.52,43.68
2017-06-12,68,52.0,,0.52,35.36
2017-06-13,67,52.0,,0.52,34.84
2017-06-14,65,52.0,,0.52,33.800000000000004
2017-06-15,69,52.0,,0.52,35.88
2017-06-16,81,52.0,,0.52,42.120000000000005
2017-06-17,100,52.0,,0.52,52.0
2017-06-18,90,52.0,,0.52,46.800000000000004
2017-06-19,72,52.0,,0.52,37.44
2017-06-20,70,52.0,,0.52,36.4
2017-06-21,68,52.0,,0.52,35.36
2017-06-22,73,52.0,,0.52,37.96
2017-06-23,77,52.0,,0.52,40.04
2017-06-24,99,52.0,,0.52,51.480000000000004
2017-06-25,97,52.0,,0.52,50.440000000000005
2017-06-26,74,52.0,,0.52,38.480000000000004
2017-06-27,70,52.0,,0.52,36.4
2017-06-28,73,52.0,,0.52,37.96
2017-06-29,73,52.0,,0.52,37.96
2017-06-30,84,52.0,,0.52,43.68
2017-07-01,99,56.0,False,0.56,55.440000000000005
2017-07-02,100,56.0,,0.56,56.00000000000001
2017-07-03,93,56.0,,0.56,52.080000000000005
2017-07-04,100,56.0,,0.56,56.00000000000001
2017-07-05,76,56.0,,0.56,42.56
2017-07-06,72,56.0,,0.56,40.32000000000001
2017-07-07,76,56.0,,0.56,42.56
2017-07-08,94,56.0,,0.56,52.64000000000001
2017-07-09,89,56.0,,0.56,49.84
2017-07-10,71,56.0,,0.56,39.760000000000005
2017-07-11,71,56.0,,0.56,39.760000000000005
2017-07-12,69,56.0,,0.56,38.64
2017-07-13,72,56.0,,0.56,40.32000000000001
2017-07-14,80,56.0,,0.56,44.800000000000004
2017-07-15,96,56.0,,0.56,53.760000000000005
2017-07-16,91,56.0,,0.56,50.96000000000001
2017-07-17,72,56.0,,0.56,40.32000000000001
2017-07-18,70,56.0,,0.56,39.2
2017-07-19,71,56.0,,0.56,39.760000000000005
2017-07-20,70,56.0,,0.56,39.2
2017-07-21,76,56.0,,0.56,42.56
2017-07-22,92,56.0,,0.56,51.52
2017-07-23,89,56.0,,0.56,49.84
2017-07-24,74,56.0,,0.56,41.440000000000005
2017-07-25,69,56.0,,0.56,38.64
2017-07-26,70,56.0,,0.56,39.2
2017-07-27,69,56.0,,0.56,38.64
2017-07-28,77,56.0,,0.56,43.120000000000005
2017-07-29,95,56.0,,0.56,53.2
2017-07-30,92,56.0,,0.56,51.52
2017-07-31,73,56.0,,0.56,40.88
2017-08-01,76,52.0,False,0.52,39.52
2017-08-02,76,52.0,,0.52,39.52
2017-08-03,76,52.0,,0.52,39.52
2017-08-04,81,52.0,,0.52,42.120000000000005
2017-08-05,100,52.0,,0.52,52.0
2017-08-06,95,52.0,,0.52,49.4
2017-08-07,78,52.0,,0.52,40.56
2017-08-08,73,52.0,,0.52,37.96
2017-08-09,73,52.0,,0.52,37.96
2017-08-10,73,52.0,,0.52,37.96
2017-08-11,77,52.0,,0.52,40.04
2017-08-12,97,52.0,,0.52,50.440000000000005
2017-08-13,90,52.0,,0.52,46.800000000000004
2017-08-14,73,52.0,,0.52,37.96
2017-08-15,71,52.0,,0.52,36.92
2017-08-16,70,52.0,,0.52,36.4
2017-08-17,69,52.0,,0.52,35.88
2017-08-18,76,52.0,,0.52,39.52
2017-08-19,100,52.0,,0.52,52.0
2017-08-20,96,52.0,,0.52,49.92
2017-08-21,73,52.0,,0.52,37.96
2017-08-22,68,52.0,,0.52,35.36
2017-08-23,69,52.0,,0.52,35.88
2017-08-24,67,52.0,,0.52,34.84
2017-08-25,79,52.0,,0.52,41.08
2017-08-26,98,52.0,,0.52,50.96
2017-08-27,84,52.0,,0.52,43.68
2017-08-28,73,52.0,,0.52,37.96
2017-08-29,69,52.0,,0.52,35.88
2017-08-30,68,52.0,,0.52,35.36
2017-08-31,72,52.0,,0.52,37.44
2017-09-01,79,50.0,False,0.5,39.5
2017-09-02,100,50.0,,0.5,50.0
2017-09-03,98,50.0,,0.5,49.0
2017-09-04,91,50.0,,0.5,45.5
2017-09-05,67,50.0,,0.5,33.5
2017-09-06,62,50.0,,0.5,31.0
2017-09-07,63,50.0,,0.5,31.5
2017-09-08,68,50.0,,0.5,34.0
2017-09-09,92,50.0,,0.5,46.0
2017-09-10,79,50.0,,0.5,39.5
2017-09-11,68,50.0,,0.5,34.0
2017-09-12,67,50.0,,0.5,33.5
2017-09-13,65,50.0,,0.5,32.5
2017-09-14,65,50.0,,0.5,32.5
2017-09-15,72,50.0,,0.5,36.0
2017-09-16,97,50.0,,0.5,48.5
2017-09-17,85,50.0,,0.5,42.5
2017-09-18,67,50.0,,0.5,33.5
2017-09-19,65,50.0,,0.5,32.5
2017-09-20,65,50.0,,0.5,32.5
2017-09-21,65,50.0,,0.5,32.5
2017-09-22,73,50.0,,0.5,36.5
2017-09-23,94,50.0,,0.5,47.0
2017-09-24,85,50.0,,0.5,42.5
2017-09-25,65,50.0,,0.5,32.5
2017-09-26,64,50.0,,0.5,32.0
2017-09-27,65,50.0,,0.5,32.5
2017-09-28,65,50.0,,0.5,32.5
2017-09-29,72,50.0,,0.5,36.0
2017-09-30,96,50.0,,0.5,48.0
2017-10-01,88,50.0,False,0.5,44.0
2017-10-02,64,50.0,,0.5,32.0
2017-10-03,61,50.0,,0.5,30.5
2017-10-04,64,50.0,,0.5,32.0
2017-10-05,67,50.0,,0.5,33.5
2017-10-06,73,50.0,,0.5,36.5
2017-10-07,97,50.0,,0.5,48.5
2017-10-08,88,50.0,,0.5,44.0
2017-10-09,74,50.0,,0.5,37.0
2017-10-10,64,50.0,,0.5,32.0
2017-10-11,65,50.0,,0.5,32.5
2017-10-12,65,50.0,,0.5,32.5
2017-10-13,74,50.0,,0.5,37.0
2017-10-14,98,50.0,,0.5,49.0
2017-10-15,89,50.0,,0.5,44.5
2017-10-16,71,50.0,,0.5,35.5
2017-10-17,68,50.0,,0.5,34.0
2017-10-18,63,50.0,,0.5,31.5
2017-10-19,67,50.0,,0.5,33.5
2017-10-20,73,50.0,,0.5,36.5
2017-10-21,100,50.0,,0.5,50.0
2017-10-22,87,50.0,,0.5,43.5
2017-10-23,65,50.0,,0.5,32.5
2017-10-24,67,50.0,,0.5,33.5
2017-10-25,63,50.0,,0.5,31.5
2017-10-26,64,50.0,,0.5,32.0
2017-10-27,75,50.0,,0.5,37.5
2017-10-28,98,50.0,,0.5,49.0
2017-10-29,84,50.0,,0.5,42.0
2017-10-30,63,50.0,,0.5,31.5
2017-10-31,62,50.0,,0.5,31.0
2017-11-01,66,47.0,False,0.47,31.02
2017-11-02,65,47.0,,0.47,30.549999999999997
2017-11-03,76,47.0,,0.47,35.72
2017-11-04,100,47.0,,0.47,47.0
2017-11-05,89,47.0,,0.47,41.83
2017-11-06,68,47.0,,0.47,31.959999999999997
2017-11-07,65,47.0,,0.47,30.549999999999997
2017-11-08,63,47.0,,0.47,29.61
2017-11-09,67,47.0,,0.47,31.49
2017-11-10,81,47.0,,0.47,38.07
2017-11-11,100,47.0,,0.47,47.0
2017-11-12,88,47.0,,0.47,41.36
2017-11-13,66,47.0,,0.47,31.02
2017-11-14,66,47.0,,0.47,31.02
2017-11-15,66,47.0,,0.47,31.02
2017-11-16,66,47.0,,0.47,31.02
2017-11-17,72,47.0,,0.47,33.839999999999996
2017-11-18,94,47.0,,0.47,44.18
2017-11-19,87,47.0,,0.47,40.89
2017-11-20,72,47.0,,0.47,33.839999999999996
2017-11-21,71,47.0,,0.47,33.37
2017-11-22,82,47.0,,0.47,38.54
2017-11-23,85,47.0,,0.47,39.949999999999996
2017-11-24,89,47.0,,0.47,41.83
2017-11-25,90,47.0,,0.47,42.3
2017-11-26,86,47.0,,0.47,40.419999999999995
2017-11-27,65,47.0,,0.47,30.549999999999997
2017-11-28,64,47.0,,0.47,30.08
2017-11-29,63,47.0,,0.47,29.61
2017-11-30,65,47.0,,0.47,30.549999999999997
2017-12-01,65,50.0,False,0.5,32.5
2017-12-02,92,50.0,,0.5,46.0
2017-12-03,83,50.0,,0.5,41.5
2017-12-04,63,50.0,,0.5,31.5
2017-12-05,60,50.0,,0.5,30.0
2017-12-06,60,50.0,,0.5,30.0
2017-12-07,63,50.0,,0.5,31.5
2017-12-08,67,50.0,,0.5,33.5
2017-12-09,87,50.0,,0.5,43.5
2017-12-10,83,50.0,,0.5,41.5
2017-12-11,61,50.0,,0.5,30.5
2017-12-12,61,50.0,,0.5,30.5
2017-12-13,59,50.0,,0.5,29.5
2017-12-14,63,50.0,,0.5,31.5
2017-12-15,70,50.0,,0.5,35.0
2017-12-16,94,50.0,,0.5,47.0
2017-12-17,83,50.0,,0.5,41.5
2017-12-18,68,50.0,,0.5,34.0
2017-12-19,71,50.0,,0.5,35.5
2017-12-20,73,50.0,,0.5,36.5
2017-12-21,75,50.0,,0.5,37.5
2017-12-22,83,50.0,,0.5,41.5
2017-12-23,100,50.0,,0.5,50.0
2017-12-24,94,50.0,,0.5,47.0
2017-12-25,95,50.0,,0.5,47.5
2017-12-26,88,50.0,,0.5,44.0
2017-12-27,83,50.0,,0.5,41.5
2017-12-28,82,50.0,,0.5,41.0
2017-12-29,88,50.0,,0.5,44.0
2017-12-30,95,50.0,,0.5,47.5
2017-12-31,93,50.0,,0.5,46.5
2018-01-01,93,48.0,False,0.48,44.64
2018-01-02,76,48.0,,0.48,36.48
