date,SLV_unscaled,SLV_monthly,isPartial,scale,SLV
2016-06-14,36,14.0,,0.14,5.040000000000001
2016-06-15,49,14.0,,0.14,6.86
2016-06-16,53,14.0,,0.14,7.420000000000001
2016-06-17,53,14.0,,0.14,7.420000000000001
2016-06-18,19,14.0,,0.14,2.66
2016-06-19,15,14.0,,0.14,2.1
2016-06-20,57,14.0,,0.14,7.98
2016-06-21,37,14.0,,0.14,5.180000000000001
2016-06-22,52,14.0,,0.14,7.280000000000001
2016-06-23,40,14.0,,0.14,5.6000000000000005
2016-06-24,94,14.0,,0.14,13.160000000000002
2016-06-25,36,14.0,,0.14,5.040000000000001
2016-06-26,26,14.0,,0.14,3.6400000000000006
2016-06-27,77,14.0,,0.14,10.780000000000001
2016-06-28,44,14.0,,0.14,6.16
2016-06-29,83,14.0,,0.14,11.620000000000001
2016-06-30,100,14.0,,0.14,14.000000000000002
2016-07-01,78,19.0,False,0.19,14.82
2016-07-02,29,19.0,,0.19,5.51
2016-07-03,20,19.0,,0.19,3.8
2016-07-04,33,19.0,,0.19,6.2700000000000005
2016-07-05,78,19.0,,0.19,14.82
2016-07-06,100,19.0,,0.19,19.0
2016-07-07,74,19.0,,0.19,14.06
2016-07-08,61,19.0,,0.19,11.59
2016-07-09,20,19.0,,0.19,3.8
2016-07-10,10,19.0,,0.19,1.9
2016-07-11,70,19.0,,0.19,13.3
2016-07-12,67,19.0,,0.19,12.73
2016-07-13,55,19.0,,0.19,10.45
2016-07-14,55,19.0,,0.19,10.45
2016-07-15,45,19.0,,0.19,8.55
2016-07-16,24,19.0,,0.19,4.5600000000000005
2016-07-17,25,19.0,,0.19,4.75
2016-07-18,37,19.0,,0.19,7.03
2016-07-19,53,19.0,,0.19,10.07
2016-07-20,50,19.0,,0.19,9.5
2016-07-21,39,19.0,,0.19,7.41
2016-07-22,42,19.0,,0.19,7.98
2016-07-23,13,19.0,,0.19,2.47
2016-07-24,14,19.0,,0.19,2.66
2016-07-25,31,19.0,,0.19,5.89
2016-07-26,35,19.0,,0.19,6.65
2016-07-27,43,19.0,,0.19,8.17
2016-07-28,46,19.0,,0.19,8.74
2016-07-29,36,19.0,,0.19,6.84
2016-07-30,13,19.0,,0.19,2.47
2016-07-31,14,19.0,,0.19,2.66
2016-08-01,85,13.0,False,0.13,11.05
2016-08-02,100,13.0,,0.13,13.0
2016-08-03,83,13.0,,0.13,10.790000000000001
2016-08-04,79,13.0,,0.13,10.27
2016-08-05,79,13.0,,0.13,10.27
2016-08-06,18,13.0,,0.13,2.34
2016-08-07,21,13.0,,0.13,2.73
2016-08-08,56,13.0,,0.13,7.28
2016-08-09,75,13.0,,0.13,9.75
2016-08-10,83,13.0,,0.13,10.790000000000001
2016-08-11,57,13.0,,0.13,7.41
2016-08-12,73,13.0,,0.13,9.49
2016-08-13,26,13.0,,0.13,3.38
2016-08-14,18,13.0,,0.13,2.34
2016-08-15,88,13.0,,0.13,11.440000000000001
2016-08-16,61,13.0,,0.13,7.930000000000001
2016-08-17,64,13.0,,0.13,8.32
2016-08-18,60,13.0,,0.13,7.800000000000001
2016-08-19,45,13.0,,0.13,5.8500000000000005
2016-08-20,52,13.0,,0.13,6.76
2016-08-21,15,13.0,,0.13,1.9500000000000002
2016-08-22,64,13.0,,0.13,8.32
2016-08-23,53,13.0,,0.13,6.890000000000001
2016-08-24,73,13.0,,0.13,9.49
2016-08-25,61,13.0,,0.13,7.930000000000001
2016-08-26,85,13.0,,0.13,11.05
2016-08-27,45,13.0,,0.13,5.8500000000000005
2016-08-28,14,13.0,,0.13,1.82
2016-08-29,53,13.0,,0.13,6.890000000000001
2016-08-30,46,13.0,,0.13,5.98
2016-08-31,60,13.0,,0.13,7.800000000000001
2016-09-01,40,11.0,False,0.11,4.4
2016-09-02,100,11.0,,0.11,11.0
2016-09-03,45,11.0,,0.11,4.95
2016-09-04,17,11.0,,0.11,1.87
2016-09-05,40,11.0,,0.11,4.4
2016-09-06,61,11.0,,0.11,6.71
2016-09-07,65,11.0,,0.11,7.15
2016-09-08,87,11.0,,0.11,9.57
2016-09-09,63,11.0,,0.11,6.93
2016-09-10,32,11.0,,0.11,3.52
2016-09-11,21,11.0,,0.11,2.31
2016-09-12,75,11.0,,0.11,8.25
2016-09-13,55,11.0,,0.11,6.05
2016-09-14,93,11.0,,0.11,10.23
2016-09-15,77,11.0,,0.11,8.47
2016-09-16,65,11.0,,0.11,7.15
2016-09-17,41,11.0,,0.11,4.51
2016-09-18,15,11.0,,0.11,1.65
2016-09-19,59,11.0,,0.11,6.49
2016-09-20,42,11.0,,0.11,4.62
2016-09-21,84,11.0,,0.11,9.24
2016-09-22,85,11.0,,0.11,9.35
2016-09-23,74,11.0,,0.11,8.14
2016-09-24,25,11.0,,0.11,2.75
2016-09-25,25,11.0,,0.11,2.75
2016-09-26,47,11.0,,0.11,5.17
2016-09-27,58,11.0,,0.11,6.38
2016-09-28,60,11.0,,0.11,6.6
2016-09-29,66,11.0,,0.11,7.26
2016-09-30,88,11.0,,0.11,9.68
2016-10-01,27,10.0,False,0.1,2.7
2016-10-02,17,10.0,,0.1,1.7000000000000002
2016-10-03,53,10.0,,0.1,5.300000000000001
2016-10-04,81,10.0,,0.1,8.1
2016-10-05,81,10.0,,0.1,8.1
2016-10-06,65,10.0,,0.1,6.5
2016-10-07,69,10.0,,0.1,6.9
2016-10-08,37,10.0,,0.1,3.7
2016-10-09,20,10.0,,0.1,2.0
2016-10-10,60,10.0,,0.1,6.0
2016-10-11,66,10.0,,0.1,6.6000000000000005
2016-10-12,92,10.0,,0.1,9.200000000000001
2016-10-13,54,10.0,,0.1,5.4
2016-10-14,68,10.0,,0.1,6.800000000000001
2016-10-15,25,10.0,,0.1,2.5
2016-10-16,20,10.0,,0.1,2.0
2016-10-17,39,10.0,,0.1,3.9000000000000004
2016-10-18,67,10.0,,0.1,6.7
2016-10-19,63,10.0,,0.1,6.300000000000001
2016-10-20,60,10.0,,0.1,6.0
2016-10-21,20,10.0,,0.1,2.0
2016-10-22,28,10.0,,0.1,2.8000000000000003
2016-10-23,24,10.0,,0.1,2.4000000000000004
2016-10-24,47,10.0,,0.1,4.7
2016-10-25,100,10.0,,0.1,10.0
2016-10-26,67,10.0,,0.1,6.7
2016-10-27,76,10.0,,0.1,7.6000000000000005
2016-10-28,77,10.0,,0.1,7.7
2016-10-29,34,10.0,,0.1,3.4000000000000004
2016-10-30,33,10.0,,0.1,3.3000000000000003
2016-10-31,59,10.0,,0.1,5.9
2016-11-01,69,11.0,False,0.11,7.59
2016-11-02,100,11.0,,0.11,11.0
2016-11-03,64,11.0,,0.11,7.04
2016-11-04,71,11.0,,0.11,7.81
2016-11-05,22,11.0,,0.11,2.42
2016-11-06,18,11.0,,0.11,1.98
2016-11-07,71,11.0,,0.11,7.81
2016-11-08,53,11.0,,0.11,5.83
2016-11-09,86,11.0,,0.11,9.46
2016-11-10,80,11.0,,0.11,8.8
2016-11-11,77,11.0,,0.11,8.47
2016-11-12,30,11.0,,0.11,3.3
2016-11-13,39,11.0,,0.11,4.29
2016-11-14,87,11.0,,0.11,9.57
2016-11-15,65,11.0,,0.11,7.15
2016-11-16,66,11.0,,0.11,7.26
2016-11-17,75,11.0,,0.11,8.25
2016-11-18,50,11.0,,0.11,5.5
2016-11-19,12,11.0,,0.11,1.32
2016-11-20,15,11.0,,0.11,1.65
2016-11-21,73,11.0,,0.11,8.03
2016-11-22,89,11.0,,0.11,9.790000000000001
2016-11-23,47,11.0,,0.11,5.17
2016-11-24,24,11.0,,0.11,2.64
2016-11-25,59,11.0,,0.11,6.49
2016-11-26,29,11.0,,0.11,3.19
2016-11-27,23,11.0,,0.11,2.53
2016-11-28,55,11.0,,0.11,6.05
2016-11-29,61,11.0,,0.11,6.71
2016-11-30,62,11.0,,0.11,6.82
2016-12-01,61,10.0,False,0.1,6.1000000000000005
2016-12-02,100,10.0,,0.1,10.0
2016-12-03,25,10.0,,0.1,2.5
2016-12-04,19,10.0,,0.1,1.9000000000000001
2016-12-05,33,10.0,,0.1,3.3000000000000003
2016-12-06,73,10.0,,0.1,7.300000000000001
2016-12-07,83,10.0,,0.1,8.3
2016-12-08,61,10.0,,0.1,6.1000000000000005
2016-12-09,44,10.0,,0.1,4.4
2016-12-10,17,10.0,,0.1,1.7000000000000002
2016-12-11,11,10.0,,0.1,1.1
2016-12-12,41,10.0,,0.1,4.1000000000000005
2016-12-13,61,10.0,,0.1,6.1000000000000005
2016-12-14,72,10.0,,0.1,7.2
2016-12-15,78,10.0,,0.1,7.800000000000001
2016-12-16,69,10.0,,0.1,6.9
2016-12-17,26,10.0,,0.1,2.6
2016-12-18,6,10.0,,0.1,0.6000000000000001
2016-12-19,54,10.0,,0.1,5.4
2016-12-20,78,10.0,,0.1,7.800000000000001
2016-12-21,77,10.0,,0.1,7.7
2016-12-22,58,10.0,,0.1,5.800000000000001
2016-12-23,70,10.0,,0.1,7.0
2016-12-24,30,10.0,,0.1,3.0
2016-12-25,13,10.0,,0.1,1.3
2016-12-26,37,10.0,,0.1,3.7
2016-12-27,53,10.0,,0.1,5.300000000000001
2016-12-28,44,10.0,,0.1,4.4
2016-12-29,91,10.0,,0.1,9.1
2016-12-30,45,10.0,,0.1,4.5
2016-12-31,19,10.0,,0.1,1.9000000000000001
2017-01-01,27,9.0,False,0.09,2.4299999999999997
2017-01-02,24,9.0,,0.09,2.16
2017-01-03,96,9.0,,0.09,8.64
2017-01-04,86,9.0,,0.09,7.739999999999999
2017-01-05,100,9.0,,0.09,9.0
2017-01-06,50,9.0,,0.09,4.5
2017-01-07,32,9.0,,0.09,2.88
2017-01-08,22,9.0,,0.09,1.98
2017-01-09,48,9.0,,0.09,4.32
2017-01-10,75,9.0,,0.09,6.75
2017-01-11,81,9.0,,0.09,7.29
2017-01-12,88,9.0,,0.09,7.92
2017-01-13,58,9.0,,0.09,5.22
2017-01-14,16,9.0,,0.09,1.44
2017-01-15,18,9.0,,0.09,1.6199999999999999
2017-01-16,17,9.0,,0.09,1.53
2017-01-17,91,9.0,,0.09,8.19
2017-01-18,80,9.0,,0.09,7.199999999999999
2017-01-19,40,9.0,,0.09,3.5999999999999996
2017-01-20,69,9.0,,0.09,6.21
2017-01-21,19,9.0,,0.09,1.71
2017-01-22,6,9.0,,0.09,0.54
2017-01-23,77,9.0,,0.09,6.93
2017-01-24,53,9.0,,0.09,4.77
2017-01-25,66,9.0,,0.09,5.9399999999999995
2017-01-26,42,9.0,,0.09,3.78
2017-01-27,85,9.0,,0.09,7.6499999999999995
2017-01-28,16,9.0,,0.09,1.44
2017-01-29,32,9.0,,0.09,2.88
2017-01-30,52,9.0,,0.09,4.68
2017-01-31,69,9.0,,0.09,6.21
2017-02-01,50,10.0,False,0.1,5.0
2017-02-02,68,10.0,,0.1,6.800000000000001
2017-02-03,59,10.0,,0.1,5.9
2017-02-04,31,10.0,,0.1,3.1
2017-02-05,27,10.0,,0.1,2.7
2017-02-06,52,10.0,,0.1,5.2
2017-02-07,81,10.0,,0.1,8.1
2017-02-08,71,10.0,,0.1,7.1000000000000005
2017-02-09,63,10.0,,0.1,6.300000000000001
2017-02-10,68,10.0,,0.1,6.800000000000001
2017-02-11,25,10.0,,0.1,2.5
2017-02-12,24,10.0,,0.1,2.4000000000000004
2017-02-13,64,10.0,,0.1,6.4
2017-02-14,100,10.0,,0.1,10.0
2017-02-15,96,10.0,,0.1,9.600000000000001
2017-02-16,72,10.0,,0.1,7.2
2017-02-17,55,10.0,,0.1,5.5
2017-02-18,24,10.0,,0.1,2.4000000000000004
2017-02-19,32,10.0,,0.1,3.2
2017-02-20,33,10.0,,0.1,3.3000000000000003
2017-02-21,85,10.0,,0.1,8.5
2017-02-22,90,10.0,,0.1,9.0
2017-02-23,91,10.0,,0.1,9.1
2017-02-24,88,10.0,,0.1,8.8
2017-02-25,41,10.0,,0.1,4.1000000000000005
2017-02-26,29,10.0,,0.1,2.9000000000000004
2017-02-27,71,10.0,,0.1,7.1000000000000005
2017-02-28,91,10.0,,0.1,9.1
2017-03-01,78,10.0,False,0.1,7.800000000000001
2017-03-02,65,10.0,,0.1,6.5
2017-03-03,88,10.0,,0.1,8.8
2017-03-04,43,10.0,,0.1,4.3
2017-03-05,30,10.0,,0.1,3.0
2017-03-06,84,10.0,,0.1,8.4
2017-03-07,70,10.0,,0.1,7.0
2017-03-08,58,10.0,,0.1,5.800000000000001
2017-03-09,85,10.0,,0.1,8.5
2017-03-10,79,10.0,,0.1,7.9
2017-03-11,20,10.0,,0.1,2.0
2017-03-12,28,10.0,,0.1,2.8000000000000003
2017-03-13,70,10.0,,0.1,7.0
2017-03-14,64,10.0,,0.1,6.4
2017-03-15,79,10.0,,0.1,7.9
2017-03-16,62,10.0,,0.1,6.2
2017-03-17,82,10.0,,0.1,8.200000000000001
2017-03-18,27,10.0,,0.1,2.7
2017-03-19,27,10.0,,0.1,2.7
2017-03-20,64,10.0,,0.1,6.4
2017-03-21,90,10.0,,0.1,9.0
2017-03-22,65,10.0,,0.1,6.5
2017-03-23,65,10.0,,0.1,6.5
2017-03-24,64,10.0,,0.1,6.4
2017-03-25,27,10.0,,0.1,2.7
2017-03-26,40,10.0,,0.1,4.0
2017-03-27,100,10.0,,0.1,10.0
2017-03-28,68,10.0,,0.1,6.800000000000001
2017-03-29,88,10.0,,0.1,8.8
2017-03-30,54,10.0,,0.1,5.4
2017-03-31,65,10.0,,0.1,6.5
2017-04-01,9,10.0,False,0.1,0.9
2017-04-02,15,10.0,,0.1,1.5
2017-04-03,29,10.0,,0.1,2.9000000000000004
2017-04-04,67,10.0,,0.1,6.7
2017-04-05,77,10.0,,0.1,7.7
2017-04-06,65,10.0,,0.1,6.5
2017-04-07,72,10.0,,0.1,7.2
2017-04-08,46,10.0,,0.1,4.6000000000000005
2017-04-09,21,10.0,,0.1,2.1
2017-04-10,70,10.0,,0.1,7.0
2017-04-11,69,10.0,,0.1,6.9
2017-04-12,81,10.0,,0.1,8.1
2017-04-13,100,10.0,,0.1,10.0
2017-04-14,38,10.0,,0.1,3.8000000000000003
2017-04-15,25,10.0,,0.1,2.5
2017-04-16,23,10.0,,0.1,2.3000000000000003
2017-04-17,76,10.0,,0.1,7.6000000000000005
2017-04-18,69,10.0,,0.1,6.9
2017-04-19,92,10.0,,0.1,9.200000000000001
2017-04-20,63,10.0,,0.1,6.300000000000001
2017-04-21,58,10.0,,0.1,5.800000000000001
2017-04-22,21,10.0,,0.1,2.1
2017-04-23,24,10.0,,0.1,2.4000000000000004
2017-04-24,79,10.0,,0.1,7.9
2017-04-25,84,10.0,,0.1,8.4
2017-04-26,53,10.0,,0.1,5.300000000000001
2017-04-27,55,10.0,,0.1,5.5
2017-04-28,64,10.0,,0.1,6.4
2017-04-29,42,10.0,,0.1,4.2
2017-04-30,24,10.0,,0.1,2.4000000000000004
2017-05-01,92,11.0,False,0.11,10.12
2017-05-02,53,11.0,,0.11,5.83
2017-05-03,52,11.0,,0.11,5.72
2017-05-04,68,11.0,,0.11,7.48
2017-05-05,60,11.0,,0.11,6.6
2017-05-06,31,11.0,,0.11,3.41
2017-05-07,15,11.0,,0.11,1.65
2017-05-08,76,11.0,,0.11,8.36
2017-05-09,75,11.0,,0.11,8.25
2017-05-10,60,11.0,,0.11,6.6
2017-05-11,59,11.0,,0.11,6.49
2017-05-12,74,11.0,,0.11,8.14
2017-05-13,44,11.0,,0.11,4.84
2017-05-14,48,11.0,,0.11,5.28
2017-05-15,64,11.0,,0.11,7.04
2017-05-16,75,11.0,,0.11,8.25
2017-05-17,78,11.0,,0.11,8.58
2017-05-18,70,11.0,,0.11,7.7
2017-05-19,94,11.0,,0.11,10.34
2017-05-20,30,11.0,,0.11,3.3
2017-05-21,30,11.0,,0.11,3.3
2017-05-22,100,11.0,,0.11,11.0
2017-05-23,65,11.0,,0.11,7.15
2017-05-24,79,11.0,,0.11,8.69
2017-05-25,41,11.0,,0.11,4.51
2017-05-26,70,11.0,,0.11,7.7
2017-05-27,17,11.0,,0.11,1.87
2017-05-28,7,11.0,,0.11,0.77
2017-05-29,19,11.0,,0.11,2.09
2017-05-30,56,11.0,,0.11,6.16
2017-05-31,56,11.0,,0.11,6.16
2017-06-01,63,9.0,False,0.09,5.67
2017-06-02,85,9.0,,0.09,7.6499999999999995
2017-06-03,34,9.0,,0.09,3.06
2017-06-04,58,9.0,,0.09,5.22
2017-06-05,54,9.0,,0.09,4.859999999999999
2017-06-06,84,9.0,,0.09,7.56
2017-06-07,68,9.0,,0.09,6.12
2017-06-08,38,9.0,,0.09,3.42
2017-06-09,69,9.0,,0.09,6.21
2017-06-10,34,9.0,,0.09,3.06
2017-06-11,26,9.0,,0.09,2.34
2017-06-12,55,9.0,,0.09,4.95
2017-06-13,88,9.0,,0.09,7.92
2017-06-14,82,9.0,,0.09,7.38
2017-06-15,78,9.0,,0.09,7.02
2017-06-16,50,9.0,,0.09,4.5
2017-06-17,25,9.0,,0.09,2.25
2017-06-18,34,9.0,,0.09,3.06
2017-06-19,97,9.0,,0.09,8.73
2017-06-20,91,9.0,,0.09,8.19
2017-06-21,90,9.0,,0.09,8.1
2017-06-22,73,9.0,,0.09,6.569999999999999
2017-06-23,61,9.0,,0.09,5.49
2017-06-24,44,9.0,,0.09,3.96
2017-06-25,26,9.0,,0.09,2.34
2017-06-26,85,9.0,,0.09,7.6499999999999995
2017-06-27,68,9.0,,0.09,6.12
2017-06-28,100,9.0,,0.09,9.0
2017-06-29,100,9.0,,0.09,9.0
2017-06-30,56,9.0,,0.09,5.04
2017-07-01,15,11.0,False,0.11,1.65
2017-07-02,21,11.0,,0.11,2.31
2017-07-03,47,11.0,,0.11,5.17
2017-07-04,13,11.0,,0.11,1.43
2017-07-05,52,11.0,,0.11,5.72
2017-07-06,53,11.0,,0.11,5.83
2017-07-07,70,11.0,,0.11,7.7
2017-07-08,17,11.0,,0.11,1.87
2017-07-09,28,11.0,,0.11,3.08
2017-07-10,100,11.0,,0.11,11.0
2017-07-11,62,11.0,,0.11,6.82
2017-07-12,73,11.0,,0.11,8.03
2017-07-13,67,11.0,,0.11,7.37
2017-07-14,86,11.0,,0.11,9.46
2017-07-15,23,11.0,,0.11,2.53
2017-07-16,25,11.0,,0.11,2.75
2017-07-17,69,11.0,,0.11,7.59
2017-07-18,77,11.0,,0.11,8.47
2017-07-19,52,11.0,,0.11,5.72
2017-07-20,86,11.0,,0.11,9.46
2017-07-21,72,11.0,,0.11,7.92
2017-07-22,22,11.0,,0.11,2.42
2017-07-23,22,11.0,,0.11,2.42
2017-07-24,42,11.0,,0.11,4.62
2017-07-25,36,11.0,,0.11,3.96
2017-07-26,48,11.0,,0.11,5.28
2017-07-27,55,11.0,,0.11,6.05
2017-07-28,47,11.0,,0.11,5.17
2017-07-29,25,11.0,,0.11,2.75
2017-07-30,10,11.0,,0.11,1.1
2017-07-31,53,11.0,,0.11,5.83
2017-08-01,75,11.0,False,0.11,8.25
2017-08-02,84,11.0,,0.11,9.24
2017-08-03,87,11.0,,0.11,9.57
2017-08-04,54,11.0,,0.11,5.94
2017-08-05,29,11.0,,0.11,3.19
2017-08-06,18,11.0,,0.11,1.98
2017-08-07,72,11.0,,0.11,7.92
2017-08-08,78,11.0,,0.11,8.58
2017-08-09,100,11.0,,0.11,11.0
2017-08-10,98,11.0,,0.11,10.78
2017-08-11,85,11.0,,0.11,9.35
2017-08-12,28,11.0,,0.11,3.08
2017-08-13,50,11.0,,0.11,5.5
2017-08-14,71,11.0,,0.11,7.81
2017-08-15,86,11.0,,0.11,9.46
2017-08-16,77,11.0,,0.11,8.47
2017-08-17,77,11.0,,0.11,8.47
2017-08-18,71,11.0,,0.11,7.81
2017-08-19,29,11.0,,0.11,3.19
2017-08-20,25,11.0,,0.11,2.75
2017-08-21,49,11.0,,0.11,5.39
2017-08-22,76,11.0,,0.11,8.36
2017-08-23,85,11.0,,0.11,9.35
2017-08-24,69,11.0,,0.11,7.59
2017-08-25,80,11.0,,0.11,8.8
2017-08-26,45,11.0,,0.11,4.95
2017-08-27,17,11.0,,0.11,1.87
2017-08-28,82,11.0,,0.11,9.02
2017-08-29,97,11.0,,0.11,10.67
2017-08-30,69,11.0,,0.11,7.59
2017-08-31,75,11.0,,0.11,8.25
2017-09-01,93,10.0,False,0.1,9.3
2017-09-02,56,10.0,,0.1,5.6000000000000005
2017-09-03,25,10.0,,0.1,2.5
2017-09-04,43,10.0,,0.1,4.3
2017-09-05,95,10.0,,0.1,9.5
2017-09-06,76,10.0,,0.1,7.6000000000000005
2017-09-07,89,10.0,,0.1,8.9
2017-09-08,84,10.0,,0.1,8.4
2017-09-09,24,10.0,,0.1,2.4000000000000004
2017-09-10,20,10.0,,0.1,2.0
2017-09-11,66,10.0,,0.1,6.6000000000000005
2017-09-12,73,10.0,,0.1,7.300000000000001
2017-09-13,64,10.0,,0.1,6.4
2017-09-14,86,10.0,,0.1,8.6
2017-09-15,78,10.0,,0.1,7.800000000000001
2017-09-16,32,10.0,,0.1,3.2
2017-09-17,21,10.0,,0.1,2.1
2017-09-18,52,10.0,,0.1,5.2
2017-09-19,72,10.0,,0.1,7.2
2017-09-20,69,10.0,,0.1,6.9
2017-09-21,61,10.0,,0.1,6.1000000000000005
2017-09-22,100,10.0,,0.1,10.0
2017-09-23,25,10.0,,0.1,2.5
2017-09-24,32,10.0,,0.1,3.2
2017-09-25,82,10.0,,0.1,8.200000000000001
2017-09-26,73,10.0,,0.1,7.300000000000001
2017-09-27,79,10.0,,0.1,7.9
2017-09-28,53,10.0,,0.1,5.300000000000001
2017-09-29,72,10.0,,0.1,7.2
2017-09-30,25,10.0,,0.1,2.5
2017-10-01,27,7.0,False,0.07,1.8900000000000001
2017-10-02,64,7.0,,0.07,4.48
2017-10-03,80,7.0,,0.07,5.6000000000000005
2017-10-04,55,7.0,,0.07,3.8500000000000005
2017-10-05,100,7.0,,0.07,7.000000000000001
2017-10-06,83,7.0,,0.07,5.8100000000000005
2017-10-07,44,7.0,,0.07,3.08
2017-10-08,43,7.0,,0.07,3.0100000000000002
2017-10-09,69,7.0,,0.07,4.83
2017-10-10,68,7.0,,0.07,4.760000000000001
2017-10-11,84,7.0,,0.07,5.880000000000001
2017-10-12,63,7.0,,0.07,4.41
2017-10-13,79,7.0,,0.07,5.53
2017-10-14,35,7.0,,0.07,2.45
2017-10-15,30,7.0,,0.07,2.1
2017-10-16,48,7.0,,0.07,3.3600000000000003
2017-10-17,67,7.0,,0.07,4.69
2017-10-18,81,7.0,,0.07,5.670000000000001
2017-10-19,53,7.0,,0.07,3.7100000000000004
2017-10-20,85,7.0,,0.07,5.95
2017-10-21,41,7.0,,0.07,2.87
2017-10-22,26,7.0,,0.07,1.8200000000000003
2017-10-23,54,7.0,,0.07,3.7800000000000002
2017-10-24,90,7.0,,0.07,6.300000000000001
2017-10-25,66,7.0,,0.07,4.62
2017-10-26,55,7.0,,0.07,3.8500000000000005
2017-10-27,57,7.0,,0.07,3.99
2017-10-28,27,7.0,,0.07,1.8900000000000001
2017-10-29,22,7.0,,0.07,1.54
2017-10-30,69,7.0,,0.07,4.83
2017-10-31,49,7.0,,0.07,3.43
2017-11-01,100,8.0,False,0.08,8.0
2017-11-02,70,8.0,,0.08,5.6000000000000005
2017-11-03,65,8.0,,0.08,5.2
2017-11-04,18,8.0,,0.08,1.44
2017-11-05,35,8.0,,0.08,2.8000000000000003
2017-11-06,66,8.0,,0.08,5.28
2017-11-07,81,8.0,,0.08,6.48
2017-11-08,81,8.0,,0.08,6.48
2017-11-09,89,8.0,,0.08,7.12
2017-11-10,80,8.0,,0.08,6.4
2017-11-11,18,8.0,,0.08,1.44
2017-11-12,27,8.0,,0.08,2.16
2017-11-13,76,8.0,,0.08,6.08
2017-11-14,81,8.0,,0.08,6.48
2017-11-15,67,8.0,,0.08,5.36
2017-11-16,85,8.0,,0.08,6.8
2017-11-17,80,8.0,,0.08,6.4
2017-11-18,13,8.0,,0.08,1.04
2017-11-19,22,8.0,,0.08,1.76
2017-11-20,80,8.0,,0.08,6.4
2017-11-21,51,8.0,,0.08,4.08
2017-11-22,85,8.0,,0.08,6.8
2017-11-23,27,8.0,,0.08,2.16
2017-11-24,68,8.0,,0.08,5.44
2017-11-25,52,8.0,,0.08,4.16
2017-11-26,35,8.0,,0.08,2.8000000000000003
2017-11-27,80,8.0,,0.08,6.4
2017-11-28,90,8.0,,0.08,7.2
2017-11-29,80,8.0,,0.08,6.4
2017-11-30,96,8.0,,0.08,7.68
2017-12-01,59,9.0,False,0.09,5.31
2017-12-02,19,9.0,,0.09,1.71
2017-12-03,16,9.0,,0.09,1.44
2017-12-04,55,9.0,,0.09,4.95
2017-12-05,57,9.0,,0.09,5.13
2017-12-06,90,9.0,,0.09,8.1
2017-12-07,70,9.0,,0.09,6.3
2017-12-08,58,9.0,,0.09,5.22
2017-12-09,25,9.0,,0.09,2.25
2017-12-10,8,9.0,,0.09,0.72
2017-12-11,51,9.0,,0.09,4.59
2017-12-12,47,9.0,,0.09,4.2299999999999995
2017-12-13,56,9.0,,0.09,5.04
2017-12-14,71,9.0,,0.09,6.39
2017-12-15,67,9.0,,0.09,6.029999999999999
2017-12-16,30,9.0,,0.09,2.6999999999999997
2017-12-17,22,9.0,,0.09,1.98
2017-12-18,49,9.0,,0.09,4.41
2017-12-19,45,9.0,,0.09,4.05
2017-12-20,56,9.0,,0.09,5.04
2017-12-21,50,9.0,,0.09,4.5
2017-12-22,39,9.0,,0.09,3.51
2017-12-23,32,9.0,,0.09,2.88
2017-12-24,24,9.0,,0.09,2.16
2017-12-25,22,9.0,,0.09,1.98
2017-12-26,100,9.0,,0.09,9.0
