date,REAL_unscaled,REAL_monthly,isPartial,scale,REAL
2017-12-09,76,87.0,,0.87,66.12
2017-12-10,66,87.0,,0.87,57.42
2017-12-11,66,87.0,,0.87,57.42
2017-12-12,66,87.0,,0.87,57.42
2017-12-13,75,87.0,,0.87,65.25
2017-12-14,69,87.0,,0.87,60.03
2017-12-15,62,87.0,,0.87,53.94
2017-12-16,77,87.0,,0.87,66.99
2017-12-17,68,87.0,,0.87,59.16
2017-12-18,69,87.0,,0.87,60.03
2017-12-19,68,87.0,,0.87,59.16
2017-12-20,71,87.0,,0.87,61.77
2017-12-21,68,87.0,,0.87,59.16
2017-12-22,67,87.0,,0.87,58.29
2017-12-23,100,87.0,,0.87,87.0
2017-12-24,68,87.0,,0.87,59.16
2017-12-25,68,87.0,,0.87,59.16
2017-12-26,70,87.0,,0.87,60.9
2017-12-27,77,87.0,,0.87,66.99
2017-12-28,75,87.0,,0.87,65.25
2017-12-29,67,87.0,,0.87,58.29
2017-12-30,67,87.0,,0.87,58.29
2017-12-31,68,87.0,,0.87,59.16
2018-01-01,76,89.0,False,0.89,67.64
2018-01-02,83,89.0,,0.89,73.87
