date,TWTR_unscaled,TWTR_monthly,isPartial,scale,TWTR
2016-07-16,7,59.0,,0.59,4.13
2016-07-17,1,59.0,,0.59,0.59
2016-07-18,35,59.0,,0.59,20.65
2016-07-19,30,59.0,,0.59,17.7
2016-07-20,34,59.0,,0.59,20.06
2016-07-21,27,59.0,,0.59,15.93
2016-07-22,23,59.0,,0.59,13.569999999999999
2016-07-23,9,59.0,,0.59,5.31
2016-07-24,7,59.0,,0.59,4.13
2016-07-25,32,59.0,,0.59,18.88
2016-07-26,100,59.0,,0.59,59.0
2016-07-27,78,59.0,,0.59,46.019999999999996
2016-07-28,47,59.0,,0.59,27.729999999999997
2016-07-29,25,59.0,,0.59,14.75
2016-07-30,6,59.0,,0.59,3.54
2016-07-31,3,59.0,,0.59,1.77
2016-08-01,61,50.0,False,0.5,30.5
2016-08-02,50,50.0,,0.5,25.0
2016-08-03,97,50.0,,0.5,48.5
2016-08-04,100,50.0,,0.5,50.0
2016-08-05,82,50.0,,0.5,41.0
2016-08-06,14,50.0,,0.5,7.0
2016-08-07,7,50.0,,0.5,3.5
2016-08-08,54,50.0,,0.5,27.0
2016-08-09,43,50.0,,0.5,21.5
2016-08-10,53,50.0,,0.5,26.5
2016-08-11,77,50.0,,0.5,38.5
2016-08-12,63,50.0,,0.5,31.5
2016-08-13,16,50.0,,0.5,8.0
2016-08-14,9,50.0,,0.5,4.5
2016-08-15,94,50.0,,0.5,47.0
2016-08-16,79,50.0,,0.5,39.5
2016-08-17,75,50.0,,0.5,37.5
2016-08-18,76,50.0,,0.5,38.0
2016-08-19,53,50.0,,0.5,26.5
2016-08-20,13,50.0,,0.5,6.5
2016-08-21,7,50.0,,0.5,3.5
2016-08-22,53,50.0,,0.5,26.5
2016-08-23,54,50.0,,0.5,27.0
2016-08-24,41,50.0,,0.5,20.5
2016-08-25,45,50.0,,0.5,22.5
2016-08-26,33,50.0,,0.5,16.5
2016-08-27,7,50.0,,0.5,3.5
2016-08-28,5,50.0,,0.5,2.5
2016-08-29,41,50.0,,0.5,20.5
2016-08-30,36,50.0,,0.5,18.0
2016-08-31,68,50.0,,0.5,34.0
2016-09-01,21,68.0,False,0.68,14.280000000000001
2016-09-02,21,68.0,,0.68,14.280000000000001
2016-09-03,4,68.0,,0.68,2.72
2016-09-04,2,68.0,,0.68,1.36
2016-09-05,3,68.0,,0.68,2.04
2016-09-06,24,68.0,,0.68,16.32
2016-09-07,20,68.0,,0.68,13.600000000000001
2016-09-08,27,68.0,,0.68,18.360000000000003
2016-09-09,19,68.0,,0.68,12.920000000000002
2016-09-10,6,68.0,,0.68,4.08
2016-09-11,4,68.0,,0.68,2.72
2016-09-12,17,68.0,,0.68,11.56
2016-09-13,15,68.0,,0.68,10.200000000000001
2016-09-14,18,68.0,,0.68,12.24
2016-09-15,17,68.0,,0.68,11.56
2016-09-16,25,68.0,,0.68,17.0
2016-09-17,11,68.0,,0.68,7.48
2016-09-18,2,68.0,,0.68,1.36
2016-09-19,19,68.0,,0.68,12.920000000000002
2016-09-20,15,68.0,,0.68,10.200000000000001
2016-09-21,18,68.0,,0.68,12.24
2016-09-22,18,68.0,,0.68,12.24
2016-09-23,100,68.0,,0.68,68.0
2016-09-24,28,68.0,,0.68,19.040000000000003
2016-09-25,15,68.0,,0.68,10.200000000000001
2016-09-26,69,68.0,,0.68,46.92
2016-09-27,54,68.0,,0.68,36.720000000000006
2016-09-28,44,68.0,,0.68,29.92
2016-09-29,38,68.0,,0.68,25.840000000000003
2016-09-30,24,68.0,,0.68,16.32
2016-10-01,12,100.0,False,1.0,12.0
2016-10-02,9,100.0,,1.0,9.0
2016-10-03,32,100.0,,1.0,32.0
2016-10-04,32,100.0,,1.0,32.0
2016-10-05,51,100.0,,1.0,51.0
2016-10-06,100,100.0,,1.0,100.0
2016-10-07,45,100.0,,1.0,45.0
2016-10-08,9,100.0,,1.0,9.0
2016-10-09,6,100.0,,1.0,6.0
2016-10-10,46,100.0,,1.0,46.0
2016-10-11,45,100.0,,1.0,45.0
2016-10-12,34,100.0,,1.0,34.0
2016-10-13,28,100.0,,1.0,28.0
2016-10-14,45,100.0,,1.0,45.0
2016-10-15,12,100.0,,1.0,12.0
2016-10-16,6,100.0,,1.0,6.0
2016-10-17,25,100.0,,1.0,25.0
2016-10-18,21,100.0,,1.0,21.0
2016-10-19,21,100.0,,1.0,21.0
2016-10-20,16,100.0,,1.0,16.0
2016-10-21,28,100.0,,1.0,28.0
2016-10-22,8,100.0,,1.0,8.0
2016-10-23,3,100.0,,1.0,3.0
2016-10-24,28,100.0,,1.0,28.0
2016-10-25,34,100.0,,1.0,34.0
2016-10-26,33,100.0,,1.0,33.0
2016-10-27,57,100.0,,1.0,57.0
2016-10-28,33,100.0,,1.0,33.0
2016-10-29,3,100.0,,1.0,3.0
2016-10-30,4,100.0,,1.0,4.0
2016-10-31,20,100.0,,1.0,20.0
2016-11-01,76,43.0,False,0.43,32.68
2016-11-02,61,43.0,,0.43,26.23
2016-11-03,50,43.0,,0.43,21.5
2016-11-04,58,43.0,,0.43,24.94
2016-11-05,13,43.0,,0.43,5.59
2016-11-06,12,43.0,,0.43,5.16
2016-11-07,70,43.0,,0.43,30.099999999999998
2016-11-08,75,43.0,,0.43,32.25
2016-11-09,100,43.0,,0.43,43.0
2016-11-10,93,43.0,,0.43,39.99
2016-11-11,52,43.0,,0.43,22.36
2016-11-12,17,43.0,,0.43,7.31
2016-11-13,8,43.0,,0.43,3.44
2016-11-14,62,43.0,,0.43,26.66
2016-11-15,73,43.0,,0.43,31.39
2016-11-16,57,43.0,,0.43,24.509999999999998
2016-11-17,56,43.0,,0.43,24.08
2016-11-18,44,43.0,,0.43,18.919999999999998
2016-11-19,17,43.0,,0.43,7.31
2016-11-20,5,43.0,,0.43,2.15
2016-11-21,40,43.0,,0.43,17.2
2016-11-22,52,43.0,,0.43,22.36
2016-11-23,40,43.0,,0.43,17.2
2016-11-24,15,43.0,,0.43,6.45
2016-11-25,18,43.0,,0.43,7.74
2016-11-26,11,43.0,,0.43,4.7299999999999995
2016-11-27,7,43.0,,0.43,3.01
2016-11-28,39,43.0,,0.43,16.77
2016-11-29,47,43.0,,0.43,20.21
2016-11-30,40,43.0,,0.43,17.2
2016-12-01,62,34.0,False,0.34,21.080000000000002
2016-12-02,49,34.0,,0.34,16.66
2016-12-03,13,34.0,,0.34,4.42
2016-12-04,7,34.0,,0.34,2.3800000000000003
2016-12-05,45,34.0,,0.34,15.3
2016-12-06,58,34.0,,0.34,19.720000000000002
2016-12-07,100,34.0,,0.34,34.0
2016-12-08,79,34.0,,0.34,26.860000000000003
2016-12-09,72,34.0,,0.34,24.48
2016-12-10,25,34.0,,0.34,8.5
2016-12-11,14,34.0,,0.34,4.760000000000001
2016-12-12,54,34.0,,0.34,18.360000000000003
2016-12-13,61,34.0,,0.34,20.740000000000002
2016-12-14,73,34.0,,0.34,24.82
2016-12-15,51,34.0,,0.34,17.34
2016-12-16,58,34.0,,0.34,19.720000000000002
2016-12-17,13,34.0,,0.34,4.42
2016-12-18,12,34.0,,0.34,4.08
2016-12-19,45,34.0,,0.34,15.3
2016-12-20,53,34.0,,0.34,18.02
2016-12-21,100,34.0,,0.34,34.0
2016-12-22,94,34.0,,0.34,31.96
2016-12-23,67,34.0,,0.34,22.78
2016-12-24,7,34.0,,0.34,2.3800000000000003
2016-12-25,9,34.0,,0.34,3.06
2016-12-26,10,34.0,,0.34,3.4000000000000004
2016-12-27,64,34.0,,0.34,21.76
2016-12-28,51,34.0,,0.34,17.34
2016-12-29,49,34.0,,0.34,16.66
2016-12-30,44,34.0,,0.34,14.96
2016-12-31,7,34.0,,0.34,2.3800000000000003
2017-01-01,2,28.0,False,0.28,0.56
2017-01-02,20,28.0,,0.28,5.6000000000000005
2017-01-03,88,28.0,,0.28,24.64
2017-01-04,75,28.0,,0.28,21.000000000000004
2017-01-05,71,28.0,,0.28,19.880000000000003
2017-01-06,65,28.0,,0.28,18.200000000000003
2017-01-07,25,28.0,,0.28,7.000000000000001
2017-01-08,21,28.0,,0.28,5.880000000000001
2017-01-09,82,28.0,,0.28,22.96
2017-01-10,83,28.0,,0.28,23.240000000000002
2017-01-11,67,28.0,,0.28,18.76
2017-01-12,74,28.0,,0.28,20.720000000000002
2017-01-13,40,28.0,,0.28,11.200000000000001
2017-01-14,20,28.0,,0.28,5.6000000000000005
2017-01-15,13,28.0,,0.28,3.6400000000000006
2017-01-16,29,28.0,,0.28,8.120000000000001
2017-01-17,73,28.0,,0.28,20.44
2017-01-18,70,28.0,,0.28,19.6
2017-01-19,68,28.0,,0.28,19.040000000000003
2017-01-20,72,28.0,,0.28,20.160000000000004
2017-01-21,21,28.0,,0.28,5.880000000000001
2017-01-22,16,28.0,,0.28,4.48
2017-01-23,77,28.0,,0.28,21.560000000000002
2017-01-24,51,28.0,,0.28,14.280000000000001
2017-01-25,100,28.0,,0.28,28.000000000000004
2017-01-26,72,28.0,,0.28,20.160000000000004
2017-01-27,61,28.0,,0.28,17.080000000000002
2017-01-28,13,28.0,,0.28,3.6400000000000006
2017-01-29,18,28.0,,0.28,5.040000000000001
2017-01-30,70,28.0,,0.28,19.6
2017-01-31,94,28.0,,0.28,26.320000000000004
2017-02-01,25,46.0,False,0.46,11.5
2017-02-02,28,46.0,,0.46,12.88
2017-02-03,24,46.0,,0.46,11.040000000000001
2017-02-04,6,46.0,,0.46,2.7600000000000002
2017-02-05,7,46.0,,0.46,3.22
2017-02-06,19,46.0,,0.46,8.74
2017-02-07,33,46.0,,0.46,15.180000000000001
2017-02-08,43,46.0,,0.46,19.78
2017-02-09,100,46.0,,0.46,46.0
2017-02-10,50,46.0,,0.46,23.0
2017-02-11,13,46.0,,0.46,5.98
2017-02-12,5,46.0,,0.46,2.3000000000000003
2017-02-13,25,46.0,,0.46,11.5
2017-02-14,32,46.0,,0.46,14.72
2017-02-15,43,46.0,,0.46,19.78
2017-02-16,32,46.0,,0.46,14.72
2017-02-17,26,46.0,,0.46,11.96
2017-02-18,6,46.0,,0.46,2.7600000000000002
2017-02-19,3,46.0,,0.46,1.3800000000000001
2017-02-20,6,46.0,,0.46,2.7600000000000002
2017-02-21,19,46.0,,0.46,8.74
2017-02-22,19,46.0,,0.46,8.74
2017-02-23,19,46.0,,0.46,8.74
2017-02-24,18,46.0,,0.46,8.280000000000001
2017-02-25,6,46.0,,0.46,2.7600000000000002
2017-02-26,2,46.0,,0.46,0.92
2017-02-27,19,46.0,,0.46,8.74
2017-02-28,19,46.0,,0.46,8.74
2017-03-01,73,32.0,False,0.32,23.36
2017-03-02,100,32.0,,0.32,32.0
2017-03-03,86,32.0,,0.32,27.52
2017-03-04,25,32.0,,0.32,8.0
2017-03-05,14,32.0,,0.32,4.48
2017-03-06,80,32.0,,0.32,25.6
2017-03-07,79,32.0,,0.32,25.28
2017-03-08,67,32.0,,0.32,21.44
2017-03-09,55,32.0,,0.32,17.6
2017-03-10,80,32.0,,0.32,25.6
2017-03-11,8,32.0,,0.32,2.56
2017-03-12,12,32.0,,0.32,3.84
2017-03-13,52,32.0,,0.32,16.64
2017-03-14,53,32.0,,0.32,16.96
2017-03-15,57,32.0,,0.32,18.240000000000002
2017-03-16,66,32.0,,0.32,21.12
2017-03-17,54,32.0,,0.32,17.28
2017-03-18,8,32.0,,0.32,2.56
2017-03-19,10,32.0,,0.32,3.2
2017-03-20,56,32.0,,0.32,17.92
2017-03-21,72,32.0,,0.32,23.04
2017-03-22,70,32.0,,0.32,22.400000000000002
2017-03-23,57,32.0,,0.32,18.240000000000002
2017-03-24,72,32.0,,0.32,23.04
2017-03-25,18,32.0,,0.32,5.76
2017-03-26,11,32.0,,0.32,3.52
2017-03-27,64,32.0,,0.32,20.48
2017-03-28,67,32.0,,0.32,21.44
2017-03-29,50,32.0,,0.32,16.0
2017-03-30,52,32.0,,0.32,16.64
2017-03-31,35,32.0,,0.32,11.200000000000001
2017-04-01,6,32.0,False,0.32,1.92
2017-04-02,8,32.0,,0.32,2.56
2017-04-03,19,32.0,,0.32,6.08
2017-04-04,22,32.0,,0.32,7.04
2017-04-05,31,32.0,,0.32,9.92
2017-04-06,28,32.0,,0.32,8.96
2017-04-07,29,32.0,,0.32,9.28
2017-04-08,9,32.0,,0.32,2.88
2017-04-09,4,32.0,,0.32,1.28
2017-04-10,21,32.0,,0.32,6.72
2017-04-11,22,32.0,,0.32,7.04
2017-04-12,29,32.0,,0.32,9.28
2017-04-13,25,32.0,,0.32,8.0
2017-04-14,12,32.0,,0.32,3.84
2017-04-15,3,32.0,,0.32,0.96
2017-04-16,5,32.0,,0.32,1.6
2017-04-17,21,32.0,,0.32,6.72
2017-04-18,20,32.0,,0.32,6.4
2017-04-19,21,32.0,,0.32,6.72
2017-04-20,31,32.0,,0.32,9.92
2017-04-21,27,32.0,,0.32,8.64
2017-04-22,3,32.0,,0.32,0.96
2017-04-23,3,32.0,,0.32,0.96
2017-04-24,30,32.0,,0.32,9.6
2017-04-25,36,32.0,,0.32,11.52
2017-04-26,100,32.0,,0.32,32.0
2017-04-27,58,32.0,,0.32,18.56
2017-04-28,43,32.0,,0.32,13.76
2017-04-29,8,32.0,,0.32,2.56
2017-04-30,6,32.0,,0.32,1.92
2017-05-01,75,45.0,False,0.45,33.75
2017-05-02,100,45.0,,0.45,45.0
2017-05-03,75,45.0,,0.45,33.75
2017-05-04,43,45.0,,0.45,19.35
2017-05-05,56,45.0,,0.45,25.2
2017-05-06,17,45.0,,0.45,7.65
2017-05-07,15,45.0,,0.45,6.75
2017-05-08,52,45.0,,0.45,23.400000000000002
2017-05-09,54,45.0,,0.45,24.3
2017-05-10,45,45.0,,0.45,20.25
2017-05-11,45,45.0,,0.45,20.25
2017-05-12,54,45.0,,0.45,24.3
2017-05-13,10,45.0,,0.45,4.5
2017-05-14,9,45.0,,0.45,4.05
2017-05-15,45,45.0,,0.45,20.25
2017-05-16,68,45.0,,0.45,30.6
2017-05-17,61,45.0,,0.45,27.45
2017-05-18,52,45.0,,0.45,23.400000000000002
2017-05-19,57,45.0,,0.45,25.650000000000002
2017-05-20,8,45.0,,0.45,3.6
2017-05-21,12,45.0,,0.45,5.4
2017-05-22,41,45.0,,0.45,18.45
2017-05-23,43,45.0,,0.45,19.35
2017-05-24,35,45.0,,0.45,15.75
2017-05-25,40,45.0,,0.45,18.0
2017-05-26,44,45.0,,0.45,19.8
2017-05-27,10,45.0,,0.45,4.5
2017-05-28,5,45.0,,0.45,2.25
2017-05-29,5,45.0,,0.45,2.25
2017-05-30,35,45.0,,0.45,15.75
2017-05-31,39,45.0,,0.45,17.55
2017-06-01,80,32.0,False,0.32,25.6
2017-06-02,70,32.0,,0.32,22.400000000000002
2017-06-03,15,32.0,,0.32,4.8
2017-06-04,7,32.0,,0.32,2.24
2017-06-05,50,32.0,,0.32,16.0
2017-06-06,80,32.0,,0.32,25.6
2017-06-07,65,32.0,,0.32,20.8
2017-06-08,81,32.0,,0.32,25.92
2017-06-09,69,32.0,,0.32,22.080000000000002
2017-06-10,15,32.0,,0.32,4.8
2017-06-11,7,32.0,,0.32,2.24
2017-06-12,64,32.0,,0.32,20.48
2017-06-13,61,32.0,,0.32,19.52
2017-06-14,58,32.0,,0.32,18.56
2017-06-15,92,32.0,,0.32,29.44
2017-06-16,66,32.0,,0.32,21.12
2017-06-17,9,32.0,,0.32,2.88
2017-06-18,10,32.0,,0.32,3.2
2017-06-19,52,32.0,,0.32,16.64
2017-06-20,58,32.0,,0.32,18.56
2017-06-21,96,32.0,,0.32,30.72
2017-06-22,97,32.0,,0.32,31.04
2017-06-23,100,32.0,,0.32,32.0
2017-06-24,18,32.0,,0.32,5.76
2017-06-25,10,32.0,,0.32,3.2
2017-06-26,81,32.0,,0.32,25.92
2017-06-27,79,32.0,,0.32,25.28
2017-06-28,58,32.0,,0.32,18.56
2017-06-29,65,32.0,,0.32,20.8
2017-06-30,64,32.0,,0.32,20.48
2017-07-01,4,39.0,False,0.39,1.56
2017-07-02,2,39.0,,0.39,0.78
2017-07-03,16,39.0,,0.39,6.24
2017-07-04,7,39.0,,0.39,2.73
2017-07-05,14,39.0,,0.39,5.46
2017-07-06,26,39.0,,0.39,10.14
2017-07-07,25,39.0,,0.39,9.75
2017-07-08,5,39.0,,0.39,1.9500000000000002
2017-07-09,4,39.0,,0.39,1.56
2017-07-10,19,39.0,,0.39,7.41
2017-07-11,28,39.0,,0.39,10.92
2017-07-12,33,39.0,,0.39,12.870000000000001
2017-07-13,43,39.0,,0.39,16.77
2017-07-14,26,39.0,,0.39,10.14
2017-07-15,7,39.0,,0.39,2.73
2017-07-16,7,39.0,,0.39,2.73
2017-07-17,33,39.0,,0.39,12.870000000000001
2017-07-18,35,39.0,,0.39,13.65
2017-07-19,37,39.0,,0.39,14.43
2017-07-20,38,39.0,,0.39,14.82
2017-07-21,24,39.0,,0.39,9.36
2017-07-22,7,39.0,,0.39,2.73
2017-07-23,7,39.0,,0.39,2.73
2017-07-24,30,39.0,,0.39,11.700000000000001
2017-07-25,36,39.0,,0.39,14.040000000000001
2017-07-26,48,39.0,,0.39,18.72
2017-07-27,100,39.0,,0.39,39.0
2017-07-28,48,39.0,,0.39,18.72
2017-07-29,13,39.0,,0.39,5.07
2017-07-30,6,39.0,,0.39,2.34
2017-07-31,34,39.0,,0.39,13.26
2017-08-01,100,27.0,False,0.27,27.0
2017-08-02,77,27.0,,0.27,20.790000000000003
2017-08-03,85,27.0,,0.27,22.950000000000003
2017-08-04,91,27.0,,0.27,24.57
2017-08-05,22,27.0,,0.27,5.94
2017-08-06,13,27.0,,0.27,3.5100000000000002
2017-08-07,60,27.0,,0.27,16.200000000000003
2017-08-08,80,27.0,,0.27,21.6
2017-08-09,70,27.0,,0.27,18.900000000000002
2017-08-10,78,27.0,,0.27,21.060000000000002
2017-08-11,64,27.0,,0.27,17.28
2017-08-12,23,27.0,,0.27,6.210000000000001
2017-08-13,9,27.0,,0.27,2.43
2017-08-14,55,27.0,,0.27,14.850000000000001
2017-08-15,64,27.0,,0.27,17.28
2017-08-16,59,27.0,,0.27,15.930000000000001
2017-08-17,45,27.0,,0.27,12.15
2017-08-18,56,27.0,,0.27,15.120000000000001
2017-08-19,14,27.0,,0.27,3.7800000000000002
2017-08-20,9,27.0,,0.27,2.43
2017-08-21,58,27.0,,0.27,15.66
2017-08-22,74,27.0,,0.27,19.98
2017-08-23,62,27.0,,0.27,16.740000000000002
2017-08-24,76,27.0,,0.27,20.520000000000003
2017-08-25,50,27.0,,0.27,13.5
2017-08-26,7,27.0,,0.27,1.8900000000000001
2017-08-27,5,27.0,,0.27,1.35
2017-08-28,44,27.0,,0.27,11.88
2017-08-29,62,27.0,,0.27,16.740000000000002
2017-08-30,50,27.0,,0.27,13.5
2017-08-31,59,27.0,,0.27,15.930000000000001
2017-09-01,83,18.0,False,0.18,14.94
2017-09-02,28,18.0,,0.18,5.04
2017-09-03,8,18.0,,0.18,1.44
2017-09-04,18,18.0,,0.18,3.2399999999999998
2017-09-05,86,18.0,,0.18,15.479999999999999
2017-09-06,71,18.0,,0.18,12.78
2017-09-07,80,18.0,,0.18,14.399999999999999
2017-09-08,62,18.0,,0.18,11.16
2017-09-09,13,18.0,,0.18,2.34
2017-09-10,19,18.0,,0.18,3.42
2017-09-11,91,18.0,,0.18,16.38
2017-09-12,88,18.0,,0.18,15.84
2017-09-13,87,18.0,,0.18,15.66
2017-09-14,61,18.0,,0.18,10.98
2017-09-15,85,18.0,,0.18,15.299999999999999
2017-09-16,53,18.0,,0.18,9.54
2017-09-17,8,18.0,,0.18,1.44
2017-09-18,62,18.0,,0.18,11.16
2017-09-19,82,18.0,,0.18,14.76
2017-09-20,75,18.0,,0.18,13.5
2017-09-21,62,18.0,,0.18,11.16
2017-09-22,69,18.0,,0.18,12.42
2017-09-23,20,18.0,,0.18,3.5999999999999996
2017-09-24,6,18.0,,0.18,1.08
2017-09-25,77,18.0,,0.18,13.86
2017-09-26,99,18.0,,0.18,17.82
2017-09-27,100,18.0,,0.18,18.0
2017-09-28,91,18.0,,0.18,16.38
2017-09-29,97,18.0,,0.18,17.46
2017-09-30,14,18.0,,0.18,2.52
2017-10-01,3,28.0,False,0.28,0.8400000000000001
2017-10-02,12,28.0,,0.28,3.3600000000000003
2017-10-03,12,28.0,,0.28,3.3600000000000003
2017-10-04,18,28.0,,0.28,5.040000000000001
2017-10-05,12,28.0,,0.28,3.3600000000000003
2017-10-06,13,28.0,,0.28,3.6400000000000006
2017-10-07,6,28.0,,0.28,1.6800000000000002
2017-10-08,4,28.0,,0.28,1.12
2017-10-09,11,28.0,,0.28,3.08
2017-10-10,14,28.0,,0.28,3.9200000000000004
2017-10-11,11,28.0,,0.28,3.08
2017-10-12,16,28.0,,0.28,4.48
2017-10-13,18,28.0,,0.28,5.040000000000001
2017-10-14,6,28.0,,0.28,1.6800000000000002
2017-10-15,3,28.0,,0.28,0.8400000000000001
2017-10-16,14,28.0,,0.28,3.9200000000000004
2017-10-17,15,28.0,,0.28,4.2
2017-10-18,13,28.0,,0.28,3.6400000000000006
2017-10-19,10,28.0,,0.28,2.8000000000000003
2017-10-20,12,28.0,,0.28,3.3600000000000003
2017-10-21,3,28.0,,0.28,0.8400000000000001
2017-10-22,4,28.0,,0.28,1.12
2017-10-23,13,28.0,,0.28,3.6400000000000006
2017-10-24,15,28.0,,0.28,4.2
2017-10-25,15,28.0,,0.28,4.2
2017-10-26,100,28.0,,0.28,28.000000000000004
2017-10-27,51,28.0,,0.28,14.280000000000001
2017-10-28,9,28.0,,0.28,2.5200000000000005
2017-10-29,5,28.0,,0.28,1.4000000000000001
2017-10-30,38,28.0,,0.28,10.64
2017-10-31,24,28.0,,0.28,6.720000000000001
2017-11-01,92,25.0,False,0.25,23.0
2017-11-02,80,25.0,,0.25,20.0
2017-11-03,100,25.0,,0.25,25.0
2017-11-04,19,25.0,,0.25,4.75
2017-11-05,7,25.0,,0.25,1.75
2017-11-06,69,25.0,,0.25,17.25
2017-11-07,96,25.0,,0.25,24.0
2017-11-08,77,25.0,,0.25,19.25
2017-11-09,75,25.0,,0.25,18.75
2017-11-10,85,25.0,,0.25,21.25
2017-11-11,22,25.0,,0.25,5.5
2017-11-12,20,25.0,,0.25,5.0
2017-11-13,41,25.0,,0.25,10.25
2017-11-14,54,25.0,,0.25,13.5
2017-11-15,58,25.0,,0.25,14.5
2017-11-16,46,25.0,,0.25,11.5
2017-11-17,55,25.0,,0.25,13.75
2017-11-18,22,25.0,,0.25,5.5
2017-11-19,9,25.0,,0.25,2.25
2017-11-20,66,25.0,,0.25,16.5
2017-11-21,63,25.0,,0.25,15.75
2017-11-22,82,25.0,,0.25,20.5
2017-11-23,26,25.0,,0.25,6.5
2017-11-24,28,25.0,,0.25,7.0
2017-11-25,18,25.0,,0.25,4.5
2017-11-26,9,25.0,,0.25,2.25
2017-11-27,60,25.0,,0.25,15.0
2017-11-28,68,25.0,,0.25,17.0
2017-11-29,83,25.0,,0.25,20.75
2017-11-30,70,25.0,,0.25,17.5
2017-12-01,40,27.0,False,0.27,10.8
2017-12-02,17,27.0,,0.27,4.59
2017-12-03,6,27.0,,0.27,1.62
2017-12-04,49,27.0,,0.27,13.23
2017-12-05,32,27.0,,0.27,8.64
2017-12-06,41,27.0,,0.27,11.07
2017-12-07,37,27.0,,0.27,9.99
2017-12-08,34,27.0,,0.27,9.18
2017-12-09,8,27.0,,0.27,2.16
2017-12-10,6,27.0,,0.27,1.62
2017-12-11,42,27.0,,0.27,11.34
2017-12-12,40,27.0,,0.27,10.8
2017-12-13,33,27.0,,0.27,8.91
2017-12-14,64,27.0,,0.27,17.28
2017-12-15,47,27.0,,0.27,12.690000000000001
2017-12-16,13,27.0,,0.27,3.5100000000000002
2017-12-17,10,27.0,,0.27,2.7
2017-12-18,97,27.0,,0.27,26.19
2017-12-19,100,27.0,,0.27,27.0
2017-12-20,77,27.0,,0.27,20.790000000000003
2017-12-21,61,27.0,,0.27,16.470000000000002
2017-12-22,51,27.0,,0.27,13.770000000000001
2017-12-23,15,27.0,,0.27,4.050000000000001
2017-12-24,5,27.0,,0.27,1.35
2017-12-25,7,27.0,,0.27,1.8900000000000001
