date,UNT_unscaled,UNT_monthly,isPartial,scale,UNT
2016-10-06,86,68.0,,0.68,58.480000000000004
2016-10-07,57,68.0,,0.68,38.760000000000005
2016-10-08,54,68.0,,0.68,36.720000000000006
2016-10-09,79,68.0,,0.68,53.720000000000006
2016-10-10,78,68.0,,0.68,53.040000000000006
2016-10-11,100,68.0,,0.68,68.0
2016-10-12,79,68.0,,0.68,53.720000000000006
2016-10-13,83,68.0,,0.68,56.440000000000005
2016-10-14,66,68.0,,0.68,44.88
2016-10-15,55,68.0,,0.68,37.400000000000006
2016-10-16,45,68.0,,0.68,30.6
2016-10-17,77,68.0,,0.68,52.36000000000001
2016-10-18,82,68.0,,0.68,55.760000000000005
2016-10-19,74,68.0,,0.68,50.32
2016-10-20,62,68.0,,0.68,42.160000000000004
2016-10-21,58,68.0,,0.68,39.440000000000005
2016-10-22,66,68.0,,0.68,44.88
2016-10-23,63,68.0,,0.68,42.84
2016-10-24,92,68.0,,0.68,62.56
2016-10-25,83,68.0,,0.68,56.440000000000005
2016-10-26,74,68.0,,0.68,50.32
2016-10-27,81,68.0,,0.68,55.080000000000005
2016-10-28,60,68.0,,0.68,40.800000000000004
2016-10-29,51,68.0,,0.68,34.68
2016-10-30,61,68.0,,0.68,41.480000000000004
2016-10-31,90,68.0,,0.68,61.2
2016-11-01,99,60.0,False,0.6,59.4
2016-11-02,89,60.0,,0.6,53.4
2016-11-03,88,60.0,,0.6,52.8
2016-11-04,76,60.0,,0.6,45.6
2016-11-05,87,60.0,,0.6,52.199999999999996
2016-11-06,78,60.0,,0.6,46.8
2016-11-07,81,60.0,,0.6,48.6
2016-11-08,87,60.0,,0.6,52.199999999999996
2016-11-09,65,60.0,,0.6,39.0
2016-11-10,81,60.0,,0.6,48.6
2016-11-11,90,60.0,,0.6,54.0
2016-11-12,61,60.0,,0.6,36.6
2016-11-13,53,60.0,,0.6,31.799999999999997
2016-11-14,88,60.0,,0.6,52.8
2016-11-15,100,60.0,,0.6,60.0
2016-11-16,82,60.0,,0.6,49.199999999999996
2016-11-17,82,60.0,,0.6,49.199999999999996
2016-11-18,82,60.0,,0.6,49.199999999999996
2016-11-19,68,60.0,,0.6,40.8
2016-11-20,70,60.0,,0.6,42.0
2016-11-21,78,60.0,,0.6,46.8
2016-11-22,77,60.0,,0.6,46.199999999999996
2016-11-23,72,60.0,,0.6,43.199999999999996
2016-11-24,33,60.0,,0.6,19.8
2016-11-25,31,60.0,,0.6,18.599999999999998
2016-11-26,48,60.0,,0.6,28.799999999999997
2016-11-27,64,60.0,,0.6,38.4
2016-11-28,86,60.0,,0.6,51.6
2016-11-29,93,60.0,,0.6,55.8
2016-11-30,92,60.0,,0.6,55.199999999999996
2016-12-01,87,50.0,False,0.5,43.5
2016-12-02,73,50.0,,0.5,36.5
2016-12-03,54,50.0,,0.5,27.0
2016-12-04,58,50.0,,0.5,29.0
2016-12-05,74,50.0,,0.5,37.0
2016-12-06,87,50.0,,0.5,43.5
2016-12-07,100,50.0,,0.5,50.0
2016-12-08,85,50.0,,0.5,42.5
2016-12-09,77,50.0,,0.5,38.5
2016-12-10,76,50.0,,0.5,38.0
2016-12-11,61,50.0,,0.5,30.5
2016-12-12,77,50.0,,0.5,38.5
2016-12-13,92,50.0,,0.5,46.0
2016-12-14,88,50.0,,0.5,44.0
2016-12-15,79,50.0,,0.5,39.5
2016-12-16,68,50.0,,0.5,34.0
2016-12-17,70,50.0,,0.5,35.0
2016-12-18,39,50.0,,0.5,19.5
2016-12-19,56,50.0,,0.5,28.0
2016-12-20,71,50.0,,0.5,35.5
2016-12-21,50,50.0,,0.5,25.0
2016-12-22,45,50.0,,0.5,22.5
2016-12-23,41,50.0,,0.5,20.5
2016-12-24,33,50.0,,0.5,16.5
2016-12-25,26,50.0,,0.5,13.0
2016-12-26,36,50.0,,0.5,18.0
2016-12-27,75,50.0,,0.5,37.5
2016-12-28,46,50.0,,0.5,23.0
2016-12-29,33,50.0,,0.5,16.5
2016-12-30,34,50.0,,0.5,17.0
2016-12-31,24,50.0,,0.5,12.0
2017-01-01,14,58.0,False,0.58,8.12
2017-01-02,30,58.0,,0.58,17.4
2017-01-03,41,58.0,,0.58,23.779999999999998
2017-01-04,39,58.0,,0.58,22.619999999999997
2017-01-05,46,58.0,,0.58,26.68
2017-01-06,39,58.0,,0.58,22.619999999999997
2017-01-07,31,58.0,,0.58,17.98
2017-01-08,27,58.0,,0.58,15.659999999999998
2017-01-09,50,58.0,,0.58,28.999999999999996
2017-01-10,45,58.0,,0.58,26.099999999999998
2017-01-11,50,58.0,,0.58,28.999999999999996
2017-01-12,47,58.0,,0.58,27.259999999999998
2017-01-13,46,58.0,,0.58,26.68
2017-01-14,30,58.0,,0.58,17.4
2017-01-15,30,58.0,,0.58,17.4
2017-01-16,45,58.0,,0.58,26.099999999999998
2017-01-17,100,58.0,,0.58,57.99999999999999
2017-01-18,85,58.0,,0.58,49.3
2017-01-19,68,58.0,,0.58,39.44
2017-01-20,52,58.0,,0.58,30.159999999999997
2017-01-21,39,58.0,,0.58,22.619999999999997
2017-01-22,34,58.0,,0.58,19.72
2017-01-23,59,58.0,,0.58,34.22
2017-01-24,64,58.0,,0.58,37.12
2017-01-25,54,58.0,,0.58,31.319999999999997
2017-01-26,46,58.0,,0.58,26.68
2017-01-27,48,58.0,,0.58,27.839999999999996
2017-01-28,38,58.0,,0.58,22.04
2017-01-29,33,58.0,,0.58,19.139999999999997
2017-01-30,56,58.0,,0.58,32.48
2017-01-31,61,58.0,,0.58,35.379999999999995
2017-02-01,93,56.0,False,0.56,52.080000000000005
2017-02-02,95,56.0,,0.56,53.2
2017-02-03,83,56.0,,0.56,46.480000000000004
2017-02-04,49,56.0,,0.56,27.44
2017-02-05,52,56.0,,0.56,29.120000000000005
2017-02-06,81,56.0,,0.56,45.36000000000001
2017-02-07,84,56.0,,0.56,47.040000000000006
2017-02-08,91,56.0,,0.56,50.96000000000001
2017-02-09,86,56.0,,0.56,48.160000000000004
2017-02-10,74,56.0,,0.56,41.440000000000005
2017-02-11,51,56.0,,0.56,28.560000000000002
2017-02-12,43,56.0,,0.56,24.080000000000002
2017-02-13,75,56.0,,0.56,42.00000000000001
2017-02-14,77,56.0,,0.56,43.120000000000005
2017-02-15,94,56.0,,0.56,52.64000000000001
2017-02-16,80,56.0,,0.56,44.800000000000004
2017-02-17,79,56.0,,0.56,44.24
2017-02-18,50,56.0,,0.56,28.000000000000004
2017-02-19,73,56.0,,0.56,40.88
2017-02-20,83,56.0,,0.56,46.480000000000004
2017-02-21,100,56.0,,0.56,56.00000000000001
2017-02-22,87,56.0,,0.56,48.720000000000006
2017-02-23,87,56.0,,0.56,48.720000000000006
2017-02-24,84,56.0,,0.56,47.040000000000006
2017-02-25,45,56.0,,0.56,25.200000000000003
2017-02-26,44,56.0,,0.56,24.64
2017-02-27,85,56.0,,0.56,47.6
2017-02-28,99,56.0,,0.56,55.440000000000005
2017-03-01,90,52.0,False,0.52,46.800000000000004
2017-03-02,93,52.0,,0.52,48.36
2017-03-03,88,52.0,,0.52,45.760000000000005
2017-03-04,49,52.0,,0.52,25.48
2017-03-05,51,52.0,,0.52,26.52
2017-03-06,88,52.0,,0.52,45.760000000000005
2017-03-07,100,52.0,,0.52,52.0
2017-03-08,87,52.0,,0.52,45.24
2017-03-09,85,52.0,,0.52,44.2
2017-03-10,72,52.0,,0.52,37.44
2017-03-11,53,52.0,,0.52,27.560000000000002
2017-03-12,40,52.0,,0.52,20.8
2017-03-13,52,52.0,,0.52,27.04
2017-03-14,46,52.0,,0.52,23.92
2017-03-15,48,52.0,,0.52,24.96
2017-03-16,50,52.0,,0.52,26.0
2017-03-17,43,52.0,,0.52,22.36
2017-03-18,40,52.0,,0.52,20.8
2017-03-19,46,52.0,,0.52,23.92
2017-03-20,98,52.0,,0.52,50.96
2017-03-21,95,52.0,,0.52,49.4
2017-03-22,88,52.0,,0.52,45.760000000000005
2017-03-23,88,52.0,,0.52,45.760000000000005
2017-03-24,71,52.0,,0.52,36.92
2017-03-25,61,52.0,,0.52,31.720000000000002
2017-03-26,55,52.0,,0.52,28.6
2017-03-27,86,52.0,,0.52,44.72
2017-03-28,81,52.0,,0.52,42.120000000000005
2017-03-29,99,52.0,,0.52,51.480000000000004
2017-03-30,98,52.0,,0.52,50.96
2017-03-31,87,52.0,,0.52,45.24
2017-04-01,45,54.0,False,0.54,24.3
2017-04-02,44,54.0,,0.54,23.76
2017-04-03,87,54.0,,0.54,46.980000000000004
2017-04-04,87,54.0,,0.54,46.980000000000004
2017-04-05,73,54.0,,0.54,39.42
2017-04-06,92,54.0,,0.54,49.68000000000001
2017-04-07,72,54.0,,0.54,38.88
2017-04-08,53,54.0,,0.54,28.62
2017-04-09,47,54.0,,0.54,25.380000000000003
2017-04-10,91,54.0,,0.54,49.14
2017-04-11,100,54.0,,0.54,54.0
2017-04-12,86,54.0,,0.54,46.440000000000005
2017-04-13,95,54.0,,0.54,51.300000000000004
2017-04-14,71,54.0,,0.54,38.34
2017-04-15,48,54.0,,0.54,25.92
2017-04-16,49,54.0,,0.54,26.46
2017-04-17,87,54.0,,0.54,46.980000000000004
2017-04-18,86,54.0,,0.54,46.440000000000005
2017-04-19,81,54.0,,0.54,43.74
2017-04-20,81,54.0,,0.54,43.74
2017-04-21,76,54.0,,0.54,41.040000000000006
2017-04-22,47,54.0,,0.54,25.380000000000003
2017-04-23,49,54.0,,0.54,26.46
2017-04-24,94,54.0,,0.54,50.760000000000005
2017-04-25,90,54.0,,0.54,48.6
2017-04-26,79,54.0,,0.54,42.660000000000004
2017-04-27,89,54.0,,0.54,48.06
2017-04-28,68,54.0,,0.54,36.72
2017-04-29,54,54.0,,0.54,29.160000000000004
2017-04-30,60,54.0,,0.54,32.400000000000006
2017-05-01,99,51.0,False,0.51,50.49
2017-05-02,93,51.0,,0.51,47.43
2017-05-03,100,51.0,,0.51,51.0
2017-05-04,92,51.0,,0.51,46.92
2017-05-05,86,51.0,,0.51,43.86
2017-05-06,66,51.0,,0.51,33.660000000000004
2017-05-07,63,51.0,,0.51,32.13
2017-05-08,99,51.0,,0.51,50.49
2017-05-09,88,51.0,,0.51,44.88
2017-05-10,89,51.0,,0.51,45.39
2017-05-11,95,51.0,,0.51,48.45
2017-05-12,96,51.0,,0.51,48.96
2017-05-13,82,51.0,,0.51,41.82
2017-05-14,53,51.0,,0.51,27.03
2017-05-15,91,51.0,,0.51,46.410000000000004
2017-05-16,85,51.0,,0.51,43.35
2017-05-17,68,51.0,,0.51,34.68
2017-05-18,64,51.0,,0.51,32.64
2017-05-19,52,51.0,,0.51,26.52
2017-05-20,34,51.0,,0.51,17.34
2017-05-21,39,51.0,,0.51,19.89
2017-05-22,61,51.0,,0.51,31.11
2017-05-23,63,51.0,,0.51,32.13
2017-05-24,57,51.0,,0.51,29.07
2017-05-25,48,51.0,,0.51,24.48
2017-05-26,45,51.0,,0.51,22.95
2017-05-27,49,51.0,,0.51,24.990000000000002
2017-05-28,27,51.0,,0.51,13.77
2017-05-29,29,51.0,,0.51,14.790000000000001
2017-05-30,66,51.0,,0.51,33.660000000000004
2017-05-31,65,51.0,,0.51,33.15
2017-06-01,93,37.0,False,0.37,34.41
2017-06-02,87,37.0,,0.37,32.19
2017-06-03,58,37.0,,0.37,21.46
2017-06-04,59,37.0,,0.37,21.83
2017-06-05,98,37.0,,0.37,36.26
2017-06-06,100,37.0,,0.37,37.0
2017-06-07,91,37.0,,0.37,33.67
2017-06-08,89,37.0,,0.37,32.93
2017-06-09,73,37.0,,0.37,27.009999999999998
2017-06-10,60,37.0,,0.37,22.2
2017-06-11,51,37.0,,0.37,18.87
2017-06-12,80,37.0,,0.37,29.6
2017-06-13,77,37.0,,0.37,28.49
2017-06-14,82,37.0,,0.37,30.34
2017-06-15,83,37.0,,0.37,30.71
2017-06-16,66,37.0,,0.37,24.419999999999998
2017-06-17,58,37.0,,0.37,21.46
2017-06-18,43,37.0,,0.37,15.91
2017-06-19,76,37.0,,0.37,28.12
2017-06-20,76,37.0,,0.37,28.12
2017-06-21,79,37.0,,0.37,29.23
2017-06-22,68,37.0,,0.37,25.16
2017-06-23,72,37.0,,0.37,26.64
2017-06-24,54,37.0,,0.37,19.98
2017-06-25,58,37.0,,0.37,21.46
2017-06-26,65,37.0,,0.37,24.05
2017-06-27,76,37.0,,0.37,28.12
2017-06-28,83,37.0,,0.37,30.71
2017-06-29,61,37.0,,0.37,22.57
2017-06-30,70,37.0,,0.37,25.9
2017-07-01,39,36.0,False,0.36,14.04
2017-07-02,59,36.0,,0.36,21.24
2017-07-03,59,36.0,,0.36,21.24
2017-07-04,53,36.0,,0.36,19.08
2017-07-05,76,36.0,,0.36,27.36
2017-07-06,83,36.0,,0.36,29.88
2017-07-07,89,36.0,,0.36,32.04
2017-07-08,68,36.0,,0.36,24.48
2017-07-09,58,36.0,,0.36,20.88
2017-07-10,100,36.0,,0.36,36.0
2017-07-11,86,36.0,,0.36,30.959999999999997
2017-07-12,85,36.0,,0.36,30.599999999999998
2017-07-13,79,36.0,,0.36,28.439999999999998
2017-07-14,60,36.0,,0.36,21.599999999999998
2017-07-15,36,36.0,,0.36,12.959999999999999
2017-07-16,57,36.0,,0.36,20.52
2017-07-17,90,36.0,,0.36,32.4
2017-07-18,92,36.0,,0.36,33.12
2017-07-19,75,36.0,,0.36,27.0
2017-07-20,59,36.0,,0.36,21.24
2017-07-21,87,36.0,,0.36,31.32
2017-07-22,55,36.0,,0.36,19.8
2017-07-23,53,36.0,,0.36,19.08
2017-07-24,90,36.0,,0.36,32.4
2017-07-25,84,36.0,,0.36,30.24
2017-07-26,77,36.0,,0.36,27.72
2017-07-27,88,36.0,,0.36,31.68
2017-07-28,75,36.0,,0.36,27.0
2017-07-29,50,36.0,,0.36,18.0
2017-07-30,60,36.0,,0.36,21.599999999999998
2017-07-31,74,36.0,,0.36,26.64
2017-08-01,39,62.0,False,0.62,24.18
2017-08-02,38,62.0,,0.62,23.56
2017-08-03,27,62.0,,0.62,16.74
2017-08-04,30,62.0,,0.62,18.6
2017-08-05,22,62.0,,0.62,13.64
2017-08-06,20,62.0,,0.62,12.4
2017-08-07,37,62.0,,0.62,22.94
2017-08-08,37,62.0,,0.62,22.94
2017-08-09,32,62.0,,0.62,19.84
2017-08-10,34,62.0,,0.62,21.08
2017-08-11,38,62.0,,0.62,23.56
2017-08-12,25,62.0,,0.62,15.5
2017-08-13,24,62.0,,0.62,14.879999999999999
2017-08-14,37,62.0,,0.62,22.94
2017-08-15,38,62.0,,0.62,23.56
2017-08-16,39,62.0,,0.62,24.18
2017-08-17,41,62.0,,0.62,25.419999999999998
2017-08-18,42,62.0,,0.62,26.04
2017-08-19,41,62.0,,0.62,25.419999999999998
2017-08-20,41,62.0,,0.62,25.419999999999998
2017-08-21,65,62.0,,0.62,40.3
2017-08-22,55,62.0,,0.62,34.1
2017-08-23,55,62.0,,0.62,34.1
2017-08-24,55,62.0,,0.62,34.1
2017-08-25,46,62.0,,0.62,28.52
2017-08-26,35,62.0,,0.62,21.7
2017-08-27,38,62.0,,0.62,23.56
2017-08-28,100,62.0,,0.62,62.0
2017-08-29,84,62.0,,0.62,52.08
2017-08-30,74,62.0,,0.62,45.88
2017-08-31,61,62.0,,0.62,37.82
2017-09-01,96,72.0,False,0.72,69.12
2017-09-02,85,72.0,,0.72,61.199999999999996
2017-09-03,83,72.0,,0.72,59.76
2017-09-04,61,72.0,,0.72,43.92
2017-09-05,100,72.0,,0.72,72.0
2017-09-06,80,72.0,,0.72,57.599999999999994
2017-09-07,90,72.0,,0.72,64.8
2017-09-08,79,72.0,,0.72,56.879999999999995
2017-09-09,79,72.0,,0.72,56.879999999999995
2017-09-10,95,72.0,,0.72,68.39999999999999
2017-09-11,92,72.0,,0.72,66.24
2017-09-12,82,72.0,,0.72,59.04
2017-09-13,73,72.0,,0.72,52.559999999999995
2017-09-14,83,72.0,,0.72,59.76
2017-09-15,71,72.0,,0.72,51.12
2017-09-16,74,72.0,,0.72,53.28
2017-09-17,63,72.0,,0.72,45.36
2017-09-18,79,72.0,,0.72,56.879999999999995
2017-09-19,87,72.0,,0.72,62.64
2017-09-20,88,72.0,,0.72,63.36
2017-09-21,83,72.0,,0.72,59.76
2017-09-22,74,72.0,,0.72,53.28
2017-09-23,77,72.0,,0.72,55.44
2017-09-24,87,72.0,,0.72,62.64
2017-09-25,79,72.0,,0.72,56.879999999999995
2017-09-26,85,72.0,,0.72,61.199999999999996
2017-09-27,82,72.0,,0.72,59.04
2017-09-28,76,72.0,,0.72,54.72
2017-09-29,65,72.0,,0.72,46.8
2017-09-30,71,72.0,,0.72,51.12
2017-10-01,83,70.0,False,0.7,58.099999999999994
2017-10-02,94,70.0,,0.7,65.8
2017-10-03,81,70.0,,0.7,56.699999999999996
2017-10-04,72,70.0,,0.7,50.4
2017-10-05,90,70.0,,0.7,62.99999999999999
2017-10-06,69,70.0,,0.7,48.3
2017-10-07,59,70.0,,0.7,41.3
2017-10-08,48,70.0,,0.7,33.599999999999994
2017-10-09,96,70.0,,0.7,67.19999999999999
2017-10-10,92,70.0,,0.7,64.39999999999999
2017-10-11,95,70.0,,0.7,66.5
2017-10-12,84,70.0,,0.7,58.8
2017-10-13,78,70.0,,0.7,54.599999999999994
2017-10-14,68,70.0,,0.7,47.599999999999994
2017-10-15,90,70.0,,0.7,62.99999999999999
2017-10-16,100,70.0,,0.7,70.0
2017-10-17,86,70.0,,0.7,60.199999999999996
2017-10-18,85,70.0,,0.7,59.49999999999999
2017-10-19,84,70.0,,0.7,58.8
2017-10-20,63,70.0,,0.7,44.099999999999994
2017-10-21,77,70.0,,0.7,53.9
2017-10-22,57,70.0,,0.7,39.9
2017-10-23,94,70.0,,0.7,65.8
2017-10-24,84,70.0,,0.7,58.8
2017-10-25,79,70.0,,0.7,55.3
2017-10-26,79,70.0,,0.7,55.3
2017-10-27,69,70.0,,0.7,48.3
2017-10-28,61,70.0,,0.7,42.699999999999996
2017-10-29,70,70.0,,0.7,49.0
2017-10-30,90,70.0,,0.7,62.99999999999999
2017-10-31,79,70.0,,0.7,55.3
2017-11-01,69,62.0,False,0.62,42.78
2017-11-02,66,62.0,,0.62,40.92
2017-11-03,53,62.0,,0.62,32.86
2017-11-04,57,62.0,,0.62,35.339999999999996
2017-11-05,47,62.0,,0.62,29.14
2017-11-06,82,62.0,,0.62,50.839999999999996
2017-11-07,73,62.0,,0.62,45.26
2017-11-08,72,62.0,,0.62,44.64
2017-11-09,63,62.0,,0.62,39.06
2017-11-10,62,62.0,,0.62,38.44
2017-11-11,73,62.0,,0.62,45.26
2017-11-12,76,62.0,,0.62,47.12
2017-11-13,80,62.0,,0.62,49.6
2017-11-14,80,62.0,,0.62,49.6
2017-11-15,63,62.0,,0.62,39.06
2017-11-16,68,62.0,,0.62,42.16
2017-11-17,64,62.0,,0.62,39.68
2017-11-18,64,62.0,,0.62,39.68
2017-11-19,100,62.0,,0.62,62.0
2017-11-20,63,62.0,,0.62,39.06
2017-11-21,60,62.0,,0.62,37.2
2017-11-22,53,62.0,,0.62,32.86
2017-11-23,30,62.0,,0.62,18.6
2017-11-24,37,62.0,,0.62,22.94
2017-11-25,52,62.0,,0.62,32.24
2017-11-26,37,62.0,,0.62,22.94
2017-11-27,71,62.0,,0.62,44.02
2017-11-28,68,62.0,,0.62,42.16
2017-11-29,72,62.0,,0.62,44.64
2017-11-30,77,62.0,,0.62,47.74
2017-12-01,79,43.0,False,0.43,33.97
2017-12-02,100,43.0,,0.43,43.0
2017-12-03,66,43.0,,0.43,28.38
2017-12-04,93,43.0,,0.43,39.99
2017-12-05,79,43.0,,0.43,33.97
2017-12-06,76,43.0,,0.43,32.68
2017-12-07,86,43.0,,0.43,36.98
2017-12-08,80,43.0,,0.43,34.4
2017-12-09,61,43.0,,0.43,26.23
2017-12-10,52,43.0,,0.43,22.36
2017-12-11,83,43.0,,0.43,35.69
2017-12-12,86,43.0,,0.43,36.98
2017-12-13,77,43.0,,0.43,33.11
2017-12-14,89,43.0,,0.43,38.269999999999996
2017-12-15,93,43.0,,0.43,39.99
2017-12-16,97,43.0,,0.43,41.71
2017-12-17,60,43.0,,0.43,25.8
2017-12-18,68,43.0,,0.43,29.24
2017-12-19,66,43.0,,0.43,28.38
2017-12-20,50,43.0,,0.43,21.5
2017-12-21,48,43.0,,0.43,20.64
2017-12-22,40,43.0,,0.43,17.2
