date,MC_unscaled,MC_monthly,isPartial,scale,MC
2016-10-01,95,77.0,False,0.77,73.15
2016-10-02,88,77.0,,0.77,67.76
2016-10-03,80,77.0,,0.77,61.6
2016-10-04,84,77.0,,0.77,64.68
2016-10-05,87,77.0,,0.77,66.99
2016-10-06,84,77.0,,0.77,64.68
2016-10-07,90,77.0,,0.77,69.3
2016-10-08,97,77.0,,0.77,74.69
2016-10-09,90,77.0,,0.77,69.3
2016-10-10,89,77.0,,0.77,68.53
2016-10-11,87,77.0,,0.77,66.99
2016-10-12,89,77.0,,0.77,68.53
2016-10-13,86,77.0,,0.77,66.22
2016-10-14,90,77.0,,0.77,69.3
2016-10-15,100,77.0,,0.77,77.0
2016-10-16,96,77.0,,0.77,73.92
2016-10-17,89,77.0,,0.77,68.53
2016-10-18,86,77.0,,0.77,66.22
2016-10-19,86,77.0,,0.77,66.22
2016-10-20,89,77.0,,0.77,68.53
2016-10-21,85,77.0,,0.77,65.45
2016-10-22,99,77.0,,0.77,76.23
2016-10-23,93,77.0,,0.77,71.61
2016-10-24,82,77.0,,0.77,63.14
2016-10-25,84,77.0,,0.77,64.68
2016-10-26,86,77.0,,0.77,66.22
2016-10-27,81,77.0,,0.77,62.370000000000005
2016-10-28,89,77.0,,0.77,68.53
2016-10-29,93,77.0,,0.77,71.61
2016-10-30,90,77.0,,0.77,69.3
2016-10-31,78,77.0,,0.77,60.06
2016-11-01,74,75.0,False,0.75,55.5
2016-11-02,77,75.0,,0.75,57.75
2016-11-03,81,75.0,,0.75,60.75
2016-11-04,80,75.0,,0.75,60.0
2016-11-05,87,75.0,,0.75,65.25
2016-11-06,87,75.0,,0.75,65.25
2016-11-07,76,75.0,,0.75,57.0
2016-11-08,77,75.0,,0.75,57.75
2016-11-09,56,75.0,,0.75,42.0
2016-11-10,77,75.0,,0.75,57.75
2016-11-11,80,75.0,,0.75,60.0
2016-11-12,90,75.0,,0.75,67.5
2016-11-13,100,75.0,,0.75,75.0
2016-11-14,80,75.0,,0.75,60.0
2016-11-15,75,75.0,,0.75,56.25
2016-11-16,83,75.0,,0.75,62.25
2016-11-17,81,75.0,,0.75,60.75
2016-11-18,79,75.0,,0.75,59.25
2016-11-19,91,75.0,,0.75,68.25
2016-11-20,92,75.0,,0.75,69.0
2016-11-21,79,75.0,,0.75,59.25
2016-11-22,79,75.0,,0.75,59.25
2016-11-23,88,75.0,,0.75,66.0
2016-11-24,86,75.0,,0.75,64.5
2016-11-25,90,75.0,,0.75,67.5
2016-11-26,84,75.0,,0.75,63.0
2016-11-27,86,75.0,,0.75,64.5
2016-11-28,75,75.0,,0.75,56.25
2016-11-29,75,75.0,,0.75,56.25
2016-11-30,73,75.0,,0.75,54.75
2016-12-01,82,76.0,False,0.76,62.32
2016-12-02,95,76.0,,0.76,72.2
2016-12-03,91,76.0,,0.76,69.16
2016-12-04,100,76.0,,0.76,76.0
2016-12-05,90,76.0,,0.76,68.4
2016-12-06,87,76.0,,0.76,66.12
2016-12-07,83,76.0,,0.76,63.08
2016-12-08,85,76.0,,0.76,64.6
2016-12-09,80,76.0,,0.76,60.8
2016-12-10,91,76.0,,0.76,69.16
2016-12-11,88,76.0,,0.76,66.88
2016-12-12,89,76.0,,0.76,67.64
2016-12-13,94,76.0,,0.76,71.44
2016-12-14,84,76.0,,0.76,63.84
2016-12-15,85,76.0,,0.76,64.6
2016-12-16,81,76.0,,0.76,61.56
2016-12-17,97,76.0,,0.76,73.72
2016-12-18,95,76.0,,0.76,72.2
2016-12-19,84,76.0,,0.76,63.84
2016-12-20,89,76.0,,0.76,67.64
2016-12-21,94,76.0,,0.76,71.44
2016-12-22,87,76.0,,0.76,66.12
2016-12-23,90,76.0,,0.76,68.4
2016-12-24,88,76.0,,0.76,66.88
2016-12-25,96,76.0,,0.76,72.96000000000001
2016-12-26,93,76.0,,0.76,70.68
2016-12-27,80,76.0,,0.76,60.8
2016-12-28,84,76.0,,0.76,63.84
2016-12-29,91,76.0,,0.76,69.16
2016-12-30,89,76.0,,0.76,67.64
2016-12-31,86,76.0,,0.76,65.36
2017-01-01,100,75.0,False,0.75,75.0
2017-01-02,81,75.0,,0.75,60.75
2017-01-03,78,75.0,,0.75,58.5
2017-01-04,75,75.0,,0.75,56.25
2017-01-05,77,75.0,,0.75,57.75
2017-01-06,79,75.0,,0.75,59.25
2017-01-07,84,75.0,,0.75,63.0
2017-01-08,83,75.0,,0.75,62.25
2017-01-09,73,75.0,,0.75,54.75
2017-01-10,70,75.0,,0.75,52.5
2017-01-11,72,75.0,,0.75,54.0
2017-01-12,78,75.0,,0.75,58.5
2017-01-13,82,75.0,,0.75,61.5
2017-01-14,89,75.0,,0.75,66.75
2017-01-15,84,75.0,,0.75,63.0
2017-01-16,90,75.0,,0.75,67.5
2017-01-17,76,75.0,,0.75,57.0
2017-01-18,71,75.0,,0.75,53.25
2017-01-19,78,75.0,,0.75,58.5
2017-01-20,76,75.0,,0.75,57.0
2017-01-21,89,75.0,,0.75,66.75
2017-01-22,84,75.0,,0.75,63.0
2017-01-23,86,75.0,,0.75,64.5
2017-01-24,87,75.0,,0.75,65.25
2017-01-25,85,75.0,,0.75,63.75
2017-01-26,79,75.0,,0.75,59.25
2017-01-27,79,75.0,,0.75,59.25
2017-01-28,84,75.0,,0.75,63.0
2017-01-29,90,75.0,,0.75,67.5
2017-01-30,78,75.0,,0.75,58.5
2017-01-31,79,75.0,,0.75,59.25
2017-02-01,65,79.0,False,0.79,51.35
2017-02-02,63,79.0,,0.79,49.77
2017-02-03,69,79.0,,0.79,54.510000000000005
2017-02-04,72,79.0,,0.79,56.88
2017-02-05,77,79.0,,0.79,60.830000000000005
2017-02-06,65,79.0,,0.79,51.35
2017-02-07,66,79.0,,0.79,52.14
2017-02-08,68,79.0,,0.79,53.72
2017-02-09,63,79.0,,0.79,49.77
2017-02-10,66,79.0,,0.79,52.14
2017-02-11,78,79.0,,0.79,61.620000000000005
2017-02-12,76,79.0,,0.79,60.040000000000006
2017-02-13,72,79.0,,0.79,56.88
2017-02-14,69,79.0,,0.79,54.510000000000005
2017-02-15,83,79.0,,0.79,65.57000000000001
2017-02-16,77,79.0,,0.79,60.830000000000005
2017-02-17,84,79.0,,0.79,66.36
2017-02-18,90,79.0,,0.79,71.10000000000001
2017-02-19,100,79.0,,0.79,79.0
2017-02-20,84,79.0,,0.79,66.36
2017-02-21,80,79.0,,0.79,63.2
2017-02-22,74,79.0,,0.79,58.46
2017-02-23,74,79.0,,0.79,58.46
2017-02-24,71,79.0,,0.79,56.09
2017-02-25,80,79.0,,0.79,63.2
2017-02-26,89,79.0,,0.79,70.31
2017-02-27,79,79.0,,0.79,62.410000000000004
2017-02-28,75,79.0,,0.79,59.25
2017-03-01,87,79.0,False,0.79,68.73
2017-03-02,90,79.0,,0.79,71.10000000000001
2017-03-03,95,79.0,,0.79,75.05
2017-03-04,98,79.0,,0.79,77.42
2017-03-05,100,79.0,,0.79,79.0
2017-03-06,88,79.0,,0.79,69.52000000000001
2017-03-07,88,79.0,,0.79,69.52000000000001
2017-03-08,75,79.0,,0.79,59.25
2017-03-09,89,79.0,,0.79,70.31
2017-03-10,91,79.0,,0.79,71.89
2017-03-11,94,79.0,,0.79,74.26
2017-03-12,85,79.0,,0.79,67.15
2017-03-13,87,79.0,,0.79,68.73
2017-03-14,74,79.0,,0.79,58.46
2017-03-15,82,79.0,,0.79,64.78
2017-03-16,79,79.0,,0.79,62.410000000000004
2017-03-17,96,79.0,,0.79,75.84
2017-03-18,97,79.0,,0.79,76.63000000000001
2017-03-19,95,79.0,,0.79,75.05
2017-03-20,88,79.0,,0.79,69.52000000000001
2017-03-21,78,79.0,,0.79,61.620000000000005
2017-03-22,82,79.0,,0.79,64.78
2017-03-23,90,79.0,,0.79,71.10000000000001
2017-03-24,85,79.0,,0.79,67.15
2017-03-25,99,79.0,,0.79,78.21000000000001
2017-03-26,95,79.0,,0.79,75.05
2017-03-27,96,79.0,,0.79,75.84
2017-03-28,83,79.0,,0.79,65.57000000000001
2017-03-29,89,79.0,,0.79,70.31
2017-03-30,94,79.0,,0.79,74.26
2017-03-31,94,79.0,,0.79,74.26
2017-04-01,88,80.0,False,0.8,70.4
2017-04-02,88,80.0,,0.8,70.4
2017-04-03,73,80.0,,0.8,58.400000000000006
2017-04-04,83,80.0,,0.8,66.4
2017-04-05,78,80.0,,0.8,62.400000000000006
2017-04-06,82,80.0,,0.8,65.60000000000001
2017-04-07,72,80.0,,0.8,57.6
2017-04-08,91,80.0,,0.8,72.8
2017-04-09,84,80.0,,0.8,67.2
2017-04-10,86,80.0,,0.8,68.8
2017-04-11,80,80.0,,0.8,64.0
2017-04-12,84,80.0,,0.8,67.2
2017-04-13,100,80.0,,0.8,80.0
2017-04-14,94,80.0,,0.8,75.2
2017-04-15,91,80.0,,0.8,72.8
2017-04-16,93,80.0,,0.8,74.4
2017-04-17,84,80.0,,0.8,67.2
2017-04-18,80,80.0,,0.8,64.0
2017-04-19,83,80.0,,0.8,66.4
2017-04-20,76,80.0,,0.8,60.800000000000004
2017-04-21,86,80.0,,0.8,68.8
2017-04-22,97,80.0,,0.8,77.60000000000001
2017-04-23,99,80.0,,0.8,79.2
2017-04-24,87,80.0,,0.8,69.60000000000001
2017-04-25,83,80.0,,0.8,66.4
2017-04-26,80,80.0,,0.8,64.0
2017-04-27,84,80.0,,0.8,67.2
2017-04-28,84,80.0,,0.8,67.2
2017-04-29,84,80.0,,0.8,67.2
2017-04-30,97,80.0,,0.8,77.60000000000001
2017-05-01,90,79.0,False,0.79,71.10000000000001
2017-05-02,91,79.0,,0.79,71.89
2017-05-03,92,79.0,,0.79,72.68
2017-05-04,90,79.0,,0.79,71.10000000000001
2017-05-05,100,79.0,,0.79,79.0
2017-05-06,89,79.0,,0.79,70.31
2017-05-07,98,79.0,,0.79,77.42
2017-05-08,89,79.0,,0.79,70.31
2017-05-09,87,79.0,,0.79,68.73
2017-05-10,80,79.0,,0.79,63.2
2017-05-11,88,79.0,,0.79,69.52000000000001
2017-05-12,92,79.0,,0.79,72.68
2017-05-13,100,79.0,,0.79,79.0
2017-05-14,96,79.0,,0.79,75.84
2017-05-15,83,79.0,,0.79,65.57000000000001
2017-05-16,84,79.0,,0.79,66.36
2017-05-17,78,79.0,,0.79,61.620000000000005
2017-05-18,77,79.0,,0.79,60.830000000000005
2017-05-19,78,79.0,,0.79,61.620000000000005
2017-05-20,89,79.0,,0.79,70.31
2017-05-21,87,79.0,,0.79,68.73
2017-05-22,86,79.0,,0.79,67.94
2017-05-23,78,79.0,,0.79,61.620000000000005
2017-05-24,81,79.0,,0.79,63.99
2017-05-25,76,79.0,,0.79,60.040000000000006
2017-05-26,84,79.0,,0.79,66.36
2017-05-27,95,79.0,,0.79,75.05
2017-05-28,94,79.0,,0.79,74.26
2017-05-29,88,79.0,,0.79,69.52000000000001
2017-05-30,83,79.0,,0.79,65.57000000000001
2017-05-31,80,79.0,,0.79,63.2
2017-06-01,84,78.0,False,0.78,65.52
2017-06-02,88,78.0,,0.78,68.64
2017-06-03,97,78.0,,0.78,75.66
2017-06-04,89,78.0,,0.78,69.42
2017-06-05,88,78.0,,0.78,68.64
2017-06-06,86,78.0,,0.78,67.08
2017-06-07,90,78.0,,0.78,70.2
2017-06-08,85,78.0,,0.78,66.3
2017-06-09,89,78.0,,0.78,69.42
2017-06-10,92,78.0,,0.78,71.76
2017-06-11,96,78.0,,0.78,74.88
2017-06-12,87,78.0,,0.78,67.86
2017-06-13,87,78.0,,0.78,67.86
2017-06-14,85,78.0,,0.78,66.3
2017-06-15,89,78.0,,0.78,69.42
2017-06-16,92,78.0,,0.78,71.76
2017-06-17,98,78.0,,0.78,76.44
2017-06-18,89,78.0,,0.78,69.42
2017-06-19,92,78.0,,0.78,71.76
2017-06-20,97,78.0,,0.78,75.66
2017-06-21,90,78.0,,0.78,70.2
2017-06-22,96,78.0,,0.78,74.88
2017-06-23,99,78.0,,0.78,77.22
2017-06-24,96,78.0,,0.78,74.88
2017-06-25,95,78.0,,0.78,74.10000000000001
2017-06-26,99,78.0,,0.78,77.22
2017-06-27,94,78.0,,0.78,73.32000000000001
2017-06-28,100,78.0,,0.78,78.0
2017-06-29,96,78.0,,0.78,74.88
2017-06-30,91,78.0,,0.78,70.98
2017-07-01,87,81.0,False,0.81,70.47
2017-07-02,83,81.0,,0.81,67.23
2017-07-03,83,81.0,,0.81,67.23
2017-07-04,78,81.0,,0.81,63.18000000000001
2017-07-05,80,81.0,,0.81,64.80000000000001
2017-07-06,79,81.0,,0.81,63.99
2017-07-07,77,81.0,,0.81,62.370000000000005
2017-07-08,84,81.0,,0.81,68.04
2017-07-09,81,81.0,,0.81,65.61
2017-07-10,80,81.0,,0.81,64.80000000000001
2017-07-11,78,81.0,,0.81,63.18000000000001
2017-07-12,91,81.0,,0.81,73.71000000000001
2017-07-13,83,81.0,,0.81,67.23
2017-07-14,87,81.0,,0.81,70.47
2017-07-15,91,81.0,,0.81,73.71000000000001
2017-07-16,95,81.0,,0.81,76.95
2017-07-17,92,81.0,,0.81,74.52000000000001
2017-07-18,83,81.0,,0.81,67.23
2017-07-19,79,81.0,,0.81,63.99
2017-07-20,100,81.0,,0.81,81.0
2017-07-21,94,81.0,,0.81,76.14
2017-07-22,92,81.0,,0.81,74.52000000000001
2017-07-23,87,81.0,,0.81,70.47
2017-07-24,90,81.0,,0.81,72.9
2017-07-25,90,81.0,,0.81,72.9
2017-07-26,83,81.0,,0.81,67.23
2017-07-27,91,81.0,,0.81,73.71000000000001
2017-07-28,94,81.0,,0.81,76.14
2017-07-29,90,81.0,,0.81,72.9
2017-07-30,84,81.0,,0.81,68.04
2017-07-31,81,81.0,,0.81,65.61
2017-08-01,42,86.0,False,0.86,36.12
2017-08-02,47,86.0,,0.86,40.42
2017-08-03,46,86.0,,0.86,39.56
2017-08-04,48,86.0,,0.86,41.28
2017-08-05,43,86.0,,0.86,36.98
2017-08-06,47,86.0,,0.86,40.42
2017-08-07,47,86.0,,0.86,40.42
2017-08-08,45,86.0,,0.86,38.7
2017-08-09,47,86.0,,0.86,40.42
2017-08-10,42,86.0,,0.86,36.12
2017-08-11,44,86.0,,0.86,37.839999999999996
2017-08-12,44,86.0,,0.86,37.839999999999996
2017-08-13,42,86.0,,0.86,36.12
2017-08-14,50,86.0,,0.86,43.0
2017-08-15,43,86.0,,0.86,36.98
2017-08-16,42,86.0,,0.86,36.12
2017-08-17,46,86.0,,0.86,39.56
2017-08-18,47,86.0,,0.86,40.42
2017-08-19,50,86.0,,0.86,43.0
2017-08-20,45,86.0,,0.86,38.7
2017-08-21,52,86.0,,0.86,44.72
2017-08-22,42,86.0,,0.86,36.12
2017-08-23,43,86.0,,0.86,36.98
2017-08-24,40,86.0,,0.86,34.4
2017-08-25,50,86.0,,0.86,43.0
2017-08-26,66,86.0,,0.86,56.76
2017-08-27,100,86.0,,0.86,86.0
2017-08-28,47,86.0,,0.86,40.42
2017-08-29,40,86.0,,0.86,34.4
2017-08-30,37,86.0,,0.86,31.82
2017-08-31,40,86.0,,0.86,34.4
2017-09-01,92,70.0,False,0.7,64.39999999999999
2017-09-02,98,70.0,,0.7,68.6
2017-09-03,95,70.0,,0.7,66.5
2017-09-04,96,70.0,,0.7,67.19999999999999
2017-09-05,90,70.0,,0.7,62.99999999999999
2017-09-06,78,70.0,,0.7,54.599999999999994
2017-09-07,83,70.0,,0.7,58.099999999999994
2017-09-08,82,70.0,,0.7,57.4
2017-09-09,95,70.0,,0.7,66.5
2017-09-10,88,70.0,,0.7,61.599999999999994
2017-09-11,82,70.0,,0.7,57.4
2017-09-12,85,70.0,,0.7,59.49999999999999
2017-09-13,84,70.0,,0.7,58.8
2017-09-14,86,70.0,,0.7,60.199999999999996
2017-09-15,89,70.0,,0.7,62.3
2017-09-16,100,70.0,,0.7,70.0
2017-09-17,94,70.0,,0.7,65.8
2017-09-18,87,70.0,,0.7,60.9
2017-09-19,85,70.0,,0.7,59.49999999999999
2017-09-20,83,70.0,,0.7,58.099999999999994
2017-09-21,90,70.0,,0.7,62.99999999999999
2017-09-22,89,70.0,,0.7,62.3
2017-09-23,94,70.0,,0.7,65.8
2017-09-24,94,70.0,,0.7,65.8
2017-09-25,86,70.0,,0.7,60.199999999999996
2017-09-26,85,70.0,,0.7,59.49999999999999
2017-09-27,90,70.0,,0.7,62.99999999999999
2017-09-28,86,70.0,,0.7,60.199999999999996
2017-09-29,88,70.0,,0.7,61.599999999999994
2017-09-30,97,70.0,,0.7,67.89999999999999
2017-10-01,92,69.0,False,0.69,63.48
2017-10-02,78,69.0,,0.69,53.81999999999999
2017-10-03,80,69.0,,0.69,55.199999999999996
2017-10-04,89,69.0,,0.69,61.41
2017-10-05,81,69.0,,0.69,55.88999999999999
2017-10-06,90,69.0,,0.69,62.099999999999994
2017-10-07,100,69.0,,0.69,69.0
2017-10-08,89,69.0,,0.69,61.41
2017-10-09,87,69.0,,0.69,60.029999999999994
2017-10-10,83,69.0,,0.69,57.269999999999996
2017-10-11,82,69.0,,0.69,56.58
2017-10-12,91,69.0,,0.69,62.78999999999999
2017-10-13,86,69.0,,0.69,59.339999999999996
2017-10-14,93,69.0,,0.69,64.17
2017-10-15,88,69.0,,0.69,60.72
2017-10-16,86,69.0,,0.69,59.339999999999996
2017-10-17,85,69.0,,0.69,58.65
2017-10-18,81,69.0,,0.69,55.88999999999999
2017-10-19,84,69.0,,0.69,57.959999999999994
2017-10-20,81,69.0,,0.69,55.88999999999999
2017-10-21,86,69.0,,0.69,59.339999999999996
2017-10-22,89,69.0,,0.69,61.41
2017-10-23,89,69.0,,0.69,61.41
2017-10-24,86,69.0,,0.69,59.339999999999996
2017-10-25,91,69.0,,0.69,62.78999999999999
2017-10-26,84,69.0,,0.69,57.959999999999994
2017-10-27,84,69.0,,0.69,57.959999999999994
2017-10-28,90,69.0,,0.69,62.099999999999994
2017-10-29,90,69.0,,0.69,62.099999999999994
2017-10-30,85,69.0,,0.69,58.65
2017-10-31,85,69.0,,0.69,58.65
2017-11-01,83,68.0,False,0.68,56.440000000000005
2017-11-02,86,68.0,,0.68,58.480000000000004
2017-11-03,91,68.0,,0.68,61.88
2017-11-04,93,68.0,,0.68,63.24
2017-11-05,88,68.0,,0.68,59.84
2017-11-06,87,68.0,,0.68,59.160000000000004
2017-11-07,86,68.0,,0.68,58.480000000000004
2017-11-08,83,68.0,,0.68,56.440000000000005
2017-11-09,89,68.0,,0.68,60.52
2017-11-10,90,68.0,,0.68,61.2
2017-11-11,99,68.0,,0.68,67.32000000000001
2017-11-12,100,68.0,,0.68,68.0
2017-11-13,82,68.0,,0.68,55.760000000000005
2017-11-14,96,68.0,,0.68,65.28
2017-11-15,82,68.0,,0.68,55.760000000000005
2017-11-16,89,68.0,,0.68,60.52
2017-11-17,90,68.0,,0.68,61.2
2017-11-18,89,68.0,,0.68,60.52
2017-11-19,89,68.0,,0.68,60.52
2017-11-20,87,68.0,,0.68,59.160000000000004
2017-11-21,81,68.0,,0.68,55.080000000000005
2017-11-22,87,68.0,,0.68,59.160000000000004
2017-11-23,90,68.0,,0.68,61.2
2017-11-24,92,68.0,,0.68,62.56
2017-11-25,90,68.0,,0.68,61.2
2017-11-26,83,68.0,,0.68,56.440000000000005
2017-11-27,92,68.0,,0.68,62.56
2017-11-28,79,68.0,,0.68,53.720000000000006
2017-11-29,81,68.0,,0.68,55.080000000000005
2017-11-30,87,68.0,,0.68,59.160000000000004
2017-12-01,76,69.0,False,0.69,52.44
2017-12-02,87,69.0,,0.69,60.029999999999994
2017-12-03,89,69.0,,0.69,61.41
2017-12-04,74,69.0,,0.69,51.059999999999995
2017-12-05,82,69.0,,0.69,56.58
2017-12-06,77,69.0,,0.69,53.129999999999995
2017-12-07,78,69.0,,0.69,53.81999999999999
2017-12-08,83,69.0,,0.69,57.269999999999996
2017-12-09,84,69.0,,0.69,57.959999999999994
2017-12-10,88,69.0,,0.69,60.72
2017-12-11,78,69.0,,0.69,53.81999999999999
2017-12-12,76,69.0,,0.69,52.44
2017-12-13,80,69.0,,0.69,55.199999999999996
2017-12-14,81,69.0,,0.69,55.88999999999999
2017-12-15,84,69.0,,0.69,57.959999999999994
2017-12-16,86,69.0,,0.69,59.339999999999996
2017-12-17,83,69.0,,0.69,57.269999999999996
2017-12-18,84,69.0,,0.69,57.959999999999994
2017-12-19,87,69.0,,0.69,60.029999999999994
2017-12-20,80,69.0,,0.69,55.199999999999996
2017-12-21,78,69.0,,0.69,53.81999999999999
2017-12-22,87,69.0,,0.69,60.029999999999994
2017-12-23,93,69.0,,0.69,64.17
2017-12-24,89,69.0,,0.69,61.41
