date,QQQ_unscaled,QQQ_monthly,isPartial,scale,QQQ
2017-04-29,59,12.0,,0.12,7.08
2017-04-30,44,12.0,,0.12,5.279999999999999
2017-05-01,68,16.0,False,0.16,10.88
2017-05-02,61,16.0,,0.16,9.76
2017-05-03,78,16.0,,0.16,12.48
2017-05-04,58,16.0,,0.16,9.28
2017-05-05,69,16.0,,0.16,11.040000000000001
2017-05-06,36,16.0,,0.16,5.76
2017-05-07,28,16.0,,0.16,4.48
2017-05-08,70,16.0,,0.16,11.200000000000001
2017-05-09,81,16.0,,0.16,12.96
2017-05-10,59,16.0,,0.16,9.44
2017-05-11,80,16.0,,0.16,12.8
2017-05-12,68,16.0,,0.16,10.88
2017-05-13,31,16.0,,0.16,4.96
2017-05-14,34,16.0,,0.16,5.44
2017-05-15,72,16.0,,0.16,11.52
2017-05-16,90,16.0,,0.16,14.4
2017-05-17,90,16.0,,0.16,14.4
2017-05-18,98,16.0,,0.16,15.68
2017-05-19,96,16.0,,0.16,15.36
2017-05-20,35,16.0,,0.16,5.6000000000000005
2017-05-21,16,16.0,,0.16,2.56
2017-05-22,64,16.0,,0.16,10.24
2017-05-23,67,16.0,,0.16,10.72
2017-05-24,72,16.0,,0.16,11.52
2017-05-25,72,16.0,,0.16,11.52
2017-05-26,100,16.0,,0.16,16.0
2017-05-27,34,16.0,,0.16,5.44
2017-05-28,10,16.0,,0.16,1.6
2017-05-29,26,16.0,,0.16,4.16
2017-05-30,65,16.0,,0.16,10.4
2017-05-31,83,16.0,,0.16,13.280000000000001
2017-06-01,60,23.0,False,0.23,13.8
2017-06-02,72,23.0,,0.23,16.560000000000002
2017-06-03,29,23.0,,0.23,6.67
2017-06-04,11,23.0,,0.23,2.5300000000000002
2017-06-05,59,23.0,,0.23,13.57
2017-06-06,46,23.0,,0.23,10.58
2017-06-07,73,23.0,,0.23,16.79
2017-06-08,65,23.0,,0.23,14.950000000000001
2017-06-09,99,23.0,,0.23,22.77
2017-06-10,33,23.0,,0.23,7.590000000000001
2017-06-11,13,23.0,,0.23,2.99
2017-06-12,100,23.0,,0.23,23.0
2017-06-13,73,23.0,,0.23,16.79
2017-06-14,77,23.0,,0.23,17.71
2017-06-15,86,23.0,,0.23,19.78
2017-06-16,73,23.0,,0.23,16.79
2017-06-17,31,23.0,,0.23,7.13
2017-06-18,20,23.0,,0.23,4.6000000000000005
2017-06-19,67,23.0,,0.23,15.41
2017-06-20,74,23.0,,0.23,17.02
2017-06-21,65,23.0,,0.23,14.950000000000001
2017-06-22,58,23.0,,0.23,13.34
2017-06-23,63,23.0,,0.23,14.49
2017-06-24,20,23.0,,0.23,4.6000000000000005
2017-06-25,12,23.0,,0.23,2.7600000000000002
2017-06-26,57,23.0,,0.23,13.110000000000001
2017-06-27,82,23.0,,0.23,18.86
2017-06-28,57,23.0,,0.23,13.110000000000001
2017-06-29,99,23.0,,0.23,22.77
2017-06-30,93,23.0,,0.23,21.39
2017-07-01,35,19.0,False,0.19,6.65
2017-07-02,32,19.0,,0.19,6.08
2017-07-03,85,19.0,,0.19,16.15
2017-07-04,50,19.0,,0.19,9.5
2017-07-05,98,19.0,,0.19,18.62
2017-07-06,100,19.0,,0.19,19.0
2017-07-07,79,19.0,,0.19,15.01
2017-07-08,32,19.0,,0.19,6.08
2017-07-09,25,19.0,,0.19,4.75
2017-07-10,66,19.0,,0.19,12.540000000000001
2017-07-11,73,19.0,,0.19,13.870000000000001
2017-07-12,83,19.0,,0.19,15.77
2017-07-13,73,19.0,,0.19,13.870000000000001
2017-07-14,80,19.0,,0.19,15.2
2017-07-15,40,19.0,,0.19,7.6
2017-07-16,23,19.0,,0.19,4.37
2017-07-17,62,19.0,,0.19,11.78
2017-07-18,79,19.0,,0.19,15.01
2017-07-19,76,19.0,,0.19,14.44
2017-07-20,57,19.0,,0.19,10.83
2017-07-21,83,19.0,,0.19,15.77
2017-07-22,20,19.0,,0.19,3.8
2017-07-23,13,19.0,,0.19,2.47
2017-07-24,66,19.0,,0.19,12.540000000000001
2017-07-25,61,19.0,,0.19,11.59
2017-07-26,62,19.0,,0.19,11.78
2017-07-27,98,19.0,,0.19,18.62
2017-07-28,96,19.0,,0.19,18.240000000000002
2017-07-29,28,19.0,,0.19,5.32
2017-07-30,13,19.0,,0.19,2.47
2017-07-31,68,19.0,,0.19,12.92
2017-08-01,93,21.0,False,0.21,19.529999999999998
2017-08-02,91,21.0,,0.21,19.11
2017-08-03,72,21.0,,0.21,15.12
2017-08-04,80,21.0,,0.21,16.8
2017-08-05,27,21.0,,0.21,5.67
2017-08-06,18,21.0,,0.21,3.78
2017-08-07,61,21.0,,0.21,12.809999999999999
2017-08-08,79,21.0,,0.21,16.59
2017-08-09,84,21.0,,0.21,17.64
2017-08-10,87,21.0,,0.21,18.27
2017-08-11,85,21.0,,0.21,17.849999999999998
2017-08-12,40,21.0,,0.21,8.4
2017-08-13,33,21.0,,0.21,6.93
2017-08-14,66,21.0,,0.21,13.86
2017-08-15,83,21.0,,0.21,17.43
2017-08-16,70,21.0,,0.21,14.7
2017-08-17,62,21.0,,0.21,13.02
2017-08-18,100,21.0,,0.21,21.0
2017-08-19,29,21.0,,0.21,6.09
2017-08-20,16,21.0,,0.21,3.36
2017-08-21,65,21.0,,0.21,13.65
2017-08-22,72,21.0,,0.21,15.12
2017-08-23,88,21.0,,0.21,18.48
2017-08-24,69,21.0,,0.21,14.49
2017-08-25,70,21.0,,0.21,14.7
2017-08-26,21,21.0,,0.21,4.41
2017-08-27,10,21.0,,0.21,2.1
2017-08-28,68,21.0,,0.21,14.28
2017-08-29,61,21.0,,0.21,12.809999999999999
2017-08-30,78,21.0,,0.21,16.38
2017-08-31,71,21.0,,0.21,14.91
2017-09-01,90,15.0,False,0.15,13.5
2017-09-02,42,15.0,,0.15,6.3
2017-09-03,28,15.0,,0.15,4.2
2017-09-04,26,15.0,,0.15,3.9
2017-09-05,84,15.0,,0.15,12.6
2017-09-06,82,15.0,,0.15,12.299999999999999
2017-09-07,70,15.0,,0.15,10.5
2017-09-08,60,15.0,,0.15,9.0
2017-09-09,29,15.0,,0.15,4.35
2017-09-10,31,15.0,,0.15,4.6499999999999995
2017-09-11,76,15.0,,0.15,11.4
2017-09-12,79,15.0,,0.15,11.85
2017-09-13,100,15.0,,0.15,15.0
2017-09-14,88,15.0,,0.15,13.2
2017-09-15,87,15.0,,0.15,13.049999999999999
2017-09-16,23,15.0,,0.15,3.4499999999999997
2017-09-17,21,15.0,,0.15,3.15
2017-09-18,88,15.0,,0.15,13.2
2017-09-19,73,15.0,,0.15,10.95
2017-09-20,86,15.0,,0.15,12.9
2017-09-21,81,15.0,,0.15,12.15
2017-09-22,78,15.0,,0.15,11.7
2017-09-23,50,15.0,,0.15,7.5
2017-09-24,21,15.0,,0.15,3.15
2017-09-25,76,15.0,,0.15,11.4
2017-09-26,83,15.0,,0.15,12.45
2017-09-27,76,15.0,,0.15,11.4
2017-09-28,76,15.0,,0.15,11.4
2017-09-29,78,15.0,,0.15,11.7
2017-09-30,41,15.0,,0.15,6.1499999999999995
2017-10-01,16,17.0,False,0.17,2.72
2017-10-02,43,17.0,,0.17,7.3100000000000005
2017-10-03,35,17.0,,0.17,5.95
2017-10-04,49,17.0,,0.17,8.33
2017-10-05,71,17.0,,0.17,12.07
2017-10-06,51,17.0,,0.17,8.67
2017-10-07,17,17.0,,0.17,2.89
2017-10-08,20,17.0,,0.17,3.4000000000000004
2017-10-09,42,17.0,,0.17,7.140000000000001
2017-10-10,45,17.0,,0.17,7.65
2017-10-11,43,17.0,,0.17,7.3100000000000005
2017-10-12,54,17.0,,0.17,9.180000000000001
2017-10-13,38,17.0,,0.17,6.460000000000001
2017-10-14,15,17.0,,0.17,2.5500000000000003
2017-10-15,11,17.0,,0.17,1.87
2017-10-16,40,17.0,,0.17,6.800000000000001
2017-10-17,42,17.0,,0.17,7.140000000000001
2017-10-18,50,17.0,,0.17,8.5
2017-10-19,69,17.0,,0.17,11.73
2017-10-20,47,17.0,,0.17,7.99
2017-10-21,28,17.0,,0.17,4.760000000000001
2017-10-22,22,17.0,,0.17,3.74
2017-10-23,49,17.0,,0.17,8.33
2017-10-24,55,17.0,,0.17,9.350000000000001
2017-10-25,58,17.0,,0.17,9.860000000000001
2017-10-26,56,17.0,,0.17,9.520000000000001
2017-10-27,100,17.0,,0.17,17.0
2017-10-28,55,17.0,,0.17,9.350000000000001
2017-10-29,29,17.0,,0.17,4.930000000000001
2017-10-30,69,17.0,,0.17,11.73
2017-10-31,56,17.0,,0.17,9.520000000000001
2017-11-01,74,17.0,False,0.17,12.58
2017-11-02,75,17.0,,0.17,12.750000000000002
2017-11-03,81,17.0,,0.17,13.770000000000001
2017-11-04,25,17.0,,0.17,4.25
2017-11-05,24,17.0,,0.17,4.08
2017-11-06,64,17.0,,0.17,10.88
2017-11-07,52,17.0,,0.17,8.84
2017-11-08,66,17.0,,0.17,11.22
2017-11-09,90,17.0,,0.17,15.3
2017-11-10,70,17.0,,0.17,11.9
2017-11-11,39,17.0,,0.17,6.630000000000001
2017-11-12,26,17.0,,0.17,4.42
2017-11-13,54,17.0,,0.17,9.180000000000001
2017-11-14,49,17.0,,0.17,8.33
2017-11-15,57,17.0,,0.17,9.690000000000001
2017-11-16,56,17.0,,0.17,9.520000000000001
2017-11-17,58,17.0,,0.17,9.860000000000001
2017-11-18,19,17.0,,0.17,3.2300000000000004
2017-11-19,9,17.0,,0.17,1.53
2017-11-20,55,17.0,,0.17,9.350000000000001
2017-11-21,54,17.0,,0.17,9.180000000000001
2017-11-22,73,17.0,,0.17,12.41
2017-11-23,26,17.0,,0.17,4.42
2017-11-24,45,17.0,,0.17,7.65
2017-11-25,21,17.0,,0.17,3.5700000000000003
2017-11-26,14,17.0,,0.17,2.3800000000000003
2017-11-27,50,17.0,,0.17,8.5
2017-11-28,73,17.0,,0.17,12.41
2017-11-29,100,17.0,,0.17,17.0
2017-11-30,92,17.0,,0.17,15.64
2017-12-01,92,18.0,False,0.18,16.56
2017-12-02,32,18.0,,0.18,5.76
2017-12-03,30,18.0,,0.18,5.3999999999999995
2017-12-04,92,18.0,,0.18,16.56
2017-12-05,85,18.0,,0.18,15.299999999999999
2017-12-06,100,18.0,,0.18,18.0
2017-12-07,74,18.0,,0.18,13.32
2017-12-08,82,18.0,,0.18,14.76
2017-12-09,23,18.0,,0.18,4.14
2017-12-10,9,18.0,,0.18,1.6199999999999999
2017-12-11,74,18.0,,0.18,13.32
2017-12-12,67,18.0,,0.18,12.059999999999999
2017-12-13,51,18.0,,0.18,9.18
2017-12-14,59,18.0,,0.18,10.62
2017-12-15,76,18.0,,0.18,13.68
2017-12-16,29,18.0,,0.18,5.22
2017-12-17,32,18.0,,0.18,5.76
2017-12-18,62,18.0,,0.18,11.16
