date,TQQQ_unscaled,TQQQ_monthly,isPartial,scale,TQQQ
2017-01-06,29,3.0,,0.03,0.87
2017-01-07,0,3.0,,0.03,0.0
2017-01-08,0,3.0,,0.03,0.0
2017-01-09,28,3.0,,0.03,0.84
2017-01-10,28,3.0,,0.03,0.84
2017-01-11,57,3.0,,0.03,1.71
2017-01-12,100,3.0,,0.03,3.0
2017-01-13,72,3.0,,0.03,2.16
2017-01-14,17,3.0,,0.03,0.51
2017-01-15,16,3.0,,0.03,0.48
2017-01-16,29,3.0,,0.03,0.87
2017-01-17,56,3.0,,0.03,1.68
2017-01-18,0,3.0,,0.03,0.0
2017-01-19,28,3.0,,0.03,0.84
2017-01-20,55,3.0,,0.03,1.65
2017-01-21,16,3.0,,0.03,0.48
2017-01-22,0,3.0,,0.03,0.0
2017-01-23,40,3.0,,0.03,1.2
2017-01-24,69,3.0,,0.03,2.07
2017-01-25,28,3.0,,0.03,0.84
2017-01-26,41,3.0,,0.03,1.23
2017-01-27,43,3.0,,0.03,1.29
2017-01-28,0,3.0,,0.03,0.0
2017-01-29,33,3.0,,0.03,0.99
2017-01-30,54,3.0,,0.03,1.6199999999999999
2017-01-31,41,3.0,,0.03,1.23
2017-02-01,86,4.0,False,0.04,3.44
2017-02-02,43,4.0,,0.04,1.72
2017-02-03,23,4.0,,0.04,0.92
2017-02-04,13,4.0,,0.04,0.52
2017-02-05,0,4.0,,0.04,0.0
2017-02-06,32,4.0,,0.04,1.28
2017-02-07,22,4.0,,0.04,0.88
2017-02-08,88,4.0,,0.04,3.52
2017-02-09,55,4.0,,0.04,2.2
2017-02-10,34,4.0,,0.04,1.36
2017-02-11,14,4.0,,0.04,0.56
2017-02-12,13,4.0,,0.04,0.52
2017-02-13,21,4.0,,0.04,0.84
2017-02-14,88,4.0,,0.04,3.52
2017-02-15,56,4.0,,0.04,2.24
2017-02-16,44,4.0,,0.04,1.76
2017-02-17,100,4.0,,0.04,4.0
2017-02-18,0,4.0,,0.04,0.0
2017-02-19,27,4.0,,0.04,1.08
2017-02-20,11,4.0,,0.04,0.44
2017-02-21,44,4.0,,0.04,1.76
2017-02-22,32,4.0,,0.04,1.28
2017-02-23,98,4.0,,0.04,3.92
2017-02-24,45,4.0,,0.04,1.8
2017-02-25,0,4.0,,0.04,0.0
2017-02-26,0,4.0,,0.04,0.0
2017-02-27,30,4.0,,0.04,1.2
2017-02-28,41,4.0,,0.04,1.6400000000000001
2017-03-01,33,5.0,False,0.05,1.6500000000000001
2017-03-02,43,5.0,,0.05,2.15
2017-03-03,45,5.0,,0.05,2.25
2017-03-04,21,5.0,,0.05,1.05
2017-03-05,0,5.0,,0.05,0.0
2017-03-06,50,5.0,,0.05,2.5
2017-03-07,25,5.0,,0.05,1.25
2017-03-08,35,5.0,,0.05,1.75
2017-03-09,26,5.0,,0.05,1.3
2017-03-10,45,5.0,,0.05,2.25
2017-03-11,0,5.0,,0.05,0.0
2017-03-12,20,5.0,,0.05,1.0
2017-03-13,33,5.0,,0.05,1.6500000000000001
2017-03-14,61,5.0,,0.05,3.0500000000000003
2017-03-15,63,5.0,,0.05,3.1500000000000004
2017-03-16,45,5.0,,0.05,2.25
2017-03-17,19,5.0,,0.05,0.9500000000000001
2017-03-18,0,5.0,,0.05,0.0
2017-03-19,11,5.0,,0.05,0.55
2017-03-20,27,5.0,,0.05,1.35
2017-03-21,36,5.0,,0.05,1.8
2017-03-22,45,5.0,,0.05,2.25
2017-03-23,54,5.0,,0.05,2.7
2017-03-24,46,5.0,,0.05,2.3000000000000003
2017-03-25,0,5.0,,0.05,0.0
2017-03-26,0,5.0,,0.05,0.0
2017-03-27,62,5.0,,0.05,3.1
2017-03-28,63,5.0,,0.05,3.1500000000000004
2017-03-29,63,5.0,,0.05,3.1500000000000004
2017-03-30,100,5.0,,0.05,5.0
2017-03-31,36,5.0,,0.05,1.8
2017-04-01,0,5.0,False,0.05,0.0
2017-04-02,20,5.0,,0.05,1.0
2017-04-03,25,5.0,,0.05,1.25
2017-04-04,33,5.0,,0.05,1.6500000000000001
2017-04-05,50,5.0,,0.05,2.5
2017-04-06,67,5.0,,0.05,3.35
2017-04-07,78,5.0,,0.05,3.9000000000000004
2017-04-08,21,5.0,,0.05,1.05
2017-04-09,0,5.0,,0.05,0.0
2017-04-10,34,5.0,,0.05,1.7000000000000002
2017-04-11,17,5.0,,0.05,0.8500000000000001
2017-04-12,68,5.0,,0.05,3.4000000000000004
2017-04-13,43,5.0,,0.05,2.15
2017-04-14,28,5.0,,0.05,1.4000000000000001
2017-04-15,0,5.0,,0.05,0.0
2017-04-16,0,5.0,,0.05,0.0
2017-04-17,43,5.0,,0.05,2.15
2017-04-18,50,5.0,,0.05,2.5
2017-04-19,25,5.0,,0.05,1.25
2017-04-20,59,5.0,,0.05,2.95
2017-04-21,18,5.0,,0.05,0.9
2017-04-22,0,5.0,,0.05,0.0
2017-04-23,0,5.0,,0.05,0.0
2017-04-24,100,5.0,,0.05,5.0
2017-04-25,33,5.0,,0.05,1.6500000000000001
2017-04-26,57,5.0,,0.05,2.85
2017-04-27,50,5.0,,0.05,2.5
2017-04-28,43,5.0,,0.05,2.15
2017-04-29,20,5.0,,0.05,1.0
2017-04-30,0,5.0,,0.05,0.0
2017-05-01,20,11.0,False,0.11,2.2
2017-05-02,20,11.0,,0.11,2.2
2017-05-03,48,11.0,,0.11,5.28
2017-05-04,41,11.0,,0.11,4.51
2017-05-05,38,11.0,,0.11,4.18
2017-05-06,15,11.0,,0.11,1.65
2017-05-07,5,11.0,,0.11,0.55
2017-05-08,41,11.0,,0.11,4.51
2017-05-09,20,11.0,,0.11,2.2
2017-05-10,24,11.0,,0.11,2.64
2017-05-11,21,11.0,,0.11,2.31
2017-05-12,43,11.0,,0.11,4.73
2017-05-13,10,11.0,,0.11,1.1
2017-05-14,10,11.0,,0.11,1.1
2017-05-15,39,11.0,,0.11,4.29
2017-05-16,65,11.0,,0.11,7.15
2017-05-17,66,11.0,,0.11,7.26
2017-05-18,88,11.0,,0.11,9.68
2017-05-19,54,11.0,,0.11,5.94
2017-05-20,11,11.0,,0.11,1.21
2017-05-21,16,11.0,,0.11,1.76
2017-05-22,40,11.0,,0.11,4.4
2017-05-23,21,11.0,,0.11,2.31
2017-05-24,22,11.0,,0.11,2.42
2017-05-25,49,11.0,,0.11,5.39
2017-05-26,100,11.0,,0.11,11.0
2017-05-27,0,11.0,,0.11,0.0
2017-05-28,6,11.0,,0.11,0.66
2017-05-29,5,11.0,,0.11,0.55
2017-05-30,65,11.0,,0.11,7.15
2017-05-31,43,11.0,,0.11,4.73
2017-06-01,48,14.0,False,0.14,6.720000000000001
2017-06-02,46,14.0,,0.14,6.44
2017-06-03,21,14.0,,0.14,2.9400000000000004
2017-06-04,5,14.0,,0.14,0.7000000000000001
2017-06-05,30,14.0,,0.14,4.2
2017-06-06,42,14.0,,0.14,5.880000000000001
2017-06-07,30,14.0,,0.14,4.2
2017-06-08,47,14.0,,0.14,6.580000000000001
2017-06-09,100,14.0,,0.14,14.000000000000002
2017-06-10,21,14.0,,0.14,2.9400000000000004
2017-06-11,27,14.0,,0.14,3.7800000000000002
2017-06-12,51,14.0,,0.14,7.140000000000001
2017-06-13,38,14.0,,0.14,5.32
2017-06-14,42,14.0,,0.14,5.880000000000001
2017-06-15,58,14.0,,0.14,8.120000000000001
2017-06-16,98,14.0,,0.14,13.72
2017-06-17,10,14.0,,0.14,1.4000000000000001
2017-06-18,0,14.0,,0.14,0.0
2017-06-19,65,14.0,,0.14,9.100000000000001
2017-06-20,65,14.0,,0.14,9.100000000000001
2017-06-21,58,14.0,,0.14,8.120000000000001
2017-06-22,42,14.0,,0.14,5.880000000000001
2017-06-23,46,14.0,,0.14,6.44
2017-06-24,5,14.0,,0.14,0.7000000000000001
2017-06-25,0,14.0,,0.14,0.0
2017-06-26,70,14.0,,0.14,9.8
2017-06-27,49,14.0,,0.14,6.86
2017-06-28,60,14.0,,0.14,8.4
2017-06-29,60,14.0,,0.14,8.4
2017-06-30,70,14.0,,0.14,9.8
2017-07-01,13,12.0,False,0.12,1.56
2017-07-02,0,12.0,,0.12,0.0
2017-07-03,49,12.0,,0.12,5.88
2017-07-04,7,12.0,,0.12,0.84
2017-07-05,65,12.0,,0.12,7.8
2017-07-06,55,12.0,,0.12,6.6
2017-07-07,40,12.0,,0.12,4.8
2017-07-08,19,12.0,,0.12,2.28
2017-07-09,19,12.0,,0.12,2.28
2017-07-10,77,12.0,,0.12,9.24
2017-07-11,89,12.0,,0.12,10.68
2017-07-12,50,12.0,,0.12,6.0
2017-07-13,45,12.0,,0.12,5.3999999999999995
2017-07-14,80,12.0,,0.12,9.6
2017-07-15,52,12.0,,0.12,6.24
2017-07-16,13,12.0,,0.12,1.56
2017-07-17,100,12.0,,0.12,12.0
2017-07-18,89,12.0,,0.12,10.68
2017-07-19,61,12.0,,0.12,7.319999999999999
2017-07-20,71,12.0,,0.12,8.52
2017-07-21,34,12.0,,0.12,4.08
2017-07-22,25,12.0,,0.12,3.0
2017-07-23,6,12.0,,0.12,0.72
2017-07-24,50,12.0,,0.12,6.0
2017-07-25,33,12.0,,0.12,3.96
2017-07-26,55,12.0,,0.12,6.6
2017-07-27,77,12.0,,0.12,9.24
2017-07-28,84,12.0,,0.12,10.08
2017-07-29,0,12.0,,0.12,0.0
2017-07-30,7,12.0,,0.12,0.84
2017-07-31,83,12.0,,0.12,9.959999999999999
2017-08-01,52,13.0,False,0.13,6.76
2017-08-02,40,13.0,,0.13,5.2
2017-08-03,36,13.0,,0.13,4.68
2017-08-04,92,13.0,,0.13,11.96
2017-08-05,6,13.0,,0.13,0.78
2017-08-06,0,13.0,,0.13,0.0
2017-08-07,67,13.0,,0.13,8.71
2017-08-08,100,13.0,,0.13,13.0
2017-08-09,57,13.0,,0.13,7.41
2017-08-10,60,13.0,,0.13,7.800000000000001
2017-08-11,98,13.0,,0.13,12.74
2017-08-12,0,13.0,,0.13,0.0
2017-08-13,12,13.0,,0.13,1.56
2017-08-14,75,13.0,,0.13,9.75
2017-08-15,90,13.0,,0.13,11.700000000000001
2017-08-16,53,13.0,,0.13,6.890000000000001
2017-08-17,85,13.0,,0.13,11.05
2017-08-18,85,13.0,,0.13,11.05
2017-08-19,6,13.0,,0.13,0.78
2017-08-20,0,13.0,,0.13,0.0
2017-08-21,75,13.0,,0.13,9.75
2017-08-22,52,13.0,,0.13,6.76
2017-08-23,42,13.0,,0.13,5.46
2017-08-24,42,13.0,,0.13,5.46
2017-08-25,69,13.0,,0.13,8.97
2017-08-26,0,13.0,,0.13,0.0
2017-08-27,17,13.0,,0.13,2.21
2017-08-28,57,13.0,,0.13,7.41
2017-08-29,46,13.0,,0.13,5.98
2017-08-30,62,13.0,,0.13,8.06
2017-08-31,46,13.0,,0.13,5.98
2017-09-01,85,11.0,False,0.11,9.35
2017-09-02,19,11.0,,0.11,2.09
2017-09-03,13,11.0,,0.11,1.43
2017-09-04,12,11.0,,0.11,1.32
2017-09-05,100,11.0,,0.11,11.0
2017-09-06,41,11.0,,0.11,4.51
2017-09-07,37,11.0,,0.11,4.07
2017-09-08,59,11.0,,0.11,6.49
2017-09-09,6,11.0,,0.11,0.66
2017-09-10,18,11.0,,0.11,1.98
2017-09-11,74,11.0,,0.11,8.14
2017-09-12,70,11.0,,0.11,7.7
2017-09-13,69,11.0,,0.11,7.59
2017-09-14,43,11.0,,0.11,4.73
2017-09-15,27,11.0,,0.11,2.97
2017-09-16,6,11.0,,0.11,0.66
2017-09-17,13,11.0,,0.11,1.43
2017-09-18,42,11.0,,0.11,4.62
2017-09-19,69,11.0,,0.11,7.59
2017-09-20,95,11.0,,0.11,10.45
2017-09-21,59,11.0,,0.11,6.49
2017-09-22,67,11.0,,0.11,7.37
2017-09-23,7,11.0,,0.11,0.77
2017-09-24,13,11.0,,0.11,1.43
2017-09-25,59,11.0,,0.11,6.49
2017-09-26,91,11.0,,0.11,10.01
2017-09-27,22,11.0,,0.11,2.42
2017-09-28,65,11.0,,0.11,7.15
2017-09-29,50,11.0,,0.11,5.5
2017-09-30,7,11.0,,0.11,0.77
2017-10-01,0,10.0,False,0.1,0.0
2017-10-02,64,10.0,,0.1,6.4
2017-10-03,59,10.0,,0.1,5.9
2017-10-04,54,10.0,,0.1,5.4
2017-10-05,79,10.0,,0.1,7.9
2017-10-06,50,10.0,,0.1,5.0
2017-10-07,0,10.0,,0.1,0.0
2017-10-08,7,10.0,,0.1,0.7000000000000001
2017-10-09,48,10.0,,0.1,4.800000000000001
2017-10-10,59,10.0,,0.1,5.9
2017-10-11,54,10.0,,0.1,5.4
2017-10-12,96,10.0,,0.1,9.600000000000001
2017-10-13,74,10.0,,0.1,7.4
2017-10-14,0,10.0,,0.1,0.0
2017-10-15,14,10.0,,0.1,1.4000000000000001
2017-10-16,36,10.0,,0.1,3.6
2017-10-17,36,10.0,,0.1,3.6
2017-10-18,42,10.0,,0.1,4.2
2017-10-19,74,10.0,,0.1,7.4
2017-10-20,44,10.0,,0.1,4.4
2017-10-21,15,10.0,,0.1,1.5
2017-10-22,7,10.0,,0.1,0.7000000000000001
2017-10-23,71,10.0,,0.1,7.1000000000000005
2017-10-24,35,10.0,,0.1,3.5
2017-10-25,48,10.0,,0.1,4.800000000000001
2017-10-26,66,10.0,,0.1,6.6000000000000005
2017-10-27,100,10.0,,0.1,10.0
2017-10-28,44,10.0,,0.1,4.4
2017-10-29,21,10.0,,0.1,2.1
2017-10-30,47,10.0,,0.1,4.7
2017-10-31,43,10.0,,0.1,4.3
2017-11-01,46,11.0,False,0.11,5.06
2017-11-02,51,11.0,,0.11,5.61
2017-11-03,50,11.0,,0.11,5.5
2017-11-04,18,11.0,,0.11,1.98
2017-11-05,22,11.0,,0.11,2.42
2017-11-06,41,11.0,,0.11,4.51
2017-11-07,30,11.0,,0.11,3.3
2017-11-08,26,11.0,,0.11,2.86
2017-11-09,33,11.0,,0.11,3.63
2017-11-10,56,11.0,,0.11,6.16
2017-11-11,4,11.0,,0.11,0.44
2017-11-12,0,11.0,,0.11,0.0
2017-11-13,40,11.0,,0.11,4.4
2017-11-14,37,11.0,,0.11,4.07
2017-11-15,30,11.0,,0.11,3.3
2017-11-16,44,11.0,,0.11,4.84
2017-11-17,27,11.0,,0.11,2.97
2017-11-18,9,11.0,,0.11,0.99
2017-11-19,0,11.0,,0.11,0.0
2017-11-20,49,11.0,,0.11,5.39
2017-11-21,27,11.0,,0.11,2.97
2017-11-22,37,11.0,,0.11,4.07
2017-11-23,18,11.0,,0.11,1.98
2017-11-24,17,11.0,,0.11,1.87
2017-11-25,9,11.0,,0.11,0.99
2017-11-26,4,11.0,,0.11,0.44
2017-11-27,48,11.0,,0.11,5.28
2017-11-28,47,11.0,,0.11,5.17
2017-11-29,51,11.0,,0.11,5.61
2017-11-30,100,11.0,,0.11,11.0
2017-12-01,81,12.0,False,0.12,9.719999999999999
2017-12-02,11,12.0,,0.12,1.3199999999999998
2017-12-03,6,12.0,,0.12,0.72
2017-12-04,79,12.0,,0.12,9.48
2017-12-05,28,12.0,,0.12,3.36
2017-12-06,66,12.0,,0.12,7.92
2017-12-07,66,12.0,,0.12,7.92
2017-12-08,78,12.0,,0.12,9.36
2017-12-09,6,12.0,,0.12,0.72
2017-12-10,17,12.0,,0.12,2.04
2017-12-11,70,12.0,,0.12,8.4
2017-12-12,37,12.0,,0.12,4.4399999999999995
2017-12-13,47,12.0,,0.12,5.64
2017-12-14,68,12.0,,0.12,8.16
2017-12-15,100,12.0,,0.12,12.0
2017-12-16,35,12.0,,0.12,4.2
2017-12-17,6,12.0,,0.12,0.72
2017-12-18,49,12.0,,0.12,5.88
2017-12-19,79,12.0,,0.12,9.48
2017-12-20,97,12.0,,0.12,11.639999999999999
2017-12-21,89,12.0,,0.12,10.68
2017-12-22,60,12.0,,0.12,7.199999999999999
2017-12-23,12,12.0,,0.12,1.44
2017-12-24,0,12.0,,0.12,0.0
2017-12-25,0,12.0,,0.12,0.0
2017-12-26,28,12.0,,0.12,3.36
2017-12-27,43,12.0,,0.12,5.16
2017-12-28,48,12.0,,0.12,5.76
2017-12-29,59,12.0,,0.12,7.08
2017-12-30,12,12.0,,0.12,1.44
2017-12-31,17,12.0,,0.12,2.04
