date,AAPL_unscaled,AAPL_monthly,isPartial,scale,AAPL
2016-06-14,48,34.0,,0.34,16.32
2016-06-15,47,34.0,,0.34,15.98
2016-06-16,48,34.0,,0.34,16.32
2016-06-17,52,34.0,,0.34,17.68
2016-06-18,13,34.0,,0.34,4.42
2016-06-19,7,34.0,,0.34,2.3800000000000003
2016-06-20,49,34.0,,0.34,16.66
2016-06-21,46,34.0,,0.34,15.64
2016-06-22,42,34.0,,0.34,14.280000000000001
2016-06-23,49,34.0,,0.34,16.66
2016-06-24,100,34.0,,0.34,34.0
2016-06-25,20,34.0,,0.34,6.800000000000001
2016-06-26,8,34.0,,0.34,2.72
2016-06-27,70,34.0,,0.34,23.8
2016-06-28,60,34.0,,0.34,20.400000000000002
2016-06-29,59,34.0,,0.34,20.060000000000002
2016-06-30,53,34.0,,0.34,18.02
2016-07-01,27,37.0,False,0.37,9.99
2016-07-02,6,37.0,,0.37,2.2199999999999998
2016-07-03,4,37.0,,0.37,1.48
2016-07-04,5,37.0,,0.37,1.85
2016-07-05,24,37.0,,0.37,8.879999999999999
2016-07-06,26,37.0,,0.37,9.62
2016-07-07,23,37.0,,0.37,8.51
2016-07-08,27,37.0,,0.37,9.99
2016-07-09,7,37.0,,0.37,2.59
2016-07-10,4,37.0,,0.37,1.48
2016-07-11,29,37.0,,0.37,10.73
2016-07-12,28,37.0,,0.37,10.36
2016-07-13,24,37.0,,0.37,8.879999999999999
2016-07-14,27,37.0,,0.37,9.99
2016-07-15,27,37.0,,0.37,9.99
2016-07-16,5,37.0,,0.37,1.85
2016-07-17,4,37.0,,0.37,1.48
2016-07-18,30,37.0,,0.37,11.1
2016-07-19,28,37.0,,0.37,10.36
2016-07-20,32,37.0,,0.37,11.84
2016-07-21,30,37.0,,0.37,11.1
2016-07-22,31,37.0,,0.37,11.47
2016-07-23,7,37.0,,0.37,2.59
2016-07-24,6,37.0,,0.37,2.2199999999999998
2016-07-25,33,37.0,,0.37,12.209999999999999
2016-07-26,85,37.0,,0.37,31.45
2016-07-27,100,37.0,,0.37,37.0
2016-07-28,52,37.0,,0.37,19.24
2016-07-29,37,37.0,,0.37,13.69
2016-07-30,10,37.0,,0.37,3.7
2016-07-31,5,37.0,,0.37,1.85
2016-08-01,72,32.0,False,0.32,23.04
2016-08-02,79,32.0,,0.32,25.28
2016-08-03,70,32.0,,0.32,22.400000000000002
2016-08-04,68,32.0,,0.32,21.76
2016-08-05,75,32.0,,0.32,24.0
2016-08-06,22,32.0,,0.32,7.04
2016-08-07,14,32.0,,0.32,4.48
2016-08-08,76,32.0,,0.32,24.32
2016-08-09,80,32.0,,0.32,25.6
2016-08-10,73,32.0,,0.32,23.36
2016-08-11,66,32.0,,0.32,21.12
2016-08-12,62,32.0,,0.32,19.84
2016-08-13,12,32.0,,0.32,3.84
2016-08-14,8,32.0,,0.32,2.56
2016-08-15,70,32.0,,0.32,22.400000000000002
2016-08-16,77,32.0,,0.32,24.64
2016-08-17,67,32.0,,0.32,21.44
2016-08-18,54,32.0,,0.32,17.28
2016-08-19,49,32.0,,0.32,15.68
2016-08-20,20,32.0,,0.32,6.4
2016-08-21,12,32.0,,0.32,3.84
2016-08-22,57,32.0,,0.32,18.240000000000002
2016-08-23,62,32.0,,0.32,19.84
2016-08-24,57,32.0,,0.32,18.240000000000002
2016-08-25,54,32.0,,0.32,17.28
2016-08-26,50,32.0,,0.32,16.0
2016-08-27,11,32.0,,0.32,3.52
2016-08-28,11,32.0,,0.32,3.52
2016-08-29,57,32.0,,0.32,18.240000000000002
2016-08-30,100,32.0,,0.32,32.0
2016-08-31,53,32.0,,0.32,16.96
2016-09-01,37,38.0,False,0.38,14.06
2016-09-02,42,38.0,,0.38,15.96
2016-09-03,8,38.0,,0.38,3.04
2016-09-04,5,38.0,,0.38,1.9
2016-09-05,9,38.0,,0.38,3.42
2016-09-06,42,38.0,,0.38,15.96
2016-09-07,100,38.0,,0.38,38.0
2016-09-08,79,38.0,,0.38,30.02
2016-09-09,63,38.0,,0.38,23.94
2016-09-10,17,38.0,,0.38,6.46
2016-09-11,9,38.0,,0.38,3.42
2016-09-12,50,38.0,,0.38,19.0
2016-09-13,68,38.0,,0.38,25.84
2016-09-14,83,38.0,,0.38,31.54
2016-09-15,95,38.0,,0.38,36.1
2016-09-16,85,38.0,,0.38,32.3
2016-09-17,20,38.0,,0.38,7.6
2016-09-18,10,38.0,,0.38,3.8
2016-09-19,57,38.0,,0.38,21.66
2016-09-20,48,38.0,,0.38,18.240000000000002
2016-09-21,53,38.0,,0.38,20.14
2016-09-22,50,38.0,,0.38,19.0
2016-09-23,56,38.0,,0.38,21.28
2016-09-24,13,38.0,,0.38,4.94
2016-09-25,9,38.0,,0.38,3.42
2016-09-26,49,38.0,,0.38,18.62
2016-09-27,48,38.0,,0.38,18.240000000000002
2016-09-28,45,38.0,,0.38,17.1
2016-09-29,46,38.0,,0.38,17.48
2016-09-30,39,38.0,,0.38,14.82
2016-10-01,6,34.0,False,0.34,2.04
2016-10-02,6,34.0,,0.34,2.04
2016-10-03,28,34.0,,0.34,9.520000000000001
2016-10-04,29,34.0,,0.34,9.860000000000001
2016-10-05,30,34.0,,0.34,10.200000000000001
2016-10-06,33,34.0,,0.34,11.22
2016-10-07,25,34.0,,0.34,8.5
2016-10-08,6,34.0,,0.34,2.04
2016-10-09,5,34.0,,0.34,1.7000000000000002
2016-10-10,36,34.0,,0.34,12.24
2016-10-11,53,34.0,,0.34,18.02
2016-10-12,45,34.0,,0.34,15.3
2016-10-13,41,34.0,,0.34,13.940000000000001
2016-10-14,31,34.0,,0.34,10.540000000000001
2016-10-15,8,34.0,,0.34,2.72
2016-10-16,6,34.0,,0.34,2.04
2016-10-17,33,34.0,,0.34,11.22
2016-10-18,33,34.0,,0.34,11.22
2016-10-19,36,34.0,,0.34,12.24
2016-10-20,30,34.0,,0.34,10.200000000000001
2016-10-21,28,34.0,,0.34,9.520000000000001
2016-10-22,7,34.0,,0.34,2.3800000000000003
2016-10-23,5,34.0,,0.34,1.7000000000000002
2016-10-24,34,34.0,,0.34,11.56
2016-10-25,100,34.0,,0.34,34.0
2016-10-26,91,34.0,,0.34,30.94
2016-10-27,55,34.0,,0.34,18.700000000000003
2016-10-28,46,34.0,,0.34,15.64
2016-10-29,9,34.0,,0.34,3.06
2016-10-30,6,34.0,,0.34,2.04
2016-10-31,32,34.0,,0.34,10.88
2016-11-01,60,26.0,False,0.26,15.600000000000001
2016-11-02,57,26.0,,0.26,14.82
2016-11-03,51,26.0,,0.26,13.26
2016-11-04,51,26.0,,0.26,13.26
2016-11-05,13,26.0,,0.26,3.38
2016-11-06,9,26.0,,0.26,2.34
2016-11-07,58,26.0,,0.26,15.08
2016-11-08,51,26.0,,0.26,13.26
2016-11-09,100,26.0,,0.26,26.0
2016-11-10,82,26.0,,0.26,21.32
2016-11-11,59,26.0,,0.26,15.34
2016-11-12,13,26.0,,0.26,3.38
2016-11-13,9,26.0,,0.26,2.34
2016-11-14,69,26.0,,0.26,17.94
2016-11-15,66,26.0,,0.26,17.16
2016-11-16,63,26.0,,0.26,16.38
2016-11-17,59,26.0,,0.26,15.34
2016-11-18,52,26.0,,0.26,13.52
2016-11-19,14,26.0,,0.26,3.64
2016-11-20,11,26.0,,0.26,2.8600000000000003
2016-11-21,48,26.0,,0.26,12.48
2016-11-22,59,26.0,,0.26,15.34
2016-11-23,47,26.0,,0.26,12.22
2016-11-24,14,26.0,,0.26,3.64
2016-11-25,36,26.0,,0.26,9.36
2016-11-26,10,26.0,,0.26,2.6
2016-11-27,11,26.0,,0.26,2.8600000000000003
2016-11-28,38,26.0,,0.26,9.88
2016-11-29,49,26.0,,0.26,12.74
2016-11-30,45,26.0,,0.26,11.700000000000001
2016-12-01,67,20.0,False,0.2,13.4
2016-12-02,63,20.0,,0.2,12.600000000000001
2016-12-03,17,20.0,,0.2,3.4000000000000004
2016-12-04,15,20.0,,0.2,3.0
2016-12-05,66,20.0,,0.2,13.200000000000001
2016-12-06,69,20.0,,0.2,13.8
2016-12-07,82,20.0,,0.2,16.400000000000002
2016-12-08,86,20.0,,0.2,17.2
2016-12-09,85,20.0,,0.2,17.0
2016-12-10,23,20.0,,0.2,4.6000000000000005
2016-12-11,16,20.0,,0.2,3.2
2016-12-12,84,20.0,,0.2,16.8
2016-12-13,95,20.0,,0.2,19.0
2016-12-14,100,20.0,,0.2,20.0
2016-12-15,95,20.0,,0.2,19.0
2016-12-16,83,20.0,,0.2,16.6
2016-12-17,23,20.0,,0.2,4.6000000000000005
2016-12-18,12,20.0,,0.2,2.4000000000000004
2016-12-19,80,20.0,,0.2,16.0
2016-12-20,81,20.0,,0.2,16.2
2016-12-21,76,20.0,,0.2,15.200000000000001
2016-12-22,71,20.0,,0.2,14.200000000000001
2016-12-23,56,20.0,,0.2,11.200000000000001
2016-12-24,20,20.0,,0.2,4.0
2016-12-25,9,20.0,,0.2,1.8
2016-12-26,26,20.0,,0.2,5.2
2016-12-27,72,20.0,,0.2,14.4
2016-12-28,66,20.0,,0.2,13.200000000000001
2016-12-29,61,20.0,,0.2,12.200000000000001
2016-12-30,61,20.0,,0.2,12.200000000000001
2016-12-31,25,20.0,,0.2,5.0
2017-01-01,3,26.0,False,0.26,0.78
2017-01-02,8,26.0,,0.26,2.08
2017-01-03,22,26.0,,0.26,5.720000000000001
2017-01-04,22,26.0,,0.26,5.720000000000001
2017-01-05,23,26.0,,0.26,5.98
2017-01-06,27,26.0,,0.26,7.0200000000000005
2017-01-07,7,26.0,,0.26,1.82
2017-01-08,5,26.0,,0.26,1.3
2017-01-09,26,26.0,,0.26,6.76
2017-01-10,29,26.0,,0.26,7.54
2017-01-11,25,26.0,,0.26,6.5
2017-01-12,25,26.0,,0.26,6.5
2017-01-13,21,26.0,,0.26,5.46
2017-01-14,6,26.0,,0.26,1.56
2017-01-15,4,26.0,,0.26,1.04
2017-01-16,9,26.0,,0.26,2.34
2017-01-17,23,26.0,,0.26,5.98
2017-01-18,28,26.0,,0.26,7.28
2017-01-19,23,26.0,,0.26,5.98
2017-01-20,23,26.0,,0.26,5.98
2017-01-21,5,26.0,,0.26,1.3
2017-01-22,4,26.0,,0.26,1.04
2017-01-23,25,26.0,,0.26,6.5
2017-01-24,25,26.0,,0.26,6.5
2017-01-25,31,26.0,,0.26,8.06
2017-01-26,29,26.0,,0.26,7.54
2017-01-27,25,26.0,,0.26,6.5
2017-01-28,11,26.0,,0.26,2.8600000000000003
2017-01-29,6,26.0,,0.26,1.56
2017-01-30,32,26.0,,0.26,8.32
2017-01-31,100,26.0,,0.26,26.0
2017-02-01,100,36.0,False,0.36,36.0
2017-02-02,46,36.0,,0.36,16.56
2017-02-03,32,36.0,,0.36,11.52
2017-02-04,9,36.0,,0.36,3.2399999999999998
2017-02-05,5,36.0,,0.36,1.7999999999999998
2017-02-06,25,36.0,,0.36,9.0
2017-02-07,30,36.0,,0.36,10.799999999999999
2017-02-08,29,36.0,,0.36,10.44
2017-02-09,28,36.0,,0.36,10.08
2017-02-10,27,36.0,,0.36,9.719999999999999
2017-02-11,8,36.0,,0.36,2.88
2017-02-12,5,36.0,,0.36,1.7999999999999998
2017-02-13,32,36.0,,0.36,11.52
2017-02-14,38,36.0,,0.36,13.68
2017-02-15,38,36.0,,0.36,13.68
2017-02-16,32,36.0,,0.36,11.52
2017-02-17,27,36.0,,0.36,9.719999999999999
2017-02-18,7,36.0,,0.36,2.52
2017-02-19,4,36.0,,0.36,1.44
2017-02-20,11,36.0,,0.36,3.96
2017-02-21,28,36.0,,0.36,10.08
2017-02-22,27,36.0,,0.36,9.719999999999999
2017-02-23,26,36.0,,0.36,9.36
2017-02-24,26,36.0,,0.36,9.36
2017-02-25,8,36.0,,0.36,2.88
2017-02-26,4,36.0,,0.36,1.44
2017-02-27,23,36.0,,0.36,8.28
2017-02-28,26,36.0,,0.36,9.36
2017-03-01,100,28.0,False,0.28,28.000000000000004
2017-03-02,88,28.0,,0.28,24.64
2017-03-03,76,28.0,,0.28,21.28
2017-03-04,14,28.0,,0.28,3.9200000000000004
2017-03-05,9,28.0,,0.28,2.5200000000000005
2017-03-06,64,28.0,,0.28,17.92
2017-03-07,61,28.0,,0.28,17.080000000000002
2017-03-08,58,28.0,,0.28,16.240000000000002
2017-03-09,58,28.0,,0.28,16.240000000000002
2017-03-10,61,28.0,,0.28,17.080000000000002
2017-03-11,16,28.0,,0.28,4.48
2017-03-12,9,28.0,,0.28,2.5200000000000005
2017-03-13,51,28.0,,0.28,14.280000000000001
2017-03-14,57,28.0,,0.28,15.96
2017-03-15,70,28.0,,0.28,19.6
2017-03-16,56,28.0,,0.28,15.680000000000001
2017-03-17,56,28.0,,0.28,15.680000000000001
2017-03-18,13,28.0,,0.28,3.6400000000000006
2017-03-19,10,28.0,,0.28,2.8000000000000003
2017-03-20,67,28.0,,0.28,18.76
2017-03-21,87,28.0,,0.28,24.360000000000003
2017-03-22,71,28.0,,0.28,19.880000000000003
2017-03-23,64,28.0,,0.28,17.92
2017-03-24,59,28.0,,0.28,16.520000000000003
2017-03-25,14,28.0,,0.28,3.9200000000000004
2017-03-26,12,28.0,,0.28,3.3600000000000003
2017-03-27,62,28.0,,0.28,17.360000000000003
2017-03-28,75,28.0,,0.28,21.000000000000004
2017-03-29,77,28.0,,0.28,21.560000000000002
2017-03-30,70,28.0,,0.28,19.6
2017-03-31,59,28.0,,0.28,16.520000000000003
2017-04-01,22,21.0,False,0.21,4.62
2017-04-02,14,21.0,,0.21,2.94
2017-04-03,81,21.0,,0.21,17.009999999999998
2017-04-04,84,21.0,,0.21,17.64
2017-04-05,95,21.0,,0.21,19.95
2017-04-06,81,21.0,,0.21,17.009999999999998
2017-04-07,82,21.0,,0.21,17.22
2017-04-08,24,21.0,,0.21,5.04
2017-04-09,9,21.0,,0.21,1.89
2017-04-10,70,21.0,,0.21,14.7
2017-04-11,81,21.0,,0.21,17.009999999999998
2017-04-12,69,21.0,,0.21,14.49
2017-04-13,71,21.0,,0.21,14.91
2017-04-14,47,21.0,,0.21,9.87
2017-04-15,15,21.0,,0.21,3.15
2017-04-16,13,21.0,,0.21,2.73
2017-04-17,81,21.0,,0.21,17.009999999999998
2017-04-18,74,21.0,,0.21,15.54
2017-04-19,68,21.0,,0.21,14.28
2017-04-20,79,21.0,,0.21,16.59
2017-04-21,77,21.0,,0.21,16.169999999999998
2017-04-22,18,21.0,,0.21,3.78
2017-04-23,10,21.0,,0.21,2.1
2017-04-24,85,21.0,,0.21,17.849999999999998
2017-04-25,100,21.0,,0.21,21.0
2017-04-26,83,21.0,,0.21,17.43
2017-04-27,87,21.0,,0.21,18.27
2017-04-28,84,21.0,,0.21,17.64
2017-04-29,21,21.0,,0.21,4.41
2017-04-30,23,21.0,,0.21,4.83
2017-05-01,39,39.0,False,0.39,15.21
2017-05-02,100,39.0,,0.39,39.0
2017-05-03,79,39.0,,0.39,30.810000000000002
2017-05-04,40,39.0,,0.39,15.600000000000001
2017-05-05,37,39.0,,0.39,14.43
2017-05-06,10,39.0,,0.39,3.9000000000000004
2017-05-07,7,39.0,,0.39,2.73
2017-05-08,49,39.0,,0.39,19.11
2017-05-09,50,39.0,,0.39,19.5
2017-05-10,41,39.0,,0.39,15.99
2017-05-11,33,39.0,,0.39,12.870000000000001
2017-05-12,39,39.0,,0.39,15.21
2017-05-13,12,39.0,,0.39,4.68
2017-05-14,7,39.0,,0.39,2.73
2017-05-15,35,39.0,,0.39,13.65
2017-05-16,33,39.0,,0.39,12.870000000000001
2017-05-17,42,39.0,,0.39,16.38
2017-05-18,36,39.0,,0.39,14.040000000000001
2017-05-19,33,39.0,,0.39,12.870000000000001
2017-05-20,9,39.0,,0.39,3.5100000000000002
2017-05-21,6,39.0,,0.39,2.34
2017-05-22,31,39.0,,0.39,12.09
2017-05-23,28,39.0,,0.39,10.92
2017-05-24,29,39.0,,0.39,11.31
2017-05-25,28,39.0,,0.39,10.92
2017-05-26,26,39.0,,0.39,10.14
2017-05-27,8,39.0,,0.39,3.12
2017-05-28,5,39.0,,0.39,1.9500000000000002
2017-05-29,4,39.0,,0.39,1.56
2017-05-30,26,39.0,,0.39,10.14
2017-05-31,23,39.0,,0.39,8.97
2017-06-01,47,31.0,False,0.31,14.57
2017-06-02,57,31.0,,0.31,17.669999999999998
2017-06-03,16,31.0,,0.31,4.96
2017-06-04,10,31.0,,0.31,3.1
2017-06-05,95,31.0,,0.31,29.45
2017-06-06,79,31.0,,0.31,24.49
2017-06-07,58,31.0,,0.31,17.98
2017-06-08,57,31.0,,0.31,17.669999999999998
2017-06-09,78,31.0,,0.31,24.18
2017-06-10,26,31.0,,0.31,8.06
2017-06-11,14,31.0,,0.31,4.34
2017-06-12,100,31.0,,0.31,31.0
2017-06-13,84,31.0,,0.31,26.04
2017-06-14,73,31.0,,0.31,22.63
2017-06-15,69,31.0,,0.31,21.39
2017-06-16,66,31.0,,0.31,20.46
2017-06-17,17,31.0,,0.31,5.27
2017-06-18,6,31.0,,0.31,1.8599999999999999
2017-06-19,78,31.0,,0.31,24.18
2017-06-20,63,31.0,,0.31,19.53
2017-06-21,49,31.0,,0.31,15.19
2017-06-22,55,31.0,,0.31,17.05
2017-06-23,45,31.0,,0.31,13.95
2017-06-24,10,31.0,,0.31,3.1
2017-06-25,9,31.0,,0.31,2.79
2017-06-26,50,31.0,,0.31,15.5
2017-06-27,53,31.0,,0.31,16.43
2017-06-28,57,31.0,,0.31,17.669999999999998
2017-06-29,57,31.0,,0.31,17.669999999999998
2017-06-30,47,31.0,,0.31,14.57
2017-07-01,16,24.0,False,0.24,3.84
2017-07-02,13,24.0,,0.24,3.12
2017-07-03,66,24.0,,0.24,15.84
2017-07-04,47,24.0,,0.24,11.28
2017-07-05,67,24.0,,0.24,16.08
2017-07-06,65,24.0,,0.24,15.6
2017-07-07,55,24.0,,0.24,13.2
2017-07-08,14,24.0,,0.24,3.36
2017-07-09,16,24.0,,0.24,3.84
2017-07-10,64,24.0,,0.24,15.36
2017-07-11,62,24.0,,0.24,14.879999999999999
2017-07-12,69,24.0,,0.24,16.56
2017-07-13,67,24.0,,0.24,16.08
2017-07-14,62,24.0,,0.24,14.879999999999999
2017-07-15,20,24.0,,0.24,4.8
2017-07-16,10,24.0,,0.24,2.4
2017-07-17,72,24.0,,0.24,17.28
2017-07-18,73,24.0,,0.24,17.52
2017-07-19,79,24.0,,0.24,18.96
2017-07-20,66,24.0,,0.24,15.84
2017-07-21,62,24.0,,0.24,14.879999999999999
2017-07-22,14,24.0,,0.24,3.36
2017-07-23,9,24.0,,0.24,2.16
2017-07-24,68,24.0,,0.24,16.32
2017-07-25,92,24.0,,0.24,22.08
2017-07-26,77,24.0,,0.24,18.48
2017-07-27,100,24.0,,0.24,24.0
2017-07-28,78,24.0,,0.24,18.72
2017-07-29,19,24.0,,0.24,4.56
2017-07-30,13,24.0,,0.24,3.12
2017-07-31,86,24.0,,0.24,20.64
2017-08-01,86,38.0,False,0.38,32.68
2017-08-02,100,38.0,,0.38,38.0
2017-08-03,42,38.0,,0.38,15.96
2017-08-04,34,38.0,,0.38,12.92
2017-08-05,8,38.0,,0.38,3.04
2017-08-06,5,38.0,,0.38,1.9
2017-08-07,31,38.0,,0.38,11.78
2017-08-08,36,38.0,,0.38,13.68
2017-08-09,31,38.0,,0.38,11.78
2017-08-10,34,38.0,,0.38,12.92
2017-08-11,33,38.0,,0.38,12.540000000000001
2017-08-12,6,38.0,,0.38,2.2800000000000002
2017-08-13,4,38.0,,0.38,1.52
2017-08-14,29,38.0,,0.38,11.02
2017-08-15,34,38.0,,0.38,12.92
2017-08-16,34,38.0,,0.38,12.92
2017-08-17,30,38.0,,0.38,11.4
2017-08-18,26,38.0,,0.38,9.88
2017-08-19,6,38.0,,0.38,2.2800000000000002
2017-08-20,3,38.0,,0.38,1.1400000000000001
2017-08-21,21,38.0,,0.38,7.98
2017-08-22,24,38.0,,0.38,9.120000000000001
2017-08-23,24,38.0,,0.38,9.120000000000001
2017-08-24,23,38.0,,0.38,8.74
2017-08-25,21,38.0,,0.38,7.98
2017-08-26,6,38.0,,0.38,2.2800000000000002
2017-08-27,3,38.0,,0.38,1.1400000000000001
2017-08-28,27,38.0,,0.38,10.26
2017-08-29,31,38.0,,0.38,11.78
2017-08-30,29,38.0,,0.38,11.02
2017-08-31,32,38.0,,0.38,12.16
2017-09-01,30,32.0,False,0.32,9.6
2017-09-02,8,32.0,,0.32,2.56
2017-09-03,5,32.0,,0.32,1.6
2017-09-04,6,32.0,,0.32,1.92
2017-09-05,30,32.0,,0.32,9.6
2017-09-06,29,32.0,,0.32,9.28
2017-09-07,27,32.0,,0.32,8.64
2017-09-08,25,32.0,,0.32,8.0
2017-09-09,6,32.0,,0.32,1.92
2017-09-10,4,32.0,,0.32,1.28
2017-09-11,35,32.0,,0.32,11.200000000000001
2017-09-12,100,32.0,,0.32,32.0
2017-09-13,61,32.0,,0.32,19.52
2017-09-14,42,32.0,,0.32,13.44
2017-09-15,36,32.0,,0.32,11.52
2017-09-16,9,32.0,,0.32,2.88
2017-09-17,7,32.0,,0.32,2.24
2017-09-18,33,32.0,,0.32,10.56
2017-09-19,30,32.0,,0.32,9.6
2017-09-20,38,32.0,,0.32,12.16
2017-09-21,32,32.0,,0.32,10.24
2017-09-22,40,32.0,,0.32,12.8
2017-09-23,11,32.0,,0.32,3.52
2017-09-24,6,32.0,,0.32,1.92
2017-09-25,41,32.0,,0.32,13.120000000000001
2017-09-26,38,32.0,,0.32,12.16
2017-09-27,35,32.0,,0.32,11.200000000000001
2017-09-28,31,32.0,,0.32,9.92
2017-09-29,25,32.0,,0.32,8.0
2017-09-30,7,32.0,,0.32,2.24
2017-10-01,9,27.0,False,0.27,2.43
2017-10-02,48,27.0,,0.27,12.96
2017-10-03,51,27.0,,0.27,13.770000000000001
2017-10-04,48,27.0,,0.27,12.96
2017-10-05,58,27.0,,0.27,15.66
2017-10-06,41,27.0,,0.27,11.07
2017-10-07,12,27.0,,0.27,3.24
2017-10-08,8,27.0,,0.27,2.16
2017-10-09,50,27.0,,0.27,13.5
2017-10-10,54,27.0,,0.27,14.580000000000002
2017-10-11,49,27.0,,0.27,13.23
2017-10-12,48,27.0,,0.27,12.96
2017-10-13,46,27.0,,0.27,12.420000000000002
2017-10-14,13,27.0,,0.27,3.5100000000000002
2017-10-15,6,27.0,,0.27,1.62
2017-10-16,55,27.0,,0.27,14.850000000000001
2017-10-17,60,27.0,,0.27,16.200000000000003
2017-10-18,59,27.0,,0.27,15.930000000000001
2017-10-19,71,27.0,,0.27,19.17
2017-10-20,61,27.0,,0.27,16.470000000000002
2017-10-21,13,27.0,,0.27,3.5100000000000002
2017-10-22,4,27.0,,0.27,1.08
2017-10-23,56,27.0,,0.27,15.120000000000001
2017-10-24,56,27.0,,0.27,15.120000000000001
2017-10-25,53,27.0,,0.27,14.31
2017-10-26,59,27.0,,0.27,15.930000000000001
2017-10-27,100,27.0,,0.27,27.0
2017-10-28,25,27.0,,0.27,6.75
2017-10-29,13,27.0,,0.27,3.5100000000000002
2017-10-30,93,27.0,,0.27,25.110000000000003
2017-10-31,95,27.0,,0.27,25.650000000000002
2017-11-01,53,37.0,False,0.37,19.61
2017-11-02,96,37.0,,0.37,35.519999999999996
2017-11-03,100,37.0,,0.37,37.0
2017-11-04,17,37.0,,0.37,6.29
2017-11-05,9,37.0,,0.37,3.33
2017-11-06,48,37.0,,0.37,17.759999999999998
2017-11-07,47,37.0,,0.37,17.39
2017-11-08,41,37.0,,0.37,15.17
2017-11-09,41,37.0,,0.37,15.17
2017-11-10,34,37.0,,0.37,12.58
2017-11-11,10,37.0,,0.37,3.7
2017-11-12,5,37.0,,0.37,1.85
2017-11-13,30,37.0,,0.37,11.1
2017-11-14,30,37.0,,0.37,11.1
2017-11-15,33,37.0,,0.37,12.209999999999999
2017-11-16,34,37.0,,0.37,12.58
2017-11-17,30,37.0,,0.37,11.1
2017-11-18,6,37.0,,0.37,2.2199999999999998
2017-11-19,4,37.0,,0.37,1.48
2017-11-20,28,37.0,,0.37,10.36
2017-11-21,30,37.0,,0.37,11.1
2017-11-22,31,37.0,,0.37,11.47
2017-11-23,10,37.0,,0.37,3.7
2017-11-24,17,37.0,,0.37,6.29
2017-11-25,10,37.0,,0.37,3.7
2017-11-26,6,37.0,,0.37,2.2199999999999998
2017-11-27,25,37.0,,0.37,9.25
2017-11-28,30,37.0,,0.37,11.1
2017-11-29,40,37.0,,0.37,14.8
2017-11-30,39,37.0,,0.37,14.43
2017-12-01,90,25.0,False,0.25,22.5
2017-12-02,28,25.0,,0.25,7.0
2017-12-03,14,25.0,,0.25,3.5
2017-12-04,99,25.0,,0.25,24.75
2017-12-05,82,25.0,,0.25,20.5
2017-12-06,76,25.0,,0.25,19.0
2017-12-07,85,25.0,,0.25,21.25
2017-12-08,81,25.0,,0.25,20.25
2017-12-09,24,25.0,,0.25,6.0
2017-12-10,13,25.0,,0.25,3.25
2017-12-11,76,25.0,,0.25,19.0
2017-12-12,72,25.0,,0.25,18.0
2017-12-13,69,25.0,,0.25,17.25
2017-12-14,72,25.0,,0.25,18.0
2017-12-15,71,25.0,,0.25,17.75
2017-12-16,23,25.0,,0.25,5.75
2017-12-17,15,25.0,,0.25,3.75
2017-12-18,81,25.0,,0.25,20.25
2017-12-19,91,25.0,,0.25,22.75
2017-12-20,79,25.0,,0.25,19.75
2017-12-21,99,25.0,,0.25,24.75
2017-12-22,78,25.0,,0.25,19.5
2017-12-23,25,25.0,,0.25,6.25
