date,DOW_unscaled,DOW_monthly,isPartial,scale,DOW
2016-07-03,16,7.0,,0.07,1.12
2016-07-04,20,7.0,,0.07,1.4000000000000001
2016-07-05,84,7.0,,0.07,5.880000000000001
2016-07-06,85,7.0,,0.07,5.95
2016-07-07,77,7.0,,0.07,5.390000000000001
2016-07-08,85,7.0,,0.07,5.95
2016-07-09,24,7.0,,0.07,1.6800000000000002
2016-07-10,15,7.0,,0.07,1.05
2016-07-11,84,7.0,,0.07,5.880000000000001
2016-07-12,91,7.0,,0.07,6.370000000000001
2016-07-13,91,7.0,,0.07,6.370000000000001
2016-07-14,86,7.0,,0.07,6.0200000000000005
2016-07-15,88,7.0,,0.07,6.16
2016-07-16,23,7.0,,0.07,1.61
2016-07-17,18,7.0,,0.07,1.2600000000000002
2016-07-18,74,7.0,,0.07,5.180000000000001
2016-07-19,79,7.0,,0.07,5.53
2016-07-20,76,7.0,,0.07,5.32
2016-07-21,77,7.0,,0.07,5.390000000000001
2016-07-22,71,7.0,,0.07,4.970000000000001
2016-07-23,17,7.0,,0.07,1.1900000000000002
2016-07-24,15,7.0,,0.07,1.05
2016-07-25,65,7.0,,0.07,4.550000000000001
2016-07-26,68,7.0,,0.07,4.760000000000001
2016-07-27,67,7.0,,0.07,4.69
2016-07-28,66,7.0,,0.07,4.62
2016-07-29,57,7.0,,0.07,3.99
2016-07-30,18,7.0,,0.07,1.2600000000000002
2016-07-31,16,7.0,,0.07,1.12
2016-08-01,83,6.0,False,0.06,4.9799999999999995
2016-08-02,100,6.0,,0.06,6.0
2016-08-03,95,6.0,,0.06,5.7
2016-08-04,93,6.0,,0.06,5.58
2016-08-05,98,6.0,,0.06,5.88
2016-08-06,25,6.0,,0.06,1.5
2016-08-07,23,6.0,,0.06,1.38
2016-08-08,92,6.0,,0.06,5.52
2016-08-09,91,6.0,,0.06,5.46
2016-08-10,86,6.0,,0.06,5.16
2016-08-11,98,6.0,,0.06,5.88
2016-08-12,88,6.0,,0.06,5.279999999999999
2016-08-13,24,6.0,,0.06,1.44
2016-08-14,18,6.0,,0.06,1.08
2016-08-15,84,6.0,,0.06,5.04
2016-08-16,89,6.0,,0.06,5.34
2016-08-17,85,6.0,,0.06,5.1
2016-08-18,93,6.0,,0.06,5.58
2016-08-19,75,6.0,,0.06,4.5
2016-08-20,23,6.0,,0.06,1.38
2016-08-21,18,6.0,,0.06,1.08
2016-08-22,76,6.0,,0.06,4.56
2016-08-23,82,6.0,,0.06,4.92
2016-08-24,80,6.0,,0.06,4.8
2016-08-25,83,6.0,,0.06,4.9799999999999995
2016-08-26,87,6.0,,0.06,5.22
2016-08-27,24,6.0,,0.06,1.44
2016-08-28,22,6.0,,0.06,1.3199999999999998
2016-08-29,76,6.0,,0.06,4.56
2016-08-30,81,6.0,,0.06,4.859999999999999
2016-08-31,78,6.0,,0.06,4.68
2016-09-01,70,6.0,False,0.06,4.2
2016-09-02,61,6.0,,0.06,3.6599999999999997
2016-09-03,21,6.0,,0.06,1.26
2016-09-04,16,6.0,,0.06,0.96
2016-09-05,23,6.0,,0.06,1.38
2016-09-06,69,6.0,,0.06,4.14
2016-09-07,67,6.0,,0.06,4.02
2016-09-08,68,6.0,,0.06,4.08
2016-09-09,88,6.0,,0.06,5.279999999999999
2016-09-10,34,6.0,,0.06,2.04
2016-09-11,23,6.0,,0.06,1.38
2016-09-12,95,6.0,,0.06,5.7
2016-09-13,100,6.0,,0.06,6.0
2016-09-14,98,6.0,,0.06,5.88
2016-09-15,83,6.0,,0.06,4.9799999999999995
2016-09-16,80,6.0,,0.06,4.8
2016-09-17,24,6.0,,0.06,1.44
2016-09-18,16,6.0,,0.06,0.96
2016-09-19,68,6.0,,0.06,4.08
2016-09-20,78,6.0,,0.06,4.68
2016-09-21,74,6.0,,0.06,4.4399999999999995
2016-09-22,78,6.0,,0.06,4.68
2016-09-23,73,6.0,,0.06,4.38
2016-09-24,22,6.0,,0.06,1.3199999999999998
2016-09-25,21,6.0,,0.06,1.26
2016-09-26,70,6.0,,0.06,4.2
2016-09-27,80,6.0,,0.06,4.8
2016-09-28,72,6.0,,0.06,4.32
2016-09-29,76,6.0,,0.06,4.56
2016-09-30,80,6.0,,0.06,4.8
2016-10-01,28,5.0,False,0.05,1.4000000000000001
2016-10-02,21,5.0,,0.05,1.05
2016-10-03,89,5.0,,0.05,4.45
2016-10-04,94,5.0,,0.05,4.7
2016-10-05,91,5.0,,0.05,4.55
2016-10-06,89,5.0,,0.05,4.45
2016-10-07,78,5.0,,0.05,3.9000000000000004
2016-10-08,27,5.0,,0.05,1.35
2016-10-09,18,5.0,,0.05,0.9
2016-10-10,71,5.0,,0.05,3.5500000000000003
2016-10-11,96,5.0,,0.05,4.800000000000001
2016-10-12,92,5.0,,0.05,4.6000000000000005
2016-10-13,97,5.0,,0.05,4.8500000000000005
2016-10-14,93,5.0,,0.05,4.65
2016-10-15,26,5.0,,0.05,1.3
2016-10-16,21,5.0,,0.05,1.05
2016-10-17,90,5.0,,0.05,4.5
2016-10-18,89,5.0,,0.05,4.45
2016-10-19,86,5.0,,0.05,4.3
2016-10-20,87,5.0,,0.05,4.3500000000000005
2016-10-21,84,5.0,,0.05,4.2
2016-10-22,26,5.0,,0.05,1.3
2016-10-23,24,5.0,,0.05,1.2000000000000002
2016-10-24,82,5.0,,0.05,4.1000000000000005
2016-10-25,84,5.0,,0.05,4.2
2016-10-26,81,5.0,,0.05,4.05
2016-10-27,87,5.0,,0.05,4.3500000000000005
2016-10-28,100,5.0,,0.05,5.0
2016-10-29,33,5.0,,0.05,1.6500000000000001
2016-10-30,24,5.0,,0.05,1.2000000000000002
2016-10-31,90,5.0,,0.05,4.5
2016-11-01,6,11.0,False,0.11,0.66
2016-11-02,7,11.0,,0.11,0.77
2016-11-03,6,11.0,,0.11,0.66
2016-11-04,7,11.0,,0.11,0.77
2016-11-05,2,11.0,,0.11,0.22
2016-11-06,2,11.0,,0.11,0.22
2016-11-07,8,11.0,,0.11,0.88
2016-11-08,9,11.0,,0.11,0.99
2016-11-09,100,11.0,,0.11,11.0
2016-11-10,25,11.0,,0.11,2.75
2016-11-11,16,11.0,,0.11,1.76
2016-11-12,5,11.0,,0.11,0.55
2016-11-13,4,11.0,,0.11,0.44
2016-11-14,10,11.0,,0.11,1.1
2016-11-15,10,11.0,,0.11,1.1
2016-11-16,9,11.0,,0.11,0.99
2016-11-17,9,11.0,,0.11,0.99
2016-11-18,8,11.0,,0.11,0.88
2016-11-19,2,11.0,,0.11,0.22
2016-11-20,2,11.0,,0.11,0.22
2016-11-21,7,11.0,,0.11,0.77
2016-11-22,11,11.0,,0.11,1.21
2016-11-23,10,11.0,,0.11,1.1
2016-11-24,3,11.0,,0.11,0.33
2016-11-25,5,11.0,,0.11,0.55
2016-11-26,2,11.0,,0.11,0.22
2016-11-27,2,11.0,,0.11,0.22
2016-11-28,7,11.0,,0.11,0.77
2016-11-29,7,11.0,,0.11,0.77
2016-11-30,8,11.0,,0.11,0.88
2016-12-01,71,7.0,False,0.07,4.970000000000001
2016-12-02,62,7.0,,0.07,4.340000000000001
2016-12-03,23,7.0,,0.07,1.61
2016-12-04,14,7.0,,0.07,0.9800000000000001
2016-12-05,56,7.0,,0.07,3.9200000000000004
2016-12-06,63,7.0,,0.07,4.41
2016-12-07,75,7.0,,0.07,5.250000000000001
2016-12-08,83,7.0,,0.07,5.8100000000000005
2016-12-09,80,7.0,,0.07,5.6000000000000005
2016-12-10,33,7.0,,0.07,2.31
2016-12-11,18,7.0,,0.07,1.2600000000000002
2016-12-12,70,7.0,,0.07,4.9
2016-12-13,91,7.0,,0.07,6.370000000000001
2016-12-14,100,7.0,,0.07,7.000000000000001
2016-12-15,96,7.0,,0.07,6.720000000000001
2016-12-16,79,7.0,,0.07,5.53
2016-12-17,25,7.0,,0.07,1.7500000000000002
2016-12-18,17,7.0,,0.07,1.1900000000000002
2016-12-19,65,7.0,,0.07,4.550000000000001
2016-12-20,100,7.0,,0.07,7.000000000000001
2016-12-21,91,7.0,,0.07,6.370000000000001
2016-12-22,80,7.0,,0.07,5.6000000000000005
2016-12-23,64,7.0,,0.07,4.48
2016-12-24,25,7.0,,0.07,1.7500000000000002
2016-12-25,12,7.0,,0.07,0.8400000000000001
2016-12-26,35,7.0,,0.07,2.45
2016-12-27,72,7.0,,0.07,5.040000000000001
2016-12-28,76,7.0,,0.07,5.32
2016-12-29,69,7.0,,0.07,4.83
2016-12-30,65,7.0,,0.07,4.550000000000001
2016-12-31,25,7.0,,0.07,1.7500000000000002
2017-01-01,9,8.0,False,0.08,0.72
2017-01-02,18,8.0,,0.08,1.44
2017-01-03,41,8.0,,0.08,3.2800000000000002
2017-01-04,43,8.0,,0.08,3.44
2017-01-05,40,8.0,,0.08,3.2
2017-01-06,47,8.0,,0.08,3.7600000000000002
2017-01-07,15,8.0,,0.08,1.2
2017-01-08,9,8.0,,0.08,0.72
2017-01-09,37,8.0,,0.08,2.96
2017-01-10,38,8.0,,0.08,3.04
2017-01-11,41,8.0,,0.08,3.2800000000000002
2017-01-12,42,8.0,,0.08,3.36
2017-01-13,38,8.0,,0.08,3.04
2017-01-14,12,8.0,,0.08,0.96
2017-01-15,7,8.0,,0.08,0.56
2017-01-16,19,8.0,,0.08,1.52
2017-01-17,37,8.0,,0.08,2.96
2017-01-18,37,8.0,,0.08,2.96
2017-01-19,33,8.0,,0.08,2.64
2017-01-20,47,8.0,,0.08,3.7600000000000002
2017-01-21,21,8.0,,0.08,1.68
2017-01-22,12,8.0,,0.08,0.96
2017-01-23,38,8.0,,0.08,3.04
2017-01-24,43,8.0,,0.08,3.44
2017-01-25,100,8.0,,0.08,8.0
2017-01-26,81,8.0,,0.08,6.48
2017-01-27,55,8.0,,0.08,4.4
2017-01-28,18,8.0,,0.08,1.44
2017-01-29,12,8.0,,0.08,0.96
2017-01-30,54,8.0,,0.08,4.32
2017-01-31,68,8.0,,0.08,5.44
2017-02-01,100,7.0,False,0.07,7.000000000000001
2017-02-02,89,7.0,,0.07,6.23
2017-02-03,93,7.0,,0.07,6.510000000000001
2017-02-04,30,7.0,,0.07,2.1
2017-02-05,19,7.0,,0.07,1.33
2017-02-06,71,7.0,,0.07,4.970000000000001
2017-02-07,77,7.0,,0.07,5.390000000000001
2017-02-08,78,7.0,,0.07,5.460000000000001
2017-02-09,77,7.0,,0.07,5.390000000000001
2017-02-10,82,7.0,,0.07,5.74
2017-02-11,27,7.0,,0.07,1.8900000000000001
2017-02-12,17,7.0,,0.07,1.1900000000000002
2017-02-13,80,7.0,,0.07,5.6000000000000005
2017-02-14,86,7.0,,0.07,6.0200000000000005
2017-02-15,95,7.0,,0.07,6.65
2017-02-16,94,7.0,,0.07,6.580000000000001
2017-02-17,88,7.0,,0.07,6.16
2017-02-18,31,7.0,,0.07,2.1700000000000004
2017-02-19,19,7.0,,0.07,1.33
2017-02-20,43,7.0,,0.07,3.0100000000000002
2017-02-21,85,7.0,,0.07,5.95
2017-02-22,93,7.0,,0.07,6.510000000000001
2017-02-23,83,7.0,,0.07,5.8100000000000005
2017-02-24,92,7.0,,0.07,6.44
2017-02-25,27,7.0,,0.07,1.8900000000000001
2017-02-26,18,7.0,,0.07,1.2600000000000002
2017-02-27,76,7.0,,0.07,5.32
2017-02-28,83,7.0,,0.07,5.8100000000000005
2017-03-01,100,7.0,False,0.07,7.000000000000001
2017-03-02,87,7.0,,0.07,6.090000000000001
2017-03-03,69,7.0,,0.07,4.83
2017-03-04,21,7.0,,0.07,1.4700000000000002
2017-03-05,14,7.0,,0.07,0.9800000000000001
2017-03-06,56,7.0,,0.07,3.9200000000000004
2017-03-07,57,7.0,,0.07,3.99
2017-03-08,58,7.0,,0.07,4.0600000000000005
2017-03-09,56,7.0,,0.07,3.9200000000000004
2017-03-10,57,7.0,,0.07,3.99
2017-03-11,18,7.0,,0.07,1.2600000000000002
2017-03-12,12,7.0,,0.07,0.8400000000000001
2017-03-13,47,7.0,,0.07,3.2900000000000005
2017-03-14,50,7.0,,0.07,3.5000000000000004
2017-03-15,57,7.0,,0.07,3.99
2017-03-16,56,7.0,,0.07,3.9200000000000004
2017-03-17,49,7.0,,0.07,3.43
2017-03-18,16,7.0,,0.07,1.12
2017-03-19,12,7.0,,0.07,0.8400000000000001
2017-03-20,46,7.0,,0.07,3.22
2017-03-21,67,7.0,,0.07,4.69
2017-03-22,76,7.0,,0.07,5.32
2017-03-23,66,7.0,,0.07,4.62
2017-03-24,62,7.0,,0.07,4.340000000000001
2017-03-25,19,7.0,,0.07,1.33
2017-03-26,14,7.0,,0.07,0.9800000000000001
2017-03-27,70,7.0,,0.07,4.9
2017-03-28,66,7.0,,0.07,4.62
2017-03-29,60,7.0,,0.07,4.2
2017-03-30,55,7.0,,0.07,3.8500000000000005
2017-03-31,54,7.0,,0.07,3.7800000000000002
2017-04-01,23,6.0,False,0.06,1.38
2017-04-02,19,6.0,,0.06,1.14
2017-04-03,70,6.0,,0.06,4.2
2017-04-04,72,6.0,,0.06,4.32
2017-04-05,82,6.0,,0.06,4.92
2017-04-06,75,6.0,,0.06,4.5
2017-04-07,86,6.0,,0.06,5.16
2017-04-08,21,6.0,,0.06,1.26
2017-04-09,15,6.0,,0.06,0.8999999999999999
2017-04-10,66,6.0,,0.06,3.96
2017-04-11,73,6.0,,0.06,4.38
2017-04-12,73,6.0,,0.06,4.38
2017-04-13,75,6.0,,0.06,4.5
2017-04-14,55,6.0,,0.06,3.3
2017-04-15,21,6.0,,0.06,1.26
2017-04-16,18,6.0,,0.06,1.08
2017-04-17,74,6.0,,0.06,4.4399999999999995
2017-04-18,73,6.0,,0.06,4.38
2017-04-19,72,6.0,,0.06,4.32
2017-04-20,76,6.0,,0.06,4.56
2017-04-21,77,6.0,,0.06,4.62
2017-04-22,23,6.0,,0.06,1.38
2017-04-23,18,6.0,,0.06,1.08
2017-04-24,80,6.0,,0.06,4.8
2017-04-25,100,6.0,,0.06,6.0
2017-04-26,99,6.0,,0.06,5.9399999999999995
2017-04-27,83,6.0,,0.06,4.9799999999999995
2017-04-28,78,6.0,,0.06,4.68
2017-04-29,23,6.0,,0.06,1.38
2017-04-30,17,6.0,,0.06,1.02
2017-05-01,51,7.0,False,0.07,3.5700000000000003
2017-05-02,51,7.0,,0.07,3.5700000000000003
2017-05-03,56,7.0,,0.07,3.9200000000000004
2017-05-04,56,7.0,,0.07,3.9200000000000004
2017-05-05,55,7.0,,0.07,3.8500000000000005
2017-05-06,18,7.0,,0.07,1.2600000000000002
2017-05-07,14,7.0,,0.07,0.9800000000000001
2017-05-08,52,7.0,,0.07,3.6400000000000006
2017-05-09,52,7.0,,0.07,3.6400000000000006
2017-05-10,51,7.0,,0.07,3.5700000000000003
2017-05-11,52,7.0,,0.07,3.6400000000000006
2017-05-12,49,7.0,,0.07,3.43
2017-05-13,15,7.0,,0.07,1.05
2017-05-14,11,7.0,,0.07,0.77
2017-05-15,53,7.0,,0.07,3.7100000000000004
2017-05-16,55,7.0,,0.07,3.8500000000000005
2017-05-17,90,7.0,,0.07,6.300000000000001
2017-05-18,100,7.0,,0.07,7.000000000000001
2017-05-19,69,7.0,,0.07,4.83
2017-05-20,19,7.0,,0.07,1.33
2017-05-21,14,7.0,,0.07,0.9800000000000001
2017-05-22,56,7.0,,0.07,3.9200000000000004
2017-05-23,60,7.0,,0.07,4.2
2017-05-24,55,7.0,,0.07,3.8500000000000005
2017-05-25,64,7.0,,0.07,4.48
2017-05-26,62,7.0,,0.07,4.340000000000001
2017-05-27,16,7.0,,0.07,1.12
2017-05-28,12,7.0,,0.07,0.8400000000000001
2017-05-29,14,7.0,,0.07,0.9800000000000001
2017-05-30,53,7.0,,0.07,3.7100000000000004
2017-05-31,53,7.0,,0.07,3.7100000000000004
2017-06-01,90,7.0,False,0.07,6.300000000000001
2017-06-02,100,7.0,,0.07,7.000000000000001
2017-06-03,27,7.0,,0.07,1.8900000000000001
2017-06-04,19,7.0,,0.07,1.33
2017-06-05,80,7.0,,0.07,5.6000000000000005
2017-06-06,77,7.0,,0.07,5.390000000000001
2017-06-07,77,7.0,,0.07,5.390000000000001
2017-06-08,91,7.0,,0.07,6.370000000000001
2017-06-09,98,7.0,,0.07,6.86
2017-06-10,24,7.0,,0.07,1.6800000000000002
2017-06-11,19,7.0,,0.07,1.33
2017-06-12,79,7.0,,0.07,5.53
2017-06-13,80,7.0,,0.07,5.6000000000000005
2017-06-14,93,7.0,,0.07,6.510000000000001
2017-06-15,90,7.0,,0.07,6.300000000000001
2017-06-16,78,7.0,,0.07,5.460000000000001
2017-06-17,22,7.0,,0.07,1.54
2017-06-18,17,7.0,,0.07,1.1900000000000002
2017-06-19,87,7.0,,0.07,6.090000000000001
2017-06-20,88,7.0,,0.07,6.16
2017-06-21,81,7.0,,0.07,5.670000000000001
2017-06-22,78,7.0,,0.07,5.460000000000001
2017-06-23,74,7.0,,0.07,5.180000000000001
2017-06-24,23,7.0,,0.07,1.61
2017-06-25,17,7.0,,0.07,1.1900000000000002
2017-06-26,74,7.0,,0.07,5.180000000000001
2017-06-27,80,7.0,,0.07,5.6000000000000005
2017-06-28,85,7.0,,0.07,5.95
2017-06-29,89,7.0,,0.07,6.23
2017-06-30,82,7.0,,0.07,5.74
2017-07-01,22,6.0,False,0.06,1.3199999999999998
2017-07-02,18,6.0,,0.06,1.08
2017-07-03,75,6.0,,0.06,4.5
2017-07-04,33,6.0,,0.06,1.98
2017-07-05,87,6.0,,0.06,5.22
2017-07-06,81,6.0,,0.06,4.859999999999999
2017-07-07,89,6.0,,0.06,5.34
2017-07-08,23,6.0,,0.06,1.38
2017-07-09,18,6.0,,0.06,1.08
2017-07-10,76,6.0,,0.06,4.56
2017-07-11,86,6.0,,0.06,5.16
2017-07-12,84,6.0,,0.06,5.04
2017-07-13,87,6.0,,0.06,5.22
2017-07-14,88,6.0,,0.06,5.279999999999999
2017-07-15,25,6.0,,0.06,1.5
2017-07-16,20,6.0,,0.06,1.2
2017-07-17,81,6.0,,0.06,4.859999999999999
2017-07-18,83,6.0,,0.06,4.9799999999999995
2017-07-19,85,6.0,,0.06,5.1
2017-07-20,82,6.0,,0.06,4.92
2017-07-21,79,6.0,,0.06,4.74
2017-07-22,22,6.0,,0.06,1.3199999999999998
2017-07-23,19,6.0,,0.06,1.14
2017-07-24,74,6.0,,0.06,4.4399999999999995
2017-07-25,84,6.0,,0.06,5.04
2017-07-26,91,6.0,,0.06,5.46
2017-07-27,100,6.0,,0.06,6.0
2017-07-28,88,6.0,,0.06,5.279999999999999
2017-07-29,26,6.0,,0.06,1.56
2017-07-30,20,6.0,,0.06,1.2
2017-07-31,90,6.0,,0.06,5.3999999999999995
2017-08-01,85,7.0,False,0.07,5.95
2017-08-02,100,7.0,,0.07,7.000000000000001
2017-08-03,87,7.0,,0.07,6.090000000000001
2017-08-04,73,7.0,,0.07,5.11
2017-08-05,22,7.0,,0.07,1.54
2017-08-06,16,7.0,,0.07,1.12
2017-08-07,69,7.0,,0.07,4.83
2017-08-08,70,7.0,,0.07,4.9
2017-08-09,73,7.0,,0.07,5.11
2017-08-10,84,7.0,,0.07,5.880000000000001
2017-08-11,81,7.0,,0.07,5.670000000000001
2017-08-12,22,7.0,,0.07,1.54
2017-08-13,15,7.0,,0.07,1.05
2017-08-14,72,7.0,,0.07,5.040000000000001
2017-08-15,74,7.0,,0.07,5.180000000000001
2017-08-16,68,7.0,,0.07,4.760000000000001
2017-08-17,78,7.0,,0.07,5.460000000000001
2017-08-18,87,7.0,,0.07,6.090000000000001
2017-08-19,26,7.0,,0.07,1.8200000000000003
2017-08-20,17,7.0,,0.07,1.1900000000000002
2017-08-21,59,7.0,,0.07,4.130000000000001
2017-08-22,74,7.0,,0.07,5.180000000000001
2017-08-23,73,7.0,,0.07,5.11
2017-08-24,64,7.0,,0.07,4.48
2017-08-25,66,7.0,,0.07,4.62
2017-08-26,21,7.0,,0.07,1.4700000000000002
2017-08-27,14,7.0,,0.07,0.9800000000000001
2017-08-28,61,7.0,,0.07,4.2700000000000005
2017-08-29,67,7.0,,0.07,4.69
2017-08-30,64,7.0,,0.07,4.48
2017-08-31,66,7.0,,0.07,4.62
2017-09-01,98,6.0,False,0.06,5.88
2017-09-02,28,6.0,,0.06,1.68
2017-09-03,18,6.0,,0.06,1.08
2017-09-04,27,6.0,,0.06,1.6199999999999999
2017-09-05,95,6.0,,0.06,5.7
2017-09-06,100,6.0,,0.06,6.0
2017-09-07,86,6.0,,0.06,5.16
2017-09-08,76,6.0,,0.06,4.56
2017-09-09,22,6.0,,0.06,1.3199999999999998
2017-09-10,14,6.0,,0.06,0.84
2017-09-11,77,6.0,,0.06,4.62
2017-09-12,97,6.0,,0.06,5.819999999999999
2017-09-13,92,6.0,,0.06,5.52
2017-09-14,92,6.0,,0.06,5.52
2017-09-15,80,6.0,,0.06,4.8
2017-09-16,26,6.0,,0.06,1.56
2017-09-17,20,6.0,,0.06,1.2
2017-09-18,81,6.0,,0.06,4.859999999999999
2017-09-19,91,6.0,,0.06,5.46
2017-09-20,91,6.0,,0.06,5.46
2017-09-21,88,6.0,,0.06,5.279999999999999
2017-09-22,81,6.0,,0.06,4.859999999999999
2017-09-23,21,6.0,,0.06,1.26
2017-09-24,18,6.0,,0.06,1.08
2017-09-25,77,6.0,,0.06,4.62
2017-09-26,82,6.0,,0.06,4.92
2017-09-27,83,6.0,,0.06,4.9799999999999995
2017-09-28,80,6.0,,0.06,4.8
2017-09-29,75,6.0,,0.06,4.5
2017-09-30,25,6.0,,0.06,1.5
2017-10-01,16,6.0,False,0.06,0.96
2017-10-02,67,6.0,,0.06,4.02
2017-10-03,73,6.0,,0.06,4.38
2017-10-04,74,6.0,,0.06,4.4399999999999995
2017-10-05,81,6.0,,0.06,4.859999999999999
2017-10-06,80,6.0,,0.06,4.8
2017-10-07,19,6.0,,0.06,1.14
2017-10-08,13,6.0,,0.06,0.78
2017-10-09,66,6.0,,0.06,3.96
2017-10-10,75,6.0,,0.06,4.5
2017-10-11,76,6.0,,0.06,4.56
2017-10-12,78,6.0,,0.06,4.68
2017-10-13,70,6.0,,0.06,4.2
2017-10-14,22,6.0,,0.06,1.3199999999999998
2017-10-15,15,6.0,,0.06,0.8999999999999999
2017-10-16,69,6.0,,0.06,4.14
2017-10-17,89,6.0,,0.06,5.34
2017-10-18,92,6.0,,0.06,5.52
2017-10-19,100,6.0,,0.06,6.0
2017-10-20,88,6.0,,0.06,5.279999999999999
2017-10-21,28,6.0,,0.06,1.68
2017-10-22,18,6.0,,0.06,1.08
2017-10-23,82,6.0,,0.06,4.92
2017-10-24,91,6.0,,0.06,5.46
2017-10-25,96,6.0,,0.06,5.76
2017-10-26,88,6.0,,0.06,5.279999999999999
2017-10-27,85,6.0,,0.06,5.1
2017-10-28,26,6.0,,0.06,1.56
2017-10-29,20,6.0,,0.06,1.2
2017-10-30,76,6.0,,0.06,4.56
2017-10-31,77,6.0,,0.06,4.62
2017-11-01,69,6.0,False,0.06,4.14
2017-11-02,67,6.0,,0.06,4.02
2017-11-03,67,6.0,,0.06,4.02
2017-11-04,21,6.0,,0.06,1.26
2017-11-05,12,6.0,,0.06,0.72
2017-11-06,59,6.0,,0.06,3.54
2017-11-07,62,6.0,,0.06,3.7199999999999998
2017-11-08,61,6.0,,0.06,3.6599999999999997
2017-11-09,68,6.0,,0.06,4.08
2017-11-10,65,6.0,,0.06,3.9
2017-11-11,17,6.0,,0.06,1.02
2017-11-12,14,6.0,,0.06,0.84
2017-11-13,55,6.0,,0.06,3.3
2017-11-14,56,6.0,,0.06,3.36
2017-11-15,65,6.0,,0.06,3.9
2017-11-16,67,6.0,,0.06,4.02
2017-11-17,64,6.0,,0.06,3.84
2017-11-18,19,6.0,,0.06,1.14
2017-11-19,13,6.0,,0.06,0.78
2017-11-20,60,6.0,,0.06,3.5999999999999996
2017-11-21,66,6.0,,0.06,3.96
2017-11-22,65,6.0,,0.06,3.9
2017-11-23,17,6.0,,0.06,1.02
2017-11-24,42,6.0,,0.06,2.52
2017-11-25,18,6.0,,0.06,1.08
2017-11-26,12,6.0,,0.06,0.72
2017-11-27,53,6.0,,0.06,3.1799999999999997
2017-11-28,65,6.0,,0.06,3.9
2017-11-29,82,6.0,,0.06,4.92
2017-11-30,100,6.0,,0.06,6.0
2017-12-01,100,7.0,False,0.07,7.000000000000001
2017-12-02,28,7.0,,0.07,1.9600000000000002
2017-12-03,18,7.0,,0.07,1.2600000000000002
2017-12-04,82,7.0,,0.07,5.74
2017-12-05,68,7.0,,0.07,4.760000000000001
2017-12-06,63,7.0,,0.07,4.41
2017-12-07,62,7.0,,0.07,4.340000000000001
2017-12-08,59,7.0,,0.07,4.130000000000001
2017-12-09,19,7.0,,0.07,1.33
