date,MTCH_unscaled,MTCH_monthly,isPartial,scale,MTCH
2016-07-23,15,45.0,,0.45,6.75
2016-07-24,0,45.0,,0.45,0.0
2016-07-25,25,45.0,,0.45,11.25
2016-07-26,100,45.0,,0.45,45.0
2016-07-27,75,45.0,,0.45,33.75
2016-07-28,43,45.0,,0.45,19.35
2016-07-29,38,45.0,,0.45,17.1
2016-07-30,22,45.0,,0.45,9.9
2016-07-31,15,45.0,,0.45,6.75
2016-08-01,16,38.0,False,0.38,6.08
2016-08-02,73,38.0,,0.38,27.740000000000002
2016-08-03,50,38.0,,0.38,19.0
2016-08-04,42,38.0,,0.38,15.96
2016-08-05,27,38.0,,0.38,10.26
2016-08-06,10,38.0,,0.38,3.8
2016-08-07,41,38.0,,0.38,15.58
2016-08-08,76,38.0,,0.38,28.88
2016-08-09,51,38.0,,0.38,19.38
2016-08-10,17,38.0,,0.38,6.46
2016-08-11,63,38.0,,0.38,23.94
2016-08-12,9,38.0,,0.38,3.42
2016-08-13,20,38.0,,0.38,7.6
2016-08-14,20,38.0,,0.38,7.6
2016-08-15,35,38.0,,0.38,13.3
2016-08-16,26,38.0,,0.38,9.88
2016-08-17,9,38.0,,0.38,3.42
2016-08-18,9,38.0,,0.38,3.42
2016-08-19,100,38.0,,0.38,38.0
2016-08-20,10,38.0,,0.38,3.8
2016-08-21,31,38.0,,0.38,11.78
2016-08-22,44,38.0,,0.38,16.72
2016-08-23,61,38.0,,0.38,23.18
2016-08-24,26,38.0,,0.38,9.88
2016-08-25,40,38.0,,0.38,15.2
2016-08-26,8,38.0,,0.38,3.04
2016-08-27,10,38.0,,0.38,3.8
2016-08-28,19,38.0,,0.38,7.22
2016-08-29,16,38.0,,0.38,6.08
2016-08-30,56,38.0,,0.38,21.28
2016-08-31,40,38.0,,0.38,15.2
2016-09-01,46,30.0,False,0.3,13.799999999999999
2016-09-02,47,30.0,,0.3,14.1
2016-09-03,11,30.0,,0.3,3.3
2016-09-04,23,30.0,,0.3,6.8999999999999995
2016-09-05,21,30.0,,0.3,6.3
2016-09-06,18,30.0,,0.3,5.3999999999999995
2016-09-07,62,30.0,,0.3,18.599999999999998
2016-09-08,45,30.0,,0.3,13.5
2016-09-09,19,30.0,,0.3,5.7
2016-09-10,33,30.0,,0.3,9.9
2016-09-11,31,30.0,,0.3,9.299999999999999
2016-09-12,27,30.0,,0.3,8.1
2016-09-13,45,30.0,,0.3,13.5
2016-09-14,18,30.0,,0.3,5.3999999999999995
2016-09-15,54,30.0,,0.3,16.2
2016-09-16,19,30.0,,0.3,5.7
2016-09-17,11,30.0,,0.3,3.3
2016-09-18,0,30.0,,0.3,0.0
2016-09-19,26,30.0,,0.3,7.8
2016-09-20,18,30.0,,0.3,5.3999999999999995
2016-09-21,27,30.0,,0.3,8.1
2016-09-22,100,30.0,,0.3,30.0
2016-09-23,46,30.0,,0.3,13.799999999999999
2016-09-24,11,30.0,,0.3,3.3
2016-09-25,11,30.0,,0.3,3.3
2016-09-26,45,30.0,,0.3,13.5
2016-09-27,36,30.0,,0.3,10.799999999999999
2016-09-28,36,30.0,,0.3,10.799999999999999
2016-09-29,63,30.0,,0.3,18.9
2016-09-30,37,30.0,,0.3,11.1
2016-10-01,17,31.0,False,0.31,5.27
2016-10-02,33,31.0,,0.31,10.23
2016-10-03,98,31.0,,0.31,30.38
2016-10-04,28,31.0,,0.31,8.68
2016-10-05,70,31.0,,0.31,21.7
2016-10-06,71,31.0,,0.31,22.01
2016-10-07,58,31.0,,0.31,17.98
2016-10-08,34,31.0,,0.31,10.54
2016-10-09,17,31.0,,0.31,5.27
2016-10-10,86,31.0,,0.31,26.66
2016-10-11,100,31.0,,0.31,31.0
2016-10-12,57,31.0,,0.31,17.669999999999998
2016-10-13,43,31.0,,0.31,13.33
2016-10-14,89,31.0,,0.31,27.59
2016-10-15,53,31.0,,0.31,16.43
2016-10-16,17,31.0,,0.31,5.27
2016-10-17,57,31.0,,0.31,17.669999999999998
2016-10-18,56,31.0,,0.31,17.36
2016-10-19,86,31.0,,0.31,26.66
2016-10-20,43,31.0,,0.31,13.33
2016-10-21,87,31.0,,0.31,26.97
2016-10-22,36,31.0,,0.31,11.16
2016-10-23,34,31.0,,0.31,10.54
2016-10-24,56,31.0,,0.31,17.36
2016-10-25,28,31.0,,0.31,8.68
2016-10-26,56,31.0,,0.31,17.36
2016-10-27,70,31.0,,0.31,21.7
2016-10-28,44,31.0,,0.31,13.64
2016-10-29,34,31.0,,0.31,10.54
2016-10-30,0,31.0,,0.31,0.0
2016-10-31,14,31.0,,0.31,4.34
2016-11-01,83,30.0,False,0.3,24.9
2016-11-02,90,30.0,,0.3,27.0
2016-11-03,100,30.0,,0.3,30.0
2016-11-04,47,30.0,,0.3,14.1
2016-11-05,14,30.0,,0.3,4.2
2016-11-06,27,30.0,,0.3,8.1
2016-11-07,33,30.0,,0.3,9.9
2016-11-08,0,30.0,,0.3,0.0
2016-11-09,18,30.0,,0.3,5.3999999999999995
2016-11-10,47,30.0,,0.3,14.1
2016-11-11,96,30.0,,0.3,28.799999999999997
2016-11-12,0,30.0,,0.3,0.0
2016-11-13,13,30.0,,0.3,3.9
2016-11-14,45,30.0,,0.3,13.5
2016-11-15,68,30.0,,0.3,20.4
2016-11-16,34,30.0,,0.3,10.2
2016-11-17,12,30.0,,0.3,3.5999999999999996
2016-11-18,71,30.0,,0.3,21.3
2016-11-19,14,30.0,,0.3,4.2
2016-11-20,27,30.0,,0.3,8.1
2016-11-21,57,30.0,,0.3,17.099999999999998
2016-11-22,71,30.0,,0.3,21.3
2016-11-23,50,30.0,,0.3,15.0
2016-11-24,27,30.0,,0.3,8.1
2016-11-25,25,30.0,,0.3,7.5
2016-11-26,26,30.0,,0.3,7.8
2016-11-27,13,30.0,,0.3,3.9
2016-11-28,52,30.0,,0.3,15.6
2016-11-29,42,30.0,,0.3,12.6
2016-11-30,75,30.0,,0.3,22.5
2016-12-01,100,31.0,False,0.31,31.0
2016-12-02,79,31.0,,0.31,24.49
2016-12-03,53,31.0,,0.31,16.43
2016-12-04,25,31.0,,0.31,7.75
2016-12-05,40,31.0,,0.31,12.4
2016-12-06,63,31.0,,0.31,19.53
2016-12-07,55,31.0,,0.31,17.05
2016-12-08,66,31.0,,0.31,20.46
2016-12-09,69,31.0,,0.31,21.39
2016-12-10,0,31.0,,0.31,0.0
2016-12-11,13,31.0,,0.31,4.03
2016-12-12,0,31.0,,0.31,0.0
2016-12-13,76,31.0,,0.31,23.56
2016-12-14,55,31.0,,0.31,17.05
2016-12-15,56,31.0,,0.31,17.36
2016-12-16,59,31.0,,0.31,18.29
2016-12-17,0,31.0,,0.31,0.0
2016-12-18,13,31.0,,0.31,4.03
2016-12-19,93,31.0,,0.31,28.83
2016-12-20,72,31.0,,0.31,22.32
2016-12-21,37,31.0,,0.31,11.47
2016-12-22,25,31.0,,0.31,7.75
2016-12-23,51,31.0,,0.31,15.81
2016-12-24,43,31.0,,0.31,13.33
2016-12-25,15,31.0,,0.31,4.65
2016-12-26,53,31.0,,0.31,16.43
2016-12-27,24,31.0,,0.31,7.4399999999999995
2016-12-28,37,31.0,,0.31,11.47
2016-12-29,72,31.0,,0.31,22.32
2016-12-30,13,31.0,,0.31,4.03
2016-12-31,13,31.0,,0.31,4.03
2017-01-01,37,33.0,False,0.33,12.21
2017-01-02,11,33.0,,0.33,3.6300000000000003
2017-01-03,100,33.0,,0.33,33.0
2017-01-04,40,33.0,,0.33,13.200000000000001
2017-01-05,73,33.0,,0.33,24.09
2017-01-06,51,33.0,,0.33,16.830000000000002
2017-01-07,35,33.0,,0.33,11.55
2017-01-08,34,33.0,,0.33,11.22
2017-01-09,59,33.0,,0.33,19.470000000000002
2017-01-10,39,33.0,,0.33,12.870000000000001
2017-01-11,59,33.0,,0.33,19.470000000000002
2017-01-12,50,33.0,,0.33,16.5
2017-01-13,91,33.0,,0.33,30.03
2017-01-14,0,33.0,,0.33,0.0
2017-01-15,0,33.0,,0.33,0.0
2017-01-16,20,33.0,,0.33,6.6000000000000005
2017-01-17,29,33.0,,0.33,9.57
2017-01-18,0,33.0,,0.33,0.0
2017-01-19,29,33.0,,0.33,9.57
2017-01-20,10,33.0,,0.33,3.3000000000000003
2017-01-21,11,33.0,,0.33,3.6300000000000003
2017-01-22,33,33.0,,0.33,10.89
2017-01-23,65,33.0,,0.33,21.45
2017-01-24,68,33.0,,0.33,22.44
2017-01-25,38,33.0,,0.33,12.540000000000001
2017-01-26,57,33.0,,0.33,18.810000000000002
2017-01-27,80,33.0,,0.33,26.400000000000002
2017-01-28,12,33.0,,0.33,3.96
2017-01-29,23,33.0,,0.33,7.590000000000001
2017-01-30,28,33.0,,0.33,9.24
2017-01-31,86,33.0,,0.33,28.380000000000003
2017-02-01,100,31.0,False,0.31,31.0
2017-02-02,72,31.0,,0.31,22.32
2017-02-03,30,31.0,,0.31,9.3
2017-02-04,9,31.0,,0.31,2.79
2017-02-05,35,31.0,,0.31,10.85
2017-02-06,42,31.0,,0.31,13.02
2017-02-07,57,31.0,,0.31,17.669999999999998
2017-02-08,22,31.0,,0.31,6.82
2017-02-09,37,31.0,,0.31,11.47
2017-02-10,61,31.0,,0.31,18.91
2017-02-11,9,31.0,,0.31,2.79
2017-02-12,9,31.0,,0.31,2.79
2017-02-13,28,31.0,,0.31,8.68
2017-02-14,15,31.0,,0.31,4.65
2017-02-15,30,31.0,,0.31,9.3
2017-02-16,44,31.0,,0.31,13.64
2017-02-17,37,31.0,,0.31,11.47
2017-02-18,17,31.0,,0.31,5.27
2017-02-19,9,31.0,,0.31,2.79
2017-02-20,8,31.0,,0.31,2.48
2017-02-21,58,31.0,,0.31,17.98
2017-02-22,14,31.0,,0.31,4.34
2017-02-23,29,31.0,,0.31,8.99
2017-02-24,22,31.0,,0.31,6.82
2017-02-25,26,31.0,,0.31,8.06
2017-02-26,0,31.0,,0.31,0.0
2017-02-27,34,31.0,,0.31,10.54
2017-02-28,14,31.0,,0.31,4.34
2017-03-01,66,20.0,False,0.2,13.200000000000001
2017-03-02,27,20.0,,0.2,5.4
2017-03-03,43,20.0,,0.2,8.6
2017-03-04,34,20.0,,0.2,6.800000000000001
2017-03-05,0,20.0,,0.2,0.0
2017-03-06,13,20.0,,0.2,2.6
2017-03-07,65,20.0,,0.2,13.0
2017-03-08,28,20.0,,0.2,5.6000000000000005
2017-03-09,56,20.0,,0.2,11.200000000000001
2017-03-10,43,20.0,,0.2,8.6
2017-03-11,34,20.0,,0.2,6.800000000000001
2017-03-12,31,20.0,,0.2,6.2
2017-03-13,26,20.0,,0.2,5.2
2017-03-14,56,20.0,,0.2,11.200000000000001
2017-03-15,100,20.0,,0.2,20.0
2017-03-16,100,20.0,,0.2,20.0
2017-03-17,44,20.0,,0.2,8.8
2017-03-18,17,20.0,,0.2,3.4000000000000004
2017-03-19,17,20.0,,0.2,3.4000000000000004
2017-03-20,28,20.0,,0.2,5.6000000000000005
2017-03-21,99,20.0,,0.2,19.8
2017-03-22,57,20.0,,0.2,11.4
2017-03-23,0,20.0,,0.2,0.0
2017-03-24,15,20.0,,0.2,3.0
2017-03-25,34,20.0,,0.2,6.800000000000001
2017-03-26,51,20.0,,0.2,10.200000000000001
2017-03-27,14,20.0,,0.2,2.8000000000000003
2017-03-28,57,20.0,,0.2,11.4
2017-03-29,43,20.0,,0.2,8.6
2017-03-30,58,20.0,,0.2,11.600000000000001
2017-03-31,29,20.0,,0.2,5.800000000000001
2017-04-01,0,23.0,False,0.23,0.0
2017-04-02,15,23.0,,0.23,3.45
2017-04-03,86,23.0,,0.23,19.78
2017-04-04,25,23.0,,0.23,5.75
2017-04-05,63,23.0,,0.23,14.49
2017-04-06,50,23.0,,0.23,11.5
2017-04-07,39,23.0,,0.23,8.97
2017-04-08,16,23.0,,0.23,3.68
2017-04-09,0,23.0,,0.23,0.0
2017-04-10,51,23.0,,0.23,11.73
2017-04-11,13,23.0,,0.23,2.99
2017-04-12,64,23.0,,0.23,14.72
2017-04-13,52,23.0,,0.23,11.96
2017-04-14,42,23.0,,0.23,9.66
2017-04-15,32,23.0,,0.23,7.36
2017-04-16,0,23.0,,0.23,0.0
2017-04-17,39,23.0,,0.23,8.97
2017-04-18,74,23.0,,0.23,17.02
2017-04-19,50,23.0,,0.23,11.5
2017-04-20,25,23.0,,0.23,5.75
2017-04-21,67,23.0,,0.23,15.41
2017-04-22,15,23.0,,0.23,3.45
2017-04-23,0,23.0,,0.23,0.0
2017-04-24,25,23.0,,0.23,5.75
2017-04-25,100,23.0,,0.23,23.0
2017-04-26,61,23.0,,0.23,14.030000000000001
2017-04-27,75,23.0,,0.23,17.25
2017-04-28,13,23.0,,0.23,2.99
2017-04-29,0,23.0,,0.23,0.0
2017-04-30,77,23.0,,0.23,17.71
2017-05-01,67,34.0,False,0.34,22.78
2017-05-02,100,34.0,,0.34,34.0
2017-05-03,77,34.0,,0.34,26.180000000000003
2017-05-04,52,34.0,,0.34,17.68
2017-05-05,36,34.0,,0.34,12.24
2017-05-06,21,34.0,,0.34,7.140000000000001
2017-05-07,0,34.0,,0.34,0.0
2017-05-08,17,34.0,,0.34,5.78
2017-05-09,43,34.0,,0.34,14.620000000000001
2017-05-10,43,34.0,,0.34,14.620000000000001
2017-05-11,88,34.0,,0.34,29.92
2017-05-12,64,34.0,,0.34,21.76
2017-05-13,22,34.0,,0.34,7.48
2017-05-14,11,34.0,,0.34,3.74
2017-05-15,9,34.0,,0.34,3.06
2017-05-16,37,34.0,,0.34,12.58
2017-05-17,37,34.0,,0.34,12.58
2017-05-18,37,34.0,,0.34,12.58
2017-05-19,19,34.0,,0.34,6.460000000000001
2017-05-20,23,34.0,,0.34,7.82
2017-05-21,23,34.0,,0.34,7.82
2017-05-22,28,34.0,,0.34,9.520000000000001
2017-05-23,9,34.0,,0.34,3.06
2017-05-24,56,34.0,,0.34,19.040000000000003
2017-05-25,28,34.0,,0.34,9.520000000000001
2017-05-26,81,34.0,,0.34,27.540000000000003
2017-05-27,0,34.0,,0.34,0.0
2017-05-28,12,34.0,,0.34,4.08
2017-05-29,0,34.0,,0.34,0.0
2017-05-30,37,34.0,,0.34,12.58
2017-05-31,27,34.0,,0.34,9.180000000000001
2017-06-01,33,21.0,False,0.21,6.93
2017-06-02,17,21.0,,0.21,3.57
2017-06-03,20,21.0,,0.21,4.2
2017-06-04,58,21.0,,0.21,12.18
2017-06-05,16,21.0,,0.21,3.36
2017-06-06,16,21.0,,0.21,3.36
2017-06-07,48,21.0,,0.21,10.08
2017-06-08,81,21.0,,0.21,17.009999999999998
2017-06-09,34,21.0,,0.21,7.14
2017-06-10,40,21.0,,0.21,8.4
2017-06-11,20,21.0,,0.21,4.2
2017-06-12,65,21.0,,0.21,13.65
2017-06-13,80,21.0,,0.21,16.8
2017-06-14,16,21.0,,0.21,3.36
2017-06-15,50,21.0,,0.21,10.5
2017-06-16,84,21.0,,0.21,17.64
2017-06-17,20,21.0,,0.21,4.2
2017-06-18,20,21.0,,0.21,4.2
2017-06-19,82,21.0,,0.21,17.22
2017-06-20,62,21.0,,0.21,13.02
2017-06-21,94,21.0,,0.21,19.74
2017-06-22,47,21.0,,0.21,9.87
2017-06-23,32,21.0,,0.21,6.72
2017-06-24,0,21.0,,0.21,0.0
2017-06-25,20,21.0,,0.21,4.2
2017-06-26,100,21.0,,0.21,21.0
2017-06-27,0,21.0,,0.21,0.0
2017-06-28,0,21.0,,0.21,0.0
2017-06-29,70,21.0,,0.21,14.7
2017-06-30,18,21.0,,0.21,3.78
2017-07-01,27,28.0,False,0.28,7.5600000000000005
2017-07-02,0,28.0,,0.28,0.0
2017-07-03,86,28.0,,0.28,24.080000000000002
2017-07-04,27,28.0,,0.28,7.5600000000000005
2017-07-05,48,28.0,,0.28,13.440000000000001
2017-07-06,33,28.0,,0.28,9.24
2017-07-07,46,28.0,,0.28,12.88
2017-07-08,0,28.0,,0.28,0.0
2017-07-09,0,28.0,,0.28,0.0
2017-07-10,45,28.0,,0.28,12.600000000000001
2017-07-11,56,28.0,,0.28,15.680000000000001
2017-07-12,22,28.0,,0.28,6.16
2017-07-13,11,28.0,,0.28,3.08
2017-07-14,57,28.0,,0.28,15.96
2017-07-15,13,28.0,,0.28,3.6400000000000006
2017-07-16,0,28.0,,0.28,0.0
2017-07-17,45,28.0,,0.28,12.600000000000001
2017-07-18,90,28.0,,0.28,25.200000000000003
2017-07-19,45,28.0,,0.28,12.600000000000001
2017-07-20,88,28.0,,0.28,24.64
2017-07-21,46,28.0,,0.28,12.88
2017-07-22,38,28.0,,0.28,10.64
2017-07-23,13,28.0,,0.28,3.6400000000000006
2017-07-24,100,28.0,,0.28,28.000000000000004
2017-07-25,67,28.0,,0.28,18.76
2017-07-26,33,28.0,,0.28,9.24
2017-07-27,55,28.0,,0.28,15.400000000000002
2017-07-28,11,28.0,,0.28,3.08
2017-07-29,0,28.0,,0.28,0.0
2017-07-30,13,28.0,,0.28,3.6400000000000006
2017-07-31,67,28.0,,0.28,18.76
2017-08-01,100,32.0,False,0.32,32.0
2017-08-02,64,32.0,,0.32,20.48
2017-08-03,17,32.0,,0.32,5.44
2017-08-04,44,32.0,,0.32,14.08
2017-08-05,10,32.0,,0.32,3.2
2017-08-06,0,32.0,,0.32,0.0
2017-08-07,8,32.0,,0.32,2.56
2017-08-08,40,32.0,,0.32,12.8
2017-08-09,34,32.0,,0.32,10.88
2017-08-10,18,32.0,,0.32,5.76
2017-08-11,26,32.0,,0.32,8.32
2017-08-12,59,32.0,,0.32,18.88
2017-08-13,20,32.0,,0.32,6.4
2017-08-14,26,32.0,,0.32,8.32
2017-08-15,51,32.0,,0.32,16.32
2017-08-16,17,32.0,,0.32,5.44
2017-08-17,0,32.0,,0.32,0.0
2017-08-18,34,32.0,,0.32,10.88
2017-08-19,0,32.0,,0.32,0.0
2017-08-20,10,32.0,,0.32,3.2
2017-08-21,8,32.0,,0.32,2.56
2017-08-22,42,32.0,,0.32,13.44
2017-08-23,34,32.0,,0.32,10.88
2017-08-24,42,32.0,,0.32,13.44
2017-08-25,43,32.0,,0.32,13.76
2017-08-26,19,32.0,,0.32,6.08
2017-08-27,9,32.0,,0.32,2.88
2017-08-28,25,32.0,,0.32,8.0
2017-08-29,24,32.0,,0.32,7.68
2017-08-30,91,32.0,,0.32,29.12
2017-08-31,91,32.0,,0.32,29.12
2017-09-01,60,34.0,False,0.34,20.400000000000002
2017-09-02,27,34.0,,0.34,9.180000000000001
2017-09-03,14,34.0,,0.34,4.760000000000001
2017-09-04,38,34.0,,0.34,12.920000000000002
2017-09-05,66,34.0,,0.34,22.44
2017-09-06,75,34.0,,0.34,25.500000000000004
2017-09-07,89,34.0,,0.34,30.26
2017-09-08,78,34.0,,0.34,26.520000000000003
2017-09-09,0,34.0,,0.34,0.0
2017-09-10,52,34.0,,0.34,17.68
2017-09-11,33,34.0,,0.34,11.22
2017-09-12,45,34.0,,0.34,15.3
2017-09-13,90,34.0,,0.34,30.6
2017-09-14,46,34.0,,0.34,15.64
2017-09-15,46,34.0,,0.34,15.64
2017-09-16,27,34.0,,0.34,9.180000000000001
2017-09-17,27,34.0,,0.34,9.180000000000001
2017-09-18,89,34.0,,0.34,30.26
2017-09-19,67,34.0,,0.34,22.78
2017-09-20,100,34.0,,0.34,34.0
2017-09-21,11,34.0,,0.34,3.74
2017-09-22,58,34.0,,0.34,19.720000000000002
2017-09-23,14,34.0,,0.34,4.760000000000001
2017-09-24,27,34.0,,0.34,9.180000000000001
2017-09-25,79,34.0,,0.34,26.860000000000003
2017-09-26,23,34.0,,0.34,7.82
2017-09-27,90,34.0,,0.34,30.6
2017-09-28,45,34.0,,0.34,15.3
2017-09-29,46,34.0,,0.34,15.64
2017-09-30,0,34.0,,0.34,0.0
2017-10-01,0,30.0,False,0.3,0.0
2017-10-02,0,30.0,,0.3,0.0
2017-10-03,55,30.0,,0.3,16.5
2017-10-04,56,30.0,,0.3,16.8
2017-10-05,56,30.0,,0.3,16.8
2017-10-06,58,30.0,,0.3,17.4
2017-10-07,100,30.0,,0.3,30.0
2017-10-08,65,30.0,,0.3,19.5
2017-10-09,69,30.0,,0.3,20.7
2017-10-10,54,30.0,,0.3,16.2
2017-10-11,69,30.0,,0.3,20.7
2017-10-12,42,30.0,,0.3,12.6
2017-10-13,43,30.0,,0.3,12.9
2017-10-14,17,30.0,,0.3,5.1
2017-10-15,33,30.0,,0.3,9.9
2017-10-16,70,30.0,,0.3,21.0
2017-10-17,42,30.0,,0.3,12.6
2017-10-18,56,30.0,,0.3,16.8
2017-10-19,58,30.0,,0.3,17.4
2017-10-20,15,30.0,,0.3,4.5
2017-10-21,17,30.0,,0.3,5.1
2017-10-22,49,30.0,,0.3,14.7
2017-10-23,96,30.0,,0.3,28.799999999999997
2017-10-24,82,30.0,,0.3,24.599999999999998
2017-10-25,42,30.0,,0.3,12.6
2017-10-26,98,30.0,,0.3,29.4
2017-10-27,44,30.0,,0.3,13.2
2017-10-28,51,30.0,,0.3,15.299999999999999
2017-10-29,33,30.0,,0.3,9.9
2017-10-30,96,30.0,,0.3,28.799999999999997
2017-10-31,71,30.0,,0.3,21.3
2017-11-01,35,47.0,False,0.47,16.45
2017-11-02,15,47.0,,0.47,7.05
2017-11-03,19,47.0,,0.47,8.93
2017-11-04,7,47.0,,0.47,3.29
2017-11-05,0,47.0,,0.47,0.0
2017-11-06,18,47.0,,0.47,8.459999999999999
2017-11-07,52,47.0,,0.47,24.439999999999998
2017-11-08,100,47.0,,0.47,47.0
2017-11-09,28,47.0,,0.47,13.16
2017-11-10,10,47.0,,0.47,4.699999999999999
2017-11-11,7,47.0,,0.47,3.29
2017-11-12,11,47.0,,0.47,5.17
2017-11-13,15,47.0,,0.47,7.05
2017-11-14,27,47.0,,0.47,12.69
2017-11-15,34,47.0,,0.47,15.979999999999999
2017-11-16,21,47.0,,0.47,9.87
2017-11-17,13,47.0,,0.47,6.109999999999999
2017-11-18,4,47.0,,0.47,1.88
2017-11-19,11,47.0,,0.47,5.17
2017-11-20,13,47.0,,0.47,6.109999999999999
2017-11-21,13,47.0,,0.47,6.109999999999999
2017-11-22,24,47.0,,0.47,11.28
2017-11-23,7,47.0,,0.47,3.29
2017-11-24,11,47.0,,0.47,5.17
2017-11-25,11,47.0,,0.47,5.17
2017-11-26,4,47.0,,0.47,1.88
2017-11-27,9,47.0,,0.47,4.2299999999999995
2017-11-28,15,47.0,,0.47,7.05
2017-11-29,21,47.0,,0.47,9.87
2017-11-30,15,47.0,,0.47,7.05
2017-12-01,29,29.0,False,0.29,8.41
2017-12-02,23,29.0,,0.29,6.67
2017-12-03,11,29.0,,0.29,3.19
2017-12-04,47,29.0,,0.29,13.629999999999999
2017-12-05,28,29.0,,0.29,8.12
2017-12-06,19,29.0,,0.29,5.51
2017-12-07,58,29.0,,0.29,16.82
2017-12-08,69,29.0,,0.29,20.009999999999998
2017-12-09,12,29.0,,0.29,3.4799999999999995
2017-12-10,23,29.0,,0.29,6.67
2017-12-11,38,29.0,,0.29,11.02
2017-12-12,28,29.0,,0.29,8.12
2017-12-13,47,29.0,,0.29,13.629999999999999
2017-12-14,20,29.0,,0.29,5.8
2017-12-15,30,29.0,,0.29,8.7
2017-12-16,70,29.0,,0.29,20.299999999999997
2017-12-17,23,29.0,,0.29,6.67
2017-12-18,30,29.0,,0.29,8.7
2017-12-19,20,29.0,,0.29,5.8
2017-12-20,73,29.0,,0.29,21.169999999999998
2017-12-21,53,29.0,,0.29,15.37
2017-12-22,100,29.0,,0.29,28.999999999999996
2017-12-23,0,29.0,,0.29,0.0
2017-12-24,25,29.0,,0.29,7.249999999999999
2017-12-25,41,29.0,,0.29,11.889999999999999
2017-12-26,69,29.0,,0.29,20.009999999999998
2017-12-27,65,29.0,,0.29,18.849999999999998
2017-12-28,33,29.0,,0.29,9.569999999999999
