date,KO_unscaled,KO_monthly,isPartial,scale,KO
2016-07-27,57,73.0,,0.73,41.61
2016-07-28,56,73.0,,0.73,40.879999999999995
2016-07-29,49,73.0,,0.73,35.769999999999996
2016-07-30,54,73.0,,0.73,39.42
2016-07-31,72,73.0,,0.73,52.56
2016-08-01,67,72.0,False,0.72,48.239999999999995
2016-08-02,69,72.0,,0.72,49.68
2016-08-03,62,72.0,,0.72,44.64
2016-08-04,71,72.0,,0.72,51.12
2016-08-05,78,72.0,,0.72,56.16
2016-08-06,77,72.0,,0.72,55.44
2016-08-07,65,72.0,,0.72,46.8
2016-08-08,72,72.0,,0.72,51.839999999999996
2016-08-09,77,72.0,,0.72,55.44
2016-08-10,66,72.0,,0.72,47.519999999999996
2016-08-11,68,72.0,,0.72,48.96
2016-08-12,68,72.0,,0.72,48.96
2016-08-13,66,72.0,,0.72,47.519999999999996
2016-08-14,70,72.0,,0.72,50.4
2016-08-15,74,72.0,,0.72,53.28
2016-08-16,70,72.0,,0.72,50.4
2016-08-17,81,72.0,,0.72,58.32
2016-08-18,69,72.0,,0.72,49.68
2016-08-19,77,72.0,,0.72,55.44
2016-08-20,100,72.0,,0.72,72.0
2016-08-21,93,72.0,,0.72,66.96
2016-08-22,80,72.0,,0.72,57.599999999999994
2016-08-23,62,72.0,,0.72,44.64
2016-08-24,72,72.0,,0.72,51.839999999999996
2016-08-25,74,72.0,,0.72,53.28
2016-08-26,71,72.0,,0.72,51.12
2016-08-27,80,72.0,,0.72,57.599999999999994
2016-08-28,77,72.0,,0.72,55.44
2016-08-29,68,72.0,,0.72,48.96
2016-08-30,67,72.0,,0.72,48.239999999999995
2016-08-31,62,72.0,,0.72,44.64
2016-09-01,80,66.0,False,0.66,52.800000000000004
2016-09-02,71,66.0,,0.66,46.86
2016-09-03,68,66.0,,0.66,44.88
2016-09-04,92,66.0,,0.66,60.720000000000006
2016-09-05,74,66.0,,0.66,48.84
2016-09-06,74,66.0,,0.66,48.84
2016-09-07,82,66.0,,0.66,54.120000000000005
2016-09-08,76,66.0,,0.66,50.160000000000004
2016-09-09,79,66.0,,0.66,52.14
2016-09-10,100,66.0,,0.66,66.0
2016-09-11,82,66.0,,0.66,54.120000000000005
2016-09-12,71,66.0,,0.66,46.86
2016-09-13,79,66.0,,0.66,52.14
2016-09-14,65,66.0,,0.66,42.9
2016-09-15,79,66.0,,0.66,52.14
2016-09-16,81,66.0,,0.66,53.46
2016-09-17,66,66.0,,0.66,43.56
2016-09-18,87,66.0,,0.66,57.42
2016-09-19,75,66.0,,0.66,49.5
2016-09-20,71,66.0,,0.66,46.86
2016-09-21,71,66.0,,0.66,46.86
2016-09-22,70,66.0,,0.66,46.2
2016-09-23,68,66.0,,0.66,44.88
2016-09-24,61,66.0,,0.66,40.260000000000005
2016-09-25,77,66.0,,0.66,50.82
2016-09-26,66,66.0,,0.66,43.56
2016-09-27,73,66.0,,0.66,48.18
2016-09-28,71,66.0,,0.66,46.86
2016-09-29,70,66.0,,0.66,46.2
2016-09-30,62,66.0,,0.66,40.92
2016-10-01,82,65.0,False,0.65,53.300000000000004
2016-10-02,82,65.0,,0.65,53.300000000000004
2016-10-03,71,65.0,,0.65,46.15
2016-10-04,80,65.0,,0.65,52.0
2016-10-05,74,65.0,,0.65,48.1
2016-10-06,86,65.0,,0.65,55.9
2016-10-07,91,65.0,,0.65,59.15
2016-10-08,88,65.0,,0.65,57.2
2016-10-09,88,65.0,,0.65,57.2
2016-10-10,75,65.0,,0.65,48.75
2016-10-11,72,65.0,,0.65,46.800000000000004
2016-10-12,77,65.0,,0.65,50.050000000000004
2016-10-13,84,65.0,,0.65,54.6
2016-10-14,100,65.0,,0.65,65.0
2016-10-15,94,65.0,,0.65,61.1
2016-10-16,93,65.0,,0.65,60.45
2016-10-17,86,65.0,,0.65,55.9
2016-10-18,83,65.0,,0.65,53.95
2016-10-19,73,65.0,,0.65,47.45
2016-10-20,78,65.0,,0.65,50.7
2016-10-21,82,65.0,,0.65,53.300000000000004
2016-10-22,88,65.0,,0.65,57.2
2016-10-23,81,65.0,,0.65,52.65
2016-10-24,78,65.0,,0.65,50.7
2016-10-25,89,65.0,,0.65,57.85
2016-10-26,94,65.0,,0.65,61.1
2016-10-27,90,65.0,,0.65,58.5
2016-10-28,98,65.0,,0.65,63.7
2016-10-29,87,65.0,,0.65,56.550000000000004
2016-10-30,85,65.0,,0.65,55.25
2016-10-31,83,65.0,,0.65,53.95
2016-11-01,49,70.0,False,0.7,34.3
2016-11-02,50,70.0,,0.7,35.0
2016-11-03,57,70.0,,0.7,39.9
2016-11-04,57,70.0,,0.7,39.9
2016-11-05,63,70.0,,0.7,44.099999999999994
2016-11-06,51,70.0,,0.7,35.699999999999996
2016-11-07,49,70.0,,0.7,34.3
2016-11-08,51,70.0,,0.7,35.699999999999996
2016-11-09,40,70.0,,0.7,28.0
2016-11-10,55,70.0,,0.7,38.5
2016-11-11,57,70.0,,0.7,39.9
2016-11-12,58,70.0,,0.7,40.599999999999994
2016-11-13,100,70.0,,0.7,70.0
2016-11-14,62,70.0,,0.7,43.4
2016-11-15,61,70.0,,0.7,42.699999999999996
2016-11-16,51,70.0,,0.7,35.699999999999996
2016-11-17,55,70.0,,0.7,38.5
2016-11-18,66,70.0,,0.7,46.199999999999996
2016-11-19,60,70.0,,0.7,42.0
2016-11-20,70,70.0,,0.7,49.0
2016-11-21,64,70.0,,0.7,44.8
2016-11-22,61,70.0,,0.7,42.699999999999996
2016-11-23,52,70.0,,0.7,36.4
2016-11-24,65,70.0,,0.7,45.5
2016-11-25,61,70.0,,0.7,42.699999999999996
2016-11-26,61,70.0,,0.7,42.699999999999996
2016-11-27,55,70.0,,0.7,38.5
2016-11-28,58,70.0,,0.7,40.599999999999994
2016-11-29,57,70.0,,0.7,39.9
2016-11-30,57,70.0,,0.7,39.9
2016-12-01,45,73.0,False,0.73,32.85
2016-12-02,45,73.0,,0.73,32.85
2016-12-03,49,73.0,,0.73,35.769999999999996
2016-12-04,39,73.0,,0.73,28.47
2016-12-05,43,73.0,,0.73,31.39
2016-12-06,41,73.0,,0.73,29.93
2016-12-07,43,73.0,,0.73,31.39
2016-12-08,48,73.0,,0.73,35.04
2016-12-09,55,73.0,,0.73,40.15
2016-12-10,44,73.0,,0.73,32.12
2016-12-11,56,73.0,,0.73,40.879999999999995
2016-12-12,44,73.0,,0.73,32.12
2016-12-13,45,73.0,,0.73,32.85
2016-12-14,41,73.0,,0.73,29.93
2016-12-15,43,73.0,,0.73,31.39
2016-12-16,50,73.0,,0.73,36.5
2016-12-17,45,73.0,,0.73,32.85
2016-12-18,44,73.0,,0.73,32.12
2016-12-19,51,73.0,,0.73,37.23
2016-12-20,45,73.0,,0.73,32.85
2016-12-21,40,73.0,,0.73,29.2
2016-12-22,52,73.0,,0.73,37.96
2016-12-23,47,73.0,,0.73,34.31
2016-12-24,45,73.0,,0.73,32.85
2016-12-25,47,73.0,,0.73,34.31
2016-12-26,41,73.0,,0.73,29.93
2016-12-27,46,73.0,,0.73,33.58
2016-12-28,47,73.0,,0.73,34.31
2016-12-29,46,73.0,,0.73,33.58
2016-12-30,49,73.0,,0.73,35.769999999999996
2016-12-31,100,73.0,,0.73,73.0
2017-01-01,94,73.0,False,0.73,68.62
2017-01-02,85,73.0,,0.73,62.05
2017-01-03,82,73.0,,0.73,59.86
2017-01-04,92,73.0,,0.73,67.16
2017-01-05,83,73.0,,0.73,60.589999999999996
2017-01-06,81,73.0,,0.73,59.129999999999995
2017-01-07,72,73.0,,0.73,52.56
2017-01-08,86,73.0,,0.73,62.78
2017-01-09,78,73.0,,0.73,56.94
2017-01-10,79,73.0,,0.73,57.67
2017-01-11,73,73.0,,0.73,53.29
2017-01-12,68,73.0,,0.73,49.64
2017-01-13,100,73.0,,0.73,73.0
2017-01-14,82,73.0,,0.73,59.86
2017-01-15,78,73.0,,0.73,56.94
2017-01-16,75,73.0,,0.73,54.75
2017-01-17,78,73.0,,0.73,56.94
2017-01-18,88,73.0,,0.73,64.24
2017-01-19,83,73.0,,0.73,60.589999999999996
2017-01-20,83,73.0,,0.73,60.589999999999996
2017-01-21,80,73.0,,0.73,58.4
2017-01-22,92,73.0,,0.73,67.16
2017-01-23,78,73.0,,0.73,56.94
2017-01-24,85,73.0,,0.73,62.05
2017-01-25,78,73.0,,0.73,56.94
2017-01-26,72,73.0,,0.73,52.56
2017-01-27,76,73.0,,0.73,55.48
2017-01-28,78,73.0,,0.73,56.94
2017-01-29,91,73.0,,0.73,66.42999999999999
2017-01-30,86,73.0,,0.73,62.78
2017-01-31,87,73.0,,0.73,63.51
2017-02-01,82,73.0,False,0.73,59.86
2017-02-02,85,73.0,,0.73,62.05
2017-02-03,83,73.0,,0.73,60.589999999999996
2017-02-04,88,73.0,,0.73,64.24
2017-02-05,90,73.0,,0.73,65.7
2017-02-06,73,73.0,,0.73,53.29
2017-02-07,91,73.0,,0.73,66.42999999999999
2017-02-08,78,73.0,,0.73,56.94
2017-02-09,79,73.0,,0.73,57.67
2017-02-10,94,73.0,,0.73,68.62
2017-02-11,88,73.0,,0.73,64.24
2017-02-12,100,73.0,,0.73,73.0
2017-02-13,88,73.0,,0.73,64.24
2017-02-14,80,73.0,,0.73,58.4
2017-02-15,89,73.0,,0.73,64.97
2017-02-16,87,73.0,,0.73,63.51
2017-02-17,89,73.0,,0.73,64.97
2017-02-18,91,73.0,,0.73,66.42999999999999
2017-02-19,90,73.0,,0.73,65.7
2017-02-20,84,73.0,,0.73,61.32
2017-02-21,99,73.0,,0.73,72.27
2017-02-22,87,73.0,,0.73,63.51
2017-02-23,90,73.0,,0.73,65.7
2017-02-24,79,73.0,,0.73,57.67
2017-02-25,79,73.0,,0.73,57.67
2017-02-26,87,73.0,,0.73,63.51
2017-02-27,74,73.0,,0.73,54.019999999999996
2017-02-28,95,73.0,,0.73,69.35
2017-03-01,91,71.0,False,0.71,64.61
2017-03-02,79,71.0,,0.71,56.089999999999996
2017-03-03,74,71.0,,0.71,52.54
2017-03-04,83,71.0,,0.71,58.93
2017-03-05,100,71.0,,0.71,71.0
2017-03-06,82,71.0,,0.71,58.22
2017-03-07,76,71.0,,0.71,53.959999999999994
2017-03-08,81,71.0,,0.71,57.51
2017-03-09,78,71.0,,0.71,55.379999999999995
2017-03-10,94,71.0,,0.71,66.74
2017-03-11,91,71.0,,0.71,64.61
2017-03-12,92,71.0,,0.71,65.32
2017-03-13,93,71.0,,0.71,66.03
2017-03-14,97,71.0,,0.71,68.86999999999999
2017-03-15,82,71.0,,0.71,58.22
2017-03-16,92,71.0,,0.71,65.32
2017-03-17,84,71.0,,0.71,59.64
2017-03-18,79,71.0,,0.71,56.089999999999996
2017-03-19,92,71.0,,0.71,65.32
2017-03-20,85,71.0,,0.71,60.349999999999994
2017-03-21,83,71.0,,0.71,58.93
2017-03-22,85,71.0,,0.71,60.349999999999994
2017-03-23,89,71.0,,0.71,63.19
2017-03-24,86,71.0,,0.71,61.059999999999995
2017-03-25,87,71.0,,0.71,61.769999999999996
2017-03-26,82,71.0,,0.71,58.22
2017-03-27,82,71.0,,0.71,58.22
2017-03-28,82,71.0,,0.71,58.22
2017-03-29,79,71.0,,0.71,56.089999999999996
2017-03-30,88,71.0,,0.71,62.48
2017-03-31,91,71.0,,0.71,64.61
2017-04-01,100,70.0,False,0.7,70.0
2017-04-02,79,70.0,,0.7,55.3
2017-04-03,76,70.0,,0.7,53.199999999999996
2017-04-04,82,70.0,,0.7,57.4
2017-04-05,75,70.0,,0.7,52.5
2017-04-06,83,70.0,,0.7,58.099999999999994
2017-04-07,93,70.0,,0.7,65.1
2017-04-08,90,70.0,,0.7,62.99999999999999
2017-04-09,97,70.0,,0.7,67.89999999999999
2017-04-10,77,70.0,,0.7,53.9
2017-04-11,75,70.0,,0.7,52.5
2017-04-12,84,70.0,,0.7,58.8
2017-04-13,80,70.0,,0.7,56.0
2017-04-14,95,70.0,,0.7,66.5
2017-04-15,99,70.0,,0.7,69.3
2017-04-16,91,70.0,,0.7,63.699999999999996
2017-04-17,83,70.0,,0.7,58.099999999999994
2017-04-18,82,70.0,,0.7,57.4
2017-04-19,89,70.0,,0.7,62.3
2017-04-20,87,70.0,,0.7,60.9
2017-04-21,82,70.0,,0.7,57.4
2017-04-22,83,70.0,,0.7,58.099999999999994
2017-04-23,75,70.0,,0.7,52.5
2017-04-24,84,70.0,,0.7,58.8
2017-04-25,95,70.0,,0.7,66.5
2017-04-26,82,70.0,,0.7,57.4
2017-04-27,77,70.0,,0.7,53.9
2017-04-28,82,70.0,,0.7,57.4
2017-04-29,81,70.0,,0.7,56.699999999999996
2017-04-30,93,70.0,,0.7,65.1
2017-05-01,90,69.0,False,0.69,62.099999999999994
2017-05-02,77,69.0,,0.69,53.129999999999995
2017-05-03,79,69.0,,0.69,54.51
2017-05-04,76,69.0,,0.69,52.44
2017-05-05,77,69.0,,0.69,53.129999999999995
2017-05-06,91,69.0,,0.69,62.78999999999999
2017-05-07,95,69.0,,0.69,65.55
2017-05-08,80,69.0,,0.69,55.199999999999996
2017-05-09,75,69.0,,0.69,51.74999999999999
2017-05-10,76,69.0,,0.69,52.44
2017-05-11,82,69.0,,0.69,56.58
2017-05-12,79,69.0,,0.69,54.51
2017-05-13,81,69.0,,0.69,55.88999999999999
2017-05-14,100,69.0,,0.69,69.0
2017-05-15,76,69.0,,0.69,52.44
2017-05-16,77,69.0,,0.69,53.129999999999995
2017-05-17,79,69.0,,0.69,54.51
2017-05-18,86,69.0,,0.69,59.339999999999996
2017-05-19,77,69.0,,0.69,53.129999999999995
2017-05-20,88,69.0,,0.69,60.72
2017-05-21,84,69.0,,0.69,57.959999999999994
2017-05-22,84,69.0,,0.69,57.959999999999994
2017-05-23,81,69.0,,0.69,55.88999999999999
2017-05-24,84,69.0,,0.69,57.959999999999994
2017-05-25,81,69.0,,0.69,55.88999999999999
2017-05-26,89,69.0,,0.69,61.41
2017-05-27,69,69.0,,0.69,47.61
2017-05-28,98,69.0,,0.69,67.61999999999999
2017-05-29,82,69.0,,0.69,56.58
2017-05-30,81,69.0,,0.69,55.88999999999999
2017-05-31,86,69.0,,0.69,59.339999999999996
2017-06-01,64,69.0,False,0.69,44.16
2017-06-02,68,69.0,,0.69,46.919999999999995
2017-06-03,75,69.0,,0.69,51.74999999999999
2017-06-04,70,69.0,,0.69,48.3
2017-06-05,66,69.0,,0.69,45.54
2017-06-06,64,69.0,,0.69,44.16
2017-06-07,62,69.0,,0.69,42.779999999999994
2017-06-08,76,69.0,,0.69,52.44
2017-06-09,66,69.0,,0.69,45.54
2017-06-10,65,69.0,,0.69,44.849999999999994
2017-06-11,84,69.0,,0.69,57.959999999999994
2017-06-12,66,69.0,,0.69,45.54
2017-06-13,68,69.0,,0.69,46.919999999999995
2017-06-14,67,69.0,,0.69,46.23
2017-06-15,76,69.0,,0.69,52.44
2017-06-16,77,69.0,,0.69,53.129999999999995
2017-06-17,81,69.0,,0.69,55.88999999999999
2017-06-18,86,69.0,,0.69,59.339999999999996
2017-06-19,100,69.0,,0.69,69.0
2017-06-20,78,69.0,,0.69,53.81999999999999
2017-06-21,68,69.0,,0.69,46.919999999999995
2017-06-22,66,69.0,,0.69,45.54
2017-06-23,74,69.0,,0.69,51.059999999999995
2017-06-24,86,69.0,,0.69,59.339999999999996
2017-06-25,75,69.0,,0.69,51.74999999999999
2017-06-26,70,69.0,,0.69,48.3
2017-06-27,70,69.0,,0.69,48.3
2017-06-28,80,69.0,,0.69,55.199999999999996
2017-06-29,78,69.0,,0.69,53.81999999999999
2017-06-30,75,69.0,,0.69,51.74999999999999
2017-07-01,51,77.0,False,0.77,39.27
2017-07-02,67,77.0,,0.77,51.59
2017-07-03,54,77.0,,0.77,41.58
2017-07-04,74,77.0,,0.77,56.980000000000004
2017-07-05,69,77.0,,0.77,53.13
2017-07-06,58,77.0,,0.77,44.660000000000004
2017-07-07,63,77.0,,0.77,48.51
2017-07-08,66,77.0,,0.77,50.82
2017-07-09,66,77.0,,0.77,50.82
2017-07-10,62,77.0,,0.77,47.74
2017-07-11,62,77.0,,0.77,47.74
2017-07-12,55,77.0,,0.77,42.35
2017-07-13,70,77.0,,0.77,53.9
2017-07-14,67,77.0,,0.77,51.59
2017-07-15,80,77.0,,0.77,61.6
2017-07-16,66,77.0,,0.77,50.82
2017-07-17,70,77.0,,0.77,53.9
2017-07-18,76,77.0,,0.77,58.52
2017-07-19,71,77.0,,0.77,54.67
2017-07-20,66,77.0,,0.77,50.82
2017-07-21,69,77.0,,0.77,53.13
2017-07-22,70,77.0,,0.77,53.9
2017-07-23,68,77.0,,0.77,52.36
2017-07-24,62,77.0,,0.77,47.74
2017-07-25,69,77.0,,0.77,53.13
2017-07-26,73,77.0,,0.77,56.21
2017-07-27,64,77.0,,0.77,49.28
2017-07-28,69,77.0,,0.77,53.13
2017-07-29,68,77.0,,0.77,52.36
2017-07-30,100,77.0,,0.77,77.0
2017-07-31,75,77.0,,0.77,57.75
2017-08-01,44,100.0,False,1.0,44.0
2017-08-02,48,100.0,,1.0,48.0
2017-08-03,46,100.0,,1.0,46.0
2017-08-04,51,100.0,,1.0,51.0
2017-08-05,46,100.0,,1.0,46.0
2017-08-06,45,100.0,,1.0,45.0
2017-08-07,41,100.0,,1.0,41.0
2017-08-08,47,100.0,,1.0,47.0
2017-08-09,48,100.0,,1.0,48.0
2017-08-10,41,100.0,,1.0,41.0
2017-08-11,49,100.0,,1.0,49.0
2017-08-12,49,100.0,,1.0,49.0
2017-08-13,52,100.0,,1.0,52.0
2017-08-14,41,100.0,,1.0,41.0
2017-08-15,46,100.0,,1.0,46.0
2017-08-16,45,100.0,,1.0,45.0
2017-08-17,52,100.0,,1.0,52.0
2017-08-18,49,100.0,,1.0,49.0
2017-08-19,48,100.0,,1.0,48.0
2017-08-20,56,100.0,,1.0,56.0
2017-08-21,49,100.0,,1.0,49.0
2017-08-22,50,100.0,,1.0,50.0
2017-08-23,50,100.0,,1.0,50.0
2017-08-24,51,100.0,,1.0,51.0
2017-08-25,47,100.0,,1.0,47.0
2017-08-26,62,100.0,,1.0,62.0
2017-08-27,100,100.0,,1.0,100.0
2017-08-28,44,100.0,,1.0,44.0
2017-08-29,45,100.0,,1.0,45.0
2017-08-30,42,100.0,,1.0,42.0
2017-08-31,47,100.0,,1.0,47.0
2017-09-01,89,84.0,False,0.84,74.75999999999999
2017-09-02,81,84.0,,0.84,68.03999999999999
2017-09-03,90,84.0,,0.84,75.6
2017-09-04,77,84.0,,0.84,64.67999999999999
2017-09-05,87,84.0,,0.84,73.08
2017-09-06,72,84.0,,0.84,60.48
2017-09-07,79,84.0,,0.84,66.36
2017-09-08,90,84.0,,0.84,75.6
2017-09-09,84,84.0,,0.84,70.56
2017-09-10,98,84.0,,0.84,82.32
2017-09-11,80,84.0,,0.84,67.2
2017-09-12,91,84.0,,0.84,76.44
2017-09-13,82,84.0,,0.84,68.88
2017-09-14,87,84.0,,0.84,73.08
2017-09-15,94,84.0,,0.84,78.96
2017-09-16,90,84.0,,0.84,75.6
2017-09-17,100,84.0,,0.84,84.0
2017-09-18,81,84.0,,0.84,68.03999999999999
2017-09-19,80,84.0,,0.84,67.2
2017-09-20,74,84.0,,0.84,62.16
2017-09-21,84,84.0,,0.84,70.56
2017-09-22,72,84.0,,0.84,60.48
2017-09-23,78,84.0,,0.84,65.52
2017-09-24,83,84.0,,0.84,69.72
2017-09-25,76,84.0,,0.84,63.839999999999996
2017-09-26,74,84.0,,0.84,62.16
2017-09-27,76,84.0,,0.84,63.839999999999996
2017-09-28,75,84.0,,0.84,63.0
2017-09-29,82,84.0,,0.84,68.88
2017-09-30,91,84.0,,0.84,76.44
2017-10-01,81,81.0,False,0.81,65.61
2017-10-02,66,81.0,,0.81,53.46
2017-10-03,64,81.0,,0.81,51.84
2017-10-04,79,81.0,,0.81,63.99
2017-10-05,73,81.0,,0.81,59.13
2017-10-06,72,81.0,,0.81,58.32000000000001
2017-10-07,100,81.0,,0.81,81.0
2017-10-08,83,81.0,,0.81,67.23
2017-10-09,85,81.0,,0.81,68.85000000000001
2017-10-10,76,81.0,,0.81,61.56
2017-10-11,73,81.0,,0.81,59.13
2017-10-12,72,81.0,,0.81,58.32000000000001
2017-10-13,68,81.0,,0.81,55.080000000000005
2017-10-14,86,81.0,,0.81,69.66000000000001
2017-10-15,88,81.0,,0.81,71.28
2017-10-16,65,81.0,,0.81,52.650000000000006
2017-10-17,73,81.0,,0.81,59.13
2017-10-18,59,81.0,,0.81,47.790000000000006
2017-10-19,59,81.0,,0.81,47.790000000000006
2017-10-20,64,81.0,,0.81,51.84
2017-10-21,71,81.0,,0.81,57.510000000000005
2017-10-22,74,81.0,,0.81,59.940000000000005
2017-10-23,67,81.0,,0.81,54.27
2017-10-24,73,81.0,,0.81,59.13
2017-10-25,65,81.0,,0.81,52.650000000000006
2017-10-26,70,81.0,,0.81,56.7
2017-10-27,66,81.0,,0.81,53.46
2017-10-28,76,81.0,,0.81,61.56
2017-10-29,62,81.0,,0.81,50.220000000000006
2017-10-30,58,81.0,,0.81,46.980000000000004
2017-10-31,55,81.0,,0.81,44.550000000000004
2017-11-01,67,67.0,False,0.67,44.89
2017-11-02,71,67.0,,0.67,47.57
2017-11-03,78,67.0,,0.67,52.260000000000005
2017-11-04,85,67.0,,0.67,56.95
2017-11-05,100,67.0,,0.67,67.0
2017-11-06,68,67.0,,0.67,45.56
2017-11-07,78,67.0,,0.67,52.260000000000005
2017-11-08,66,67.0,,0.67,44.220000000000006
2017-11-09,72,67.0,,0.67,48.24
2017-11-10,74,67.0,,0.67,49.580000000000005
2017-11-11,78,67.0,,0.67,52.260000000000005
2017-11-12,70,67.0,,0.67,46.900000000000006
2017-11-13,63,67.0,,0.67,42.21
2017-11-14,70,67.0,,0.67,46.900000000000006
2017-11-15,70,67.0,,0.67,46.900000000000006
2017-11-16,65,67.0,,0.67,43.550000000000004
2017-11-17,69,67.0,,0.67,46.230000000000004
2017-11-18,73,67.0,,0.67,48.910000000000004
2017-11-19,76,67.0,,0.67,50.92
2017-11-20,60,67.0,,0.67,40.2
2017-11-21,68,67.0,,0.67,45.56
2017-11-22,62,67.0,,0.67,41.54
2017-11-23,64,67.0,,0.67,42.88
2017-11-24,66,67.0,,0.67,44.220000000000006
2017-11-25,66,67.0,,0.67,44.220000000000006
2017-11-26,66,67.0,,0.67,44.220000000000006
2017-11-27,56,67.0,,0.67,37.52
2017-11-28,69,67.0,,0.67,46.230000000000004
2017-11-29,64,67.0,,0.67,42.88
2017-11-30,59,67.0,,0.67,39.53
2017-12-01,74,60.0,False,0.6,44.4
2017-12-02,85,60.0,,0.6,51.0
2017-12-03,100,60.0,,0.6,60.0
2017-12-04,94,60.0,,0.6,56.4
2017-12-05,71,60.0,,0.6,42.6
2017-12-06,79,60.0,,0.6,47.4
2017-12-07,75,60.0,,0.6,45.0
2017-12-08,82,60.0,,0.6,49.199999999999996
2017-12-09,81,60.0,,0.6,48.6
2017-12-10,82,60.0,,0.6,49.199999999999996
2017-12-11,79,60.0,,0.6,47.4
2017-12-12,71,60.0,,0.6,42.6
2017-12-13,68,60.0,,0.6,40.8
2017-12-14,77,60.0,,0.6,46.199999999999996
2017-12-15,82,60.0,,0.6,49.199999999999996
2017-12-16,76,60.0,,0.6,45.6
2017-12-17,64,60.0,,0.6,38.4
2017-12-18,74,60.0,,0.6,44.4
2017-12-19,82,60.0,,0.6,49.199999999999996
2017-12-20,76,60.0,,0.6,45.6
2017-12-21,76,60.0,,0.6,45.6
2017-12-22,78,60.0,,0.6,46.8
2017-12-23,80,60.0,,0.6,48.0
