date,WH_unscaled,WH_monthly,isPartial,scale,WH
2016-08-14,70,55.0,,0.55,38.5
2016-08-15,75,55.0,,0.55,41.25
2016-08-16,87,55.0,,0.55,47.85
2016-08-17,66,55.0,,0.55,36.300000000000004
2016-08-18,56,55.0,,0.55,30.800000000000004
2016-08-19,62,55.0,,0.55,34.1
2016-08-20,73,55.0,,0.55,40.150000000000006
2016-08-21,77,55.0,,0.55,42.35
2016-08-22,86,55.0,,0.55,47.300000000000004
2016-08-23,71,55.0,,0.55,39.050000000000004
2016-08-24,91,55.0,,0.55,50.050000000000004
2016-08-25,74,55.0,,0.55,40.7
2016-08-26,61,55.0,,0.55,33.550000000000004
2016-08-27,68,55.0,,0.55,37.400000000000006
2016-08-28,77,55.0,,0.55,42.35
2016-08-29,81,55.0,,0.55,44.550000000000004
2016-08-30,100,55.0,,0.55,55.00000000000001
2016-08-31,84,55.0,,0.55,46.2
2016-09-01,69,65.0,False,0.65,44.85
2016-09-02,69,65.0,,0.65,44.85
2016-09-03,61,65.0,,0.65,39.65
2016-09-04,77,65.0,,0.65,50.050000000000004
2016-09-05,89,65.0,,0.65,57.85
2016-09-06,75,65.0,,0.65,48.75
2016-09-07,77,65.0,,0.65,50.050000000000004
2016-09-08,80,65.0,,0.65,52.0
2016-09-09,75,65.0,,0.65,48.75
2016-09-10,61,65.0,,0.65,39.65
2016-09-11,58,65.0,,0.65,37.7
2016-09-12,67,65.0,,0.65,43.550000000000004
2016-09-13,85,65.0,,0.65,55.25
2016-09-14,69,65.0,,0.65,44.85
2016-09-15,83,65.0,,0.65,53.95
2016-09-16,77,65.0,,0.65,50.050000000000004
2016-09-17,58,65.0,,0.65,37.7
2016-09-18,60,65.0,,0.65,39.0
2016-09-19,70,65.0,,0.65,45.5
2016-09-20,68,65.0,,0.65,44.2
2016-09-21,81,65.0,,0.65,52.65
2016-09-22,77,65.0,,0.65,50.050000000000004
2016-09-23,81,65.0,,0.65,52.65
2016-09-24,58,65.0,,0.65,37.7
2016-09-25,72,65.0,,0.65,46.800000000000004
2016-09-26,73,65.0,,0.65,47.45
2016-09-27,100,65.0,,0.65,65.0
2016-09-28,80,65.0,,0.65,52.0
2016-09-29,70,65.0,,0.65,45.5
2016-09-30,84,65.0,,0.65,54.6
2016-10-01,76,65.0,False,0.65,49.4
2016-10-02,74,65.0,,0.65,48.1
2016-10-03,84,65.0,,0.65,54.6
2016-10-04,86,65.0,,0.65,55.9
2016-10-05,70,65.0,,0.65,45.5
2016-10-06,85,65.0,,0.65,55.25
2016-10-07,91,65.0,,0.65,59.15
2016-10-08,69,65.0,,0.65,44.85
2016-10-09,76,65.0,,0.65,49.4
2016-10-10,88,65.0,,0.65,57.2
2016-10-11,70,65.0,,0.65,45.5
2016-10-12,93,65.0,,0.65,60.45
2016-10-13,75,65.0,,0.65,48.75
2016-10-14,88,65.0,,0.65,57.2
2016-10-15,71,65.0,,0.65,46.15
2016-10-16,75,65.0,,0.65,48.75
2016-10-17,87,65.0,,0.65,56.550000000000004
2016-10-18,74,65.0,,0.65,48.1
2016-10-19,80,65.0,,0.65,52.0
2016-10-20,85,65.0,,0.65,55.25
2016-10-21,77,65.0,,0.65,50.050000000000004
2016-10-22,58,65.0,,0.65,37.7
2016-10-23,73,65.0,,0.65,47.45
2016-10-24,87,65.0,,0.65,56.550000000000004
2016-10-25,69,65.0,,0.65,44.85
2016-10-26,100,65.0,,0.65,65.0
2016-10-27,82,65.0,,0.65,53.300000000000004
2016-10-28,71,65.0,,0.65,46.15
2016-10-29,60,65.0,,0.65,39.0
2016-10-30,67,65.0,,0.65,43.550000000000004
2016-10-31,78,65.0,,0.65,50.7
2016-11-01,81,67.0,False,0.67,54.27
2016-11-02,77,67.0,,0.67,51.59
2016-11-03,89,67.0,,0.67,59.63
2016-11-04,57,67.0,,0.67,38.190000000000005
2016-11-05,62,67.0,,0.67,41.54
2016-11-06,60,67.0,,0.67,40.2
2016-11-07,84,67.0,,0.67,56.28
2016-11-08,84,67.0,,0.67,56.28
2016-11-09,90,67.0,,0.67,60.300000000000004
2016-11-10,76,67.0,,0.67,50.92
2016-11-11,78,67.0,,0.67,52.260000000000005
2016-11-12,66,67.0,,0.67,44.220000000000006
2016-11-13,67,67.0,,0.67,44.89
2016-11-14,93,67.0,,0.67,62.31
2016-11-15,100,67.0,,0.67,67.0
2016-11-16,81,67.0,,0.67,54.27
2016-11-17,74,67.0,,0.67,49.580000000000005
2016-11-18,71,67.0,,0.67,47.57
2016-11-19,71,67.0,,0.67,47.57
2016-11-20,68,67.0,,0.67,45.56
2016-11-21,81,67.0,,0.67,54.27
2016-11-22,67,67.0,,0.67,44.89
2016-11-23,56,67.0,,0.67,37.52
2016-11-24,60,67.0,,0.67,40.2
2016-11-25,47,67.0,,0.67,31.490000000000002
2016-11-26,48,67.0,,0.67,32.160000000000004
2016-11-27,61,67.0,,0.67,40.870000000000005
2016-11-28,76,67.0,,0.67,50.92
2016-11-29,86,67.0,,0.67,57.620000000000005
2016-11-30,79,67.0,,0.67,52.93
2016-12-01,100,63.0,False,0.63,63.0
2016-12-02,94,63.0,,0.63,59.22
2016-12-03,79,63.0,,0.63,49.77
2016-12-04,68,63.0,,0.63,42.84
2016-12-05,77,63.0,,0.63,48.51
2016-12-06,89,63.0,,0.63,56.07
2016-12-07,92,63.0,,0.63,57.96
2016-12-08,91,63.0,,0.63,57.33
2016-12-09,83,63.0,,0.63,52.29
2016-12-10,56,63.0,,0.63,35.28
2016-12-11,66,63.0,,0.63,41.58
2016-12-12,91,63.0,,0.63,57.33
2016-12-13,69,63.0,,0.63,43.47
2016-12-14,97,63.0,,0.63,61.11
2016-12-15,89,63.0,,0.63,56.07
2016-12-16,79,63.0,,0.63,49.77
2016-12-17,66,63.0,,0.63,41.58
2016-12-18,61,63.0,,0.63,38.43
2016-12-19,79,63.0,,0.63,49.77
2016-12-20,85,63.0,,0.63,53.55
2016-12-21,70,63.0,,0.63,44.1
2016-12-22,75,63.0,,0.63,47.25
2016-12-23,69,63.0,,0.63,43.47
2016-12-24,58,63.0,,0.63,36.54
2016-12-25,68,63.0,,0.63,42.84
2016-12-26,86,63.0,,0.63,54.18
2016-12-27,63,63.0,,0.63,39.69
2016-12-28,77,63.0,,0.63,48.51
2016-12-29,68,63.0,,0.63,42.84
2016-12-30,85,63.0,,0.63,53.55
2016-12-31,66,63.0,,0.63,41.58
2017-01-01,63,69.0,False,0.69,43.47
2017-01-02,49,69.0,,0.69,33.809999999999995
2017-01-03,58,69.0,,0.69,40.019999999999996
2017-01-04,77,69.0,,0.69,53.129999999999995
2017-01-05,70,69.0,,0.69,48.3
2017-01-06,78,69.0,,0.69,53.81999999999999
2017-01-07,70,69.0,,0.69,48.3
2017-01-08,63,69.0,,0.69,43.47
2017-01-09,79,69.0,,0.69,54.51
2017-01-10,81,69.0,,0.69,55.88999999999999
2017-01-11,66,69.0,,0.69,45.54
2017-01-12,78,69.0,,0.69,53.81999999999999
2017-01-13,62,69.0,,0.69,42.779999999999994
2017-01-14,50,69.0,,0.69,34.5
2017-01-15,50,69.0,,0.69,34.5
2017-01-16,60,69.0,,0.69,41.4
2017-01-17,77,69.0,,0.69,53.129999999999995
2017-01-18,75,69.0,,0.69,51.74999999999999
2017-01-19,83,69.0,,0.69,57.269999999999996
2017-01-20,90,69.0,,0.69,62.099999999999994
2017-01-21,93,69.0,,0.69,64.17
2017-01-22,84,69.0,,0.69,57.959999999999994
2017-01-23,93,69.0,,0.69,64.17
2017-01-24,96,69.0,,0.69,66.24
2017-01-25,88,69.0,,0.69,60.72
2017-01-26,87,69.0,,0.69,60.029999999999994
2017-01-27,87,69.0,,0.69,60.029999999999994
2017-01-28,69,69.0,,0.69,47.61
2017-01-29,72,69.0,,0.69,49.67999999999999
2017-01-30,82,69.0,,0.69,56.58
2017-01-31,100,69.0,,0.69,69.0
2017-02-01,83,77.0,False,0.77,63.910000000000004
2017-02-02,94,77.0,,0.77,72.38
2017-02-03,75,77.0,,0.77,57.75
2017-02-04,61,77.0,,0.77,46.97
2017-02-05,61,77.0,,0.77,46.97
2017-02-06,94,77.0,,0.77,72.38
2017-02-07,84,77.0,,0.77,64.68
2017-02-08,78,77.0,,0.77,60.06
2017-02-09,83,77.0,,0.77,63.910000000000004
2017-02-10,71,77.0,,0.77,54.67
2017-02-11,65,77.0,,0.77,50.050000000000004
2017-02-12,61,77.0,,0.77,46.97
2017-02-13,86,77.0,,0.77,66.22
2017-02-14,90,77.0,,0.77,69.3
2017-02-15,83,77.0,,0.77,63.910000000000004
2017-02-16,91,77.0,,0.77,70.07000000000001
2017-02-17,69,77.0,,0.77,53.13
2017-02-18,65,77.0,,0.77,50.050000000000004
2017-02-19,64,77.0,,0.77,49.28
2017-02-20,63,77.0,,0.77,48.51
2017-02-21,80,77.0,,0.77,61.6
2017-02-22,88,77.0,,0.77,67.76
2017-02-23,65,77.0,,0.77,50.050000000000004
2017-02-24,100,77.0,,0.77,77.0
2017-02-25,62,77.0,,0.77,47.74
2017-02-26,71,77.0,,0.77,54.67
2017-02-27,90,77.0,,0.77,69.3
2017-02-28,76,77.0,,0.77,58.52
2017-03-01,83,71.0,False,0.71,58.93
2017-03-02,76,71.0,,0.71,53.959999999999994
2017-03-03,92,71.0,,0.71,65.32
2017-03-04,73,71.0,,0.71,51.83
2017-03-05,81,71.0,,0.71,57.51
2017-03-06,100,71.0,,0.71,71.0
2017-03-07,87,71.0,,0.71,61.769999999999996
2017-03-08,92,71.0,,0.71,65.32
2017-03-09,86,71.0,,0.71,61.059999999999995
2017-03-10,75,71.0,,0.71,53.25
2017-03-11,61,71.0,,0.71,43.309999999999995
2017-03-12,74,71.0,,0.71,52.54
2017-03-13,68,71.0,,0.71,48.28
2017-03-14,81,71.0,,0.71,57.51
2017-03-15,88,71.0,,0.71,62.48
2017-03-16,90,71.0,,0.71,63.9
2017-03-17,91,71.0,,0.71,64.61
2017-03-18,67,71.0,,0.71,47.57
2017-03-19,68,71.0,,0.71,48.28
2017-03-20,94,71.0,,0.71,66.74
2017-03-21,99,71.0,,0.71,70.28999999999999
2017-03-22,70,71.0,,0.71,49.699999999999996
2017-03-23,77,71.0,,0.71,54.669999999999995
2017-03-24,83,71.0,,0.71,58.93
2017-03-25,58,71.0,,0.71,41.18
2017-03-26,67,71.0,,0.71,47.57
2017-03-27,87,71.0,,0.71,61.769999999999996
2017-03-28,96,71.0,,0.71,68.16
2017-03-29,86,71.0,,0.71,61.059999999999995
2017-03-30,92,71.0,,0.71,65.32
2017-03-31,84,71.0,,0.71,59.64
2017-04-01,48,72.0,False,0.72,34.56
2017-04-02,47,72.0,,0.72,33.839999999999996
2017-04-03,57,72.0,,0.72,41.04
2017-04-04,51,72.0,,0.72,36.72
2017-04-05,46,72.0,,0.72,33.12
2017-04-06,63,72.0,,0.72,45.36
2017-04-07,48,72.0,,0.72,34.56
2017-04-08,46,72.0,,0.72,33.12
2017-04-09,41,72.0,,0.72,29.52
2017-04-10,55,72.0,,0.72,39.6
2017-04-11,58,72.0,,0.72,41.76
2017-04-12,48,72.0,,0.72,34.56
2017-04-13,52,72.0,,0.72,37.44
2017-04-14,54,72.0,,0.72,38.879999999999995
2017-04-15,50,72.0,,0.72,36.0
2017-04-16,58,72.0,,0.72,41.76
2017-04-17,74,72.0,,0.72,53.28
2017-04-18,62,72.0,,0.72,44.64
2017-04-19,61,72.0,,0.72,43.92
2017-04-20,62,72.0,,0.72,44.64
2017-04-21,54,72.0,,0.72,38.879999999999995
2017-04-22,52,72.0,,0.72,37.44
2017-04-23,47,72.0,,0.72,33.839999999999996
2017-04-24,68,72.0,,0.72,48.96
2017-04-25,70,72.0,,0.72,50.4
2017-04-26,69,72.0,,0.72,49.68
2017-04-27,56,72.0,,0.72,40.32
2017-04-28,47,72.0,,0.72,33.839999999999996
2017-04-29,44,72.0,,0.72,31.68
2017-04-30,100,72.0,,0.72,72.0
2017-05-01,77,73.0,False,0.73,56.21
2017-05-02,66,73.0,,0.73,48.18
2017-05-03,73,73.0,,0.73,53.29
2017-05-04,62,73.0,,0.73,45.26
2017-05-05,71,73.0,,0.73,51.83
2017-05-06,54,73.0,,0.73,39.42
2017-05-07,55,73.0,,0.73,40.15
2017-05-08,89,73.0,,0.73,64.97
2017-05-09,68,73.0,,0.73,49.64
2017-05-10,78,73.0,,0.73,56.94
2017-05-11,82,73.0,,0.73,59.86
2017-05-12,70,73.0,,0.73,51.1
2017-05-13,52,73.0,,0.73,37.96
2017-05-14,60,73.0,,0.73,43.8
2017-05-15,83,73.0,,0.73,60.589999999999996
2017-05-16,100,73.0,,0.73,73.0
2017-05-17,68,73.0,,0.73,49.64
2017-05-18,75,73.0,,0.73,54.75
2017-05-19,81,73.0,,0.73,59.129999999999995
2017-05-20,80,73.0,,0.73,58.4
2017-05-21,60,73.0,,0.73,43.8
2017-05-22,52,73.0,,0.73,37.96
2017-05-23,56,73.0,,0.73,40.879999999999995
2017-05-24,64,73.0,,0.73,46.72
2017-05-25,49,73.0,,0.73,35.769999999999996
2017-05-26,64,73.0,,0.73,46.72
2017-05-27,40,73.0,,0.73,29.2
2017-05-28,54,73.0,,0.73,39.42
2017-05-29,62,73.0,,0.73,45.26
2017-05-30,90,73.0,,0.73,65.7
2017-05-31,78,73.0,,0.73,56.94
2017-06-01,84,65.0,False,0.65,54.6
2017-06-02,92,65.0,,0.65,59.800000000000004
2017-06-03,83,65.0,,0.65,53.95
2017-06-04,85,65.0,,0.65,55.25
2017-06-05,90,65.0,,0.65,58.5
2017-06-06,98,65.0,,0.65,63.7
2017-06-07,87,65.0,,0.65,56.550000000000004
2017-06-08,93,65.0,,0.65,60.45
2017-06-09,74,65.0,,0.65,48.1
2017-06-10,58,65.0,,0.65,37.7
2017-06-11,70,65.0,,0.65,45.5
2017-06-12,83,65.0,,0.65,53.95
2017-06-13,83,65.0,,0.65,53.95
2017-06-14,72,65.0,,0.65,46.800000000000004
2017-06-15,64,65.0,,0.65,41.6
2017-06-16,73,65.0,,0.65,47.45
2017-06-17,69,65.0,,0.65,44.85
2017-06-18,66,65.0,,0.65,42.9
2017-06-19,86,65.0,,0.65,55.9
2017-06-20,71,65.0,,0.65,46.15
2017-06-21,63,65.0,,0.65,40.95
2017-06-22,77,65.0,,0.65,50.050000000000004
2017-06-23,76,65.0,,0.65,49.4
2017-06-24,74,65.0,,0.65,48.1
2017-06-25,60,65.0,,0.65,39.0
2017-06-26,77,65.0,,0.65,50.050000000000004
2017-06-27,86,65.0,,0.65,55.9
2017-06-28,75,65.0,,0.65,48.75
2017-06-29,100,65.0,,0.65,65.0
2017-06-30,90,65.0,,0.65,58.5
2017-07-01,52,62.0,False,0.62,32.24
2017-07-02,69,62.0,,0.62,42.78
2017-07-03,58,62.0,,0.62,35.96
2017-07-04,57,62.0,,0.62,35.339999999999996
2017-07-05,51,62.0,,0.62,31.62
2017-07-06,55,62.0,,0.62,34.1
2017-07-07,52,62.0,,0.62,32.24
2017-07-08,57,62.0,,0.62,35.339999999999996
2017-07-09,58,62.0,,0.62,35.96
2017-07-10,58,62.0,,0.62,35.96
2017-07-11,78,62.0,,0.62,48.36
2017-07-12,59,62.0,,0.62,36.58
2017-07-13,67,62.0,,0.62,41.54
2017-07-14,56,62.0,,0.62,34.72
2017-07-15,45,62.0,,0.62,27.9
2017-07-16,58,62.0,,0.62,35.96
2017-07-17,57,62.0,,0.62,35.339999999999996
2017-07-18,63,62.0,,0.62,39.06
2017-07-19,60,62.0,,0.62,37.2
2017-07-20,56,62.0,,0.62,34.72
2017-07-21,90,62.0,,0.62,55.8
2017-07-22,64,62.0,,0.62,39.68
2017-07-23,62,62.0,,0.62,38.44
2017-07-24,71,62.0,,0.62,44.02
2017-07-25,66,62.0,,0.62,40.92
2017-07-26,61,62.0,,0.62,37.82
2017-07-27,62,62.0,,0.62,38.44
2017-07-28,85,62.0,,0.62,52.7
2017-07-29,72,62.0,,0.62,44.64
2017-07-30,56,62.0,,0.62,34.72
2017-07-31,100,62.0,,0.62,62.0
2017-08-01,91,61.0,False,0.61,55.51
2017-08-02,100,61.0,,0.61,61.0
2017-08-03,94,61.0,,0.61,57.339999999999996
2017-08-04,86,61.0,,0.61,52.46
2017-08-05,56,61.0,,0.61,34.16
2017-08-06,59,61.0,,0.61,35.99
2017-08-07,67,61.0,,0.61,40.87
2017-08-08,64,61.0,,0.61,39.04
2017-08-09,72,61.0,,0.61,43.92
2017-08-10,68,61.0,,0.61,41.48
2017-08-11,76,61.0,,0.61,46.36
2017-08-12,70,61.0,,0.61,42.699999999999996
2017-08-13,62,61.0,,0.61,37.82
2017-08-14,92,61.0,,0.61,56.12
2017-08-15,69,61.0,,0.61,42.089999999999996
2017-08-16,75,61.0,,0.61,45.75
2017-08-17,77,61.0,,0.61,46.97
2017-08-18,74,61.0,,0.61,45.14
2017-08-19,68,61.0,,0.61,41.48
2017-08-20,55,61.0,,0.61,33.55
2017-08-21,72,61.0,,0.61,43.92
2017-08-22,75,61.0,,0.61,45.75
2017-08-23,72,61.0,,0.61,43.92
2017-08-24,83,61.0,,0.61,50.629999999999995
2017-08-25,87,61.0,,0.61,53.07
2017-08-26,53,61.0,,0.61,32.33
2017-08-27,68,61.0,,0.61,41.48
2017-08-28,75,61.0,,0.61,45.75
2017-08-29,72,61.0,,0.61,43.92
2017-08-30,78,61.0,,0.61,47.58
2017-08-31,73,61.0,,0.61,44.53
2017-09-01,80,61.0,False,0.61,48.8
2017-09-02,59,61.0,,0.61,35.99
2017-09-03,69,61.0,,0.61,42.089999999999996
2017-09-04,75,61.0,,0.61,45.75
2017-09-05,73,61.0,,0.61,44.53
2017-09-06,60,61.0,,0.61,36.6
2017-09-07,72,61.0,,0.61,43.92
2017-09-08,79,61.0,,0.61,48.19
2017-09-09,58,61.0,,0.61,35.38
2017-09-10,65,61.0,,0.61,39.65
2017-09-11,67,61.0,,0.61,40.87
2017-09-12,86,61.0,,0.61,52.46
2017-09-13,98,61.0,,0.61,59.78
2017-09-14,83,61.0,,0.61,50.629999999999995
2017-09-15,82,61.0,,0.61,50.019999999999996
2017-09-16,62,61.0,,0.61,37.82
2017-09-17,62,61.0,,0.61,37.82
2017-09-18,72,61.0,,0.61,43.92
2017-09-19,71,61.0,,0.61,43.31
2017-09-20,71,61.0,,0.61,43.31
2017-09-21,76,61.0,,0.61,46.36
2017-09-22,65,61.0,,0.61,39.65
2017-09-23,85,61.0,,0.61,51.85
2017-09-24,61,61.0,,0.61,37.21
2017-09-25,81,61.0,,0.61,49.41
2017-09-26,88,61.0,,0.61,53.68
2017-09-27,88,61.0,,0.61,53.68
2017-09-28,100,61.0,,0.61,61.0
2017-09-29,88,61.0,,0.61,53.68
2017-09-30,82,61.0,,0.61,50.019999999999996
2017-10-01,78,72.0,False,0.72,56.16
2017-10-02,69,72.0,,0.72,49.68
2017-10-03,63,72.0,,0.72,45.36
2017-10-04,75,72.0,,0.72,54.0
2017-10-05,80,72.0,,0.72,57.599999999999994
2017-10-06,69,72.0,,0.72,49.68
2017-10-07,57,72.0,,0.72,41.04
2017-10-08,59,72.0,,0.72,42.48
2017-10-09,53,72.0,,0.72,38.16
2017-10-10,83,72.0,,0.72,59.76
2017-10-11,72,72.0,,0.72,51.839999999999996
2017-10-12,77,72.0,,0.72,55.44
2017-10-13,71,72.0,,0.72,51.12
2017-10-14,58,72.0,,0.72,41.76
2017-10-15,55,72.0,,0.72,39.6
2017-10-16,61,72.0,,0.72,43.92
2017-10-17,78,72.0,,0.72,56.16
2017-10-18,64,72.0,,0.72,46.08
2017-10-19,88,72.0,,0.72,63.36
2017-10-20,66,72.0,,0.72,47.519999999999996
2017-10-21,58,72.0,,0.72,41.76
2017-10-22,66,72.0,,0.72,47.519999999999996
2017-10-23,78,72.0,,0.72,56.16
2017-10-24,100,72.0,,0.72,72.0
2017-10-25,86,72.0,,0.72,61.919999999999995
2017-10-26,73,72.0,,0.72,52.559999999999995
2017-10-27,70,72.0,,0.72,50.4
2017-10-28,60,72.0,,0.72,43.199999999999996
2017-10-29,57,72.0,,0.72,41.04
2017-10-30,95,72.0,,0.72,68.39999999999999
2017-10-31,67,72.0,,0.72,48.239999999999995
2017-11-01,96,67.0,False,0.67,64.32000000000001
2017-11-02,83,67.0,,0.67,55.61000000000001
2017-11-03,76,67.0,,0.67,50.92
2017-11-04,59,67.0,,0.67,39.53
2017-11-05,73,67.0,,0.67,48.910000000000004
2017-11-06,66,67.0,,0.67,44.220000000000006
2017-11-07,90,67.0,,0.67,60.300000000000004
2017-11-08,100,67.0,,0.67,67.0
2017-11-09,83,67.0,,0.67,55.61000000000001
2017-11-10,72,67.0,,0.67,48.24
2017-11-11,60,67.0,,0.67,40.2
2017-11-12,67,67.0,,0.67,44.89
2017-11-13,84,67.0,,0.67,56.28
2017-11-14,85,67.0,,0.67,56.95
2017-11-15,79,67.0,,0.67,52.93
2017-11-16,96,67.0,,0.67,64.32000000000001
2017-11-17,76,67.0,,0.67,50.92
2017-11-18,74,67.0,,0.67,49.580000000000005
2017-11-19,68,67.0,,0.67,45.56
2017-11-20,64,67.0,,0.67,42.88
2017-11-21,73,67.0,,0.67,48.910000000000004
2017-11-22,68,67.0,,0.67,45.56
2017-11-23,66,67.0,,0.67,44.220000000000006
2017-11-24,66,67.0,,0.67,44.220000000000006
2017-11-25,63,67.0,,0.67,42.21
2017-11-26,69,67.0,,0.67,46.230000000000004
2017-11-27,82,67.0,,0.67,54.940000000000005
2017-11-28,82,67.0,,0.67,54.940000000000005
2017-11-29,95,67.0,,0.67,63.650000000000006
2017-11-30,90,67.0,,0.67,60.300000000000004
2017-12-01,95,68.0,False,0.68,64.60000000000001
2017-12-02,75,68.0,,0.68,51.00000000000001
2017-12-03,78,68.0,,0.68,53.040000000000006
2017-12-04,86,68.0,,0.68,58.480000000000004
2017-12-05,88,68.0,,0.68,59.84
2017-12-06,94,68.0,,0.68,63.92
2017-12-07,98,68.0,,0.68,66.64
2017-12-08,97,68.0,,0.68,65.96000000000001
2017-12-09,62,68.0,,0.68,42.160000000000004
2017-12-10,70,68.0,,0.68,47.6
2017-12-11,82,68.0,,0.68,55.760000000000005
2017-12-12,100,68.0,,0.68,68.0
2017-12-13,89,68.0,,0.68,60.52
2017-12-14,100,68.0,,0.68,68.0
2017-12-15,89,68.0,,0.68,60.52
2017-12-16,70,68.0,,0.68,47.6
2017-12-17,66,68.0,,0.68,44.88
2017-12-18,82,68.0,,0.68,55.760000000000005
2017-12-19,84,68.0,,0.68,57.120000000000005
2017-12-20,92,68.0,,0.68,62.56
2017-12-21,69,68.0,,0.68,46.92
2017-12-22,83,68.0,,0.68,56.440000000000005
2017-12-23,64,68.0,,0.68,43.52
