date,NOK_unscaled,NOK_monthly,isPartial,scale,NOK
2016-07-24,45,9.0,,0.09,4.05
2016-07-25,64,9.0,,0.09,5.76
2016-07-26,94,9.0,,0.09,8.459999999999999
2016-07-27,73,9.0,,0.09,6.569999999999999
2016-07-28,62,9.0,,0.09,5.58
2016-07-29,52,9.0,,0.09,4.68
2016-07-30,55,9.0,,0.09,4.95
2016-07-31,25,9.0,,0.09,2.25
2016-08-01,71,9.0,False,0.09,6.39
2016-08-02,70,9.0,,0.09,6.3
2016-08-03,54,9.0,,0.09,4.859999999999999
2016-08-04,100,9.0,,0.09,9.0
2016-08-05,66,9.0,,0.09,5.9399999999999995
2016-08-06,44,9.0,,0.09,3.96
2016-08-07,36,9.0,,0.09,3.2399999999999998
2016-08-08,55,9.0,,0.09,4.95
2016-08-09,69,9.0,,0.09,6.21
2016-08-10,87,9.0,,0.09,7.83
2016-08-11,68,9.0,,0.09,6.12
2016-08-12,69,9.0,,0.09,6.21
2016-08-13,38,9.0,,0.09,3.42
2016-08-14,15,9.0,,0.09,1.3499999999999999
2016-08-15,59,9.0,,0.09,5.31
2016-08-16,77,9.0,,0.09,6.93
2016-08-17,60,9.0,,0.09,5.3999999999999995
2016-08-18,50,9.0,,0.09,4.5
2016-08-19,48,9.0,,0.09,4.32
2016-08-20,29,9.0,,0.09,2.61
2016-08-21,37,9.0,,0.09,3.33
2016-08-22,62,9.0,,0.09,5.58
2016-08-23,74,9.0,,0.09,6.66
2016-08-24,71,9.0,,0.09,6.39
2016-08-25,51,9.0,,0.09,4.59
2016-08-26,67,9.0,,0.09,6.029999999999999
2016-08-27,36,9.0,,0.09,3.2399999999999998
2016-08-28,51,9.0,,0.09,4.59
2016-08-29,46,9.0,,0.09,4.14
2016-08-30,72,9.0,,0.09,6.4799999999999995
2016-08-31,72,9.0,,0.09,6.4799999999999995
2016-09-01,54,9.0,False,0.09,4.859999999999999
2016-09-02,100,9.0,,0.09,9.0
2016-09-03,50,9.0,,0.09,4.5
2016-09-04,76,9.0,,0.09,6.84
2016-09-05,56,9.0,,0.09,5.04
2016-09-06,58,9.0,,0.09,5.22
2016-09-07,80,9.0,,0.09,7.199999999999999
2016-09-08,72,9.0,,0.09,6.4799999999999995
2016-09-09,86,9.0,,0.09,7.739999999999999
2016-09-10,50,9.0,,0.09,4.5
2016-09-11,37,9.0,,0.09,3.33
2016-09-12,66,9.0,,0.09,5.9399999999999995
2016-09-13,85,9.0,,0.09,7.6499999999999995
2016-09-14,67,9.0,,0.09,6.029999999999999
2016-09-15,61,9.0,,0.09,5.49
2016-09-16,55,9.0,,0.09,4.95
2016-09-17,55,9.0,,0.09,4.95
2016-09-18,57,9.0,,0.09,5.13
2016-09-19,77,9.0,,0.09,6.93
2016-09-20,96,9.0,,0.09,8.64
2016-09-21,71,9.0,,0.09,6.39
2016-09-22,94,9.0,,0.09,8.459999999999999
2016-09-23,69,9.0,,0.09,6.21
2016-09-24,33,9.0,,0.09,2.9699999999999998
2016-09-25,46,9.0,,0.09,4.14
2016-09-26,44,9.0,,0.09,3.96
2016-09-27,62,9.0,,0.09,5.58
2016-09-28,83,9.0,,0.09,7.47
2016-09-29,83,9.0,,0.09,7.47
2016-09-30,46,9.0,,0.09,4.14
2016-10-01,38,9.0,False,0.09,3.42
2016-10-02,67,9.0,,0.09,6.029999999999999
2016-10-03,62,9.0,,0.09,5.58
2016-10-04,66,9.0,,0.09,5.9399999999999995
2016-10-05,70,9.0,,0.09,6.3
2016-10-06,69,9.0,,0.09,6.21
2016-10-07,64,9.0,,0.09,5.76
2016-10-08,43,9.0,,0.09,3.8699999999999997
2016-10-09,42,9.0,,0.09,3.78
2016-10-10,68,9.0,,0.09,6.12
2016-10-11,47,9.0,,0.09,4.2299999999999995
2016-10-12,75,9.0,,0.09,6.75
2016-10-13,78,9.0,,0.09,7.02
2016-10-14,77,9.0,,0.09,6.93
2016-10-15,57,9.0,,0.09,5.13
2016-10-16,30,9.0,,0.09,2.6999999999999997
2016-10-17,65,9.0,,0.09,5.85
2016-10-18,69,9.0,,0.09,6.21
2016-10-19,49,9.0,,0.09,4.41
2016-10-20,70,9.0,,0.09,6.3
2016-10-21,52,9.0,,0.09,4.68
2016-10-22,40,9.0,,0.09,3.5999999999999996
2016-10-23,48,9.0,,0.09,4.32
2016-10-24,68,9.0,,0.09,6.12
2016-10-25,47,9.0,,0.09,4.2299999999999995
2016-10-26,66,9.0,,0.09,5.9399999999999995
2016-10-27,100,9.0,,0.09,9.0
2016-10-28,79,9.0,,0.09,7.109999999999999
2016-10-29,36,9.0,,0.09,3.2399999999999998
2016-10-30,35,9.0,,0.09,3.15
2016-10-31,56,9.0,,0.09,5.04
2016-11-01,58,9.0,False,0.09,5.22
2016-11-02,63,9.0,,0.09,5.67
2016-11-03,46,9.0,,0.09,4.14
2016-11-04,73,9.0,,0.09,6.569999999999999
2016-11-05,58,9.0,,0.09,5.22
2016-11-06,48,9.0,,0.09,4.32
2016-11-07,60,9.0,,0.09,5.3999999999999995
2016-11-08,65,9.0,,0.09,5.85
2016-11-09,100,9.0,,0.09,9.0
2016-11-10,70,9.0,,0.09,6.3
2016-11-11,72,9.0,,0.09,6.4799999999999995
2016-11-12,74,9.0,,0.09,6.66
2016-11-13,28,9.0,,0.09,2.52
2016-11-14,94,9.0,,0.09,8.459999999999999
2016-11-15,98,9.0,,0.09,8.82
2016-11-16,70,9.0,,0.09,6.3
2016-11-17,72,9.0,,0.09,6.4799999999999995
2016-11-18,58,9.0,,0.09,5.22
2016-11-19,39,9.0,,0.09,3.51
2016-11-20,53,9.0,,0.09,4.77
2016-11-21,88,9.0,,0.09,7.92
2016-11-22,86,9.0,,0.09,7.739999999999999
2016-11-23,67,9.0,,0.09,6.029999999999999
2016-11-24,26,9.0,,0.09,2.34
2016-11-25,92,9.0,,0.09,8.28
2016-11-26,36,9.0,,0.09,3.2399999999999998
2016-11-27,44,9.0,,0.09,3.96
2016-11-28,84,9.0,,0.09,7.56
2016-11-29,77,9.0,,0.09,6.93
2016-11-30,77,9.0,,0.09,6.93
2016-12-01,77,9.0,False,0.09,6.93
2016-12-02,63,9.0,,0.09,5.67
2016-12-03,29,9.0,,0.09,2.61
2016-12-04,41,9.0,,0.09,3.69
2016-12-05,67,9.0,,0.09,6.029999999999999
2016-12-06,55,9.0,,0.09,4.95
2016-12-07,42,9.0,,0.09,3.78
2016-12-08,72,9.0,,0.09,6.4799999999999995
2016-12-09,50,9.0,,0.09,4.5
2016-12-10,47,9.0,,0.09,4.2299999999999995
2016-12-11,42,9.0,,0.09,3.78
2016-12-12,66,9.0,,0.09,5.9399999999999995
2016-12-13,68,9.0,,0.09,6.12
2016-12-14,74,9.0,,0.09,6.66
2016-12-15,47,9.0,,0.09,4.2299999999999995
2016-12-16,38,9.0,,0.09,3.42
2016-12-17,70,9.0,,0.09,6.3
2016-12-18,35,9.0,,0.09,3.15
2016-12-19,61,9.0,,0.09,5.49
2016-12-20,59,9.0,,0.09,5.31
2016-12-21,100,9.0,,0.09,9.0
2016-12-22,60,9.0,,0.09,5.3999999999999995
2016-12-23,65,9.0,,0.09,5.85
2016-12-24,49,9.0,,0.09,4.41
2016-12-25,40,9.0,,0.09,3.5999999999999996
2016-12-26,33,9.0,,0.09,2.9699999999999998
2016-12-27,55,9.0,,0.09,4.95
2016-12-28,61,9.0,,0.09,5.49
2016-12-29,64,9.0,,0.09,5.76
2016-12-30,58,9.0,,0.09,5.22
2016-12-31,34,9.0,,0.09,3.06
2017-01-01,40,10.0,False,0.1,4.0
2017-01-02,50,10.0,,0.1,5.0
2017-01-03,82,10.0,,0.1,8.200000000000001
2017-01-04,79,10.0,,0.1,7.9
2017-01-05,79,10.0,,0.1,7.9
2017-01-06,64,10.0,,0.1,6.4
2017-01-07,46,10.0,,0.1,4.6000000000000005
2017-01-08,52,10.0,,0.1,5.2
2017-01-09,78,10.0,,0.1,7.800000000000001
2017-01-10,71,10.0,,0.1,7.1000000000000005
2017-01-11,90,10.0,,0.1,9.0
2017-01-12,82,10.0,,0.1,8.200000000000001
2017-01-13,100,10.0,,0.1,10.0
2017-01-14,49,10.0,,0.1,4.9
2017-01-15,45,10.0,,0.1,4.5
2017-01-16,75,10.0,,0.1,7.5
2017-01-17,59,10.0,,0.1,5.9
2017-01-18,85,10.0,,0.1,8.5
2017-01-19,43,10.0,,0.1,4.3
2017-01-20,85,10.0,,0.1,8.5
2017-01-21,39,10.0,,0.1,3.9000000000000004
2017-01-22,61,10.0,,0.1,6.1000000000000005
2017-01-23,65,10.0,,0.1,6.5
2017-01-24,70,10.0,,0.1,7.0
2017-01-25,73,10.0,,0.1,7.300000000000001
2017-01-26,73,10.0,,0.1,7.300000000000001
2017-01-27,83,10.0,,0.1,8.3
2017-01-28,55,10.0,,0.1,5.5
2017-01-29,57,10.0,,0.1,5.7
2017-01-30,84,10.0,,0.1,8.4
2017-01-31,86,10.0,,0.1,8.6
2017-02-01,65,10.0,False,0.1,6.5
2017-02-02,76,10.0,,0.1,7.6000000000000005
2017-02-03,75,10.0,,0.1,7.5
2017-02-04,42,10.0,,0.1,4.2
2017-02-05,33,10.0,,0.1,3.3000000000000003
2017-02-06,58,10.0,,0.1,5.800000000000001
2017-02-07,58,10.0,,0.1,5.800000000000001
2017-02-08,68,10.0,,0.1,6.800000000000001
2017-02-09,100,10.0,,0.1,10.0
2017-02-10,80,10.0,,0.1,8.0
2017-02-11,52,10.0,,0.1,5.2
2017-02-12,40,10.0,,0.1,4.0
2017-02-13,83,10.0,,0.1,8.3
2017-02-14,99,10.0,,0.1,9.9
2017-02-15,66,10.0,,0.1,6.6000000000000005
2017-02-16,82,10.0,,0.1,8.200000000000001
2017-02-17,63,10.0,,0.1,6.300000000000001
2017-02-18,42,10.0,,0.1,4.2
2017-02-19,45,10.0,,0.1,4.5
2017-02-20,73,10.0,,0.1,7.300000000000001
2017-02-21,83,10.0,,0.1,8.3
2017-02-22,87,10.0,,0.1,8.700000000000001
2017-02-23,83,10.0,,0.1,8.3
2017-02-24,88,10.0,,0.1,8.8
2017-02-25,39,10.0,,0.1,3.9000000000000004
2017-02-26,53,10.0,,0.1,5.300000000000001
2017-02-27,77,10.0,,0.1,7.7
2017-02-28,77,10.0,,0.1,7.7
2017-03-01,73,11.0,False,0.11,8.03
2017-03-02,88,11.0,,0.11,9.68
2017-03-03,63,11.0,,0.11,6.93
2017-03-04,62,11.0,,0.11,6.82
2017-03-05,46,11.0,,0.11,5.06
2017-03-06,81,11.0,,0.11,8.91
2017-03-07,88,11.0,,0.11,9.68
2017-03-08,86,11.0,,0.11,9.46
2017-03-09,81,11.0,,0.11,8.91
2017-03-10,88,11.0,,0.11,9.68
2017-03-11,47,11.0,,0.11,5.17
2017-03-12,62,11.0,,0.11,6.82
2017-03-13,96,11.0,,0.11,10.56
2017-03-14,88,11.0,,0.11,9.68
2017-03-15,92,11.0,,0.11,10.12
2017-03-16,85,11.0,,0.11,9.35
2017-03-17,88,11.0,,0.11,9.68
2017-03-18,49,11.0,,0.11,5.39
2017-03-19,62,11.0,,0.11,6.82
2017-03-20,76,11.0,,0.11,8.36
2017-03-21,100,11.0,,0.11,11.0
2017-03-22,59,11.0,,0.11,6.49
2017-03-23,80,11.0,,0.11,8.8
2017-03-24,85,11.0,,0.11,9.35
2017-03-25,39,11.0,,0.11,4.29
2017-03-26,56,11.0,,0.11,6.16
2017-03-27,87,11.0,,0.11,9.57
2017-03-28,81,11.0,,0.11,8.91
2017-03-29,78,11.0,,0.11,8.58
2017-03-30,75,11.0,,0.11,8.25
2017-03-31,83,11.0,,0.11,9.13
2017-04-01,43,10.0,False,0.1,4.3
2017-04-02,56,10.0,,0.1,5.6000000000000005
2017-04-03,69,10.0,,0.1,6.9
2017-04-04,80,10.0,,0.1,8.0
2017-04-05,79,10.0,,0.1,7.9
2017-04-06,76,10.0,,0.1,7.6000000000000005
2017-04-07,80,10.0,,0.1,8.0
2017-04-08,52,10.0,,0.1,5.2
2017-04-09,43,10.0,,0.1,4.3
2017-04-10,80,10.0,,0.1,8.0
2017-04-11,68,10.0,,0.1,6.800000000000001
2017-04-12,82,10.0,,0.1,8.200000000000001
2017-04-13,60,10.0,,0.1,6.0
2017-04-14,45,10.0,,0.1,4.5
2017-04-15,46,10.0,,0.1,4.6000000000000005
2017-04-16,39,10.0,,0.1,3.9000000000000004
2017-04-17,75,10.0,,0.1,7.5
2017-04-18,87,10.0,,0.1,8.700000000000001
2017-04-19,68,10.0,,0.1,6.800000000000001
2017-04-20,78,10.0,,0.1,7.800000000000001
2017-04-21,63,10.0,,0.1,6.300000000000001
2017-04-22,37,10.0,,0.1,3.7
2017-04-23,43,10.0,,0.1,4.3
2017-04-24,89,10.0,,0.1,8.9
2017-04-25,87,10.0,,0.1,8.700000000000001
2017-04-26,79,10.0,,0.1,7.9
2017-04-27,100,10.0,,0.1,10.0
2017-04-28,77,10.0,,0.1,7.7
2017-04-29,41,10.0,,0.1,4.1000000000000005
2017-04-30,47,10.0,,0.1,4.7
2017-05-01,68,12.0,False,0.12,8.16
2017-05-02,81,12.0,,0.12,9.719999999999999
2017-05-03,63,12.0,,0.12,7.56
2017-05-04,90,12.0,,0.12,10.799999999999999
2017-05-05,68,12.0,,0.12,8.16
2017-05-06,41,12.0,,0.12,4.92
2017-05-07,59,12.0,,0.12,7.08
2017-05-08,69,12.0,,0.12,8.28
2017-05-09,61,12.0,,0.12,7.319999999999999
2017-05-10,63,12.0,,0.12,7.56
2017-05-11,88,12.0,,0.12,10.559999999999999
2017-05-12,74,12.0,,0.12,8.879999999999999
2017-05-13,51,12.0,,0.12,6.12
2017-05-14,50,12.0,,0.12,6.0
2017-05-15,68,12.0,,0.12,8.16
2017-05-16,73,12.0,,0.12,8.76
2017-05-17,66,12.0,,0.12,7.92
2017-05-18,55,12.0,,0.12,6.6
2017-05-19,47,12.0,,0.12,5.64
2017-05-20,46,12.0,,0.12,5.52
2017-05-21,35,12.0,,0.12,4.2
2017-05-22,48,12.0,,0.12,5.76
2017-05-23,100,12.0,,0.12,12.0
2017-05-24,100,12.0,,0.12,12.0
2017-05-25,62,12.0,,0.12,7.4399999999999995
2017-05-26,57,12.0,,0.12,6.84
2017-05-27,40,12.0,,0.12,4.8
2017-05-28,37,12.0,,0.12,4.4399999999999995
2017-05-29,56,12.0,,0.12,6.72
2017-05-30,60,12.0,,0.12,7.199999999999999
2017-05-31,72,12.0,,0.12,8.64
2017-06-01,93,11.0,False,0.11,10.23
2017-06-02,64,11.0,,0.11,7.04
2017-06-03,43,11.0,,0.11,4.73
2017-06-04,53,11.0,,0.11,5.83
2017-06-05,90,11.0,,0.11,9.9
2017-06-06,81,11.0,,0.11,8.91
2017-06-07,59,11.0,,0.11,6.49
2017-06-08,82,11.0,,0.11,9.02
2017-06-09,96,11.0,,0.11,10.56
2017-06-10,48,11.0,,0.11,5.28
2017-06-11,51,11.0,,0.11,5.61
2017-06-12,100,11.0,,0.11,11.0
2017-06-13,93,11.0,,0.11,10.23
2017-06-14,83,11.0,,0.11,9.13
2017-06-15,86,11.0,,0.11,9.46
2017-06-16,67,11.0,,0.11,7.37
2017-06-17,54,11.0,,0.11,5.94
2017-06-18,57,11.0,,0.11,6.2700000000000005
2017-06-19,86,11.0,,0.11,9.46
2017-06-20,81,11.0,,0.11,8.91
2017-06-21,88,11.0,,0.11,9.68
2017-06-22,77,11.0,,0.11,8.47
2017-06-23,89,11.0,,0.11,9.790000000000001
2017-06-24,47,11.0,,0.11,5.17
2017-06-25,62,11.0,,0.11,6.82
2017-06-26,70,11.0,,0.11,7.7
2017-06-27,91,11.0,,0.11,10.01
2017-06-28,72,11.0,,0.11,7.92
2017-06-29,80,11.0,,0.11,8.8
2017-06-30,47,11.0,,0.11,5.17
2017-07-01,47,10.0,False,0.1,4.7
2017-07-02,46,10.0,,0.1,4.6000000000000005
2017-07-03,43,10.0,,0.1,4.3
2017-07-04,41,10.0,,0.1,4.1000000000000005
2017-07-05,82,10.0,,0.1,8.200000000000001
2017-07-06,62,10.0,,0.1,6.2
2017-07-07,73,10.0,,0.1,7.300000000000001
2017-07-08,70,10.0,,0.1,7.0
2017-07-09,44,10.0,,0.1,4.4
2017-07-10,68,10.0,,0.1,6.800000000000001
2017-07-11,60,10.0,,0.1,6.0
2017-07-12,81,10.0,,0.1,8.1
2017-07-13,85,10.0,,0.1,8.5
2017-07-14,68,10.0,,0.1,6.800000000000001
2017-07-15,42,10.0,,0.1,4.2
2017-07-16,45,10.0,,0.1,4.5
2017-07-17,81,10.0,,0.1,8.1
2017-07-18,100,10.0,,0.1,10.0
2017-07-19,89,10.0,,0.1,8.9
2017-07-20,78,10.0,,0.1,7.800000000000001
2017-07-21,58,10.0,,0.1,5.800000000000001
2017-07-22,30,10.0,,0.1,3.0
2017-07-23,50,10.0,,0.1,5.0
2017-07-24,69,10.0,,0.1,6.9
2017-07-25,71,10.0,,0.1,7.1000000000000005
2017-07-26,63,10.0,,0.1,6.300000000000001
2017-07-27,86,10.0,,0.1,8.6
2017-07-28,91,10.0,,0.1,9.1
2017-07-29,42,10.0,,0.1,4.2
2017-07-30,47,10.0,,0.1,4.7
2017-07-31,75,10.0,,0.1,7.5
2017-08-01,80,10.0,False,0.1,8.0
2017-08-02,82,10.0,,0.1,8.200000000000001
2017-08-03,58,10.0,,0.1,5.800000000000001
2017-08-04,75,10.0,,0.1,7.5
2017-08-05,65,10.0,,0.1,6.5
2017-08-06,45,10.0,,0.1,4.5
2017-08-07,83,10.0,,0.1,8.3
2017-08-08,71,10.0,,0.1,7.1000000000000005
2017-08-09,59,10.0,,0.1,5.9
2017-08-10,94,10.0,,0.1,9.4
2017-08-11,65,10.0,,0.1,6.5
2017-08-12,62,10.0,,0.1,6.2
2017-08-13,42,10.0,,0.1,4.2
2017-08-14,70,10.0,,0.1,7.0
2017-08-15,68,10.0,,0.1,6.800000000000001
2017-08-16,81,10.0,,0.1,8.1
2017-08-17,78,10.0,,0.1,7.800000000000001
2017-08-18,74,10.0,,0.1,7.4
2017-08-19,42,10.0,,0.1,4.2
2017-08-20,69,10.0,,0.1,6.9
2017-08-21,54,10.0,,0.1,5.4
2017-08-22,55,10.0,,0.1,5.5
2017-08-23,91,10.0,,0.1,9.1
2017-08-24,76,10.0,,0.1,7.6000000000000005
2017-08-25,46,10.0,,0.1,4.6000000000000005
2017-08-26,52,10.0,,0.1,5.2
2017-08-27,37,10.0,,0.1,3.7
2017-08-28,100,10.0,,0.1,10.0
2017-08-29,65,10.0,,0.1,6.5
2017-08-30,64,10.0,,0.1,6.4
2017-08-31,62,10.0,,0.1,6.2
2017-09-01,86,8.0,False,0.08,6.88
2017-09-02,49,8.0,,0.08,3.92
2017-09-03,70,8.0,,0.08,5.6000000000000005
2017-09-04,49,8.0,,0.08,3.92
2017-09-05,65,8.0,,0.08,5.2
2017-09-06,89,8.0,,0.08,7.12
2017-09-07,77,8.0,,0.08,6.16
2017-09-08,83,8.0,,0.08,6.640000000000001
2017-09-09,64,8.0,,0.08,5.12
2017-09-10,60,8.0,,0.08,4.8
2017-09-11,85,8.0,,0.08,6.8
2017-09-12,93,8.0,,0.08,7.44
2017-09-13,71,8.0,,0.08,5.68
2017-09-14,77,8.0,,0.08,6.16
2017-09-15,100,8.0,,0.08,8.0
2017-09-16,43,8.0,,0.08,3.44
2017-09-17,34,8.0,,0.08,2.72
2017-09-18,98,8.0,,0.08,7.84
2017-09-19,75,8.0,,0.08,6.0
2017-09-20,89,8.0,,0.08,7.12
2017-09-21,81,8.0,,0.08,6.48
2017-09-22,86,8.0,,0.08,6.88
2017-09-23,52,8.0,,0.08,4.16
2017-09-24,68,8.0,,0.08,5.44
2017-09-25,76,8.0,,0.08,6.08
2017-09-26,83,8.0,,0.08,6.640000000000001
2017-09-27,96,8.0,,0.08,7.68
2017-09-28,64,8.0,,0.08,5.12
2017-09-29,81,8.0,,0.08,6.48
2017-09-30,53,8.0,,0.08,4.24
2017-10-01,54,9.0,False,0.09,4.859999999999999
2017-10-02,65,9.0,,0.09,5.85
2017-10-03,56,9.0,,0.09,5.04
2017-10-04,64,9.0,,0.09,5.76
2017-10-05,55,9.0,,0.09,4.95
2017-10-06,58,9.0,,0.09,5.22
2017-10-07,29,9.0,,0.09,2.61
2017-10-08,61,9.0,,0.09,5.49
2017-10-09,51,9.0,,0.09,4.59
2017-10-10,82,9.0,,0.09,7.38
2017-10-11,56,9.0,,0.09,5.04
2017-10-12,48,9.0,,0.09,4.32
2017-10-13,69,9.0,,0.09,6.21
2017-10-14,39,9.0,,0.09,3.51
2017-10-15,26,9.0,,0.09,2.34
2017-10-16,52,9.0,,0.09,4.68
2017-10-17,64,9.0,,0.09,5.76
2017-10-18,65,9.0,,0.09,5.85
2017-10-19,44,9.0,,0.09,3.96
2017-10-20,74,9.0,,0.09,6.66
2017-10-21,40,9.0,,0.09,3.5999999999999996
2017-10-22,45,9.0,,0.09,4.05
2017-10-23,61,9.0,,0.09,5.49
2017-10-24,69,9.0,,0.09,6.21
2017-10-25,62,9.0,,0.09,5.58
2017-10-26,100,9.0,,0.09,9.0
2017-10-27,86,9.0,,0.09,7.739999999999999
2017-10-28,46,9.0,,0.09,4.14
2017-10-29,41,9.0,,0.09,3.69
2017-10-30,84,9.0,,0.09,7.56
2017-10-31,74,9.0,,0.09,6.66
2017-11-01,93,9.0,False,0.09,8.37
2017-11-02,80,9.0,,0.09,7.199999999999999
2017-11-03,67,9.0,,0.09,6.029999999999999
2017-11-04,45,9.0,,0.09,4.05
2017-11-05,46,9.0,,0.09,4.14
2017-11-06,75,9.0,,0.09,6.75
2017-11-07,89,9.0,,0.09,8.01
2017-11-08,97,9.0,,0.09,8.73
2017-11-09,100,9.0,,0.09,9.0
2017-11-10,81,9.0,,0.09,7.29
2017-11-11,63,9.0,,0.09,5.67
2017-11-12,42,9.0,,0.09,3.78
2017-11-13,86,9.0,,0.09,7.739999999999999
2017-11-14,93,9.0,,0.09,8.37
2017-11-15,75,9.0,,0.09,6.75
2017-11-16,79,9.0,,0.09,7.109999999999999
2017-11-17,81,9.0,,0.09,7.29
2017-11-18,40,9.0,,0.09,3.5999999999999996
2017-11-19,45,9.0,,0.09,4.05
2017-11-20,79,9.0,,0.09,7.109999999999999
2017-11-21,53,9.0,,0.09,4.77
2017-11-22,75,9.0,,0.09,6.75
2017-11-23,13,9.0,,0.09,1.17
2017-11-24,58,9.0,,0.09,5.22
2017-11-25,61,9.0,,0.09,5.49
2017-11-26,51,9.0,,0.09,4.59
2017-11-27,68,9.0,,0.09,6.12
2017-11-28,97,9.0,,0.09,8.73
2017-11-29,78,9.0,,0.09,7.02
2017-11-30,67,9.0,,0.09,6.029999999999999
2017-12-01,78,8.0,False,0.08,6.24
2017-12-02,49,8.0,,0.08,3.92
2017-12-03,43,8.0,,0.08,3.44
2017-12-04,93,8.0,,0.08,7.44
2017-12-05,82,8.0,,0.08,6.5600000000000005
2017-12-06,77,8.0,,0.08,6.16
2017-12-07,73,8.0,,0.08,5.84
2017-12-08,71,8.0,,0.08,5.68
2017-12-09,50,8.0,,0.08,4.0
2017-12-10,52,8.0,,0.08,4.16
2017-12-11,70,8.0,,0.08,5.6000000000000005
2017-12-12,66,8.0,,0.08,5.28
2017-12-13,100,8.0,,0.08,8.0
2017-12-14,86,8.0,,0.08,6.88
2017-12-15,61,8.0,,0.08,4.88
2017-12-16,42,8.0,,0.08,3.36
2017-12-17,60,8.0,,0.08,4.8
2017-12-18,82,8.0,,0.08,6.5600000000000005
2017-12-19,83,8.0,,0.08,6.640000000000001
2017-12-20,74,8.0,,0.08,5.92
2017-12-21,60,8.0,,0.08,4.8
2017-12-22,62,8.0,,0.08,4.96
2017-12-23,52,8.0,,0.08,4.16
2017-12-24,46,8.0,,0.08,3.68
2017-12-25,33,8.0,,0.08,2.64
