date,AMC_unscaled,AMC_monthly,isPartial,scale,AMC
2016-08-05,77,54.0,,0.54,41.580000000000005
2016-08-06,100,54.0,,0.54,54.0
2016-08-07,83,54.0,,0.54,44.82
2016-08-08,50,54.0,,0.54,27.0
2016-08-09,46,54.0,,0.54,24.840000000000003
2016-08-10,46,54.0,,0.54,24.840000000000003
2016-08-11,47,54.0,,0.54,25.380000000000003
2016-08-12,66,54.0,,0.54,35.64
2016-08-13,95,54.0,,0.54,51.300000000000004
2016-08-14,85,54.0,,0.54,45.900000000000006
2016-08-15,46,54.0,,0.54,24.840000000000003
2016-08-16,43,54.0,,0.54,23.220000000000002
2016-08-17,36,54.0,,0.54,19.44
2016-08-18,40,54.0,,0.54,21.6
2016-08-19,55,54.0,,0.54,29.700000000000003
2016-08-20,83,54.0,,0.54,44.82
2016-08-21,72,54.0,,0.54,38.88
2016-08-22,38,54.0,,0.54,20.520000000000003
2016-08-23,33,54.0,,0.54,17.82
2016-08-24,31,54.0,,0.54,16.740000000000002
2016-08-25,33,54.0,,0.54,17.82
2016-08-26,57,54.0,,0.54,30.78
2016-08-27,84,54.0,,0.54,45.36
2016-08-28,72,54.0,,0.54,38.88
2016-08-29,34,54.0,,0.54,18.36
2016-08-30,31,54.0,,0.54,16.740000000000002
2016-08-31,28,54.0,,0.54,15.120000000000001
2016-09-01,39,41.0,False,0.41,15.989999999999998
2016-09-02,67,41.0,,0.41,27.47
2016-09-03,95,41.0,,0.41,38.949999999999996
2016-09-04,100,41.0,,0.41,41.0
2016-09-05,85,41.0,,0.41,34.85
2016-09-06,36,41.0,,0.41,14.76
2016-09-07,30,41.0,,0.41,12.299999999999999
2016-09-08,30,41.0,,0.41,12.299999999999999
2016-09-09,62,41.0,,0.41,25.419999999999998
2016-09-10,100,41.0,,0.41,41.0
2016-09-11,71,41.0,,0.41,29.11
2016-09-12,32,41.0,,0.41,13.12
2016-09-13,32,41.0,,0.41,13.12
2016-09-14,30,41.0,,0.41,12.299999999999999
2016-09-15,33,41.0,,0.41,13.53
2016-09-16,58,41.0,,0.41,23.779999999999998
2016-09-17,89,41.0,,0.41,36.489999999999995
2016-09-18,69,41.0,,0.41,28.29
2016-09-19,33,41.0,,0.41,13.53
2016-09-20,31,41.0,,0.41,12.709999999999999
2016-09-21,30,41.0,,0.41,12.299999999999999
2016-09-22,33,41.0,,0.41,13.53
2016-09-23,58,41.0,,0.41,23.779999999999998
2016-09-24,90,41.0,,0.41,36.9
2016-09-25,70,41.0,,0.41,28.7
2016-09-26,33,41.0,,0.41,13.53
2016-09-27,29,41.0,,0.41,11.889999999999999
2016-09-28,29,41.0,,0.41,11.889999999999999
2016-09-29,33,41.0,,0.41,13.53
2016-09-30,63,41.0,,0.41,25.83
2016-10-01,89,48.0,False,0.48,42.72
2016-10-02,67,48.0,,0.48,32.16
2016-10-03,36,48.0,,0.48,17.28
2016-10-04,29,48.0,,0.48,13.92
2016-10-05,26,48.0,,0.48,12.48
2016-10-06,31,48.0,,0.48,14.879999999999999
2016-10-07,55,48.0,,0.48,26.4
2016-10-08,85,48.0,,0.48,40.8
2016-10-09,75,48.0,,0.48,36.0
2016-10-10,41,48.0,,0.48,19.68
2016-10-11,30,48.0,,0.48,14.399999999999999
2016-10-12,32,48.0,,0.48,15.36
2016-10-13,34,48.0,,0.48,16.32
2016-10-14,59,48.0,,0.48,28.32
2016-10-15,85,48.0,,0.48,40.8
2016-10-16,70,48.0,,0.48,33.6
2016-10-17,35,48.0,,0.48,16.8
2016-10-18,31,48.0,,0.48,14.879999999999999
2016-10-19,30,48.0,,0.48,14.399999999999999
2016-10-20,34,48.0,,0.48,16.32
2016-10-21,63,48.0,,0.48,30.24
2016-10-22,100,48.0,,0.48,48.0
2016-10-23,98,48.0,,0.48,47.04
2016-10-24,100,48.0,,0.48,48.0
2016-10-25,44,48.0,,0.48,21.119999999999997
2016-10-26,35,48.0,,0.48,16.8
2016-10-27,34,48.0,,0.48,16.32
2016-10-28,53,48.0,,0.48,25.439999999999998
2016-10-29,77,48.0,,0.48,36.96
2016-10-30,73,48.0,,0.48,35.04
2016-10-31,59,48.0,,0.48,28.32
2016-11-01,34,53.0,False,0.53,18.02
2016-11-02,30,53.0,,0.53,15.9
2016-11-03,33,53.0,,0.53,17.490000000000002
2016-11-04,61,53.0,,0.53,32.33
2016-11-05,100,53.0,,0.53,53.0
2016-11-06,76,53.0,,0.53,40.28
2016-11-07,51,53.0,,0.53,27.03
2016-11-08,38,53.0,,0.53,20.14
2016-11-09,22,53.0,,0.53,11.66
2016-11-10,37,53.0,,0.53,19.61
2016-11-11,69,53.0,,0.53,36.57
2016-11-12,91,53.0,,0.53,48.230000000000004
2016-11-13,73,53.0,,0.53,38.690000000000005
2016-11-14,47,53.0,,0.53,24.91
2016-11-15,36,53.0,,0.53,19.080000000000002
2016-11-16,32,53.0,,0.53,16.96
2016-11-17,35,53.0,,0.53,18.55
2016-11-18,56,53.0,,0.53,29.68
2016-11-19,87,53.0,,0.53,46.11
2016-11-20,75,53.0,,0.53,39.75
2016-11-21,53,53.0,,0.53,28.09
2016-11-22,49,53.0,,0.53,25.970000000000002
2016-11-23,59,53.0,,0.53,31.270000000000003
2016-11-24,64,53.0,,0.53,33.92
2016-11-25,88,53.0,,0.53,46.64
2016-11-26,100,53.0,,0.53,53.0
2016-11-27,73,53.0,,0.53,38.690000000000005
2016-11-28,42,53.0,,0.53,22.26
2016-11-29,29,53.0,,0.53,15.370000000000001
2016-11-30,29,53.0,,0.53,15.370000000000001
2016-12-01,16,63.0,False,0.63,10.08
2016-12-02,22,63.0,,0.63,13.86
2016-12-03,37,63.0,,0.63,23.31
2016-12-04,31,63.0,,0.63,19.53
2016-12-05,18,63.0,,0.63,11.34
2016-12-06,14,63.0,,0.63,8.82
2016-12-07,14,63.0,,0.63,8.82
2016-12-08,15,63.0,,0.63,9.45
2016-12-09,22,63.0,,0.63,13.86
2016-12-10,36,63.0,,0.63,22.68
2016-12-11,30,63.0,,0.63,18.9
2016-12-12,22,63.0,,0.63,13.86
2016-12-13,17,63.0,,0.63,10.71
2016-12-14,17,63.0,,0.63,10.71
2016-12-15,21,63.0,,0.63,13.23
2016-12-16,31,63.0,,0.63,19.53
2016-12-17,46,63.0,,0.63,28.98
2016-12-18,40,63.0,,0.63,25.2
2016-12-19,28,63.0,,0.63,17.64
2016-12-20,30,63.0,,0.63,18.9
2016-12-21,33,63.0,,0.63,20.79
2016-12-22,35,63.0,,0.63,22.05
2016-12-23,42,63.0,,0.63,26.46
2016-12-24,43,63.0,,0.63,27.09
2016-12-25,84,63.0,,0.63,52.92
2016-12-26,100,63.0,,0.63,63.0
2016-12-27,65,63.0,,0.63,40.95
2016-12-28,59,63.0,,0.63,37.17
2016-12-29,47,63.0,,0.63,29.61
2016-12-30,54,63.0,,0.63,34.02
2016-12-31,45,63.0,,0.63,28.35
2017-01-01,86,61.0,False,0.61,52.46
2017-01-02,99,61.0,,0.61,60.39
2017-01-03,43,61.0,,0.61,26.23
2017-01-04,36,61.0,,0.61,21.96
2017-01-05,37,61.0,,0.61,22.57
2017-01-06,47,61.0,,0.61,28.669999999999998
2017-01-07,78,61.0,,0.61,47.58
2017-01-08,64,61.0,,0.61,39.04
2017-01-09,34,61.0,,0.61,20.74
2017-01-10,31,61.0,,0.61,18.91
2017-01-11,31,61.0,,0.61,18.91
2017-01-12,32,61.0,,0.61,19.52
2017-01-13,53,61.0,,0.61,32.33
2017-01-14,96,61.0,,0.61,58.56
2017-01-15,82,61.0,,0.61,50.019999999999996
2017-01-16,59,61.0,,0.61,35.99
2017-01-17,30,61.0,,0.61,18.3
2017-01-18,26,61.0,,0.61,15.86
2017-01-19,30,61.0,,0.61,18.3
2017-01-20,48,61.0,,0.61,29.28
2017-01-21,100,61.0,,0.61,61.0
2017-01-22,68,61.0,,0.61,41.48
2017-01-23,31,61.0,,0.61,18.91
2017-01-24,29,61.0,,0.61,17.69
2017-01-25,29,61.0,,0.61,17.69
2017-01-26,30,61.0,,0.61,18.3
2017-01-27,48,61.0,,0.61,29.28
2017-01-28,96,61.0,,0.61,58.56
2017-01-29,72,61.0,,0.61,43.92
2017-01-30,29,61.0,,0.61,17.69
2017-01-31,25,61.0,,0.61,15.25
2017-02-01,23,57.0,False,0.57,13.11
2017-02-02,24,57.0,,0.57,13.68
2017-02-03,41,57.0,,0.57,23.369999999999997
2017-02-04,67,57.0,,0.57,38.19
2017-02-05,44,57.0,,0.57,25.08
2017-02-06,22,57.0,,0.57,12.54
2017-02-07,26,57.0,,0.57,14.819999999999999
2017-02-08,25,57.0,,0.57,14.249999999999998
2017-02-09,31,57.0,,0.57,17.669999999999998
2017-02-10,48,57.0,,0.57,27.36
2017-02-11,100,57.0,,0.57,56.99999999999999
2017-02-12,80,57.0,,0.57,45.599999999999994
2017-02-13,44,57.0,,0.57,25.08
2017-02-14,39,57.0,,0.57,22.229999999999997
2017-02-15,36,57.0,,0.57,20.52
2017-02-16,30,57.0,,0.57,17.099999999999998
2017-02-17,46,57.0,,0.57,26.22
2017-02-18,85,57.0,,0.57,48.449999999999996
2017-02-19,74,57.0,,0.57,42.18
2017-02-20,55,57.0,,0.57,31.349999999999998
2017-02-21,28,57.0,,0.57,15.959999999999999
2017-02-22,24,57.0,,0.57,13.68
2017-02-23,25,57.0,,0.57,14.249999999999998
2017-02-24,40,57.0,,0.57,22.799999999999997
2017-02-25,75,57.0,,0.57,42.74999999999999
2017-02-26,59,57.0,,0.57,33.629999999999995
2017-02-27,35,57.0,,0.57,19.95
2017-02-28,28,57.0,,0.57,15.959999999999999
2017-03-01,23,66.0,False,0.66,15.180000000000001
2017-03-02,29,66.0,,0.66,19.14
2017-03-03,43,66.0,,0.66,28.380000000000003
2017-03-04,91,66.0,,0.66,60.06
2017-03-05,76,66.0,,0.66,50.160000000000004
2017-03-06,35,66.0,,0.66,23.1
2017-03-07,25,66.0,,0.66,16.5
2017-03-08,24,66.0,,0.66,15.84
2017-03-09,27,66.0,,0.66,17.82
2017-03-10,42,66.0,,0.66,27.720000000000002
2017-03-11,80,66.0,,0.66,52.800000000000004
2017-03-12,72,66.0,,0.66,47.52
2017-03-13,34,66.0,,0.66,22.44
2017-03-14,30,66.0,,0.66,19.8
2017-03-15,30,66.0,,0.66,19.8
2017-03-16,33,66.0,,0.66,21.78
2017-03-17,58,66.0,,0.66,38.28
2017-03-18,100,66.0,,0.66,66.0
2017-03-19,82,66.0,,0.66,54.120000000000005
2017-03-20,36,66.0,,0.66,23.76
2017-03-21,31,66.0,,0.66,20.46
2017-03-22,29,66.0,,0.66,19.14
2017-03-23,30,66.0,,0.66,19.8
2017-03-24,47,66.0,,0.66,31.020000000000003
2017-03-25,89,66.0,,0.66,58.74
2017-03-26,75,66.0,,0.66,49.5
2017-03-27,32,66.0,,0.66,21.12
2017-03-28,27,66.0,,0.66,17.82
2017-03-29,26,66.0,,0.66,17.16
2017-03-30,27,66.0,,0.66,17.82
2017-03-31,43,66.0,,0.66,28.380000000000003
2017-04-01,100,53.0,False,0.53,53.0
2017-04-02,79,53.0,,0.53,41.870000000000005
2017-04-03,43,53.0,,0.53,22.790000000000003
2017-04-04,31,53.0,,0.53,16.43
2017-04-05,30,53.0,,0.53,15.9
2017-04-06,31,53.0,,0.53,16.43
2017-04-07,47,53.0,,0.53,24.91
2017-04-08,72,53.0,,0.53,38.160000000000004
2017-04-09,63,53.0,,0.53,33.39
2017-04-10,34,53.0,,0.53,18.02
2017-04-11,35,53.0,,0.53,18.55
2017-04-12,32,53.0,,0.53,16.96
2017-04-13,41,53.0,,0.53,21.73
2017-04-14,66,53.0,,0.53,34.980000000000004
2017-04-15,78,53.0,,0.53,41.34
2017-04-16,69,53.0,,0.53,36.57
2017-04-17,38,53.0,,0.53,20.14
2017-04-18,31,53.0,,0.53,16.43
2017-04-19,30,53.0,,0.53,15.9
2017-04-20,29,53.0,,0.53,15.370000000000001
2017-04-21,48,53.0,,0.53,25.44
2017-04-22,71,53.0,,0.53,37.63
2017-04-23,57,53.0,,0.53,30.21
2017-04-24,27,53.0,,0.53,14.31
2017-04-25,26,53.0,,0.53,13.780000000000001
2017-04-26,23,53.0,,0.53,12.190000000000001
2017-04-27,27,53.0,,0.53,14.31
2017-04-28,43,53.0,,0.53,22.790000000000003
2017-04-29,71,53.0,,0.53,37.63
2017-04-30,59,53.0,,0.53,31.270000000000003
2017-05-01,37,50.0,False,0.5,18.5
2017-05-02,37,50.0,,0.5,18.5
2017-05-03,34,50.0,,0.5,17.0
2017-05-04,42,50.0,,0.5,21.0
2017-05-05,66,50.0,,0.5,33.0
2017-05-06,100,50.0,,0.5,50.0
2017-05-07,86,50.0,,0.5,43.0
2017-05-08,41,50.0,,0.5,20.5
2017-05-09,39,50.0,,0.5,19.5
2017-05-10,34,50.0,,0.5,17.0
2017-05-11,39,50.0,,0.5,19.5
2017-05-12,56,50.0,,0.5,28.0
2017-05-13,94,50.0,,0.5,47.0
2017-05-14,87,50.0,,0.5,43.5
2017-05-15,37,50.0,,0.5,18.5
2017-05-16,36,50.0,,0.5,18.0
2017-05-17,32,50.0,,0.5,16.0
2017-05-18,35,50.0,,0.5,17.5
2017-05-19,62,50.0,,0.5,31.0
2017-05-20,96,50.0,,0.5,48.0
2017-05-21,85,50.0,,0.5,42.5
2017-05-22,40,50.0,,0.5,20.0
2017-05-23,41,50.0,,0.5,20.5
2017-05-24,38,50.0,,0.5,19.0
2017-05-25,48,50.0,,0.5,24.0
2017-05-26,72,50.0,,0.5,36.0
2017-05-27,98,50.0,,0.5,49.0
2017-05-28,94,50.0,,0.5,47.0
2017-05-29,90,50.0,,0.5,45.0
2017-05-30,48,50.0,,0.5,24.0
2017-05-31,43,50.0,,0.5,21.5
2017-06-01,33,63.0,False,0.63,20.79
2017-06-02,53,63.0,,0.63,33.39
2017-06-03,77,63.0,,0.63,48.51
2017-06-04,69,63.0,,0.63,43.47
2017-06-05,40,63.0,,0.63,25.2
2017-06-06,40,63.0,,0.63,25.2
2017-06-07,35,63.0,,0.63,22.05
2017-06-08,37,63.0,,0.63,23.31
2017-06-09,51,63.0,,0.63,32.13
2017-06-10,70,63.0,,0.63,44.1
2017-06-11,63,63.0,,0.63,39.69
2017-06-12,37,63.0,,0.63,23.31
2017-06-13,38,63.0,,0.63,23.94
2017-06-14,37,63.0,,0.63,23.31
2017-06-15,42,63.0,,0.63,26.46
2017-06-16,75,63.0,,0.63,47.25
2017-06-17,100,63.0,,0.63,63.0
2017-06-18,87,63.0,,0.63,54.81
2017-06-19,47,63.0,,0.63,29.61
2017-06-20,46,63.0,,0.63,28.98
2017-06-21,44,63.0,,0.63,27.72
2017-06-22,43,63.0,,0.63,27.09
2017-06-23,57,63.0,,0.63,35.910000000000004
2017-06-24,78,63.0,,0.63,49.14
2017-06-25,72,63.0,,0.63,45.36
2017-06-26,42,63.0,,0.63,26.46
2017-06-27,40,63.0,,0.63,25.2
2017-06-28,38,63.0,,0.63,23.94
2017-06-29,40,63.0,,0.63,25.2
2017-06-30,56,63.0,,0.63,35.28
2017-07-01,76,70.0,False,0.7,53.199999999999996
2017-07-02,69,70.0,,0.7,48.3
2017-07-03,53,70.0,,0.7,37.099999999999994
2017-07-04,56,70.0,,0.7,39.199999999999996
2017-07-05,39,70.0,,0.7,27.299999999999997
2017-07-06,45,70.0,,0.7,31.499999999999996
2017-07-07,66,70.0,,0.7,46.199999999999996
2017-07-08,90,70.0,,0.7,62.99999999999999
2017-07-09,75,70.0,,0.7,52.5
2017-07-10,41,70.0,,0.7,28.7
2017-07-11,42,70.0,,0.7,29.4
2017-07-12,40,70.0,,0.7,28.0
2017-07-13,40,70.0,,0.7,28.0
2017-07-14,56,70.0,,0.7,39.199999999999996
2017-07-15,77,70.0,,0.7,53.9
2017-07-16,67,70.0,,0.7,46.9
2017-07-17,40,70.0,,0.7,28.0
2017-07-18,41,70.0,,0.7,28.7
2017-07-19,39,70.0,,0.7,27.299999999999997
2017-07-20,41,70.0,,0.7,28.7
2017-07-21,64,70.0,,0.7,44.8
2017-07-22,100,70.0,,0.7,70.0
2017-07-23,80,70.0,,0.7,56.0
2017-07-24,45,70.0,,0.7,31.499999999999996
2017-07-25,43,70.0,,0.7,30.099999999999998
2017-07-26,38,70.0,,0.7,26.599999999999998
2017-07-27,39,70.0,,0.7,27.299999999999997
2017-07-28,54,70.0,,0.7,37.8
2017-07-29,81,70.0,,0.7,56.699999999999996
2017-07-30,64,70.0,,0.7,44.8
2017-07-31,37,70.0,,0.7,25.9
2017-08-01,52,48.0,False,0.48,24.96
2017-08-02,52,48.0,,0.48,24.96
2017-08-03,54,48.0,,0.48,25.919999999999998
2017-08-04,74,48.0,,0.48,35.519999999999996
2017-08-05,100,48.0,,0.48,48.0
2017-08-06,88,48.0,,0.48,42.239999999999995
2017-08-07,53,48.0,,0.48,25.439999999999998
2017-08-08,50,48.0,,0.48,24.0
2017-08-09,45,48.0,,0.48,21.599999999999998
2017-08-10,50,48.0,,0.48,24.0
2017-08-11,71,48.0,,0.48,34.08
2017-08-12,96,48.0,,0.48,46.08
2017-08-13,81,48.0,,0.48,38.879999999999995
2017-08-14,48,48.0,,0.48,23.04
2017-08-15,55,48.0,,0.48,26.4
2017-08-16,45,48.0,,0.48,21.599999999999998
2017-08-17,46,48.0,,0.48,22.08
2017-08-18,60,48.0,,0.48,28.799999999999997
2017-08-19,83,48.0,,0.48,39.839999999999996
2017-08-20,72,48.0,,0.48,34.56
2017-08-21,34,48.0,,0.48,16.32
2017-08-22,41,48.0,,0.48,19.68
2017-08-23,33,48.0,,0.48,15.84
2017-08-24,34,48.0,,0.48,16.32
2017-08-25,52,48.0,,0.48,24.96
2017-08-26,72,48.0,,0.48,34.56
2017-08-27,55,48.0,,0.48,26.4
2017-08-28,32,48.0,,0.48,15.36
2017-08-29,33,48.0,,0.48,15.84
2017-08-30,29,48.0,,0.48,13.92
2017-08-31,31,48.0,,0.48,14.879999999999999
2017-09-01,35,50.0,False,0.5,17.5
2017-09-02,53,50.0,,0.5,26.5
2017-09-03,55,50.0,,0.5,27.5
2017-09-04,44,50.0,,0.5,22.0
2017-09-05,23,50.0,,0.5,11.5
2017-09-06,21,50.0,,0.5,10.5
2017-09-07,32,50.0,,0.5,16.0
2017-09-08,56,50.0,,0.5,28.0
2017-09-09,100,50.0,,0.5,50.0
2017-09-10,71,50.0,,0.5,35.5
2017-09-11,31,50.0,,0.5,15.5
2017-09-12,32,50.0,,0.5,16.0
2017-09-13,28,50.0,,0.5,14.0
2017-09-14,29,50.0,,0.5,14.5
2017-09-15,43,50.0,,0.5,21.5
2017-09-16,67,50.0,,0.5,33.5
2017-09-17,52,50.0,,0.5,26.0
2017-09-18,24,50.0,,0.5,12.0
2017-09-19,24,50.0,,0.5,12.0
2017-09-20,23,50.0,,0.5,11.5
2017-09-21,27,50.0,,0.5,13.5
2017-09-22,41,50.0,,0.5,20.5
2017-09-23,63,50.0,,0.5,31.5
2017-09-24,49,50.0,,0.5,24.5
2017-09-25,24,50.0,,0.5,12.0
2017-09-26,27,50.0,,0.5,13.5
2017-09-27,23,50.0,,0.5,11.5
2017-09-28,22,50.0,,0.5,11.0
2017-09-29,37,50.0,,0.5,18.5
2017-09-30,60,50.0,,0.5,30.0
2017-10-01,71,48.0,False,0.48,34.08
2017-10-02,33,48.0,,0.48,15.84
2017-10-03,43,48.0,,0.48,20.64
2017-10-04,41,48.0,,0.48,19.68
2017-10-05,41,48.0,,0.48,19.68
2017-10-06,66,48.0,,0.48,31.68
2017-10-07,92,48.0,,0.48,44.16
2017-10-08,84,48.0,,0.48,40.32
2017-10-09,51,48.0,,0.48,24.48
2017-10-10,54,48.0,,0.48,25.919999999999998
2017-10-11,37,48.0,,0.48,17.759999999999998
2017-10-12,41,48.0,,0.48,19.68
2017-10-13,71,48.0,,0.48,34.08
2017-10-14,100,48.0,,0.48,48.0
2017-10-15,77,48.0,,0.48,36.96
2017-10-16,39,48.0,,0.48,18.72
2017-10-17,41,48.0,,0.48,19.68
2017-10-18,34,48.0,,0.48,16.32
2017-10-19,39,48.0,,0.48,18.72
2017-10-20,64,48.0,,0.48,30.72
2017-10-21,95,48.0,,0.48,45.6
2017-10-22,86,48.0,,0.48,41.28
2017-10-23,62,48.0,,0.48,29.759999999999998
2017-10-24,47,48.0,,0.48,22.56
2017-10-25,41,48.0,,0.48,19.68
2017-10-26,42,48.0,,0.48,20.16
2017-10-27,61,48.0,,0.48,29.279999999999998
2017-10-28,87,48.0,,0.48,41.76
2017-10-29,74,48.0,,0.48,35.519999999999996
2017-10-30,47,48.0,,0.48,22.56
2017-10-31,44,48.0,,0.48,21.119999999999997
2017-11-01,28,60.0,False,0.6,16.8
2017-11-02,34,60.0,,0.6,20.4
2017-11-03,55,60.0,,0.6,33.0
2017-11-04,92,60.0,,0.6,55.199999999999996
2017-11-05,63,60.0,,0.6,37.8
2017-11-06,40,60.0,,0.6,24.0
2017-11-07,38,60.0,,0.6,22.8
2017-11-08,31,60.0,,0.6,18.599999999999998
2017-11-09,35,60.0,,0.6,21.0
2017-11-10,56,60.0,,0.6,33.6
2017-11-11,79,60.0,,0.6,47.4
2017-11-12,62,60.0,,0.6,37.199999999999996
2017-11-13,34,60.0,,0.6,20.4
2017-11-14,32,60.0,,0.6,19.2
2017-11-15,31,60.0,,0.6,18.599999999999998
2017-11-16,35,60.0,,0.6,21.0
2017-11-17,55,60.0,,0.6,33.0
2017-11-18,100,60.0,,0.6,60.0
2017-11-19,78,60.0,,0.6,46.8
2017-11-20,45,60.0,,0.6,27.0
2017-11-21,48,60.0,,0.6,28.799999999999997
2017-11-22,57,60.0,,0.6,34.199999999999996
2017-11-23,56,60.0,,0.6,33.6
2017-11-24,88,60.0,,0.6,52.8
2017-11-25,94,60.0,,0.6,56.4
2017-11-26,66,60.0,,0.6,39.6
2017-11-27,31,60.0,,0.6,18.599999999999998
2017-11-28,30,60.0,,0.6,18.0
2017-11-29,26,60.0,,0.6,15.6
2017-11-30,26,60.0,,0.6,15.6
2017-12-01,26,72.0,False,0.72,18.72
2017-12-02,40,72.0,,0.72,28.799999999999997
2017-12-03,35,72.0,,0.72,25.2
2017-12-04,19,72.0,,0.72,13.68
2017-12-05,18,72.0,,0.72,12.959999999999999
2017-12-06,18,72.0,,0.72,12.959999999999999
2017-12-07,18,72.0,,0.72,12.959999999999999
2017-12-08,25,72.0,,0.72,18.0
2017-12-09,39,72.0,,0.72,28.08
2017-12-10,35,72.0,,0.72,25.2
2017-12-11,24,72.0,,0.72,17.28
2017-12-12,23,72.0,,0.72,16.56
2017-12-13,22,72.0,,0.72,15.84
2017-12-14,28,72.0,,0.72,20.16
2017-12-15,45,72.0,,0.72,32.4
2017-12-16,66,72.0,,0.72,47.519999999999996
2017-12-17,56,72.0,,0.72,40.32
2017-12-18,32,72.0,,0.72,23.04
2017-12-19,33,72.0,,0.72,23.759999999999998
2017-12-20,34,72.0,,0.72,24.48
2017-12-21,36,72.0,,0.72,25.919999999999998
2017-12-22,54,72.0,,0.72,38.879999999999995
2017-12-23,63,72.0,,0.72,45.36
2017-12-24,50,72.0,,0.72,36.0
