date,APR_unscaled,APR_monthly,isPartial,scale,APR
2017-05-13,63,60.0,,0.6,37.8
2017-05-14,57,60.0,,0.6,34.199999999999996
2017-05-15,82,60.0,,0.6,49.199999999999996
2017-05-16,77,60.0,,0.6,46.199999999999996
2017-05-17,81,60.0,,0.6,48.6
2017-05-18,77,60.0,,0.6,46.199999999999996
2017-05-19,65,60.0,,0.6,39.0
2017-05-20,61,60.0,,0.6,36.6
2017-05-21,55,60.0,,0.6,33.0
2017-05-22,76,60.0,,0.6,45.6
2017-05-23,71,60.0,,0.6,42.6
2017-05-24,74,60.0,,0.6,44.4
2017-05-25,65,60.0,,0.6,39.0
2017-05-26,63,60.0,,0.6,37.8
2017-05-27,53,60.0,,0.6,31.799999999999997
2017-05-28,42,60.0,,0.6,25.2
2017-05-29,58,60.0,,0.6,34.8
2017-05-30,71,60.0,,0.6,42.6
2017-05-31,75,60.0,,0.6,45.0
2017-06-01,95,53.0,False,0.53,50.35
2017-06-02,83,53.0,,0.53,43.99
2017-06-03,82,53.0,,0.53,43.46
2017-06-04,67,53.0,,0.53,35.510000000000005
2017-06-05,95,53.0,,0.53,50.35
2017-06-06,100,53.0,,0.53,53.0
2017-06-07,90,53.0,,0.53,47.7
2017-06-08,88,53.0,,0.53,46.64
2017-06-09,76,53.0,,0.53,40.28
2017-06-10,71,53.0,,0.53,37.63
2017-06-11,61,53.0,,0.53,32.33
2017-06-12,85,53.0,,0.53,45.050000000000004
2017-06-13,96,53.0,,0.53,50.88
2017-06-14,85,53.0,,0.53,45.050000000000004
2017-06-15,95,53.0,,0.53,50.35
2017-06-16,86,53.0,,0.53,45.580000000000005
2017-06-17,76,53.0,,0.53,40.28
2017-06-18,59,53.0,,0.53,31.270000000000003
2017-06-19,94,53.0,,0.53,49.82
2017-06-20,91,53.0,,0.53,48.230000000000004
2017-06-21,91,53.0,,0.53,48.230000000000004
2017-06-22,80,53.0,,0.53,42.400000000000006
2017-06-23,82,53.0,,0.53,43.46
2017-06-24,64,53.0,,0.53,33.92
2017-06-25,64,53.0,,0.53,33.92
2017-06-26,91,53.0,,0.53,48.230000000000004
2017-06-27,90,53.0,,0.53,47.7
2017-06-28,95,53.0,,0.53,50.35
2017-06-29,84,53.0,,0.53,44.52
2017-06-30,91,53.0,,0.53,48.230000000000004
2017-07-01,76,50.0,False,0.5,38.0
2017-07-02,67,50.0,,0.5,33.5
2017-07-03,64,50.0,,0.5,32.0
2017-07-04,74,50.0,,0.5,37.0
2017-07-05,74,50.0,,0.5,37.0
2017-07-06,95,50.0,,0.5,47.5
2017-07-07,78,50.0,,0.5,39.0
2017-07-08,76,50.0,,0.5,38.0
2017-07-09,68,50.0,,0.5,34.0
2017-07-10,100,50.0,,0.5,50.0
2017-07-11,91,50.0,,0.5,45.5
2017-07-12,85,50.0,,0.5,42.5
2017-07-13,88,50.0,,0.5,44.0
2017-07-14,86,50.0,,0.5,43.0
2017-07-15,73,50.0,,0.5,36.5
2017-07-16,72,50.0,,0.5,36.0
2017-07-17,83,50.0,,0.5,41.5
2017-07-18,94,50.0,,0.5,47.0
2017-07-19,90,50.0,,0.5,45.0
2017-07-20,92,50.0,,0.5,46.0
2017-07-21,79,50.0,,0.5,39.5
2017-07-22,77,50.0,,0.5,38.5
2017-07-23,78,50.0,,0.5,39.0
2017-07-24,91,50.0,,0.5,45.5
2017-07-25,100,50.0,,0.5,50.0
2017-07-26,85,50.0,,0.5,42.5
2017-07-27,82,50.0,,0.5,41.0
2017-07-28,80,50.0,,0.5,40.0
2017-07-29,69,50.0,,0.5,34.5
2017-07-30,66,50.0,,0.5,33.0
2017-07-31,69,50.0,,0.5,34.5
2017-08-01,76,51.0,False,0.51,38.76
2017-08-02,94,51.0,,0.51,47.94
2017-08-03,84,51.0,,0.51,42.84
2017-08-04,71,51.0,,0.51,36.21
2017-08-05,71,51.0,,0.51,36.21
2017-08-06,66,51.0,,0.51,33.660000000000004
2017-08-07,74,51.0,,0.51,37.74
2017-08-08,78,51.0,,0.51,39.78
2017-08-09,83,51.0,,0.51,42.33
2017-08-10,77,51.0,,0.51,39.27
2017-08-11,89,51.0,,0.51,45.39
2017-08-12,64,51.0,,0.51,32.64
2017-08-13,69,51.0,,0.51,35.19
2017-08-14,82,51.0,,0.51,41.82
2017-08-15,100,51.0,,0.51,51.0
2017-08-16,83,51.0,,0.51,42.33
2017-08-17,79,51.0,,0.51,40.29
2017-08-18,70,51.0,,0.51,35.7
2017-08-19,71,51.0,,0.51,36.21
2017-08-20,62,51.0,,0.51,31.62
2017-08-21,68,51.0,,0.51,34.68
2017-08-22,92,51.0,,0.51,46.92
2017-08-23,74,51.0,,0.51,37.74
2017-08-24,70,51.0,,0.51,35.7
2017-08-25,78,51.0,,0.51,39.78
2017-08-26,65,51.0,,0.51,33.15
2017-08-27,46,51.0,,0.51,23.46
2017-08-28,78,51.0,,0.51,39.78
2017-08-29,90,51.0,,0.51,45.9
2017-08-30,80,51.0,,0.51,40.8
2017-08-31,80,51.0,,0.51,40.8
2017-09-01,75,47.0,False,0.47,35.25
2017-09-02,80,47.0,,0.47,37.599999999999994
2017-09-03,68,47.0,,0.47,31.959999999999997
2017-09-04,72,47.0,,0.47,33.839999999999996
2017-09-05,88,47.0,,0.47,41.36
2017-09-06,78,47.0,,0.47,36.66
2017-09-07,84,47.0,,0.47,39.48
2017-09-08,75,47.0,,0.47,35.25
2017-09-09,64,47.0,,0.47,30.08
2017-09-10,52,47.0,,0.47,24.439999999999998
2017-09-11,90,47.0,,0.47,42.3
2017-09-12,100,47.0,,0.47,47.0
2017-09-13,90,47.0,,0.47,42.3
2017-09-14,88,47.0,,0.47,41.36
2017-09-15,73,47.0,,0.47,34.309999999999995
2017-09-16,77,47.0,,0.47,36.19
2017-09-17,75,47.0,,0.47,35.25
2017-09-18,87,47.0,,0.47,40.89
2017-09-19,94,47.0,,0.47,44.18
2017-09-20,87,47.0,,0.47,40.89
2017-09-21,88,47.0,,0.47,41.36
2017-09-22,94,47.0,,0.47,44.18
2017-09-23,76,47.0,,0.47,35.72
2017-09-24,77,47.0,,0.47,36.19
2017-09-25,94,47.0,,0.47,44.18
2017-09-26,90,47.0,,0.47,42.3
2017-09-27,96,47.0,,0.47,45.12
2017-09-28,94,47.0,,0.47,44.18
2017-09-29,84,47.0,,0.47,39.48
2017-09-30,70,47.0,,0.47,32.9
2017-10-01,66,55.0,False,0.55,36.300000000000004
2017-10-02,83,55.0,,0.55,45.650000000000006
2017-10-03,90,55.0,,0.55,49.50000000000001
2017-10-04,96,55.0,,0.55,52.800000000000004
2017-10-05,90,55.0,,0.55,49.50000000000001
2017-10-06,82,55.0,,0.55,45.1
2017-10-07,63,55.0,,0.55,34.650000000000006
2017-10-08,68,55.0,,0.55,37.400000000000006
2017-10-09,86,55.0,,0.55,47.300000000000004
2017-10-10,88,55.0,,0.55,48.400000000000006
2017-10-11,85,55.0,,0.55,46.75000000000001
2017-10-12,90,55.0,,0.55,49.50000000000001
2017-10-13,77,55.0,,0.55,42.35
2017-10-14,65,55.0,,0.55,35.75
2017-10-15,71,55.0,,0.55,39.050000000000004
2017-10-16,85,55.0,,0.55,46.75000000000001
2017-10-17,99,55.0,,0.55,54.45
2017-10-18,90,55.0,,0.55,49.50000000000001
2017-10-19,100,55.0,,0.55,55.00000000000001
2017-10-20,82,55.0,,0.55,45.1
2017-10-21,67,55.0,,0.55,36.85
2017-10-22,63,55.0,,0.55,34.650000000000006
2017-10-23,77,55.0,,0.55,42.35
2017-10-24,93,55.0,,0.55,51.150000000000006
2017-10-25,79,55.0,,0.55,43.45
2017-10-26,89,55.0,,0.55,48.95
2017-10-27,69,55.0,,0.55,37.95
2017-10-28,57,55.0,,0.55,31.35
2017-10-29,56,55.0,,0.55,30.800000000000004
2017-10-30,84,55.0,,0.55,46.2
2017-10-31,81,55.0,,0.55,44.550000000000004
2017-11-01,77,53.0,False,0.53,40.81
2017-11-02,83,53.0,,0.53,43.99
2017-11-03,80,53.0,,0.53,42.400000000000006
2017-11-04,67,53.0,,0.53,35.510000000000005
2017-11-05,60,53.0,,0.53,31.8
2017-11-06,84,53.0,,0.53,44.52
2017-11-07,89,53.0,,0.53,47.17
2017-11-08,100,53.0,,0.53,53.0
2017-11-09,87,53.0,,0.53,46.11
2017-11-10,80,53.0,,0.53,42.400000000000006
2017-11-11,66,53.0,,0.53,34.980000000000004
2017-11-12,56,53.0,,0.53,29.68
2017-11-13,73,53.0,,0.53,38.690000000000005
2017-11-14,88,53.0,,0.53,46.64
2017-11-15,89,53.0,,0.53,47.17
2017-11-16,88,53.0,,0.53,46.64
2017-11-17,84,53.0,,0.53,44.52
2017-11-18,62,53.0,,0.53,32.86
2017-11-19,60,53.0,,0.53,31.8
2017-11-20,74,53.0,,0.53,39.22
2017-11-21,80,53.0,,0.53,42.400000000000006
2017-11-22,87,53.0,,0.53,46.11
2017-11-23,56,53.0,,0.53,29.68
2017-11-24,62,53.0,,0.53,32.86
2017-11-25,69,53.0,,0.53,36.57
2017-11-26,60,53.0,,0.53,31.8
2017-11-27,85,53.0,,0.53,45.050000000000004
2017-11-28,82,53.0,,0.53,43.46
2017-11-29,85,53.0,,0.53,45.050000000000004
2017-11-30,80,53.0,,0.53,42.400000000000006
2017-12-01,75,44.0,False,0.44,33.0
2017-12-02,74,44.0,,0.44,32.56
2017-12-03,68,44.0,,0.44,29.92
2017-12-04,92,44.0,,0.44,40.48
2017-12-05,91,44.0,,0.44,40.04
2017-12-06,81,44.0,,0.44,35.64
2017-12-07,87,44.0,,0.44,38.28
2017-12-08,86,44.0,,0.44,37.84
2017-12-09,70,44.0,,0.44,30.8
2017-12-10,67,44.0,,0.44,29.48
2017-12-11,100,44.0,,0.44,44.0
2017-12-12,90,44.0,,0.44,39.6
2017-12-13,88,44.0,,0.44,38.72
2017-12-14,81,44.0,,0.44,35.64
2017-12-15,82,44.0,,0.44,36.08
2017-12-16,60,44.0,,0.44,26.4
2017-12-17,60,44.0,,0.44,26.4
2017-12-18,80,44.0,,0.44,35.2
2017-12-19,89,44.0,,0.44,39.160000000000004
2017-12-20,85,44.0,,0.44,37.4
2017-12-21,69,44.0,,0.44,30.36
2017-12-22,65,44.0,,0.44,28.6
2017-12-23,66,44.0,,0.44,29.04
2017-12-24,48,44.0,,0.44,21.12
2017-12-25,46,44.0,,0.44,20.24
2017-12-26,71,44.0,,0.44,31.24
2017-12-27,83,44.0,,0.44,36.52
2017-12-28,75,44.0,,0.44,33.0
2017-12-29,68,44.0,,0.44,29.92
2017-12-30,63,44.0,,0.44,27.72
2017-12-31,55,44.0,,0.44,24.2
