date,RS_unscaled,RS_monthly,isPartial,scale,RS
2016-08-01,100,95.0,False,0.95,95.0
2016-08-02,93,95.0,,0.95,88.35
2016-08-03,90,95.0,,0.95,85.5
2016-08-04,87,95.0,,0.95,82.64999999999999
2016-08-05,95,95.0,,0.95,90.25
2016-08-06,88,95.0,,0.95,83.6
2016-08-07,91,95.0,,0.95,86.45
2016-08-08,95,95.0,,0.95,90.25
2016-08-09,99,95.0,,0.95,94.05
2016-08-10,88,95.0,,0.95,83.6
2016-08-11,82,95.0,,0.95,77.89999999999999
2016-08-12,79,95.0,,0.95,75.05
2016-08-13,82,95.0,,0.95,77.89999999999999
2016-08-14,90,95.0,,0.95,85.5
2016-08-15,82,95.0,,0.95,77.89999999999999
2016-08-16,89,95.0,,0.95,84.55
2016-08-17,83,95.0,,0.95,78.85
2016-08-18,85,95.0,,0.95,80.75
2016-08-19,85,95.0,,0.95,80.75
2016-08-20,88,95.0,,0.95,83.6
2016-08-21,76,95.0,,0.95,72.2
2016-08-22,88,95.0,,0.95,83.6
2016-08-23,85,95.0,,0.95,80.75
2016-08-24,88,95.0,,0.95,83.6
2016-08-25,90,95.0,,0.95,85.5
2016-08-26,88,95.0,,0.95,83.6
2016-08-27,91,95.0,,0.95,86.45
2016-08-28,96,95.0,,0.95,91.19999999999999
2016-08-29,82,95.0,,0.95,77.89999999999999
2016-08-30,87,95.0,,0.95,82.64999999999999
2016-08-31,81,95.0,,0.95,76.95
2016-09-01,84,92.0,False,0.92,77.28
2016-09-02,100,92.0,,0.92,92.0
2016-09-03,77,92.0,,0.92,70.84
2016-09-04,99,92.0,,0.92,91.08
2016-09-05,94,92.0,,0.92,86.48
2016-09-06,87,92.0,,0.92,80.04
2016-09-07,77,92.0,,0.92,70.84
2016-09-08,82,92.0,,0.92,75.44
2016-09-09,88,92.0,,0.92,80.96000000000001
2016-09-10,87,92.0,,0.92,80.04
2016-09-11,83,92.0,,0.92,76.36
2016-09-12,80,92.0,,0.92,73.60000000000001
2016-09-13,84,92.0,,0.92,77.28
2016-09-14,93,92.0,,0.92,85.56
2016-09-15,95,92.0,,0.92,87.4
2016-09-16,93,92.0,,0.92,85.56
2016-09-17,99,92.0,,0.92,91.08
2016-09-18,82,92.0,,0.92,75.44
2016-09-19,90,92.0,,0.92,82.8
2016-09-20,82,92.0,,0.92,75.44
2016-09-21,88,92.0,,0.92,80.96000000000001
2016-09-22,88,92.0,,0.92,80.96000000000001
2016-09-23,87,92.0,,0.92,80.04
2016-09-24,87,92.0,,0.92,80.04
2016-09-25,89,92.0,,0.92,81.88000000000001
2016-09-26,84,92.0,,0.92,77.28
2016-09-27,78,92.0,,0.92,71.76
2016-09-28,92,92.0,,0.92,84.64
2016-09-29,81,92.0,,0.92,74.52000000000001
2016-09-30,77,92.0,,0.92,70.84
2016-10-01,97,88.0,False,0.88,85.36
2016-10-02,98,88.0,,0.88,86.24
2016-10-03,82,88.0,,0.88,72.16
2016-10-04,87,88.0,,0.88,76.56
2016-10-05,93,88.0,,0.88,81.84
2016-10-06,80,88.0,,0.88,70.4
2016-10-07,82,88.0,,0.88,72.16
2016-10-08,87,88.0,,0.88,76.56
2016-10-09,96,88.0,,0.88,84.48
2016-10-10,77,88.0,,0.88,67.76
2016-10-11,84,88.0,,0.88,73.92
2016-10-12,88,88.0,,0.88,77.44
2016-10-13,100,88.0,,0.88,88.0
2016-10-14,81,88.0,,0.88,71.28
2016-10-15,90,88.0,,0.88,79.2
2016-10-16,76,88.0,,0.88,66.88
2016-10-17,92,88.0,,0.88,80.96
2016-10-18,91,88.0,,0.88,80.08
2016-10-19,92,88.0,,0.88,80.96
2016-10-20,97,88.0,,0.88,85.36
2016-10-21,98,88.0,,0.88,86.24
2016-10-22,98,88.0,,0.88,86.24
2016-10-23,92,88.0,,0.88,80.96
2016-10-24,85,88.0,,0.88,74.8
2016-10-25,93,88.0,,0.88,81.84
2016-10-26,98,88.0,,0.88,86.24
2016-10-27,95,88.0,,0.88,83.6
2016-10-28,83,88.0,,0.88,73.04
2016-10-29,98,88.0,,0.88,86.24
2016-10-30,91,88.0,,0.88,80.08
2016-10-31,80,88.0,,0.88,70.4
2016-11-01,59,95.0,False,0.95,56.05
2016-11-02,61,95.0,,0.95,57.949999999999996
2016-11-03,55,95.0,,0.95,52.25
2016-11-04,54,95.0,,0.95,51.3
2016-11-05,68,95.0,,0.95,64.6
2016-11-06,65,95.0,,0.95,61.75
2016-11-07,56,95.0,,0.95,53.199999999999996
2016-11-08,100,95.0,,0.95,95.0
2016-11-09,65,95.0,,0.95,61.75
2016-11-10,76,95.0,,0.95,72.2
2016-11-11,71,95.0,,0.95,67.45
2016-11-12,70,95.0,,0.95,66.5
2016-11-13,69,95.0,,0.95,65.55
2016-11-14,65,95.0,,0.95,61.75
2016-11-15,67,95.0,,0.95,63.65
2016-11-16,73,95.0,,0.95,69.35
2016-11-17,70,95.0,,0.95,66.5
2016-11-18,59,95.0,,0.95,56.05
2016-11-19,68,95.0,,0.95,64.6
2016-11-20,62,95.0,,0.95,58.9
2016-11-21,59,95.0,,0.95,56.05
2016-11-22,64,95.0,,0.95,60.8
2016-11-23,65,95.0,,0.95,61.75
2016-11-24,65,95.0,,0.95,61.75
2016-11-25,66,95.0,,0.95,62.699999999999996
2016-11-26,72,95.0,,0.95,68.39999999999999
2016-11-27,73,95.0,,0.95,69.35
2016-11-28,58,95.0,,0.95,55.099999999999994
2016-11-29,64,95.0,,0.95,60.8
2016-11-30,65,95.0,,0.95,61.75
2016-12-01,75,90.0,False,0.9,67.5
2016-12-02,84,90.0,,0.9,75.60000000000001
2016-12-03,83,90.0,,0.9,74.7
2016-12-04,89,90.0,,0.9,80.10000000000001
2016-12-05,87,90.0,,0.9,78.3
2016-12-06,74,90.0,,0.9,66.60000000000001
2016-12-07,91,90.0,,0.9,81.9
2016-12-08,83,90.0,,0.9,74.7
2016-12-09,85,90.0,,0.9,76.5
2016-12-10,83,90.0,,0.9,74.7
2016-12-11,93,90.0,,0.9,83.7
2016-12-12,86,90.0,,0.9,77.4
2016-12-13,88,90.0,,0.9,79.2
2016-12-14,84,90.0,,0.9,75.60000000000001
2016-12-15,85,90.0,,0.9,76.5
2016-12-16,80,90.0,,0.9,72.0
2016-12-17,87,90.0,,0.9,78.3
2016-12-18,90,90.0,,0.9,81.0
2016-12-19,83,90.0,,0.9,74.7
2016-12-20,87,90.0,,0.9,78.3
2016-12-21,86,90.0,,0.9,77.4
2016-12-22,85,90.0,,0.9,76.5
2016-12-23,94,90.0,,0.9,84.60000000000001
2016-12-24,100,90.0,,0.9,90.0
2016-12-25,93,90.0,,0.9,83.7
2016-12-26,91,90.0,,0.9,81.9
2016-12-27,98,90.0,,0.9,88.2
2016-12-28,94,90.0,,0.9,84.60000000000001
2016-12-29,93,90.0,,0.9,83.7
2016-12-30,92,90.0,,0.9,82.8
2016-12-31,89,90.0,,0.9,80.10000000000001
2017-01-01,71,95.0,False,0.95,67.45
2017-01-02,87,95.0,,0.95,82.64999999999999
2017-01-03,77,95.0,,0.95,73.14999999999999
2017-01-04,80,95.0,,0.95,76.0
2017-01-05,87,95.0,,0.95,82.64999999999999
2017-01-06,77,95.0,,0.95,73.14999999999999
2017-01-07,90,95.0,,0.95,85.5
2017-01-08,79,95.0,,0.95,75.05
2017-01-09,82,95.0,,0.95,77.89999999999999
2017-01-10,83,95.0,,0.95,78.85
2017-01-11,80,95.0,,0.95,76.0
2017-01-12,85,95.0,,0.95,80.75
2017-01-13,82,95.0,,0.95,77.89999999999999
2017-01-14,100,95.0,,0.95,95.0
2017-01-15,77,95.0,,0.95,73.14999999999999
2017-01-16,81,95.0,,0.95,76.95
2017-01-17,88,95.0,,0.95,83.6
2017-01-18,83,95.0,,0.95,78.85
2017-01-19,73,95.0,,0.95,69.35
2017-01-20,74,95.0,,0.95,70.3
2017-01-21,80,95.0,,0.95,76.0
2017-01-22,91,95.0,,0.95,86.45
2017-01-23,79,95.0,,0.95,75.05
2017-01-24,84,95.0,,0.95,79.8
2017-01-25,89,95.0,,0.95,84.55
2017-01-26,77,95.0,,0.95,73.14999999999999
2017-01-27,85,95.0,,0.95,80.75
2017-01-28,83,95.0,,0.95,78.85
2017-01-29,92,95.0,,0.95,87.39999999999999
2017-01-30,78,95.0,,0.95,74.1
2017-01-31,78,95.0,,0.95,74.1
2017-02-01,81,91.0,False,0.91,73.71000000000001
2017-02-02,76,91.0,,0.91,69.16
2017-02-03,80,91.0,,0.91,72.8
2017-02-04,86,91.0,,0.91,78.26
2017-02-05,100,91.0,,0.91,91.0
2017-02-06,73,91.0,,0.91,66.43
2017-02-07,83,91.0,,0.91,75.53
2017-02-08,74,91.0,,0.91,67.34
2017-02-09,69,91.0,,0.91,62.79
2017-02-10,80,91.0,,0.91,72.8
2017-02-11,81,91.0,,0.91,73.71000000000001
2017-02-12,82,91.0,,0.91,74.62
2017-02-13,78,91.0,,0.91,70.98
2017-02-14,72,91.0,,0.91,65.52
2017-02-15,86,91.0,,0.91,78.26
2017-02-16,82,91.0,,0.91,74.62
2017-02-17,78,91.0,,0.91,70.98
2017-02-18,89,91.0,,0.91,80.99000000000001
2017-02-19,95,91.0,,0.91,86.45
2017-02-20,83,91.0,,0.91,75.53
2017-02-21,85,91.0,,0.91,77.35000000000001
2017-02-22,83,91.0,,0.91,75.53
2017-02-23,83,91.0,,0.91,75.53
2017-02-24,78,91.0,,0.91,70.98
2017-02-25,93,91.0,,0.91,84.63000000000001
2017-02-26,90,91.0,,0.91,81.9
2017-02-27,82,91.0,,0.91,74.62
2017-02-28,81,91.0,,0.91,73.71000000000001
2017-03-01,83,97.0,False,0.97,80.50999999999999
2017-03-02,91,97.0,,0.97,88.27
2017-03-03,84,97.0,,0.97,81.48
2017-03-04,90,97.0,,0.97,87.3
2017-03-05,94,97.0,,0.97,91.17999999999999
2017-03-06,79,97.0,,0.97,76.63
2017-03-07,78,97.0,,0.97,75.66
2017-03-08,82,97.0,,0.97,79.53999999999999
2017-03-09,83,97.0,,0.97,80.50999999999999
2017-03-10,81,97.0,,0.97,78.57
2017-03-11,83,97.0,,0.97,80.50999999999999
2017-03-12,92,97.0,,0.97,89.24
2017-03-13,86,97.0,,0.97,83.42
2017-03-14,87,97.0,,0.97,84.39
2017-03-15,86,97.0,,0.97,83.42
2017-03-16,77,97.0,,0.97,74.69
2017-03-17,89,97.0,,0.97,86.33
2017-03-18,90,97.0,,0.97,87.3
2017-03-19,84,97.0,,0.97,81.48
2017-03-20,84,97.0,,0.97,81.48
2017-03-21,91,97.0,,0.97,88.27
2017-03-22,83,97.0,,0.97,80.50999999999999
2017-03-23,89,97.0,,0.97,86.33
2017-03-24,83,97.0,,0.97,80.50999999999999
2017-03-25,78,97.0,,0.97,75.66
2017-03-26,100,97.0,,0.97,97.0
2017-03-27,83,97.0,,0.97,80.50999999999999
2017-03-28,89,97.0,,0.97,86.33
2017-03-29,76,97.0,,0.97,73.72
2017-03-30,87,97.0,,0.97,84.39
2017-03-31,85,97.0,,0.97,82.45
2017-04-01,88,96.0,False,0.96,84.47999999999999
2017-04-02,83,96.0,,0.96,79.67999999999999
2017-04-03,78,96.0,,0.96,74.88
2017-04-04,74,96.0,,0.96,71.03999999999999
2017-04-05,76,96.0,,0.96,72.96
2017-04-06,75,96.0,,0.96,72.0
2017-04-07,68,96.0,,0.96,65.28
2017-04-08,81,96.0,,0.96,77.75999999999999
2017-04-09,81,96.0,,0.96,77.75999999999999
2017-04-10,79,96.0,,0.96,75.84
2017-04-11,78,96.0,,0.96,74.88
2017-04-12,80,96.0,,0.96,76.8
2017-04-13,85,96.0,,0.96,81.6
2017-04-14,83,96.0,,0.96,79.67999999999999
2017-04-15,100,96.0,,0.96,96.0
2017-04-16,95,96.0,,0.96,91.2
2017-04-17,79,96.0,,0.96,75.84
2017-04-18,79,96.0,,0.96,75.84
2017-04-19,81,96.0,,0.96,77.75999999999999
2017-04-20,82,96.0,,0.96,78.72
2017-04-21,85,96.0,,0.96,81.6
2017-04-22,81,96.0,,0.96,77.75999999999999
2017-04-23,86,96.0,,0.96,82.56
2017-04-24,79,96.0,,0.96,75.84
2017-04-25,79,96.0,,0.96,75.84
2017-04-26,78,96.0,,0.96,74.88
2017-04-27,82,96.0,,0.96,78.72
2017-04-28,77,96.0,,0.96,73.92
2017-04-29,80,96.0,,0.96,76.8
2017-04-30,89,96.0,,0.96,85.44
2017-05-01,83,99.0,False,0.99,82.17
2017-05-02,76,99.0,,0.99,75.24
2017-05-03,75,99.0,,0.99,74.25
2017-05-04,80,99.0,,0.99,79.2
2017-05-05,76,99.0,,0.99,75.24
2017-05-06,84,99.0,,0.99,83.16
2017-05-07,85,99.0,,0.99,84.15
2017-05-08,76,99.0,,0.99,75.24
2017-05-09,78,99.0,,0.99,77.22
2017-05-10,81,99.0,,0.99,80.19
2017-05-11,79,99.0,,0.99,78.21
2017-05-12,85,99.0,,0.99,84.15
2017-05-13,85,99.0,,0.99,84.15
2017-05-14,84,99.0,,0.99,83.16
2017-05-15,82,99.0,,0.99,81.17999999999999
2017-05-16,82,99.0,,0.99,81.17999999999999
2017-05-17,66,99.0,,0.99,65.34
2017-05-18,75,99.0,,0.99,74.25
2017-05-19,78,99.0,,0.99,77.22
2017-05-20,91,99.0,,0.99,90.09
2017-05-21,86,99.0,,0.99,85.14
2017-05-22,76,99.0,,0.99,75.24
2017-05-23,67,99.0,,0.99,66.33
2017-05-24,77,99.0,,0.99,76.23
2017-05-25,78,99.0,,0.99,77.22
2017-05-26,78,99.0,,0.99,77.22
2017-05-27,74,99.0,,0.99,73.26
2017-05-28,82,99.0,,0.99,81.17999999999999
2017-05-29,73,99.0,,0.99,72.27
2017-05-30,77,99.0,,0.99,76.23
2017-05-31,100,99.0,,0.99,99.0
2017-06-01,83,100.0,False,1.0,83.0
2017-06-02,93,100.0,,1.0,93.0
2017-06-03,97,100.0,,1.0,97.0
2017-06-04,95,100.0,,1.0,95.0
2017-06-05,86,100.0,,1.0,86.0
2017-06-06,87,100.0,,1.0,87.0
2017-06-07,93,100.0,,1.0,93.0
2017-06-08,85,100.0,,1.0,85.0
2017-06-09,99,100.0,,1.0,99.0
2017-06-10,92,100.0,,1.0,92.0
2017-06-11,99,100.0,,1.0,99.0
2017-06-12,97,100.0,,1.0,97.0
2017-06-13,90,100.0,,1.0,90.0
2017-06-14,92,100.0,,1.0,92.0
2017-06-15,93,100.0,,1.0,93.0
2017-06-16,87,100.0,,1.0,87.0
2017-06-17,100,100.0,,1.0,100.0
2017-06-18,91,100.0,,1.0,91.0
2017-06-19,90,100.0,,1.0,90.0
2017-06-20,89,100.0,,1.0,89.0
2017-06-21,86,100.0,,1.0,86.0
2017-06-22,89,100.0,,1.0,89.0
2017-06-23,85,100.0,,1.0,85.0
2017-06-24,90,100.0,,1.0,90.0
2017-06-25,90,100.0,,1.0,90.0
2017-06-26,88,100.0,,1.0,88.0
2017-06-27,86,100.0,,1.0,86.0
2017-06-28,79,100.0,,1.0,79.0
2017-06-29,78,100.0,,1.0,78.0
2017-06-30,94,100.0,,1.0,94.0
2017-07-01,100,95.0,False,0.95,95.0
2017-07-02,93,95.0,,0.95,88.35
2017-07-03,83,95.0,,0.95,78.85
2017-07-04,77,95.0,,0.95,73.14999999999999
2017-07-05,79,95.0,,0.95,75.05
2017-07-06,91,95.0,,0.95,86.45
2017-07-07,84,95.0,,0.95,79.8
2017-07-08,82,95.0,,0.95,77.89999999999999
2017-07-09,83,95.0,,0.95,78.85
2017-07-10,84,95.0,,0.95,79.8
2017-07-11,87,95.0,,0.95,82.64999999999999
2017-07-12,81,95.0,,0.95,76.95
2017-07-13,81,95.0,,0.95,76.95
2017-07-14,84,95.0,,0.95,79.8
2017-07-15,79,95.0,,0.95,75.05
2017-07-16,81,95.0,,0.95,76.95
2017-07-17,84,95.0,,0.95,79.8
2017-07-18,83,95.0,,0.95,78.85
2017-07-19,80,95.0,,0.95,76.0
2017-07-20,76,95.0,,0.95,72.2
2017-07-21,76,95.0,,0.95,72.2
2017-07-22,86,95.0,,0.95,81.7
2017-07-23,75,95.0,,0.95,71.25
2017-07-24,78,95.0,,0.95,74.1
2017-07-25,81,95.0,,0.95,76.95
2017-07-26,78,95.0,,0.95,74.1
2017-07-27,81,95.0,,0.95,76.95
2017-07-28,80,95.0,,0.95,76.0
2017-07-29,87,95.0,,0.95,82.64999999999999
2017-07-30,78,95.0,,0.95,74.1
2017-07-31,83,95.0,,0.95,78.85
2017-08-01,85,98.0,False,0.98,83.3
2017-08-02,84,98.0,,0.98,82.32
2017-08-03,88,98.0,,0.98,86.24
2017-08-04,85,98.0,,0.98,83.3
2017-08-05,85,98.0,,0.98,83.3
2017-08-06,100,98.0,,0.98,98.0
2017-08-07,88,98.0,,0.98,86.24
2017-08-08,86,98.0,,0.98,84.28
2017-08-09,84,98.0,,0.98,82.32
2017-08-10,80,98.0,,0.98,78.4
2017-08-11,85,98.0,,0.98,83.3
2017-08-12,91,98.0,,0.98,89.17999999999999
2017-08-13,96,98.0,,0.98,94.08
2017-08-14,86,98.0,,0.98,84.28
2017-08-15,89,98.0,,0.98,87.22
2017-08-16,93,98.0,,0.98,91.14
2017-08-17,78,98.0,,0.98,76.44
2017-08-18,84,98.0,,0.98,82.32
2017-08-19,93,98.0,,0.98,91.14
2017-08-20,93,98.0,,0.98,91.14
2017-08-21,72,98.0,,0.98,70.56
2017-08-22,87,98.0,,0.98,85.26
2017-08-23,87,98.0,,0.98,85.26
2017-08-24,76,98.0,,0.98,74.48
2017-08-25,80,98.0,,0.98,78.4
2017-08-26,91,98.0,,0.98,89.17999999999999
2017-08-27,77,98.0,,0.98,75.46
2017-08-28,73,98.0,,0.98,71.53999999999999
2017-08-29,78,98.0,,0.98,76.44
2017-08-30,83,98.0,,0.98,81.34
2017-08-31,81,98.0,,0.98,79.38
2017-09-01,86,95.0,False,0.95,81.7
2017-09-02,94,95.0,,0.95,89.3
2017-09-03,93,95.0,,0.95,88.35
2017-09-04,95,95.0,,0.95,90.25
2017-09-05,89,95.0,,0.95,84.55
2017-09-06,84,95.0,,0.95,79.8
2017-09-07,74,95.0,,0.95,70.3
2017-09-08,78,95.0,,0.95,74.1
2017-09-09,98,95.0,,0.95,93.1
2017-09-10,86,95.0,,0.95,81.7
2017-09-11,79,95.0,,0.95,75.05
2017-09-12,88,95.0,,0.95,83.6
2017-09-13,90,95.0,,0.95,85.5
2017-09-14,82,95.0,,0.95,77.89999999999999
2017-09-15,95,95.0,,0.95,90.25
2017-09-16,92,95.0,,0.95,87.39999999999999
2017-09-17,92,95.0,,0.95,87.39999999999999
2017-09-18,89,95.0,,0.95,84.55
2017-09-19,81,95.0,,0.95,76.95
2017-09-20,85,95.0,,0.95,80.75
2017-09-21,85,95.0,,0.95,80.75
2017-09-22,99,95.0,,0.95,94.05
2017-09-23,91,95.0,,0.95,86.45
2017-09-24,90,95.0,,0.95,85.5
2017-09-25,86,95.0,,0.95,81.7
2017-09-26,81,95.0,,0.95,76.95
2017-09-27,100,95.0,,0.95,95.0
2017-09-28,88,95.0,,0.95,83.6
2017-09-29,88,95.0,,0.95,83.6
2017-09-30,92,95.0,,0.95,87.39999999999999
2017-10-01,90,96.0,False,0.96,86.39999999999999
2017-10-02,84,96.0,,0.96,80.64
2017-10-03,83,96.0,,0.96,79.67999999999999
2017-10-04,92,96.0,,0.96,88.32
2017-10-05,100,96.0,,0.96,96.0
2017-10-06,88,96.0,,0.96,84.47999999999999
2017-10-07,92,96.0,,0.96,88.32
2017-10-08,86,96.0,,0.96,82.56
2017-10-09,77,96.0,,0.96,73.92
2017-10-10,92,96.0,,0.96,88.32
2017-10-11,95,96.0,,0.96,91.2
2017-10-12,81,96.0,,0.96,77.75999999999999
2017-10-13,88,96.0,,0.96,84.47999999999999
2017-10-14,80,96.0,,0.96,76.8
2017-10-15,85,96.0,,0.96,81.6
2017-10-16,92,96.0,,0.96,88.32
2017-10-17,82,96.0,,0.96,78.72
2017-10-18,78,96.0,,0.96,74.88
2017-10-19,81,96.0,,0.96,77.75999999999999
2017-10-20,82,96.0,,0.96,78.72
2017-10-21,89,96.0,,0.96,85.44
2017-10-22,85,96.0,,0.96,81.6
2017-10-23,80,96.0,,0.96,76.8
2017-10-24,82,96.0,,0.96,78.72
2017-10-25,77,96.0,,0.96,73.92
2017-10-26,80,96.0,,0.96,76.8
2017-10-27,73,96.0,,0.96,70.08
2017-10-28,85,96.0,,0.96,81.6
2017-10-29,75,96.0,,0.96,72.0
2017-10-30,74,96.0,,0.96,71.03999999999999
2017-10-31,82,96.0,,0.96,78.72
2017-11-01,78,94.0,False,0.94,73.32
2017-11-02,83,94.0,,0.94,78.02
2017-11-03,68,94.0,,0.94,63.919999999999995
2017-11-04,76,94.0,,0.94,71.44
2017-11-05,91,94.0,,0.94,85.53999999999999
2017-11-06,100,94.0,,0.94,94.0
2017-11-07,96,94.0,,0.94,90.24
2017-11-08,80,94.0,,0.94,75.19999999999999
2017-11-09,81,94.0,,0.94,76.14
2017-11-10,85,94.0,,0.94,79.89999999999999
2017-11-11,83,94.0,,0.94,78.02
2017-11-12,76,94.0,,0.94,71.44
2017-11-13,75,94.0,,0.94,70.5
2017-11-14,76,94.0,,0.94,71.44
2017-11-15,72,94.0,,0.94,67.67999999999999
2017-11-16,80,94.0,,0.94,75.19999999999999
2017-11-17,89,94.0,,0.94,83.66
2017-11-18,75,94.0,,0.94,70.5
2017-11-19,74,94.0,,0.94,69.56
2017-11-20,79,94.0,,0.94,74.25999999999999
2017-11-21,80,94.0,,0.94,75.19999999999999
2017-11-22,77,94.0,,0.94,72.38
2017-11-23,77,94.0,,0.94,72.38
2017-11-24,84,94.0,,0.94,78.96
2017-11-25,79,94.0,,0.94,74.25999999999999
2017-11-26,73,94.0,,0.94,68.61999999999999
2017-11-27,76,94.0,,0.94,71.44
2017-11-28,73,94.0,,0.94,68.61999999999999
2017-11-29,74,94.0,,0.94,69.56
2017-11-30,78,94.0,,0.94,73.32
2017-12-01,89,88.0,False,0.88,78.32000000000001
2017-12-02,83,88.0,,0.88,73.04
2017-12-03,80,88.0,,0.88,70.4
2017-12-04,83,88.0,,0.88,73.04
2017-12-05,83,88.0,,0.88,73.04
2017-12-06,80,88.0,,0.88,70.4
2017-12-07,83,88.0,,0.88,73.04
2017-12-08,86,88.0,,0.88,75.68
2017-12-09,92,88.0,,0.88,80.96
2017-12-10,85,88.0,,0.88,74.8
2017-12-11,77,88.0,,0.88,67.76
2017-12-12,85,88.0,,0.88,74.8
2017-12-13,83,88.0,,0.88,73.04
2017-12-14,80,88.0,,0.88,70.4
2017-12-15,86,88.0,,0.88,75.68
2017-12-16,94,88.0,,0.88,82.72
2017-12-17,83,88.0,,0.88,73.04
2017-12-18,88,88.0,,0.88,77.44
2017-12-19,87,88.0,,0.88,76.56
2017-12-20,82,88.0,,0.88,72.16
2017-12-21,90,88.0,,0.88,79.2
2017-12-22,94,88.0,,0.88,82.72
2017-12-23,89,88.0,,0.88,78.32000000000001
2017-12-24,93,88.0,,0.88,81.84
2017-12-25,100,88.0,,0.88,88.0
2017-12-26,90,88.0,,0.88,79.2
2017-12-27,87,88.0,,0.88,76.56
2017-12-28,87,88.0,,0.88,76.56
2017-12-29,90,88.0,,0.88,79.2
2017-12-30,93,88.0,,0.88,81.84
2017-12-31,98,88.0,,0.88,86.24
2018-01-01,73,90.0,False,0.9,65.7
2018-01-02,88,90.0,,0.9,79.2
2018-01-03,95,90.0,,0.9,85.5
