date,WE_unscaled,WE_monthly,isPartial,scale,WE
2016-10-02,84,75.0,,0.75,63.0
2016-10-03,93,75.0,,0.75,69.75
2016-10-04,95,75.0,,0.75,71.25
2016-10-05,92,75.0,,0.75,69.0
2016-10-06,94,75.0,,0.75,70.5
2016-10-07,88,75.0,,0.75,66.0
2016-10-08,72,75.0,,0.75,54.0
2016-10-09,86,75.0,,0.75,64.5
2016-10-10,94,75.0,,0.75,70.5
2016-10-11,96,75.0,,0.75,72.0
2016-10-12,95,75.0,,0.75,71.25
2016-10-13,98,75.0,,0.75,73.5
2016-10-14,89,75.0,,0.75,66.75
2016-10-15,77,75.0,,0.75,57.75
2016-10-16,85,75.0,,0.75,63.75
2016-10-17,95,75.0,,0.75,71.25
2016-10-18,94,75.0,,0.75,70.5
2016-10-19,94,75.0,,0.75,70.5
2016-10-20,99,75.0,,0.75,74.25
2016-10-21,89,75.0,,0.75,66.75
2016-10-22,75,75.0,,0.75,56.25
2016-10-23,83,75.0,,0.75,62.25
2016-10-24,92,75.0,,0.75,69.0
2016-10-25,100,75.0,,0.75,75.0
2016-10-26,99,75.0,,0.75,74.25
2016-10-27,97,75.0,,0.75,72.75
2016-10-28,94,75.0,,0.75,70.5
2016-10-29,77,75.0,,0.75,57.75
2016-10-30,94,75.0,,0.75,70.5
2016-10-31,96,75.0,,0.75,72.0
2016-11-01,54,82.0,False,0.82,44.279999999999994
2016-11-02,55,82.0,,0.82,45.099999999999994
2016-11-03,55,82.0,,0.82,45.099999999999994
2016-11-04,56,82.0,,0.82,45.919999999999995
2016-11-05,51,82.0,,0.82,41.82
2016-11-06,65,82.0,,0.82,53.3
2016-11-07,65,82.0,,0.82,53.3
2016-11-08,94,82.0,,0.82,77.08
2016-11-09,100,82.0,,0.82,82.0
2016-11-10,71,82.0,,0.82,58.22
2016-11-11,65,82.0,,0.82,53.3
2016-11-12,51,82.0,,0.82,41.82
2016-11-13,54,82.0,,0.82,44.279999999999994
2016-11-14,56,82.0,,0.82,45.919999999999995
2016-11-15,60,82.0,,0.82,49.199999999999996
2016-11-16,55,82.0,,0.82,45.099999999999994
2016-11-17,54,82.0,,0.82,44.279999999999994
2016-11-18,53,82.0,,0.82,43.46
2016-11-19,43,82.0,,0.82,35.26
2016-11-20,46,82.0,,0.82,37.72
2016-11-21,51,82.0,,0.82,41.82
2016-11-22,51,82.0,,0.82,41.82
2016-11-23,45,82.0,,0.82,36.9
2016-11-24,40,82.0,,0.82,32.8
2016-11-25,33,82.0,,0.82,27.06
2016-11-26,38,82.0,,0.82,31.159999999999997
2016-11-27,42,82.0,,0.82,34.44
2016-11-28,47,82.0,,0.82,38.54
2016-11-29,54,82.0,,0.82,44.279999999999994
2016-11-30,55,82.0,,0.82,45.099999999999994
2016-12-01,96,68.0,False,0.68,65.28
2016-12-02,88,68.0,,0.68,59.84
2016-12-03,76,68.0,,0.68,51.68000000000001
2016-12-04,87,68.0,,0.68,59.160000000000004
2016-12-05,94,68.0,,0.68,63.92
2016-12-06,100,68.0,,0.68,68.0
2016-12-07,100,68.0,,0.68,68.0
2016-12-08,96,68.0,,0.68,65.28
2016-12-09,90,68.0,,0.68,61.2
2016-12-10,77,68.0,,0.68,52.36000000000001
2016-12-11,85,68.0,,0.68,57.800000000000004
2016-12-12,91,68.0,,0.68,61.88
2016-12-13,100,68.0,,0.68,68.0
2016-12-14,97,68.0,,0.68,65.96000000000001
2016-12-15,92,68.0,,0.68,62.56
2016-12-16,87,68.0,,0.68,59.160000000000004
2016-12-17,75,68.0,,0.68,51.00000000000001
2016-12-18,71,68.0,,0.68,48.28
2016-12-19,84,68.0,,0.68,57.120000000000005
2016-12-20,81,68.0,,0.68,55.080000000000005
2016-12-21,76,68.0,,0.68,51.68000000000001
2016-12-22,74,68.0,,0.68,50.32
2016-12-23,69,68.0,,0.68,46.92
2016-12-24,68,68.0,,0.68,46.24
2016-12-25,67,68.0,,0.68,45.56
2016-12-26,62,68.0,,0.68,42.160000000000004
2016-12-27,62,68.0,,0.68,42.160000000000004
2016-12-28,60,68.0,,0.68,40.800000000000004
2016-12-29,64,68.0,,0.68,43.52
2016-12-30,66,68.0,,0.68,44.88
2016-12-31,63,68.0,,0.68,42.84
2017-01-01,71,70.0,False,0.7,49.699999999999996
2017-01-02,72,70.0,,0.7,50.4
2017-01-03,69,70.0,,0.7,48.3
2017-01-04,72,70.0,,0.7,50.4
2017-01-05,81,70.0,,0.7,56.699999999999996
2017-01-06,80,70.0,,0.7,56.0
2017-01-07,77,70.0,,0.7,53.9
2017-01-08,77,70.0,,0.7,53.9
2017-01-09,79,70.0,,0.7,55.3
2017-01-10,79,70.0,,0.7,55.3
2017-01-11,86,70.0,,0.7,60.199999999999996
2017-01-12,84,70.0,,0.7,58.8
2017-01-13,87,70.0,,0.7,60.9
2017-01-14,72,70.0,,0.7,50.4
2017-01-15,74,70.0,,0.7,51.8
2017-01-16,83,70.0,,0.7,58.099999999999994
2017-01-17,85,70.0,,0.7,59.49999999999999
2017-01-18,87,70.0,,0.7,60.9
2017-01-19,89,70.0,,0.7,62.3
2017-01-20,100,70.0,,0.7,70.0
2017-01-21,97,70.0,,0.7,67.89999999999999
2017-01-22,96,70.0,,0.7,67.19999999999999
2017-01-23,93,70.0,,0.7,65.1
2017-01-24,92,70.0,,0.7,64.39999999999999
2017-01-25,92,70.0,,0.7,64.39999999999999
2017-01-26,94,70.0,,0.7,65.8
2017-01-27,90,70.0,,0.7,62.99999999999999
2017-01-28,82,70.0,,0.7,57.4
2017-01-29,94,70.0,,0.7,65.8
2017-01-30,94,70.0,,0.7,65.8
2017-01-31,99,70.0,,0.7,69.3
2017-02-01,87,73.0,False,0.73,63.51
2017-02-02,87,73.0,,0.73,63.51
2017-02-03,84,73.0,,0.73,61.32
2017-02-04,72,73.0,,0.73,52.56
2017-02-05,80,73.0,,0.73,58.4
2017-02-06,83,73.0,,0.73,60.589999999999996
2017-02-07,87,73.0,,0.73,63.51
2017-02-08,89,73.0,,0.73,64.97
2017-02-09,91,73.0,,0.73,66.42999999999999
2017-02-10,87,73.0,,0.73,63.51
2017-02-11,81,73.0,,0.73,59.129999999999995
2017-02-12,82,73.0,,0.73,59.86
2017-02-13,89,73.0,,0.73,64.97
2017-02-14,86,73.0,,0.73,62.78
2017-02-15,89,73.0,,0.73,64.97
2017-02-16,90,73.0,,0.73,65.7
2017-02-17,87,73.0,,0.73,63.51
2017-02-18,76,73.0,,0.73,55.48
2017-02-19,78,73.0,,0.73,56.94
2017-02-20,82,73.0,,0.73,59.86
2017-02-21,84,73.0,,0.73,61.32
2017-02-22,86,73.0,,0.73,62.78
2017-02-23,87,73.0,,0.73,63.51
2017-02-24,85,73.0,,0.73,62.05
2017-02-25,76,73.0,,0.73,55.48
2017-02-26,78,73.0,,0.73,56.94
2017-02-27,96,73.0,,0.73,70.08
2017-02-28,100,73.0,,0.73,73.0
2017-03-01,92,75.0,False,0.75,69.0
2017-03-02,100,75.0,,0.75,75.0
2017-03-03,95,75.0,,0.75,71.25
2017-03-04,84,75.0,,0.75,63.0
2017-03-05,82,75.0,,0.75,61.5
2017-03-06,89,75.0,,0.75,66.75
2017-03-07,92,75.0,,0.75,69.0
2017-03-08,93,75.0,,0.75,69.75
2017-03-09,91,75.0,,0.75,68.25
2017-03-10,85,75.0,,0.75,63.75
2017-03-11,80,75.0,,0.75,60.0
2017-03-12,94,75.0,,0.75,70.5
2017-03-13,84,75.0,,0.75,63.0
2017-03-14,86,75.0,,0.75,64.5
2017-03-15,86,75.0,,0.75,64.5
2017-03-16,82,75.0,,0.75,61.5
2017-03-17,85,75.0,,0.75,63.75
2017-03-18,69,75.0,,0.75,51.75
2017-03-19,75,75.0,,0.75,56.25
2017-03-20,81,75.0,,0.75,60.75
2017-03-21,83,75.0,,0.75,62.25
2017-03-22,81,75.0,,0.75,60.75
2017-03-23,84,75.0,,0.75,63.0
2017-03-24,79,75.0,,0.75,59.25
2017-03-25,65,75.0,,0.75,48.75
2017-03-26,73,75.0,,0.75,54.75
2017-03-27,82,75.0,,0.75,61.5
2017-03-28,83,75.0,,0.75,62.25
2017-03-29,83,75.0,,0.75,62.25
2017-03-30,83,75.0,,0.75,62.25
2017-03-31,79,75.0,,0.75,59.25
2017-04-01,74,71.0,False,0.71,52.54
2017-04-02,76,71.0,,0.71,53.959999999999994
2017-04-03,86,71.0,,0.71,61.059999999999995
2017-04-04,86,71.0,,0.71,61.059999999999995
2017-04-05,89,71.0,,0.71,63.19
2017-04-06,94,71.0,,0.71,66.74
2017-04-07,100,71.0,,0.71,71.0
2017-04-08,81,71.0,,0.71,57.51
2017-04-09,81,71.0,,0.71,57.51
2017-04-10,88,71.0,,0.71,62.48
2017-04-11,95,71.0,,0.71,67.45
2017-04-12,92,71.0,,0.71,65.32
2017-04-13,90,71.0,,0.71,63.9
2017-04-14,87,71.0,,0.71,61.769999999999996
2017-04-15,80,71.0,,0.71,56.8
2017-04-16,85,71.0,,0.71,60.349999999999994
2017-04-17,87,71.0,,0.71,61.769999999999996
2017-04-18,86,71.0,,0.71,61.059999999999995
2017-04-19,91,71.0,,0.71,64.61
2017-04-20,86,71.0,,0.71,61.059999999999995
2017-04-21,90,71.0,,0.71,63.9
2017-04-22,74,71.0,,0.71,52.54
2017-04-23,78,71.0,,0.71,55.379999999999995
2017-04-24,91,71.0,,0.71,64.61
2017-04-25,94,71.0,,0.71,66.74
2017-04-26,91,71.0,,0.71,64.61
2017-04-27,94,71.0,,0.71,66.74
2017-04-28,89,71.0,,0.71,63.19
2017-04-29,73,71.0,,0.71,51.83
2017-04-30,79,71.0,,0.71,56.089999999999996
2017-05-01,94,67.0,False,0.67,62.980000000000004
2017-05-02,94,67.0,,0.67,62.980000000000004
2017-05-03,94,67.0,,0.67,62.980000000000004
2017-05-04,100,67.0,,0.67,67.0
2017-05-05,95,67.0,,0.67,63.650000000000006
2017-05-06,75,67.0,,0.67,50.25
2017-05-07,82,67.0,,0.67,54.940000000000005
2017-05-08,94,67.0,,0.67,62.980000000000004
2017-05-09,96,67.0,,0.67,64.32000000000001
2017-05-10,93,67.0,,0.67,62.31
2017-05-11,94,67.0,,0.67,62.980000000000004
2017-05-12,88,67.0,,0.67,58.96
2017-05-13,74,67.0,,0.67,49.580000000000005
2017-05-14,76,67.0,,0.67,50.92
2017-05-15,91,67.0,,0.67,60.970000000000006
2017-05-16,88,67.0,,0.67,58.96
2017-05-17,89,67.0,,0.67,59.63
2017-05-18,88,67.0,,0.67,58.96
2017-05-19,83,67.0,,0.67,55.61000000000001
2017-05-20,72,67.0,,0.67,48.24
2017-05-21,73,67.0,,0.67,48.910000000000004
2017-05-22,88,67.0,,0.67,58.96
2017-05-23,87,67.0,,0.67,58.290000000000006
2017-05-24,84,67.0,,0.67,56.28
2017-05-25,89,67.0,,0.67,59.63
2017-05-26,83,67.0,,0.67,55.61000000000001
2017-05-27,71,67.0,,0.67,47.57
2017-05-28,72,67.0,,0.67,48.24
2017-05-29,77,67.0,,0.67,51.59
2017-05-30,82,67.0,,0.67,54.940000000000005
2017-05-31,89,67.0,,0.67,59.63
2017-06-01,100,63.0,False,0.63,63.0
2017-06-02,100,63.0,,0.63,63.0
2017-06-03,81,63.0,,0.63,51.03
2017-06-04,92,63.0,,0.63,57.96
2017-06-05,94,63.0,,0.63,59.22
2017-06-06,94,63.0,,0.63,59.22
2017-06-07,94,63.0,,0.63,59.22
2017-06-08,91,63.0,,0.63,57.33
2017-06-09,89,63.0,,0.63,56.07
2017-06-10,79,63.0,,0.63,49.77
2017-06-11,83,63.0,,0.63,52.29
2017-06-12,90,63.0,,0.63,56.7
2017-06-13,88,63.0,,0.63,55.44
2017-06-14,89,63.0,,0.63,56.07
2017-06-15,92,63.0,,0.63,57.96
2017-06-16,89,63.0,,0.63,56.07
2017-06-17,79,63.0,,0.63,49.77
2017-06-18,78,63.0,,0.63,49.14
2017-06-19,84,63.0,,0.63,52.92
2017-06-20,89,63.0,,0.63,56.07
2017-06-21,88,63.0,,0.63,55.44
2017-06-22,86,63.0,,0.63,54.18
2017-06-23,90,63.0,,0.63,56.7
2017-06-24,82,63.0,,0.63,51.660000000000004
2017-06-25,88,63.0,,0.63,55.44
2017-06-26,86,63.0,,0.63,54.18
2017-06-27,81,63.0,,0.63,51.03
2017-06-28,85,63.0,,0.63,53.55
2017-06-29,89,63.0,,0.63,56.07
2017-06-30,84,63.0,,0.63,52.92
2017-07-01,83,62.0,False,0.62,51.46
2017-07-02,86,62.0,,0.62,53.32
2017-07-03,81,62.0,,0.62,50.22
2017-07-04,100,62.0,,0.62,62.0
2017-07-05,88,62.0,,0.62,54.56
2017-07-06,90,62.0,,0.62,55.8
2017-07-07,83,62.0,,0.62,51.46
2017-07-08,82,62.0,,0.62,50.839999999999996
2017-07-09,83,62.0,,0.62,51.46
2017-07-10,84,62.0,,0.62,52.08
2017-07-11,85,62.0,,0.62,52.7
2017-07-12,93,62.0,,0.62,57.66
2017-07-13,89,62.0,,0.62,55.18
2017-07-14,88,62.0,,0.62,54.56
2017-07-15,82,62.0,,0.62,50.839999999999996
2017-07-16,87,62.0,,0.62,53.94
2017-07-17,88,62.0,,0.62,54.56
2017-07-18,86,62.0,,0.62,53.32
2017-07-19,89,62.0,,0.62,55.18
2017-07-20,88,62.0,,0.62,54.56
2017-07-21,84,62.0,,0.62,52.08
2017-07-22,79,62.0,,0.62,48.98
2017-07-23,85,62.0,,0.62,52.7
2017-07-24,89,62.0,,0.62,55.18
2017-07-25,92,62.0,,0.62,57.04
2017-07-26,90,62.0,,0.62,55.8
2017-07-27,90,62.0,,0.62,55.8
2017-07-28,83,62.0,,0.62,51.46
2017-07-29,83,62.0,,0.62,51.46
2017-07-30,86,62.0,,0.62,53.32
2017-07-31,86,62.0,,0.62,53.32
2017-08-01,68,64.0,False,0.64,43.52
2017-08-02,70,64.0,,0.64,44.800000000000004
2017-08-03,67,64.0,,0.64,42.88
2017-08-04,65,64.0,,0.64,41.6
2017-08-05,66,64.0,,0.64,42.24
2017-08-06,68,64.0,,0.64,43.52
2017-08-07,66,64.0,,0.64,42.24
2017-08-08,68,64.0,,0.64,43.52
2017-08-09,70,64.0,,0.64,44.800000000000004
2017-08-10,73,64.0,,0.64,46.72
2017-08-11,68,64.0,,0.64,43.52
2017-08-12,66,64.0,,0.64,42.24
2017-08-13,68,64.0,,0.64,43.52
2017-08-14,69,64.0,,0.64,44.160000000000004
2017-08-15,72,64.0,,0.64,46.08
2017-08-16,77,64.0,,0.64,49.28
2017-08-17,77,64.0,,0.64,49.28
2017-08-18,77,64.0,,0.64,49.28
2017-08-19,71,64.0,,0.64,45.44
2017-08-20,75,64.0,,0.64,48.0
2017-08-21,100,64.0,,0.64,64.0
2017-08-22,72,64.0,,0.64,46.08
2017-08-23,73,64.0,,0.64,46.72
2017-08-24,75,64.0,,0.64,48.0
2017-08-25,73,64.0,,0.64,46.72
2017-08-26,61,64.0,,0.64,39.04
2017-08-27,63,64.0,,0.64,40.32
2017-08-28,72,64.0,,0.64,46.08
2017-08-29,74,64.0,,0.64,47.36
2017-08-30,80,64.0,,0.64,51.2
2017-08-31,81,64.0,,0.64,51.84
2017-09-01,84,69.0,False,0.69,57.959999999999994
2017-09-02,73,69.0,,0.69,50.37
2017-09-03,77,69.0,,0.69,53.129999999999995
2017-09-04,85,69.0,,0.69,58.65
2017-09-05,82,69.0,,0.69,56.58
2017-09-06,84,69.0,,0.69,57.959999999999994
2017-09-07,86,69.0,,0.69,59.339999999999996
2017-09-08,82,69.0,,0.69,56.58
2017-09-09,73,69.0,,0.69,50.37
2017-09-10,79,69.0,,0.69,54.51
2017-09-11,91,69.0,,0.69,62.78999999999999
2017-09-12,87,69.0,,0.69,60.029999999999994
2017-09-13,89,69.0,,0.69,61.41
2017-09-14,93,69.0,,0.69,64.17
2017-09-15,85,69.0,,0.69,58.65
2017-09-16,73,69.0,,0.69,50.37
2017-09-17,79,69.0,,0.69,54.51
2017-09-18,90,69.0,,0.69,62.099999999999994
2017-09-19,90,69.0,,0.69,62.099999999999994
2017-09-20,92,69.0,,0.69,63.48
2017-09-21,92,69.0,,0.69,63.48
2017-09-22,91,69.0,,0.69,62.78999999999999
2017-09-23,69,69.0,,0.69,47.61
2017-09-24,86,69.0,,0.69,59.339999999999996
2017-09-25,99,69.0,,0.69,68.30999999999999
2017-09-26,100,69.0,,0.69,69.0
2017-09-27,97,69.0,,0.69,66.92999999999999
2017-09-28,95,69.0,,0.69,65.55
2017-09-29,86,69.0,,0.69,59.339999999999996
2017-09-30,73,69.0,,0.69,50.37
2017-10-01,87,72.0,False,0.72,62.64
2017-10-02,93,72.0,,0.72,66.96
2017-10-03,100,72.0,,0.72,72.0
2017-10-04,97,72.0,,0.72,69.84
2017-10-05,98,72.0,,0.72,70.56
2017-10-06,90,72.0,,0.72,64.8
2017-10-07,75,72.0,,0.72,54.0
2017-10-08,82,72.0,,0.72,59.04
2017-10-09,95,72.0,,0.72,68.39999999999999
2017-10-10,96,72.0,,0.72,69.12
2017-10-11,95,72.0,,0.72,68.39999999999999
2017-10-12,94,72.0,,0.72,67.67999999999999
2017-10-13,91,72.0,,0.72,65.52
2017-10-14,75,72.0,,0.72,54.0
2017-10-15,85,72.0,,0.72,61.199999999999996
2017-10-16,98,72.0,,0.72,70.56
2017-10-17,97,72.0,,0.72,69.84
2017-10-18,95,72.0,,0.72,68.39999999999999
2017-10-19,97,72.0,,0.72,69.84
2017-10-20,90,72.0,,0.72,64.8
2017-10-21,79,72.0,,0.72,56.879999999999995
2017-10-22,87,72.0,,0.72,62.64
2017-10-23,98,72.0,,0.72,70.56
2017-10-24,97,72.0,,0.72,69.84
2017-10-25,98,72.0,,0.72,70.56
2017-10-26,96,72.0,,0.72,69.12
2017-10-27,98,72.0,,0.72,70.56
2017-10-28,78,72.0,,0.72,56.16
2017-10-29,96,72.0,,0.72,69.12
2017-10-30,97,72.0,,0.72,69.84
2017-10-31,97,72.0,,0.72,69.84
2017-11-01,89,69.0,False,0.69,61.41
2017-11-02,90,69.0,,0.69,62.099999999999994
2017-11-03,86,69.0,,0.69,59.339999999999996
2017-11-04,83,69.0,,0.69,57.269999999999996
2017-11-05,100,69.0,,0.69,69.0
2017-11-06,92,69.0,,0.69,63.48
2017-11-07,94,69.0,,0.69,64.86
2017-11-08,91,69.0,,0.69,62.78999999999999
2017-11-09,90,69.0,,0.69,62.099999999999994
2017-11-10,90,69.0,,0.69,62.099999999999994
2017-11-11,75,69.0,,0.69,51.74999999999999
2017-11-12,81,69.0,,0.69,55.88999999999999
2017-11-13,87,69.0,,0.69,60.029999999999994
2017-11-14,88,69.0,,0.69,60.72
2017-11-15,91,69.0,,0.69,62.78999999999999
2017-11-16,91,69.0,,0.69,62.78999999999999
2017-11-17,84,69.0,,0.69,57.959999999999994
2017-11-18,66,69.0,,0.69,45.54
2017-11-19,77,69.0,,0.69,53.129999999999995
2017-11-20,85,69.0,,0.69,58.65
2017-11-21,82,69.0,,0.69,56.58
2017-11-22,71,69.0,,0.69,48.989999999999995
2017-11-23,66,69.0,,0.69,45.54
2017-11-24,53,69.0,,0.69,36.57
2017-11-25,64,69.0,,0.69,44.16
2017-11-26,73,69.0,,0.69,50.37
2017-11-27,79,69.0,,0.69,54.51
2017-11-28,90,69.0,,0.69,62.099999999999994
2017-11-29,86,69.0,,0.69,59.339999999999996
2017-11-30,90,69.0,,0.69,62.099999999999994
2017-12-01,85,63.0,False,0.63,53.55
2017-12-02,74,63.0,,0.63,46.62
2017-12-03,80,63.0,,0.63,50.4
2017-12-04,88,63.0,,0.63,55.44
2017-12-05,89,63.0,,0.63,56.07
2017-12-06,88,63.0,,0.63,55.44
2017-12-07,94,63.0,,0.63,59.22
2017-12-08,88,63.0,,0.63,55.44
2017-12-09,74,63.0,,0.63,46.62
2017-12-10,77,63.0,,0.63,48.51
2017-12-11,85,63.0,,0.63,53.55
2017-12-12,89,63.0,,0.63,56.07
2017-12-13,89,63.0,,0.63,56.07
2017-12-14,100,63.0,,0.63,63.0
2017-12-15,90,63.0,,0.63,56.7
2017-12-16,65,63.0,,0.63,40.95
2017-12-17,66,63.0,,0.63,41.58
2017-12-18,74,63.0,,0.63,46.62
2017-12-19,78,63.0,,0.63,49.14
2017-12-20,78,63.0,,0.63,49.14
2017-12-21,75,63.0,,0.63,47.25
2017-12-22,64,63.0,,0.63,40.32
2017-12-23,59,63.0,,0.63,37.17
2017-12-24,61,63.0,,0.63,38.43
2017-12-25,61,63.0,,0.63,38.43
2017-12-26,57,63.0,,0.63,35.910000000000004
2017-12-27,57,63.0,,0.63,35.910000000000004
2017-12-28,58,63.0,,0.63,36.54
