date,KR_unscaled,KR_monthly,isPartial,scale,KR
2016-07-09,47,68.0,,0.68,31.96
2016-07-10,66,68.0,,0.68,44.88
2016-07-11,76,68.0,,0.68,51.68000000000001
2016-07-12,72,68.0,,0.68,48.96
2016-07-13,51,68.0,,0.68,34.68
2016-07-14,88,68.0,,0.68,59.84
2016-07-15,62,68.0,,0.68,42.160000000000004
2016-07-16,64,68.0,,0.68,43.52
2016-07-17,60,68.0,,0.68,40.800000000000004
2016-07-18,62,68.0,,0.68,42.160000000000004
2016-07-19,63,68.0,,0.68,42.84
2016-07-20,91,68.0,,0.68,61.88
2016-07-21,69,68.0,,0.68,46.92
2016-07-22,61,68.0,,0.68,41.480000000000004
2016-07-23,57,68.0,,0.68,38.760000000000005
2016-07-24,51,68.0,,0.68,34.68
2016-07-25,72,68.0,,0.68,48.96
2016-07-26,75,68.0,,0.68,51.00000000000001
2016-07-27,84,68.0,,0.68,57.120000000000005
2016-07-28,81,68.0,,0.68,55.080000000000005
2016-07-29,78,68.0,,0.68,53.040000000000006
2016-07-30,52,68.0,,0.68,35.36
2016-07-31,57,68.0,,0.68,38.760000000000005
2016-08-01,73,74.0,False,0.74,54.019999999999996
2016-08-02,70,74.0,,0.74,51.8
2016-08-03,100,74.0,,0.74,74.0
2016-08-04,61,74.0,,0.74,45.14
2016-08-05,88,74.0,,0.74,65.12
2016-08-06,53,74.0,,0.74,39.22
2016-08-07,42,74.0,,0.74,31.08
2016-08-08,78,74.0,,0.74,57.72
2016-08-09,66,74.0,,0.74,48.839999999999996
2016-08-10,100,74.0,,0.74,74.0
2016-08-11,97,74.0,,0.74,71.78
2016-08-12,87,74.0,,0.74,64.38
2016-08-13,73,74.0,,0.74,54.019999999999996
2016-08-14,77,74.0,,0.74,56.98
2016-08-15,74,74.0,,0.74,54.76
2016-08-16,72,74.0,,0.74,53.28
2016-08-17,83,74.0,,0.74,61.42
2016-08-18,64,74.0,,0.74,47.36
2016-08-19,73,74.0,,0.74,54.019999999999996
2016-08-20,56,74.0,,0.74,41.44
2016-08-21,52,74.0,,0.74,38.48
2016-08-22,83,74.0,,0.74,61.42
2016-08-23,83,74.0,,0.74,61.42
2016-08-24,88,74.0,,0.74,65.12
2016-08-25,78,74.0,,0.74,57.72
2016-08-26,79,74.0,,0.74,58.46
2016-08-27,61,74.0,,0.74,45.14
2016-08-28,59,74.0,,0.74,43.66
2016-08-29,93,74.0,,0.74,68.82
2016-08-30,92,74.0,,0.74,68.08
2016-08-31,70,74.0,,0.74,51.8
2016-09-01,50,88.0,False,0.88,44.0
2016-09-02,60,88.0,,0.88,52.8
2016-09-03,41,88.0,,0.88,36.08
2016-09-04,46,88.0,,0.88,40.48
2016-09-05,66,88.0,,0.88,58.08
2016-09-06,74,88.0,,0.88,65.12
2016-09-07,72,88.0,,0.88,63.36
2016-09-08,64,88.0,,0.88,56.32
2016-09-09,79,88.0,,0.88,69.52
2016-09-10,51,88.0,,0.88,44.88
2016-09-11,52,88.0,,0.88,45.76
2016-09-12,63,88.0,,0.88,55.44
2016-09-13,64,88.0,,0.88,56.32
2016-09-14,66,88.0,,0.88,58.08
2016-09-15,59,88.0,,0.88,51.92
2016-09-16,67,88.0,,0.88,58.96
2016-09-17,51,88.0,,0.88,44.88
2016-09-18,57,88.0,,0.88,50.160000000000004
2016-09-19,77,88.0,,0.88,67.76
2016-09-20,92,88.0,,0.88,80.96
2016-09-21,100,88.0,,0.88,88.0
2016-09-22,67,88.0,,0.88,58.96
2016-09-23,72,88.0,,0.88,63.36
2016-09-24,47,88.0,,0.88,41.36
2016-09-25,53,88.0,,0.88,46.64
2016-09-26,67,88.0,,0.88,58.96
2016-09-27,71,88.0,,0.88,62.48
2016-09-28,71,88.0,,0.88,62.48
2016-09-29,67,88.0,,0.88,58.96
2016-09-30,56,88.0,,0.88,49.28
2016-10-01,52,79.0,False,0.79,41.08
2016-10-02,59,79.0,,0.79,46.61
2016-10-03,77,79.0,,0.79,60.830000000000005
2016-10-04,96,79.0,,0.79,75.84
2016-10-05,78,79.0,,0.79,61.620000000000005
2016-10-06,100,79.0,,0.79,79.0
2016-10-07,75,79.0,,0.79,59.25
2016-10-08,62,79.0,,0.79,48.980000000000004
2016-10-09,51,79.0,,0.79,40.29
2016-10-10,59,79.0,,0.79,46.61
2016-10-11,86,79.0,,0.79,67.94
2016-10-12,81,79.0,,0.79,63.99
2016-10-13,62,79.0,,0.79,48.980000000000004
2016-10-14,60,79.0,,0.79,47.400000000000006
2016-10-15,78,79.0,,0.79,61.620000000000005
2016-10-16,49,79.0,,0.79,38.71
2016-10-17,80,79.0,,0.79,63.2
2016-10-18,81,79.0,,0.79,63.99
2016-10-19,92,79.0,,0.79,72.68
2016-10-20,79,79.0,,0.79,62.410000000000004
2016-10-21,57,79.0,,0.79,45.03
2016-10-22,64,79.0,,0.79,50.56
2016-10-23,48,79.0,,0.79,37.92
2016-10-24,84,79.0,,0.79,66.36
2016-10-25,85,79.0,,0.79,67.15
2016-10-26,76,79.0,,0.79,60.040000000000006
2016-10-27,64,79.0,,0.79,50.56
2016-10-28,69,79.0,,0.79,54.510000000000005
2016-10-29,68,79.0,,0.79,53.72
2016-10-30,52,79.0,,0.79,41.08
2016-10-31,74,79.0,,0.79,58.46
2016-11-01,72,80.0,False,0.8,57.6
2016-11-02,77,80.0,,0.8,61.6
2016-11-03,86,80.0,,0.8,68.8
2016-11-04,61,80.0,,0.8,48.800000000000004
2016-11-05,66,80.0,,0.8,52.800000000000004
2016-11-06,61,80.0,,0.8,48.800000000000004
2016-11-07,63,80.0,,0.8,50.400000000000006
2016-11-08,74,80.0,,0.8,59.2
2016-11-09,67,80.0,,0.8,53.6
2016-11-10,100,80.0,,0.8,80.0
2016-11-11,76,80.0,,0.8,60.800000000000004
2016-11-12,47,80.0,,0.8,37.6
2016-11-13,52,80.0,,0.8,41.6
2016-11-14,78,80.0,,0.8,62.400000000000006
2016-11-15,98,80.0,,0.8,78.4
2016-11-16,70,80.0,,0.8,56.0
2016-11-17,78,80.0,,0.8,62.400000000000006
2016-11-18,69,80.0,,0.8,55.2
2016-11-19,59,80.0,,0.8,47.2
2016-11-20,75,80.0,,0.8,60.0
2016-11-21,71,80.0,,0.8,56.800000000000004
2016-11-22,82,80.0,,0.8,65.60000000000001
2016-11-23,87,80.0,,0.8,69.60000000000001
2016-11-24,68,80.0,,0.8,54.400000000000006
2016-11-25,66,80.0,,0.8,52.800000000000004
2016-11-26,89,80.0,,0.8,71.2
2016-11-27,57,80.0,,0.8,45.6
2016-11-28,70,80.0,,0.8,56.0
2016-11-29,70,80.0,,0.8,56.0
2016-11-30,87,80.0,,0.8,69.60000000000001
2016-12-01,100,82.0,False,0.82,82.0
2016-12-02,73,82.0,,0.82,59.86
2016-12-03,44,82.0,,0.82,36.08
2016-12-04,76,82.0,,0.82,62.31999999999999
2016-12-05,80,82.0,,0.82,65.6
2016-12-06,85,82.0,,0.82,69.7
2016-12-07,68,82.0,,0.82,55.76
2016-12-08,80,82.0,,0.82,65.6
2016-12-09,88,82.0,,0.82,72.16
2016-12-10,73,82.0,,0.82,59.86
2016-12-11,58,82.0,,0.82,47.559999999999995
2016-12-12,69,82.0,,0.82,56.58
2016-12-13,69,82.0,,0.82,56.58
2016-12-14,85,82.0,,0.82,69.7
2016-12-15,73,82.0,,0.82,59.86
2016-12-16,60,82.0,,0.82,49.199999999999996
2016-12-17,51,82.0,,0.82,41.82
2016-12-18,73,82.0,,0.82,59.86
2016-12-19,62,82.0,,0.82,50.839999999999996
2016-12-20,79,82.0,,0.82,64.78
2016-12-21,84,82.0,,0.82,68.88
2016-12-22,60,82.0,,0.82,49.199999999999996
2016-12-23,66,82.0,,0.82,54.12
2016-12-24,62,82.0,,0.82,50.839999999999996
2016-12-25,51,82.0,,0.82,41.82
2016-12-26,36,82.0,,0.82,29.52
2016-12-27,60,82.0,,0.82,49.199999999999996
2016-12-28,55,82.0,,0.82,45.099999999999994
2016-12-29,52,82.0,,0.82,42.64
2016-12-30,66,82.0,,0.82,54.12
2016-12-31,57,82.0,,0.82,46.739999999999995
2017-01-01,92,73.0,False,0.73,67.16
2017-01-02,65,73.0,,0.73,47.449999999999996
2017-01-03,84,73.0,,0.73,61.32
2017-01-04,75,73.0,,0.73,54.75
2017-01-05,87,73.0,,0.73,63.51
2017-01-06,73,73.0,,0.73,53.29
2017-01-07,60,73.0,,0.73,43.8
2017-01-08,61,73.0,,0.73,44.53
2017-01-09,77,73.0,,0.73,56.21
2017-01-10,68,73.0,,0.73,49.64
2017-01-11,100,73.0,,0.73,73.0
2017-01-12,91,73.0,,0.73,66.42999999999999
2017-01-13,81,73.0,,0.73,59.129999999999995
2017-01-14,61,73.0,,0.73,44.53
2017-01-15,51,73.0,,0.73,37.23
2017-01-16,74,73.0,,0.73,54.019999999999996
2017-01-17,74,73.0,,0.73,54.019999999999996
2017-01-18,92,73.0,,0.73,67.16
2017-01-19,72,73.0,,0.73,52.56
2017-01-20,77,73.0,,0.73,56.21
2017-01-21,61,73.0,,0.73,44.53
2017-01-22,72,73.0,,0.73,52.56
2017-01-23,74,73.0,,0.73,54.019999999999996
2017-01-24,89,73.0,,0.73,64.97
2017-01-25,70,73.0,,0.73,51.1
2017-01-26,90,73.0,,0.73,65.7
2017-01-27,78,73.0,,0.73,56.94
2017-01-28,78,73.0,,0.73,56.94
2017-01-29,54,73.0,,0.73,39.42
2017-01-30,74,73.0,,0.73,54.019999999999996
2017-01-31,83,73.0,,0.73,60.589999999999996
2017-02-01,87,74.0,False,0.74,64.38
2017-02-02,98,74.0,,0.74,72.52
2017-02-03,97,74.0,,0.74,71.78
2017-02-04,85,74.0,,0.74,62.9
2017-02-05,80,74.0,,0.74,59.2
2017-02-06,76,74.0,,0.74,56.24
2017-02-07,87,74.0,,0.74,64.38
2017-02-08,87,74.0,,0.74,64.38
2017-02-09,92,74.0,,0.74,68.08
2017-02-10,89,74.0,,0.74,65.86
2017-02-11,74,74.0,,0.74,54.76
2017-02-12,72,74.0,,0.74,53.28
2017-02-13,89,74.0,,0.74,65.86
2017-02-14,99,74.0,,0.74,73.26
2017-02-15,100,74.0,,0.74,74.0
2017-02-16,76,74.0,,0.74,56.24
2017-02-17,92,74.0,,0.74,68.08
2017-02-18,81,74.0,,0.74,59.94
2017-02-19,72,74.0,,0.74,53.28
2017-02-20,77,74.0,,0.74,56.98
2017-02-21,89,74.0,,0.74,65.86
2017-02-22,77,74.0,,0.74,56.98
2017-02-23,92,74.0,,0.74,68.08
2017-02-24,88,74.0,,0.74,65.12
2017-02-25,75,74.0,,0.74,55.5
2017-02-26,78,74.0,,0.74,57.72
2017-02-27,83,74.0,,0.74,61.42
2017-02-28,77,74.0,,0.74,56.98
2017-03-01,73,82.0,False,0.82,59.86
2017-03-02,100,82.0,,0.82,82.0
2017-03-03,82,82.0,,0.82,67.24
2017-03-04,56,82.0,,0.82,45.919999999999995
2017-03-05,69,82.0,,0.82,56.58
2017-03-06,78,82.0,,0.82,63.959999999999994
2017-03-07,95,82.0,,0.82,77.89999999999999
2017-03-08,77,82.0,,0.82,63.13999999999999
2017-03-09,80,82.0,,0.82,65.6
2017-03-10,78,82.0,,0.82,63.959999999999994
2017-03-11,66,82.0,,0.82,54.12
2017-03-12,71,82.0,,0.82,58.22
2017-03-13,77,82.0,,0.82,63.13999999999999
2017-03-14,65,82.0,,0.82,53.3
2017-03-15,64,82.0,,0.82,52.48
2017-03-16,85,82.0,,0.82,69.7
2017-03-17,74,82.0,,0.82,60.68
2017-03-18,59,82.0,,0.82,48.379999999999995
2017-03-19,50,82.0,,0.82,41.0
2017-03-20,78,82.0,,0.82,63.959999999999994
2017-03-21,79,82.0,,0.82,64.78
2017-03-22,87,82.0,,0.82,71.33999999999999
2017-03-23,73,82.0,,0.82,59.86
2017-03-24,80,82.0,,0.82,65.6
2017-03-25,70,82.0,,0.82,57.4
2017-03-26,55,82.0,,0.82,45.099999999999994
2017-03-27,82,82.0,,0.82,67.24
2017-03-28,87,82.0,,0.82,71.33999999999999
2017-03-29,81,82.0,,0.82,66.42
2017-03-30,92,82.0,,0.82,75.44
2017-03-31,79,82.0,,0.82,64.78
2017-04-01,69,74.0,False,0.74,51.06
2017-04-02,74,74.0,,0.74,54.76
2017-04-03,72,74.0,,0.74,53.28
2017-04-04,86,74.0,,0.74,63.64
2017-04-05,87,74.0,,0.74,64.38
2017-04-06,78,74.0,,0.74,57.72
2017-04-07,66,74.0,,0.74,48.839999999999996
2017-04-08,71,74.0,,0.74,52.54
2017-04-09,73,74.0,,0.74,54.019999999999996
2017-04-10,79,74.0,,0.74,58.46
2017-04-11,82,74.0,,0.74,60.68
2017-04-12,80,74.0,,0.74,59.2
2017-04-13,68,74.0,,0.74,50.32
2017-04-14,62,74.0,,0.74,45.88
2017-04-15,62,74.0,,0.74,45.88
2017-04-16,72,74.0,,0.74,53.28
2017-04-17,69,74.0,,0.74,51.06
2017-04-18,76,74.0,,0.74,56.24
2017-04-19,76,74.0,,0.74,56.24
2017-04-20,81,74.0,,0.74,59.94
2017-04-21,81,74.0,,0.74,59.94
2017-04-22,56,74.0,,0.74,41.44
2017-04-23,53,74.0,,0.74,39.22
2017-04-24,97,74.0,,0.74,71.78
2017-04-25,83,74.0,,0.74,61.42
2017-04-26,93,74.0,,0.74,68.82
2017-04-27,84,74.0,,0.74,62.16
2017-04-28,100,74.0,,0.74,74.0
2017-04-29,80,74.0,,0.74,59.2
2017-04-30,55,74.0,,0.74,40.7
2017-05-01,76,73.0,False,0.73,55.48
2017-05-02,83,73.0,,0.73,60.589999999999996
2017-05-03,74,73.0,,0.73,54.019999999999996
2017-05-04,96,73.0,,0.73,70.08
2017-05-05,76,73.0,,0.73,55.48
2017-05-06,68,73.0,,0.73,49.64
2017-05-07,69,73.0,,0.73,50.37
2017-05-08,81,73.0,,0.73,59.129999999999995
2017-05-09,90,73.0,,0.73,65.7
2017-05-10,92,73.0,,0.73,67.16
2017-05-11,81,73.0,,0.73,59.129999999999995
2017-05-12,80,73.0,,0.73,58.4
2017-05-13,85,73.0,,0.73,62.05
2017-05-14,62,73.0,,0.73,45.26
2017-05-15,80,73.0,,0.73,58.4
2017-05-16,96,73.0,,0.73,70.08
2017-05-17,68,73.0,,0.73,49.64
2017-05-18,72,73.0,,0.73,52.56
2017-05-19,67,73.0,,0.73,48.91
2017-05-20,93,73.0,,0.73,67.89
2017-05-21,66,73.0,,0.73,48.18
2017-05-22,92,73.0,,0.73,67.16
2017-05-23,72,73.0,,0.73,52.56
2017-05-24,87,73.0,,0.73,63.51
2017-05-25,93,73.0,,0.73,67.89
2017-05-26,64,73.0,,0.73,46.72
2017-05-27,59,73.0,,0.73,43.07
2017-05-28,70,73.0,,0.73,51.1
2017-05-29,70,73.0,,0.73,51.1
2017-05-30,100,73.0,,0.73,73.0
2017-05-31,67,73.0,,0.73,48.91
2017-06-01,31,97.0,False,0.97,30.07
2017-06-02,28,97.0,,0.97,27.16
2017-06-03,24,97.0,,0.97,23.28
2017-06-04,21,97.0,,0.97,20.37
2017-06-05,26,97.0,,0.97,25.22
2017-06-06,35,97.0,,0.97,33.949999999999996
2017-06-07,34,97.0,,0.97,32.98
2017-06-08,35,97.0,,0.97,33.949999999999996
2017-06-09,28,97.0,,0.97,27.16
2017-06-10,20,97.0,,0.97,19.4
2017-06-11,21,97.0,,0.97,20.37
2017-06-12,31,97.0,,0.97,30.07
2017-06-13,35,97.0,,0.97,33.949999999999996
2017-06-14,32,97.0,,0.97,31.04
2017-06-15,64,97.0,,0.97,62.08
2017-06-16,100,97.0,,0.97,97.0
2017-06-17,36,97.0,,0.97,34.92
2017-06-18,26,97.0,,0.97,25.22
2017-06-19,74,97.0,,0.97,71.78
2017-06-20,51,97.0,,0.97,49.47
2017-06-21,42,97.0,,0.97,40.74
2017-06-22,49,97.0,,0.97,47.53
2017-06-23,40,97.0,,0.97,38.8
2017-06-24,24,97.0,,0.97,23.28
2017-06-25,31,97.0,,0.97,30.07
2017-06-26,44,97.0,,0.97,42.68
2017-06-27,48,97.0,,0.97,46.56
2017-06-28,55,97.0,,0.97,53.35
2017-06-29,45,97.0,,0.97,43.65
2017-06-30,37,97.0,,0.97,35.89
2017-07-01,63,83.0,False,0.83,52.29
2017-07-02,55,83.0,,0.83,45.65
2017-07-03,74,83.0,,0.83,61.419999999999995
2017-07-04,65,83.0,,0.83,53.949999999999996
2017-07-05,100,83.0,,0.83,83.0
2017-07-06,77,83.0,,0.83,63.91
2017-07-07,69,83.0,,0.83,57.269999999999996
2017-07-08,48,83.0,,0.83,39.839999999999996
2017-07-09,59,83.0,,0.83,48.97
2017-07-10,79,83.0,,0.83,65.57
2017-07-11,65,83.0,,0.83,53.949999999999996
2017-07-12,85,83.0,,0.83,70.55
2017-07-13,88,83.0,,0.83,73.03999999999999
2017-07-14,80,83.0,,0.83,66.39999999999999
2017-07-15,49,83.0,,0.83,40.669999999999995
2017-07-16,50,83.0,,0.83,41.5
2017-07-17,61,83.0,,0.83,50.629999999999995
2017-07-18,83,83.0,,0.83,68.89
2017-07-19,80,83.0,,0.83,66.39999999999999
2017-07-20,70,83.0,,0.83,58.099999999999994
2017-07-21,65,83.0,,0.83,53.949999999999996
2017-07-22,54,83.0,,0.83,44.82
2017-07-23,44,83.0,,0.83,36.519999999999996
2017-07-24,67,83.0,,0.83,55.61
2017-07-25,60,83.0,,0.83,49.8
2017-07-26,64,83.0,,0.83,53.12
2017-07-27,90,83.0,,0.83,74.7
2017-07-28,84,83.0,,0.83,69.72
2017-07-29,71,83.0,,0.83,58.93
2017-07-30,60,83.0,,0.83,49.8
2017-07-31,92,83.0,,0.83,76.36
2017-08-01,77,84.0,False,0.84,64.67999999999999
2017-08-02,71,84.0,,0.84,59.64
2017-08-03,77,84.0,,0.84,64.67999999999999
2017-08-04,70,84.0,,0.84,58.8
2017-08-05,58,84.0,,0.84,48.72
2017-08-06,63,84.0,,0.84,52.919999999999995
2017-08-07,69,84.0,,0.84,57.96
2017-08-08,61,84.0,,0.84,51.239999999999995
2017-08-09,81,84.0,,0.84,68.03999999999999
2017-08-10,77,84.0,,0.84,64.67999999999999
2017-08-11,72,84.0,,0.84,60.48
2017-08-12,53,84.0,,0.84,44.519999999999996
2017-08-13,53,84.0,,0.84,44.519999999999996
2017-08-14,84,84.0,,0.84,70.56
2017-08-15,71,84.0,,0.84,59.64
2017-08-16,79,84.0,,0.84,66.36
2017-08-17,75,84.0,,0.84,63.0
2017-08-18,81,84.0,,0.84,68.03999999999999
2017-08-19,55,84.0,,0.84,46.199999999999996
2017-08-20,54,84.0,,0.84,45.36
2017-08-21,56,84.0,,0.84,47.04
2017-08-22,85,84.0,,0.84,71.39999999999999
2017-08-23,74,84.0,,0.84,62.16
2017-08-24,83,84.0,,0.84,69.72
2017-08-25,100,84.0,,0.84,84.0
2017-08-26,62,84.0,,0.84,52.08
2017-08-27,62,84.0,,0.84,52.08
2017-08-28,86,84.0,,0.84,72.24
2017-08-29,66,84.0,,0.84,55.44
2017-08-30,85,84.0,,0.84,71.39999999999999
2017-08-31,86,84.0,,0.84,72.24
2017-09-01,49,91.0,False,0.91,44.59
2017-09-02,57,91.0,,0.91,51.870000000000005
2017-09-03,48,91.0,,0.91,43.68
2017-09-04,54,91.0,,0.91,49.14
2017-09-05,67,91.0,,0.91,60.97
2017-09-06,53,91.0,,0.91,48.230000000000004
2017-09-07,59,91.0,,0.91,53.690000000000005
2017-09-08,100,91.0,,0.91,91.0
2017-09-09,40,91.0,,0.91,36.4
2017-09-10,50,91.0,,0.91,45.5
2017-09-11,66,91.0,,0.91,60.06
2017-09-12,64,91.0,,0.91,58.24
2017-09-13,74,91.0,,0.91,67.34
2017-09-14,66,91.0,,0.91,60.06
2017-09-15,53,91.0,,0.91,48.230000000000004
2017-09-16,50,91.0,,0.91,45.5
2017-09-17,48,91.0,,0.91,43.68
2017-09-18,54,91.0,,0.91,49.14
2017-09-19,52,91.0,,0.91,47.32
2017-09-20,75,91.0,,0.91,68.25
2017-09-21,63,91.0,,0.91,57.330000000000005
2017-09-22,66,91.0,,0.91,60.06
2017-09-23,33,91.0,,0.91,30.03
2017-09-24,57,91.0,,0.91,51.870000000000005
2017-09-25,57,91.0,,0.91,51.870000000000005
2017-09-26,67,91.0,,0.91,60.97
2017-09-27,58,91.0,,0.91,52.78
2017-09-28,56,91.0,,0.91,50.96
2017-09-29,72,91.0,,0.91,65.52
2017-09-30,49,91.0,,0.91,44.59
2017-10-01,65,90.0,False,0.9,58.5
2017-10-02,55,90.0,,0.9,49.5
2017-10-03,65,90.0,,0.9,58.5
2017-10-04,66,90.0,,0.9,59.4
2017-10-05,96,90.0,,0.9,86.4
2017-10-06,78,90.0,,0.9,70.2
2017-10-07,43,90.0,,0.9,38.7
2017-10-08,55,90.0,,0.9,49.5
2017-10-09,52,90.0,,0.9,46.800000000000004
2017-10-10,72,90.0,,0.9,64.8
2017-10-11,100,90.0,,0.9,90.0
2017-10-12,100,90.0,,0.9,90.0
2017-10-13,67,90.0,,0.9,60.300000000000004
2017-10-14,49,90.0,,0.9,44.1
2017-10-15,68,90.0,,0.9,61.2
2017-10-16,77,90.0,,0.9,69.3
2017-10-17,64,90.0,,0.9,57.6
2017-10-18,94,90.0,,0.9,84.60000000000001
2017-10-19,92,90.0,,0.9,82.8
2017-10-20,80,90.0,,0.9,72.0
2017-10-21,51,90.0,,0.9,45.9
2017-10-22,49,90.0,,0.9,44.1
2017-10-23,76,90.0,,0.9,68.4
2017-10-24,72,90.0,,0.9,64.8
2017-10-25,91,90.0,,0.9,81.9
2017-10-26,67,90.0,,0.9,60.300000000000004
2017-10-27,77,90.0,,0.9,69.3
2017-10-28,47,90.0,,0.9,42.300000000000004
2017-10-29,51,90.0,,0.9,45.9
2017-10-30,74,90.0,,0.9,66.60000000000001
2017-10-31,63,90.0,,0.9,56.7
2017-11-01,55,90.0,False,0.9,49.5
2017-11-02,47,90.0,,0.9,42.300000000000004
2017-11-03,53,90.0,,0.9,47.7
2017-11-04,54,90.0,,0.9,48.6
2017-11-05,43,90.0,,0.9,38.7
2017-11-06,53,90.0,,0.9,47.7
2017-11-07,57,90.0,,0.9,51.300000000000004
2017-11-08,65,90.0,,0.9,58.5
2017-11-09,71,90.0,,0.9,63.9
2017-11-10,72,90.0,,0.9,64.8
2017-11-11,37,90.0,,0.9,33.300000000000004
2017-11-12,40,90.0,,0.9,36.0
2017-11-13,76,90.0,,0.9,68.4
2017-11-14,67,90.0,,0.9,60.300000000000004
2017-11-15,74,90.0,,0.9,66.60000000000001
2017-11-16,60,90.0,,0.9,54.0
2017-11-17,63,90.0,,0.9,56.7
2017-11-18,31,90.0,,0.9,27.900000000000002
2017-11-19,34,90.0,,0.9,30.6
2017-11-20,55,90.0,,0.9,49.5
2017-11-21,66,90.0,,0.9,59.4
2017-11-22,61,90.0,,0.9,54.9
2017-11-23,45,90.0,,0.9,40.5
2017-11-24,44,90.0,,0.9,39.6
2017-11-25,47,90.0,,0.9,42.300000000000004
2017-11-26,30,90.0,,0.9,27.0
2017-11-27,45,90.0,,0.9,40.5
2017-11-28,56,90.0,,0.9,50.4
2017-11-29,60,90.0,,0.9,54.0
2017-11-30,100,90.0,,0.9,90.0
2017-12-01,82,81.0,False,0.81,66.42
2017-12-02,59,81.0,,0.81,47.790000000000006
2017-12-03,49,81.0,,0.81,39.690000000000005
2017-12-04,84,81.0,,0.81,68.04
2017-12-05,88,81.0,,0.81,71.28
2017-12-06,100,81.0,,0.81,81.0
2017-12-07,76,81.0,,0.81,61.56
2017-12-08,81,81.0,,0.81,65.61
2017-12-09,52,81.0,,0.81,42.120000000000005
2017-12-10,44,81.0,,0.81,35.64
2017-12-11,68,81.0,,0.81,55.080000000000005
2017-12-12,67,81.0,,0.81,54.27
2017-12-13,83,81.0,,0.81,67.23
2017-12-14,66,81.0,,0.81,53.46
2017-12-15,78,81.0,,0.81,63.18000000000001
2017-12-16,72,81.0,,0.81,58.32000000000001
2017-12-17,54,81.0,,0.81,43.74
2017-12-18,56,81.0,,0.81,45.36
2017-12-19,62,81.0,,0.81,50.220000000000006
2017-12-20,61,81.0,,0.81,49.410000000000004
2017-12-21,53,81.0,,0.81,42.93
2017-12-22,70,81.0,,0.81,56.7
2017-12-23,51,81.0,,0.81,41.31
2017-12-24,45,81.0,,0.81,36.45
2017-12-25,47,81.0,,0.81,38.07
2017-12-26,45,81.0,,0.81,36.45
