date,GL_unscaled,GL_monthly,isPartial,scale,GL
2016-08-22,79,95.0,,0.95,75.05
2016-08-23,82,95.0,,0.95,77.89999999999999
2016-08-24,99,95.0,,0.95,94.05
2016-08-25,76,95.0,,0.95,72.2
2016-08-26,76,95.0,,0.95,72.2
2016-08-27,78,95.0,,0.95,74.1
2016-08-28,75,95.0,,0.95,71.25
2016-08-29,87,95.0,,0.95,82.64999999999999
2016-08-30,87,95.0,,0.95,82.64999999999999
2016-08-31,74,95.0,,0.95,70.3
2016-09-01,81,87.0,False,0.87,70.47
2016-09-02,100,87.0,,0.87,87.0
2016-09-03,70,87.0,,0.87,60.9
2016-09-04,61,87.0,,0.87,53.07
2016-09-05,72,87.0,,0.87,62.64
2016-09-06,87,87.0,,0.87,75.69
2016-09-07,79,87.0,,0.87,68.73
2016-09-08,81,87.0,,0.87,70.47
2016-09-09,85,87.0,,0.87,73.95
2016-09-10,82,87.0,,0.87,71.34
2016-09-11,60,87.0,,0.87,52.2
2016-09-12,99,87.0,,0.87,86.13
2016-09-13,96,87.0,,0.87,83.52
2016-09-14,77,87.0,,0.87,66.99
2016-09-15,80,87.0,,0.87,69.6
2016-09-16,91,87.0,,0.87,79.17
2016-09-17,63,87.0,,0.87,54.81
2016-09-18,69,87.0,,0.87,60.03
2016-09-19,89,87.0,,0.87,77.42999999999999
2016-09-20,93,87.0,,0.87,80.91
2016-09-21,71,87.0,,0.87,61.77
2016-09-22,94,87.0,,0.87,81.78
2016-09-23,78,87.0,,0.87,67.86
2016-09-24,59,87.0,,0.87,51.33
2016-09-25,76,87.0,,0.87,66.12
2016-09-26,84,87.0,,0.87,73.08
2016-09-27,82,87.0,,0.87,71.34
2016-09-28,80,87.0,,0.87,69.6
2016-09-29,69,87.0,,0.87,60.03
2016-09-30,88,87.0,,0.87,76.56
2016-10-01,72,90.0,False,0.9,64.8
2016-10-02,80,90.0,,0.9,72.0
2016-10-03,75,90.0,,0.9,67.5
2016-10-04,77,90.0,,0.9,69.3
2016-10-05,88,90.0,,0.9,79.2
2016-10-06,75,90.0,,0.9,67.5
2016-10-07,90,90.0,,0.9,81.0
2016-10-08,82,90.0,,0.9,73.8
2016-10-09,73,90.0,,0.9,65.7
2016-10-10,70,90.0,,0.9,63.0
2016-10-11,79,90.0,,0.9,71.10000000000001
2016-10-12,82,90.0,,0.9,73.8
2016-10-13,73,90.0,,0.9,65.7
2016-10-14,70,90.0,,0.9,63.0
2016-10-15,70,90.0,,0.9,63.0
2016-10-16,75,90.0,,0.9,67.5
2016-10-17,81,90.0,,0.9,72.9
2016-10-18,100,90.0,,0.9,90.0
2016-10-19,82,90.0,,0.9,73.8
2016-10-20,84,90.0,,0.9,75.60000000000001
2016-10-21,88,90.0,,0.9,79.2
2016-10-22,75,90.0,,0.9,67.5
2016-10-23,75,90.0,,0.9,67.5
2016-10-24,89,90.0,,0.9,80.10000000000001
2016-10-25,90,90.0,,0.9,81.0
2016-10-26,78,90.0,,0.9,70.2
2016-10-27,76,90.0,,0.9,68.4
2016-10-28,94,90.0,,0.9,84.60000000000001
2016-10-29,65,90.0,,0.9,58.5
2016-10-30,95,90.0,,0.9,85.5
2016-10-31,75,90.0,,0.9,67.5
2016-11-01,83,88.0,False,0.88,73.04
2016-11-02,91,88.0,,0.88,80.08
2016-11-03,74,88.0,,0.88,65.12
2016-11-04,79,88.0,,0.88,69.52
2016-11-05,80,88.0,,0.88,70.4
2016-11-06,67,88.0,,0.88,58.96
2016-11-07,80,88.0,,0.88,70.4
2016-11-08,77,88.0,,0.88,67.76
2016-11-09,58,88.0,,0.88,51.04
2016-11-10,67,88.0,,0.88,58.96
2016-11-11,79,88.0,,0.88,69.52
2016-11-12,71,88.0,,0.88,62.48
2016-11-13,78,88.0,,0.88,68.64
2016-11-14,100,88.0,,0.88,88.0
2016-11-15,92,88.0,,0.88,80.96
2016-11-16,82,88.0,,0.88,72.16
2016-11-17,71,88.0,,0.88,62.48
2016-11-18,82,88.0,,0.88,72.16
2016-11-19,75,88.0,,0.88,66.0
2016-11-20,66,88.0,,0.88,58.08
2016-11-21,82,88.0,,0.88,72.16
2016-11-22,90,88.0,,0.88,79.2
2016-11-23,89,88.0,,0.88,78.32000000000001
2016-11-24,64,88.0,,0.88,56.32
2016-11-25,71,88.0,,0.88,62.48
2016-11-26,74,88.0,,0.88,65.12
2016-11-27,90,88.0,,0.88,79.2
2016-11-28,73,88.0,,0.88,64.24
2016-11-29,94,88.0,,0.88,82.72
2016-11-30,88,88.0,,0.88,77.44
2016-12-01,92,86.0,False,0.86,79.12
2016-12-02,88,86.0,,0.86,75.67999999999999
2016-12-03,83,86.0,,0.86,71.38
2016-12-04,73,86.0,,0.86,62.78
2016-12-05,86,86.0,,0.86,73.96
2016-12-06,90,86.0,,0.86,77.4
2016-12-07,91,86.0,,0.86,78.26
2016-12-08,100,86.0,,0.86,86.0
2016-12-09,83,86.0,,0.86,71.38
2016-12-10,79,86.0,,0.86,67.94
2016-12-11,66,86.0,,0.86,56.76
2016-12-12,90,86.0,,0.86,77.4
2016-12-13,77,86.0,,0.86,66.22
2016-12-14,80,86.0,,0.86,68.8
2016-12-15,77,86.0,,0.86,66.22
2016-12-16,97,86.0,,0.86,83.42
2016-12-17,68,86.0,,0.86,58.48
2016-12-18,79,86.0,,0.86,67.94
2016-12-19,89,86.0,,0.86,76.53999999999999
2016-12-20,75,86.0,,0.86,64.5
2016-12-21,98,86.0,,0.86,84.28
2016-12-22,95,86.0,,0.86,81.7
2016-12-23,87,86.0,,0.86,74.82
2016-12-24,69,86.0,,0.86,59.339999999999996
2016-12-25,57,86.0,,0.86,49.019999999999996
2016-12-26,73,86.0,,0.86,62.78
2016-12-27,78,86.0,,0.86,67.08
2016-12-28,89,86.0,,0.86,76.53999999999999
2016-12-29,95,86.0,,0.86,81.7
2016-12-30,79,86.0,,0.86,67.94
2016-12-31,76,86.0,,0.86,65.36
2017-01-01,58,87.0,False,0.87,50.46
2017-01-02,69,87.0,,0.87,60.03
2017-01-03,86,87.0,,0.87,74.82
2017-01-04,87,87.0,,0.87,75.69
2017-01-05,88,87.0,,0.87,76.56
2017-01-06,80,87.0,,0.87,69.6
2017-01-07,73,87.0,,0.87,63.51
2017-01-08,79,87.0,,0.87,68.73
2017-01-09,84,87.0,,0.87,73.08
2017-01-10,76,87.0,,0.87,66.12
2017-01-11,94,87.0,,0.87,81.78
2017-01-12,100,87.0,,0.87,87.0
2017-01-13,79,87.0,,0.87,68.73
2017-01-14,85,87.0,,0.87,73.95
2017-01-15,79,87.0,,0.87,68.73
2017-01-16,85,87.0,,0.87,73.95
2017-01-17,97,87.0,,0.87,84.39
2017-01-18,85,87.0,,0.87,73.95
2017-01-19,83,87.0,,0.87,72.21
2017-01-20,77,87.0,,0.87,66.99
2017-01-21,73,87.0,,0.87,63.51
2017-01-22,79,87.0,,0.87,68.73
2017-01-23,76,87.0,,0.87,66.12
2017-01-24,90,87.0,,0.87,78.3
2017-01-25,88,87.0,,0.87,76.56
2017-01-26,87,87.0,,0.87,75.69
2017-01-27,94,87.0,,0.87,81.78
2017-01-28,98,87.0,,0.87,85.26
2017-01-29,87,87.0,,0.87,75.69
2017-01-30,89,87.0,,0.87,77.42999999999999
2017-01-31,80,87.0,,0.87,69.6
2017-02-01,97,91.0,False,0.91,88.27
2017-02-02,91,91.0,,0.91,82.81
2017-02-03,81,91.0,,0.91,73.71000000000001
2017-02-04,98,91.0,,0.91,89.18
2017-02-05,80,91.0,,0.91,72.8
2017-02-06,89,91.0,,0.91,80.99000000000001
2017-02-07,89,91.0,,0.91,80.99000000000001
2017-02-08,81,91.0,,0.91,73.71000000000001
2017-02-09,87,91.0,,0.91,79.17
2017-02-10,79,91.0,,0.91,71.89
2017-02-11,86,91.0,,0.91,78.26
2017-02-12,61,91.0,,0.91,55.510000000000005
2017-02-13,77,91.0,,0.91,70.07000000000001
2017-02-14,86,91.0,,0.91,78.26
2017-02-15,84,91.0,,0.91,76.44
2017-02-16,100,91.0,,0.91,91.0
2017-02-17,98,91.0,,0.91,89.18
2017-02-18,72,91.0,,0.91,65.52
2017-02-19,83,91.0,,0.91,75.53
2017-02-20,71,91.0,,0.91,64.61
2017-02-21,87,91.0,,0.91,79.17
2017-02-22,87,91.0,,0.91,79.17
2017-02-23,86,91.0,,0.91,78.26
2017-02-24,90,91.0,,0.91,81.9
2017-02-25,87,91.0,,0.91,79.17
2017-02-26,68,91.0,,0.91,61.88
2017-02-27,87,91.0,,0.91,79.17
2017-02-28,95,91.0,,0.91,86.45
2017-03-01,83,90.0,False,0.9,74.7
2017-03-02,96,90.0,,0.9,86.4
2017-03-03,95,90.0,,0.9,85.5
2017-03-04,88,90.0,,0.9,79.2
2017-03-05,81,90.0,,0.9,72.9
2017-03-06,76,90.0,,0.9,68.4
2017-03-07,99,90.0,,0.9,89.10000000000001
2017-03-08,84,90.0,,0.9,75.60000000000001
2017-03-09,88,90.0,,0.9,79.2
2017-03-10,78,90.0,,0.9,70.2
2017-03-11,78,90.0,,0.9,70.2
2017-03-12,83,90.0,,0.9,74.7
2017-03-13,92,90.0,,0.9,82.8
2017-03-14,88,90.0,,0.9,79.2
2017-03-15,79,90.0,,0.9,71.10000000000001
2017-03-16,100,90.0,,0.9,90.0
2017-03-17,75,90.0,,0.9,67.5
2017-03-18,95,90.0,,0.9,85.5
2017-03-19,78,90.0,,0.9,70.2
2017-03-20,83,90.0,,0.9,74.7
2017-03-21,89,90.0,,0.9,80.10000000000001
2017-03-22,86,90.0,,0.9,77.4
2017-03-23,79,90.0,,0.9,71.10000000000001
2017-03-24,85,90.0,,0.9,76.5
2017-03-25,88,90.0,,0.9,79.2
2017-03-26,75,90.0,,0.9,67.5
2017-03-27,80,90.0,,0.9,72.0
2017-03-28,90,90.0,,0.9,81.0
2017-03-29,84,90.0,,0.9,75.60000000000001
2017-03-30,78,90.0,,0.9,70.2
2017-03-31,94,90.0,,0.9,84.60000000000001
2017-04-01,66,93.0,False,0.93,61.38
2017-04-02,57,93.0,,0.93,53.010000000000005
2017-04-03,63,93.0,,0.93,58.59
2017-04-04,71,93.0,,0.93,66.03
2017-04-05,72,93.0,,0.93,66.96000000000001
2017-04-06,68,93.0,,0.93,63.24
2017-04-07,100,93.0,,0.93,93.0
2017-04-08,64,93.0,,0.93,59.52
2017-04-09,84,93.0,,0.93,78.12
2017-04-10,76,93.0,,0.93,70.68
2017-04-11,75,93.0,,0.93,69.75
2017-04-12,67,93.0,,0.93,62.31
2017-04-13,62,93.0,,0.93,57.660000000000004
2017-04-14,82,93.0,,0.93,76.26
2017-04-15,65,93.0,,0.93,60.45
2017-04-16,76,93.0,,0.93,70.68
2017-04-17,82,93.0,,0.93,76.26
2017-04-18,87,93.0,,0.93,80.91000000000001
2017-04-19,73,93.0,,0.93,67.89
2017-04-20,71,93.0,,0.93,66.03
2017-04-21,91,93.0,,0.93,84.63000000000001
2017-04-22,61,93.0,,0.93,56.730000000000004
2017-04-23,69,93.0,,0.93,64.17
2017-04-24,71,93.0,,0.93,66.03
2017-04-25,78,93.0,,0.93,72.54
2017-04-26,64,93.0,,0.93,59.52
2017-04-27,73,93.0,,0.93,67.89
2017-04-28,74,93.0,,0.93,68.82000000000001
2017-04-29,66,93.0,,0.93,61.38
2017-04-30,72,93.0,,0.93,66.96000000000001
2017-05-01,90,93.0,False,0.93,83.7
2017-05-02,72,93.0,,0.93,66.96000000000001
2017-05-03,85,93.0,,0.93,79.05
2017-05-04,100,93.0,,0.93,93.0
2017-05-05,90,93.0,,0.93,83.7
2017-05-06,58,93.0,,0.93,53.940000000000005
2017-05-07,66,93.0,,0.93,61.38
2017-05-08,86,93.0,,0.93,79.98
2017-05-09,76,93.0,,0.93,70.68
2017-05-10,87,93.0,,0.93,80.91000000000001
2017-05-11,68,93.0,,0.93,63.24
2017-05-12,70,93.0,,0.93,65.10000000000001
2017-05-13,86,93.0,,0.93,79.98
2017-05-14,81,93.0,,0.93,75.33
2017-05-15,86,93.0,,0.93,79.98
2017-05-16,87,93.0,,0.93,80.91000000000001
2017-05-17,75,93.0,,0.93,69.75
2017-05-18,89,93.0,,0.93,82.77000000000001
2017-05-19,95,93.0,,0.93,88.35000000000001
2017-05-20,75,93.0,,0.93,69.75
2017-05-21,76,93.0,,0.93,70.68
2017-05-22,62,93.0,,0.93,57.660000000000004
2017-05-23,97,93.0,,0.93,90.21000000000001
2017-05-24,80,93.0,,0.93,74.4
2017-05-25,79,93.0,,0.93,73.47
2017-05-26,78,93.0,,0.93,72.54
2017-05-27,78,93.0,,0.93,72.54
2017-05-28,58,93.0,,0.93,53.940000000000005
2017-05-29,69,93.0,,0.93,64.17
2017-05-30,94,93.0,,0.93,87.42
2017-05-31,75,93.0,,0.93,69.75
2017-06-01,89,92.0,False,0.92,81.88000000000001
2017-06-02,87,92.0,,0.92,80.04
2017-06-03,74,92.0,,0.92,68.08
2017-06-04,81,92.0,,0.92,74.52000000000001
2017-06-05,80,92.0,,0.92,73.60000000000001
2017-06-06,74,92.0,,0.92,68.08
2017-06-07,93,92.0,,0.92,85.56
2017-06-08,80,92.0,,0.92,73.60000000000001
2017-06-09,81,92.0,,0.92,74.52000000000001
2017-06-10,92,92.0,,0.92,84.64
2017-06-11,70,92.0,,0.92,64.4
2017-06-12,91,92.0,,0.92,83.72
2017-06-13,79,92.0,,0.92,72.68
2017-06-14,99,92.0,,0.92,91.08
2017-06-15,90,92.0,,0.92,82.8
2017-06-16,83,92.0,,0.92,76.36
2017-06-17,92,92.0,,0.92,84.64
2017-06-18,79,92.0,,0.92,72.68
2017-06-19,96,92.0,,0.92,88.32000000000001
2017-06-20,87,92.0,,0.92,80.04
2017-06-21,84,92.0,,0.92,77.28
2017-06-22,100,92.0,,0.92,92.0
2017-06-23,89,92.0,,0.92,81.88000000000001
2017-06-24,76,92.0,,0.92,69.92
2017-06-25,88,92.0,,0.92,80.96000000000001
2017-06-26,95,92.0,,0.92,87.4
2017-06-27,97,92.0,,0.92,89.24000000000001
2017-06-28,86,92.0,,0.92,79.12
2017-06-29,91,92.0,,0.92,83.72
2017-06-30,86,92.0,,0.92,79.12
2017-07-01,75,90.0,False,0.9,67.5
2017-07-02,87,90.0,,0.9,78.3
2017-07-03,80,90.0,,0.9,72.0
2017-07-04,74,90.0,,0.9,66.60000000000001
2017-07-05,80,90.0,,0.9,72.0
2017-07-06,86,90.0,,0.9,77.4
2017-07-07,78,90.0,,0.9,70.2
2017-07-08,76,90.0,,0.9,68.4
2017-07-09,72,90.0,,0.9,64.8
2017-07-10,76,90.0,,0.9,68.4
2017-07-11,100,90.0,,0.9,90.0
2017-07-12,86,90.0,,0.9,77.4
2017-07-13,69,90.0,,0.9,62.1
2017-07-14,77,90.0,,0.9,69.3
2017-07-15,75,90.0,,0.9,67.5
2017-07-16,63,90.0,,0.9,56.7
2017-07-17,95,90.0,,0.9,85.5
2017-07-18,85,90.0,,0.9,76.5
2017-07-19,86,90.0,,0.9,77.4
2017-07-20,77,90.0,,0.9,69.3
2017-07-21,94,90.0,,0.9,84.60000000000001
2017-07-22,75,90.0,,0.9,67.5
2017-07-23,78,90.0,,0.9,70.2
2017-07-24,98,90.0,,0.9,88.2
2017-07-25,78,90.0,,0.9,70.2
2017-07-26,89,90.0,,0.9,80.10000000000001
2017-07-27,81,90.0,,0.9,72.9
2017-07-28,71,90.0,,0.9,63.9
2017-07-29,71,90.0,,0.9,63.9
2017-07-30,61,90.0,,0.9,54.9
2017-07-31,77,90.0,,0.9,69.3
2017-08-01,90,90.0,False,0.9,81.0
2017-08-02,86,90.0,,0.9,77.4
2017-08-03,97,90.0,,0.9,87.3
2017-08-04,90,90.0,,0.9,81.0
2017-08-05,95,90.0,,0.9,85.5
2017-08-06,74,90.0,,0.9,66.60000000000001
2017-08-07,94,90.0,,0.9,84.60000000000001
2017-08-08,83,90.0,,0.9,74.7
2017-08-09,90,90.0,,0.9,81.0
2017-08-10,99,90.0,,0.9,89.10000000000001
2017-08-11,100,90.0,,0.9,90.0
2017-08-12,80,90.0,,0.9,72.0
2017-08-13,88,90.0,,0.9,79.2
2017-08-14,98,90.0,,0.9,88.2
2017-08-15,95,90.0,,0.9,85.5
2017-08-16,100,90.0,,0.9,90.0
2017-08-17,76,90.0,,0.9,68.4
2017-08-18,94,90.0,,0.9,84.60000000000001
2017-08-19,79,90.0,,0.9,71.10000000000001
2017-08-20,91,90.0,,0.9,81.9
2017-08-21,88,90.0,,0.9,79.2
2017-08-22,93,90.0,,0.9,83.7
2017-08-23,92,90.0,,0.9,82.8
2017-08-24,89,90.0,,0.9,80.10000000000001
2017-08-25,92,90.0,,0.9,82.8
2017-08-26,79,90.0,,0.9,71.10000000000001
2017-08-27,71,90.0,,0.9,63.9
2017-08-28,82,90.0,,0.9,73.8
2017-08-29,80,90.0,,0.9,72.0
2017-08-30,74,90.0,,0.9,66.60000000000001
2017-08-31,80,90.0,,0.9,72.0
2017-09-01,74,84.0,False,0.84,62.16
2017-09-02,75,84.0,,0.84,63.0
2017-09-03,94,84.0,,0.84,78.96
2017-09-04,65,84.0,,0.84,54.6
2017-09-05,100,84.0,,0.84,84.0
2017-09-06,77,84.0,,0.84,64.67999999999999
2017-09-07,95,84.0,,0.84,79.8
2017-09-08,83,84.0,,0.84,69.72
2017-09-09,86,84.0,,0.84,72.24
2017-09-10,80,84.0,,0.84,67.2
2017-09-11,87,84.0,,0.84,73.08
2017-09-12,79,84.0,,0.84,66.36
2017-09-13,98,84.0,,0.84,82.32
2017-09-14,75,84.0,,0.84,63.0
2017-09-15,91,84.0,,0.84,76.44
2017-09-16,60,84.0,,0.84,50.4
2017-09-17,85,84.0,,0.84,71.39999999999999
2017-09-18,87,84.0,,0.84,73.08
2017-09-19,86,84.0,,0.84,72.24
2017-09-20,89,84.0,,0.84,74.75999999999999
2017-09-21,76,84.0,,0.84,63.839999999999996
2017-09-22,80,84.0,,0.84,67.2
2017-09-23,76,84.0,,0.84,63.839999999999996
2017-09-24,71,84.0,,0.84,59.64
2017-09-25,78,84.0,,0.84,65.52
2017-09-26,97,84.0,,0.84,81.48
2017-09-27,91,84.0,,0.84,76.44
2017-09-28,98,84.0,,0.84,82.32
2017-09-29,73,84.0,,0.84,61.32
2017-09-30,66,84.0,,0.84,55.44
2017-10-01,75,85.0,False,0.85,63.75
2017-10-02,91,85.0,,0.85,77.35
2017-10-03,76,85.0,,0.85,64.6
2017-10-04,91,85.0,,0.85,77.35
2017-10-05,88,85.0,,0.85,74.8
2017-10-06,84,85.0,,0.85,71.39999999999999
2017-10-07,77,85.0,,0.85,65.45
2017-10-08,74,85.0,,0.85,62.9
2017-10-09,73,85.0,,0.85,62.05
2017-10-10,98,85.0,,0.85,83.3
2017-10-11,93,85.0,,0.85,79.05
2017-10-12,91,85.0,,0.85,77.35
2017-10-13,83,85.0,,0.85,70.55
2017-10-14,74,85.0,,0.85,62.9
2017-10-15,70,85.0,,0.85,59.5
2017-10-16,76,85.0,,0.85,64.6
2017-10-17,100,85.0,,0.85,85.0
2017-10-18,96,85.0,,0.85,81.6
2017-10-19,86,85.0,,0.85,73.1
2017-10-20,84,85.0,,0.85,71.39999999999999
2017-10-21,87,85.0,,0.85,73.95
2017-10-22,75,85.0,,0.85,63.75
2017-10-23,83,85.0,,0.85,70.55
2017-10-24,93,85.0,,0.85,79.05
2017-10-25,82,85.0,,0.85,69.7
2017-10-26,83,85.0,,0.85,70.55
2017-10-27,84,85.0,,0.85,71.39999999999999
2017-10-28,70,85.0,,0.85,59.5
2017-10-29,76,85.0,,0.85,64.6
2017-10-30,83,85.0,,0.85,70.55
2017-10-31,74,85.0,,0.85,62.9
2017-11-01,87,82.0,False,0.82,71.33999999999999
2017-11-02,84,82.0,,0.82,68.88
2017-11-03,84,82.0,,0.82,68.88
2017-11-04,67,82.0,,0.82,54.94
2017-11-05,76,82.0,,0.82,62.31999999999999
2017-11-06,87,82.0,,0.82,71.33999999999999
2017-11-07,100,82.0,,0.82,82.0
2017-11-08,82,82.0,,0.82,67.24
2017-11-09,83,82.0,,0.82,68.06
2017-11-10,93,82.0,,0.82,76.25999999999999
2017-11-11,64,82.0,,0.82,52.48
2017-11-12,83,82.0,,0.82,68.06
2017-11-13,87,82.0,,0.82,71.33999999999999
2017-11-14,96,82.0,,0.82,78.72
2017-11-15,85,82.0,,0.82,69.7
2017-11-16,97,82.0,,0.82,79.53999999999999
2017-11-17,80,82.0,,0.82,65.6
2017-11-18,74,82.0,,0.82,60.68
2017-11-19,62,82.0,,0.82,50.839999999999996
2017-11-20,83,82.0,,0.82,68.06
2017-11-21,80,82.0,,0.82,65.6
2017-11-22,80,82.0,,0.82,65.6
2017-11-23,59,82.0,,0.82,48.379999999999995
2017-11-24,62,82.0,,0.82,50.839999999999996
2017-11-25,86,82.0,,0.82,70.52
2017-11-26,71,82.0,,0.82,58.22
2017-11-27,75,82.0,,0.82,61.49999999999999
2017-11-28,89,82.0,,0.82,72.97999999999999
2017-11-29,83,82.0,,0.82,68.06
2017-11-30,72,82.0,,0.82,59.04
2017-12-01,80,81.0,False,0.81,64.80000000000001
2017-12-02,72,81.0,,0.81,58.32000000000001
2017-12-03,63,81.0,,0.81,51.03
2017-12-04,82,81.0,,0.81,66.42
2017-12-05,80,81.0,,0.81,64.80000000000001
2017-12-06,70,81.0,,0.81,56.7
2017-12-07,77,81.0,,0.81,62.370000000000005
2017-12-08,82,81.0,,0.81,66.42
2017-12-09,77,81.0,,0.81,62.370000000000005
2017-12-10,58,81.0,,0.81,46.980000000000004
2017-12-11,70,81.0,,0.81,56.7
2017-12-12,65,81.0,,0.81,52.650000000000006
2017-12-13,83,81.0,,0.81,67.23
2017-12-14,80,81.0,,0.81,64.80000000000001
2017-12-15,75,81.0,,0.81,60.75000000000001
2017-12-16,76,81.0,,0.81,61.56
2017-12-17,84,81.0,,0.81,68.04
2017-12-18,89,81.0,,0.81,72.09
2017-12-19,71,81.0,,0.81,57.510000000000005
2017-12-20,86,81.0,,0.81,69.66000000000001
2017-12-21,82,81.0,,0.81,66.42
2017-12-22,78,81.0,,0.81,63.18000000000001
2017-12-23,62,81.0,,0.81,50.220000000000006
2017-12-24,57,81.0,,0.81,46.17
2017-12-25,57,81.0,,0.81,46.17
2017-12-26,70,81.0,,0.81,56.7
2017-12-27,100,81.0,,0.81,81.0
2017-12-28,86,81.0,,0.81,69.66000000000001
2017-12-29,93,81.0,,0.81,75.33
2017-12-30,73,81.0,,0.81,59.13
2017-12-31,65,81.0,,0.81,52.650000000000006
