date,MAGA_unscaled,MAGA_monthly,isPartial,scale,MAGA
2016-10-14,41,18.0,,0.18,7.38
2016-10-15,51,18.0,,0.18,9.18
2016-10-16,49,18.0,,0.18,8.82
2016-10-17,48,18.0,,0.18,8.64
2016-10-18,53,18.0,,0.18,9.54
2016-10-19,55,18.0,,0.18,9.9
2016-10-20,50,18.0,,0.18,9.0
2016-10-21,40,18.0,,0.18,7.199999999999999
2016-10-22,56,18.0,,0.18,10.08
2016-10-23,45,18.0,,0.18,8.1
2016-10-24,45,18.0,,0.18,8.1
2016-10-25,49,18.0,,0.18,8.82
2016-10-26,52,18.0,,0.18,9.36
2016-10-27,50,18.0,,0.18,9.0
2016-10-28,48,18.0,,0.18,8.64
2016-10-29,49,18.0,,0.18,8.82
2016-10-30,51,18.0,,0.18,9.18
2016-10-31,58,18.0,,0.18,10.44
2016-11-01,20,29.0,False,0.29,5.8
2016-11-02,16,29.0,,0.29,4.64
2016-11-03,16,29.0,,0.29,4.64
2016-11-04,18,29.0,,0.29,5.22
2016-11-05,19,29.0,,0.29,5.51
2016-11-06,17,29.0,,0.29,4.93
2016-11-07,18,29.0,,0.29,5.22
2016-11-08,44,29.0,,0.29,12.76
2016-11-09,100,29.0,,0.29,28.999999999999996
2016-11-10,73,29.0,,0.29,21.169999999999998
2016-11-11,51,29.0,,0.29,14.79
2016-11-12,44,29.0,,0.29,12.76
2016-11-13,32,29.0,,0.29,9.28
2016-11-14,30,29.0,,0.29,8.7
2016-11-15,23,29.0,,0.29,6.67
2016-11-16,22,29.0,,0.29,6.38
2016-11-17,20,29.0,,0.29,5.8
2016-11-18,25,29.0,,0.29,7.249999999999999
2016-11-19,16,29.0,,0.29,4.64
2016-11-20,19,29.0,,0.29,5.51
2016-11-21,18,29.0,,0.29,5.22
2016-11-22,17,29.0,,0.29,4.93
2016-11-23,23,29.0,,0.29,6.67
2016-11-24,19,29.0,,0.29,5.51
2016-11-25,16,29.0,,0.29,4.64
2016-11-26,20,29.0,,0.29,5.8
2016-11-27,16,29.0,,0.29,4.64
2016-11-28,15,29.0,,0.29,4.35
2016-11-29,15,29.0,,0.29,4.35
2016-11-30,17,29.0,,0.29,4.93
2016-12-01,76,17.0,False,0.17,12.920000000000002
2016-12-02,75,17.0,,0.17,12.750000000000002
2016-12-03,63,17.0,,0.17,10.71
2016-12-04,88,17.0,,0.17,14.96
2016-12-05,74,17.0,,0.17,12.58
2016-12-06,67,17.0,,0.17,11.39
2016-12-07,58,17.0,,0.17,9.860000000000001
2016-12-08,86,17.0,,0.17,14.620000000000001
2016-12-09,68,17.0,,0.17,11.56
2016-12-10,76,17.0,,0.17,12.920000000000002
2016-12-11,85,17.0,,0.17,14.450000000000001
2016-12-12,91,17.0,,0.17,15.47
2016-12-13,73,17.0,,0.17,12.41
2016-12-14,63,17.0,,0.17,10.71
2016-12-15,82,17.0,,0.17,13.940000000000001
2016-12-16,71,17.0,,0.17,12.07
2016-12-17,79,17.0,,0.17,13.430000000000001
2016-12-18,79,17.0,,0.17,13.430000000000001
2016-12-19,89,17.0,,0.17,15.13
2016-12-20,100,17.0,,0.17,17.0
2016-12-21,74,17.0,,0.17,12.58
2016-12-22,84,17.0,,0.17,14.280000000000001
2016-12-23,78,17.0,,0.17,13.260000000000002
2016-12-24,89,17.0,,0.17,15.13
2016-12-25,70,17.0,,0.17,11.9
2016-12-26,59,17.0,,0.17,10.030000000000001
2016-12-27,83,17.0,,0.17,14.110000000000001
2016-12-28,67,17.0,,0.17,11.39
2016-12-29,70,17.0,,0.17,11.9
2016-12-30,83,17.0,,0.17,14.110000000000001
2016-12-31,76,17.0,,0.17,12.920000000000002
2017-01-01,18,29.0,False,0.29,5.22
2017-01-02,20,29.0,,0.29,5.8
2017-01-03,20,29.0,,0.29,5.8
2017-01-04,17,29.0,,0.29,4.93
2017-01-05,17,29.0,,0.29,4.93
2017-01-06,15,29.0,,0.29,4.35
2017-01-07,17,29.0,,0.29,4.93
2017-01-08,19,29.0,,0.29,5.51
2017-01-09,22,29.0,,0.29,6.38
2017-01-10,29,29.0,,0.29,8.41
2017-01-11,21,29.0,,0.29,6.09
2017-01-12,21,29.0,,0.29,6.09
2017-01-13,20,29.0,,0.29,5.8
2017-01-14,21,29.0,,0.29,6.09
2017-01-15,20,29.0,,0.29,5.8
2017-01-16,24,29.0,,0.29,6.959999999999999
2017-01-17,25,29.0,,0.29,7.249999999999999
2017-01-18,35,29.0,,0.29,10.149999999999999
2017-01-19,30,29.0,,0.29,8.7
2017-01-20,100,29.0,,0.29,28.999999999999996
2017-01-21,76,29.0,,0.29,22.04
2017-01-22,45,29.0,,0.29,13.049999999999999
2017-01-23,29,29.0,,0.29,8.41
2017-01-24,26,29.0,,0.29,7.539999999999999
2017-01-25,26,29.0,,0.29,7.539999999999999
2017-01-26,30,29.0,,0.29,8.7
2017-01-27,25,29.0,,0.29,7.249999999999999
2017-01-28,25,29.0,,0.29,7.249999999999999
2017-01-29,30,29.0,,0.29,8.7
2017-01-30,27,29.0,,0.29,7.829999999999999
2017-01-31,24,29.0,,0.29,6.959999999999999
2017-02-01,66,22.0,False,0.22,14.52
2017-02-02,61,22.0,,0.22,13.42
2017-02-03,65,22.0,,0.22,14.3
2017-02-04,58,22.0,,0.22,12.76
2017-02-05,71,22.0,,0.22,15.62
2017-02-06,82,22.0,,0.22,18.04
2017-02-07,66,22.0,,0.22,14.52
2017-02-08,63,22.0,,0.22,13.86
2017-02-09,59,22.0,,0.22,12.98
2017-02-10,62,22.0,,0.22,13.64
2017-02-11,68,22.0,,0.22,14.96
2017-02-12,58,22.0,,0.22,12.76
2017-02-13,83,22.0,,0.22,18.26
2017-02-14,100,22.0,,0.22,22.0
2017-02-15,61,22.0,,0.22,13.42
2017-02-16,67,22.0,,0.22,14.74
2017-02-17,54,22.0,,0.22,11.88
2017-02-18,57,22.0,,0.22,12.540000000000001
2017-02-19,67,22.0,,0.22,14.74
2017-02-20,61,22.0,,0.22,13.42
2017-02-21,57,22.0,,0.22,12.540000000000001
2017-02-22,46,22.0,,0.22,10.12
2017-02-23,48,22.0,,0.22,10.56
2017-02-24,47,22.0,,0.22,10.34
2017-02-25,50,22.0,,0.22,11.0
2017-02-26,53,22.0,,0.22,11.66
2017-02-27,51,22.0,,0.22,11.22
2017-02-28,50,22.0,,0.22,11.0
2017-03-01,70,20.0,False,0.2,14.0
2017-03-02,54,20.0,,0.2,10.8
2017-03-03,58,20.0,,0.2,11.600000000000001
2017-03-04,53,20.0,,0.2,10.600000000000001
2017-03-05,49,20.0,,0.2,9.8
2017-03-06,48,20.0,,0.2,9.600000000000001
2017-03-07,48,20.0,,0.2,9.600000000000001
2017-03-08,53,20.0,,0.2,10.600000000000001
2017-03-09,48,20.0,,0.2,9.600000000000001
2017-03-10,50,20.0,,0.2,10.0
2017-03-11,68,20.0,,0.2,13.600000000000001
2017-03-12,47,20.0,,0.2,9.4
2017-03-13,53,20.0,,0.2,10.600000000000001
2017-03-14,56,20.0,,0.2,11.200000000000001
2017-03-15,60,20.0,,0.2,12.0
2017-03-16,56,20.0,,0.2,11.200000000000001
2017-03-17,63,20.0,,0.2,12.600000000000001
2017-03-18,55,20.0,,0.2,11.0
2017-03-19,66,20.0,,0.2,13.200000000000001
2017-03-20,61,20.0,,0.2,12.200000000000001
2017-03-21,57,20.0,,0.2,11.4
2017-03-22,63,20.0,,0.2,12.600000000000001
2017-03-23,57,20.0,,0.2,11.4
2017-03-24,61,20.0,,0.2,12.200000000000001
2017-03-25,100,20.0,,0.2,20.0
2017-03-26,85,20.0,,0.2,17.0
2017-03-27,59,20.0,,0.2,11.8
2017-03-28,63,20.0,,0.2,12.600000000000001
2017-03-29,85,20.0,,0.2,17.0
2017-03-30,51,20.0,,0.2,10.200000000000001
2017-03-31,48,20.0,,0.2,9.600000000000001
2017-04-01,79,17.0,False,0.17,13.430000000000001
2017-04-02,89,17.0,,0.17,15.13
2017-04-03,82,17.0,,0.17,13.940000000000001
2017-04-04,77,17.0,,0.17,13.090000000000002
2017-04-05,70,17.0,,0.17,11.9
2017-04-06,84,17.0,,0.17,14.280000000000001
2017-04-07,79,17.0,,0.17,13.430000000000001
2017-04-08,78,17.0,,0.17,13.260000000000002
2017-04-09,84,17.0,,0.17,14.280000000000001
2017-04-10,79,17.0,,0.17,13.430000000000001
2017-04-11,62,17.0,,0.17,10.540000000000001
2017-04-12,68,17.0,,0.17,11.56
2017-04-13,69,17.0,,0.17,11.73
2017-04-14,71,17.0,,0.17,12.07
2017-04-15,73,17.0,,0.17,12.41
2017-04-16,84,17.0,,0.17,14.280000000000001
2017-04-17,75,17.0,,0.17,12.750000000000002
2017-04-18,100,17.0,,0.17,17.0
2017-04-19,89,17.0,,0.17,15.13
2017-04-20,68,17.0,,0.17,11.56
2017-04-21,64,17.0,,0.17,10.88
2017-04-22,71,17.0,,0.17,12.07
2017-04-23,64,17.0,,0.17,10.88
2017-04-24,73,17.0,,0.17,12.41
2017-04-25,78,17.0,,0.17,13.260000000000002
2017-04-26,77,17.0,,0.17,13.090000000000002
2017-04-27,70,17.0,,0.17,11.9
2017-04-28,73,17.0,,0.17,12.41
2017-04-29,67,17.0,,0.17,11.39
2017-04-30,75,17.0,,0.17,12.750000000000002
2017-05-01,87,18.0,False,0.18,15.66
2017-05-02,81,18.0,,0.18,14.58
2017-05-03,81,18.0,,0.18,14.58
2017-05-04,93,18.0,,0.18,16.74
2017-05-05,80,18.0,,0.18,14.399999999999999
2017-05-06,95,18.0,,0.18,17.099999999999998
2017-05-07,74,18.0,,0.18,13.32
2017-05-08,86,18.0,,0.18,15.479999999999999
2017-05-09,78,18.0,,0.18,14.04
2017-05-10,89,18.0,,0.18,16.02
2017-05-11,93,18.0,,0.18,16.74
2017-05-12,74,18.0,,0.18,13.32
2017-05-13,100,18.0,,0.18,18.0
2017-05-14,95,18.0,,0.18,17.099999999999998
2017-05-15,83,18.0,,0.18,14.94
2017-05-16,83,18.0,,0.18,14.94
2017-05-17,91,18.0,,0.18,16.38
2017-05-18,84,18.0,,0.18,15.12
2017-05-19,71,18.0,,0.18,12.78
2017-05-20,86,18.0,,0.18,15.479999999999999
2017-05-21,69,18.0,,0.18,12.42
2017-05-22,84,18.0,,0.18,15.12
2017-05-23,75,18.0,,0.18,13.5
2017-05-24,88,18.0,,0.18,15.84
2017-05-25,88,18.0,,0.18,15.84
2017-05-26,90,18.0,,0.18,16.2
2017-05-27,88,18.0,,0.18,15.84
2017-05-28,68,18.0,,0.18,12.24
2017-05-29,100,18.0,,0.18,18.0
2017-05-30,80,18.0,,0.18,14.399999999999999
2017-05-31,92,18.0,,0.18,16.56
2017-06-01,54,19.0,False,0.19,10.26
2017-06-02,68,19.0,,0.19,12.92
2017-06-03,58,19.0,,0.19,11.02
2017-06-04,58,19.0,,0.19,11.02
2017-06-05,70,19.0,,0.19,13.3
2017-06-06,69,19.0,,0.19,13.11
2017-06-07,59,19.0,,0.19,11.21
2017-06-08,53,19.0,,0.19,10.07
2017-06-09,67,19.0,,0.19,12.73
2017-06-10,52,19.0,,0.19,9.88
2017-06-11,62,19.0,,0.19,11.78
2017-06-12,50,19.0,,0.19,9.5
2017-06-13,57,19.0,,0.19,10.83
2017-06-14,67,19.0,,0.19,12.73
2017-06-15,92,19.0,,0.19,17.48
2017-06-16,100,19.0,,0.19,19.0
2017-06-17,68,19.0,,0.19,12.92
2017-06-18,56,19.0,,0.19,10.64
2017-06-19,68,19.0,,0.19,12.92
2017-06-20,63,19.0,,0.19,11.97
2017-06-21,71,19.0,,0.19,13.49
2017-06-22,52,19.0,,0.19,9.88
2017-06-23,64,19.0,,0.19,12.16
2017-06-24,53,19.0,,0.19,10.07
2017-06-25,65,19.0,,0.19,12.35
2017-06-26,65,19.0,,0.19,12.35
2017-06-27,79,19.0,,0.19,15.01
2017-06-28,62,19.0,,0.19,11.78
2017-06-29,65,19.0,,0.19,12.35
2017-06-30,63,19.0,,0.19,11.97
2017-07-01,77,20.0,False,0.2,15.4
2017-07-02,65,20.0,,0.2,13.0
2017-07-03,70,20.0,,0.2,14.0
2017-07-04,70,20.0,,0.2,14.0
2017-07-05,80,20.0,,0.2,16.0
2017-07-06,90,20.0,,0.2,18.0
2017-07-07,76,20.0,,0.2,15.200000000000001
2017-07-08,65,20.0,,0.2,13.0
2017-07-09,79,20.0,,0.2,15.8
2017-07-10,68,20.0,,0.2,13.600000000000001
2017-07-11,78,20.0,,0.2,15.600000000000001
2017-07-12,91,20.0,,0.2,18.2
2017-07-13,79,20.0,,0.2,15.8
2017-07-14,74,20.0,,0.2,14.8
2017-07-15,67,20.0,,0.2,13.4
2017-07-16,100,20.0,,0.2,20.0
2017-07-17,89,20.0,,0.2,17.8
2017-07-18,92,20.0,,0.2,18.400000000000002
2017-07-19,86,20.0,,0.2,17.2
2017-07-20,63,20.0,,0.2,12.600000000000001
2017-07-21,70,20.0,,0.2,14.0
2017-07-22,65,20.0,,0.2,13.0
2017-07-23,66,20.0,,0.2,13.200000000000001
2017-07-24,80,20.0,,0.2,16.0
2017-07-25,70,20.0,,0.2,14.0
2017-07-26,80,20.0,,0.2,16.0
2017-07-27,91,20.0,,0.2,18.2
2017-07-28,92,20.0,,0.2,18.400000000000002
2017-07-29,81,20.0,,0.2,16.2
2017-07-30,85,20.0,,0.2,17.0
2017-07-31,70,20.0,,0.2,14.0
2017-08-01,32,23.0,False,0.23,7.36
2017-08-02,34,23.0,,0.23,7.82
2017-08-03,39,23.0,,0.23,8.97
2017-08-04,39,23.0,,0.23,8.97
2017-08-05,36,23.0,,0.23,8.280000000000001
2017-08-06,37,23.0,,0.23,8.51
2017-08-07,35,23.0,,0.23,8.05
2017-08-08,33,23.0,,0.23,7.590000000000001
2017-08-09,37,23.0,,0.23,8.51
2017-08-10,32,23.0,,0.23,7.36
2017-08-11,31,23.0,,0.23,7.13
2017-08-12,43,23.0,,0.23,9.89
2017-08-13,44,23.0,,0.23,10.120000000000001
2017-08-14,39,23.0,,0.23,8.97
2017-08-15,36,23.0,,0.23,8.280000000000001
2017-08-16,53,23.0,,0.23,12.190000000000001
2017-08-17,37,23.0,,0.23,8.51
2017-08-18,44,23.0,,0.23,10.120000000000001
2017-08-19,33,23.0,,0.23,7.590000000000001
2017-08-20,39,23.0,,0.23,8.97
2017-08-21,34,23.0,,0.23,7.82
2017-08-22,44,23.0,,0.23,10.120000000000001
2017-08-23,49,23.0,,0.23,11.270000000000001
2017-08-24,33,23.0,,0.23,7.590000000000001
2017-08-25,30,23.0,,0.23,6.9
2017-08-26,100,23.0,,0.23,23.0
2017-08-27,47,23.0,,0.23,10.81
2017-08-28,33,23.0,,0.23,7.590000000000001
2017-08-29,32,23.0,,0.23,7.36
2017-08-30,67,23.0,,0.23,15.41
2017-08-31,74,23.0,,0.23,17.02
2017-09-01,68,20.0,False,0.2,13.600000000000001
2017-09-02,72,20.0,,0.2,14.4
2017-09-03,67,20.0,,0.2,13.4
2017-09-04,78,20.0,,0.2,15.600000000000001
2017-09-05,91,20.0,,0.2,18.2
2017-09-06,78,20.0,,0.2,15.600000000000001
2017-09-07,68,20.0,,0.2,13.600000000000001
2017-09-08,55,20.0,,0.2,11.0
2017-09-09,43,20.0,,0.2,8.6
2017-09-10,60,20.0,,0.2,12.0
2017-09-11,54,20.0,,0.2,10.8
2017-09-12,50,20.0,,0.2,10.0
2017-09-13,59,20.0,,0.2,11.8
2017-09-14,45,20.0,,0.2,9.0
2017-09-15,63,20.0,,0.2,12.600000000000001
2017-09-16,75,20.0,,0.2,15.0
2017-09-17,84,20.0,,0.2,16.8
2017-09-18,69,20.0,,0.2,13.8
2017-09-19,74,20.0,,0.2,14.8
2017-09-20,77,20.0,,0.2,15.4
2017-09-21,56,20.0,,0.2,11.200000000000001
2017-09-22,50,20.0,,0.2,10.0
2017-09-23,75,20.0,,0.2,15.0
2017-09-24,63,20.0,,0.2,12.600000000000001
2017-09-25,73,20.0,,0.2,14.600000000000001
2017-09-26,82,20.0,,0.2,16.400000000000002
2017-09-27,64,20.0,,0.2,12.8
2017-09-28,76,20.0,,0.2,15.200000000000001
2017-09-29,82,20.0,,0.2,16.400000000000002
2017-09-30,100,20.0,,0.2,20.0
2017-10-01,92,18.0,False,0.18,16.56
2017-10-02,81,18.0,,0.18,14.58
2017-10-03,55,18.0,,0.18,9.9
2017-10-04,62,18.0,,0.18,11.16
2017-10-05,64,18.0,,0.18,11.52
2017-10-06,79,18.0,,0.18,14.219999999999999
2017-10-07,85,18.0,,0.18,15.299999999999999
2017-10-08,72,18.0,,0.18,12.959999999999999
2017-10-09,65,18.0,,0.18,11.7
2017-10-10,70,18.0,,0.18,12.6
2017-10-11,87,18.0,,0.18,15.66
2017-10-12,90,18.0,,0.18,16.2
2017-10-13,72,18.0,,0.18,12.959999999999999
2017-10-14,73,18.0,,0.18,13.139999999999999
2017-10-15,71,18.0,,0.18,12.78
2017-10-16,77,18.0,,0.18,13.86
2017-10-17,57,18.0,,0.18,10.26
2017-10-18,62,18.0,,0.18,11.16
2017-10-19,69,18.0,,0.18,12.42
2017-10-20,69,18.0,,0.18,12.42
2017-10-21,62,18.0,,0.18,11.16
2017-10-22,60,18.0,,0.18,10.799999999999999
2017-10-23,64,18.0,,0.18,11.52
2017-10-24,79,18.0,,0.18,14.219999999999999
2017-10-25,100,18.0,,0.18,18.0
2017-10-26,60,18.0,,0.18,10.799999999999999
2017-10-27,60,18.0,,0.18,10.799999999999999
2017-10-28,79,18.0,,0.18,14.219999999999999
2017-10-29,66,18.0,,0.18,11.879999999999999
2017-10-30,88,18.0,,0.18,15.84
2017-10-31,89,18.0,,0.18,16.02
2017-11-01,70,18.0,False,0.18,12.6
2017-11-02,72,18.0,,0.18,12.959999999999999
2017-11-03,60,18.0,,0.18,10.799999999999999
2017-11-04,69,18.0,,0.18,12.42
2017-11-05,66,18.0,,0.18,11.879999999999999
2017-11-06,79,18.0,,0.18,14.219999999999999
2017-11-07,75,18.0,,0.18,13.5
2017-11-08,75,18.0,,0.18,13.5
2017-11-09,80,18.0,,0.18,14.399999999999999
2017-11-10,95,18.0,,0.18,17.099999999999998
2017-11-11,87,18.0,,0.18,15.66
2017-11-12,70,18.0,,0.18,12.6
2017-11-13,90,18.0,,0.18,16.2
2017-11-14,85,18.0,,0.18,15.299999999999999
2017-11-15,85,18.0,,0.18,15.299999999999999
2017-11-16,76,18.0,,0.18,13.68
2017-11-17,71,18.0,,0.18,12.78
2017-11-18,69,18.0,,0.18,12.42
2017-11-19,65,18.0,,0.18,11.7
2017-11-20,55,18.0,,0.18,9.9
2017-11-21,68,18.0,,0.18,12.24
2017-11-22,54,18.0,,0.18,9.719999999999999
2017-11-23,63,18.0,,0.18,11.34
2017-11-24,64,18.0,,0.18,11.52
2017-11-25,64,18.0,,0.18,11.52
2017-11-26,100,18.0,,0.18,18.0
2017-11-27,77,18.0,,0.18,13.86
2017-11-28,77,18.0,,0.18,13.86
2017-11-29,55,18.0,,0.18,9.9
2017-11-30,75,18.0,,0.18,13.5
2017-12-01,49,18.0,False,0.18,8.82
2017-12-02,69,18.0,,0.18,12.42
2017-12-03,49,18.0,,0.18,8.82
2017-12-04,52,18.0,,0.18,9.36
2017-12-05,58,18.0,,0.18,10.44
2017-12-06,77,18.0,,0.18,13.86
2017-12-07,68,18.0,,0.18,12.24
2017-12-08,65,18.0,,0.18,11.7
2017-12-09,100,18.0,,0.18,18.0
2017-12-10,84,18.0,,0.18,15.12
2017-12-11,62,18.0,,0.18,11.16
2017-12-12,63,18.0,,0.18,11.34
2017-12-13,77,18.0,,0.18,13.86
2017-12-14,58,18.0,,0.18,10.44
2017-12-15,61,18.0,,0.18,10.98
2017-12-16,65,18.0,,0.18,11.7
2017-12-17,49,18.0,,0.18,8.82
2017-12-18,57,18.0,,0.18,10.26
2017-12-19,60,18.0,,0.18,10.799999999999999
2017-12-20,60,18.0,,0.18,10.799999999999999
2017-12-21,69,18.0,,0.18,12.42
2017-12-22,51,18.0,,0.18,9.18
2017-12-23,65,18.0,,0.18,11.7
