date,PFE_unscaled,PFE_monthly,isPartial,scale,PFE
2016-07-04,3,8.0,,0.08,0.24
2016-07-05,94,8.0,,0.08,7.5200000000000005
2016-07-06,71,8.0,,0.08,5.68
2016-07-07,59,8.0,,0.08,4.72
2016-07-08,100,8.0,,0.08,8.0
2016-07-09,49,8.0,,0.08,3.92
2016-07-10,26,8.0,,0.08,2.08
2016-07-11,82,8.0,,0.08,6.5600000000000005
2016-07-12,88,8.0,,0.08,7.04
2016-07-13,78,8.0,,0.08,6.24
2016-07-14,96,8.0,,0.08,7.68
2016-07-15,61,8.0,,0.08,4.88
2016-07-16,26,8.0,,0.08,2.08
2016-07-17,30,8.0,,0.08,2.4
2016-07-18,68,8.0,,0.08,5.44
2016-07-19,53,8.0,,0.08,4.24
2016-07-20,83,8.0,,0.08,6.640000000000001
2016-07-21,63,8.0,,0.08,5.04
2016-07-22,70,8.0,,0.08,5.6000000000000005
2016-07-23,26,8.0,,0.08,2.08
2016-07-24,23,8.0,,0.08,1.84
2016-07-25,42,8.0,,0.08,3.36
2016-07-26,78,8.0,,0.08,6.24
2016-07-27,45,8.0,,0.08,3.6
2016-07-28,89,8.0,,0.08,7.12
2016-07-29,63,8.0,,0.08,5.04
2016-07-30,26,8.0,,0.08,2.08
2016-07-31,23,8.0,,0.08,1.84
2016-08-01,55,9.0,False,0.09,4.95
2016-08-02,100,9.0,,0.09,9.0
2016-08-03,46,9.0,,0.09,4.14
2016-08-04,42,9.0,,0.09,3.78
2016-08-05,58,9.0,,0.09,5.22
2016-08-06,17,9.0,,0.09,1.53
2016-08-07,11,9.0,,0.09,0.99
2016-08-08,57,9.0,,0.09,5.13
2016-08-09,41,9.0,,0.09,3.69
2016-08-10,33,9.0,,0.09,2.9699999999999998
2016-08-11,36,9.0,,0.09,3.2399999999999998
2016-08-12,34,9.0,,0.09,3.06
2016-08-13,5,9.0,,0.09,0.44999999999999996
2016-08-14,11,9.0,,0.09,0.99
2016-08-15,36,9.0,,0.09,3.2399999999999998
2016-08-16,42,9.0,,0.09,3.78
2016-08-17,21,9.0,,0.09,1.89
2016-08-18,28,9.0,,0.09,2.52
2016-08-19,23,9.0,,0.09,2.07
2016-08-20,10,9.0,,0.09,0.8999999999999999
2016-08-21,10,9.0,,0.09,0.8999999999999999
2016-08-22,64,9.0,,0.09,5.76
2016-08-23,44,9.0,,0.09,3.96
2016-08-24,41,9.0,,0.09,3.69
2016-08-25,28,9.0,,0.09,2.52
2016-08-26,47,9.0,,0.09,4.2299999999999995
2016-08-27,21,9.0,,0.09,1.89
2016-08-28,7,9.0,,0.09,0.63
2016-08-29,39,9.0,,0.09,3.51
2016-08-30,39,9.0,,0.09,3.51
2016-08-31,32,9.0,,0.09,2.88
2016-09-01,96,6.0,False,0.06,5.76
2016-09-02,86,6.0,,0.06,5.16
2016-09-03,15,6.0,,0.06,0.8999999999999999
2016-09-04,12,6.0,,0.06,0.72
2016-09-05,22,6.0,,0.06,1.3199999999999998
2016-09-06,70,6.0,,0.06,4.2
2016-09-07,49,6.0,,0.06,2.94
2016-09-08,78,6.0,,0.06,4.68
2016-09-09,55,6.0,,0.06,3.3
2016-09-10,23,6.0,,0.06,1.38
2016-09-11,14,6.0,,0.06,0.84
2016-09-12,49,6.0,,0.06,2.94
2016-09-13,69,6.0,,0.06,4.14
2016-09-14,57,6.0,,0.06,3.42
2016-09-15,73,6.0,,0.06,4.38
2016-09-16,55,6.0,,0.06,3.3
2016-09-17,19,6.0,,0.06,1.14
2016-09-18,4,6.0,,0.06,0.24
2016-09-19,68,6.0,,0.06,4.08
2016-09-20,56,6.0,,0.06,3.36
2016-09-21,81,6.0,,0.06,4.859999999999999
2016-09-22,67,6.0,,0.06,4.02
2016-09-23,39,6.0,,0.06,2.34
2016-09-24,15,6.0,,0.06,0.8999999999999999
2016-09-25,11,6.0,,0.06,0.6599999999999999
2016-09-26,100,6.0,,0.06,6.0
2016-09-27,47,6.0,,0.06,2.82
2016-09-28,78,6.0,,0.06,4.68
2016-09-29,66,6.0,,0.06,3.96
2016-09-30,78,6.0,,0.06,4.68
2016-10-01,13,6.0,False,0.06,0.78
2016-10-02,12,6.0,,0.06,0.72
2016-10-03,89,6.0,,0.06,5.34
2016-10-04,65,6.0,,0.06,3.9
2016-10-05,72,6.0,,0.06,4.32
2016-10-06,62,6.0,,0.06,3.7199999999999998
2016-10-07,42,6.0,,0.06,2.52
2016-10-08,17,6.0,,0.06,1.02
2016-10-09,16,6.0,,0.06,0.96
2016-10-10,70,6.0,,0.06,4.2
2016-10-11,60,6.0,,0.06,3.5999999999999996
2016-10-12,56,6.0,,0.06,3.36
2016-10-13,73,6.0,,0.06,4.38
2016-10-14,87,6.0,,0.06,5.22
2016-10-15,17,6.0,,0.06,1.02
2016-10-16,20,6.0,,0.06,1.2
2016-10-17,66,6.0,,0.06,3.96
2016-10-18,100,6.0,,0.06,6.0
2016-10-19,70,6.0,,0.06,4.2
2016-10-20,73,6.0,,0.06,4.38
2016-10-21,60,6.0,,0.06,3.5999999999999996
2016-10-22,22,6.0,,0.06,1.3199999999999998
2016-10-23,17,6.0,,0.06,1.02
2016-10-24,72,6.0,,0.06,4.32
2016-10-25,85,6.0,,0.06,5.1
2016-10-26,61,6.0,,0.06,3.6599999999999997
2016-10-27,93,6.0,,0.06,5.58
2016-10-28,87,6.0,,0.06,5.22
2016-10-29,17,6.0,,0.06,1.02
2016-10-30,21,6.0,,0.06,1.26
2016-10-31,79,6.0,,0.06,4.74
2016-11-01,86,9.0,False,0.09,7.739999999999999
2016-11-02,52,9.0,,0.09,4.68
2016-11-03,44,9.0,,0.09,3.96
2016-11-04,39,9.0,,0.09,3.51
2016-11-05,15,9.0,,0.09,1.3499999999999999
2016-11-06,6,9.0,,0.09,0.54
2016-11-07,36,9.0,,0.09,3.2399999999999998
2016-11-08,53,9.0,,0.09,4.77
2016-11-09,87,9.0,,0.09,7.83
2016-11-10,100,9.0,,0.09,9.0
2016-11-11,72,9.0,,0.09,6.4799999999999995
2016-11-12,20,9.0,,0.09,1.7999999999999998
2016-11-13,10,9.0,,0.09,0.8999999999999999
2016-11-14,40,9.0,,0.09,3.5999999999999996
2016-11-15,47,9.0,,0.09,4.2299999999999995
2016-11-16,34,9.0,,0.09,3.06
2016-11-17,39,9.0,,0.09,3.51
2016-11-18,42,9.0,,0.09,3.78
2016-11-19,16,9.0,,0.09,1.44
2016-11-20,6,9.0,,0.09,0.54
2016-11-21,56,9.0,,0.09,5.04
2016-11-22,44,9.0,,0.09,3.96
2016-11-23,55,9.0,,0.09,4.95
2016-11-24,16,9.0,,0.09,1.44
2016-11-25,37,9.0,,0.09,3.33
2016-11-26,10,9.0,,0.09,0.8999999999999999
2016-11-27,12,9.0,,0.09,1.08
2016-11-28,25,9.0,,0.09,2.25
2016-11-29,52,9.0,,0.09,4.68
2016-11-30,37,9.0,,0.09,3.33
2016-12-01,63,7.0,False,0.07,4.41
2016-12-02,56,7.0,,0.07,3.9200000000000004
2016-12-03,15,7.0,,0.07,1.05
2016-12-04,11,7.0,,0.07,0.77
2016-12-05,54,7.0,,0.07,3.7800000000000002
2016-12-06,61,7.0,,0.07,4.2700000000000005
2016-12-07,94,7.0,,0.07,6.580000000000001
2016-12-08,80,7.0,,0.07,5.6000000000000005
2016-12-09,45,7.0,,0.07,3.1500000000000004
2016-12-10,38,7.0,,0.07,2.66
2016-12-11,26,7.0,,0.07,1.8200000000000003
2016-12-12,87,7.0,,0.07,6.090000000000001
2016-12-13,78,7.0,,0.07,5.460000000000001
2016-12-14,80,7.0,,0.07,5.6000000000000005
2016-12-15,64,7.0,,0.07,4.48
2016-12-16,53,7.0,,0.07,3.7100000000000004
2016-12-17,25,7.0,,0.07,1.7500000000000002
2016-12-18,31,7.0,,0.07,2.1700000000000004
2016-12-19,42,7.0,,0.07,2.9400000000000004
2016-12-20,100,7.0,,0.07,7.000000000000001
2016-12-21,94,7.0,,0.07,6.580000000000001
2016-12-22,60,7.0,,0.07,4.2
2016-12-23,61,7.0,,0.07,4.2700000000000005
2016-12-24,10,7.0,,0.07,0.7000000000000001
2016-12-25,10,7.0,,0.07,0.7000000000000001
2016-12-26,33,7.0,,0.07,2.31
2016-12-27,49,7.0,,0.07,3.43
2016-12-28,64,7.0,,0.07,4.48
2016-12-29,38,7.0,,0.07,2.66
2016-12-30,65,7.0,,0.07,4.550000000000001
2016-12-31,29,7.0,,0.07,2.0300000000000002
2017-01-01,7,8.0,False,0.08,0.56
2017-01-02,30,8.0,,0.08,2.4
2017-01-03,69,8.0,,0.08,5.5200000000000005
2017-01-04,79,8.0,,0.08,6.32
2017-01-05,72,8.0,,0.08,5.76
2017-01-06,48,8.0,,0.08,3.84
2017-01-07,14,8.0,,0.08,1.12
2017-01-08,9,8.0,,0.08,0.72
2017-01-09,52,8.0,,0.08,4.16
2017-01-10,61,8.0,,0.08,4.88
2017-01-11,93,8.0,,0.08,7.44
2017-01-12,71,8.0,,0.08,5.68
2017-01-13,48,8.0,,0.08,3.84
2017-01-14,12,8.0,,0.08,0.96
2017-01-15,13,8.0,,0.08,1.04
2017-01-16,26,8.0,,0.08,2.08
2017-01-17,38,8.0,,0.08,3.04
2017-01-18,72,8.0,,0.08,5.76
2017-01-19,36,8.0,,0.08,2.88
2017-01-20,72,8.0,,0.08,5.76
2017-01-21,11,8.0,,0.08,0.88
2017-01-22,9,8.0,,0.08,0.72
2017-01-23,57,8.0,,0.08,4.5600000000000005
2017-01-24,71,8.0,,0.08,5.68
2017-01-25,91,8.0,,0.08,7.28
2017-01-26,77,8.0,,0.08,6.16
2017-01-27,74,8.0,,0.08,5.92
2017-01-28,32,8.0,,0.08,2.56
2017-01-29,16,8.0,,0.08,1.28
2017-01-30,67,8.0,,0.08,5.36
2017-01-31,100,8.0,,0.08,8.0
2017-02-01,100,8.0,False,0.08,8.0
2017-02-02,89,8.0,,0.08,7.12
2017-02-03,56,8.0,,0.08,4.48
2017-02-04,19,8.0,,0.08,1.52
2017-02-05,13,8.0,,0.08,1.04
2017-02-06,56,8.0,,0.08,4.48
2017-02-07,65,8.0,,0.08,5.2
2017-02-08,63,8.0,,0.08,5.04
2017-02-09,91,8.0,,0.08,7.28
2017-02-10,80,8.0,,0.08,6.4
2017-02-11,20,8.0,,0.08,1.6
2017-02-12,19,8.0,,0.08,1.52
2017-02-13,59,8.0,,0.08,4.72
2017-02-14,72,8.0,,0.08,5.76
2017-02-15,97,8.0,,0.08,7.76
2017-02-16,57,8.0,,0.08,4.5600000000000005
2017-02-17,48,8.0,,0.08,3.84
2017-02-18,30,8.0,,0.08,2.4
2017-02-19,14,8.0,,0.08,1.12
2017-02-20,38,8.0,,0.08,3.04
2017-02-21,76,8.0,,0.08,6.08
2017-02-22,100,8.0,,0.08,8.0
2017-02-23,52,8.0,,0.08,4.16
2017-02-24,72,8.0,,0.08,5.76
2017-02-25,19,8.0,,0.08,1.52
2017-02-26,18,8.0,,0.08,1.44
2017-02-27,71,8.0,,0.08,5.68
2017-02-28,72,8.0,,0.08,5.76
2017-03-01,74,8.0,False,0.08,5.92
2017-03-02,100,8.0,,0.08,8.0
2017-03-03,80,8.0,,0.08,6.4
2017-03-04,19,8.0,,0.08,1.52
2017-03-05,19,8.0,,0.08,1.52
2017-03-06,64,8.0,,0.08,5.12
2017-03-07,79,8.0,,0.08,6.32
2017-03-08,69,8.0,,0.08,5.5200000000000005
2017-03-09,61,8.0,,0.08,4.88
2017-03-10,70,8.0,,0.08,5.6000000000000005
2017-03-11,14,8.0,,0.08,1.12
2017-03-12,18,8.0,,0.08,1.44
2017-03-13,65,8.0,,0.08,5.2
2017-03-14,41,8.0,,0.08,3.2800000000000002
2017-03-15,64,8.0,,0.08,5.12
2017-03-16,64,8.0,,0.08,5.12
2017-03-17,58,8.0,,0.08,4.64
2017-03-18,19,8.0,,0.08,1.52
2017-03-19,10,8.0,,0.08,0.8
2017-03-20,48,8.0,,0.08,3.84
2017-03-21,68,8.0,,0.08,5.44
2017-03-22,32,8.0,,0.08,2.56
2017-03-23,44,8.0,,0.08,3.52
2017-03-24,54,8.0,,0.08,4.32
2017-03-25,29,8.0,,0.08,2.32
2017-03-26,10,8.0,,0.08,0.8
2017-03-27,53,8.0,,0.08,4.24
2017-03-28,48,8.0,,0.08,3.84
2017-03-29,54,8.0,,0.08,4.32
2017-03-30,51,8.0,,0.08,4.08
2017-03-31,36,8.0,,0.08,2.88
2017-04-01,26,6.0,False,0.06,1.56
2017-04-02,26,6.0,,0.06,1.56
2017-04-03,58,6.0,,0.06,3.48
2017-04-04,71,6.0,,0.06,4.26
2017-04-05,80,6.0,,0.06,4.8
2017-04-06,96,6.0,,0.06,5.76
2017-04-07,77,6.0,,0.06,4.62
2017-04-08,19,6.0,,0.06,1.14
2017-04-09,19,6.0,,0.06,1.14
2017-04-10,63,6.0,,0.06,3.78
2017-04-11,57,6.0,,0.06,3.42
2017-04-12,51,6.0,,0.06,3.06
2017-04-13,51,6.0,,0.06,3.06
2017-04-14,27,6.0,,0.06,1.6199999999999999
2017-04-15,23,6.0,,0.06,1.38
2017-04-16,20,6.0,,0.06,1.2
2017-04-17,98,6.0,,0.06,5.88
2017-04-18,89,6.0,,0.06,5.34
2017-04-19,90,6.0,,0.06,5.3999999999999995
2017-04-20,100,6.0,,0.06,6.0
2017-04-21,95,6.0,,0.06,5.7
2017-04-22,11,6.0,,0.06,0.6599999999999999
2017-04-23,27,6.0,,0.06,1.6199999999999999
2017-04-24,62,6.0,,0.06,3.7199999999999998
2017-04-25,95,6.0,,0.06,5.7
2017-04-26,73,6.0,,0.06,4.38
2017-04-27,59,6.0,,0.06,3.54
2017-04-28,76,6.0,,0.06,4.56
2017-04-29,26,6.0,,0.06,1.56
2017-04-30,19,6.0,,0.06,1.14
2017-05-01,66,7.0,False,0.07,4.62
2017-05-02,100,7.0,,0.07,7.000000000000001
2017-05-03,53,7.0,,0.07,3.7100000000000004
2017-05-04,64,7.0,,0.07,4.48
2017-05-05,68,7.0,,0.07,4.760000000000001
2017-05-06,14,7.0,,0.07,0.9800000000000001
2017-05-07,6,7.0,,0.07,0.42000000000000004
2017-05-08,59,7.0,,0.07,4.130000000000001
2017-05-09,52,7.0,,0.07,3.6400000000000006
2017-05-10,79,7.0,,0.07,5.53
2017-05-11,71,7.0,,0.07,4.970000000000001
2017-05-12,55,7.0,,0.07,3.8500000000000005
2017-05-13,17,7.0,,0.07,1.1900000000000002
2017-05-14,6,7.0,,0.07,0.42000000000000004
2017-05-15,74,7.0,,0.07,5.180000000000001
2017-05-16,60,7.0,,0.07,4.2
2017-05-17,60,7.0,,0.07,4.2
2017-05-18,51,7.0,,0.07,3.5700000000000003
2017-05-19,59,7.0,,0.07,4.130000000000001
2017-05-20,18,7.0,,0.07,1.2600000000000002
2017-05-21,9,7.0,,0.07,0.6300000000000001
2017-05-22,51,7.0,,0.07,3.5700000000000003
2017-05-23,49,7.0,,0.07,3.43
2017-05-24,66,7.0,,0.07,4.62
2017-05-25,68,7.0,,0.07,4.760000000000001
2017-05-26,66,7.0,,0.07,4.62
2017-05-27,25,7.0,,0.07,1.7500000000000002
2017-05-28,16,7.0,,0.07,1.12
2017-05-29,11,7.0,,0.07,0.77
2017-05-30,63,7.0,,0.07,4.41
2017-05-31,69,7.0,,0.07,4.83
2017-06-01,69,8.0,False,0.08,5.5200000000000005
2017-06-02,87,8.0,,0.08,6.96
2017-06-03,23,8.0,,0.08,1.84
2017-06-04,10,8.0,,0.08,0.8
2017-06-05,40,8.0,,0.08,3.2
2017-06-06,48,8.0,,0.08,3.84
2017-06-07,51,8.0,,0.08,4.08
2017-06-08,65,8.0,,0.08,5.2
2017-06-09,58,8.0,,0.08,4.64
2017-06-10,40,8.0,,0.08,3.2
2017-06-11,13,8.0,,0.08,1.04
2017-06-12,87,8.0,,0.08,6.96
2017-06-13,67,8.0,,0.08,5.36
2017-06-14,89,8.0,,0.08,7.12
2017-06-15,70,8.0,,0.08,5.6000000000000005
2017-06-16,87,8.0,,0.08,6.96
2017-06-17,7,8.0,,0.08,0.56
2017-06-18,20,8.0,,0.08,1.6
2017-06-19,63,8.0,,0.08,5.04
2017-06-20,72,8.0,,0.08,5.76
2017-06-21,76,8.0,,0.08,6.08
2017-06-22,100,8.0,,0.08,8.0
2017-06-23,64,8.0,,0.08,5.12
2017-06-24,19,8.0,,0.08,1.52
2017-06-25,13,8.0,,0.08,1.04
2017-06-26,81,8.0,,0.08,6.48
2017-06-27,79,8.0,,0.08,6.32
2017-06-28,73,8.0,,0.08,5.84
2017-06-29,67,8.0,,0.08,5.36
2017-06-30,59,8.0,,0.08,4.72
2017-07-01,14,6.0,False,0.06,0.84
2017-07-02,15,6.0,,0.06,0.8999999999999999
2017-07-03,73,6.0,,0.06,4.38
2017-07-04,22,6.0,,0.06,1.3199999999999998
2017-07-05,65,6.0,,0.06,3.9
2017-07-06,72,6.0,,0.06,4.32
2017-07-07,68,6.0,,0.06,4.08
2017-07-08,14,6.0,,0.06,0.84
2017-07-09,28,6.0,,0.06,1.68
2017-07-10,48,6.0,,0.06,2.88
2017-07-11,54,6.0,,0.06,3.2399999999999998
2017-07-12,55,6.0,,0.06,3.3
2017-07-13,37,6.0,,0.06,2.2199999999999998
2017-07-14,90,6.0,,0.06,5.3999999999999995
2017-07-15,18,6.0,,0.06,1.08
2017-07-16,11,6.0,,0.06,0.6599999999999999
2017-07-17,49,6.0,,0.06,2.94
2017-07-18,100,6.0,,0.06,6.0
2017-07-19,70,6.0,,0.06,4.2
2017-07-20,42,6.0,,0.06,2.52
2017-07-21,40,6.0,,0.06,2.4
2017-07-22,24,6.0,,0.06,1.44
2017-07-23,21,6.0,,0.06,1.26
2017-07-24,87,6.0,,0.06,5.22
2017-07-25,84,6.0,,0.06,5.04
2017-07-26,83,6.0,,0.06,4.9799999999999995
2017-07-27,60,6.0,,0.06,3.5999999999999996
2017-07-28,76,6.0,,0.06,4.56
2017-07-29,21,6.0,,0.06,1.26
2017-07-30,14,6.0,,0.06,0.84
2017-07-31,75,6.0,,0.06,4.5
2017-08-01,100,7.0,False,0.07,7.000000000000001
2017-08-02,86,7.0,,0.07,6.0200000000000005
2017-08-03,84,7.0,,0.07,5.880000000000001
2017-08-04,79,7.0,,0.07,5.53
2017-08-05,13,7.0,,0.07,0.9100000000000001
2017-08-06,30,7.0,,0.07,2.1
2017-08-07,78,7.0,,0.07,5.460000000000001
2017-08-08,37,7.0,,0.07,2.5900000000000003
2017-08-09,68,7.0,,0.07,4.760000000000001
2017-08-10,63,7.0,,0.07,4.41
2017-08-11,34,7.0,,0.07,2.3800000000000003
2017-08-12,19,7.0,,0.07,1.33
2017-08-13,6,7.0,,0.07,0.42000000000000004
2017-08-14,61,7.0,,0.07,4.2700000000000005
2017-08-15,50,7.0,,0.07,3.5000000000000004
2017-08-16,58,7.0,,0.07,4.0600000000000005
2017-08-17,50,7.0,,0.07,3.5000000000000004
2017-08-18,69,7.0,,0.07,4.83
2017-08-19,13,7.0,,0.07,0.9100000000000001
2017-08-20,22,7.0,,0.07,1.54
2017-08-21,57,7.0,,0.07,3.99
2017-08-22,68,7.0,,0.07,4.760000000000001
2017-08-23,60,7.0,,0.07,4.2
2017-08-24,65,7.0,,0.07,4.550000000000001
2017-08-25,67,7.0,,0.07,4.69
2017-08-26,13,7.0,,0.07,0.9100000000000001
2017-08-27,12,7.0,,0.07,0.8400000000000001
2017-08-28,65,7.0,,0.07,4.550000000000001
2017-08-29,58,7.0,,0.07,4.0600000000000005
2017-08-30,48,7.0,,0.07,3.3600000000000003
2017-08-31,56,7.0,,0.07,3.9200000000000004
2017-09-01,88,7.0,False,0.07,6.16
2017-09-02,18,7.0,,0.07,1.2600000000000002
2017-09-03,0,7.0,,0.07,0.0
2017-09-04,6,7.0,,0.07,0.42000000000000004
2017-09-05,54,7.0,,0.07,3.7800000000000002
2017-09-06,46,7.0,,0.07,3.22
2017-09-07,74,7.0,,0.07,5.180000000000001
2017-09-08,60,7.0,,0.07,4.2
2017-09-09,18,7.0,,0.07,1.2600000000000002
2017-09-10,20,7.0,,0.07,1.4000000000000001
2017-09-11,50,7.0,,0.07,3.5000000000000004
2017-09-12,75,7.0,,0.07,5.250000000000001
2017-09-13,100,7.0,,0.07,7.000000000000001
2017-09-14,82,7.0,,0.07,5.74
2017-09-15,62,7.0,,0.07,4.340000000000001
2017-09-16,27,7.0,,0.07,1.8900000000000001
2017-09-17,3,7.0,,0.07,0.21000000000000002
2017-09-18,42,7.0,,0.07,2.9400000000000004
2017-09-19,77,7.0,,0.07,5.390000000000001
2017-09-20,79,7.0,,0.07,5.53
2017-09-21,78,7.0,,0.07,5.460000000000001
2017-09-22,70,7.0,,0.07,4.9
2017-09-23,31,7.0,,0.07,2.1700000000000004
2017-09-24,12,7.0,,0.07,0.8400000000000001
2017-09-25,45,7.0,,0.07,3.1500000000000004
2017-09-26,60,7.0,,0.07,4.2
2017-09-27,63,7.0,,0.07,4.41
2017-09-28,63,7.0,,0.07,4.41
2017-09-29,44,7.0,,0.07,3.08
2017-09-30,15,7.0,,0.07,1.05
2017-10-01,13,7.0,False,0.07,0.9100000000000001
2017-10-02,52,7.0,,0.07,3.6400000000000006
2017-10-03,47,7.0,,0.07,3.2900000000000005
2017-10-04,50,7.0,,0.07,3.5000000000000004
2017-10-05,50,7.0,,0.07,3.5000000000000004
2017-10-06,51,7.0,,0.07,3.5700000000000003
2017-10-07,21,7.0,,0.07,1.4700000000000002
2017-10-08,13,7.0,,0.07,0.9100000000000001
2017-10-09,45,7.0,,0.07,3.1500000000000004
2017-10-10,74,7.0,,0.07,5.180000000000001
2017-10-11,67,7.0,,0.07,4.69
2017-10-12,50,7.0,,0.07,3.5000000000000004
2017-10-13,60,7.0,,0.07,4.2
2017-10-14,5,7.0,,0.07,0.35000000000000003
2017-10-15,5,7.0,,0.07,0.35000000000000003
2017-10-16,28,7.0,,0.07,1.9600000000000002
2017-10-17,59,7.0,,0.07,4.130000000000001
2017-10-18,61,7.0,,0.07,4.2700000000000005
2017-10-19,63,7.0,,0.07,4.41
2017-10-20,64,7.0,,0.07,4.48
2017-10-21,8,7.0,,0.07,0.56
2017-10-22,21,7.0,,0.07,1.4700000000000002
2017-10-23,30,7.0,,0.07,2.1
2017-10-24,43,7.0,,0.07,3.0100000000000002
2017-10-25,48,7.0,,0.07,3.3600000000000003
2017-10-26,61,7.0,,0.07,4.2700000000000005
2017-10-27,63,7.0,,0.07,4.41
2017-10-28,11,7.0,,0.07,0.77
2017-10-29,13,7.0,,0.07,0.9100000000000001
2017-10-30,94,7.0,,0.07,6.580000000000001
2017-10-31,100,7.0,,0.07,7.000000000000001
2017-11-01,70,6.0,False,0.06,4.2
2017-11-02,67,6.0,,0.06,4.02
2017-11-03,76,6.0,,0.06,4.56
2017-11-04,14,6.0,,0.06,0.84
2017-11-05,17,6.0,,0.06,1.02
2017-11-06,68,6.0,,0.06,4.08
2017-11-07,59,6.0,,0.06,3.54
2017-11-08,75,6.0,,0.06,4.5
2017-11-09,91,6.0,,0.06,5.46
2017-11-10,79,6.0,,0.06,4.74
2017-11-11,7,6.0,,0.06,0.42
2017-11-12,10,6.0,,0.06,0.6
2017-11-13,67,6.0,,0.06,4.02
2017-11-14,48,6.0,,0.06,2.88
2017-11-15,71,6.0,,0.06,4.26
2017-11-16,82,6.0,,0.06,4.92
2017-11-17,55,6.0,,0.06,3.3
2017-11-18,34,6.0,,0.06,2.04
2017-11-19,14,6.0,,0.06,0.84
2017-11-20,52,6.0,,0.06,3.12
2017-11-21,71,6.0,,0.06,4.26
2017-11-22,65,6.0,,0.06,3.9
2017-11-23,7,6.0,,0.06,0.42
2017-11-24,33,6.0,,0.06,1.98
2017-11-25,27,6.0,,0.06,1.6199999999999999
2017-11-26,26,6.0,,0.06,1.56
2017-11-27,56,6.0,,0.06,3.36
2017-11-28,88,6.0,,0.06,5.279999999999999
2017-11-29,100,6.0,,0.06,6.0
2017-11-30,62,6.0,,0.06,3.7199999999999998
2017-12-01,73,7.0,False,0.07,5.11
2017-12-02,17,7.0,,0.07,1.1900000000000002
2017-12-03,6,7.0,,0.07,0.42000000000000004
2017-12-04,80,7.0,,0.07,5.6000000000000005
2017-12-05,66,7.0,,0.07,4.62
2017-12-06,46,7.0,,0.07,3.22
2017-12-07,47,7.0,,0.07,3.2900000000000005
2017-12-08,79,7.0,,0.07,5.53
2017-12-09,25,7.0,,0.07,1.7500000000000002
2017-12-10,17,7.0,,0.07,1.1900000000000002
2017-12-11,55,7.0,,0.07,3.8500000000000005
2017-12-12,60,7.0,,0.07,4.2
2017-12-13,51,7.0,,0.07,3.5700000000000003
2017-12-14,52,7.0,,0.07,3.6400000000000006
