date,NG_unscaled,NG_monthly,isPartial,scale,NG
2016-06-20,84,63.0,,0.63,52.92
2016-06-21,84,63.0,,0.63,52.92
2016-06-22,93,63.0,,0.63,58.59
2016-06-23,95,63.0,,0.63,59.85
2016-06-24,75,63.0,,0.63,47.25
2016-06-25,64,63.0,,0.63,40.32
2016-06-26,69,63.0,,0.63,43.47
2016-06-27,89,63.0,,0.63,56.07
2016-06-28,97,63.0,,0.63,61.11
2016-06-29,100,63.0,,0.63,63.0
2016-06-30,91,63.0,,0.63,57.33
2016-07-01,75,57.0,False,0.57,42.74999999999999
2016-07-02,63,57.0,,0.57,35.91
2016-07-03,69,57.0,,0.57,39.33
2016-07-04,89,57.0,,0.57,50.73
2016-07-05,91,57.0,,0.57,51.87
2016-07-06,89,57.0,,0.57,50.73
2016-07-07,90,57.0,,0.57,51.3
2016-07-08,82,57.0,,0.57,46.739999999999995
2016-07-09,69,57.0,,0.57,39.33
2016-07-10,69,57.0,,0.57,39.33
2016-07-11,99,57.0,,0.57,56.42999999999999
2016-07-12,87,57.0,,0.57,49.589999999999996
2016-07-13,85,57.0,,0.57,48.449999999999996
2016-07-14,83,57.0,,0.57,47.309999999999995
2016-07-15,84,57.0,,0.57,47.879999999999995
2016-07-16,66,57.0,,0.57,37.62
2016-07-17,80,57.0,,0.57,45.599999999999994
2016-07-18,84,57.0,,0.57,47.879999999999995
2016-07-19,78,57.0,,0.57,44.459999999999994
2016-07-20,100,57.0,,0.57,56.99999999999999
2016-07-21,91,57.0,,0.57,51.87
2016-07-22,86,57.0,,0.57,49.019999999999996
2016-07-23,67,57.0,,0.57,38.19
2016-07-24,64,57.0,,0.57,36.48
2016-07-25,86,57.0,,0.57,49.019999999999996
2016-07-26,87,57.0,,0.57,49.589999999999996
2016-07-27,97,57.0,,0.57,55.28999999999999
2016-07-28,82,57.0,,0.57,46.739999999999995
2016-07-29,72,57.0,,0.57,41.04
2016-07-30,73,57.0,,0.57,41.61
2016-07-31,74,57.0,,0.57,42.18
2016-08-01,94,55.0,False,0.55,51.7
2016-08-02,100,55.0,,0.55,55.00000000000001
2016-08-03,91,55.0,,0.55,50.050000000000004
2016-08-04,92,55.0,,0.55,50.6
2016-08-05,80,55.0,,0.55,44.0
2016-08-06,77,55.0,,0.55,42.35
2016-08-07,72,55.0,,0.55,39.6
2016-08-08,96,55.0,,0.55,52.800000000000004
2016-08-09,90,55.0,,0.55,49.50000000000001
2016-08-10,85,55.0,,0.55,46.75000000000001
2016-08-11,93,55.0,,0.55,51.150000000000006
2016-08-12,70,55.0,,0.55,38.5
2016-08-13,68,55.0,,0.55,37.400000000000006
2016-08-14,65,55.0,,0.55,35.75
2016-08-15,85,55.0,,0.55,46.75000000000001
2016-08-16,85,55.0,,0.55,46.75000000000001
2016-08-17,80,55.0,,0.55,44.0
2016-08-18,94,55.0,,0.55,51.7
2016-08-19,75,55.0,,0.55,41.25
2016-08-20,83,55.0,,0.55,45.650000000000006
2016-08-21,68,55.0,,0.55,37.400000000000006
2016-08-22,79,55.0,,0.55,43.45
2016-08-23,95,55.0,,0.55,52.25000000000001
2016-08-24,98,55.0,,0.55,53.900000000000006
2016-08-25,96,55.0,,0.55,52.800000000000004
2016-08-26,86,55.0,,0.55,47.300000000000004
2016-08-27,65,55.0,,0.55,35.75
2016-08-28,72,55.0,,0.55,39.6
2016-08-29,70,55.0,,0.55,38.5
2016-08-30,81,55.0,,0.55,44.550000000000004
2016-08-31,92,55.0,,0.55,50.6
2016-09-01,84,57.0,False,0.57,47.879999999999995
2016-09-02,68,57.0,,0.57,38.76
2016-09-03,75,57.0,,0.57,42.74999999999999
2016-09-04,76,57.0,,0.57,43.31999999999999
2016-09-05,75,57.0,,0.57,42.74999999999999
2016-09-06,89,57.0,,0.57,50.73
2016-09-07,81,57.0,,0.57,46.169999999999995
2016-09-08,73,57.0,,0.57,41.61
2016-09-09,88,57.0,,0.57,50.16
2016-09-10,62,57.0,,0.57,35.339999999999996
2016-09-11,60,57.0,,0.57,34.199999999999996
2016-09-12,86,57.0,,0.57,49.019999999999996
2016-09-13,84,57.0,,0.57,47.879999999999995
2016-09-14,86,57.0,,0.57,49.019999999999996
2016-09-15,85,57.0,,0.57,48.449999999999996
2016-09-16,85,57.0,,0.57,48.449999999999996
2016-09-17,69,57.0,,0.57,39.33
2016-09-18,77,57.0,,0.57,43.88999999999999
2016-09-19,84,57.0,,0.57,47.879999999999995
2016-09-20,76,57.0,,0.57,43.31999999999999
2016-09-21,100,57.0,,0.57,56.99999999999999
2016-09-22,92,57.0,,0.57,52.44
2016-09-23,62,57.0,,0.57,35.339999999999996
2016-09-24,71,57.0,,0.57,40.47
2016-09-25,60,57.0,,0.57,34.199999999999996
2016-09-26,86,57.0,,0.57,49.019999999999996
2016-09-27,88,57.0,,0.57,50.16
2016-09-28,83,57.0,,0.57,47.309999999999995
2016-09-29,92,57.0,,0.57,52.44
2016-09-30,81,57.0,,0.57,46.169999999999995
2016-10-01,75,54.0,False,0.54,40.5
2016-10-02,71,54.0,,0.54,38.34
2016-10-03,84,54.0,,0.54,45.36
2016-10-04,94,54.0,,0.54,50.760000000000005
2016-10-05,86,54.0,,0.54,46.440000000000005
2016-10-06,79,54.0,,0.54,42.660000000000004
2016-10-07,81,54.0,,0.54,43.74
2016-10-08,92,54.0,,0.54,49.68000000000001
2016-10-09,65,54.0,,0.54,35.1
2016-10-10,75,54.0,,0.54,40.5
2016-10-11,91,54.0,,0.54,49.14
2016-10-12,86,54.0,,0.54,46.440000000000005
2016-10-13,84,54.0,,0.54,45.36
2016-10-14,81,54.0,,0.54,43.74
2016-10-15,60,54.0,,0.54,32.400000000000006
2016-10-16,63,54.0,,0.54,34.02
2016-10-17,91,54.0,,0.54,49.14
2016-10-18,91,54.0,,0.54,49.14
2016-10-19,89,54.0,,0.54,48.06
2016-10-20,100,54.0,,0.54,54.0
2016-10-21,89,54.0,,0.54,48.06
2016-10-22,70,54.0,,0.54,37.800000000000004
2016-10-23,57,54.0,,0.54,30.78
2016-10-24,99,54.0,,0.54,53.46
2016-10-25,96,54.0,,0.54,51.84
2016-10-26,88,54.0,,0.54,47.52
2016-10-27,93,54.0,,0.54,50.220000000000006
2016-10-28,82,54.0,,0.54,44.28
2016-10-29,64,54.0,,0.54,34.56
2016-10-30,62,54.0,,0.54,33.480000000000004
2016-10-31,75,54.0,,0.54,40.5
2016-11-01,97,52.0,False,0.52,50.440000000000005
2016-11-02,77,52.0,,0.52,40.04
2016-11-03,88,52.0,,0.52,45.760000000000005
2016-11-04,86,52.0,,0.52,44.72
2016-11-05,68,52.0,,0.52,35.36
2016-11-06,66,52.0,,0.52,34.32
2016-11-07,77,52.0,,0.52,40.04
2016-11-08,82,52.0,,0.52,42.64
2016-11-09,66,52.0,,0.52,34.32
2016-11-10,83,52.0,,0.52,43.160000000000004
2016-11-11,81,52.0,,0.52,42.120000000000005
2016-11-12,73,52.0,,0.52,37.96
2016-11-13,63,52.0,,0.52,32.76
2016-11-14,92,52.0,,0.52,47.84
2016-11-15,82,52.0,,0.52,42.64
2016-11-16,79,52.0,,0.52,41.08
2016-11-17,97,52.0,,0.52,50.440000000000005
2016-11-18,87,52.0,,0.52,45.24
2016-11-19,72,52.0,,0.52,37.44
2016-11-20,82,52.0,,0.52,42.64
2016-11-21,90,52.0,,0.52,46.800000000000004
2016-11-22,82,52.0,,0.52,42.64
2016-11-23,89,52.0,,0.52,46.28
2016-11-24,70,52.0,,0.52,36.4
2016-11-25,57,52.0,,0.52,29.64
2016-11-26,60,52.0,,0.52,31.200000000000003
2016-11-27,56,52.0,,0.52,29.12
2016-11-28,78,52.0,,0.52,40.56
2016-11-29,100,52.0,,0.52,52.0
2016-11-30,84,52.0,,0.52,43.68
2016-12-01,84,56.0,False,0.56,47.040000000000006
2016-12-02,79,56.0,,0.56,44.24
2016-12-03,66,56.0,,0.56,36.96
2016-12-04,70,56.0,,0.56,39.2
2016-12-05,98,56.0,,0.56,54.88
2016-12-06,83,56.0,,0.56,46.480000000000004
2016-12-07,95,56.0,,0.56,53.2
2016-12-08,86,56.0,,0.56,48.160000000000004
2016-12-09,100,56.0,,0.56,56.00000000000001
2016-12-10,67,56.0,,0.56,37.52
2016-12-11,77,56.0,,0.56,43.120000000000005
2016-12-12,86,56.0,,0.56,48.160000000000004
2016-12-13,78,56.0,,0.56,43.68000000000001
2016-12-14,82,56.0,,0.56,45.92
2016-12-15,74,56.0,,0.56,41.440000000000005
2016-12-16,68,56.0,,0.56,38.080000000000005
2016-12-17,68,56.0,,0.56,38.080000000000005
2016-12-18,64,56.0,,0.56,35.84
2016-12-19,57,56.0,,0.56,31.92
2016-12-20,94,56.0,,0.56,52.64000000000001
2016-12-21,72,56.0,,0.56,40.32000000000001
2016-12-22,80,56.0,,0.56,44.800000000000004
2016-12-23,60,56.0,,0.56,33.6
2016-12-24,64,56.0,,0.56,35.84
2016-12-25,52,56.0,,0.56,29.120000000000005
2016-12-26,53,56.0,,0.56,29.680000000000003
2016-12-27,57,56.0,,0.56,31.92
2016-12-28,73,56.0,,0.56,40.88
2016-12-29,67,56.0,,0.56,37.52
2016-12-30,72,56.0,,0.56,40.32000000000001
2016-12-31,51,56.0,,0.56,28.560000000000002
2017-01-01,68,54.0,False,0.54,36.72
2017-01-02,63,54.0,,0.54,34.02
2017-01-03,75,54.0,,0.54,40.5
2017-01-04,89,54.0,,0.54,48.06
2017-01-05,88,54.0,,0.54,47.52
2017-01-06,78,54.0,,0.54,42.120000000000005
2017-01-07,74,54.0,,0.54,39.96
2017-01-08,64,54.0,,0.54,34.56
2017-01-09,77,54.0,,0.54,41.580000000000005
2017-01-10,88,54.0,,0.54,47.52
2017-01-11,83,54.0,,0.54,44.82
2017-01-12,98,54.0,,0.54,52.92
2017-01-13,84,54.0,,0.54,45.36
2017-01-14,64,54.0,,0.54,34.56
2017-01-15,62,54.0,,0.54,33.480000000000004
2017-01-16,91,54.0,,0.54,49.14
2017-01-17,88,54.0,,0.54,47.52
2017-01-18,93,54.0,,0.54,50.220000000000006
2017-01-19,88,54.0,,0.54,47.52
2017-01-20,80,54.0,,0.54,43.2
2017-01-21,78,54.0,,0.54,42.120000000000005
2017-01-22,57,54.0,,0.54,30.78
2017-01-23,88,54.0,,0.54,47.52
2017-01-24,99,54.0,,0.54,53.46
2017-01-25,100,54.0,,0.54,54.0
2017-01-26,74,54.0,,0.54,39.96
2017-01-27,92,54.0,,0.54,49.68000000000001
2017-01-28,67,54.0,,0.54,36.18
2017-01-29,69,54.0,,0.54,37.260000000000005
2017-01-30,83,54.0,,0.54,44.82
2017-01-31,95,54.0,,0.54,51.300000000000004
2017-02-01,94,58.0,False,0.58,54.519999999999996
2017-02-02,81,58.0,,0.58,46.98
2017-02-03,88,58.0,,0.58,51.04
2017-02-04,72,58.0,,0.58,41.76
2017-02-05,65,58.0,,0.58,37.699999999999996
2017-02-06,80,58.0,,0.58,46.4
2017-02-07,80,58.0,,0.58,46.4
2017-02-08,82,58.0,,0.58,47.559999999999995
2017-02-09,83,58.0,,0.58,48.13999999999999
2017-02-10,85,58.0,,0.58,49.3
2017-02-11,67,58.0,,0.58,38.86
2017-02-12,66,58.0,,0.58,38.279999999999994
2017-02-13,85,58.0,,0.58,49.3
2017-02-14,88,58.0,,0.58,51.04
2017-02-15,75,58.0,,0.58,43.5
2017-02-16,100,58.0,,0.58,57.99999999999999
2017-02-17,80,58.0,,0.58,46.4
2017-02-18,75,58.0,,0.58,43.5
2017-02-19,61,58.0,,0.58,35.379999999999995
2017-02-20,85,58.0,,0.58,49.3
2017-02-21,80,58.0,,0.58,46.4
2017-02-22,91,58.0,,0.58,52.779999999999994
2017-02-23,86,58.0,,0.58,49.879999999999995
2017-02-24,82,58.0,,0.58,47.559999999999995
2017-02-25,74,58.0,,0.58,42.919999999999995
2017-02-26,73,58.0,,0.58,42.339999999999996
2017-02-27,87,58.0,,0.58,50.459999999999994
2017-02-28,91,58.0,,0.58,52.779999999999994
2017-03-01,62,68.0,False,0.68,42.160000000000004
2017-03-02,80,68.0,,0.68,54.400000000000006
2017-03-03,74,68.0,,0.68,50.32
2017-03-04,63,68.0,,0.68,42.84
2017-03-05,56,68.0,,0.68,38.080000000000005
2017-03-06,75,68.0,,0.68,51.00000000000001
2017-03-07,69,68.0,,0.68,46.92
2017-03-08,81,68.0,,0.68,55.080000000000005
2017-03-09,80,68.0,,0.68,54.400000000000006
2017-03-10,83,68.0,,0.68,56.440000000000005
2017-03-11,92,68.0,,0.68,62.56
2017-03-12,76,68.0,,0.68,51.68000000000001
2017-03-13,79,68.0,,0.68,53.720000000000006
2017-03-14,68,68.0,,0.68,46.24
2017-03-15,71,68.0,,0.68,48.28
2017-03-16,79,68.0,,0.68,53.720000000000006
2017-03-17,70,68.0,,0.68,47.6
2017-03-18,49,68.0,,0.68,33.32
2017-03-19,54,68.0,,0.68,36.720000000000006
2017-03-20,64,68.0,,0.68,43.52
2017-03-21,72,68.0,,0.68,48.96
2017-03-22,100,68.0,,0.68,68.0
2017-03-23,82,68.0,,0.68,55.760000000000005
2017-03-24,84,68.0,,0.68,57.120000000000005
2017-03-25,54,68.0,,0.68,36.720000000000006
2017-03-26,59,68.0,,0.68,40.120000000000005
2017-03-27,80,68.0,,0.68,54.400000000000006
2017-03-28,66,68.0,,0.68,44.88
2017-03-29,72,68.0,,0.68,48.96
2017-03-30,76,68.0,,0.68,51.68000000000001
2017-03-31,60,68.0,,0.68,40.800000000000004
2017-04-01,72,54.0,False,0.54,38.88
2017-04-02,70,54.0,,0.54,37.800000000000004
2017-04-03,93,54.0,,0.54,50.220000000000006
2017-04-04,88,54.0,,0.54,47.52
2017-04-05,83,54.0,,0.54,44.82
2017-04-06,100,54.0,,0.54,54.0
2017-04-07,93,54.0,,0.54,50.220000000000006
2017-04-08,82,54.0,,0.54,44.28
2017-04-09,82,54.0,,0.54,44.28
2017-04-10,88,54.0,,0.54,47.52
2017-04-11,93,54.0,,0.54,50.220000000000006
2017-04-12,94,54.0,,0.54,50.760000000000005
2017-04-13,91,54.0,,0.54,49.14
2017-04-14,81,54.0,,0.54,43.74
2017-04-15,57,54.0,,0.54,30.78
2017-04-16,75,54.0,,0.54,40.5
2017-04-17,97,54.0,,0.54,52.38
2017-04-18,83,54.0,,0.54,44.82
2017-04-19,93,54.0,,0.54,50.220000000000006
2017-04-20,97,54.0,,0.54,52.38
2017-04-21,93,54.0,,0.54,50.220000000000006
2017-04-22,71,54.0,,0.54,38.34
2017-04-23,83,54.0,,0.54,44.82
2017-04-24,89,54.0,,0.54,48.06
2017-04-25,97,54.0,,0.54,52.38
2017-04-26,83,54.0,,0.54,44.82
2017-04-27,87,54.0,,0.54,46.980000000000004
2017-04-28,81,54.0,,0.54,43.74
2017-04-29,57,54.0,,0.54,30.78
2017-04-30,67,54.0,,0.54,36.18
2017-05-01,77,56.0,False,0.56,43.120000000000005
2017-05-02,92,56.0,,0.56,51.52
2017-05-03,83,56.0,,0.56,46.480000000000004
2017-05-04,78,56.0,,0.56,43.68000000000001
2017-05-05,88,56.0,,0.56,49.28
2017-05-06,68,56.0,,0.56,38.080000000000005
2017-05-07,57,56.0,,0.56,31.92
2017-05-08,93,56.0,,0.56,52.080000000000005
2017-05-09,94,56.0,,0.56,52.64000000000001
2017-05-10,82,56.0,,0.56,45.92
2017-05-11,87,56.0,,0.56,48.720000000000006
2017-05-12,80,56.0,,0.56,44.800000000000004
2017-05-13,60,56.0,,0.56,33.6
2017-05-14,76,56.0,,0.56,42.56
2017-05-15,87,56.0,,0.56,48.720000000000006
2017-05-16,83,56.0,,0.56,46.480000000000004
2017-05-17,95,56.0,,0.56,53.2
2017-05-18,91,56.0,,0.56,50.96000000000001
2017-05-19,74,56.0,,0.56,41.440000000000005
2017-05-20,69,56.0,,0.56,38.64
2017-05-21,70,56.0,,0.56,39.2
2017-05-22,100,56.0,,0.56,56.00000000000001
2017-05-23,98,56.0,,0.56,54.88
2017-05-24,70,56.0,,0.56,39.2
2017-05-25,87,56.0,,0.56,48.720000000000006
2017-05-26,89,56.0,,0.56,49.84
2017-05-27,57,56.0,,0.56,31.92
2017-05-28,63,56.0,,0.56,35.28
2017-05-29,76,56.0,,0.56,42.56
2017-05-30,78,56.0,,0.56,43.68000000000001
2017-05-31,84,56.0,,0.56,47.040000000000006
2017-06-01,96,56.0,False,0.56,53.760000000000005
2017-06-02,95,56.0,,0.56,53.2
2017-06-03,67,56.0,,0.56,37.52
2017-06-04,67,56.0,,0.56,37.52
2017-06-05,77,56.0,,0.56,43.120000000000005
2017-06-06,98,56.0,,0.56,54.88
2017-06-07,88,56.0,,0.56,49.28
2017-06-08,74,56.0,,0.56,41.440000000000005
2017-06-09,66,56.0,,0.56,36.96
2017-06-10,78,56.0,,0.56,43.68000000000001
2017-06-11,78,56.0,,0.56,43.68000000000001
2017-06-12,100,56.0,,0.56,56.00000000000001
2017-06-13,87,56.0,,0.56,48.720000000000006
2017-06-14,90,56.0,,0.56,50.400000000000006
2017-06-15,92,56.0,,0.56,51.52
2017-06-16,87,56.0,,0.56,48.720000000000006
2017-06-17,79,56.0,,0.56,44.24
2017-06-18,66,56.0,,0.56,36.96
2017-06-19,89,56.0,,0.56,49.84
2017-06-20,95,56.0,,0.56,53.2
2017-06-21,83,56.0,,0.56,46.480000000000004
2017-06-22,82,56.0,,0.56,45.92
2017-06-23,87,56.0,,0.56,48.720000000000006
2017-06-24,76,56.0,,0.56,42.56
2017-06-25,64,56.0,,0.56,35.84
2017-06-26,78,56.0,,0.56,43.68000000000001
2017-06-27,92,56.0,,0.56,51.52
2017-06-28,84,56.0,,0.56,47.040000000000006
2017-06-29,91,56.0,,0.56,50.96000000000001
2017-06-30,90,56.0,,0.56,50.400000000000006
2017-07-01,62,54.0,False,0.54,33.480000000000004
2017-07-02,49,54.0,,0.54,26.46
2017-07-03,83,54.0,,0.54,44.82
2017-07-04,78,54.0,,0.54,42.120000000000005
2017-07-05,82,54.0,,0.54,44.28
2017-07-06,92,54.0,,0.54,49.68000000000001
2017-07-07,77,54.0,,0.54,41.580000000000005
2017-07-08,66,54.0,,0.54,35.64
2017-07-09,70,54.0,,0.54,37.800000000000004
2017-07-10,92,54.0,,0.54,49.68000000000001
2017-07-11,86,54.0,,0.54,46.440000000000005
2017-07-12,78,54.0,,0.54,42.120000000000005
2017-07-13,89,54.0,,0.54,48.06
2017-07-14,81,54.0,,0.54,43.74
2017-07-15,57,54.0,,0.54,30.78
2017-07-16,63,54.0,,0.54,34.02
2017-07-17,80,54.0,,0.54,43.2
2017-07-18,100,54.0,,0.54,54.0
2017-07-19,87,54.0,,0.54,46.980000000000004
2017-07-20,89,54.0,,0.54,48.06
2017-07-21,76,54.0,,0.54,41.040000000000006
2017-07-22,66,54.0,,0.54,35.64
2017-07-23,64,54.0,,0.54,34.56
2017-07-24,94,54.0,,0.54,50.760000000000005
2017-07-25,86,54.0,,0.54,46.440000000000005
2017-07-26,77,54.0,,0.54,41.580000000000005
2017-07-27,83,54.0,,0.54,44.82
2017-07-28,73,54.0,,0.54,39.42
2017-07-29,63,54.0,,0.54,34.02
2017-07-30,62,54.0,,0.54,33.480000000000004
2017-07-31,90,54.0,,0.54,48.6
2017-08-01,82,61.0,False,0.61,50.019999999999996
2017-08-02,85,61.0,,0.61,51.85
2017-08-03,81,61.0,,0.61,49.41
2017-08-04,80,61.0,,0.61,48.8
2017-08-05,76,61.0,,0.61,46.36
2017-08-06,81,61.0,,0.61,49.41
2017-08-07,89,61.0,,0.61,54.29
2017-08-08,75,61.0,,0.61,45.75
2017-08-09,91,61.0,,0.61,55.51
2017-08-10,87,61.0,,0.61,53.07
2017-08-11,92,61.0,,0.61,56.12
2017-08-12,73,61.0,,0.61,44.53
2017-08-13,66,61.0,,0.61,40.26
2017-08-14,79,61.0,,0.61,48.19
2017-08-15,84,61.0,,0.61,51.24
2017-08-16,81,61.0,,0.61,49.41
2017-08-17,87,61.0,,0.61,53.07
2017-08-18,73,61.0,,0.61,44.53
2017-08-19,68,61.0,,0.61,41.48
2017-08-20,63,61.0,,0.61,38.43
2017-08-21,72,61.0,,0.61,43.92
2017-08-22,80,61.0,,0.61,48.8
2017-08-23,84,61.0,,0.61,51.24
2017-08-24,91,61.0,,0.61,55.51
2017-08-25,93,61.0,,0.61,56.73
2017-08-26,72,61.0,,0.61,43.92
2017-08-27,68,61.0,,0.61,41.48
2017-08-28,81,61.0,,0.61,49.41
2017-08-29,100,61.0,,0.61,61.0
2017-08-30,89,61.0,,0.61,54.29
2017-08-31,81,61.0,,0.61,49.41
2017-09-01,72,60.0,False,0.6,43.199999999999996
2017-09-02,65,60.0,,0.6,39.0
2017-09-03,59,60.0,,0.6,35.4
2017-09-04,74,60.0,,0.6,44.4
2017-09-05,87,60.0,,0.6,52.199999999999996
2017-09-06,84,60.0,,0.6,50.4
2017-09-07,87,60.0,,0.6,52.199999999999996
2017-09-08,76,60.0,,0.6,45.6
2017-09-09,78,60.0,,0.6,46.8
2017-09-10,58,60.0,,0.6,34.8
2017-09-11,72,60.0,,0.6,43.199999999999996
2017-09-12,89,60.0,,0.6,53.4
2017-09-13,97,60.0,,0.6,58.199999999999996
2017-09-14,83,60.0,,0.6,49.8
2017-09-15,71,60.0,,0.6,42.6
2017-09-16,76,60.0,,0.6,45.6
2017-09-17,65,60.0,,0.6,39.0
2017-09-18,90,60.0,,0.6,54.0
2017-09-19,78,60.0,,0.6,46.8
2017-09-20,99,60.0,,0.6,59.4
2017-09-21,100,60.0,,0.6,60.0
2017-09-22,96,60.0,,0.6,57.599999999999994
2017-09-23,62,60.0,,0.6,37.199999999999996
2017-09-24,79,60.0,,0.6,47.4
2017-09-25,88,60.0,,0.6,52.8
2017-09-26,92,60.0,,0.6,55.199999999999996
2017-09-27,90,60.0,,0.6,54.0
2017-09-28,83,60.0,,0.6,49.8
2017-09-29,90,60.0,,0.6,54.0
2017-09-30,59,60.0,,0.6,35.4
2017-10-01,67,65.0,False,0.65,43.550000000000004
2017-10-02,77,65.0,,0.65,50.050000000000004
2017-10-03,77,65.0,,0.65,50.050000000000004
2017-10-04,93,65.0,,0.65,60.45
2017-10-05,71,65.0,,0.65,46.15
2017-10-06,76,65.0,,0.65,49.4
2017-10-07,64,65.0,,0.65,41.6
2017-10-08,56,65.0,,0.65,36.4
2017-10-09,88,65.0,,0.65,57.2
2017-10-10,92,65.0,,0.65,59.800000000000004
2017-10-11,100,65.0,,0.65,65.0
2017-10-12,91,65.0,,0.65,59.15
2017-10-13,68,65.0,,0.65,44.2
2017-10-14,50,65.0,,0.65,32.5
2017-10-15,58,65.0,,0.65,37.7
2017-10-16,71,65.0,,0.65,46.15
2017-10-17,91,65.0,,0.65,59.15
2017-10-18,76,65.0,,0.65,49.4
2017-10-19,79,65.0,,0.65,51.35
2017-10-20,71,65.0,,0.65,46.15
2017-10-21,58,65.0,,0.65,37.7
2017-10-22,62,65.0,,0.65,40.300000000000004
2017-10-23,75,65.0,,0.65,48.75
2017-10-24,78,65.0,,0.65,50.7
2017-10-25,73,65.0,,0.65,47.45
2017-10-26,79,65.0,,0.65,51.35
2017-10-27,78,65.0,,0.65,50.7
2017-10-28,69,65.0,,0.65,44.85
2017-10-29,59,65.0,,0.65,38.35
2017-10-30,75,65.0,,0.65,48.75
2017-10-31,86,65.0,,0.65,55.9
2017-11-01,98,59.0,False,0.59,57.82
2017-11-02,95,59.0,,0.59,56.05
2017-11-03,88,59.0,,0.59,51.919999999999995
2017-11-04,75,59.0,,0.59,44.25
2017-11-05,68,59.0,,0.59,40.12
2017-11-06,93,59.0,,0.59,54.87
2017-11-07,88,59.0,,0.59,51.919999999999995
2017-11-08,91,59.0,,0.59,53.69
2017-11-09,93,59.0,,0.59,54.87
2017-11-10,86,59.0,,0.59,50.739999999999995
2017-11-11,70,59.0,,0.59,41.3
2017-11-12,83,59.0,,0.59,48.97
2017-11-13,81,59.0,,0.59,47.79
2017-11-14,86,59.0,,0.59,50.739999999999995
2017-11-15,100,59.0,,0.59,59.0
2017-11-16,87,59.0,,0.59,51.33
2017-11-17,76,59.0,,0.59,44.839999999999996
2017-11-18,65,59.0,,0.59,38.35
2017-11-19,77,59.0,,0.59,45.43
2017-11-20,94,59.0,,0.59,55.459999999999994
2017-11-21,93,59.0,,0.59,54.87
2017-11-22,95,59.0,,0.59,56.05
2017-11-23,76,59.0,,0.59,44.839999999999996
2017-11-24,65,59.0,,0.59,38.35
2017-11-25,61,59.0,,0.59,35.989999999999995
2017-11-26,62,59.0,,0.59,36.58
2017-11-27,89,59.0,,0.59,52.51
2017-11-28,93,59.0,,0.59,54.87
2017-11-29,90,59.0,,0.59,53.099999999999994
2017-11-30,95,59.0,,0.59,56.05
2017-12-01,82,53.0,False,0.53,43.46
2017-12-02,64,53.0,,0.53,33.92
2017-12-03,65,53.0,,0.53,34.45
2017-12-04,95,53.0,,0.53,50.35
2017-12-05,98,53.0,,0.53,51.940000000000005
2017-12-06,100,53.0,,0.53,53.0
2017-12-07,96,53.0,,0.53,50.88
2017-12-08,82,53.0,,0.53,43.46
2017-12-09,79,53.0,,0.53,41.870000000000005
2017-12-10,63,53.0,,0.53,33.39
2017-12-11,81,53.0,,0.53,42.93
2017-12-12,83,53.0,,0.53,43.99
2017-12-13,93,53.0,,0.53,49.29
