date,BA_unscaled,BA_monthly,isPartial,scale,BA
2017-10-01,85,55.0,False,0.55,46.75000000000001
2017-10-02,84,55.0,,0.55,46.2
2017-10-03,100,55.0,,0.55,55.00000000000001
2017-10-04,91,55.0,,0.55,50.050000000000004
2017-10-05,89,55.0,,0.55,48.95
2017-10-06,93,55.0,,0.55,51.150000000000006
2017-10-07,73,55.0,,0.55,40.150000000000006
2017-10-08,94,55.0,,0.55,51.7
2017-10-09,78,55.0,,0.55,42.900000000000006
2017-10-10,86,55.0,,0.55,47.300000000000004
2017-10-11,94,55.0,,0.55,51.7
2017-10-12,88,55.0,,0.55,48.400000000000006
2017-10-13,83,55.0,,0.55,45.650000000000006
2017-10-14,81,55.0,,0.55,44.550000000000004
2017-10-15,81,55.0,,0.55,44.550000000000004
2017-10-16,95,55.0,,0.55,52.25000000000001
2017-10-17,92,55.0,,0.55,50.6
2017-10-18,89,55.0,,0.55,48.95
2017-10-19,95,55.0,,0.55,52.25000000000001
2017-10-20,92,55.0,,0.55,50.6
2017-10-21,82,55.0,,0.55,45.1
2017-10-22,88,55.0,,0.55,48.400000000000006
2017-10-23,93,55.0,,0.55,51.150000000000006
2017-10-24,93,55.0,,0.55,51.150000000000006
2017-10-25,94,55.0,,0.55,51.7
2017-10-26,100,55.0,,0.55,55.00000000000001
2017-10-27,88,55.0,,0.55,48.400000000000006
2017-10-28,81,55.0,,0.55,44.550000000000004
2017-10-29,88,55.0,,0.55,48.400000000000006
2017-10-30,90,55.0,,0.55,49.50000000000001
2017-10-31,90,55.0,,0.55,49.50000000000001
2017-11-01,95,53.0,False,0.53,50.35
2017-11-02,94,53.0,,0.53,49.82
2017-11-03,92,53.0,,0.53,48.760000000000005
2017-11-04,82,53.0,,0.53,43.46
2017-11-05,84,53.0,,0.53,44.52
2017-11-06,99,53.0,,0.53,52.470000000000006
2017-11-07,91,53.0,,0.53,48.230000000000004
2017-11-08,94,53.0,,0.53,49.82
2017-11-09,91,53.0,,0.53,48.230000000000004
2017-11-10,95,53.0,,0.53,50.35
2017-11-11,97,53.0,,0.53,51.410000000000004
2017-11-12,84,53.0,,0.53,44.52
2017-11-13,90,53.0,,0.53,47.7
2017-11-14,88,53.0,,0.53,46.64
2017-11-15,100,53.0,,0.53,53.0
2017-11-16,88,53.0,,0.53,46.64
2017-11-17,92,53.0,,0.53,48.760000000000005
2017-11-18,80,53.0,,0.53,42.400000000000006
2017-11-19,92,53.0,,0.53,48.760000000000005
2017-11-20,81,53.0,,0.53,42.93
2017-11-21,87,53.0,,0.53,46.11
2017-11-22,88,53.0,,0.53,46.64
2017-11-23,74,53.0,,0.53,39.22
2017-11-24,79,53.0,,0.53,41.870000000000005
2017-11-25,78,53.0,,0.53,41.34
2017-11-26,87,53.0,,0.53,46.11
2017-11-27,86,53.0,,0.53,45.580000000000005
2017-11-28,89,53.0,,0.53,47.17
2017-11-29,92,53.0,,0.53,48.760000000000005
2017-11-30,91,53.0,,0.53,48.230000000000004
2017-12-01,95,55.0,False,0.55,52.25000000000001
