date,OI_unscaled,OI_monthly,isPartial,scale,OI
2016-06-19,68,86.0,,0.86,58.48
2016-06-20,52,86.0,,0.86,44.72
2016-06-21,100,86.0,,0.86,86.0
2016-06-22,89,86.0,,0.86,76.53999999999999
2016-06-23,73,86.0,,0.86,62.78
2016-06-24,56,86.0,,0.86,48.16
2016-06-25,63,86.0,,0.86,54.18
2016-06-26,60,86.0,,0.86,51.6
2016-06-27,77,86.0,,0.86,66.22
2016-06-28,76,86.0,,0.86,65.36
2016-06-29,75,86.0,,0.86,64.5
2016-06-30,73,86.0,,0.86,62.78
2016-07-01,56,82.0,False,0.82,45.919999999999995
2016-07-02,70,82.0,,0.82,57.4
2016-07-03,70,82.0,,0.82,57.4
2016-07-04,88,82.0,,0.82,72.16
2016-07-05,78,82.0,,0.82,63.959999999999994
2016-07-06,87,82.0,,0.82,71.33999999999999
2016-07-07,100,82.0,,0.82,82.0
2016-07-08,63,82.0,,0.82,51.66
2016-07-09,94,82.0,,0.82,77.08
2016-07-10,70,82.0,,0.82,57.4
2016-07-11,61,82.0,,0.82,50.019999999999996
2016-07-12,85,82.0,,0.82,69.7
2016-07-13,84,82.0,,0.82,68.88
2016-07-14,73,82.0,,0.82,59.86
2016-07-15,76,82.0,,0.82,62.31999999999999
2016-07-16,85,82.0,,0.82,69.7
2016-07-17,63,82.0,,0.82,51.66
2016-07-18,90,82.0,,0.82,73.8
2016-07-19,99,82.0,,0.82,81.17999999999999
2016-07-20,68,82.0,,0.82,55.76
2016-07-21,90,82.0,,0.82,73.8
2016-07-22,81,82.0,,0.82,66.42
2016-07-23,90,82.0,,0.82,73.8
2016-07-24,80,82.0,,0.82,65.6
2016-07-25,89,82.0,,0.82,72.97999999999999
2016-07-26,67,82.0,,0.82,54.94
2016-07-27,91,82.0,,0.82,74.61999999999999
2016-07-28,67,82.0,,0.82,54.94
2016-07-29,78,82.0,,0.82,63.959999999999994
2016-07-30,57,82.0,,0.82,46.739999999999995
2016-07-31,90,82.0,,0.82,73.8
2016-08-01,74,76.0,False,0.76,56.24
2016-08-02,78,76.0,,0.76,59.28
2016-08-03,67,76.0,,0.76,50.92
2016-08-04,100,76.0,,0.76,76.0
2016-08-05,82,76.0,,0.76,62.32
2016-08-06,56,76.0,,0.76,42.56
2016-08-07,80,76.0,,0.76,60.8
2016-08-08,72,76.0,,0.76,54.72
2016-08-09,90,76.0,,0.76,68.4
2016-08-10,95,76.0,,0.76,72.2
2016-08-11,72,76.0,,0.76,54.72
2016-08-12,90,76.0,,0.76,68.4
2016-08-13,88,76.0,,0.76,66.88
2016-08-14,85,76.0,,0.76,64.6
2016-08-15,83,76.0,,0.76,63.08
2016-08-16,72,76.0,,0.76,54.72
2016-08-17,81,76.0,,0.76,61.56
2016-08-18,79,76.0,,0.76,60.04
2016-08-19,73,76.0,,0.76,55.480000000000004
2016-08-20,58,76.0,,0.76,44.08
2016-08-21,78,76.0,,0.76,59.28
2016-08-22,73,76.0,,0.76,55.480000000000004
2016-08-23,66,76.0,,0.76,50.160000000000004
2016-08-24,64,76.0,,0.76,48.64
2016-08-25,79,76.0,,0.76,60.04
2016-08-26,85,76.0,,0.76,64.6
2016-08-27,70,76.0,,0.76,53.2
2016-08-28,63,76.0,,0.76,47.88
2016-08-29,79,76.0,,0.76,60.04
2016-08-30,63,76.0,,0.76,47.88
2016-08-31,77,76.0,,0.76,58.52
2016-09-01,75,80.0,False,0.8,60.0
2016-09-02,84,80.0,,0.8,67.2
2016-09-03,80,80.0,,0.8,64.0
2016-09-04,88,80.0,,0.8,70.4
2016-09-05,94,80.0,,0.8,75.2
2016-09-06,88,80.0,,0.8,70.4
2016-09-07,84,80.0,,0.8,67.2
2016-09-08,76,80.0,,0.8,60.800000000000004
2016-09-09,64,80.0,,0.8,51.2
2016-09-10,80,80.0,,0.8,64.0
2016-09-11,100,80.0,,0.8,80.0
2016-09-12,56,80.0,,0.8,44.800000000000004
2016-09-13,75,80.0,,0.8,60.0
2016-09-14,87,80.0,,0.8,69.60000000000001
2016-09-15,82,80.0,,0.8,65.60000000000001
2016-09-16,84,80.0,,0.8,67.2
2016-09-17,98,80.0,,0.8,78.4
2016-09-18,90,80.0,,0.8,72.0
2016-09-19,89,80.0,,0.8,71.2
2016-09-20,79,80.0,,0.8,63.2
2016-09-21,79,80.0,,0.8,63.2
2016-09-22,92,80.0,,0.8,73.60000000000001
2016-09-23,77,80.0,,0.8,61.6
2016-09-24,63,80.0,,0.8,50.400000000000006
2016-09-25,68,80.0,,0.8,54.400000000000006
2016-09-26,67,80.0,,0.8,53.6
2016-09-27,89,80.0,,0.8,71.2
2016-09-28,91,80.0,,0.8,72.8
2016-09-29,92,80.0,,0.8,73.60000000000001
2016-09-30,79,80.0,,0.8,63.2
2016-10-01,67,79.0,False,0.79,52.93
2016-10-02,67,79.0,,0.79,52.93
2016-10-03,67,79.0,,0.79,52.93
2016-10-04,78,79.0,,0.79,61.620000000000005
2016-10-05,68,79.0,,0.79,53.72
2016-10-06,73,79.0,,0.79,57.67
2016-10-07,62,79.0,,0.79,48.980000000000004
2016-10-08,70,79.0,,0.79,55.300000000000004
2016-10-09,85,79.0,,0.79,67.15
2016-10-10,64,79.0,,0.79,50.56
2016-10-11,83,79.0,,0.79,65.57000000000001
2016-10-12,89,79.0,,0.79,70.31
2016-10-13,100,79.0,,0.79,79.0
2016-10-14,87,79.0,,0.79,68.73
2016-10-15,74,79.0,,0.79,58.46
2016-10-16,88,79.0,,0.79,69.52000000000001
2016-10-17,72,79.0,,0.79,56.88
2016-10-18,83,79.0,,0.79,65.57000000000001
2016-10-19,96,79.0,,0.79,75.84
2016-10-20,64,79.0,,0.79,50.56
2016-10-21,83,79.0,,0.79,65.57000000000001
2016-10-22,79,79.0,,0.79,62.410000000000004
2016-10-23,64,79.0,,0.79,50.56
2016-10-24,57,79.0,,0.79,45.03
2016-10-25,85,79.0,,0.79,67.15
2016-10-26,82,79.0,,0.79,64.78
2016-10-27,87,79.0,,0.79,68.73
2016-10-28,86,79.0,,0.79,67.94
2016-10-29,67,79.0,,0.79,52.93
2016-10-30,78,79.0,,0.79,61.620000000000005
2016-10-31,83,79.0,,0.79,65.57000000000001
2016-11-01,78,70.0,False,0.7,54.599999999999994
2016-11-02,59,70.0,,0.7,41.3
2016-11-03,64,70.0,,0.7,44.8
2016-11-04,61,70.0,,0.7,42.699999999999996
2016-11-05,100,70.0,,0.7,70.0
2016-11-06,54,70.0,,0.7,37.8
2016-11-07,70,70.0,,0.7,49.0
2016-11-08,71,70.0,,0.7,49.699999999999996
2016-11-09,68,70.0,,0.7,47.599999999999994
2016-11-10,70,70.0,,0.7,49.0
2016-11-11,78,70.0,,0.7,54.599999999999994
2016-11-12,91,70.0,,0.7,63.699999999999996
2016-11-13,63,70.0,,0.7,44.099999999999994
2016-11-14,85,70.0,,0.7,59.49999999999999
2016-11-15,86,70.0,,0.7,60.199999999999996
2016-11-16,81,70.0,,0.7,56.699999999999996
2016-11-17,64,70.0,,0.7,44.8
2016-11-18,76,70.0,,0.7,53.199999999999996
2016-11-19,69,70.0,,0.7,48.3
2016-11-20,65,70.0,,0.7,45.5
2016-11-21,47,70.0,,0.7,32.9
2016-11-22,62,70.0,,0.7,43.4
2016-11-23,75,70.0,,0.7,52.5
2016-11-24,67,70.0,,0.7,46.9
2016-11-25,61,70.0,,0.7,42.699999999999996
2016-11-26,71,70.0,,0.7,49.699999999999996
2016-11-27,83,70.0,,0.7,58.099999999999994
2016-11-28,73,70.0,,0.7,51.099999999999994
2016-11-29,68,70.0,,0.7,47.599999999999994
2016-11-30,94,70.0,,0.7,65.8
2016-12-01,92,80.0,False,0.8,73.60000000000001
2016-12-02,83,80.0,,0.8,66.4
2016-12-03,85,80.0,,0.8,68.0
2016-12-04,71,80.0,,0.8,56.800000000000004
2016-12-05,87,80.0,,0.8,69.60000000000001
2016-12-06,80,80.0,,0.8,64.0
2016-12-07,67,80.0,,0.8,53.6
2016-12-08,63,80.0,,0.8,50.400000000000006
2016-12-09,69,80.0,,0.8,55.2
2016-12-10,61,80.0,,0.8,48.800000000000004
2016-12-11,65,80.0,,0.8,52.0
2016-12-12,86,80.0,,0.8,68.8
2016-12-13,68,80.0,,0.8,54.400000000000006
2016-12-14,90,80.0,,0.8,72.0
2016-12-15,100,80.0,,0.8,80.0
2016-12-16,97,80.0,,0.8,77.60000000000001
2016-12-17,78,80.0,,0.8,62.400000000000006
2016-12-18,71,80.0,,0.8,56.800000000000004
2016-12-19,82,80.0,,0.8,65.60000000000001
2016-12-20,89,80.0,,0.8,71.2
2016-12-21,72,80.0,,0.8,57.6
2016-12-22,58,80.0,,0.8,46.400000000000006
2016-12-23,85,80.0,,0.8,68.0
2016-12-24,83,80.0,,0.8,66.4
2016-12-25,86,80.0,,0.8,68.8
2016-12-26,87,80.0,,0.8,69.60000000000001
2016-12-27,63,80.0,,0.8,50.400000000000006
2016-12-28,72,80.0,,0.8,57.6
2016-12-29,79,80.0,,0.8,63.2
2016-12-30,80,80.0,,0.8,64.0
2016-12-31,61,80.0,,0.8,48.800000000000004
2017-01-01,81,82.0,False,0.82,66.42
2017-01-02,81,82.0,,0.82,66.42
2017-01-03,74,82.0,,0.82,60.68
2017-01-04,72,82.0,,0.82,59.04
2017-01-05,81,82.0,,0.82,66.42
2017-01-06,73,82.0,,0.82,59.86
2017-01-07,79,82.0,,0.82,64.78
2017-01-08,67,82.0,,0.82,54.94
2017-01-09,80,82.0,,0.82,65.6
2017-01-10,81,82.0,,0.82,66.42
2017-01-11,78,82.0,,0.82,63.959999999999994
2017-01-12,73,82.0,,0.82,59.86
2017-01-13,79,82.0,,0.82,64.78
2017-01-14,100,82.0,,0.82,82.0
2017-01-15,74,82.0,,0.82,60.68
2017-01-16,72,82.0,,0.82,59.04
2017-01-17,72,82.0,,0.82,59.04
2017-01-18,89,82.0,,0.82,72.97999999999999
2017-01-19,76,82.0,,0.82,62.31999999999999
2017-01-20,68,82.0,,0.82,55.76
2017-01-21,76,82.0,,0.82,62.31999999999999
2017-01-22,64,82.0,,0.82,52.48
2017-01-23,73,82.0,,0.82,59.86
2017-01-24,82,82.0,,0.82,67.24
2017-01-25,79,82.0,,0.82,64.78
2017-01-26,82,82.0,,0.82,67.24
2017-01-27,87,82.0,,0.82,71.33999999999999
2017-01-28,73,82.0,,0.82,59.86
2017-01-29,67,82.0,,0.82,54.94
2017-01-30,82,82.0,,0.82,67.24
2017-01-31,83,82.0,,0.82,68.06
2017-02-01,81,81.0,False,0.81,65.61
2017-02-02,76,81.0,,0.81,61.56
2017-02-03,100,81.0,,0.81,81.0
2017-02-04,71,81.0,,0.81,57.510000000000005
2017-02-05,80,81.0,,0.81,64.80000000000001
2017-02-06,69,81.0,,0.81,55.89
2017-02-07,80,81.0,,0.81,64.80000000000001
2017-02-08,61,81.0,,0.81,49.410000000000004
2017-02-09,76,81.0,,0.81,61.56
2017-02-10,71,81.0,,0.81,57.510000000000005
2017-02-11,55,81.0,,0.81,44.550000000000004
2017-02-12,67,81.0,,0.81,54.27
2017-02-13,73,81.0,,0.81,59.13
2017-02-14,75,81.0,,0.81,60.75000000000001
2017-02-15,67,81.0,,0.81,54.27
2017-02-16,83,81.0,,0.81,67.23
2017-02-17,82,81.0,,0.81,66.42
2017-02-18,68,81.0,,0.81,55.080000000000005
2017-02-19,72,81.0,,0.81,58.32000000000001
2017-02-20,59,81.0,,0.81,47.790000000000006
2017-02-21,82,81.0,,0.81,66.42
2017-02-22,89,81.0,,0.81,72.09
2017-02-23,73,81.0,,0.81,59.13
2017-02-24,76,81.0,,0.81,61.56
2017-02-25,80,81.0,,0.81,64.80000000000001
2017-02-26,72,81.0,,0.81,58.32000000000001
2017-02-27,79,81.0,,0.81,63.99
2017-02-28,73,81.0,,0.81,59.13
2017-03-01,61,87.0,False,0.87,53.07
2017-03-02,74,87.0,,0.87,64.38
2017-03-03,76,87.0,,0.87,66.12
2017-03-04,76,87.0,,0.87,66.12
2017-03-05,85,87.0,,0.87,73.95
2017-03-06,79,87.0,,0.87,68.73
2017-03-07,91,87.0,,0.87,79.17
2017-03-08,79,87.0,,0.87,68.73
2017-03-09,90,87.0,,0.87,78.3
2017-03-10,86,87.0,,0.87,74.82
2017-03-11,80,87.0,,0.87,69.6
2017-03-12,78,87.0,,0.87,67.86
2017-03-13,76,87.0,,0.87,66.12
2017-03-14,100,87.0,,0.87,87.0
2017-03-15,80,87.0,,0.87,69.6
2017-03-16,87,87.0,,0.87,75.69
2017-03-17,79,87.0,,0.87,68.73
2017-03-18,89,87.0,,0.87,77.42999999999999
2017-03-19,87,87.0,,0.87,75.69
2017-03-20,88,87.0,,0.87,76.56
2017-03-21,70,87.0,,0.87,60.9
2017-03-22,98,87.0,,0.87,85.26
2017-03-23,96,87.0,,0.87,83.52
2017-03-24,73,87.0,,0.87,63.51
2017-03-25,72,87.0,,0.87,62.64
2017-03-26,46,87.0,,0.87,40.02
2017-03-27,88,87.0,,0.87,76.56
2017-03-28,87,87.0,,0.87,75.69
2017-03-29,76,87.0,,0.87,66.12
2017-03-30,87,87.0,,0.87,75.69
2017-03-31,93,87.0,,0.87,80.91
2017-04-01,84,85.0,False,0.85,71.39999999999999
2017-04-02,78,85.0,,0.85,66.3
2017-04-03,66,85.0,,0.85,56.1
2017-04-04,78,85.0,,0.85,66.3
2017-04-05,69,85.0,,0.85,58.65
2017-04-06,86,85.0,,0.85,73.1
2017-04-07,74,85.0,,0.85,62.9
2017-04-08,66,85.0,,0.85,56.1
2017-04-09,52,85.0,,0.85,44.199999999999996
2017-04-10,80,85.0,,0.85,68.0
2017-04-11,75,85.0,,0.85,63.75
2017-04-12,70,85.0,,0.85,59.5
2017-04-13,60,85.0,,0.85,51.0
2017-04-14,62,85.0,,0.85,52.699999999999996
2017-04-15,52,85.0,,0.85,44.199999999999996
2017-04-16,74,85.0,,0.85,62.9
2017-04-17,66,85.0,,0.85,56.1
2017-04-18,67,85.0,,0.85,56.949999999999996
2017-04-19,71,85.0,,0.85,60.35
2017-04-20,78,85.0,,0.85,66.3
2017-04-21,100,85.0,,0.85,85.0
2017-04-22,67,85.0,,0.85,56.949999999999996
2017-04-23,64,85.0,,0.85,54.4
2017-04-24,82,85.0,,0.85,69.7
2017-04-25,72,85.0,,0.85,61.199999999999996
2017-04-26,72,85.0,,0.85,61.199999999999996
2017-04-27,63,85.0,,0.85,53.55
2017-04-28,90,85.0,,0.85,76.5
2017-04-29,74,85.0,,0.85,62.9
2017-04-30,59,85.0,,0.85,50.15
2017-05-01,89,85.0,False,0.85,75.64999999999999
2017-05-02,96,85.0,,0.85,81.6
2017-05-03,70,85.0,,0.85,59.5
2017-05-04,87,85.0,,0.85,73.95
2017-05-05,68,85.0,,0.85,57.8
2017-05-06,77,85.0,,0.85,65.45
2017-05-07,74,85.0,,0.85,62.9
2017-05-08,75,85.0,,0.85,63.75
2017-05-09,92,85.0,,0.85,78.2
2017-05-10,84,85.0,,0.85,71.39999999999999
2017-05-11,78,85.0,,0.85,66.3
2017-05-12,91,85.0,,0.85,77.35
2017-05-13,77,85.0,,0.85,65.45
2017-05-14,100,85.0,,0.85,85.0
2017-05-15,71,85.0,,0.85,60.35
2017-05-16,80,85.0,,0.85,68.0
2017-05-17,69,85.0,,0.85,58.65
2017-05-18,73,85.0,,0.85,62.05
2017-05-19,71,85.0,,0.85,60.35
2017-05-20,71,85.0,,0.85,60.35
2017-05-21,64,85.0,,0.85,54.4
2017-05-22,73,85.0,,0.85,62.05
2017-05-23,64,85.0,,0.85,54.4
2017-05-24,64,85.0,,0.85,54.4
2017-05-25,80,85.0,,0.85,68.0
2017-05-26,79,85.0,,0.85,67.14999999999999
2017-05-27,92,85.0,,0.85,78.2
2017-05-28,69,85.0,,0.85,58.65
2017-05-29,86,85.0,,0.85,73.1
2017-05-30,73,85.0,,0.85,62.05
2017-05-31,67,85.0,,0.85,56.949999999999996
2017-06-01,75,78.0,False,0.78,58.5
2017-06-02,83,78.0,,0.78,64.74000000000001
2017-06-03,70,78.0,,0.78,54.6
2017-06-04,88,78.0,,0.78,68.64
2017-06-05,90,78.0,,0.78,70.2
2017-06-06,79,78.0,,0.78,61.620000000000005
2017-06-07,83,78.0,,0.78,64.74000000000001
2017-06-08,84,78.0,,0.78,65.52
2017-06-09,61,78.0,,0.78,47.58
2017-06-10,67,78.0,,0.78,52.260000000000005
2017-06-11,81,78.0,,0.78,63.18
2017-06-12,89,78.0,,0.78,69.42
2017-06-13,61,78.0,,0.78,47.58
2017-06-14,88,78.0,,0.78,68.64
2017-06-15,70,78.0,,0.78,54.6
2017-06-16,70,78.0,,0.78,54.6
2017-06-17,80,78.0,,0.78,62.400000000000006
2017-06-18,67,78.0,,0.78,52.260000000000005
2017-06-19,80,78.0,,0.78,62.400000000000006
2017-06-20,100,78.0,,0.78,78.0
2017-06-21,72,78.0,,0.78,56.160000000000004
2017-06-22,77,78.0,,0.78,60.06
2017-06-23,90,78.0,,0.78,70.2
2017-06-24,90,78.0,,0.78,70.2
2017-06-25,92,78.0,,0.78,71.76
2017-06-26,63,78.0,,0.78,49.14
2017-06-27,79,78.0,,0.78,61.620000000000005
2017-06-28,95,78.0,,0.78,74.10000000000001
2017-06-29,82,78.0,,0.78,63.96
2017-06-30,66,78.0,,0.78,51.480000000000004
2017-07-01,73,74.0,False,0.74,54.019999999999996
2017-07-02,63,74.0,,0.74,46.62
2017-07-03,65,74.0,,0.74,48.1
2017-07-04,96,74.0,,0.74,71.03999999999999
2017-07-05,77,74.0,,0.74,56.98
2017-07-06,97,74.0,,0.74,71.78
2017-07-07,77,74.0,,0.74,56.98
2017-07-08,66,74.0,,0.74,48.839999999999996
2017-07-09,73,74.0,,0.74,54.019999999999996
2017-07-10,73,74.0,,0.74,54.019999999999996
2017-07-11,85,74.0,,0.74,62.9
2017-07-12,92,74.0,,0.74,68.08
2017-07-13,84,74.0,,0.74,62.16
2017-07-14,73,74.0,,0.74,54.019999999999996
2017-07-15,88,74.0,,0.74,65.12
2017-07-16,70,74.0,,0.74,51.8
2017-07-17,75,74.0,,0.74,55.5
2017-07-18,100,74.0,,0.74,74.0
2017-07-19,74,74.0,,0.74,54.76
2017-07-20,78,74.0,,0.74,57.72
2017-07-21,95,74.0,,0.74,70.3
2017-07-22,80,74.0,,0.74,59.2
2017-07-23,71,74.0,,0.74,52.54
2017-07-24,57,74.0,,0.74,42.18
2017-07-25,91,74.0,,0.74,67.34
2017-07-26,83,74.0,,0.74,61.42
2017-07-27,97,74.0,,0.74,71.78
2017-07-28,66,74.0,,0.74,48.839999999999996
2017-07-29,85,74.0,,0.74,62.9
2017-07-30,59,74.0,,0.74,43.66
2017-07-31,69,74.0,,0.74,51.06
2017-08-01,45,76.0,False,0.76,34.2
2017-08-02,44,76.0,,0.76,33.44
2017-08-03,40,76.0,,0.76,30.4
2017-08-04,45,76.0,,0.76,34.2
2017-08-05,100,76.0,,0.76,76.0
2017-08-06,39,76.0,,0.76,29.64
2017-08-07,46,76.0,,0.76,34.96
2017-08-08,47,76.0,,0.76,35.72
2017-08-09,44,76.0,,0.76,33.44
2017-08-10,57,76.0,,0.76,43.32
2017-08-11,51,76.0,,0.76,38.76
2017-08-12,46,76.0,,0.76,34.96
2017-08-13,44,76.0,,0.76,33.44
2017-08-14,46,76.0,,0.76,34.96
2017-08-15,55,76.0,,0.76,41.8
2017-08-16,55,76.0,,0.76,41.8
2017-08-17,50,76.0,,0.76,38.0
2017-08-18,49,76.0,,0.76,37.24
2017-08-19,52,76.0,,0.76,39.52
2017-08-20,42,76.0,,0.76,31.92
2017-08-21,36,76.0,,0.76,27.36
2017-08-22,42,76.0,,0.76,31.92
2017-08-23,39,76.0,,0.76,29.64
2017-08-24,55,76.0,,0.76,41.8
2017-08-25,38,76.0,,0.76,28.88
2017-08-26,46,76.0,,0.76,34.96
2017-08-27,49,76.0,,0.76,37.24
2017-08-28,34,76.0,,0.76,25.84
2017-08-29,35,76.0,,0.76,26.6
2017-08-30,49,76.0,,0.76,37.24
2017-08-31,50,76.0,,0.76,38.0
2017-09-01,77,73.0,False,0.73,56.21
2017-09-02,76,73.0,,0.73,55.48
2017-09-03,84,73.0,,0.73,61.32
2017-09-04,82,73.0,,0.73,59.86
2017-09-05,91,73.0,,0.73,66.42999999999999
2017-09-06,72,73.0,,0.73,52.56
2017-09-07,75,73.0,,0.73,54.75
2017-09-08,63,73.0,,0.73,45.99
2017-09-09,86,73.0,,0.73,62.78
2017-09-10,83,73.0,,0.73,60.589999999999996
2017-09-11,81,73.0,,0.73,59.129999999999995
2017-09-12,77,73.0,,0.73,56.21
2017-09-13,78,73.0,,0.73,56.94
2017-09-14,79,73.0,,0.73,57.67
2017-09-15,93,73.0,,0.73,67.89
2017-09-16,84,73.0,,0.73,61.32
2017-09-17,71,73.0,,0.73,51.83
2017-09-18,81,73.0,,0.73,59.129999999999995
2017-09-19,87,73.0,,0.73,63.51
2017-09-20,88,73.0,,0.73,64.24
2017-09-21,100,73.0,,0.73,73.0
2017-09-22,98,73.0,,0.73,71.53999999999999
2017-09-23,84,73.0,,0.73,61.32
2017-09-24,85,73.0,,0.73,62.05
2017-09-25,76,73.0,,0.73,55.48
2017-09-26,93,73.0,,0.73,67.89
2017-09-27,95,73.0,,0.73,69.35
2017-09-28,92,73.0,,0.73,67.16
2017-09-29,83,73.0,,0.73,60.589999999999996
2017-09-30,64,73.0,,0.73,46.72
2017-10-01,77,77.0,False,0.77,59.29
2017-10-02,57,77.0,,0.77,43.89
2017-10-03,83,77.0,,0.77,63.910000000000004
2017-10-04,77,77.0,,0.77,59.29
2017-10-05,61,77.0,,0.77,46.97
2017-10-06,88,77.0,,0.77,67.76
2017-10-07,58,77.0,,0.77,44.660000000000004
2017-10-08,76,77.0,,0.77,58.52
2017-10-09,57,77.0,,0.77,43.89
2017-10-10,73,77.0,,0.77,56.21
2017-10-11,68,77.0,,0.77,52.36
2017-10-12,62,77.0,,0.77,47.74
2017-10-13,65,77.0,,0.77,50.050000000000004
2017-10-14,63,77.0,,0.77,48.51
2017-10-15,62,77.0,,0.77,47.74
2017-10-16,52,77.0,,0.77,40.04
2017-10-17,59,77.0,,0.77,45.43
2017-10-18,58,77.0,,0.77,44.660000000000004
2017-10-19,100,77.0,,0.77,77.0
2017-10-20,82,77.0,,0.77,63.14
2017-10-21,70,77.0,,0.77,53.9
2017-10-22,74,77.0,,0.77,56.980000000000004
2017-10-23,84,77.0,,0.77,64.68
2017-10-24,68,77.0,,0.77,52.36
2017-10-25,79,77.0,,0.77,60.83
2017-10-26,58,77.0,,0.77,44.660000000000004
2017-10-27,81,77.0,,0.77,62.370000000000005
2017-10-28,72,77.0,,0.77,55.44
2017-10-29,72,77.0,,0.77,55.44
2017-10-30,65,77.0,,0.77,50.050000000000004
2017-10-31,70,77.0,,0.77,53.9
2017-11-01,76,78.0,False,0.78,59.28
2017-11-02,63,78.0,,0.78,49.14
2017-11-03,67,78.0,,0.78,52.260000000000005
2017-11-04,80,78.0,,0.78,62.400000000000006
2017-11-05,77,78.0,,0.78,60.06
2017-11-06,69,78.0,,0.78,53.82
2017-11-07,76,78.0,,0.78,59.28
2017-11-08,85,78.0,,0.78,66.3
2017-11-09,73,78.0,,0.78,56.940000000000005
2017-11-10,83,78.0,,0.78,64.74000000000001
2017-11-11,71,78.0,,0.78,55.38
2017-11-12,100,78.0,,0.78,78.0
2017-11-13,75,78.0,,0.78,58.5
2017-11-14,75,78.0,,0.78,58.5
2017-11-15,84,78.0,,0.78,65.52
2017-11-16,85,78.0,,0.78,66.3
2017-11-17,82,78.0,,0.78,63.96
2017-11-18,53,78.0,,0.78,41.34
2017-11-19,96,78.0,,0.78,74.88
2017-11-20,72,78.0,,0.78,56.160000000000004
2017-11-21,68,78.0,,0.78,53.04
2017-11-22,88,78.0,,0.78,68.64
2017-11-23,77,78.0,,0.78,60.06
2017-11-24,76,78.0,,0.78,59.28
2017-11-25,57,78.0,,0.78,44.46
2017-11-26,68,78.0,,0.78,53.04
2017-11-27,60,78.0,,0.78,46.800000000000004
2017-11-28,80,78.0,,0.78,62.400000000000006
2017-11-29,77,78.0,,0.78,60.06
2017-11-30,86,78.0,,0.78,67.08
2017-12-01,93,76.0,False,0.76,70.68
2017-12-02,77,76.0,,0.76,58.52
2017-12-03,72,76.0,,0.76,54.72
2017-12-04,75,76.0,,0.76,57.0
2017-12-05,94,76.0,,0.76,71.44
2017-12-06,92,76.0,,0.76,69.92
2017-12-07,76,76.0,,0.76,57.76
2017-12-08,91,76.0,,0.76,69.16
2017-12-09,90,76.0,,0.76,68.4
2017-12-10,72,76.0,,0.76,54.72
2017-12-11,92,76.0,,0.76,69.92
2017-12-12,78,76.0,,0.76,59.28
2017-12-13,98,76.0,,0.76,74.48
2017-12-14,94,76.0,,0.76,71.44
2017-12-15,95,76.0,,0.76,72.2
2017-12-16,96,76.0,,0.76,72.96000000000001
2017-12-17,100,76.0,,0.76,76.0
2017-12-18,77,76.0,,0.76,58.52
2017-12-19,89,76.0,,0.76,67.64
2017-12-20,91,76.0,,0.76,69.16
2017-12-21,91,76.0,,0.76,69.16
2017-12-22,70,76.0,,0.76,53.2
2017-12-23,77,76.0,,0.76,58.52
2017-12-24,86,76.0,,0.76,65.36
2017-12-25,72,76.0,,0.76,54.72
2017-12-26,92,76.0,,0.76,69.92
2017-12-27,99,76.0,,0.76,75.24
2017-12-28,89,76.0,,0.76,67.64
2017-12-29,89,76.0,,0.76,67.64
