date,ULTA_unscaled,ULTA_monthly,isPartial,scale,ULTA
2016-10-16,83,45.0,,0.45,37.35
2016-10-17,61,45.0,,0.45,27.45
2016-10-18,59,45.0,,0.45,26.55
2016-10-19,62,45.0,,0.45,27.900000000000002
2016-10-20,64,45.0,,0.45,28.8
2016-10-21,70,45.0,,0.45,31.5
2016-10-22,88,45.0,,0.45,39.6
2016-10-23,86,45.0,,0.45,38.7
2016-10-24,64,45.0,,0.45,28.8
2016-10-25,59,45.0,,0.45,26.55
2016-10-26,59,45.0,,0.45,26.55
2016-10-27,58,45.0,,0.45,26.1
2016-10-28,67,45.0,,0.45,30.150000000000002
2016-10-29,92,45.0,,0.45,41.4
2016-10-30,79,45.0,,0.45,35.550000000000004
2016-10-31,52,45.0,,0.45,23.400000000000002
2016-11-01,14,69.0,False,0.69,9.66
2016-11-02,15,69.0,,0.69,10.35
2016-11-03,14,69.0,,0.69,9.66
2016-11-04,18,69.0,,0.69,12.419999999999998
2016-11-05,23,69.0,,0.69,15.87
2016-11-06,24,69.0,,0.69,16.56
2016-11-07,15,69.0,,0.69,10.35
2016-11-08,15,69.0,,0.69,10.35
2016-11-09,10,69.0,,0.69,6.8999999999999995
2016-11-10,16,69.0,,0.69,11.04
2016-11-11,20,69.0,,0.69,13.799999999999999
2016-11-12,24,69.0,,0.69,16.56
2016-11-13,26,69.0,,0.69,17.939999999999998
2016-11-14,18,69.0,,0.69,12.419999999999998
2016-11-15,17,69.0,,0.69,11.729999999999999
2016-11-16,19,69.0,,0.69,13.11
2016-11-17,19,69.0,,0.69,13.11
2016-11-18,24,69.0,,0.69,16.56
2016-11-19,30,69.0,,0.69,20.7
2016-11-20,30,69.0,,0.69,20.7
2016-11-21,24,69.0,,0.69,16.56
2016-11-22,26,69.0,,0.69,17.939999999999998
2016-11-23,31,69.0,,0.69,21.389999999999997
2016-11-24,55,69.0,,0.69,37.949999999999996
2016-11-25,100,69.0,,0.69,69.0
2016-11-26,41,69.0,,0.69,28.29
2016-11-27,31,69.0,,0.69,21.389999999999997
2016-11-28,39,69.0,,0.69,26.909999999999997
2016-11-29,29,69.0,,0.69,20.009999999999998
2016-11-30,20,69.0,,0.69,13.799999999999999
2016-12-01,40,80.0,False,0.8,32.0
2016-12-02,56,80.0,,0.8,44.800000000000004
2016-12-03,64,80.0,,0.8,51.2
2016-12-04,59,80.0,,0.8,47.2
2016-12-05,43,80.0,,0.8,34.4
2016-12-06,46,80.0,,0.8,36.800000000000004
2016-12-07,47,80.0,,0.8,37.6
2016-12-08,43,80.0,,0.8,34.4
2016-12-09,52,80.0,,0.8,41.6
2016-12-10,64,80.0,,0.8,51.2
2016-12-11,64,80.0,,0.8,51.2
2016-12-12,51,80.0,,0.8,40.800000000000004
2016-12-13,50,80.0,,0.8,40.0
2016-12-14,55,80.0,,0.8,44.0
2016-12-15,54,80.0,,0.8,43.2
2016-12-16,56,80.0,,0.8,44.800000000000004
2016-12-17,73,80.0,,0.8,58.400000000000006
2016-12-18,78,80.0,,0.8,62.400000000000006
2016-12-19,63,80.0,,0.8,50.400000000000006
2016-12-20,70,80.0,,0.8,56.0
2016-12-21,73,80.0,,0.8,58.400000000000006
2016-12-22,78,80.0,,0.8,62.400000000000006
2016-12-23,96,80.0,,0.8,76.80000000000001
2016-12-24,100,80.0,,0.8,80.0
2016-12-25,55,80.0,,0.8,44.0
2016-12-26,85,80.0,,0.8,68.0
2016-12-27,65,80.0,,0.8,52.0
2016-12-28,58,80.0,,0.8,46.400000000000006
2016-12-29,53,80.0,,0.8,42.400000000000006
2016-12-30,60,80.0,,0.8,48.0
2016-12-31,63,80.0,,0.8,50.400000000000006
2017-01-01,99,48.0,False,0.48,47.519999999999996
2017-01-02,100,48.0,,0.48,48.0
2017-01-03,79,48.0,,0.48,37.92
2017-01-04,79,48.0,,0.48,37.92
2017-01-05,78,48.0,,0.48,37.44
2017-01-06,78,48.0,,0.48,37.44
2017-01-07,91,48.0,,0.48,43.68
2017-01-08,99,48.0,,0.48,47.519999999999996
2017-01-09,66,48.0,,0.48,31.68
2017-01-10,62,48.0,,0.48,29.759999999999998
2017-01-11,63,48.0,,0.48,30.24
2017-01-12,65,48.0,,0.48,31.2
2017-01-13,81,48.0,,0.48,38.879999999999995
2017-01-14,99,48.0,,0.48,47.519999999999996
2017-01-15,93,48.0,,0.48,44.64
2017-01-16,82,48.0,,0.48,39.36
2017-01-17,59,48.0,,0.48,28.32
2017-01-18,61,48.0,,0.48,29.279999999999998
2017-01-19,62,48.0,,0.48,29.759999999999998
2017-01-20,67,48.0,,0.48,32.16
2017-01-21,92,48.0,,0.48,44.16
2017-01-22,92,48.0,,0.48,44.16
2017-01-23,61,48.0,,0.48,29.279999999999998
2017-01-24,62,48.0,,0.48,29.759999999999998
2017-01-25,61,48.0,,0.48,29.279999999999998
2017-01-26,68,48.0,,0.48,32.64
2017-01-27,74,48.0,,0.48,35.519999999999996
2017-01-28,98,48.0,,0.48,47.04
2017-01-29,96,48.0,,0.48,46.08
2017-01-30,57,48.0,,0.48,27.36
2017-01-31,58,48.0,,0.48,27.84
2017-02-01,60,45.0,False,0.45,27.0
2017-02-02,59,45.0,,0.45,26.55
2017-02-03,73,45.0,,0.45,32.85
2017-02-04,94,45.0,,0.45,42.300000000000004
2017-02-05,87,45.0,,0.45,39.15
2017-02-06,51,45.0,,0.45,22.95
2017-02-07,59,45.0,,0.45,26.55
2017-02-08,58,45.0,,0.45,26.1
2017-02-09,66,45.0,,0.45,29.7
2017-02-10,71,45.0,,0.45,31.95
2017-02-11,98,45.0,,0.45,44.1
2017-02-12,98,45.0,,0.45,44.1
2017-02-13,68,45.0,,0.45,30.6
2017-02-14,69,45.0,,0.45,31.05
2017-02-15,63,45.0,,0.45,28.35
2017-02-16,63,45.0,,0.45,28.35
2017-02-17,79,45.0,,0.45,35.550000000000004
2017-02-18,98,45.0,,0.45,44.1
2017-02-19,95,45.0,,0.45,42.75
2017-02-20,78,45.0,,0.45,35.1
2017-02-21,62,45.0,,0.45,27.900000000000002
2017-02-22,63,45.0,,0.45,28.35
2017-02-23,66,45.0,,0.45,29.7
2017-02-24,77,45.0,,0.45,34.65
2017-02-25,100,45.0,,0.45,45.0
2017-02-26,92,45.0,,0.45,41.4
2017-02-27,63,45.0,,0.45,28.35
2017-02-28,62,45.0,,0.45,27.900000000000002
2017-03-01,48,51.0,False,0.51,24.48
2017-03-02,52,51.0,,0.51,26.52
2017-03-03,56,51.0,,0.51,28.560000000000002
2017-03-04,71,51.0,,0.51,36.21
2017-03-05,69,51.0,,0.51,35.19
2017-03-06,46,51.0,,0.51,23.46
2017-03-07,43,51.0,,0.51,21.93
2017-03-08,45,51.0,,0.51,22.95
2017-03-09,52,51.0,,0.51,26.52
2017-03-10,58,51.0,,0.51,29.580000000000002
2017-03-11,67,51.0,,0.51,34.17
2017-03-12,72,51.0,,0.51,36.72
2017-03-13,53,51.0,,0.51,27.03
2017-03-14,50,51.0,,0.51,25.5
2017-03-15,54,51.0,,0.51,27.54
2017-03-16,56,51.0,,0.51,28.560000000000002
2017-03-17,60,51.0,,0.51,30.6
2017-03-18,75,51.0,,0.51,38.25
2017-03-19,100,51.0,,0.51,51.0
2017-03-20,66,51.0,,0.51,33.660000000000004
2017-03-21,59,51.0,,0.51,30.09
2017-03-22,63,51.0,,0.51,32.13
2017-03-23,64,51.0,,0.51,32.64
2017-03-24,63,51.0,,0.51,32.13
2017-03-25,84,51.0,,0.51,42.84
2017-03-26,85,51.0,,0.51,43.35
2017-03-27,56,51.0,,0.51,28.560000000000002
2017-03-28,59,51.0,,0.51,30.09
2017-03-29,59,51.0,,0.51,30.09
2017-03-30,60,51.0,,0.51,30.6
2017-03-31,69,51.0,,0.51,35.19
2017-04-01,76,49.0,False,0.49,37.24
2017-04-02,76,49.0,,0.49,37.24
2017-04-03,46,49.0,,0.49,22.54
2017-04-04,45,49.0,,0.49,22.05
2017-04-05,43,49.0,,0.49,21.07
2017-04-06,47,49.0,,0.49,23.03
2017-04-07,53,49.0,,0.49,25.97
2017-04-08,100,49.0,,0.49,49.0
2017-04-09,68,49.0,,0.49,33.32
2017-04-10,41,49.0,,0.49,20.09
2017-04-11,39,49.0,,0.49,19.11
2017-04-12,39,49.0,,0.49,19.11
2017-04-13,42,49.0,,0.49,20.58
2017-04-14,55,49.0,,0.49,26.95
2017-04-15,61,49.0,,0.49,29.89
2017-04-16,59,49.0,,0.49,28.91
2017-04-17,40,49.0,,0.49,19.6
2017-04-18,38,49.0,,0.49,18.62
2017-04-19,41,49.0,,0.49,20.09
2017-04-20,47,49.0,,0.49,23.03
2017-04-21,52,49.0,,0.49,25.48
2017-04-22,64,49.0,,0.49,31.36
2017-04-23,60,49.0,,0.49,29.4
2017-04-24,39,49.0,,0.49,19.11
2017-04-25,39,49.0,,0.49,19.11
2017-04-26,41,49.0,,0.49,20.09
2017-04-27,40,49.0,,0.49,19.6
2017-04-28,44,49.0,,0.49,21.56
2017-04-29,57,49.0,,0.49,27.93
2017-04-30,58,49.0,,0.49,28.419999999999998
2017-05-01,61,49.0,False,0.49,29.89
2017-05-02,54,49.0,,0.49,26.46
2017-05-03,60,49.0,,0.49,29.4
2017-05-04,64,49.0,,0.49,31.36
2017-05-05,64,49.0,,0.49,31.36
2017-05-06,80,49.0,,0.49,39.2
2017-05-07,84,49.0,,0.49,41.16
2017-05-08,65,49.0,,0.49,31.849999999999998
2017-05-09,62,49.0,,0.49,30.38
2017-05-10,66,49.0,,0.49,32.339999999999996
2017-05-11,66,49.0,,0.49,32.339999999999996
2017-05-12,75,49.0,,0.49,36.75
2017-05-13,100,49.0,,0.49,49.0
2017-05-14,96,49.0,,0.49,47.04
2017-05-15,59,49.0,,0.49,28.91
2017-05-16,59,49.0,,0.49,28.91
2017-05-17,59,49.0,,0.49,28.91
2017-05-18,59,49.0,,0.49,28.91
2017-05-19,67,49.0,,0.49,32.83
2017-05-20,88,49.0,,0.49,43.12
2017-05-21,85,49.0,,0.49,41.65
2017-05-22,57,49.0,,0.49,27.93
2017-05-23,55,49.0,,0.49,26.95
2017-05-24,56,49.0,,0.49,27.439999999999998
2017-05-25,61,49.0,,0.49,29.89
2017-05-26,74,49.0,,0.49,36.26
2017-05-27,79,49.0,,0.49,38.71
2017-05-28,80,49.0,,0.49,39.2
2017-05-29,81,49.0,,0.49,39.69
2017-05-30,59,49.0,,0.49,28.91
2017-05-31,61,49.0,,0.49,29.89
2017-06-01,81,48.0,False,0.48,38.879999999999995
2017-06-02,82,48.0,,0.48,39.36
2017-06-03,97,48.0,,0.48,46.559999999999995
2017-06-04,96,48.0,,0.48,46.08
2017-06-05,75,48.0,,0.48,36.0
2017-06-06,70,48.0,,0.48,33.6
2017-06-07,68,48.0,,0.48,32.64
2017-06-08,73,48.0,,0.48,35.04
2017-06-09,81,48.0,,0.48,38.879999999999995
2017-06-10,86,48.0,,0.48,41.28
2017-06-11,85,48.0,,0.48,40.8
2017-06-12,68,48.0,,0.48,32.64
2017-06-13,67,48.0,,0.48,32.16
2017-06-14,70,48.0,,0.48,33.6
2017-06-15,69,48.0,,0.48,33.12
2017-06-16,81,48.0,,0.48,38.879999999999995
2017-06-17,85,48.0,,0.48,40.8
2017-06-18,80,48.0,,0.48,38.4
2017-06-19,69,48.0,,0.48,33.12
2017-06-20,65,48.0,,0.48,31.2
2017-06-21,78,48.0,,0.48,37.44
2017-06-22,82,48.0,,0.48,39.36
2017-06-23,86,48.0,,0.48,41.28
2017-06-24,92,48.0,,0.48,44.16
2017-06-25,93,48.0,,0.48,44.64
2017-06-26,72,48.0,,0.48,34.56
2017-06-27,74,48.0,,0.48,35.519999999999996
2017-06-28,80,48.0,,0.48,38.4
2017-06-29,87,48.0,,0.48,41.76
2017-06-30,100,48.0,,0.48,48.0
2017-07-01,62,53.0,False,0.53,32.86
2017-07-02,61,53.0,,0.53,32.33
2017-07-03,49,53.0,,0.53,25.970000000000002
2017-07-04,51,53.0,,0.53,27.03
2017-07-05,40,53.0,,0.53,21.200000000000003
2017-07-06,47,53.0,,0.53,24.91
2017-07-07,52,53.0,,0.53,27.560000000000002
2017-07-08,54,53.0,,0.53,28.62
2017-07-09,54,53.0,,0.53,28.62
2017-07-10,42,53.0,,0.53,22.26
2017-07-11,42,53.0,,0.53,22.26
2017-07-12,43,53.0,,0.53,22.790000000000003
2017-07-13,41,53.0,,0.53,21.73
2017-07-14,49,53.0,,0.53,25.970000000000002
2017-07-15,52,53.0,,0.53,27.560000000000002
2017-07-16,54,53.0,,0.53,28.62
2017-07-17,41,53.0,,0.53,21.73
2017-07-18,44,53.0,,0.53,23.32
2017-07-19,41,53.0,,0.53,21.73
2017-07-20,47,53.0,,0.53,24.91
2017-07-21,50,53.0,,0.53,26.5
2017-07-22,55,53.0,,0.53,29.150000000000002
2017-07-23,59,53.0,,0.53,31.270000000000003
2017-07-24,46,53.0,,0.53,24.380000000000003
2017-07-25,40,53.0,,0.53,21.200000000000003
2017-07-26,46,53.0,,0.53,24.380000000000003
2017-07-27,46,53.0,,0.53,24.380000000000003
2017-07-28,63,53.0,,0.53,33.39
2017-07-29,100,53.0,,0.53,53.0
2017-07-30,62,53.0,,0.53,32.86
2017-07-31,45,53.0,,0.53,23.85
2017-08-01,78,50.0,False,0.5,39.0
2017-08-02,80,50.0,,0.5,40.0
2017-08-03,83,50.0,,0.5,41.5
2017-08-04,88,50.0,,0.5,44.0
2017-08-05,95,50.0,,0.5,47.5
2017-08-06,89,50.0,,0.5,44.5
2017-08-07,73,50.0,,0.5,36.5
2017-08-08,72,50.0,,0.5,36.0
2017-08-09,81,50.0,,0.5,40.5
2017-08-10,90,50.0,,0.5,45.0
2017-08-11,89,50.0,,0.5,44.5
2017-08-12,99,50.0,,0.5,49.5
2017-08-13,100,50.0,,0.5,50.0
2017-08-14,71,50.0,,0.5,35.5
2017-08-15,78,50.0,,0.5,39.0
2017-08-16,76,50.0,,0.5,38.0
2017-08-17,75,50.0,,0.5,37.5
2017-08-18,80,50.0,,0.5,40.0
2017-08-19,95,50.0,,0.5,47.5
2017-08-20,90,50.0,,0.5,45.0
2017-08-21,63,50.0,,0.5,31.5
2017-08-22,61,50.0,,0.5,30.5
2017-08-23,62,50.0,,0.5,31.0
2017-08-24,70,50.0,,0.5,35.0
2017-08-25,75,50.0,,0.5,37.5
2017-08-26,85,50.0,,0.5,42.5
2017-08-27,80,50.0,,0.5,40.0
2017-08-28,64,50.0,,0.5,32.0
2017-08-29,61,50.0,,0.5,30.5
2017-08-30,66,50.0,,0.5,33.0
2017-08-31,73,50.0,,0.5,36.5
2017-09-01,68,54.0,False,0.54,36.72
2017-09-02,87,54.0,,0.54,46.980000000000004
2017-09-03,95,54.0,,0.54,51.300000000000004
2017-09-04,91,54.0,,0.54,49.14
2017-09-05,59,54.0,,0.54,31.860000000000003
2017-09-06,50,54.0,,0.54,27.0
2017-09-07,60,54.0,,0.54,32.400000000000006
2017-09-08,64,54.0,,0.54,34.56
2017-09-09,83,54.0,,0.54,44.82
2017-09-10,78,54.0,,0.54,42.120000000000005
2017-09-11,54,54.0,,0.54,29.160000000000004
2017-09-12,59,54.0,,0.54,31.860000000000003
2017-09-13,62,54.0,,0.54,33.480000000000004
2017-09-14,69,54.0,,0.54,37.260000000000005
2017-09-15,79,54.0,,0.54,42.660000000000004
2017-09-16,100,54.0,,0.54,54.0
2017-09-17,88,54.0,,0.54,47.52
2017-09-18,61,54.0,,0.54,32.940000000000005
2017-09-19,58,54.0,,0.54,31.32
2017-09-20,73,54.0,,0.54,39.42
2017-09-21,61,54.0,,0.54,32.940000000000005
2017-09-22,69,54.0,,0.54,37.260000000000005
2017-09-23,86,54.0,,0.54,46.440000000000005
2017-09-24,79,54.0,,0.54,42.660000000000004
2017-09-25,56,54.0,,0.54,30.240000000000002
2017-09-26,50,54.0,,0.54,27.0
2017-09-27,55,54.0,,0.54,29.700000000000003
2017-09-28,57,54.0,,0.54,30.78
2017-09-29,64,54.0,,0.54,34.56
2017-09-30,82,54.0,,0.54,44.28
2017-10-01,80,51.0,False,0.51,40.8
2017-10-02,45,51.0,,0.51,22.95
2017-10-03,50,51.0,,0.51,25.5
2017-10-04,50,51.0,,0.51,25.5
2017-10-05,55,51.0,,0.51,28.05
2017-10-06,63,51.0,,0.51,32.13
2017-10-07,76,51.0,,0.51,38.76
2017-10-08,81,51.0,,0.51,41.31
2017-10-09,54,51.0,,0.51,27.54
2017-10-10,50,51.0,,0.51,25.5
2017-10-11,47,51.0,,0.51,23.97
2017-10-12,59,51.0,,0.51,30.09
2017-10-13,69,51.0,,0.51,35.19
2017-10-14,75,51.0,,0.51,38.25
2017-10-15,80,51.0,,0.51,40.8
2017-10-16,61,51.0,,0.51,31.11
2017-10-17,60,51.0,,0.51,30.6
2017-10-18,54,51.0,,0.51,27.54
2017-10-19,61,51.0,,0.51,31.11
2017-10-20,66,51.0,,0.51,33.660000000000004
2017-10-21,83,51.0,,0.51,42.33
2017-10-22,82,51.0,,0.51,41.82
2017-10-23,57,51.0,,0.51,29.07
2017-10-24,55,51.0,,0.51,28.05
2017-10-25,57,51.0,,0.51,29.07
2017-10-26,65,51.0,,0.51,33.15
2017-10-27,75,51.0,,0.51,38.25
2017-10-28,100,51.0,,0.51,51.0
2017-10-29,81,51.0,,0.51,41.31
2017-10-30,57,51.0,,0.51,29.07
2017-10-31,49,51.0,,0.51,24.990000000000002
2017-11-01,12,77.0,False,0.77,9.24
2017-11-02,14,77.0,,0.77,10.780000000000001
2017-11-03,16,77.0,,0.77,12.32
2017-11-04,21,77.0,,0.77,16.17
2017-11-05,20,77.0,,0.77,15.4
2017-11-06,14,77.0,,0.77,10.780000000000001
2017-11-07,15,77.0,,0.77,11.55
2017-11-08,13,77.0,,0.77,10.01
2017-11-09,14,77.0,,0.77,10.780000000000001
2017-11-10,17,77.0,,0.77,13.09
2017-11-11,21,77.0,,0.77,16.17
2017-11-12,21,77.0,,0.77,16.17
2017-11-13,16,77.0,,0.77,12.32
2017-11-14,16,77.0,,0.77,12.32
2017-11-15,18,77.0,,0.77,13.86
2017-11-16,17,77.0,,0.77,13.09
2017-11-17,21,77.0,,0.77,16.17
2017-11-18,25,77.0,,0.77,19.25
2017-11-19,24,77.0,,0.77,18.48
2017-11-20,20,77.0,,0.77,15.4
2017-11-21,22,77.0,,0.77,16.94
2017-11-22,27,77.0,,0.77,20.79
2017-11-23,49,77.0,,0.77,37.730000000000004
2017-11-24,100,77.0,,0.77,77.0
2017-11-25,37,77.0,,0.77,28.490000000000002
2017-11-26,28,77.0,,0.77,21.560000000000002
2017-11-27,34,77.0,,0.77,26.18
2017-11-28,25,77.0,,0.77,19.25
2017-11-29,17,77.0,,0.77,13.09
2017-11-30,17,77.0,,0.77,13.09
2017-12-01,49,88.0,False,0.88,43.12
2017-12-02,62,88.0,,0.88,54.56
2017-12-03,61,88.0,,0.88,53.68
2017-12-04,47,88.0,,0.88,41.36
2017-12-05,50,88.0,,0.88,44.0
2017-12-06,48,88.0,,0.88,42.24
2017-12-07,50,88.0,,0.88,44.0
2017-12-08,53,88.0,,0.88,46.64
2017-12-09,71,88.0,,0.88,62.48
2017-12-10,74,88.0,,0.88,65.12
2017-12-11,55,88.0,,0.88,48.4
2017-12-12,50,88.0,,0.88,44.0
2017-12-13,55,88.0,,0.88,48.4
2017-12-14,56,88.0,,0.88,49.28
2017-12-15,65,88.0,,0.88,57.2
2017-12-16,82,88.0,,0.88,72.16
2017-12-17,87,88.0,,0.88,76.56
2017-12-18,66,88.0,,0.88,58.08
2017-12-19,70,88.0,,0.88,61.6
2017-12-20,74,88.0,,0.88,65.12
2017-12-21,75,88.0,,0.88,66.0
2017-12-22,86,88.0,,0.88,75.68
2017-12-23,100,88.0,,0.88,88.0
2017-12-24,100,88.0,,0.88,88.0
2017-12-25,58,88.0,,0.88,51.04
2017-12-26,79,88.0,,0.88,69.52
2017-12-27,70,88.0,,0.88,61.6
2017-12-28,63,88.0,,0.88,55.44
2017-12-29,67,88.0,,0.88,58.96
2017-12-30,65,88.0,,0.88,57.2
