date,IT_unscaled,IT_monthly,isPartial,scale,IT
2016-10-11,95,74.0,,0.74,70.3
2016-10-12,96,74.0,,0.74,71.03999999999999
2016-10-13,95,74.0,,0.74,70.3
2016-10-14,90,74.0,,0.74,66.6
2016-10-15,89,74.0,,0.74,65.86
2016-10-16,91,74.0,,0.74,67.34
2016-10-17,96,74.0,,0.74,71.03999999999999
2016-10-18,97,74.0,,0.74,71.78
2016-10-19,96,74.0,,0.74,71.03999999999999
2016-10-20,95,74.0,,0.74,70.3
2016-10-21,92,74.0,,0.74,68.08
2016-10-22,93,74.0,,0.74,68.82
2016-10-23,92,74.0,,0.74,68.08
2016-10-24,94,74.0,,0.74,69.56
2016-10-25,95,74.0,,0.74,70.3
2016-10-26,96,74.0,,0.74,71.03999999999999
2016-10-27,96,74.0,,0.74,71.03999999999999
2016-10-28,91,74.0,,0.74,67.34
2016-10-29,90,74.0,,0.74,66.6
2016-10-30,95,74.0,,0.74,70.3
2016-10-31,95,74.0,,0.74,70.3
2016-11-01,89,75.0,False,0.75,66.75
2016-11-02,86,75.0,,0.75,64.5
2016-11-03,89,75.0,,0.75,66.75
2016-11-04,89,75.0,,0.75,66.75
2016-11-05,83,75.0,,0.75,62.25
2016-11-06,100,75.0,,0.75,75.0
2016-11-07,89,75.0,,0.75,66.75
2016-11-08,87,75.0,,0.75,65.25
2016-11-09,74,75.0,,0.75,55.5
2016-11-10,92,75.0,,0.75,69.0
2016-11-11,88,75.0,,0.75,66.0
2016-11-12,86,75.0,,0.75,64.5
2016-11-13,89,75.0,,0.75,66.75
2016-11-14,89,75.0,,0.75,66.75
2016-11-15,94,75.0,,0.75,70.5
2016-11-16,97,75.0,,0.75,72.75
2016-11-17,93,75.0,,0.75,69.75
2016-11-18,92,75.0,,0.75,69.0
2016-11-19,86,75.0,,0.75,64.5
2016-11-20,88,75.0,,0.75,66.0
2016-11-21,88,75.0,,0.75,66.0
2016-11-22,90,75.0,,0.75,67.5
2016-11-23,88,75.0,,0.75,66.0
2016-11-24,91,75.0,,0.75,68.25
2016-11-25,75,75.0,,0.75,56.25
2016-11-26,82,75.0,,0.75,61.5
2016-11-27,89,75.0,,0.75,66.75
2016-11-28,84,75.0,,0.75,63.0
2016-11-29,91,75.0,,0.75,68.25
2016-11-30,90,75.0,,0.75,67.5
2016-12-01,100,73.0,False,0.73,73.0
2016-12-02,95,73.0,,0.73,69.35
2016-12-03,91,73.0,,0.73,66.42999999999999
2016-12-04,97,73.0,,0.73,70.81
2016-12-05,98,73.0,,0.73,71.53999999999999
2016-12-06,98,73.0,,0.73,71.53999999999999
2016-12-07,98,73.0,,0.73,71.53999999999999
2016-12-08,98,73.0,,0.73,71.53999999999999
2016-12-09,93,73.0,,0.73,67.89
2016-12-10,94,73.0,,0.73,68.62
2016-12-11,95,73.0,,0.73,69.35
2016-12-12,97,73.0,,0.73,70.81
2016-12-13,97,73.0,,0.73,70.81
2016-12-14,97,73.0,,0.73,70.81
2016-12-15,96,73.0,,0.73,70.08
2016-12-16,95,73.0,,0.73,69.35
2016-12-17,91,73.0,,0.73,66.42999999999999
2016-12-18,92,73.0,,0.73,67.16
2016-12-19,91,73.0,,0.73,66.42999999999999
2016-12-20,93,73.0,,0.73,67.89
2016-12-21,94,73.0,,0.73,68.62
2016-12-22,93,73.0,,0.73,67.89
2016-12-23,89,73.0,,0.73,64.97
2016-12-24,88,73.0,,0.73,64.24
2016-12-25,91,73.0,,0.73,66.42999999999999
2016-12-26,87,73.0,,0.73,63.51
2016-12-27,91,73.0,,0.73,66.42999999999999
2016-12-28,91,73.0,,0.73,66.42999999999999
2016-12-29,91,73.0,,0.73,66.42999999999999
2016-12-30,95,73.0,,0.73,69.35
2016-12-31,90,73.0,,0.73,65.7
2017-01-01,93,79.0,False,0.79,73.47
2017-01-02,91,79.0,,0.79,71.89
2017-01-03,90,79.0,,0.79,71.10000000000001
2017-01-04,94,79.0,,0.79,74.26
2017-01-05,96,79.0,,0.79,75.84
2017-01-06,95,79.0,,0.79,75.05
2017-01-07,95,79.0,,0.79,75.05
2017-01-08,96,79.0,,0.79,75.84
2017-01-09,89,79.0,,0.79,70.31
2017-01-10,92,79.0,,0.79,72.68
2017-01-11,92,79.0,,0.79,72.68
2017-01-12,93,79.0,,0.79,73.47
2017-01-13,97,79.0,,0.79,76.63000000000001
2017-01-14,92,79.0,,0.79,72.68
2017-01-15,90,79.0,,0.79,71.10000000000001
2017-01-16,91,79.0,,0.79,71.89
2017-01-17,94,79.0,,0.79,74.26
2017-01-18,94,79.0,,0.79,74.26
2017-01-19,96,79.0,,0.79,75.84
2017-01-20,93,79.0,,0.79,73.47
2017-01-21,91,79.0,,0.79,71.89
2017-01-22,97,79.0,,0.79,76.63000000000001
2017-01-23,95,79.0,,0.79,75.05
2017-01-24,100,79.0,,0.79,79.0
2017-01-25,98,79.0,,0.79,77.42
2017-01-26,97,79.0,,0.79,76.63000000000001
2017-01-27,97,79.0,,0.79,76.63000000000001
2017-01-28,95,79.0,,0.79,75.05
2017-01-29,97,79.0,,0.79,76.63000000000001
2017-01-30,97,79.0,,0.79,76.63000000000001
2017-01-31,99,79.0,,0.79,78.21000000000001
2017-02-01,94,75.0,False,0.75,70.5
2017-02-02,93,75.0,,0.75,69.75
2017-02-03,94,75.0,,0.75,70.5
2017-02-04,94,75.0,,0.75,70.5
2017-02-05,93,75.0,,0.75,69.75
2017-02-06,89,75.0,,0.75,66.75
2017-02-07,96,75.0,,0.75,72.0
2017-02-08,97,75.0,,0.75,72.75
2017-02-09,96,75.0,,0.75,72.0
2017-02-10,96,75.0,,0.75,72.0
2017-02-11,89,75.0,,0.75,66.75
2017-02-12,94,75.0,,0.75,70.5
2017-02-13,91,75.0,,0.75,68.25
2017-02-14,90,75.0,,0.75,67.5
2017-02-15,90,75.0,,0.75,67.5
2017-02-16,100,75.0,,0.75,75.0
2017-02-17,97,75.0,,0.75,72.75
2017-02-18,92,75.0,,0.75,69.0
2017-02-19,95,75.0,,0.75,71.25
2017-02-20,90,75.0,,0.75,67.5
2017-02-21,94,75.0,,0.75,70.5
2017-02-22,98,75.0,,0.75,73.5
2017-02-23,95,75.0,,0.75,71.25
2017-02-24,94,75.0,,0.75,70.5
2017-02-25,90,75.0,,0.75,67.5
2017-02-26,92,75.0,,0.75,69.0
2017-02-27,91,75.0,,0.75,68.25
2017-02-28,93,75.0,,0.75,69.75
2017-03-01,81,80.0,False,0.8,64.8
2017-03-02,83,80.0,,0.8,66.4
2017-03-03,82,80.0,,0.8,65.60000000000001
2017-03-04,80,80.0,,0.8,64.0
2017-03-05,82,80.0,,0.8,65.60000000000001
2017-03-06,83,80.0,,0.8,66.4
2017-03-07,83,80.0,,0.8,66.4
2017-03-08,83,80.0,,0.8,66.4
2017-03-09,80,80.0,,0.8,64.0
2017-03-10,82,80.0,,0.8,65.60000000000001
2017-03-11,81,80.0,,0.8,64.8
2017-03-12,97,80.0,,0.8,77.60000000000001
2017-03-13,85,80.0,,0.8,68.0
2017-03-14,84,80.0,,0.8,67.2
2017-03-15,84,80.0,,0.8,67.2
2017-03-16,82,80.0,,0.8,65.60000000000001
2017-03-17,80,80.0,,0.8,64.0
2017-03-18,77,80.0,,0.8,61.6
2017-03-19,85,80.0,,0.8,68.0
2017-03-20,84,80.0,,0.8,67.2
2017-03-21,82,80.0,,0.8,65.60000000000001
2017-03-22,86,80.0,,0.8,68.8
2017-03-23,84,80.0,,0.8,67.2
2017-03-24,83,80.0,,0.8,66.4
2017-03-25,79,80.0,,0.8,63.2
2017-03-26,84,80.0,,0.8,67.2
2017-03-27,81,80.0,,0.8,64.8
2017-03-28,85,80.0,,0.8,68.0
2017-03-29,96,80.0,,0.8,76.80000000000001
2017-03-30,100,80.0,,0.8,80.0
2017-03-31,92,80.0,,0.8,73.60000000000001
2017-04-01,98,78.0,False,0.78,76.44
2017-04-02,100,78.0,,0.78,78.0
2017-04-03,96,78.0,,0.78,74.88
2017-04-04,99,78.0,,0.78,77.22
2017-04-05,93,78.0,,0.78,72.54
2017-04-06,94,78.0,,0.78,73.32000000000001
2017-04-07,90,78.0,,0.78,70.2
2017-04-08,90,78.0,,0.78,70.2
2017-04-09,95,78.0,,0.78,74.10000000000001
2017-04-10,91,78.0,,0.78,70.98
2017-04-11,94,78.0,,0.78,73.32000000000001
2017-04-12,97,78.0,,0.78,75.66
2017-04-13,91,78.0,,0.78,70.98
2017-04-14,88,78.0,,0.78,68.64
2017-04-15,93,78.0,,0.78,72.54
2017-04-16,91,78.0,,0.78,70.98
2017-04-17,91,78.0,,0.78,70.98
2017-04-18,92,78.0,,0.78,71.76
2017-04-19,92,78.0,,0.78,71.76
2017-04-20,91,78.0,,0.78,70.98
2017-04-21,92,78.0,,0.78,71.76
2017-04-22,89,78.0,,0.78,69.42
2017-04-23,92,78.0,,0.78,71.76
2017-04-24,96,78.0,,0.78,74.88
2017-04-25,94,78.0,,0.78,73.32000000000001
2017-04-26,93,78.0,,0.78,72.54
2017-04-27,94,78.0,,0.78,73.32000000000001
2017-04-28,89,78.0,,0.78,69.42
2017-04-29,88,78.0,,0.78,68.64
2017-04-30,96,78.0,,0.78,74.88
2017-05-01,93,75.0,False,0.75,69.75
2017-05-02,96,75.0,,0.75,72.0
2017-05-03,98,75.0,,0.75,73.5
2017-05-04,98,75.0,,0.75,73.5
2017-05-05,97,75.0,,0.75,72.75
2017-05-06,91,75.0,,0.75,68.25
2017-05-07,95,75.0,,0.75,71.25
2017-05-08,100,75.0,,0.75,75.0
2017-05-09,97,75.0,,0.75,72.75
2017-05-10,95,75.0,,0.75,71.25
2017-05-11,93,75.0,,0.75,69.75
2017-05-12,91,75.0,,0.75,68.25
2017-05-13,90,75.0,,0.75,67.5
2017-05-14,92,75.0,,0.75,69.0
2017-05-15,93,75.0,,0.75,69.75
2017-05-16,92,75.0,,0.75,69.0
2017-05-17,94,75.0,,0.75,70.5
2017-05-18,89,75.0,,0.75,66.75
2017-05-19,88,75.0,,0.75,66.0
2017-05-20,89,75.0,,0.75,66.75
2017-05-21,93,75.0,,0.75,69.75
2017-05-22,94,75.0,,0.75,70.5
2017-05-23,90,75.0,,0.75,67.5
2017-05-24,89,75.0,,0.75,66.75
2017-05-25,94,75.0,,0.75,70.5
2017-05-26,90,75.0,,0.75,67.5
2017-05-27,93,75.0,,0.75,69.75
2017-05-28,93,75.0,,0.75,69.75
2017-05-29,92,75.0,,0.75,69.0
2017-05-30,93,75.0,,0.75,69.75
2017-05-31,92,75.0,,0.75,69.0
2017-06-01,88,77.0,False,0.77,67.76
2017-06-02,89,77.0,,0.77,68.53
2017-06-03,88,77.0,,0.77,67.76
2017-06-04,90,77.0,,0.77,69.3
2017-06-05,86,77.0,,0.77,66.22
2017-06-06,90,77.0,,0.77,69.3
2017-06-07,90,77.0,,0.77,69.3
2017-06-08,91,77.0,,0.77,70.07000000000001
2017-06-09,95,77.0,,0.77,73.15
2017-06-10,97,77.0,,0.77,74.69
2017-06-11,100,77.0,,0.77,77.0
2017-06-12,92,77.0,,0.77,70.84
2017-06-13,89,77.0,,0.77,68.53
2017-06-14,92,77.0,,0.77,70.84
2017-06-15,91,77.0,,0.77,70.07000000000001
2017-06-16,92,77.0,,0.77,70.84
2017-06-17,97,77.0,,0.77,74.69
2017-06-18,96,77.0,,0.77,73.92
2017-06-19,92,77.0,,0.77,70.84
2017-06-20,91,77.0,,0.77,70.07000000000001
2017-06-21,91,77.0,,0.77,70.07000000000001
2017-06-22,92,77.0,,0.77,70.84
2017-06-23,92,77.0,,0.77,70.84
2017-06-24,95,77.0,,0.77,73.15
2017-06-25,94,77.0,,0.77,72.38
2017-06-26,91,77.0,,0.77,70.07000000000001
2017-06-27,91,77.0,,0.77,70.07000000000001
2017-06-28,93,77.0,,0.77,71.61
2017-06-29,92,77.0,,0.77,70.84
2017-06-30,90,77.0,,0.77,69.3
2017-07-01,97,78.0,False,0.78,75.66
2017-07-02,99,78.0,,0.78,77.22
2017-07-03,95,78.0,,0.78,74.10000000000001
2017-07-04,95,78.0,,0.78,74.10000000000001
2017-07-05,92,78.0,,0.78,71.76
2017-07-06,92,78.0,,0.78,71.76
2017-07-07,94,78.0,,0.78,73.32000000000001
2017-07-08,96,78.0,,0.78,74.88
2017-07-09,97,78.0,,0.78,75.66
2017-07-10,93,78.0,,0.78,72.54
2017-07-11,95,78.0,,0.78,74.10000000000001
2017-07-12,98,78.0,,0.78,76.44
2017-07-13,96,78.0,,0.78,74.88
2017-07-14,93,78.0,,0.78,72.54
2017-07-15,97,78.0,,0.78,75.66
2017-07-16,97,78.0,,0.78,75.66
2017-07-17,93,78.0,,0.78,72.54
2017-07-18,95,78.0,,0.78,74.10000000000001
2017-07-19,96,78.0,,0.78,74.88
2017-07-20,97,78.0,,0.78,75.66
2017-07-21,96,78.0,,0.78,74.88
2017-07-22,95,78.0,,0.78,74.10000000000001
2017-07-23,98,78.0,,0.78,76.44
2017-07-24,97,78.0,,0.78,75.66
2017-07-25,97,78.0,,0.78,75.66
2017-07-26,95,78.0,,0.78,74.10000000000001
2017-07-27,100,78.0,,0.78,78.0
2017-07-28,98,78.0,,0.78,76.44
2017-07-29,97,78.0,,0.78,75.66
2017-07-30,98,78.0,,0.78,76.44
2017-07-31,91,78.0,,0.78,70.98
2017-08-01,80,78.0,False,0.78,62.400000000000006
2017-08-02,85,78.0,,0.78,66.3
2017-08-03,84,78.0,,0.78,65.52
2017-08-04,81,78.0,,0.78,63.18
2017-08-05,80,78.0,,0.78,62.400000000000006
2017-08-06,83,78.0,,0.78,64.74000000000001
2017-08-07,84,78.0,,0.78,65.52
2017-08-08,81,78.0,,0.78,63.18
2017-08-09,83,78.0,,0.78,64.74000000000001
2017-08-10,84,78.0,,0.78,65.52
2017-08-11,80,78.0,,0.78,62.400000000000006
2017-08-12,85,78.0,,0.78,66.3
2017-08-13,83,78.0,,0.78,64.74000000000001
2017-08-14,84,78.0,,0.78,65.52
2017-08-15,83,78.0,,0.78,64.74000000000001
2017-08-16,84,78.0,,0.78,65.52
2017-08-17,84,78.0,,0.78,65.52
2017-08-18,82,78.0,,0.78,63.96
2017-08-19,84,78.0,,0.78,65.52
2017-08-20,88,78.0,,0.78,68.64
2017-08-21,100,78.0,,0.78,78.0
2017-08-22,85,78.0,,0.78,66.3
2017-08-23,85,78.0,,0.78,66.3
2017-08-24,82,78.0,,0.78,63.96
2017-08-25,82,78.0,,0.78,63.96
2017-08-26,85,78.0,,0.78,66.3
2017-08-27,86,78.0,,0.78,67.08
2017-08-28,84,78.0,,0.78,65.52
2017-08-29,85,78.0,,0.78,66.3
2017-08-30,86,78.0,,0.78,67.08
2017-08-31,87,78.0,,0.78,67.86
2017-09-01,57,100.0,False,1.0,57.0
2017-09-02,59,100.0,,1.0,59.0
2017-09-03,63,100.0,,1.0,63.0
2017-09-04,63,100.0,,1.0,63.0
2017-09-05,61,100.0,,1.0,61.0
2017-09-06,65,100.0,,1.0,65.0
2017-09-07,69,100.0,,1.0,69.0
2017-09-08,83,100.0,,1.0,83.0
2017-09-09,100,100.0,,1.0,100.0
2017-09-10,98,100.0,,1.0,98.0
2017-09-11,78,100.0,,1.0,78.0
2017-09-12,73,100.0,,1.0,73.0
2017-09-13,72,100.0,,1.0,72.0
2017-09-14,71,100.0,,1.0,71.0
2017-09-15,70,100.0,,1.0,70.0
2017-09-16,81,100.0,,1.0,81.0
2017-09-17,82,100.0,,1.0,82.0
2017-09-18,70,100.0,,1.0,70.0
2017-09-19,69,100.0,,1.0,69.0
2017-09-20,66,100.0,,1.0,66.0
2017-09-21,65,100.0,,1.0,65.0
2017-09-22,66,100.0,,1.0,66.0
2017-09-23,70,100.0,,1.0,70.0
2017-09-24,72,100.0,,1.0,72.0
2017-09-25,64,100.0,,1.0,64.0
2017-09-26,63,100.0,,1.0,63.0
2017-09-27,61,100.0,,1.0,61.0
2017-09-28,59,100.0,,1.0,59.0
2017-09-29,60,100.0,,1.0,60.0
2017-09-30,63,100.0,,1.0,63.0
2017-10-01,100,84.0,False,0.84,84.0
2017-10-02,88,84.0,,0.84,73.92
2017-10-03,92,84.0,,0.84,77.28
2017-10-04,88,84.0,,0.84,73.92
2017-10-05,94,84.0,,0.84,78.96
2017-10-06,88,84.0,,0.84,73.92
2017-10-07,90,84.0,,0.84,75.6
2017-10-08,93,84.0,,0.84,78.11999999999999
2017-10-09,93,84.0,,0.84,78.11999999999999
2017-10-10,88,84.0,,0.84,73.92
2017-10-11,90,84.0,,0.84,75.6
2017-10-12,89,84.0,,0.84,74.75999999999999
2017-10-13,87,84.0,,0.84,73.08
2017-10-14,91,84.0,,0.84,76.44
2017-10-15,91,84.0,,0.84,76.44
2017-10-16,91,84.0,,0.84,76.44
2017-10-17,90,84.0,,0.84,75.6
2017-10-18,90,84.0,,0.84,75.6
2017-10-19,91,84.0,,0.84,76.44
2017-10-20,86,84.0,,0.84,72.24
2017-10-21,86,84.0,,0.84,72.24
2017-10-22,90,84.0,,0.84,75.6
2017-10-23,90,84.0,,0.84,75.6
2017-10-24,92,84.0,,0.84,77.28
2017-10-25,91,84.0,,0.84,76.44
2017-10-26,90,84.0,,0.84,75.6
2017-10-27,90,84.0,,0.84,75.6
2017-10-28,85,84.0,,0.84,71.39999999999999
2017-10-29,91,84.0,,0.84,76.44
2017-10-30,88,84.0,,0.84,73.92
2017-10-31,89,84.0,,0.84,74.75999999999999
2017-11-01,89,80.0,False,0.8,71.2
2017-11-02,85,80.0,,0.8,68.0
2017-11-03,90,80.0,,0.8,72.0
2017-11-04,85,80.0,,0.8,68.0
2017-11-05,100,80.0,,0.8,80.0
2017-11-06,92,80.0,,0.8,73.60000000000001
2017-11-07,89,80.0,,0.8,71.2
2017-11-08,89,80.0,,0.8,71.2
2017-11-09,88,80.0,,0.8,70.4
2017-11-10,86,80.0,,0.8,68.8
2017-11-11,84,80.0,,0.8,67.2
2017-11-12,89,80.0,,0.8,71.2
2017-11-13,86,80.0,,0.8,68.8
2017-11-14,89,80.0,,0.8,71.2
2017-11-15,91,80.0,,0.8,72.8
2017-11-16,90,80.0,,0.8,72.0
2017-11-17,86,80.0,,0.8,68.8
2017-11-18,84,80.0,,0.8,67.2
2017-11-19,87,80.0,,0.8,69.60000000000001
2017-11-20,85,80.0,,0.8,68.0
2017-11-21,87,80.0,,0.8,69.60000000000001
2017-11-22,86,80.0,,0.8,68.8
2017-11-23,86,80.0,,0.8,68.8
2017-11-24,77,80.0,,0.8,61.6
2017-11-25,82,80.0,,0.8,65.60000000000001
2017-11-26,86,80.0,,0.8,68.8
2017-11-27,83,80.0,,0.8,66.4
2017-11-28,89,80.0,,0.8,71.2
2017-11-29,90,80.0,,0.8,72.0
2017-11-30,91,80.0,,0.8,72.8
2017-12-01,95,77.0,False,0.77,73.15
2017-12-02,92,77.0,,0.77,70.84
2017-12-03,98,77.0,,0.77,75.46000000000001
2017-12-04,96,77.0,,0.77,73.92
2017-12-05,95,77.0,,0.77,73.15
2017-12-06,99,77.0,,0.77,76.23
2017-12-07,98,77.0,,0.77,75.46000000000001
2017-12-08,100,77.0,,0.77,77.0
2017-12-09,97,77.0,,0.77,74.69
2017-12-10,96,77.0,,0.77,73.92
2017-12-11,97,77.0,,0.77,74.69
2017-12-12,96,77.0,,0.77,73.92
2017-12-13,97,77.0,,0.77,74.69
2017-12-14,99,77.0,,0.77,76.23
2017-12-15,92,77.0,,0.77,70.84
2017-12-16,89,77.0,,0.77,68.53
2017-12-17,91,77.0,,0.77,70.07000000000001
2017-12-18,91,77.0,,0.77,70.07000000000001
2017-12-19,89,77.0,,0.77,68.53
2017-12-20,93,77.0,,0.77,71.61
2017-12-21,92,77.0,,0.77,70.84
2017-12-22,88,77.0,,0.77,67.76
2017-12-23,91,77.0,,0.77,70.07000000000001
2017-12-24,92,77.0,,0.77,70.84
2017-12-25,93,77.0,,0.77,71.61
2017-12-26,90,77.0,,0.77,69.3
2017-12-27,93,77.0,,0.77,71.61
2017-12-28,91,77.0,,0.77,70.07000000000001
2017-12-29,91,77.0,,0.77,70.07000000000001
2017-12-30,94,77.0,,0.77,72.38
2017-12-31,95,77.0,,0.77,73.15
2018-01-01,99,82.0,False,0.82,81.17999999999999
2018-01-02,92,82.0,,0.82,75.44
2018-01-03,96,82.0,,0.82,78.72
