date,MAN_unscaled,MAN_monthly,isPartial,scale,MAN
2016-07-19,66,69.0,,0.69,45.54
2016-07-20,66,69.0,,0.69,45.54
2016-07-21,74,69.0,,0.69,51.059999999999995
2016-07-22,71,69.0,,0.69,48.989999999999995
2016-07-23,68,69.0,,0.69,46.919999999999995
2016-07-24,77,69.0,,0.69,53.129999999999995
2016-07-25,66,69.0,,0.69,45.54
2016-07-26,65,69.0,,0.69,44.849999999999994
2016-07-27,68,69.0,,0.69,46.919999999999995
2016-07-28,66,69.0,,0.69,45.54
2016-07-29,66,69.0,,0.69,45.54
2016-07-30,71,69.0,,0.69,48.989999999999995
2016-07-31,77,69.0,,0.69,53.129999999999995
2016-08-01,79,62.0,False,0.62,48.98
2016-08-02,76,62.0,,0.62,47.12
2016-08-03,80,62.0,,0.62,49.6
2016-08-04,75,62.0,,0.62,46.5
2016-08-05,78,62.0,,0.62,48.36
2016-08-06,79,62.0,,0.62,48.98
2016-08-07,87,62.0,,0.62,53.94
2016-08-08,77,62.0,,0.62,47.74
2016-08-09,79,62.0,,0.62,48.98
2016-08-10,85,62.0,,0.62,52.7
2016-08-11,82,62.0,,0.62,50.839999999999996
2016-08-12,76,62.0,,0.62,47.12
2016-08-13,83,62.0,,0.62,51.46
2016-08-14,85,62.0,,0.62,52.7
2016-08-15,74,62.0,,0.62,45.88
2016-08-16,75,62.0,,0.62,46.5
2016-08-17,76,62.0,,0.62,47.12
2016-08-18,74,62.0,,0.62,45.88
2016-08-19,83,62.0,,0.62,51.46
2016-08-20,87,62.0,,0.62,53.94
2016-08-21,86,62.0,,0.62,53.32
2016-08-22,75,62.0,,0.62,46.5
2016-08-23,78,62.0,,0.62,48.36
2016-08-24,79,62.0,,0.62,48.98
2016-08-25,82,62.0,,0.62,50.839999999999996
2016-08-26,84,62.0,,0.62,52.08
2016-08-27,89,62.0,,0.62,55.18
2016-08-28,100,62.0,,0.62,62.0
2016-08-29,83,62.0,,0.62,51.46
2016-08-30,85,62.0,,0.62,52.7
2016-08-31,81,62.0,,0.62,50.22
2016-09-01,78,67.0,False,0.67,52.260000000000005
2016-09-02,79,67.0,,0.67,52.93
2016-09-03,86,67.0,,0.67,57.620000000000005
2016-09-04,100,67.0,,0.67,67.0
2016-09-05,95,67.0,,0.67,63.650000000000006
2016-09-06,82,67.0,,0.67,54.940000000000005
2016-09-07,80,67.0,,0.67,53.6
2016-09-08,76,67.0,,0.67,50.92
2016-09-09,82,67.0,,0.67,54.940000000000005
2016-09-10,90,67.0,,0.67,60.300000000000004
2016-09-11,84,67.0,,0.67,56.28
2016-09-12,77,67.0,,0.67,51.59
2016-09-13,75,67.0,,0.67,50.25
2016-09-14,80,67.0,,0.67,53.6
2016-09-15,82,67.0,,0.67,54.940000000000005
2016-09-16,81,67.0,,0.67,54.27
2016-09-17,82,67.0,,0.67,54.940000000000005
2016-09-18,82,67.0,,0.67,54.940000000000005
2016-09-19,78,67.0,,0.67,52.260000000000005
2016-09-20,86,67.0,,0.67,57.620000000000005
2016-09-21,90,67.0,,0.67,60.300000000000004
2016-09-22,86,67.0,,0.67,57.620000000000005
2016-09-23,87,67.0,,0.67,58.290000000000006
2016-09-24,87,67.0,,0.67,58.290000000000006
2016-09-25,91,67.0,,0.67,60.970000000000006
2016-09-26,81,67.0,,0.67,54.27
2016-09-27,79,67.0,,0.67,52.93
2016-09-28,82,67.0,,0.67,54.940000000000005
2016-09-29,80,67.0,,0.67,53.6
2016-09-30,82,67.0,,0.67,54.940000000000005
2016-10-01,96,66.0,False,0.66,63.36
2016-10-02,100,66.0,,0.66,66.0
2016-10-03,92,66.0,,0.66,60.720000000000006
2016-10-04,90,66.0,,0.66,59.400000000000006
2016-10-05,89,66.0,,0.66,58.74
2016-10-06,90,66.0,,0.66,59.400000000000006
2016-10-07,90,66.0,,0.66,59.400000000000006
2016-10-08,92,66.0,,0.66,60.720000000000006
2016-10-09,96,66.0,,0.66,63.36
2016-10-10,87,66.0,,0.66,57.42
2016-10-11,88,66.0,,0.66,58.080000000000005
2016-10-12,88,66.0,,0.66,58.080000000000005
2016-10-13,89,66.0,,0.66,58.74
2016-10-14,89,66.0,,0.66,58.74
2016-10-15,95,66.0,,0.66,62.7
2016-10-16,94,66.0,,0.66,62.040000000000006
2016-10-17,91,66.0,,0.66,60.06
2016-10-18,88,66.0,,0.66,58.080000000000005
2016-10-19,89,66.0,,0.66,58.74
2016-10-20,93,66.0,,0.66,61.38
2016-10-21,94,66.0,,0.66,62.040000000000006
2016-10-22,95,66.0,,0.66,62.7
2016-10-23,95,66.0,,0.66,62.7
2016-10-24,88,66.0,,0.66,58.080000000000005
2016-10-25,97,66.0,,0.66,64.02
2016-10-26,98,66.0,,0.66,64.68
2016-10-27,92,66.0,,0.66,60.720000000000006
2016-10-28,91,66.0,,0.66,60.06
2016-10-29,97,66.0,,0.66,64.02
2016-10-30,96,66.0,,0.66,63.36
2016-10-31,90,66.0,,0.66,59.400000000000006
2016-11-01,92,62.0,False,0.62,57.04
2016-11-02,91,62.0,,0.62,56.42
2016-11-03,98,62.0,,0.62,60.76
2016-11-04,94,62.0,,0.62,58.28
2016-11-05,96,62.0,,0.62,59.519999999999996
2016-11-06,95,62.0,,0.62,58.9
2016-11-07,88,62.0,,0.62,54.56
2016-11-08,83,62.0,,0.62,51.46
2016-11-09,68,62.0,,0.62,42.16
2016-11-10,89,62.0,,0.62,55.18
2016-11-11,94,62.0,,0.62,58.28
2016-11-12,98,62.0,,0.62,60.76
2016-11-13,100,62.0,,0.62,62.0
2016-11-14,91,62.0,,0.62,56.42
2016-11-15,97,62.0,,0.62,60.14
2016-11-16,93,62.0,,0.62,57.66
2016-11-17,95,62.0,,0.62,58.9
2016-11-18,96,62.0,,0.62,59.519999999999996
2016-11-19,98,62.0,,0.62,60.76
2016-11-20,94,62.0,,0.62,58.28
2016-11-21,88,62.0,,0.62,54.56
2016-11-22,93,62.0,,0.62,57.66
2016-11-23,88,62.0,,0.62,54.56
2016-11-24,92,62.0,,0.62,57.04
2016-11-25,83,62.0,,0.62,51.46
2016-11-26,90,62.0,,0.62,55.8
2016-11-27,99,62.0,,0.62,61.38
2016-11-28,87,62.0,,0.62,53.94
2016-11-29,94,62.0,,0.62,58.28
2016-11-30,93,62.0,,0.62,57.66
2016-12-01,89,66.0,False,0.66,58.74
2016-12-02,90,66.0,,0.66,59.400000000000006
2016-12-03,94,66.0,,0.66,62.040000000000006
2016-12-04,100,66.0,,0.66,66.0
2016-12-05,92,66.0,,0.66,60.720000000000006
2016-12-06,95,66.0,,0.66,62.7
2016-12-07,97,66.0,,0.66,64.02
2016-12-08,97,66.0,,0.66,64.02
2016-12-09,99,66.0,,0.66,65.34
2016-12-10,100,66.0,,0.66,66.0
2016-12-11,99,66.0,,0.66,65.34
2016-12-12,88,66.0,,0.66,58.080000000000005
2016-12-13,89,66.0,,0.66,58.74
2016-12-14,92,66.0,,0.66,60.720000000000006
2016-12-15,88,66.0,,0.66,58.080000000000005
2016-12-16,90,66.0,,0.66,59.400000000000006
2016-12-17,97,66.0,,0.66,64.02
2016-12-18,96,66.0,,0.66,63.36
2016-12-19,87,66.0,,0.66,57.42
2016-12-20,93,66.0,,0.66,61.38
2016-12-21,88,66.0,,0.66,58.080000000000005
2016-12-22,93,66.0,,0.66,61.38
2016-12-23,90,66.0,,0.66,59.400000000000006
2016-12-24,91,66.0,,0.66,60.06
2016-12-25,91,66.0,,0.66,60.06
2016-12-26,89,66.0,,0.66,58.74
2016-12-27,87,66.0,,0.66,57.42
2016-12-28,88,66.0,,0.66,58.080000000000005
2016-12-29,86,66.0,,0.66,56.760000000000005
2016-12-30,90,66.0,,0.66,59.400000000000006
2016-12-31,89,66.0,,0.66,58.74
2017-01-01,71,70.0,False,0.7,49.699999999999996
2017-01-02,73,70.0,,0.7,51.099999999999994
2017-01-03,68,70.0,,0.7,47.599999999999994
2017-01-04,65,70.0,,0.7,45.5
2017-01-05,75,70.0,,0.7,52.5
2017-01-06,71,70.0,,0.7,49.699999999999996
2017-01-07,74,70.0,,0.7,51.8
2017-01-08,75,70.0,,0.7,52.5
2017-01-09,66,70.0,,0.7,46.199999999999996
2017-01-10,69,70.0,,0.7,48.3
2017-01-11,69,70.0,,0.7,48.3
2017-01-12,72,70.0,,0.7,50.4
2017-01-13,87,70.0,,0.7,60.9
2017-01-14,100,70.0,,0.7,70.0
2017-01-15,92,70.0,,0.7,64.39999999999999
2017-01-16,78,70.0,,0.7,54.599999999999994
2017-01-17,71,70.0,,0.7,49.699999999999996
2017-01-18,69,70.0,,0.7,48.3
2017-01-19,69,70.0,,0.7,48.3
2017-01-20,70,70.0,,0.7,49.0
2017-01-21,82,70.0,,0.7,57.4
2017-01-22,78,70.0,,0.7,54.599999999999994
2017-01-23,67,70.0,,0.7,46.9
2017-01-24,70,70.0,,0.7,49.0
2017-01-25,64,70.0,,0.7,44.8
2017-01-26,67,70.0,,0.7,46.9
2017-01-27,70,70.0,,0.7,49.0
2017-01-28,78,70.0,,0.7,54.599999999999994
2017-01-29,76,70.0,,0.7,53.199999999999996
2017-01-30,66,70.0,,0.7,46.199999999999996
2017-01-31,65,70.0,,0.7,45.5
2017-02-01,85,63.0,False,0.63,53.55
2017-02-02,84,63.0,,0.63,52.92
2017-02-03,85,63.0,,0.63,53.55
2017-02-04,90,63.0,,0.63,56.7
2017-02-05,100,63.0,,0.63,63.0
2017-02-06,79,63.0,,0.63,49.77
2017-02-07,81,63.0,,0.63,51.03
2017-02-08,82,63.0,,0.63,51.660000000000004
2017-02-09,83,63.0,,0.63,52.29
2017-02-10,83,63.0,,0.63,52.29
2017-02-11,91,63.0,,0.63,57.33
2017-02-12,89,63.0,,0.63,56.07
2017-02-13,81,63.0,,0.63,51.03
2017-02-14,81,63.0,,0.63,51.03
2017-02-15,80,63.0,,0.63,50.4
2017-02-16,82,63.0,,0.63,51.660000000000004
2017-02-17,83,63.0,,0.63,52.29
2017-02-18,91,63.0,,0.63,57.33
2017-02-19,93,63.0,,0.63,58.59
2017-02-20,82,63.0,,0.63,51.660000000000004
2017-02-21,82,63.0,,0.63,51.660000000000004
2017-02-22,81,63.0,,0.63,51.03
2017-02-23,82,63.0,,0.63,51.660000000000004
2017-02-24,82,63.0,,0.63,51.660000000000004
2017-02-25,87,63.0,,0.63,54.81
2017-02-26,94,63.0,,0.63,59.22
2017-02-27,81,63.0,,0.63,51.03
2017-02-28,78,63.0,,0.63,49.14
2017-03-01,82,63.0,False,0.63,51.660000000000004
2017-03-02,88,63.0,,0.63,55.44
2017-03-03,92,63.0,,0.63,57.96
2017-03-04,94,63.0,,0.63,59.22
2017-03-05,97,63.0,,0.63,61.11
2017-03-06,90,63.0,,0.63,56.7
2017-03-07,87,63.0,,0.63,54.81
2017-03-08,87,63.0,,0.63,54.81
2017-03-09,86,63.0,,0.63,54.18
2017-03-10,87,63.0,,0.63,54.81
2017-03-11,92,63.0,,0.63,57.96
2017-03-12,97,63.0,,0.63,61.11
2017-03-13,91,63.0,,0.63,57.33
2017-03-14,89,63.0,,0.63,56.07
2017-03-15,89,63.0,,0.63,56.07
2017-03-16,87,63.0,,0.63,54.81
2017-03-17,84,63.0,,0.63,52.92
2017-03-18,92,63.0,,0.63,57.96
2017-03-19,94,63.0,,0.63,59.22
2017-03-20,87,63.0,,0.63,54.81
2017-03-21,89,63.0,,0.63,56.07
2017-03-22,87,63.0,,0.63,54.81
2017-03-23,89,63.0,,0.63,56.07
2017-03-24,87,63.0,,0.63,54.81
2017-03-25,93,63.0,,0.63,58.59
2017-03-26,96,63.0,,0.63,60.480000000000004
2017-03-27,85,63.0,,0.63,53.55
2017-03-28,91,63.0,,0.63,57.33
2017-03-29,100,63.0,,0.63,63.0
2017-03-30,96,63.0,,0.63,60.480000000000004
2017-03-31,91,63.0,,0.63,57.33
2017-04-01,77,63.0,False,0.63,48.51
2017-04-02,85,63.0,,0.63,53.55
2017-04-03,77,63.0,,0.63,48.51
2017-04-04,71,63.0,,0.63,44.73
2017-04-05,72,63.0,,0.63,45.36
2017-04-06,72,63.0,,0.63,45.36
2017-04-07,69,63.0,,0.63,43.47
2017-04-08,72,63.0,,0.63,45.36
2017-04-09,77,63.0,,0.63,48.51
2017-04-10,77,63.0,,0.63,48.51
2017-04-11,82,63.0,,0.63,51.660000000000004
2017-04-12,73,63.0,,0.63,45.99
2017-04-13,72,63.0,,0.63,45.36
2017-04-14,69,63.0,,0.63,43.47
2017-04-15,77,63.0,,0.63,48.51
2017-04-16,86,63.0,,0.63,54.18
2017-04-17,100,63.0,,0.63,63.0
2017-04-18,84,63.0,,0.63,52.92
2017-04-19,72,63.0,,0.63,45.36
2017-04-20,71,63.0,,0.63,44.73
2017-04-21,70,63.0,,0.63,44.1
2017-04-22,74,63.0,,0.63,46.62
2017-04-23,79,63.0,,0.63,49.77
2017-04-24,68,63.0,,0.63,42.84
2017-04-25,68,63.0,,0.63,42.84
2017-04-26,71,63.0,,0.63,44.73
2017-04-27,74,63.0,,0.63,46.62
2017-04-28,70,63.0,,0.63,44.1
2017-04-29,73,63.0,,0.63,45.99
2017-04-30,76,63.0,,0.63,47.88
2017-05-01,83,62.0,False,0.62,51.46
2017-05-02,83,62.0,,0.62,51.46
2017-05-03,83,62.0,,0.62,51.46
2017-05-04,85,62.0,,0.62,52.7
2017-05-05,86,62.0,,0.62,53.32
2017-05-06,86,62.0,,0.62,53.32
2017-05-07,96,62.0,,0.62,59.519999999999996
2017-05-08,88,62.0,,0.62,54.56
2017-05-09,86,62.0,,0.62,53.32
2017-05-10,82,62.0,,0.62,50.839999999999996
2017-05-11,94,62.0,,0.62,58.28
2017-05-12,92,62.0,,0.62,57.04
2017-05-13,93,62.0,,0.62,57.66
2017-05-14,95,62.0,,0.62,58.9
2017-05-15,87,62.0,,0.62,53.94
2017-05-16,93,62.0,,0.62,57.66
2017-05-17,91,62.0,,0.62,56.42
2017-05-18,96,62.0,,0.62,59.519999999999996
2017-05-19,92,62.0,,0.62,57.04
2017-05-20,96,62.0,,0.62,59.519999999999996
2017-05-21,100,62.0,,0.62,62.0
2017-05-22,89,62.0,,0.62,55.18
2017-05-23,87,62.0,,0.62,53.94
2017-05-24,94,62.0,,0.62,58.28
2017-05-25,89,62.0,,0.62,55.18
2017-05-26,90,62.0,,0.62,55.8
2017-05-27,96,62.0,,0.62,59.519999999999996
2017-05-28,98,62.0,,0.62,60.76
2017-05-29,99,62.0,,0.62,61.38
2017-05-30,89,62.0,,0.62,55.18
2017-05-31,85,62.0,,0.62,52.7
2017-06-01,77,64.0,False,0.64,49.28
2017-06-02,81,64.0,,0.64,51.84
2017-06-03,86,64.0,,0.64,55.04
2017-06-04,88,64.0,,0.64,56.32
2017-06-05,83,64.0,,0.64,53.120000000000005
2017-06-06,84,64.0,,0.64,53.76
2017-06-07,81,64.0,,0.64,51.84
2017-06-08,81,64.0,,0.64,51.84
2017-06-09,82,64.0,,0.64,52.480000000000004
2017-06-10,89,64.0,,0.64,56.96
2017-06-11,88,64.0,,0.64,56.32
2017-06-12,78,64.0,,0.64,49.92
2017-06-13,78,64.0,,0.64,49.92
2017-06-14,82,64.0,,0.64,52.480000000000004
2017-06-15,83,64.0,,0.64,53.120000000000005
2017-06-16,80,64.0,,0.64,51.2
2017-06-17,88,64.0,,0.64,56.32
2017-06-18,100,64.0,,0.64,64.0
2017-06-19,79,64.0,,0.64,50.56
2017-06-20,79,64.0,,0.64,50.56
2017-06-21,80,64.0,,0.64,51.2
2017-06-22,81,64.0,,0.64,51.84
2017-06-23,82,64.0,,0.64,52.480000000000004
2017-06-24,88,64.0,,0.64,56.32
2017-06-25,91,64.0,,0.64,58.24
2017-06-26,81,64.0,,0.64,51.84
2017-06-27,80,64.0,,0.64,51.2
2017-06-28,81,64.0,,0.64,51.84
2017-06-29,87,64.0,,0.64,55.68
2017-06-30,86,64.0,,0.64,55.04
2017-07-01,71,73.0,False,0.73,51.83
2017-07-02,74,73.0,,0.73,54.019999999999996
2017-07-03,69,73.0,,0.73,50.37
2017-07-04,77,73.0,,0.73,56.21
2017-07-05,71,73.0,,0.73,51.83
2017-07-06,74,73.0,,0.73,54.019999999999996
2017-07-07,90,73.0,,0.73,65.7
2017-07-08,100,73.0,,0.73,73.0
2017-07-09,99,73.0,,0.73,72.27
2017-07-10,82,73.0,,0.73,59.86
2017-07-11,76,73.0,,0.73,55.48
2017-07-12,74,73.0,,0.73,54.019999999999996
2017-07-13,75,73.0,,0.73,54.75
2017-07-14,75,73.0,,0.73,54.75
2017-07-15,82,73.0,,0.73,59.86
2017-07-16,87,73.0,,0.73,63.51
2017-07-17,69,73.0,,0.73,50.37
2017-07-18,69,73.0,,0.73,50.37
2017-07-19,71,73.0,,0.73,51.83
2017-07-20,71,73.0,,0.73,51.83
2017-07-21,80,73.0,,0.73,58.4
2017-07-22,82,73.0,,0.73,59.86
2017-07-23,85,73.0,,0.73,62.05
2017-07-24,75,73.0,,0.73,54.75
2017-07-25,71,73.0,,0.73,51.83
2017-07-26,72,73.0,,0.73,52.56
2017-07-27,71,73.0,,0.73,51.83
2017-07-28,73,73.0,,0.73,53.29
2017-07-29,77,73.0,,0.73,56.21
2017-07-30,80,73.0,,0.73,58.4
2017-07-31,65,73.0,,0.73,47.449999999999996
2017-08-01,88,62.0,False,0.62,54.56
2017-08-02,89,62.0,,0.62,55.18
2017-08-03,89,62.0,,0.62,55.18
2017-08-04,88,62.0,,0.62,54.56
2017-08-05,94,62.0,,0.62,58.28
2017-08-06,98,62.0,,0.62,60.76
2017-08-07,88,62.0,,0.62,54.56
2017-08-08,88,62.0,,0.62,54.56
2017-08-09,85,62.0,,0.62,52.7
2017-08-10,85,62.0,,0.62,52.7
2017-08-11,85,62.0,,0.62,52.7
2017-08-12,94,62.0,,0.62,58.28
2017-08-13,100,62.0,,0.62,62.0
2017-08-14,84,62.0,,0.62,52.08
2017-08-15,84,62.0,,0.62,52.08
2017-08-16,81,62.0,,0.62,50.22
2017-08-17,88,62.0,,0.62,54.56
2017-08-18,82,62.0,,0.62,50.839999999999996
2017-08-19,95,62.0,,0.62,58.9
2017-08-20,95,62.0,,0.62,58.9
2017-08-21,81,62.0,,0.62,50.22
2017-08-22,82,62.0,,0.62,50.839999999999996
2017-08-23,83,62.0,,0.62,51.46
2017-08-24,80,62.0,,0.62,49.6
2017-08-25,85,62.0,,0.62,52.7
2017-08-26,94,62.0,,0.62,58.28
2017-08-27,89,62.0,,0.62,55.18
2017-08-28,80,62.0,,0.62,49.6
2017-08-29,82,62.0,,0.62,50.839999999999996
2017-08-30,83,62.0,,0.62,51.46
2017-08-31,83,62.0,,0.62,51.46
2017-09-01,65,61.0,False,0.61,39.65
2017-09-02,72,61.0,,0.61,43.92
2017-09-03,75,61.0,,0.61,45.75
2017-09-04,85,61.0,,0.61,51.85
2017-09-05,65,61.0,,0.61,39.65
2017-09-06,60,61.0,,0.61,36.6
2017-09-07,58,61.0,,0.61,35.38
2017-09-08,58,61.0,,0.61,35.38
2017-09-09,65,61.0,,0.61,39.65
2017-09-10,63,61.0,,0.61,38.43
2017-09-11,58,61.0,,0.61,35.38
2017-09-12,60,61.0,,0.61,36.6
2017-09-13,61,61.0,,0.61,37.21
2017-09-14,61,61.0,,0.61,37.21
2017-09-15,61,61.0,,0.61,37.21
2017-09-16,68,61.0,,0.61,41.48
2017-09-17,67,61.0,,0.61,40.87
2017-09-18,61,61.0,,0.61,37.21
2017-09-19,62,61.0,,0.61,37.82
2017-09-20,64,61.0,,0.61,39.04
2017-09-21,62,61.0,,0.61,37.82
2017-09-22,64,61.0,,0.61,39.04
2017-09-23,67,61.0,,0.61,40.87
2017-09-24,65,61.0,,0.61,39.65
2017-09-25,61,61.0,,0.61,37.21
2017-09-26,62,61.0,,0.61,37.82
2017-09-27,100,61.0,,0.61,61.0
2017-09-28,74,61.0,,0.61,45.14
2017-09-29,67,61.0,,0.61,40.87
2017-09-30,72,61.0,,0.61,43.92
2017-10-01,95,63.0,False,0.63,59.85
2017-10-02,86,63.0,,0.63,54.18
2017-10-03,85,63.0,,0.63,53.55
2017-10-04,88,63.0,,0.63,55.44
2017-10-05,90,63.0,,0.63,56.7
2017-10-06,87,63.0,,0.63,54.81
2017-10-07,93,63.0,,0.63,58.59
2017-10-08,96,63.0,,0.63,60.480000000000004
2017-10-09,90,63.0,,0.63,56.7
2017-10-10,88,63.0,,0.63,55.44
2017-10-11,83,63.0,,0.63,52.29
2017-10-12,84,63.0,,0.63,52.92
2017-10-13,89,63.0,,0.63,56.07
2017-10-14,98,63.0,,0.63,61.74
2017-10-15,94,63.0,,0.63,59.22
2017-10-16,89,63.0,,0.63,56.07
2017-10-17,89,63.0,,0.63,56.07
2017-10-18,93,63.0,,0.63,58.59
2017-10-19,91,63.0,,0.63,57.33
2017-10-20,91,63.0,,0.63,57.33
2017-10-21,97,63.0,,0.63,61.11
2017-10-22,96,63.0,,0.63,60.480000000000004
2017-10-23,87,63.0,,0.63,54.81
2017-10-24,93,63.0,,0.63,58.59
2017-10-25,89,63.0,,0.63,56.07
2017-10-26,93,63.0,,0.63,58.59
2017-10-27,90,63.0,,0.63,56.7
2017-10-28,100,63.0,,0.63,63.0
2017-10-29,96,63.0,,0.63,60.480000000000004
2017-10-30,87,63.0,,0.63,54.81
2017-10-31,90,63.0,,0.63,56.7
2017-11-01,85,63.0,False,0.63,53.55
2017-11-02,82,63.0,,0.63,51.660000000000004
2017-11-03,83,63.0,,0.63,52.29
2017-11-04,87,63.0,,0.63,54.81
2017-11-05,93,63.0,,0.63,58.59
2017-11-06,86,63.0,,0.63,54.18
2017-11-07,84,63.0,,0.63,52.92
2017-11-08,81,63.0,,0.63,51.03
2017-11-09,87,63.0,,0.63,54.81
2017-11-10,84,63.0,,0.63,52.92
2017-11-11,87,63.0,,0.63,54.81
2017-11-12,85,63.0,,0.63,53.55
2017-11-13,82,63.0,,0.63,51.660000000000004
2017-11-14,88,63.0,,0.63,55.44
2017-11-15,100,63.0,,0.63,63.0
2017-11-16,92,63.0,,0.63,57.96
2017-11-17,93,63.0,,0.63,58.59
2017-11-18,97,63.0,,0.63,61.11
2017-11-19,98,63.0,,0.63,61.74
2017-11-20,90,63.0,,0.63,56.7
2017-11-21,90,63.0,,0.63,56.7
2017-11-22,89,63.0,,0.63,56.07
2017-11-23,90,63.0,,0.63,56.7
2017-11-24,90,63.0,,0.63,56.7
2017-11-25,97,63.0,,0.63,61.11
2017-11-26,100,63.0,,0.63,63.0
2017-11-27,83,63.0,,0.63,52.29
2017-11-28,88,63.0,,0.63,55.44
2017-11-29,91,63.0,,0.63,57.33
2017-11-30,93,63.0,,0.63,58.59
2017-12-01,86,63.0,False,0.63,54.18
2017-12-02,94,63.0,,0.63,59.22
2017-12-03,95,63.0,,0.63,59.85
2017-12-04,86,63.0,,0.63,54.18
2017-12-05,84,63.0,,0.63,52.92
2017-12-06,90,63.0,,0.63,56.7
2017-12-07,87,63.0,,0.63,54.81
2017-12-08,87,63.0,,0.63,54.81
2017-12-09,94,63.0,,0.63,59.22
2017-12-10,100,63.0,,0.63,63.0
2017-12-11,86,63.0,,0.63,54.18
2017-12-12,90,63.0,,0.63,56.7
2017-12-13,85,63.0,,0.63,53.55
2017-12-14,86,63.0,,0.63,54.18
2017-12-15,85,63.0,,0.63,53.55
2017-12-16,90,63.0,,0.63,56.7
2017-12-17,90,63.0,,0.63,56.7
2017-12-18,84,63.0,,0.63,52.92
2017-12-19,87,63.0,,0.63,54.81
2017-12-20,88,63.0,,0.63,55.44
2017-12-21,84,63.0,,0.63,52.92
2017-12-22,84,63.0,,0.63,52.92
2017-12-23,92,63.0,,0.63,57.96
2017-12-24,89,63.0,,0.63,56.07
2017-12-25,88,63.0,,0.63,55.44
2017-12-26,82,63.0,,0.63,51.660000000000004
2017-12-27,81,63.0,,0.63,51.03
2017-12-28,79,63.0,,0.63,49.77
2017-12-29,79,63.0,,0.63,49.77
2017-12-30,89,63.0,,0.63,56.07
2017-12-31,90,63.0,,0.63,56.7
