date,CAN_unscaled,CAN_monthly,isPartial,scale,CAN
2016-10-18,100,61.0,,0.61,61.0
2016-10-19,99,61.0,,0.61,60.39
2016-10-20,95,61.0,,0.61,57.949999999999996
2016-10-21,95,61.0,,0.61,57.949999999999996
2016-10-22,97,61.0,,0.61,59.17
2016-10-23,99,61.0,,0.61,60.39
2016-10-24,95,61.0,,0.61,57.949999999999996
2016-10-25,97,61.0,,0.61,59.17
2016-10-26,98,61.0,,0.61,59.78
2016-10-27,98,61.0,,0.61,59.78
2016-10-28,94,61.0,,0.61,57.339999999999996
2016-10-29,96,61.0,,0.61,58.56
2016-10-30,98,61.0,,0.61,59.78
2016-10-31,93,61.0,,0.61,56.73
2016-11-01,82,61.0,False,0.61,50.019999999999996
2016-11-02,87,61.0,,0.61,53.07
2016-11-03,83,61.0,,0.61,50.629999999999995
2016-11-04,83,61.0,,0.61,50.629999999999995
2016-11-05,86,61.0,,0.61,52.46
2016-11-06,90,61.0,,0.61,54.9
2016-11-07,89,61.0,,0.61,54.29
2016-11-08,100,61.0,,0.61,61.0
2016-11-09,75,61.0,,0.61,45.75
2016-11-10,90,61.0,,0.61,54.9
2016-11-11,82,61.0,,0.61,50.019999999999996
2016-11-12,88,61.0,,0.61,53.68
2016-11-13,89,61.0,,0.61,54.29
2016-11-14,88,61.0,,0.61,53.68
2016-11-15,87,61.0,,0.61,53.07
2016-11-16,88,61.0,,0.61,53.68
2016-11-17,86,61.0,,0.61,52.46
2016-11-18,86,61.0,,0.61,52.46
2016-11-19,87,61.0,,0.61,53.07
2016-11-20,87,61.0,,0.61,53.07
2016-11-21,82,61.0,,0.61,50.019999999999996
2016-11-22,86,61.0,,0.61,52.46
2016-11-23,88,61.0,,0.61,53.68
2016-11-24,89,61.0,,0.61,54.29
2016-11-25,75,61.0,,0.61,45.75
2016-11-26,83,61.0,,0.61,50.629999999999995
2016-11-27,92,61.0,,0.61,56.12
2016-11-28,81,61.0,,0.61,49.41
2016-11-29,89,61.0,,0.61,54.29
2016-11-30,88,61.0,,0.61,53.68
2016-12-01,93,61.0,False,0.61,56.73
2016-12-02,90,61.0,,0.61,54.9
2016-12-03,93,61.0,,0.61,56.73
2016-12-04,96,61.0,,0.61,58.56
2016-12-05,90,61.0,,0.61,54.9
2016-12-06,94,61.0,,0.61,57.339999999999996
2016-12-07,91,61.0,,0.61,55.51
2016-12-08,93,61.0,,0.61,56.73
2016-12-09,86,61.0,,0.61,52.46
2016-12-10,93,61.0,,0.61,56.73
2016-12-11,94,61.0,,0.61,57.339999999999996
2016-12-12,92,61.0,,0.61,56.12
2016-12-13,93,61.0,,0.61,56.73
2016-12-14,92,61.0,,0.61,56.12
2016-12-15,90,61.0,,0.61,54.9
2016-12-16,92,61.0,,0.61,56.12
2016-12-17,92,61.0,,0.61,56.12
2016-12-18,93,61.0,,0.61,56.73
2016-12-19,93,61.0,,0.61,56.73
2016-12-20,94,61.0,,0.61,57.339999999999996
2016-12-21,95,61.0,,0.61,57.949999999999996
2016-12-22,93,61.0,,0.61,56.73
