date,AMAT_unscaled,AMAT_monthly,isPartial,scale,AMAT
2016-08-16,30,39.0,,0.39,11.700000000000001
2016-08-17,18,39.0,,0.39,7.0200000000000005
2016-08-18,56,39.0,,0.39,21.84
2016-08-19,82,39.0,,0.39,31.98
2016-08-20,36,39.0,,0.39,14.040000000000001
2016-08-21,22,39.0,,0.39,8.58
2016-08-22,64,39.0,,0.39,24.96
2016-08-23,45,39.0,,0.39,17.55
2016-08-24,60,39.0,,0.39,23.400000000000002
2016-08-25,48,39.0,,0.39,18.72
2016-08-26,75,39.0,,0.39,29.25
2016-08-27,100,39.0,,0.39,39.0
2016-08-28,17,39.0,,0.39,6.63
2016-08-29,64,39.0,,0.39,24.96
2016-08-30,52,39.0,,0.39,20.28
2016-08-31,53,39.0,,0.39,20.67
2016-09-01,67,42.0,False,0.42,28.14
2016-09-02,69,42.0,,0.42,28.98
2016-09-03,67,42.0,,0.42,28.14
2016-09-04,44,42.0,,0.42,18.48
2016-09-05,44,42.0,,0.42,18.48
2016-09-06,63,42.0,,0.42,26.459999999999997
2016-09-07,44,42.0,,0.42,18.48
2016-09-08,52,42.0,,0.42,21.84
2016-09-09,68,42.0,,0.42,28.56
2016-09-10,42,42.0,,0.42,17.64
2016-09-11,56,42.0,,0.42,23.52
2016-09-12,78,42.0,,0.42,32.76
2016-09-13,100,42.0,,0.42,42.0
2016-09-14,35,42.0,,0.42,14.7
2016-09-15,56,42.0,,0.42,23.52
2016-09-16,46,42.0,,0.42,19.32
2016-09-17,49,42.0,,0.42,20.58
2016-09-18,35,42.0,,0.42,14.7
2016-09-19,58,42.0,,0.42,24.36
2016-09-20,48,42.0,,0.42,20.16
2016-09-21,59,42.0,,0.42,24.779999999999998
2016-09-22,49,42.0,,0.42,20.58
2016-09-23,54,42.0,,0.42,22.68
2016-09-24,59,42.0,,0.42,24.779999999999998
2016-09-25,12,42.0,,0.42,5.04
2016-09-26,41,42.0,,0.42,17.22
2016-09-27,52,42.0,,0.42,21.84
2016-09-28,48,42.0,,0.42,20.16
2016-09-29,31,42.0,,0.42,13.02
2016-09-30,61,42.0,,0.42,25.619999999999997
2016-10-01,78,34.0,False,0.34,26.520000000000003
2016-10-02,59,34.0,,0.34,20.060000000000002
2016-10-03,83,34.0,,0.34,28.220000000000002
2016-10-04,59,34.0,,0.34,20.060000000000002
2016-10-05,59,34.0,,0.34,20.060000000000002
2016-10-06,84,34.0,,0.34,28.560000000000002
2016-10-07,45,34.0,,0.34,15.3
2016-10-08,60,34.0,,0.34,20.400000000000002
2016-10-09,17,34.0,,0.34,5.78
2016-10-10,45,34.0,,0.34,15.3
2016-10-11,100,34.0,,0.34,34.0
2016-10-12,45,34.0,,0.34,15.3
2016-10-13,75,34.0,,0.34,25.500000000000004
2016-10-14,78,34.0,,0.34,26.520000000000003
2016-10-15,62,34.0,,0.34,21.080000000000002
2016-10-16,41,34.0,,0.34,13.940000000000001
2016-10-17,79,34.0,,0.34,26.860000000000003
2016-10-18,44,34.0,,0.34,14.96
2016-10-19,55,34.0,,0.34,18.700000000000003
2016-10-20,65,34.0,,0.34,22.1
2016-10-21,71,34.0,,0.34,24.14
2016-10-22,44,34.0,,0.34,14.96
2016-10-23,24,34.0,,0.34,8.16
2016-10-24,98,34.0,,0.34,33.32
2016-10-25,73,34.0,,0.34,24.82
2016-10-26,59,34.0,,0.34,20.060000000000002
2016-10-27,39,34.0,,0.34,13.260000000000002
2016-10-28,78,34.0,,0.34,26.520000000000003
2016-10-29,96,34.0,,0.34,32.64
2016-10-30,59,34.0,,0.34,20.060000000000002
2016-10-31,84,34.0,,0.34,28.560000000000002
2016-11-01,58,36.0,False,0.36,20.88
2016-11-02,23,36.0,,0.36,8.28
2016-11-03,45,36.0,,0.36,16.2
2016-11-04,48,36.0,,0.36,17.28
2016-11-05,36,36.0,,0.36,12.959999999999999
2016-11-06,35,36.0,,0.36,12.6
2016-11-07,77,36.0,,0.36,27.72
2016-11-08,34,36.0,,0.36,12.24
2016-11-09,31,36.0,,0.36,11.16
2016-11-10,47,36.0,,0.36,16.919999999999998
2016-11-11,51,36.0,,0.36,18.36
2016-11-12,63,36.0,,0.36,22.68
2016-11-13,12,36.0,,0.36,4.32
2016-11-14,74,36.0,,0.36,26.64
2016-11-15,39,36.0,,0.36,14.04
2016-11-16,49,36.0,,0.36,17.64
2016-11-17,100,36.0,,0.36,36.0
2016-11-18,95,36.0,,0.36,34.199999999999996
2016-11-19,40,36.0,,0.36,14.399999999999999
2016-11-20,15,36.0,,0.36,5.3999999999999995
2016-11-21,69,36.0,,0.36,24.84
2016-11-22,54,36.0,,0.36,19.439999999999998
2016-11-23,32,36.0,,0.36,11.52
2016-11-24,16,36.0,,0.36,5.76
2016-11-25,22,36.0,,0.36,7.92
2016-11-26,26,36.0,,0.36,9.36
2016-11-27,34,36.0,,0.36,12.24
2016-11-28,30,36.0,,0.36,10.799999999999999
2016-11-29,33,36.0,,0.36,11.879999999999999
2016-11-30,49,36.0,,0.36,17.64
2016-12-01,100,33.0,False,0.33,33.0
2016-12-02,76,33.0,,0.33,25.080000000000002
2016-12-03,25,33.0,,0.33,8.25
2016-12-04,28,33.0,,0.33,9.24
2016-12-05,85,33.0,,0.33,28.05
2016-12-06,63,33.0,,0.33,20.790000000000003
2016-12-07,45,33.0,,0.33,14.850000000000001
2016-12-08,29,33.0,,0.33,9.57
2016-12-09,69,33.0,,0.33,22.77
2016-12-10,52,33.0,,0.33,17.16
2016-12-11,48,33.0,,0.33,15.84
2016-12-12,80,33.0,,0.33,26.400000000000002
2016-12-13,81,33.0,,0.33,26.73
2016-12-14,71,33.0,,0.33,23.43
2016-12-15,84,33.0,,0.33,27.720000000000002
2016-12-16,66,33.0,,0.33,21.78
2016-12-17,41,33.0,,0.33,13.530000000000001
2016-12-18,5,33.0,,0.33,1.6500000000000001
2016-12-19,30,33.0,,0.33,9.9
2016-12-20,49,33.0,,0.33,16.17
2016-12-21,55,33.0,,0.33,18.150000000000002
2016-12-22,61,33.0,,0.33,20.130000000000003
2016-12-23,72,33.0,,0.33,23.76
2016-12-24,32,33.0,,0.33,10.56
2016-12-25,40,33.0,,0.33,13.200000000000001
2016-12-26,25,33.0,,0.33,8.25
2016-12-27,81,33.0,,0.33,26.73
2016-12-28,55,33.0,,0.33,18.150000000000002
2016-12-29,45,33.0,,0.33,14.850000000000001
2016-12-30,47,33.0,,0.33,15.510000000000002
2016-12-31,24,33.0,,0.33,7.92
2017-01-01,9,36.0,False,0.36,3.2399999999999998
2017-01-02,49,36.0,,0.36,17.64
2017-01-03,68,36.0,,0.36,24.48
2017-01-04,64,36.0,,0.36,23.04
2017-01-05,98,36.0,,0.36,35.28
2017-01-06,23,36.0,,0.36,8.28
2017-01-07,35,36.0,,0.36,12.6
2017-01-08,26,36.0,,0.36,9.36
2017-01-09,51,36.0,,0.36,18.36
2017-01-10,66,36.0,,0.36,23.759999999999998
2017-01-11,100,36.0,,0.36,36.0
2017-01-12,67,36.0,,0.36,24.119999999999997
2017-01-13,42,36.0,,0.36,15.12
2017-01-14,18,36.0,,0.36,6.4799999999999995
2017-01-15,8,36.0,,0.36,2.88
2017-01-16,38,36.0,,0.36,13.68
2017-01-17,62,36.0,,0.36,22.32
2017-01-18,87,36.0,,0.36,31.32
2017-01-19,84,36.0,,0.36,30.24
2017-01-20,73,36.0,,0.36,26.279999999999998
2017-01-21,47,36.0,,0.36,16.919999999999998
2017-01-22,41,36.0,,0.36,14.76
2017-01-23,49,36.0,,0.36,17.64
2017-01-24,65,36.0,,0.36,23.4
2017-01-25,54,36.0,,0.36,19.439999999999998
2017-01-26,40,36.0,,0.36,14.399999999999999
2017-01-27,86,36.0,,0.36,30.959999999999997
2017-01-28,39,36.0,,0.36,14.04
2017-01-29,48,36.0,,0.36,17.28
2017-01-30,43,36.0,,0.36,15.479999999999999
2017-01-31,86,36.0,,0.36,30.959999999999997
2017-02-01,45,42.0,False,0.42,18.9
2017-02-02,35,42.0,,0.42,14.7
2017-02-03,21,42.0,,0.42,8.82
2017-02-04,23,42.0,,0.42,9.66
2017-02-05,20,42.0,,0.42,8.4
2017-02-06,26,42.0,,0.42,10.92
2017-02-07,29,42.0,,0.42,12.18
2017-02-08,31,42.0,,0.42,13.02
2017-02-09,34,42.0,,0.42,14.28
2017-02-10,39,42.0,,0.42,16.38
2017-02-11,31,42.0,,0.42,13.02
2017-02-12,20,42.0,,0.42,8.4
2017-02-13,32,42.0,,0.42,13.44
2017-02-14,44,42.0,,0.42,18.48
2017-02-15,100,42.0,,0.42,42.0
2017-02-16,86,42.0,,0.42,36.12
2017-02-17,40,42.0,,0.42,16.8
2017-02-18,50,42.0,,0.42,21.0
2017-02-19,28,42.0,,0.42,11.76
2017-02-20,11,42.0,,0.42,4.62
2017-02-21,27,42.0,,0.42,11.34
2017-02-22,55,42.0,,0.42,23.099999999999998
2017-02-23,35,42.0,,0.42,14.7
2017-02-24,49,42.0,,0.42,20.58
2017-02-25,20,42.0,,0.42,8.4
2017-02-26,14,42.0,,0.42,5.88
2017-02-27,48,42.0,,0.42,20.16
2017-02-28,49,42.0,,0.42,20.58
2017-03-01,75,40.0,False,0.4,30.0
2017-03-02,85,40.0,,0.4,34.0
2017-03-03,70,40.0,,0.4,28.0
2017-03-04,39,40.0,,0.4,15.600000000000001
2017-03-05,43,40.0,,0.4,17.2
2017-03-06,97,40.0,,0.4,38.800000000000004
2017-03-07,78,40.0,,0.4,31.200000000000003
2017-03-08,90,40.0,,0.4,36.0
2017-03-09,65,40.0,,0.4,26.0
2017-03-10,88,40.0,,0.4,35.2
2017-03-11,52,40.0,,0.4,20.8
2017-03-12,12,40.0,,0.4,4.800000000000001
2017-03-13,72,40.0,,0.4,28.8
2017-03-14,58,40.0,,0.4,23.200000000000003
2017-03-15,59,40.0,,0.4,23.6
2017-03-16,59,40.0,,0.4,23.6
2017-03-17,100,40.0,,0.4,40.0
2017-03-18,26,40.0,,0.4,10.4
2017-03-19,35,40.0,,0.4,14.0
2017-03-20,62,40.0,,0.4,24.8
2017-03-21,62,40.0,,0.4,24.8
2017-03-22,77,40.0,,0.4,30.8
2017-03-23,75,40.0,,0.4,30.0
2017-03-24,68,40.0,,0.4,27.200000000000003
2017-03-25,40,40.0,,0.4,16.0
2017-03-26,13,40.0,,0.4,5.2
2017-03-27,51,40.0,,0.4,20.400000000000002
2017-03-28,56,40.0,,0.4,22.400000000000002
2017-03-29,93,40.0,,0.4,37.2
2017-03-30,90,40.0,,0.4,36.0
2017-03-31,60,40.0,,0.4,24.0
2017-04-01,40,43.0,False,0.43,17.2
2017-04-02,36,43.0,,0.43,15.48
2017-04-03,54,43.0,,0.43,23.22
2017-04-04,71,43.0,,0.43,30.53
2017-04-05,62,43.0,,0.43,26.66
2017-04-06,81,43.0,,0.43,34.83
2017-04-07,71,43.0,,0.43,30.53
2017-04-08,36,43.0,,0.43,15.48
2017-04-09,12,43.0,,0.43,5.16
2017-04-10,82,43.0,,0.43,35.26
2017-04-11,73,43.0,,0.43,31.39
2017-04-12,57,43.0,,0.43,24.509999999999998
2017-04-13,57,43.0,,0.43,24.509999999999998
2017-04-14,65,43.0,,0.43,27.95
2017-04-15,41,43.0,,0.43,17.63
2017-04-16,17,43.0,,0.43,7.31
2017-04-17,50,43.0,,0.43,21.5
2017-04-18,87,43.0,,0.43,37.41
2017-04-19,98,43.0,,0.43,42.14
2017-04-20,85,43.0,,0.43,36.55
2017-04-21,100,43.0,,0.43,43.0
2017-04-22,32,43.0,,0.43,13.76
2017-04-23,36,43.0,,0.43,15.48
2017-04-24,52,43.0,,0.43,22.36
2017-04-25,74,43.0,,0.43,31.82
2017-04-26,83,43.0,,0.43,35.69
2017-04-27,65,43.0,,0.43,27.95
2017-04-28,87,43.0,,0.43,37.41
2017-04-29,32,43.0,,0.43,13.76
2017-04-30,8,43.0,,0.43,3.44
2017-05-01,17,55.0,False,0.55,9.350000000000001
2017-05-02,21,55.0,,0.55,11.55
2017-05-03,37,55.0,,0.55,20.35
2017-05-04,21,55.0,,0.55,11.55
2017-05-05,20,55.0,,0.55,11.0
2017-05-06,14,55.0,,0.55,7.700000000000001
2017-05-07,9,55.0,,0.55,4.95
2017-05-08,26,55.0,,0.55,14.3
2017-05-09,22,55.0,,0.55,12.100000000000001
2017-05-10,33,55.0,,0.55,18.150000000000002
2017-05-11,30,55.0,,0.55,16.5
2017-05-12,36,55.0,,0.55,19.8
2017-05-13,11,55.0,,0.55,6.050000000000001
2017-05-14,11,55.0,,0.55,6.050000000000001
2017-05-15,38,55.0,,0.55,20.900000000000002
2017-05-16,44,55.0,,0.55,24.200000000000003
2017-05-17,59,55.0,,0.55,32.45
2017-05-18,100,55.0,,0.55,55.00000000000001
2017-05-19,76,55.0,,0.55,41.800000000000004
2017-05-20,17,55.0,,0.55,9.350000000000001
2017-05-21,18,55.0,,0.55,9.9
2017-05-22,36,55.0,,0.55,19.8
2017-05-23,32,55.0,,0.55,17.6
2017-05-24,41,55.0,,0.55,22.55
2017-05-25,37,55.0,,0.55,20.35
2017-05-26,36,55.0,,0.55,19.8
2017-05-27,7,55.0,,0.55,3.8500000000000005
2017-05-28,4,55.0,,0.55,2.2
2017-05-29,23,55.0,,0.55,12.65
2017-05-30,29,55.0,,0.55,15.950000000000001
2017-05-31,32,55.0,,0.55,17.6
2017-06-01,73,54.0,False,0.54,39.42
2017-06-02,73,54.0,,0.54,39.42
2017-06-03,40,54.0,,0.54,21.6
2017-06-04,18,54.0,,0.54,9.72
2017-06-05,71,54.0,,0.54,38.34
2017-06-06,67,54.0,,0.54,36.18
2017-06-07,79,54.0,,0.54,42.660000000000004
2017-06-08,68,54.0,,0.54,36.72
2017-06-09,79,54.0,,0.54,42.660000000000004
2017-06-10,44,54.0,,0.54,23.76
2017-06-11,15,54.0,,0.54,8.100000000000001
2017-06-12,95,54.0,,0.54,51.300000000000004
2017-06-13,90,54.0,,0.54,48.6
2017-06-14,100,54.0,,0.54,54.0
2017-06-15,89,54.0,,0.54,48.06
2017-06-16,89,54.0,,0.54,48.06
2017-06-17,7,54.0,,0.54,3.7800000000000002
2017-06-18,26,54.0,,0.54,14.040000000000001
2017-06-19,87,54.0,,0.54,46.980000000000004
2017-06-20,51,54.0,,0.54,27.540000000000003
2017-06-21,40,54.0,,0.54,21.6
2017-06-22,66,54.0,,0.54,35.64
2017-06-23,76,54.0,,0.54,41.040000000000006
2017-06-24,28,54.0,,0.54,15.120000000000001
2017-06-25,29,54.0,,0.54,15.66
2017-06-26,82,54.0,,0.54,44.28
2017-06-27,56,54.0,,0.54,30.240000000000002
2017-06-28,83,54.0,,0.54,44.82
2017-06-29,77,54.0,,0.54,41.580000000000005
2017-06-30,42,54.0,,0.54,22.68
2017-07-01,37,45.0,False,0.45,16.650000000000002
2017-07-02,11,45.0,,0.45,4.95
2017-07-03,51,45.0,,0.45,22.95
2017-07-04,15,45.0,,0.45,6.75
2017-07-05,69,45.0,,0.45,31.05
2017-07-06,58,45.0,,0.45,26.1
2017-07-07,47,45.0,,0.45,21.150000000000002
2017-07-08,14,45.0,,0.45,6.3
2017-07-09,22,45.0,,0.45,9.9
2017-07-10,77,45.0,,0.45,34.65
2017-07-11,95,45.0,,0.45,42.75
2017-07-12,71,45.0,,0.45,31.95
2017-07-13,81,45.0,,0.45,36.45
2017-07-14,76,45.0,,0.45,34.2
2017-07-15,29,45.0,,0.45,13.05
2017-07-16,11,45.0,,0.45,4.95
2017-07-17,43,45.0,,0.45,19.35
2017-07-18,71,45.0,,0.45,31.95
2017-07-19,77,45.0,,0.45,34.65
2017-07-20,88,45.0,,0.45,39.6
2017-07-21,91,45.0,,0.45,40.95
2017-07-22,7,45.0,,0.45,3.15
2017-07-23,18,45.0,,0.45,8.1
2017-07-24,67,45.0,,0.45,30.150000000000002
2017-07-25,64,45.0,,0.45,28.8
2017-07-26,100,45.0,,0.45,45.0
2017-07-27,88,45.0,,0.45,39.6
2017-07-28,62,45.0,,0.45,27.900000000000002
2017-07-29,7,45.0,,0.45,3.15
2017-07-30,33,45.0,,0.45,14.85
2017-07-31,43,45.0,,0.45,19.35
2017-08-01,28,55.0,False,0.55,15.400000000000002
2017-08-02,52,55.0,,0.55,28.6
2017-08-03,36,55.0,,0.55,19.8
2017-08-04,37,55.0,,0.55,20.35
2017-08-05,23,55.0,,0.55,12.65
2017-08-06,7,55.0,,0.55,3.8500000000000005
2017-08-07,37,55.0,,0.55,20.35
2017-08-08,49,55.0,,0.55,26.950000000000003
2017-08-09,43,55.0,,0.55,23.650000000000002
2017-08-10,40,55.0,,0.55,22.0
2017-08-11,28,55.0,,0.55,15.400000000000002
2017-08-12,29,55.0,,0.55,15.950000000000001
2017-08-13,11,55.0,,0.55,6.050000000000001
2017-08-14,56,55.0,,0.55,30.800000000000004
2017-08-15,40,55.0,,0.55,22.0
2017-08-16,42,55.0,,0.55,23.1
2017-08-17,100,55.0,,0.55,55.00000000000001
2017-08-18,77,55.0,,0.55,42.35
2017-08-19,33,55.0,,0.55,18.150000000000002
2017-08-20,29,55.0,,0.55,15.950000000000001
2017-08-21,42,55.0,,0.55,23.1
2017-08-22,38,55.0,,0.55,20.900000000000002
2017-08-23,42,55.0,,0.55,23.1
2017-08-24,45,55.0,,0.55,24.750000000000004
2017-08-25,33,55.0,,0.55,18.150000000000002
2017-08-26,70,55.0,,0.55,38.5
2017-08-27,17,55.0,,0.55,9.350000000000001
2017-08-28,34,55.0,,0.55,18.700000000000003
2017-08-29,42,55.0,,0.55,23.1
2017-08-30,52,55.0,,0.55,28.6
2017-08-31,48,55.0,,0.55,26.400000000000002
2017-09-01,40,50.0,False,0.5,20.0
2017-09-02,53,50.0,,0.5,26.5
2017-09-03,21,50.0,,0.5,10.5
2017-09-04,23,50.0,,0.5,11.5
2017-09-05,34,50.0,,0.5,17.0
2017-09-06,24,50.0,,0.5,12.0
2017-09-07,27,50.0,,0.5,13.5
2017-09-08,32,50.0,,0.5,16.0
2017-09-09,32,50.0,,0.5,16.0
2017-09-10,10,50.0,,0.5,5.0
2017-09-11,35,50.0,,0.5,17.5
2017-09-12,49,50.0,,0.5,24.5
2017-09-13,36,50.0,,0.5,18.0
2017-09-14,45,50.0,,0.5,22.5
2017-09-15,47,50.0,,0.5,23.5
2017-09-16,45,50.0,,0.5,22.5
2017-09-17,22,50.0,,0.5,11.0
2017-09-18,52,50.0,,0.5,26.0
2017-09-19,37,50.0,,0.5,18.5
2017-09-20,35,50.0,,0.5,17.5
2017-09-21,31,50.0,,0.5,15.5
2017-09-22,27,50.0,,0.5,13.5
2017-09-23,23,50.0,,0.5,11.5
2017-09-24,24,50.0,,0.5,12.0
2017-09-25,19,50.0,,0.5,9.5
2017-09-26,26,50.0,,0.5,13.0
2017-09-27,45,50.0,,0.5,22.5
2017-09-28,76,50.0,,0.5,38.0
2017-09-29,100,50.0,,0.5,50.0
2017-09-30,32,50.0,,0.5,16.0
2017-10-01,33,67.0,False,0.67,22.110000000000003
2017-10-02,74,67.0,,0.67,49.580000000000005
2017-10-03,100,67.0,,0.67,67.0
2017-10-04,54,67.0,,0.67,36.18
2017-10-05,86,67.0,,0.67,57.620000000000005
2017-10-06,74,67.0,,0.67,49.580000000000005
2017-10-07,73,67.0,,0.67,48.910000000000004
2017-10-08,24,67.0,,0.67,16.080000000000002
2017-10-09,38,67.0,,0.67,25.46
2017-10-10,51,67.0,,0.67,34.17
2017-10-11,69,67.0,,0.67,46.230000000000004
2017-10-12,79,67.0,,0.67,52.93
2017-10-13,72,67.0,,0.67,48.24
2017-10-14,43,67.0,,0.67,28.810000000000002
2017-10-15,24,67.0,,0.67,16.080000000000002
2017-10-16,75,67.0,,0.67,50.25
2017-10-17,57,67.0,,0.67,38.190000000000005
2017-10-18,58,67.0,,0.67,38.86
2017-10-19,60,67.0,,0.67,40.2
2017-10-20,75,67.0,,0.67,50.25
2017-10-21,69,67.0,,0.67,46.230000000000004
2017-10-22,11,67.0,,0.67,7.37
2017-10-23,53,67.0,,0.67,35.510000000000005
2017-10-24,86,67.0,,0.67,57.620000000000005
2017-10-25,81,67.0,,0.67,54.27
2017-10-26,72,67.0,,0.67,48.24
2017-10-27,84,67.0,,0.67,56.28
2017-10-28,74,67.0,,0.67,49.580000000000005
2017-10-29,37,67.0,,0.67,24.790000000000003
2017-10-30,66,67.0,,0.67,44.220000000000006
2017-10-31,67,67.0,,0.67,44.89
2017-11-01,38,75.0,False,0.75,28.5
2017-11-02,28,75.0,,0.75,21.0
2017-11-03,36,75.0,,0.75,27.0
2017-11-04,20,75.0,,0.75,15.0
2017-11-05,10,75.0,,0.75,7.5
2017-11-06,27,75.0,,0.75,20.25
2017-11-07,31,75.0,,0.75,23.25
2017-11-08,28,75.0,,0.75,21.0
2017-11-09,23,75.0,,0.75,17.25
2017-11-10,24,75.0,,0.75,18.0
2017-11-11,26,75.0,,0.75,19.5
2017-11-12,13,75.0,,0.75,9.75
2017-11-13,34,75.0,,0.75,25.5
2017-11-14,51,75.0,,0.75,38.25
2017-11-15,29,75.0,,0.75,21.75
2017-11-16,100,75.0,,0.75,75.0
2017-11-17,96,75.0,,0.75,72.0
2017-11-18,19,75.0,,0.75,14.25
2017-11-19,13,75.0,,0.75,9.75
2017-11-20,36,75.0,,0.75,27.0
2017-11-21,46,75.0,,0.75,34.5
2017-11-22,34,75.0,,0.75,25.5
2017-11-23,16,75.0,,0.75,12.0
2017-11-24,24,75.0,,0.75,18.0
2017-11-25,13,75.0,,0.75,9.75
2017-11-26,6,75.0,,0.75,4.5
2017-11-27,34,75.0,,0.75,25.5
2017-11-28,37,75.0,,0.75,27.75
2017-11-29,54,75.0,,0.75,40.5
2017-11-30,67,75.0,,0.75,50.25
2017-12-01,53,66.0,False,0.66,34.980000000000004
2017-12-02,32,66.0,,0.66,21.12
2017-12-03,12,66.0,,0.66,7.92
2017-12-04,69,66.0,,0.66,45.54
2017-12-05,74,66.0,,0.66,48.84
2017-12-06,99,66.0,,0.66,65.34
2017-12-07,70,66.0,,0.66,46.2
2017-12-08,61,66.0,,0.66,40.260000000000005
2017-12-09,25,66.0,,0.66,16.5
2017-12-10,25,66.0,,0.66,16.5
2017-12-11,55,66.0,,0.66,36.300000000000004
2017-12-12,59,66.0,,0.66,38.940000000000005
2017-12-13,50,66.0,,0.66,33.0
2017-12-14,46,66.0,,0.66,30.360000000000003
2017-12-15,76,66.0,,0.66,50.160000000000004
2017-12-16,24,66.0,,0.66,15.84
2017-12-17,38,66.0,,0.66,25.080000000000002
2017-12-18,69,66.0,,0.66,45.54
2017-12-19,70,66.0,,0.66,46.2
2017-12-20,100,66.0,,0.66,66.0
2017-12-21,46,66.0,,0.66,30.360000000000003
