date,CHK_unscaled,CHK_monthly,isPartial,scale,CHK
2016-12-29,61,67.0,,0.67,40.870000000000005
2016-12-30,49,67.0,,0.67,32.830000000000005
2016-12-31,18,67.0,,0.67,12.06
2017-01-01,9,52.0,False,0.52,4.68
2017-01-02,16,52.0,,0.52,8.32
2017-01-03,63,52.0,,0.52,32.76
2017-01-04,63,52.0,,0.52,32.76
2017-01-05,85,52.0,,0.52,44.2
2017-01-06,63,52.0,,0.52,32.76
2017-01-07,18,52.0,,0.52,9.36
2017-01-08,11,52.0,,0.52,5.720000000000001
2017-01-09,54,52.0,,0.52,28.080000000000002
2017-01-10,51,52.0,,0.52,26.52
2017-01-11,53,52.0,,0.52,27.560000000000002
2017-01-12,55,52.0,,0.52,28.6
2017-01-13,49,52.0,,0.52,25.48
2017-01-14,14,52.0,,0.52,7.28
2017-01-15,5,52.0,,0.52,2.6
2017-01-16,21,52.0,,0.52,10.92
2017-01-17,68,52.0,,0.52,35.36
2017-01-18,52,52.0,,0.52,27.04
2017-01-19,64,52.0,,0.52,33.28
2017-01-20,53,52.0,,0.52,27.560000000000002
2017-01-21,24,52.0,,0.52,12.48
2017-01-22,14,52.0,,0.52,7.28
2017-01-23,49,52.0,,0.52,25.48
2017-01-24,53,52.0,,0.52,27.560000000000002
2017-01-25,100,52.0,,0.52,52.0
2017-01-26,59,52.0,,0.52,30.68
2017-01-27,49,52.0,,0.52,25.48
2017-01-28,18,52.0,,0.52,9.36
2017-01-29,11,52.0,,0.52,5.720000000000001
2017-01-30,60,52.0,,0.52,31.200000000000003
2017-01-31,69,52.0,,0.52,35.88
2017-02-01,62,56.0,False,0.56,34.720000000000006
2017-02-02,56,56.0,,0.56,31.360000000000003
2017-02-03,48,56.0,,0.56,26.880000000000003
2017-02-04,17,56.0,,0.56,9.520000000000001
2017-02-05,7,56.0,,0.56,3.9200000000000004
2017-02-06,58,56.0,,0.56,32.480000000000004
2017-02-07,46,56.0,,0.56,25.76
2017-02-08,63,56.0,,0.56,35.28
2017-02-09,63,56.0,,0.56,35.28
2017-02-10,57,56.0,,0.56,31.92
2017-02-11,19,56.0,,0.56,10.64
2017-02-12,15,56.0,,0.56,8.4
2017-02-13,36,56.0,,0.56,20.160000000000004
2017-02-14,60,56.0,,0.56,33.6
2017-02-15,56,56.0,,0.56,31.360000000000003
2017-02-16,67,56.0,,0.56,37.52
2017-02-17,71,56.0,,0.56,39.760000000000005
2017-02-18,13,56.0,,0.56,7.280000000000001
2017-02-19,13,56.0,,0.56,7.280000000000001
2017-02-20,22,56.0,,0.56,12.32
2017-02-21,59,56.0,,0.56,33.040000000000006
2017-02-22,57,56.0,,0.56,31.92
2017-02-23,100,56.0,,0.56,56.00000000000001
2017-02-24,75,56.0,,0.56,42.00000000000001
2017-02-25,18,56.0,,0.56,10.080000000000002
2017-02-26,6,56.0,,0.56,3.3600000000000003
2017-02-27,58,56.0,,0.56,32.480000000000004
2017-02-28,56,56.0,,0.56,31.360000000000003
2017-03-01,75,55.0,False,0.55,41.25
2017-03-02,67,55.0,,0.55,36.85
2017-03-03,65,55.0,,0.55,35.75
2017-03-04,17,55.0,,0.55,9.350000000000001
2017-03-05,16,55.0,,0.55,8.8
2017-03-06,59,55.0,,0.55,32.45
2017-03-07,60,55.0,,0.55,33.0
2017-03-08,72,55.0,,0.55,39.6
2017-03-09,75,55.0,,0.55,41.25
2017-03-10,71,55.0,,0.55,39.050000000000004
2017-03-11,22,55.0,,0.55,12.100000000000001
2017-03-12,16,55.0,,0.55,8.8
2017-03-13,62,55.0,,0.55,34.1
2017-03-14,83,55.0,,0.55,45.650000000000006
2017-03-15,86,55.0,,0.55,47.300000000000004
2017-03-16,54,55.0,,0.55,29.700000000000003
2017-03-17,68,55.0,,0.55,37.400000000000006
2017-03-18,25,55.0,,0.55,13.750000000000002
2017-03-19,14,55.0,,0.55,7.700000000000001
2017-03-20,42,55.0,,0.55,23.1
2017-03-21,56,55.0,,0.55,30.800000000000004
2017-03-22,57,55.0,,0.55,31.35
2017-03-23,66,55.0,,0.55,36.300000000000004
2017-03-24,72,55.0,,0.55,39.6
2017-03-25,17,55.0,,0.55,9.350000000000001
2017-03-26,15,55.0,,0.55,8.25
2017-03-27,60,55.0,,0.55,33.0
2017-03-28,69,55.0,,0.55,37.95
2017-03-29,98,55.0,,0.55,53.900000000000006
2017-03-30,100,55.0,,0.55,55.00000000000001
2017-03-31,83,55.0,,0.55,45.650000000000006
2017-04-01,24,51.0,False,0.51,12.24
2017-04-02,25,51.0,,0.51,12.75
2017-04-03,84,51.0,,0.51,42.84
2017-04-04,92,51.0,,0.51,46.92
2017-04-05,98,51.0,,0.51,49.980000000000004
2017-04-06,95,51.0,,0.51,48.45
2017-04-07,100,51.0,,0.51,51.0
2017-04-08,20,51.0,,0.51,10.2
2017-04-09,17,51.0,,0.51,8.67
2017-04-10,75,51.0,,0.51,38.25
2017-04-11,75,51.0,,0.51,38.25
2017-04-12,68,51.0,,0.51,34.68
2017-04-13,61,51.0,,0.51,31.11
2017-04-14,32,51.0,,0.51,16.32
2017-04-15,15,51.0,,0.51,7.65
2017-04-16,14,51.0,,0.51,7.140000000000001
2017-04-17,56,51.0,,0.51,28.560000000000002
2017-04-18,76,51.0,,0.51,38.76
2017-04-19,50,51.0,,0.51,25.5
2017-04-20,68,51.0,,0.51,34.68
2017-04-21,46,51.0,,0.51,23.46
2017-04-22,16,51.0,,0.51,8.16
2017-04-23,12,51.0,,0.51,6.12
2017-04-24,60,51.0,,0.51,30.6
2017-04-25,79,51.0,,0.51,40.29
2017-04-26,61,51.0,,0.51,31.11
2017-04-27,62,51.0,,0.51,31.62
2017-04-28,59,51.0,,0.51,30.09
2017-04-29,13,51.0,,0.51,6.63
2017-04-30,18,51.0,,0.51,9.18
2017-05-01,36,57.0,False,0.57,20.52
2017-05-02,35,57.0,,0.57,19.95
2017-05-03,60,57.0,,0.57,34.199999999999996
2017-05-04,100,57.0,,0.57,56.99999999999999
2017-05-05,62,57.0,,0.57,35.339999999999996
2017-05-06,13,57.0,,0.57,7.409999999999999
2017-05-07,11,57.0,,0.57,6.27
2017-05-08,51,57.0,,0.57,29.069999999999997
2017-05-09,48,57.0,,0.57,27.36
2017-05-10,48,57.0,,0.57,27.36
2017-05-11,60,57.0,,0.57,34.199999999999996
2017-05-12,36,57.0,,0.57,20.52
2017-05-13,8,57.0,,0.57,4.56
2017-05-14,4,57.0,,0.57,2.28
2017-05-15,41,57.0,,0.57,23.369999999999997
2017-05-16,65,57.0,,0.57,37.05
2017-05-17,50,57.0,,0.57,28.499999999999996
2017-05-18,36,57.0,,0.57,20.52
2017-05-19,40,57.0,,0.57,22.799999999999997
2017-05-20,9,57.0,,0.57,5.13
2017-05-21,6,57.0,,0.57,3.42
2017-05-22,46,57.0,,0.57,26.22
2017-05-23,29,57.0,,0.57,16.529999999999998
2017-05-24,47,57.0,,0.57,26.79
2017-05-25,53,57.0,,0.57,30.209999999999997
2017-05-26,55,57.0,,0.57,31.349999999999998
2017-05-27,8,57.0,,0.57,4.56
2017-05-28,4,57.0,,0.57,2.28
2017-05-29,13,57.0,,0.57,7.409999999999999
2017-05-30,29,57.0,,0.57,16.529999999999998
2017-05-31,50,57.0,,0.57,28.499999999999996
2017-06-01,86,58.0,False,0.58,49.879999999999995
2017-06-02,85,58.0,,0.58,49.3
2017-06-03,31,58.0,,0.58,17.98
2017-06-04,17,58.0,,0.58,9.86
2017-06-05,77,58.0,,0.58,44.66
2017-06-06,73,58.0,,0.58,42.339999999999996
2017-06-07,83,58.0,,0.58,48.13999999999999
2017-06-08,77,58.0,,0.58,44.66
2017-06-09,91,58.0,,0.58,52.779999999999994
2017-06-10,20,58.0,,0.58,11.6
2017-06-11,18,58.0,,0.58,10.44
2017-06-12,83,58.0,,0.58,48.13999999999999
2017-06-13,80,58.0,,0.58,46.4
2017-06-14,93,58.0,,0.58,53.94
2017-06-15,71,58.0,,0.58,41.18
2017-06-16,81,58.0,,0.58,46.98
2017-06-17,23,58.0,,0.58,13.34
2017-06-18,9,58.0,,0.58,5.22
2017-06-19,70,58.0,,0.58,40.599999999999994
2017-06-20,75,58.0,,0.58,43.5
2017-06-21,80,58.0,,0.58,46.4
2017-06-22,100,58.0,,0.58,57.99999999999999
2017-06-23,69,58.0,,0.58,40.019999999999996
2017-06-24,28,58.0,,0.58,16.24
2017-06-25,19,58.0,,0.58,11.02
2017-06-26,80,58.0,,0.58,46.4
2017-06-27,79,58.0,,0.58,45.82
2017-06-28,77,58.0,,0.58,44.66
2017-06-29,88,58.0,,0.58,51.04
2017-06-30,73,58.0,,0.58,42.339999999999996
2017-07-01,22,50.0,False,0.5,11.0
2017-07-02,14,50.0,,0.5,7.0
2017-07-03,54,50.0,,0.5,27.0
2017-07-04,18,50.0,,0.5,9.0
2017-07-05,91,50.0,,0.5,45.5
2017-07-06,82,50.0,,0.5,41.0
2017-07-07,63,50.0,,0.5,31.5
2017-07-08,19,50.0,,0.5,9.5
2017-07-09,20,50.0,,0.5,10.0
2017-07-10,76,50.0,,0.5,38.0
2017-07-11,70,50.0,,0.5,35.0
2017-07-12,100,50.0,,0.5,50.0
2017-07-13,51,50.0,,0.5,25.5
2017-07-14,75,50.0,,0.5,37.5
2017-07-15,28,50.0,,0.5,14.0
2017-07-16,15,50.0,,0.5,7.5
2017-07-17,71,50.0,,0.5,35.5
2017-07-18,65,50.0,,0.5,32.5
2017-07-19,89,50.0,,0.5,44.5
2017-07-20,85,50.0,,0.5,42.5
2017-07-21,69,50.0,,0.5,34.5
2017-07-22,27,50.0,,0.5,13.5
2017-07-23,22,50.0,,0.5,11.0
2017-07-24,61,50.0,,0.5,30.5
2017-07-25,71,50.0,,0.5,35.5
2017-07-26,90,50.0,,0.5,45.0
2017-07-27,68,50.0,,0.5,34.0
2017-07-28,82,50.0,,0.5,41.0
2017-07-29,29,50.0,,0.5,14.5
2017-07-30,20,50.0,,0.5,10.0
2017-07-31,59,50.0,,0.5,29.5
2017-08-01,54,56.0,False,0.56,30.240000000000002
2017-08-02,55,56.0,,0.56,30.800000000000004
2017-08-03,100,56.0,,0.56,56.00000000000001
2017-08-04,69,56.0,,0.56,38.64
2017-08-05,20,56.0,,0.56,11.200000000000001
2017-08-06,8,56.0,,0.56,4.48
2017-08-07,56,56.0,,0.56,31.360000000000003
2017-08-08,61,56.0,,0.56,34.160000000000004
2017-08-09,63,56.0,,0.56,35.28
2017-08-10,48,56.0,,0.56,26.880000000000003
2017-08-11,59,56.0,,0.56,33.040000000000006
2017-08-12,15,56.0,,0.56,8.4
2017-08-13,10,56.0,,0.56,5.6000000000000005
2017-08-14,51,56.0,,0.56,28.560000000000002
2017-08-15,60,56.0,,0.56,33.6
2017-08-16,55,56.0,,0.56,30.800000000000004
2017-08-17,49,56.0,,0.56,27.44
2017-08-18,54,56.0,,0.56,30.240000000000002
2017-08-19,15,56.0,,0.56,8.4
2017-08-20,13,56.0,,0.56,7.280000000000001
2017-08-21,37,56.0,,0.56,20.720000000000002
2017-08-22,49,56.0,,0.56,27.44
2017-08-23,62,56.0,,0.56,34.720000000000006
2017-08-24,48,56.0,,0.56,26.880000000000003
2017-08-25,43,56.0,,0.56,24.080000000000002
2017-08-26,17,56.0,,0.56,9.520000000000001
2017-08-27,5,56.0,,0.56,2.8000000000000003
2017-08-28,50,56.0,,0.56,28.000000000000004
2017-08-29,58,56.0,,0.56,32.480000000000004
2017-08-30,47,56.0,,0.56,26.320000000000004
2017-08-31,51,56.0,,0.56,28.560000000000002
2017-09-01,82,47.0,False,0.47,38.54
2017-09-02,18,47.0,,0.47,8.459999999999999
2017-09-03,14,47.0,,0.47,6.58
2017-09-04,29,47.0,,0.47,13.629999999999999
2017-09-05,60,47.0,,0.47,28.2
2017-09-06,75,47.0,,0.47,35.25
2017-09-07,74,47.0,,0.47,34.78
2017-09-08,78,47.0,,0.47,36.66
2017-09-09,24,47.0,,0.47,11.28
2017-09-10,12,47.0,,0.47,5.64
2017-09-11,61,47.0,,0.47,28.669999999999998
2017-09-12,68,47.0,,0.47,31.959999999999997
2017-09-13,96,47.0,,0.47,45.12
2017-09-14,100,47.0,,0.47,47.0
2017-09-15,74,47.0,,0.47,34.78
2017-09-16,21,47.0,,0.47,9.87
2017-09-17,16,47.0,,0.47,7.52
2017-09-18,56,47.0,,0.47,26.32
2017-09-19,65,47.0,,0.47,30.549999999999997
2017-09-20,77,47.0,,0.47,36.19
2017-09-21,59,47.0,,0.47,27.729999999999997
2017-09-22,79,47.0,,0.47,37.129999999999995
2017-09-23,16,47.0,,0.47,7.52
2017-09-24,8,47.0,,0.47,3.76
2017-09-25,62,47.0,,0.47,29.139999999999997
2017-09-26,77,47.0,,0.47,36.19
2017-09-27,82,47.0,,0.47,38.54
2017-09-28,73,47.0,,0.47,34.309999999999995
2017-09-29,73,47.0,,0.47,34.309999999999995
2017-09-30,23,47.0,,0.47,10.809999999999999
2017-10-01,16,42.0,False,0.42,6.72
2017-10-02,95,42.0,,0.42,39.9
2017-10-03,74,42.0,,0.42,31.08
2017-10-04,58,42.0,,0.42,24.36
2017-10-05,71,42.0,,0.42,29.82
2017-10-06,64,42.0,,0.42,26.88
2017-10-07,16,42.0,,0.42,6.72
2017-10-08,24,42.0,,0.42,10.08
2017-10-09,89,42.0,,0.42,37.379999999999995
2017-10-10,81,42.0,,0.42,34.019999999999996
2017-10-11,83,42.0,,0.42,34.86
2017-10-12,68,42.0,,0.42,28.56
2017-10-13,89,42.0,,0.42,37.379999999999995
2017-10-14,26,42.0,,0.42,10.92
2017-10-15,16,42.0,,0.42,6.72
2017-10-16,77,42.0,,0.42,32.339999999999996
2017-10-17,55,42.0,,0.42,23.099999999999998
2017-10-18,72,42.0,,0.42,30.24
2017-10-19,68,42.0,,0.42,28.56
2017-10-20,73,42.0,,0.42,30.66
2017-10-21,11,42.0,,0.42,4.62
2017-10-22,17,42.0,,0.42,7.14
2017-10-23,75,42.0,,0.42,31.5
2017-10-24,67,42.0,,0.42,28.14
2017-10-25,100,42.0,,0.42,42.0
2017-10-26,66,42.0,,0.42,27.72
2017-10-27,67,42.0,,0.42,28.14
2017-10-28,29,42.0,,0.42,12.18
2017-10-29,21,42.0,,0.42,8.82
2017-10-30,91,42.0,,0.42,38.22
2017-10-31,78,42.0,,0.42,32.76
2017-11-01,76,47.0,False,0.47,35.72
2017-11-02,100,47.0,,0.47,47.0
2017-11-03,64,47.0,,0.47,30.08
2017-11-04,23,47.0,,0.47,10.809999999999999
2017-11-05,13,47.0,,0.47,6.109999999999999
2017-11-06,73,47.0,,0.47,34.309999999999995
2017-11-07,85,47.0,,0.47,39.949999999999996
2017-11-08,66,47.0,,0.47,31.02
2017-11-09,70,47.0,,0.47,32.9
2017-11-10,70,47.0,,0.47,32.9
2017-11-11,18,47.0,,0.47,8.459999999999999
2017-11-12,12,47.0,,0.47,5.64
2017-11-13,62,47.0,,0.47,29.139999999999997
2017-11-14,61,47.0,,0.47,28.669999999999998
2017-11-15,61,47.0,,0.47,28.669999999999998
2017-11-16,65,47.0,,0.47,30.549999999999997
2017-11-17,54,47.0,,0.47,25.38
2017-11-18,32,47.0,,0.47,15.04
2017-11-19,23,47.0,,0.47,10.809999999999999
2017-11-20,45,47.0,,0.47,21.15
2017-11-21,60,47.0,,0.47,28.2
2017-11-22,68,47.0,,0.47,31.959999999999997
2017-11-23,17,47.0,,0.47,7.989999999999999
2017-11-24,36,47.0,,0.47,16.919999999999998
2017-11-25,22,47.0,,0.47,10.34
2017-11-26,19,47.0,,0.47,8.93
2017-11-27,51,47.0,,0.47,23.97
2017-11-28,50,47.0,,0.47,23.5
2017-11-29,69,47.0,,0.47,32.43
2017-11-30,80,47.0,,0.47,37.599999999999994
2017-12-01,72,42.0,False,0.42,30.24
2017-12-02,19,42.0,,0.42,7.9799999999999995
2017-12-03,15,42.0,,0.42,6.3
2017-12-04,72,42.0,,0.42,30.24
2017-12-05,71,42.0,,0.42,29.82
2017-12-06,57,42.0,,0.42,23.939999999999998
2017-12-07,60,42.0,,0.42,25.2
2017-12-08,71,42.0,,0.42,29.82
2017-12-09,23,42.0,,0.42,9.66
2017-12-10,12,42.0,,0.42,5.04
2017-12-11,64,42.0,,0.42,26.88
2017-12-12,72,42.0,,0.42,30.24
2017-12-13,79,42.0,,0.42,33.18
2017-12-14,55,42.0,,0.42,23.099999999999998
2017-12-15,93,42.0,,0.42,39.059999999999995
2017-12-16,20,42.0,,0.42,8.4
2017-12-17,9,42.0,,0.42,3.78
2017-12-18,62,42.0,,0.42,26.04
2017-12-19,76,42.0,,0.42,31.919999999999998
