date,PTON_unscaled,PTON_monthly,isPartial,scale,PTON
2016-06-27,32,1.0,,0.01,0.32
2016-06-28,0,1.0,,0.01,0.0
2016-06-29,33,1.0,,0.01,0.33
2016-06-30,34,1.0,,0.01,0.34
2016-07-01,0,1.0,False,0.01,0.0
2016-07-02,0,1.0,,0.01,0.0
2016-07-03,0,1.0,,0.01,0.0
2016-07-04,100,1.0,,0.01,1.0
2016-07-05,59,1.0,,0.01,0.59
2016-07-06,57,1.0,,0.01,0.5700000000000001
2016-07-07,28,1.0,,0.01,0.28
2016-07-08,0,1.0,,0.01,0.0
2016-07-09,0,1.0,,0.01,0.0
2016-07-10,33,1.0,,0.01,0.33
2016-07-11,0,1.0,,0.01,0.0
2016-07-12,0,1.0,,0.01,0.0
2016-07-13,0,1.0,,0.01,0.0
2016-07-14,27,1.0,,0.01,0.27
2016-07-15,29,1.0,,0.01,0.29
2016-07-16,66,1.0,,0.01,0.66
2016-07-17,67,1.0,,0.01,0.67
2016-07-18,29,1.0,,0.01,0.29
2016-07-19,28,1.0,,0.01,0.28
2016-07-20,0,1.0,,0.01,0.0
2016-07-21,29,1.0,,0.01,0.29
2016-07-22,29,1.0,,0.01,0.29
2016-07-23,0,1.0,,0.01,0.0
2016-07-24,33,1.0,,0.01,0.33
2016-07-25,0,1.0,,0.01,0.0
2016-07-26,28,1.0,,0.01,0.28
2016-07-27,28,1.0,,0.01,0.28
2016-07-28,28,1.0,,0.01,0.28
2016-07-29,57,1.0,,0.01,0.5700000000000001
2016-07-30,32,1.0,,0.01,0.32
2016-07-31,0,1.0,,0.01,0.0
2016-08-01,0,1.0,False,0.01,0.0
2016-08-02,0,1.0,,0.01,0.0
2016-08-03,0,1.0,,0.01,0.0
2016-08-04,35,1.0,,0.01,0.35000000000000003
2016-08-05,0,1.0,,0.01,0.0
2016-08-06,43,1.0,,0.01,0.43
2016-08-07,42,1.0,,0.01,0.42
2016-08-08,0,1.0,,0.01,0.0
2016-08-09,0,1.0,,0.01,0.0
2016-08-10,0,1.0,,0.01,0.0
2016-08-11,0,1.0,,0.01,0.0
2016-08-12,0,1.0,,0.01,0.0
2016-08-13,82,1.0,,0.01,0.8200000000000001
2016-08-14,42,1.0,,0.01,0.42
2016-08-15,0,1.0,,0.01,0.0
2016-08-16,0,1.0,,0.01,0.0
2016-08-17,0,1.0,,0.01,0.0
2016-08-18,0,1.0,,0.01,0.0
2016-08-19,0,1.0,,0.01,0.0
2016-08-20,0,1.0,,0.01,0.0
2016-08-21,43,1.0,,0.01,0.43
2016-08-22,0,1.0,,0.01,0.0
2016-08-23,0,1.0,,0.01,0.0
2016-08-24,71,1.0,,0.01,0.71
2016-08-25,100,1.0,,0.01,1.0
2016-08-26,34,1.0,,0.01,0.34
2016-08-27,0,1.0,,0.01,0.0
2016-08-28,0,1.0,,0.01,0.0
2016-08-29,33,1.0,,0.01,0.33
2016-08-30,0,1.0,,0.01,0.0
2016-08-31,0,1.0,,0.01,0.0
2016-09-01,100,1.0,False,0.01,1.0
2016-09-02,0,1.0,,0.01,0.0
2016-09-03,0,1.0,,0.01,0.0
2016-09-04,0,1.0,,0.01,0.0
2016-09-05,38,1.0,,0.01,0.38
2016-09-06,0,1.0,,0.01,0.0
2016-09-07,32,1.0,,0.01,0.32
2016-09-08,0,1.0,,0.01,0.0
2016-09-09,0,1.0,,0.01,0.0
2016-09-10,40,1.0,,0.01,0.4
2016-09-11,0,1.0,,0.01,0.0
2016-09-12,0,1.0,,0.01,0.0
2016-09-13,0,1.0,,0.01,0.0
2016-09-14,66,1.0,,0.01,0.66
2016-09-15,0,1.0,,0.01,0.0
2016-09-16,68,1.0,,0.01,0.68
2016-09-17,0,1.0,,0.01,0.0
2016-09-18,37,1.0,,0.01,0.37
2016-09-19,32,1.0,,0.01,0.32
2016-09-20,65,1.0,,0.01,0.65
2016-09-21,65,1.0,,0.01,0.65
2016-09-22,0,1.0,,0.01,0.0
2016-09-23,0,1.0,,0.01,0.0
2016-09-24,0,1.0,,0.01,0.0
2016-09-25,38,1.0,,0.01,0.38
2016-09-26,0,1.0,,0.01,0.0
2016-09-27,0,1.0,,0.01,0.0
2016-09-28,33,1.0,,0.01,0.33
2016-09-29,33,1.0,,0.01,0.33
2016-09-30,0,1.0,,0.01,0.0
2016-10-01,0,1.0,False,0.01,0.0
2016-10-02,47,1.0,,0.01,0.47000000000000003
2016-10-03,0,1.0,,0.01,0.0
2016-10-04,39,1.0,,0.01,0.39
2016-10-05,39,1.0,,0.01,0.39
2016-10-06,0,1.0,,0.01,0.0
2016-10-07,40,1.0,,0.01,0.4
2016-10-08,0,1.0,,0.01,0.0
2016-10-09,47,1.0,,0.01,0.47000000000000003
2016-10-10,80,1.0,,0.01,0.8
2016-10-11,0,1.0,,0.01,0.0
2016-10-12,0,1.0,,0.01,0.0
2016-10-13,0,1.0,,0.01,0.0
2016-10-14,0,1.0,,0.01,0.0
2016-10-15,99,1.0,,0.01,0.99
2016-10-16,0,1.0,,0.01,0.0
2016-10-17,0,1.0,,0.01,0.0
2016-10-18,0,1.0,,0.01,0.0
2016-10-19,0,1.0,,0.01,0.0
2016-10-20,40,1.0,,0.01,0.4
2016-10-21,41,1.0,,0.01,0.41000000000000003
2016-10-22,100,1.0,,0.01,1.0
2016-10-23,48,1.0,,0.01,0.48
2016-10-24,78,1.0,,0.01,0.78
2016-10-25,0,1.0,,0.01,0.0
2016-10-26,39,1.0,,0.01,0.39
2016-10-27,39,1.0,,0.01,0.39
2016-10-28,0,1.0,,0.01,0.0
2016-10-29,0,1.0,,0.01,0.0
2016-10-30,0,1.0,,0.01,0.0
2016-10-31,40,1.0,,0.01,0.4
2016-11-01,0,0.0,False,0.0,0.0
2016-11-02,0,0.0,,0.0,0.0
2016-11-03,0,0.0,,0.0,0.0
2016-11-04,45,0.0,,0.0,0.0
2016-11-05,0,0.0,,0.0,0.0
2016-11-06,0,0.0,,0.0,0.0
2016-11-07,0,0.0,,0.0,0.0
2016-11-08,0,0.0,,0.0,0.0
2016-11-09,0,0.0,,0.0,0.0
2016-11-10,0,0.0,,0.0,0.0
2016-11-11,0,0.0,,0.0,0.0
2016-11-12,0,0.0,,0.0,0.0
2016-11-13,0,0.0,,0.0,0.0
2016-11-14,0,0.0,,0.0,0.0
2016-11-15,0,0.0,,0.0,0.0
2016-11-16,0,0.0,,0.0,0.0
2016-11-17,0,0.0,,0.0,0.0
2016-11-18,90,0.0,,0.0,0.0
2016-11-19,0,0.0,,0.0,0.0
2016-11-20,0,0.0,,0.0,0.0
2016-11-21,43,0.0,,0.0,0.0
2016-11-22,0,0.0,,0.0,0.0
2016-11-23,47,0.0,,0.0,0.0
2016-11-24,0,0.0,,0.0,0.0
2016-11-25,0,0.0,,0.0,0.0
2016-11-26,49,0.0,,0.0,0.0
2016-11-27,100,0.0,,0.0,0.0
2016-11-28,79,0.0,,0.0,0.0
2016-11-29,40,0.0,,0.0,0.0
2016-11-30,0,0.0,,0.0,0.0
2016-12-01,0,1.0,False,0.01,0.0
2016-12-02,24,1.0,,0.01,0.24
2016-12-03,0,1.0,,0.01,0.0
2016-12-04,0,1.0,,0.01,0.0
2016-12-05,42,1.0,,0.01,0.42
2016-12-06,22,1.0,,0.01,0.22
2016-12-07,47,1.0,,0.01,0.47000000000000003
2016-12-08,0,1.0,,0.01,0.0
2016-12-09,25,1.0,,0.01,0.25
2016-12-10,29,1.0,,0.01,0.29
2016-12-11,27,1.0,,0.01,0.27
2016-12-12,0,1.0,,0.01,0.0
2016-12-13,0,1.0,,0.01,0.0
2016-12-14,24,1.0,,0.01,0.24
2016-12-15,0,1.0,,0.01,0.0
2016-12-16,100,1.0,,0.01,1.0
2016-12-17,58,1.0,,0.01,0.58
2016-12-18,0,1.0,,0.01,0.0
2016-12-19,25,1.0,,0.01,0.25
2016-12-20,25,1.0,,0.01,0.25
2016-12-21,0,1.0,,0.01,0.0
2016-12-22,0,1.0,,0.01,0.0
2016-12-23,27,1.0,,0.01,0.27
2016-12-24,0,1.0,,0.01,0.0
2016-12-25,0,1.0,,0.01,0.0
2016-12-26,0,1.0,,0.01,0.0
2016-12-27,0,1.0,,0.01,0.0
2016-12-28,26,1.0,,0.01,0.26
2016-12-29,51,1.0,,0.01,0.51
2016-12-30,0,1.0,,0.01,0.0
2016-12-31,0,1.0,,0.01,0.0
2017-01-01,36,1.0,False,0.01,0.36
2017-01-02,64,1.0,,0.01,0.64
2017-01-03,59,1.0,,0.01,0.59
2017-01-04,0,1.0,,0.01,0.0
2017-01-05,61,1.0,,0.01,0.61
2017-01-06,0,1.0,,0.01,0.0
2017-01-07,34,1.0,,0.01,0.34
2017-01-08,34,1.0,,0.01,0.34
2017-01-09,0,1.0,,0.01,0.0
2017-01-10,0,1.0,,0.01,0.0
2017-01-11,0,1.0,,0.01,0.0
2017-01-12,29,1.0,,0.01,0.29
2017-01-13,59,1.0,,0.01,0.59
2017-01-14,0,1.0,,0.01,0.0
2017-01-15,66,1.0,,0.01,0.66
2017-01-16,30,1.0,,0.01,0.3
2017-01-17,57,1.0,,0.01,0.5700000000000001
2017-01-18,0,1.0,,0.01,0.0
2017-01-19,29,1.0,,0.01,0.29
2017-01-20,28,1.0,,0.01,0.28
2017-01-21,100,1.0,,0.01,1.0
2017-01-22,32,1.0,,0.01,0.32
2017-01-23,27,1.0,,0.01,0.27
2017-01-24,0,1.0,,0.01,0.0
2017-01-25,0,1.0,,0.01,0.0
2017-01-26,0,1.0,,0.01,0.0
2017-01-27,29,1.0,,0.01,0.29
2017-01-28,0,1.0,,0.01,0.0
2017-01-29,0,1.0,,0.01,0.0
2017-01-30,28,1.0,,0.01,0.28
2017-01-31,0,1.0,,0.01,0.0
2017-02-01,0,1.0,False,0.01,0.0
2017-02-02,0,1.0,,0.01,0.0
2017-02-03,91,1.0,,0.01,0.91
2017-02-04,35,1.0,,0.01,0.35000000000000003
2017-02-05,35,1.0,,0.01,0.35000000000000003
2017-02-06,28,1.0,,0.01,0.28
2017-02-07,29,1.0,,0.01,0.29
2017-02-08,29,1.0,,0.01,0.29
2017-02-09,30,1.0,,0.01,0.3
2017-02-10,61,1.0,,0.01,0.61
2017-02-11,0,1.0,,0.01,0.0
2017-02-12,0,1.0,,0.01,0.0
2017-02-13,86,1.0,,0.01,0.86
2017-02-14,29,1.0,,0.01,0.29
2017-02-15,0,1.0,,0.01,0.0
2017-02-16,29,1.0,,0.01,0.29
2017-02-17,30,1.0,,0.01,0.3
2017-02-18,35,1.0,,0.01,0.35000000000000003
2017-02-19,36,1.0,,0.01,0.36
2017-02-20,61,1.0,,0.01,0.61
2017-02-21,0,1.0,,0.01,0.0
2017-02-22,29,1.0,,0.01,0.29
2017-02-23,0,1.0,,0.01,0.0
2017-02-24,0,1.0,,0.01,0.0
2017-02-25,0,1.0,,0.01,0.0
2017-02-26,100,1.0,,0.01,1.0
2017-02-27,0,1.0,,0.01,0.0
2017-02-28,28,1.0,,0.01,0.28
2017-03-01,78,1.0,False,0.01,0.78
2017-03-02,81,1.0,,0.01,0.81
2017-03-03,85,1.0,,0.01,0.85
2017-03-04,0,1.0,,0.01,0.0
2017-03-05,50,1.0,,0.01,0.5
2017-03-06,0,1.0,,0.01,0.0
2017-03-07,39,1.0,,0.01,0.39
2017-03-08,0,1.0,,0.01,0.0
2017-03-09,0,1.0,,0.01,0.0
2017-03-10,42,1.0,,0.01,0.42
2017-03-11,50,1.0,,0.01,0.5
2017-03-12,0,1.0,,0.01,0.0
2017-03-13,39,1.0,,0.01,0.39
2017-03-14,41,1.0,,0.01,0.41000000000000003
2017-03-15,42,1.0,,0.01,0.42
2017-03-16,42,1.0,,0.01,0.42
2017-03-17,0,1.0,,0.01,0.0
2017-03-18,100,1.0,,0.01,1.0
2017-03-19,0,1.0,,0.01,0.0
2017-03-20,0,1.0,,0.01,0.0
2017-03-21,0,1.0,,0.01,0.0
2017-03-22,0,1.0,,0.01,0.0
2017-03-23,0,1.0,,0.01,0.0
2017-03-24,0,1.0,,0.01,0.0
2017-03-25,0,1.0,,0.01,0.0
2017-03-26,50,1.0,,0.01,0.5
2017-03-27,0,1.0,,0.01,0.0
2017-03-28,0,1.0,,0.01,0.0
2017-03-29,85,1.0,,0.01,0.85
2017-03-30,0,1.0,,0.01,0.0
2017-03-31,0,1.0,,0.01,0.0
2017-04-01,33,1.0,False,0.01,0.33
2017-04-02,100,1.0,,0.01,1.0
2017-04-03,0,1.0,,0.01,0.0
2017-04-04,27,1.0,,0.01,0.27
2017-04-05,27,1.0,,0.01,0.27
2017-04-06,55,1.0,,0.01,0.55
2017-04-07,0,1.0,,0.01,0.0
2017-04-08,34,1.0,,0.01,0.34
2017-04-09,0,1.0,,0.01,0.0
2017-04-10,28,1.0,,0.01,0.28
2017-04-11,0,1.0,,0.01,0.0
2017-04-12,28,1.0,,0.01,0.28
2017-04-13,0,1.0,,0.01,0.0
2017-04-14,0,1.0,,0.01,0.0
2017-04-15,34,1.0,,0.01,0.34
2017-04-16,0,1.0,,0.01,0.0
2017-04-17,0,1.0,,0.01,0.0
2017-04-18,0,1.0,,0.01,0.0
2017-04-19,27,1.0,,0.01,0.27
2017-04-20,0,1.0,,0.01,0.0
2017-04-21,0,1.0,,0.01,0.0
2017-04-22,34,1.0,,0.01,0.34
2017-04-23,34,1.0,,0.01,0.34
2017-04-24,0,1.0,,0.01,0.0
2017-04-25,0,1.0,,0.01,0.0
2017-04-26,0,1.0,,0.01,0.0
2017-04-27,27,1.0,,0.01,0.27
2017-04-28,0,1.0,,0.01,0.0
2017-04-29,0,1.0,,0.01,0.0
2017-04-30,33,1.0,,0.01,0.33
2017-05-01,0,1.0,False,0.01,0.0
2017-05-02,0,1.0,,0.01,0.0
2017-05-03,0,1.0,,0.01,0.0
2017-05-04,100,1.0,,0.01,1.0
2017-05-05,34,1.0,,0.01,0.34
2017-05-06,0,1.0,,0.01,0.0
2017-05-07,0,1.0,,0.01,0.0
2017-05-08,66,1.0,,0.01,0.66
2017-05-09,33,1.0,,0.01,0.33
2017-05-10,0,1.0,,0.01,0.0
2017-05-11,0,1.0,,0.01,0.0
2017-05-12,35,1.0,,0.01,0.35000000000000003
2017-05-13,42,1.0,,0.01,0.42
2017-05-14,0,1.0,,0.01,0.0
2017-05-15,35,1.0,,0.01,0.35000000000000003
2017-05-16,71,1.0,,0.01,0.71
2017-05-17,35,1.0,,0.01,0.35000000000000003
2017-05-18,35,1.0,,0.01,0.35000000000000003
2017-05-19,36,1.0,,0.01,0.36
2017-05-20,0,1.0,,0.01,0.0
2017-05-21,0,1.0,,0.01,0.0
2017-05-22,0,1.0,,0.01,0.0
2017-05-23,0,1.0,,0.01,0.0
2017-05-24,36,1.0,,0.01,0.36
2017-05-25,0,1.0,,0.01,0.0
2017-05-26,0,1.0,,0.01,0.0
2017-05-27,91,1.0,,0.01,0.91
2017-05-28,0,1.0,,0.01,0.0
2017-05-29,83,1.0,,0.01,0.8300000000000001
2017-05-30,71,1.0,,0.01,0.71
2017-05-31,0,1.0,,0.01,0.0
2017-06-01,0,1.0,False,0.01,0.0
2017-06-02,25,1.0,,0.01,0.25
2017-06-03,0,1.0,,0.01,0.0
2017-06-04,56,1.0,,0.01,0.56
2017-06-05,0,1.0,,0.01,0.0
2017-06-06,45,1.0,,0.01,0.45
2017-06-07,23,1.0,,0.01,0.23
2017-06-08,0,1.0,,0.01,0.0
2017-06-09,0,1.0,,0.01,0.0
2017-06-10,0,1.0,,0.01,0.0
2017-06-11,0,1.0,,0.01,0.0
2017-06-12,0,1.0,,0.01,0.0
2017-06-13,0,1.0,,0.01,0.0
2017-06-14,0,1.0,,0.01,0.0
2017-06-15,0,1.0,,0.01,0.0
2017-06-16,0,1.0,,0.01,0.0
2017-06-17,0,1.0,,0.01,0.0
2017-06-18,29,1.0,,0.01,0.29
2017-06-19,47,1.0,,0.01,0.47000000000000003
2017-06-20,0,1.0,,0.01,0.0
2017-06-21,23,1.0,,0.01,0.23
2017-06-22,23,1.0,,0.01,0.23
2017-06-23,23,1.0,,0.01,0.23
2017-06-24,0,1.0,,0.01,0.0
2017-06-25,0,1.0,,0.01,0.0
2017-06-26,0,1.0,,0.01,0.0
2017-06-27,0,1.0,,0.01,0.0
2017-06-28,100,1.0,,0.01,1.0
2017-06-29,0,1.0,,0.01,0.0
2017-06-30,0,1.0,,0.01,0.0
2017-07-01,0,1.0,False,0.01,0.0
2017-07-02,0,1.0,,0.01,0.0
2017-07-03,100,1.0,,0.01,1.0
2017-07-04,0,1.0,,0.01,0.0
2017-07-05,65,1.0,,0.01,0.65
2017-07-06,0,1.0,,0.01,0.0
2017-07-07,31,1.0,,0.01,0.31
2017-07-08,35,1.0,,0.01,0.35000000000000003
2017-07-09,36,1.0,,0.01,0.36
2017-07-10,0,1.0,,0.01,0.0
2017-07-11,30,1.0,,0.01,0.3
2017-07-12,30,1.0,,0.01,0.3
2017-07-13,31,1.0,,0.01,0.31
2017-07-14,0,1.0,,0.01,0.0
2017-07-15,0,1.0,,0.01,0.0
2017-07-16,36,1.0,,0.01,0.36
2017-07-17,0,1.0,,0.01,0.0
2017-07-18,0,1.0,,0.01,0.0
2017-07-19,31,1.0,,0.01,0.31
2017-07-20,60,1.0,,0.01,0.6
2017-07-21,62,1.0,,0.01,0.62
2017-07-22,70,1.0,,0.01,0.7000000000000001
2017-07-23,0,1.0,,0.01,0.0
2017-07-24,0,1.0,,0.01,0.0
2017-07-25,0,1.0,,0.01,0.0
2017-07-26,0,1.0,,0.01,0.0
2017-07-27,0,1.0,,0.01,0.0
2017-07-28,31,1.0,,0.01,0.31
2017-07-29,0,1.0,,0.01,0.0
2017-07-30,0,1.0,,0.01,0.0
2017-07-31,61,1.0,,0.01,0.61
2017-08-01,25,1.0,False,0.01,0.25
2017-08-02,0,1.0,,0.01,0.0
2017-08-03,0,1.0,,0.01,0.0
2017-08-04,52,1.0,,0.01,0.52
2017-08-05,59,1.0,,0.01,0.59
2017-08-06,0,1.0,,0.01,0.0
2017-08-07,49,1.0,,0.01,0.49
2017-08-08,0,1.0,,0.01,0.0
2017-08-09,25,1.0,,0.01,0.25
2017-08-10,26,1.0,,0.01,0.26
2017-08-11,26,1.0,,0.01,0.26
2017-08-12,0,1.0,,0.01,0.0
2017-08-13,0,1.0,,0.01,0.0
2017-08-14,51,1.0,,0.01,0.51
2017-08-15,25,1.0,,0.01,0.25
2017-08-16,76,1.0,,0.01,0.76
2017-08-17,0,1.0,,0.01,0.0
2017-08-18,51,1.0,,0.01,0.51
2017-08-19,0,1.0,,0.01,0.0
2017-08-20,0,1.0,,0.01,0.0
2017-08-21,0,1.0,,0.01,0.0
2017-08-22,100,1.0,,0.01,1.0
2017-08-23,25,1.0,,0.01,0.25
2017-08-24,0,1.0,,0.01,0.0
2017-08-25,25,1.0,,0.01,0.25
2017-08-26,58,1.0,,0.01,0.58
2017-08-27,0,1.0,,0.01,0.0
2017-08-28,25,1.0,,0.01,0.25
2017-08-29,0,1.0,,0.01,0.0
2017-08-30,49,1.0,,0.01,0.49
2017-08-31,25,1.0,,0.01,0.25
2017-09-01,46,1.0,False,0.01,0.46
2017-09-02,0,1.0,,0.01,0.0
2017-09-03,0,1.0,,0.01,0.0
2017-09-04,49,1.0,,0.01,0.49
2017-09-05,43,1.0,,0.01,0.43
2017-09-06,83,1.0,,0.01,0.8300000000000001
2017-09-07,0,1.0,,0.01,0.0
2017-09-08,0,1.0,,0.01,0.0
2017-09-09,0,1.0,,0.01,0.0
2017-09-10,100,1.0,,0.01,1.0
2017-09-11,43,1.0,,0.01,0.43
2017-09-12,0,1.0,,0.01,0.0
2017-09-13,87,1.0,,0.01,0.87
2017-09-14,0,1.0,,0.01,0.0
2017-09-15,0,1.0,,0.01,0.0
2017-09-16,53,1.0,,0.01,0.53
2017-09-17,52,1.0,,0.01,0.52
2017-09-18,43,1.0,,0.01,0.43
2017-09-19,86,1.0,,0.01,0.86
2017-09-20,0,1.0,,0.01,0.0
2017-09-21,0,1.0,,0.01,0.0
2017-09-22,0,1.0,,0.01,0.0
2017-09-23,53,1.0,,0.01,0.53
2017-09-24,52,1.0,,0.01,0.52
2017-09-25,0,1.0,,0.01,0.0
2017-09-26,87,1.0,,0.01,0.87
2017-09-27,88,1.0,,0.01,0.88
2017-09-28,44,1.0,,0.01,0.44
2017-09-29,45,1.0,,0.01,0.45
2017-09-30,0,1.0,,0.01,0.0
2017-10-01,0,1.0,False,0.01,0.0
2017-10-02,39,1.0,,0.01,0.39
2017-10-03,0,1.0,,0.01,0.0
2017-10-04,41,1.0,,0.01,0.41000000000000003
2017-10-05,0,1.0,,0.01,0.0
2017-10-06,0,1.0,,0.01,0.0
2017-10-07,0,1.0,,0.01,0.0
2017-10-08,0,1.0,,0.01,0.0
2017-10-09,0,1.0,,0.01,0.0
2017-10-10,0,1.0,,0.01,0.0
2017-10-11,40,1.0,,0.01,0.4
2017-10-12,0,1.0,,0.01,0.0
2017-10-13,0,1.0,,0.01,0.0
2017-10-14,49,1.0,,0.01,0.49
2017-10-15,0,1.0,,0.01,0.0
2017-10-16,0,1.0,,0.01,0.0
2017-10-17,0,1.0,,0.01,0.0
2017-10-18,41,1.0,,0.01,0.41000000000000003
2017-10-19,42,1.0,,0.01,0.42
2017-10-20,0,1.0,,0.01,0.0
2017-10-21,100,1.0,,0.01,1.0
2017-10-22,96,1.0,,0.01,0.96
2017-10-23,40,1.0,,0.01,0.4
2017-10-24,0,1.0,,0.01,0.0
2017-10-25,0,1.0,,0.01,0.0
2017-10-26,41,1.0,,0.01,0.41000000000000003
2017-10-27,42,1.0,,0.01,0.42
2017-10-28,0,1.0,,0.01,0.0
2017-10-29,97,1.0,,0.01,0.97
2017-10-30,0,1.0,,0.01,0.0
2017-10-31,0,1.0,,0.01,0.0
2017-11-01,0,1.0,False,0.01,0.0
2017-11-02,0,1.0,,0.01,0.0
2017-11-03,29,1.0,,0.01,0.29
2017-11-04,34,1.0,,0.01,0.34
2017-11-05,0,1.0,,0.01,0.0
2017-11-06,55,1.0,,0.01,0.55
2017-11-07,0,1.0,,0.01,0.0
2017-11-08,0,1.0,,0.01,0.0
2017-11-09,28,1.0,,0.01,0.28
2017-11-10,0,1.0,,0.01,0.0
2017-11-11,100,1.0,,0.01,1.0
2017-11-12,0,1.0,,0.01,0.0
2017-11-13,0,1.0,,0.01,0.0
2017-11-14,27,1.0,,0.01,0.27
2017-11-15,0,1.0,,0.01,0.0
2017-11-16,0,1.0,,0.01,0.0
2017-11-17,28,1.0,,0.01,0.28
2017-11-18,33,1.0,,0.01,0.33
2017-11-19,33,1.0,,0.01,0.33
2017-11-20,28,1.0,,0.01,0.28
2017-11-21,0,1.0,,0.01,0.0
2017-11-22,30,1.0,,0.01,0.3
2017-11-23,67,1.0,,0.01,0.67
2017-11-24,0,1.0,,0.01,0.0
2017-11-25,0,1.0,,0.01,0.0
2017-11-26,65,1.0,,0.01,0.65
2017-11-27,78,1.0,,0.01,0.78
2017-11-28,0,1.0,,0.01,0.0
2017-11-29,27,1.0,,0.01,0.27
2017-11-30,28,1.0,,0.01,0.28
2017-12-01,42,1.0,False,0.01,0.42
2017-12-02,25,1.0,,0.01,0.25
2017-12-03,100,1.0,,0.01,1.0
2017-12-04,41,1.0,,0.01,0.41000000000000003
2017-12-05,41,1.0,,0.01,0.41000000000000003
2017-12-06,21,1.0,,0.01,0.21
2017-12-07,42,1.0,,0.01,0.42
2017-12-08,22,1.0,,0.01,0.22
2017-12-09,51,1.0,,0.01,0.51
2017-12-10,25,1.0,,0.01,0.25
2017-12-11,0,1.0,,0.01,0.0
2017-12-12,42,1.0,,0.01,0.42
2017-12-13,21,1.0,,0.01,0.21
2017-12-14,43,1.0,,0.01,0.43
2017-12-15,0,1.0,,0.01,0.0
2017-12-16,26,1.0,,0.01,0.26
2017-12-17,51,1.0,,0.01,0.51
2017-12-18,0,1.0,,0.01,0.0
2017-12-19,0,1.0,,0.01,0.0
2017-12-20,45,1.0,,0.01,0.45
2017-12-21,0,1.0,,0.01,0.0
2017-12-22,24,1.0,,0.01,0.24
2017-12-23,0,1.0,,0.01,0.0
2017-12-24,0,1.0,,0.01,0.0
2017-12-25,0,1.0,,0.01,0.0
2017-12-26,0,1.0,,0.01,0.0
2017-12-27,0,1.0,,0.01,0.0
2017-12-28,0,1.0,,0.01,0.0
2017-12-29,24,1.0,,0.01,0.24
2017-12-30,0,1.0,,0.01,0.0
2017-12-31,51,1.0,,0.01,0.51
2018-01-01,0,1.0,False,0.01,0.0
2018-01-02,70,1.0,,0.01,0.7000000000000001
2018-01-03,0,1.0,,0.01,0.0
2018-01-04,35,1.0,,0.01,0.35000000000000003
2018-01-05,35,1.0,,0.01,0.35000000000000003
2018-01-06,0,1.0,,0.01,0.0
2018-01-07,39,1.0,,0.01,0.39
2018-01-08,0,1.0,,0.01,0.0
2018-01-09,100,1.0,,0.01,1.0
2018-01-10,0,1.0,,0.01,0.0
2018-01-11,34,1.0,,0.01,0.34
2018-01-12,0,1.0,,0.01,0.0
2018-01-13,0,1.0,,0.01,0.0
2018-01-14,0,1.0,,0.01,0.0
2018-01-15,0,1.0,,0.01,0.0
