date,NIO_unscaled,NIO_monthly,isPartial,scale,NIO
2016-06-25,41,1.0,,0.01,0.41000000000000003
2016-06-26,75,1.0,,0.01,0.75
2016-06-27,61,1.0,,0.01,0.61
2016-06-28,41,1.0,,0.01,0.41000000000000003
2016-06-29,21,1.0,,0.01,0.21
2016-06-30,42,1.0,,0.01,0.42
2016-07-01,78,1.0,False,0.01,0.78
2016-07-02,45,1.0,,0.01,0.45
2016-07-03,47,1.0,,0.01,0.47000000000000003
2016-07-04,56,1.0,,0.01,0.56
2016-07-05,100,1.0,,0.01,1.0
2016-07-06,86,1.0,,0.01,0.86
2016-07-07,76,1.0,,0.01,0.76
2016-07-08,77,1.0,,0.01,0.77
2016-07-09,34,1.0,,0.01,0.34
2016-07-10,45,1.0,,0.01,0.45
2016-07-11,48,1.0,,0.01,0.48
2016-07-12,48,1.0,,0.01,0.48
2016-07-13,69,1.0,,0.01,0.6900000000000001
2016-07-14,74,1.0,,0.01,0.74
2016-07-15,69,1.0,,0.01,0.6900000000000001
2016-07-16,45,1.0,,0.01,0.45
2016-07-17,45,1.0,,0.01,0.45
2016-07-18,39,1.0,,0.01,0.39
2016-07-19,47,1.0,,0.01,0.47000000000000003
2016-07-20,78,1.0,,0.01,0.78
2016-07-21,78,1.0,,0.01,0.78
2016-07-22,40,1.0,,0.01,0.4
2016-07-23,44,1.0,,0.01,0.44
2016-07-24,22,1.0,,0.01,0.22
2016-07-25,47,1.0,,0.01,0.47000000000000003
2016-07-26,85,1.0,,0.01,0.85
2016-07-27,95,1.0,,0.01,0.9500000000000001
2016-07-28,66,1.0,,0.01,0.66
2016-07-29,67,1.0,,0.01,0.67
2016-07-30,44,1.0,,0.01,0.44
2016-07-31,67,1.0,,0.01,0.67
2016-08-01,84,1.0,False,0.01,0.84
2016-08-02,57,1.0,,0.01,0.5700000000000001
2016-08-03,29,1.0,,0.01,0.29
2016-08-04,69,1.0,,0.01,0.6900000000000001
2016-08-05,52,1.0,,0.01,0.52
2016-08-06,24,1.0,,0.01,0.24
2016-08-07,35,1.0,,0.01,0.35000000000000003
2016-08-08,78,1.0,,0.01,0.78
2016-08-09,59,1.0,,0.01,0.59
2016-08-10,50,1.0,,0.01,0.5
2016-08-11,42,1.0,,0.01,0.42
2016-08-12,52,1.0,,0.01,0.52
2016-08-13,58,1.0,,0.01,0.58
2016-08-14,24,1.0,,0.01,0.24
2016-08-15,40,1.0,,0.01,0.4
2016-08-16,51,1.0,,0.01,0.51
2016-08-17,71,1.0,,0.01,0.71
2016-08-18,73,1.0,,0.01,0.73
2016-08-19,53,1.0,,0.01,0.53
2016-08-20,36,1.0,,0.01,0.36
2016-08-21,12,1.0,,0.01,0.12
2016-08-22,81,1.0,,0.01,0.81
2016-08-23,70,1.0,,0.01,0.7000000000000001
2016-08-24,70,1.0,,0.01,0.7000000000000001
2016-08-25,94,1.0,,0.01,0.9400000000000001
2016-08-26,97,1.0,,0.01,0.97
2016-08-27,56,1.0,,0.01,0.56
2016-08-28,100,1.0,,0.01,1.0
2016-08-29,83,1.0,,0.01,0.8300000000000001
2016-08-30,65,1.0,,0.01,0.65
2016-08-31,83,1.0,,0.01,0.8300000000000001
2016-09-01,78,1.0,False,0.01,0.78
2016-09-02,71,1.0,,0.01,0.71
2016-09-03,59,1.0,,0.01,0.59
2016-09-04,61,1.0,,0.01,0.61
2016-09-05,56,1.0,,0.01,0.56
2016-09-06,20,1.0,,0.01,0.2
2016-09-07,67,1.0,,0.01,0.67
2016-09-08,87,1.0,,0.01,0.87
2016-09-09,50,1.0,,0.01,0.5
2016-09-10,23,1.0,,0.01,0.23
2016-09-11,67,1.0,,0.01,0.67
2016-09-12,95,1.0,,0.01,0.9500000000000001
2016-09-13,77,1.0,,0.01,0.77
2016-09-14,78,1.0,,0.01,0.78
2016-09-15,88,1.0,,0.01,0.88
2016-09-16,60,1.0,,0.01,0.6
2016-09-17,34,1.0,,0.01,0.34
2016-09-18,44,1.0,,0.01,0.44
2016-09-19,76,1.0,,0.01,0.76
2016-09-20,77,1.0,,0.01,0.77
2016-09-21,87,1.0,,0.01,0.87
2016-09-22,20,1.0,,0.01,0.2
2016-09-23,100,1.0,,0.01,1.0
2016-09-24,70,1.0,,0.01,0.7000000000000001
2016-09-25,23,1.0,,0.01,0.23
2016-09-26,96,1.0,,0.01,0.96
2016-09-27,77,1.0,,0.01,0.77
2016-09-28,97,1.0,,0.01,0.97
2016-09-29,78,1.0,,0.01,0.78
2016-09-30,60,1.0,,0.01,0.6
2016-10-01,61,1.0,False,0.01,0.61
2016-10-02,30,1.0,,0.01,0.3
2016-10-03,74,1.0,,0.01,0.74
2016-10-04,87,1.0,,0.01,0.87
2016-10-05,50,1.0,,0.01,0.5
2016-10-06,88,1.0,,0.01,0.88
2016-10-07,45,1.0,,0.01,0.45
2016-10-08,30,1.0,,0.01,0.3
2016-10-09,52,1.0,,0.01,0.52
2016-10-10,51,1.0,,0.01,0.51
2016-10-11,38,1.0,,0.01,0.38
2016-10-12,70,1.0,,0.01,0.7000000000000001
2016-10-13,57,1.0,,0.01,0.5700000000000001
2016-10-14,40,1.0,,0.01,0.4
2016-10-15,16,1.0,,0.01,0.16
2016-10-16,67,1.0,,0.01,0.67
2016-10-17,50,1.0,,0.01,0.5
2016-10-18,100,1.0,,0.01,1.0
2016-10-19,51,1.0,,0.01,0.51
2016-10-20,63,1.0,,0.01,0.63
2016-10-21,84,1.0,,0.01,0.84
2016-10-22,24,1.0,,0.01,0.24
2016-10-23,38,1.0,,0.01,0.38
2016-10-24,25,1.0,,0.01,0.25
2016-10-25,19,1.0,,0.01,0.19
2016-10-26,43,1.0,,0.01,0.43
2016-10-27,50,1.0,,0.01,0.5
2016-10-28,59,1.0,,0.01,0.59
2016-10-29,31,1.0,,0.01,0.31
2016-10-30,37,1.0,,0.01,0.37
2016-10-31,44,1.0,,0.01,0.44
2016-11-01,45,1.0,False,0.01,0.45
2016-11-02,21,1.0,,0.01,0.21
2016-11-03,31,1.0,,0.01,0.31
2016-11-04,15,1.0,,0.01,0.15
2016-11-05,22,1.0,,0.01,0.22
2016-11-06,17,1.0,,0.01,0.17
2016-11-07,21,1.0,,0.01,0.21
2016-11-08,21,1.0,,0.01,0.21
2016-11-09,31,1.0,,0.01,0.31
2016-11-10,33,1.0,,0.01,0.33
2016-11-11,30,1.0,,0.01,0.3
2016-11-12,4,1.0,,0.01,0.04
2016-11-13,21,1.0,,0.01,0.21
2016-11-14,35,1.0,,0.01,0.35000000000000003
2016-11-15,32,1.0,,0.01,0.32
2016-11-16,25,1.0,,0.01,0.25
2016-11-17,51,1.0,,0.01,0.51
2016-11-18,41,1.0,,0.01,0.41000000000000003
2016-11-19,26,1.0,,0.01,0.26
2016-11-20,25,1.0,,0.01,0.25
2016-11-21,50,1.0,,0.01,0.5
2016-11-22,100,1.0,,0.01,1.0
2016-11-23,51,1.0,,0.01,0.51
2016-11-24,52,1.0,,0.01,0.52
2016-11-25,24,1.0,,0.01,0.24
2016-11-26,29,1.0,,0.01,0.29
2016-11-27,21,1.0,,0.01,0.21
2016-11-28,33,1.0,,0.01,0.33
2016-11-29,60,1.0,,0.01,0.6
2016-11-30,47,1.0,,0.01,0.47000000000000003
2016-12-01,35,1.0,False,0.01,0.35000000000000003
2016-12-02,60,1.0,,0.01,0.6
2016-12-03,14,1.0,,0.01,0.14
2016-12-04,53,1.0,,0.01,0.53
2016-12-05,69,1.0,,0.01,0.6900000000000001
2016-12-06,44,1.0,,0.01,0.44
2016-12-07,76,1.0,,0.01,0.76
2016-12-08,100,1.0,,0.01,1.0
2016-12-09,92,1.0,,0.01,0.92
2016-12-10,29,1.0,,0.01,0.29
2016-12-11,55,1.0,,0.01,0.55
2016-12-12,51,1.0,,0.01,0.51
2016-12-13,63,1.0,,0.01,0.63
2016-12-14,53,1.0,,0.01,0.53
2016-12-15,54,1.0,,0.01,0.54
2016-12-16,50,1.0,,0.01,0.5
2016-12-17,58,1.0,,0.01,0.58
2016-12-18,43,1.0,,0.01,0.43
2016-12-19,74,1.0,,0.01,0.74
2016-12-20,63,1.0,,0.01,0.63
2016-12-21,59,1.0,,0.01,0.59
2016-12-22,54,1.0,,0.01,0.54
2016-12-23,54,1.0,,0.01,0.54
2016-12-24,76,1.0,,0.01,0.76
2016-12-25,74,1.0,,0.01,0.74
2016-12-26,21,1.0,,0.01,0.21
2016-12-27,57,1.0,,0.01,0.5700000000000001
2016-12-28,52,1.0,,0.01,0.52
2016-12-29,63,1.0,,0.01,0.63
2016-12-30,60,1.0,,0.01,0.6
2016-12-31,83,1.0,,0.01,0.8300000000000001
2017-01-01,14,1.0,False,0.01,0.14
2017-01-02,18,1.0,,0.01,0.18
2017-01-03,16,1.0,,0.01,0.16
2017-01-04,33,1.0,,0.01,0.33
2017-01-05,34,1.0,,0.01,0.34
2017-01-06,50,1.0,,0.01,0.5
2017-01-07,51,1.0,,0.01,0.51
2017-01-08,25,1.0,,0.01,0.25
2017-01-09,43,1.0,,0.01,0.43
2017-01-10,86,1.0,,0.01,0.86
2017-01-11,38,1.0,,0.01,0.38
2017-01-12,33,1.0,,0.01,0.33
2017-01-13,44,1.0,,0.01,0.44
2017-01-14,51,1.0,,0.01,0.51
2017-01-15,61,1.0,,0.01,0.61
2017-01-16,44,1.0,,0.01,0.44
2017-01-17,48,1.0,,0.01,0.48
2017-01-18,48,1.0,,0.01,0.48
2017-01-19,48,1.0,,0.01,0.48
2017-01-20,32,1.0,,0.01,0.32
2017-01-21,25,1.0,,0.01,0.25
2017-01-22,42,1.0,,0.01,0.42
2017-01-23,46,1.0,,0.01,0.46
2017-01-24,48,1.0,,0.01,0.48
2017-01-25,58,1.0,,0.01,0.58
2017-01-26,100,1.0,,0.01,1.0
2017-01-27,88,1.0,,0.01,0.88
2017-01-28,70,1.0,,0.01,0.7000000000000001
2017-01-29,13,1.0,,0.01,0.13
2017-01-30,52,1.0,,0.01,0.52
2017-01-31,63,1.0,,0.01,0.63
2017-02-01,57,1.0,False,0.01,0.5700000000000001
2017-02-02,42,1.0,,0.01,0.42
2017-02-03,76,1.0,,0.01,0.76
2017-02-04,44,1.0,,0.01,0.44
2017-02-05,44,1.0,,0.01,0.44
2017-02-06,71,1.0,,0.01,0.71
2017-02-07,72,1.0,,0.01,0.72
2017-02-08,100,1.0,,0.01,1.0
2017-02-09,64,1.0,,0.01,0.64
2017-02-10,82,1.0,,0.01,0.8200000000000001
2017-02-11,39,1.0,,0.01,0.39
2017-02-12,76,1.0,,0.01,0.76
2017-02-13,41,1.0,,0.01,0.41000000000000003
2017-02-14,84,1.0,,0.01,0.84
2017-02-15,48,1.0,,0.01,0.48
2017-02-16,79,1.0,,0.01,0.79
2017-02-17,32,1.0,,0.01,0.32
2017-02-18,50,1.0,,0.01,0.5
2017-02-19,59,1.0,,0.01,0.59
2017-02-20,44,1.0,,0.01,0.44
2017-02-21,57,1.0,,0.01,0.5700000000000001
2017-02-22,93,1.0,,0.01,0.93
2017-02-23,94,1.0,,0.01,0.9400000000000001
2017-02-24,76,1.0,,0.01,0.76
2017-02-25,69,1.0,,0.01,0.6900000000000001
2017-02-26,36,1.0,,0.01,0.36
2017-02-27,63,1.0,,0.01,0.63
2017-02-28,79,1.0,,0.01,0.79
2017-03-01,49,1.0,False,0.01,0.49
2017-03-02,59,1.0,,0.01,0.59
2017-03-03,37,1.0,,0.01,0.37
2017-03-04,24,1.0,,0.01,0.24
2017-03-05,48,1.0,,0.01,0.48
2017-03-06,42,1.0,,0.01,0.42
2017-03-07,52,1.0,,0.01,0.52
2017-03-08,88,1.0,,0.01,0.88
2017-03-09,48,1.0,,0.01,0.48
2017-03-10,77,1.0,,0.01,0.77
2017-03-11,63,1.0,,0.01,0.63
2017-03-12,81,1.0,,0.01,0.81
2017-03-13,83,1.0,,0.01,0.8300000000000001
2017-03-14,100,1.0,,0.01,1.0
2017-03-15,65,1.0,,0.01,0.65
2017-03-16,70,1.0,,0.01,0.7000000000000001
2017-03-17,55,1.0,,0.01,0.55
2017-03-18,39,1.0,,0.01,0.39
2017-03-19,39,1.0,,0.01,0.39
2017-03-20,32,1.0,,0.01,0.32
2017-03-21,61,1.0,,0.01,0.61
2017-03-22,49,1.0,,0.01,0.49
2017-03-23,49,1.0,,0.01,0.49
2017-03-24,84,1.0,,0.01,0.84
2017-03-25,39,1.0,,0.01,0.39
2017-03-26,24,1.0,,0.01,0.24
2017-03-27,60,1.0,,0.01,0.6
2017-03-28,41,1.0,,0.01,0.41000000000000003
2017-03-29,70,1.0,,0.01,0.7000000000000001
2017-03-30,70,1.0,,0.01,0.7000000000000001
2017-03-31,41,1.0,,0.01,0.41000000000000003
2017-04-01,57,1.0,False,0.01,0.5700000000000001
2017-04-02,29,1.0,,0.01,0.29
2017-04-03,58,1.0,,0.01,0.58
2017-04-04,35,1.0,,0.01,0.35000000000000003
2017-04-05,78,1.0,,0.01,0.78
2017-04-06,59,1.0,,0.01,0.59
2017-04-07,57,1.0,,0.01,0.5700000000000001
2017-04-08,58,1.0,,0.01,0.58
2017-04-09,24,1.0,,0.01,0.24
2017-04-10,64,1.0,,0.01,0.64
2017-04-11,60,1.0,,0.01,0.6
2017-04-12,40,1.0,,0.01,0.4
2017-04-13,32,1.0,,0.01,0.32
2017-04-14,56,1.0,,0.01,0.56
2017-04-15,40,1.0,,0.01,0.4
2017-04-16,62,1.0,,0.01,0.62
2017-04-17,60,1.0,,0.01,0.6
2017-04-18,70,1.0,,0.01,0.7000000000000001
2017-04-19,55,1.0,,0.01,0.55
2017-04-20,75,1.0,,0.01,0.75
2017-04-21,100,1.0,,0.01,1.0
2017-04-22,24,1.0,,0.01,0.24
2017-04-23,34,1.0,,0.01,0.34
2017-04-24,66,1.0,,0.01,0.66
2017-04-25,86,1.0,,0.01,0.86
2017-04-26,42,1.0,,0.01,0.42
2017-04-27,55,1.0,,0.01,0.55
2017-04-28,36,1.0,,0.01,0.36
2017-04-29,43,1.0,,0.01,0.43
2017-04-30,10,1.0,,0.01,0.1
2017-05-01,19,1.0,False,0.01,0.19
2017-05-02,38,1.0,,0.01,0.38
2017-05-03,19,1.0,,0.01,0.19
2017-05-04,30,1.0,,0.01,0.3
2017-05-05,31,1.0,,0.01,0.31
2017-05-06,21,1.0,,0.01,0.21
2017-05-07,15,1.0,,0.01,0.15
2017-05-08,22,1.0,,0.01,0.22
2017-05-09,52,1.0,,0.01,0.52
2017-05-10,29,1.0,,0.01,0.29
2017-05-11,23,1.0,,0.01,0.23
2017-05-12,26,1.0,,0.01,0.26
2017-05-13,56,1.0,,0.01,0.56
2017-05-14,53,1.0,,0.01,0.53
2017-05-15,65,1.0,,0.01,0.65
2017-05-16,79,1.0,,0.01,0.79
2017-05-17,74,1.0,,0.01,0.74
2017-05-18,100,1.0,,0.01,1.0
2017-05-19,70,1.0,,0.01,0.7000000000000001
2017-05-20,49,1.0,,0.01,0.49
2017-05-21,29,1.0,,0.01,0.29
2017-05-22,37,1.0,,0.01,0.37
2017-05-23,38,1.0,,0.01,0.38
2017-05-24,32,1.0,,0.01,0.32
2017-05-25,16,1.0,,0.01,0.16
2017-05-26,40,1.0,,0.01,0.4
2017-05-27,10,1.0,,0.01,0.1
2017-05-28,41,1.0,,0.01,0.41000000000000003
2017-05-29,28,1.0,,0.01,0.28
2017-05-30,45,1.0,,0.01,0.45
2017-05-31,36,1.0,,0.01,0.36
2017-06-01,67,1.0,False,0.01,0.67
2017-06-02,50,1.0,,0.01,0.5
2017-06-03,17,1.0,,0.01,0.17
2017-06-04,34,1.0,,0.01,0.34
2017-06-05,42,1.0,,0.01,0.42
2017-06-06,60,1.0,,0.01,0.6
2017-06-07,56,1.0,,0.01,0.56
2017-06-08,56,1.0,,0.01,0.56
2017-06-09,70,1.0,,0.01,0.7000000000000001
2017-06-10,29,1.0,,0.01,0.29
2017-06-11,29,1.0,,0.01,0.29
2017-06-12,56,1.0,,0.01,0.56
2017-06-13,69,1.0,,0.01,0.6900000000000001
2017-06-14,65,1.0,,0.01,0.65
2017-06-15,78,1.0,,0.01,0.78
2017-06-16,58,1.0,,0.01,0.58
2017-06-17,29,1.0,,0.01,0.29
2017-06-18,35,1.0,,0.01,0.35000000000000003
2017-06-19,38,1.0,,0.01,0.38
2017-06-20,62,1.0,,0.01,0.62
2017-06-21,100,1.0,,0.01,1.0
2017-06-22,73,1.0,,0.01,0.73
2017-06-23,74,1.0,,0.01,0.74
2017-06-24,38,1.0,,0.01,0.38
2017-06-25,46,1.0,,0.01,0.46
2017-06-26,53,1.0,,0.01,0.53
2017-06-27,98,1.0,,0.01,0.98
2017-06-28,45,1.0,,0.01,0.45
2017-06-29,76,1.0,,0.01,0.76
2017-06-30,62,1.0,,0.01,0.62
2017-07-01,29,1.0,False,0.01,0.29
2017-07-02,30,1.0,,0.01,0.3
2017-07-03,42,1.0,,0.01,0.42
2017-07-04,23,1.0,,0.01,0.23
2017-07-05,57,1.0,,0.01,0.5700000000000001
2017-07-06,67,1.0,,0.01,0.67
2017-07-07,54,1.0,,0.01,0.54
2017-07-08,73,1.0,,0.01,0.73
2017-07-09,57,1.0,,0.01,0.5700000000000001
2017-07-10,58,1.0,,0.01,0.58
2017-07-11,58,1.0,,0.01,0.58
2017-07-12,68,1.0,,0.01,0.68
2017-07-13,49,1.0,,0.01,0.49
2017-07-14,30,1.0,,0.01,0.3
2017-07-15,57,1.0,,0.01,0.5700000000000001
2017-07-16,34,1.0,,0.01,0.34
2017-07-17,58,1.0,,0.01,0.58
2017-07-18,29,1.0,,0.01,0.29
2017-07-19,39,1.0,,0.01,0.39
2017-07-20,76,1.0,,0.01,0.76
2017-07-21,54,1.0,,0.01,0.54
2017-07-22,17,1.0,,0.01,0.17
2017-07-23,50,1.0,,0.01,0.5
2017-07-24,77,1.0,,0.01,0.77
2017-07-25,29,1.0,,0.01,0.29
2017-07-26,100,1.0,,0.01,1.0
2017-07-27,67,1.0,,0.01,0.67
2017-07-28,78,1.0,,0.01,0.78
2017-07-29,45,1.0,,0.01,0.45
2017-07-30,34,1.0,,0.01,0.34
2017-07-31,34,1.0,,0.01,0.34
2017-08-01,82,1.0,False,0.01,0.8200000000000001
2017-08-02,79,1.0,,0.01,0.79
2017-08-03,93,1.0,,0.01,0.93
2017-08-04,80,1.0,,0.01,0.8
2017-08-05,46,1.0,,0.01,0.46
2017-08-06,80,1.0,,0.01,0.8
2017-08-07,38,1.0,,0.01,0.38
2017-08-08,100,1.0,,0.01,1.0
2017-08-09,93,1.0,,0.01,0.93
2017-08-10,75,1.0,,0.01,0.75
2017-08-11,86,1.0,,0.01,0.86
2017-08-12,32,1.0,,0.01,0.32
2017-08-13,59,1.0,,0.01,0.59
2017-08-14,39,1.0,,0.01,0.39
2017-08-15,45,1.0,,0.01,0.45
2017-08-16,67,1.0,,0.01,0.67
2017-08-17,56,1.0,,0.01,0.56
2017-08-18,67,1.0,,0.01,0.67
2017-08-19,58,1.0,,0.01,0.58
2017-08-20,19,1.0,,0.01,0.19
2017-08-21,63,1.0,,0.01,0.63
2017-08-22,33,1.0,,0.01,0.33
2017-08-23,55,1.0,,0.01,0.55
2017-08-24,33,1.0,,0.01,0.33
2017-08-25,67,1.0,,0.01,0.67
2017-08-26,57,1.0,,0.01,0.5700000000000001
2017-08-27,36,1.0,,0.01,0.36
2017-08-28,60,1.0,,0.01,0.6
2017-08-29,43,1.0,,0.01,0.43
2017-08-30,59,1.0,,0.01,0.59
2017-08-31,60,1.0,,0.01,0.6
2017-09-01,43,1.0,False,0.01,0.43
2017-09-02,38,1.0,,0.01,0.38
2017-09-03,33,1.0,,0.01,0.33
2017-09-04,36,1.0,,0.01,0.36
2017-09-05,27,1.0,,0.01,0.27
2017-09-06,61,1.0,,0.01,0.61
2017-09-07,49,1.0,,0.01,0.49
2017-09-08,41,1.0,,0.01,0.41000000000000003
2017-09-09,21,1.0,,0.01,0.21
2017-09-10,47,1.0,,0.01,0.47000000000000003
2017-09-11,40,1.0,,0.01,0.4
2017-09-12,45,1.0,,0.01,0.45
2017-09-13,68,1.0,,0.01,0.68
2017-09-14,88,1.0,,0.01,0.88
2017-09-15,65,1.0,,0.01,0.65
2017-09-16,33,1.0,,0.01,0.33
2017-09-17,11,1.0,,0.01,0.11
2017-09-18,67,1.0,,0.01,0.67
2017-09-19,54,1.0,,0.01,0.54
2017-09-20,58,1.0,,0.01,0.58
2017-09-21,45,1.0,,0.01,0.45
2017-09-22,47,1.0,,0.01,0.47000000000000003
2017-09-23,100,1.0,,0.01,1.0
2017-09-24,49,1.0,,0.01,0.49
2017-09-25,50,1.0,,0.01,0.5
2017-09-26,55,1.0,,0.01,0.55
2017-09-27,96,1.0,,0.01,0.96
2017-09-28,73,1.0,,0.01,0.73
2017-09-29,79,1.0,,0.01,0.79
2017-09-30,84,1.0,,0.01,0.84
2017-10-01,11,1.0,False,0.01,0.11
2017-10-02,60,1.0,,0.01,0.6
2017-10-03,66,1.0,,0.01,0.66
2017-10-04,100,1.0,,0.01,1.0
2017-10-05,48,1.0,,0.01,0.48
2017-10-06,39,1.0,,0.01,0.39
2017-10-07,28,1.0,,0.01,0.28
2017-10-08,33,1.0,,0.01,0.33
2017-10-09,42,1.0,,0.01,0.42
2017-10-10,65,1.0,,0.01,0.65
2017-10-11,52,1.0,,0.01,0.52
2017-10-12,43,1.0,,0.01,0.43
2017-10-13,83,1.0,,0.01,0.8300000000000001
2017-10-14,57,1.0,,0.01,0.5700000000000001
2017-10-15,56,1.0,,0.01,0.56
2017-10-16,81,1.0,,0.01,0.81
2017-10-17,43,1.0,,0.01,0.43
2017-10-18,48,1.0,,0.01,0.48
2017-10-19,49,1.0,,0.01,0.49
2017-10-20,90,1.0,,0.01,0.9
2017-10-21,47,1.0,,0.01,0.47000000000000003
2017-10-22,51,1.0,,0.01,0.51
2017-10-23,61,1.0,,0.01,0.61
2017-10-24,61,1.0,,0.01,0.61
2017-10-25,71,1.0,,0.01,0.71
2017-10-26,52,1.0,,0.01,0.52
2017-10-27,54,1.0,,0.01,0.54
2017-10-28,41,1.0,,0.01,0.41000000000000003
2017-10-29,40,1.0,,0.01,0.4
2017-10-30,47,1.0,,0.01,0.47000000000000003
2017-10-31,58,1.0,,0.01,0.58
2017-11-01,53,1.0,False,0.01,0.53
2017-11-02,100,1.0,,0.01,1.0
2017-11-03,22,1.0,,0.01,0.22
2017-11-04,66,1.0,,0.01,0.66
2017-11-05,20,1.0,,0.01,0.2
2017-11-06,67,1.0,,0.01,0.67
2017-11-07,63,1.0,,0.01,0.63
2017-11-08,46,1.0,,0.01,0.46
2017-11-09,76,1.0,,0.01,0.76
2017-11-10,95,1.0,,0.01,0.9500000000000001
2017-11-11,36,1.0,,0.01,0.36
2017-11-12,70,1.0,,0.01,0.7000000000000001
2017-11-13,54,1.0,,0.01,0.54
2017-11-14,67,1.0,,0.01,0.67
2017-11-15,46,1.0,,0.01,0.46
2017-11-16,50,1.0,,0.01,0.5
2017-11-17,78,1.0,,0.01,0.78
2017-11-18,20,1.0,,0.01,0.2
2017-11-19,30,1.0,,0.01,0.3
2017-11-20,39,1.0,,0.01,0.39
2017-11-21,44,1.0,,0.01,0.44
2017-11-22,46,1.0,,0.01,0.46
2017-11-23,41,1.0,,0.01,0.41000000000000003
2017-11-24,29,1.0,,0.01,0.29
2017-11-25,50,1.0,,0.01,0.5
2017-11-26,54,1.0,,0.01,0.54
2017-11-27,32,1.0,,0.01,0.32
2017-11-28,49,1.0,,0.01,0.49
2017-11-29,95,1.0,,0.01,0.9500000000000001
2017-11-30,72,1.0,,0.01,0.72
2017-12-01,12,1.0,False,0.01,0.12
2017-12-02,9,1.0,,0.01,0.09
2017-12-03,14,1.0,,0.01,0.14
2017-12-04,8,1.0,,0.01,0.08
2017-12-05,9,1.0,,0.01,0.09
2017-12-06,9,1.0,,0.01,0.09
2017-12-07,26,1.0,,0.01,0.26
2017-12-08,15,1.0,,0.01,0.15
2017-12-09,11,1.0,,0.01,0.11
2017-12-10,13,1.0,,0.01,0.13
2017-12-11,14,1.0,,0.01,0.14
2017-12-12,7,1.0,,0.01,0.07
2017-12-13,12,1.0,,0.01,0.12
2017-12-14,11,1.0,,0.01,0.11
2017-12-15,15,1.0,,0.01,0.15
2017-12-16,19,1.0,,0.01,0.19
2017-12-17,32,1.0,,0.01,0.32
2017-12-18,100,1.0,,0.01,1.0
2017-12-19,47,1.0,,0.01,0.47000000000000003
2017-12-20,33,1.0,,0.01,0.33
2017-12-21,30,1.0,,0.01,0.3
2017-12-22,16,1.0,,0.01,0.16
2017-12-23,13,1.0,,0.01,0.13
2017-12-24,15,1.0,,0.01,0.15
2017-12-25,12,1.0,,0.01,0.12
2017-12-26,10,1.0,,0.01,0.1
2017-12-27,9,1.0,,0.01,0.09
2017-12-28,9,1.0,,0.01,0.09
2017-12-29,17,1.0,,0.01,0.17
2017-12-30,13,1.0,,0.01,0.13
2017-12-31,13,1.0,,0.01,0.13
2018-01-01,13,1.0,False,0.01,0.13
2018-01-02,49,1.0,,0.01,0.49
2018-01-03,60,1.0,,0.01,0.6
2018-01-04,37,1.0,,0.01,0.37
2018-01-05,49,1.0,,0.01,0.49
2018-01-06,73,1.0,,0.01,0.73
