date,CSCO_unscaled,CSCO_monthly,isPartial,scale,CSCO
2016-12-11,9,39.0,,0.39,3.5100000000000002
2016-12-12,56,39.0,,0.39,21.84
2016-12-13,95,39.0,,0.39,37.050000000000004
2016-12-14,53,39.0,,0.39,20.67
2016-12-15,76,39.0,,0.39,29.64
2016-12-16,37,39.0,,0.39,14.43
2016-12-17,16,39.0,,0.39,6.24
2016-12-18,12,39.0,,0.39,4.68
2016-12-19,31,39.0,,0.39,12.09
2016-12-20,62,39.0,,0.39,24.18
2016-12-21,39,39.0,,0.39,15.21
2016-12-22,34,39.0,,0.39,13.26
2016-12-23,52,39.0,,0.39,20.28
2016-12-24,19,39.0,,0.39,7.41
2016-12-25,7,39.0,,0.39,2.73
2016-12-26,24,39.0,,0.39,9.36
2016-12-27,70,39.0,,0.39,27.3
2016-12-28,78,39.0,,0.39,30.42
2016-12-29,57,39.0,,0.39,22.23
2016-12-30,68,39.0,,0.39,26.52
2016-12-31,26,39.0,,0.39,10.14
2017-01-01,39,47.0,False,0.47,18.33
2017-01-02,47,47.0,,0.47,22.09
2017-01-03,75,47.0,,0.47,35.25
2017-01-04,73,47.0,,0.47,34.309999999999995
2017-01-05,56,47.0,,0.47,26.32
2017-01-06,81,47.0,,0.47,38.07
2017-01-07,50,47.0,,0.47,23.5
2017-01-08,42,47.0,,0.47,19.74
2017-01-09,51,47.0,,0.47,23.97
2017-01-10,88,47.0,,0.47,41.36
2017-01-11,49,47.0,,0.47,23.029999999999998
2017-01-12,52,47.0,,0.47,24.439999999999998
2017-01-13,50,47.0,,0.47,23.5
2017-01-14,40,47.0,,0.47,18.799999999999997
2017-01-15,38,47.0,,0.47,17.86
2017-01-16,37,47.0,,0.47,17.39
2017-01-17,53,47.0,,0.47,24.91
2017-01-18,50,47.0,,0.47,23.5
2017-01-19,48,47.0,,0.47,22.56
2017-01-20,46,47.0,,0.47,21.619999999999997
2017-01-21,31,47.0,,0.47,14.569999999999999
2017-01-22,22,47.0,,0.47,10.34
2017-01-23,57,47.0,,0.47,26.79
2017-01-24,57,47.0,,0.47,26.79
2017-01-25,100,47.0,,0.47,47.0
2017-01-26,67,47.0,,0.47,31.49
2017-01-27,83,47.0,,0.47,39.01
2017-01-28,29,47.0,,0.47,13.629999999999999
2017-01-29,18,47.0,,0.47,8.459999999999999
2017-01-30,66,47.0,,0.47,31.02
2017-01-31,82,47.0,,0.47,38.54
2017-02-01,29,67.0,False,0.67,19.43
2017-02-02,24,67.0,,0.67,16.080000000000002
2017-02-03,27,67.0,,0.67,18.09
2017-02-04,12,67.0,,0.67,8.040000000000001
2017-02-05,5,67.0,,0.67,3.35
2017-02-06,29,67.0,,0.67,19.43
2017-02-07,29,67.0,,0.67,19.43
2017-02-08,25,67.0,,0.67,16.75
2017-02-09,29,67.0,,0.67,19.43
2017-02-10,25,67.0,,0.67,16.75
2017-02-11,13,67.0,,0.67,8.71
2017-02-12,6,67.0,,0.67,4.0200000000000005
2017-02-13,32,67.0,,0.67,21.44
2017-02-14,36,67.0,,0.67,24.12
2017-02-15,100,67.0,,0.67,67.0
2017-02-16,96,67.0,,0.67,64.32000000000001
2017-02-17,55,67.0,,0.67,36.85
2017-02-18,22,67.0,,0.67,14.74
2017-02-19,7,67.0,,0.67,4.69
2017-02-20,11,67.0,,0.67,7.37
2017-02-21,50,67.0,,0.67,33.5
2017-02-22,35,67.0,,0.67,23.450000000000003
2017-02-23,36,67.0,,0.67,24.12
2017-02-24,36,67.0,,0.67,24.12
2017-02-25,4,67.0,,0.67,2.68
2017-02-26,8,67.0,,0.67,5.36
2017-02-27,26,67.0,,0.67,17.42
2017-02-28,39,67.0,,0.67,26.130000000000003
2017-03-01,84,46.0,False,0.46,38.64
2017-03-02,100,46.0,,0.46,46.0
2017-03-03,60,46.0,,0.46,27.6
2017-03-04,14,46.0,,0.46,6.44
2017-03-05,9,46.0,,0.46,4.140000000000001
2017-03-06,75,46.0,,0.46,34.5
2017-03-07,48,46.0,,0.46,22.080000000000002
2017-03-08,37,46.0,,0.46,17.02
2017-03-09,41,46.0,,0.46,18.86
2017-03-10,40,46.0,,0.46,18.400000000000002
2017-03-11,26,46.0,,0.46,11.96
2017-03-12,11,46.0,,0.46,5.0600000000000005
2017-03-13,57,46.0,,0.46,26.220000000000002
2017-03-14,71,46.0,,0.46,32.660000000000004
2017-03-15,74,46.0,,0.46,34.04
2017-03-16,60,46.0,,0.46,27.6
2017-03-17,52,46.0,,0.46,23.92
2017-03-18,31,46.0,,0.46,14.26
2017-03-19,7,46.0,,0.46,3.22
2017-03-20,50,46.0,,0.46,23.0
2017-03-21,50,46.0,,0.46,23.0
2017-03-22,54,46.0,,0.46,24.84
2017-03-23,55,46.0,,0.46,25.3
2017-03-24,54,46.0,,0.46,24.84
2017-03-25,22,46.0,,0.46,10.120000000000001
2017-03-26,19,46.0,,0.46,8.74
2017-03-27,53,46.0,,0.46,24.380000000000003
2017-03-28,34,46.0,,0.46,15.64
2017-03-29,56,46.0,,0.46,25.76
2017-03-30,41,46.0,,0.46,18.86
2017-03-31,42,46.0,,0.46,19.32
2017-04-01,8,37.0,False,0.37,2.96
2017-04-02,13,37.0,,0.37,4.81
2017-04-03,53,37.0,,0.37,19.61
2017-04-04,43,37.0,,0.37,15.91
2017-04-05,54,37.0,,0.37,19.98
2017-04-06,46,37.0,,0.37,17.02
2017-04-07,45,37.0,,0.37,16.65
2017-04-08,19,37.0,,0.37,7.03
2017-04-09,16,37.0,,0.37,5.92
2017-04-10,60,37.0,,0.37,22.2
2017-04-11,42,37.0,,0.37,15.54
2017-04-12,53,37.0,,0.37,19.61
2017-04-13,61,37.0,,0.37,22.57
2017-04-14,34,37.0,,0.37,12.58
2017-04-15,14,37.0,,0.37,5.18
2017-04-16,11,37.0,,0.37,4.07
2017-04-17,31,37.0,,0.37,11.47
2017-04-18,39,37.0,,0.37,14.43
2017-04-19,48,37.0,,0.37,17.759999999999998
2017-04-20,51,37.0,,0.37,18.87
2017-04-21,58,37.0,,0.37,21.46
2017-04-22,16,37.0,,0.37,5.92
2017-04-23,19,37.0,,0.37,7.03
2017-04-24,61,37.0,,0.37,22.57
2017-04-25,78,37.0,,0.37,28.86
2017-04-26,47,37.0,,0.37,17.39
2017-04-27,100,37.0,,0.37,37.0
2017-04-28,62,37.0,,0.37,22.94
2017-04-29,21,37.0,,0.37,7.77
2017-04-30,13,37.0,,0.37,4.81
2017-05-01,34,65.0,False,0.65,22.1
2017-05-02,24,65.0,,0.65,15.600000000000001
2017-05-03,30,65.0,,0.65,19.5
2017-05-04,20,65.0,,0.65,13.0
2017-05-05,21,65.0,,0.65,13.65
2017-05-06,8,65.0,,0.65,5.2
2017-05-07,10,65.0,,0.65,6.5
2017-05-08,26,65.0,,0.65,16.900000000000002
2017-05-09,24,65.0,,0.65,15.600000000000001
2017-05-10,28,65.0,,0.65,18.2
2017-05-11,23,65.0,,0.65,14.950000000000001
2017-05-12,21,65.0,,0.65,13.65
2017-05-13,11,65.0,,0.65,7.15
2017-05-14,5,65.0,,0.65,3.25
2017-05-15,47,65.0,,0.65,30.55
2017-05-16,42,65.0,,0.65,27.3
2017-05-17,96,65.0,,0.65,62.400000000000006
2017-05-18,100,65.0,,0.65,65.0
2017-05-19,65,65.0,,0.65,42.25
2017-05-20,16,65.0,,0.65,10.4
2017-05-21,9,65.0,,0.65,5.8500000000000005
2017-05-22,23,65.0,,0.65,14.950000000000001
2017-05-23,37,65.0,,0.65,24.05
2017-05-24,32,65.0,,0.65,20.8
2017-05-25,34,65.0,,0.65,22.1
2017-05-26,27,65.0,,0.65,17.55
2017-05-27,10,65.0,,0.65,6.5
2017-05-28,11,65.0,,0.65,7.15
2017-05-29,7,65.0,,0.65,4.55
2017-05-30,19,65.0,,0.65,12.35
2017-05-31,27,65.0,,0.65,17.55
2017-06-01,77,45.0,False,0.45,34.65
2017-06-02,65,45.0,,0.45,29.25
2017-06-03,15,45.0,,0.45,6.75
2017-06-04,3,45.0,,0.45,1.35
2017-06-05,65,45.0,,0.45,29.25
2017-06-06,59,45.0,,0.45,26.55
2017-06-07,45,45.0,,0.45,20.25
2017-06-08,68,45.0,,0.45,30.6
2017-06-09,77,45.0,,0.45,34.65
2017-06-10,15,45.0,,0.45,6.75
2017-06-11,3,45.0,,0.45,1.35
2017-06-12,70,45.0,,0.45,31.5
2017-06-13,81,45.0,,0.45,36.45
2017-06-14,50,45.0,,0.45,22.5
2017-06-15,49,45.0,,0.45,22.05
2017-06-16,47,45.0,,0.45,21.150000000000002
2017-06-17,9,45.0,,0.45,4.05
2017-06-18,3,45.0,,0.45,1.35
2017-06-19,76,45.0,,0.45,34.2
2017-06-20,79,45.0,,0.45,35.550000000000004
2017-06-21,80,45.0,,0.45,36.0
2017-06-22,59,45.0,,0.45,26.55
2017-06-23,91,45.0,,0.45,40.95
2017-06-24,32,45.0,,0.45,14.4
2017-06-25,12,45.0,,0.45,5.4
2017-06-26,75,45.0,,0.45,33.75
2017-06-27,66,45.0,,0.45,29.7
2017-06-28,100,45.0,,0.45,45.0
2017-06-29,62,45.0,,0.45,27.900000000000002
2017-06-30,77,45.0,,0.45,34.65
2017-07-01,18,46.0,False,0.46,8.280000000000001
2017-07-02,3,46.0,,0.46,1.3800000000000001
2017-07-03,87,46.0,,0.46,40.02
2017-07-04,95,46.0,,0.46,43.7
2017-07-05,68,46.0,,0.46,31.28
2017-07-06,49,46.0,,0.46,22.540000000000003
2017-07-07,97,46.0,,0.46,44.620000000000005
2017-07-08,15,46.0,,0.46,6.9
2017-07-09,12,46.0,,0.46,5.5200000000000005
2017-07-10,79,46.0,,0.46,36.34
2017-07-11,100,46.0,,0.46,46.0
2017-07-12,92,46.0,,0.46,42.32
2017-07-13,67,46.0,,0.46,30.82
2017-07-14,63,46.0,,0.46,28.98
2017-07-15,27,46.0,,0.46,12.42
2017-07-16,6,46.0,,0.46,2.7600000000000002
2017-07-17,54,46.0,,0.46,24.84
2017-07-18,62,46.0,,0.46,28.52
2017-07-19,75,46.0,,0.46,34.5
2017-07-20,91,46.0,,0.46,41.86
2017-07-21,63,46.0,,0.46,28.98
2017-07-22,12,46.0,,0.46,5.5200000000000005
2017-07-23,6,46.0,,0.46,2.7600000000000002
2017-07-24,43,46.0,,0.46,19.78
2017-07-25,59,46.0,,0.46,27.14
2017-07-26,73,46.0,,0.46,33.58
2017-07-27,79,46.0,,0.46,36.34
2017-07-28,65,46.0,,0.46,29.900000000000002
2017-07-29,9,46.0,,0.46,4.140000000000001
2017-07-30,9,46.0,,0.46,4.140000000000001
2017-07-31,59,46.0,,0.46,27.14
2017-08-01,22,58.0,False,0.58,12.76
2017-08-02,26,58.0,,0.58,15.079999999999998
2017-08-03,22,58.0,,0.58,12.76
2017-08-04,20,58.0,,0.58,11.6
2017-08-05,15,58.0,,0.58,8.7
2017-08-06,2,58.0,,0.58,1.16
2017-08-07,28,58.0,,0.58,16.24
2017-08-08,21,58.0,,0.58,12.18
2017-08-09,25,58.0,,0.58,14.499999999999998
2017-08-10,17,58.0,,0.58,9.86
2017-08-11,16,58.0,,0.58,9.28
2017-08-12,11,58.0,,0.58,6.38
2017-08-13,3,58.0,,0.58,1.7399999999999998
2017-08-14,21,58.0,,0.58,12.18
2017-08-15,26,58.0,,0.58,15.079999999999998
2017-08-16,100,58.0,,0.58,57.99999999999999
2017-08-17,66,58.0,,0.58,38.279999999999994
2017-08-18,36,58.0,,0.58,20.88
2017-08-19,3,58.0,,0.58,1.7399999999999998
2017-08-20,7,58.0,,0.58,4.06
2017-08-21,25,58.0,,0.58,14.499999999999998
2017-08-22,24,58.0,,0.58,13.919999999999998
2017-08-23,35,58.0,,0.58,20.299999999999997
2017-08-24,26,58.0,,0.58,15.079999999999998
2017-08-25,21,58.0,,0.58,12.18
2017-08-26,5,58.0,,0.58,2.9
2017-08-27,5,58.0,,0.58,2.9
2017-08-28,16,58.0,,0.58,9.28
2017-08-29,17,58.0,,0.58,9.86
2017-08-30,26,58.0,,0.58,15.079999999999998
2017-08-31,19,58.0,,0.58,11.02
2017-09-01,73,40.0,False,0.4,29.200000000000003
2017-09-02,25,40.0,,0.4,10.0
2017-09-03,10,40.0,,0.4,4.0
2017-09-04,21,40.0,,0.4,8.4
2017-09-05,57,40.0,,0.4,22.8
2017-09-06,73,40.0,,0.4,29.200000000000003
2017-09-07,52,40.0,,0.4,20.8
2017-09-08,50,40.0,,0.4,20.0
2017-09-09,15,40.0,,0.4,6.0
2017-09-10,21,40.0,,0.4,8.4
2017-09-11,86,40.0,,0.4,34.4
2017-09-12,100,40.0,,0.4,40.0
2017-09-13,73,40.0,,0.4,29.200000000000003
2017-09-14,72,40.0,,0.4,28.8
2017-09-15,51,40.0,,0.4,20.400000000000002
2017-09-16,19,40.0,,0.4,7.6000000000000005
2017-09-17,22,40.0,,0.4,8.8
2017-09-18,75,40.0,,0.4,30.0
2017-09-19,68,40.0,,0.4,27.200000000000003
2017-09-20,62,40.0,,0.4,24.8
2017-09-21,71,40.0,,0.4,28.400000000000002
2017-09-22,76,40.0,,0.4,30.400000000000002
2017-09-23,32,40.0,,0.4,12.8
2017-09-24,22,40.0,,0.4,8.8
2017-09-25,58,40.0,,0.4,23.200000000000003
2017-09-26,92,40.0,,0.4,36.800000000000004
2017-09-27,93,40.0,,0.4,37.2
2017-09-28,82,40.0,,0.4,32.800000000000004
2017-09-29,62,40.0,,0.4,24.8
2017-09-30,19,40.0,,0.4,7.6000000000000005
2017-10-01,21,46.0,False,0.46,9.66
2017-10-02,58,46.0,,0.46,26.68
2017-10-03,88,46.0,,0.46,40.480000000000004
2017-10-04,78,46.0,,0.46,35.88
2017-10-05,46,46.0,,0.46,21.16
2017-10-06,42,46.0,,0.46,19.32
2017-10-07,23,46.0,,0.46,10.58
2017-10-08,8,46.0,,0.46,3.68
2017-10-09,34,46.0,,0.46,15.64
2017-10-10,53,46.0,,0.46,24.380000000000003
2017-10-11,51,46.0,,0.46,23.46
2017-10-12,69,46.0,,0.46,31.740000000000002
2017-10-13,36,46.0,,0.46,16.560000000000002
2017-10-14,18,46.0,,0.46,8.280000000000001
2017-10-15,18,46.0,,0.46,8.280000000000001
2017-10-16,48,46.0,,0.46,22.080000000000002
2017-10-17,61,46.0,,0.46,28.060000000000002
2017-10-18,93,46.0,,0.46,42.78
2017-10-19,65,46.0,,0.46,29.900000000000002
2017-10-20,63,46.0,,0.46,28.98
2017-10-21,21,46.0,,0.46,9.66
2017-10-22,13,46.0,,0.46,5.98
2017-10-23,100,46.0,,0.46,46.0
2017-10-24,74,46.0,,0.46,34.04
2017-10-25,89,46.0,,0.46,40.940000000000005
2017-10-26,98,46.0,,0.46,45.080000000000005
2017-10-27,74,46.0,,0.46,34.04
2017-10-28,13,46.0,,0.46,5.98
2017-10-29,13,46.0,,0.46,5.98
2017-10-30,62,46.0,,0.46,28.52
2017-10-31,66,46.0,,0.46,30.360000000000003
2017-11-01,29,65.0,False,0.65,18.85
2017-11-02,21,65.0,,0.65,13.65
2017-11-03,16,65.0,,0.65,10.4
2017-11-04,3,65.0,,0.65,1.9500000000000002
2017-11-05,5,65.0,,0.65,3.25
2017-11-06,21,65.0,,0.65,13.65
2017-11-07,18,65.0,,0.65,11.700000000000001
2017-11-08,21,65.0,,0.65,13.65
2017-11-09,21,65.0,,0.65,13.65
2017-11-10,16,65.0,,0.65,10.4
2017-11-11,6,65.0,,0.65,3.9000000000000004
2017-11-12,4,65.0,,0.65,2.6
2017-11-13,12,65.0,,0.65,7.800000000000001
2017-11-14,16,65.0,,0.65,10.4
2017-11-15,69,65.0,,0.65,44.85
2017-11-16,100,65.0,,0.65,65.0
2017-11-17,54,65.0,,0.65,35.1
2017-11-18,13,65.0,,0.65,8.450000000000001
2017-11-19,3,65.0,,0.65,1.9500000000000002
2017-11-20,27,65.0,,0.65,17.55
2017-11-21,36,65.0,,0.65,23.400000000000002
2017-11-22,28,65.0,,0.65,18.2
2017-11-23,8,65.0,,0.65,5.2
2017-11-24,16,65.0,,0.65,10.4
2017-11-25,9,65.0,,0.65,5.8500000000000005
2017-11-26,5,65.0,,0.65,3.25
2017-11-27,30,65.0,,0.65,19.5
2017-11-28,32,65.0,,0.65,20.8
2017-11-29,37,65.0,,0.65,24.05
2017-11-30,37,65.0,,0.65,24.05
2017-12-01,85,52.0,False,0.52,44.2
2017-12-02,20,52.0,,0.52,10.4
2017-12-03,20,52.0,,0.52,10.4
2017-12-04,67,52.0,,0.52,34.84
2017-12-05,95,52.0,,0.52,49.4
2017-12-06,76,52.0,,0.52,39.52
2017-12-07,61,52.0,,0.52,31.720000000000002
2017-12-08,71,52.0,,0.52,36.92
2017-12-09,26,52.0,,0.52,13.52
2017-12-10,18,52.0,,0.52,9.36
2017-12-11,93,52.0,,0.52,48.36
2017-12-12,75,52.0,,0.52,39.0
2017-12-13,90,52.0,,0.52,46.800000000000004
2017-12-14,92,52.0,,0.52,47.84
2017-12-15,69,52.0,,0.52,35.88
2017-12-16,41,52.0,,0.52,21.32
2017-12-17,21,52.0,,0.52,10.92
2017-12-18,87,52.0,,0.52,45.24
2017-12-19,68,52.0,,0.52,35.36
2017-12-20,100,52.0,,0.52,52.0
2017-12-21,72,52.0,,0.52,37.44
2017-12-22,95,52.0,,0.52,49.4
2017-12-23,24,52.0,,0.52,12.48
2017-12-24,28,52.0,,0.52,14.56
2017-12-25,21,52.0,,0.52,10.92
2017-12-26,48,52.0,,0.52,24.96
