date,EDIT_unscaled,EDIT_monthly,isPartial,scale,EDIT
2017-03-26,72,65.0,,0.65,46.800000000000004
2017-03-27,92,65.0,,0.65,59.800000000000004
2017-03-28,91,65.0,,0.65,59.15
2017-03-29,96,65.0,,0.65,62.400000000000006
2017-03-30,94,65.0,,0.65,61.1
2017-03-31,84,65.0,,0.65,54.6
2017-04-01,70,62.0,False,0.62,43.4
2017-04-02,70,62.0,,0.62,43.4
2017-04-03,93,62.0,,0.62,57.66
2017-04-04,94,62.0,,0.62,58.28
2017-04-05,91,62.0,,0.62,56.42
2017-04-06,98,62.0,,0.62,60.76
2017-04-07,92,62.0,,0.62,57.04
2017-04-08,68,62.0,,0.62,42.16
2017-04-09,68,62.0,,0.62,42.16
2017-04-10,92,62.0,,0.62,57.04
2017-04-11,96,62.0,,0.62,59.519999999999996
2017-04-12,96,62.0,,0.62,59.519999999999996
2017-04-13,94,62.0,,0.62,58.28
2017-04-14,79,62.0,,0.62,48.98
2017-04-15,62,62.0,,0.62,38.44
2017-04-16,75,62.0,,0.62,46.5
2017-04-17,85,62.0,,0.62,52.7
2017-04-18,92,62.0,,0.62,57.04
2017-04-19,100,62.0,,0.62,62.0
2017-04-20,94,62.0,,0.62,58.28
2017-04-21,85,62.0,,0.62,52.7
2017-04-22,71,62.0,,0.62,44.02
2017-04-23,77,62.0,,0.62,47.74
2017-04-24,95,62.0,,0.62,58.9
2017-04-25,100,62.0,,0.62,62.0
2017-04-26,94,62.0,,0.62,58.28
2017-04-27,95,62.0,,0.62,58.9
2017-04-28,76,62.0,,0.62,47.12
2017-04-29,66,62.0,,0.62,40.92
2017-04-30,75,62.0,,0.62,46.5
2017-05-01,83,60.0,False,0.6,49.8
2017-05-02,91,60.0,,0.6,54.6
2017-05-03,96,60.0,,0.6,57.599999999999994
2017-05-04,86,60.0,,0.6,51.6
2017-05-05,85,60.0,,0.6,51.0
2017-05-06,69,60.0,,0.6,41.4
2017-05-07,75,60.0,,0.6,45.0
2017-05-08,85,60.0,,0.6,51.0
2017-05-09,100,60.0,,0.6,60.0
2017-05-10,91,60.0,,0.6,54.6
2017-05-11,88,60.0,,0.6,52.8
2017-05-12,86,60.0,,0.6,51.6
2017-05-13,67,60.0,,0.6,40.199999999999996
2017-05-14,68,60.0,,0.6,40.8
2017-05-15,87,60.0,,0.6,52.199999999999996
2017-05-16,88,60.0,,0.6,52.8
2017-05-17,87,60.0,,0.6,52.199999999999996
2017-05-18,82,60.0,,0.6,49.199999999999996
2017-05-19,79,60.0,,0.6,47.4
2017-05-20,63,60.0,,0.6,37.8
2017-05-21,69,60.0,,0.6,41.4
2017-05-22,81,60.0,,0.6,48.6
2017-05-23,88,60.0,,0.6,52.8
2017-05-24,89,60.0,,0.6,53.4
2017-05-25,86,60.0,,0.6,51.6
2017-05-26,83,60.0,,0.6,49.8
2017-05-27,68,60.0,,0.6,40.8
2017-05-28,69,60.0,,0.6,41.4
2017-05-29,73,60.0,,0.6,43.8
2017-05-30,87,60.0,,0.6,52.199999999999996
2017-05-31,87,60.0,,0.6,52.199999999999996
2017-06-01,84,61.0,False,0.61,51.24
2017-06-02,82,61.0,,0.61,50.019999999999996
2017-06-03,68,61.0,,0.61,41.48
2017-06-04,60,61.0,,0.61,36.6
2017-06-05,85,61.0,,0.61,51.85
