date,F_unscaled,F_monthly,isPartial,scale,F
2016-08-01,96,86.0,False,0.86,82.56
2016-08-02,100,86.0,,0.86,86.0
2016-08-03,95,86.0,,0.86,81.7
2016-08-04,96,86.0,,0.86,82.56
2016-08-05,100,86.0,,0.86,86.0
2016-08-06,91,86.0,,0.86,78.26
2016-08-07,89,86.0,,0.86,76.53999999999999
2016-08-08,92,86.0,,0.86,79.12
2016-08-09,94,86.0,,0.86,80.84
2016-08-10,95,86.0,,0.86,81.7
2016-08-11,97,86.0,,0.86,83.42
2016-08-12,91,86.0,,0.86,78.26
2016-08-13,94,86.0,,0.86,80.84
2016-08-14,92,86.0,,0.86,79.12
2016-08-15,94,86.0,,0.86,80.84
2016-08-16,94,86.0,,0.86,80.84
2016-08-17,92,86.0,,0.86,79.12
2016-08-18,96,86.0,,0.86,82.56
2016-08-19,92,86.0,,0.86,79.12
2016-08-20,92,86.0,,0.86,79.12
2016-08-21,93,86.0,,0.86,79.98
2016-08-22,95,86.0,,0.86,81.7
2016-08-23,98,86.0,,0.86,84.28
2016-08-24,95,86.0,,0.86,81.7
2016-08-25,94,86.0,,0.86,80.84
2016-08-26,99,86.0,,0.86,85.14
2016-08-27,94,86.0,,0.86,80.84
2016-08-28,100,86.0,,0.86,86.0
2016-08-29,97,86.0,,0.86,83.42
2016-08-30,98,86.0,,0.86,84.28
2016-08-31,99,86.0,,0.86,85.14
2016-09-01,94,92.0,False,0.92,86.48
2016-09-02,93,92.0,,0.92,85.56
2016-09-03,93,92.0,,0.92,85.56
2016-09-04,95,92.0,,0.92,87.4
2016-09-05,94,92.0,,0.92,86.48
2016-09-06,92,92.0,,0.92,84.64
2016-09-07,93,92.0,,0.92,85.56
2016-09-08,95,92.0,,0.92,87.4
2016-09-09,96,92.0,,0.92,88.32000000000001
2016-09-10,92,92.0,,0.92,84.64
2016-09-11,96,92.0,,0.92,88.32000000000001
2016-09-12,94,92.0,,0.92,86.48
2016-09-13,100,92.0,,0.92,92.0
2016-09-14,96,92.0,,0.92,88.32000000000001
2016-09-15,98,92.0,,0.92,90.16000000000001
2016-09-16,92,92.0,,0.92,84.64
2016-09-17,92,92.0,,0.92,84.64
2016-09-18,92,92.0,,0.92,84.64
2016-09-19,97,92.0,,0.92,89.24000000000001
2016-09-20,97,92.0,,0.92,89.24000000000001
2016-09-21,98,92.0,,0.92,90.16000000000001
2016-09-22,97,92.0,,0.92,89.24000000000001
2016-09-23,94,92.0,,0.92,86.48
2016-09-24,93,92.0,,0.92,85.56
2016-09-25,94,92.0,,0.92,86.48
2016-09-26,99,92.0,,0.92,91.08
2016-09-27,100,92.0,,0.92,92.0
2016-09-28,97,92.0,,0.92,89.24000000000001
2016-09-29,100,92.0,,0.92,92.0
2016-09-30,97,92.0,,0.92,89.24000000000001
2016-10-01,92,96.0,False,0.96,88.32
2016-10-02,93,96.0,,0.96,89.28
2016-10-03,90,96.0,,0.96,86.39999999999999
2016-10-04,95,96.0,,0.96,91.2
2016-10-05,93,96.0,,0.96,89.28
2016-10-06,93,96.0,,0.96,89.28
2016-10-07,88,96.0,,0.96,84.47999999999999
2016-10-08,88,96.0,,0.96,84.47999999999999
2016-10-09,89,96.0,,0.96,85.44
2016-10-10,92,96.0,,0.96,88.32
2016-10-11,94,96.0,,0.96,90.24
2016-10-12,93,96.0,,0.96,89.28
2016-10-13,93,96.0,,0.96,89.28
2016-10-14,96,96.0,,0.96,92.16
2016-10-15,92,96.0,,0.96,88.32
2016-10-16,92,96.0,,0.96,88.32
2016-10-17,92,96.0,,0.96,88.32
2016-10-18,100,96.0,,0.96,96.0
2016-10-19,94,96.0,,0.96,90.24
2016-10-20,93,96.0,,0.96,89.28
2016-10-21,92,96.0,,0.96,88.32
2016-10-22,94,96.0,,0.96,90.24
2016-10-23,90,96.0,,0.96,86.39999999999999
2016-10-24,94,96.0,,0.96,90.24
2016-10-25,94,96.0,,0.96,90.24
2016-10-26,98,96.0,,0.96,94.08
2016-10-27,95,96.0,,0.96,91.2
2016-10-28,92,96.0,,0.96,88.32
2016-10-29,90,96.0,,0.96,86.39999999999999
2016-10-30,88,96.0,,0.96,84.47999999999999
2016-10-31,92,96.0,,0.96,88.32
2016-11-01,98,94.0,False,0.94,92.11999999999999
2016-11-02,95,94.0,,0.94,89.3
2016-11-03,95,94.0,,0.94,89.3
2016-11-04,95,94.0,,0.94,89.3
2016-11-05,94,94.0,,0.94,88.36
2016-11-06,92,94.0,,0.94,86.47999999999999
2016-11-07,93,94.0,,0.94,87.42
2016-11-08,92,94.0,,0.94,86.47999999999999
2016-11-09,79,94.0,,0.94,74.25999999999999
2016-11-10,99,94.0,,0.94,93.05999999999999
2016-11-11,96,94.0,,0.94,90.24
2016-11-12,94,94.0,,0.94,88.36
2016-11-13,95,94.0,,0.94,89.3
2016-11-14,94,94.0,,0.94,88.36
2016-11-15,100,94.0,,0.94,94.0
2016-11-16,95,94.0,,0.94,89.3
2016-11-17,98,94.0,,0.94,92.11999999999999
2016-11-18,94,94.0,,0.94,88.36
2016-11-19,92,94.0,,0.94,86.47999999999999
2016-11-20,95,94.0,,0.94,89.3
2016-11-21,93,94.0,,0.94,87.42
2016-11-22,98,94.0,,0.94,92.11999999999999
2016-11-23,92,94.0,,0.94,86.47999999999999
2016-11-24,94,94.0,,0.94,88.36
2016-11-25,81,94.0,,0.94,76.14
2016-11-26,88,94.0,,0.94,82.72
2016-11-27,91,94.0,,0.94,85.53999999999999
2016-11-28,90,94.0,,0.94,84.6
2016-11-29,94,94.0,,0.94,88.36
2016-11-30,96,94.0,,0.94,90.24
2016-12-01,99,93.0,False,0.93,92.07000000000001
2016-12-02,97,93.0,,0.93,90.21000000000001
2016-12-03,94,93.0,,0.93,87.42
2016-12-04,94,93.0,,0.93,87.42
2016-12-05,92,93.0,,0.93,85.56
2016-12-06,97,93.0,,0.93,90.21000000000001
2016-12-07,99,93.0,,0.93,92.07000000000001
2016-12-08,99,93.0,,0.93,92.07000000000001
2016-12-09,97,93.0,,0.93,90.21000000000001
2016-12-10,97,93.0,,0.93,90.21000000000001
2016-12-11,94,93.0,,0.93,87.42
2016-12-12,99,93.0,,0.93,92.07000000000001
2016-12-13,97,93.0,,0.93,90.21000000000001
2016-12-14,97,93.0,,0.93,90.21000000000001
2016-12-15,100,93.0,,0.93,93.0
2016-12-16,98,93.0,,0.93,91.14
2016-12-17,99,93.0,,0.93,92.07000000000001
2016-12-18,93,93.0,,0.93,86.49000000000001
2016-12-19,92,93.0,,0.93,85.56
2016-12-20,97,93.0,,0.93,90.21000000000001
2016-12-21,97,93.0,,0.93,90.21000000000001
2016-12-22,97,93.0,,0.93,90.21000000000001
2016-12-23,97,93.0,,0.93,90.21000000000001
2016-12-24,95,93.0,,0.93,88.35000000000001
2016-12-25,96,93.0,,0.93,89.28
2016-12-26,88,93.0,,0.93,81.84
2016-12-27,89,93.0,,0.93,82.77000000000001
2016-12-28,92,93.0,,0.93,85.56
2016-12-29,88,93.0,,0.93,81.84
2016-12-30,86,93.0,,0.93,79.98
2016-12-31,89,93.0,,0.93,82.77000000000001
2017-01-01,84,94.0,False,0.94,78.96
2017-01-02,83,94.0,,0.94,78.02
2017-01-03,84,94.0,,0.94,78.96
2017-01-04,89,94.0,,0.94,83.66
2017-01-05,93,94.0,,0.94,87.42
2017-01-06,91,94.0,,0.94,85.53999999999999
2017-01-07,94,94.0,,0.94,88.36
2017-01-08,90,94.0,,0.94,84.6
2017-01-09,91,94.0,,0.94,85.53999999999999
2017-01-10,93,94.0,,0.94,87.42
2017-01-11,93,94.0,,0.94,87.42
2017-01-12,94,94.0,,0.94,88.36
2017-01-13,91,94.0,,0.94,85.53999999999999
2017-01-14,90,94.0,,0.94,84.6
2017-01-15,85,94.0,,0.94,79.89999999999999
2017-01-16,86,94.0,,0.94,80.83999999999999
2017-01-17,91,94.0,,0.94,85.53999999999999
2017-01-18,90,94.0,,0.94,84.6
2017-01-19,89,94.0,,0.94,83.66
2017-01-20,91,94.0,,0.94,85.53999999999999
2017-01-21,88,94.0,,0.94,82.72
2017-01-22,87,94.0,,0.94,81.78
2017-01-23,90,94.0,,0.94,84.6
2017-01-24,93,94.0,,0.94,87.42
2017-01-25,91,94.0,,0.94,85.53999999999999
2017-01-26,92,94.0,,0.94,86.47999999999999
2017-01-27,94,94.0,,0.94,88.36
2017-01-28,100,94.0,,0.94,94.0
2017-01-29,97,94.0,,0.94,91.17999999999999
2017-01-30,96,94.0,,0.94,90.24
2017-01-31,95,94.0,,0.94,89.3
2017-02-01,94,97.0,False,0.97,91.17999999999999
2017-02-02,96,97.0,,0.97,93.12
2017-02-03,97,97.0,,0.97,94.09
2017-02-04,96,97.0,,0.97,93.12
2017-02-05,100,97.0,,0.97,97.0
2017-02-06,95,97.0,,0.97,92.14999999999999
2017-02-07,97,97.0,,0.97,94.09
2017-02-08,100,97.0,,0.97,97.0
2017-02-09,97,97.0,,0.97,94.09
2017-02-10,95,97.0,,0.97,92.14999999999999
2017-02-11,98,97.0,,0.97,95.06
2017-02-12,98,97.0,,0.97,95.06
2017-02-13,94,97.0,,0.97,91.17999999999999
2017-02-14,97,97.0,,0.97,94.09
2017-02-15,98,97.0,,0.97,95.06
2017-02-16,98,97.0,,0.97,95.06
2017-02-17,95,97.0,,0.97,92.14999999999999
2017-02-18,96,97.0,,0.97,93.12
2017-02-19,100,97.0,,0.97,97.0
2017-02-20,95,97.0,,0.97,92.14999999999999
2017-02-21,96,97.0,,0.97,93.12
2017-02-22,95,97.0,,0.97,92.14999999999999
2017-02-23,99,97.0,,0.97,96.03
2017-02-24,98,97.0,,0.97,95.06
2017-02-25,96,97.0,,0.97,93.12
2017-02-26,96,97.0,,0.97,93.12
2017-02-27,95,97.0,,0.97,92.14999999999999
2017-02-28,94,97.0,,0.97,91.17999999999999
2017-03-01,97,94.0,False,0.94,91.17999999999999
2017-03-02,100,94.0,,0.94,94.0
2017-03-03,96,94.0,,0.94,90.24
2017-03-04,98,94.0,,0.94,92.11999999999999
2017-03-05,100,94.0,,0.94,94.0
2017-03-06,94,94.0,,0.94,88.36
2017-03-07,94,94.0,,0.94,88.36
2017-03-08,98,94.0,,0.94,92.11999999999999
2017-03-09,97,94.0,,0.94,91.17999999999999
2017-03-10,93,94.0,,0.94,87.42
2017-03-11,96,94.0,,0.94,90.24
2017-03-12,95,94.0,,0.94,89.3
2017-03-13,97,94.0,,0.94,91.17999999999999
2017-03-14,95,94.0,,0.94,89.3
2017-03-15,97,94.0,,0.94,91.17999999999999
2017-03-16,93,94.0,,0.94,87.42
2017-03-17,95,94.0,,0.94,89.3
2017-03-18,92,94.0,,0.94,86.47999999999999
2017-03-19,96,94.0,,0.94,90.24
2017-03-20,96,94.0,,0.94,90.24
2017-03-21,96,94.0,,0.94,90.24
2017-03-22,100,94.0,,0.94,94.0
2017-03-23,95,94.0,,0.94,89.3
2017-03-24,99,94.0,,0.94,93.05999999999999
2017-03-25,93,94.0,,0.94,87.42
2017-03-26,93,94.0,,0.94,87.42
2017-03-27,96,94.0,,0.94,90.24
2017-03-28,97,94.0,,0.94,91.17999999999999
2017-03-29,94,94.0,,0.94,88.36
2017-03-30,98,94.0,,0.94,92.11999999999999
2017-03-31,95,94.0,,0.94,89.3
2017-04-01,94,92.0,False,0.92,86.48
2017-04-02,92,92.0,,0.92,84.64
2017-04-03,98,92.0,,0.92,90.16000000000001
2017-04-04,97,92.0,,0.92,89.24000000000001
2017-04-05,96,92.0,,0.92,88.32000000000001
2017-04-06,96,92.0,,0.92,88.32000000000001
2017-04-07,96,92.0,,0.92,88.32000000000001
2017-04-08,96,92.0,,0.92,88.32000000000001
2017-04-09,95,92.0,,0.92,87.4
2017-04-10,99,92.0,,0.92,91.08
2017-04-11,99,92.0,,0.92,91.08
2017-04-12,97,92.0,,0.92,89.24000000000001
2017-04-13,93,92.0,,0.92,85.56
2017-04-14,93,92.0,,0.92,85.56
2017-04-15,96,92.0,,0.92,88.32000000000001
2017-04-16,99,92.0,,0.92,91.08
2017-04-17,98,92.0,,0.92,90.16000000000001
2017-04-18,97,92.0,,0.92,89.24000000000001
2017-04-19,95,92.0,,0.92,87.4
2017-04-20,98,92.0,,0.92,90.16000000000001
2017-04-21,99,92.0,,0.92,91.08
2017-04-22,93,92.0,,0.92,85.56
2017-04-23,98,92.0,,0.92,90.16000000000001
2017-04-24,98,92.0,,0.92,90.16000000000001
2017-04-25,100,92.0,,0.92,92.0
2017-04-26,95,92.0,,0.92,87.4
2017-04-27,100,92.0,,0.92,92.0
2017-04-28,96,92.0,,0.92,88.32000000000001
2017-04-29,95,92.0,,0.92,87.4
2017-04-30,97,92.0,,0.92,89.24000000000001
2017-05-01,92,92.0,False,0.92,84.64
2017-05-02,94,92.0,,0.92,86.48
2017-05-03,94,92.0,,0.92,86.48
2017-05-04,96,92.0,,0.92,88.32000000000001
2017-05-05,94,92.0,,0.92,86.48
2017-05-06,92,92.0,,0.92,84.64
2017-05-07,94,92.0,,0.92,86.48
2017-05-08,96,92.0,,0.92,88.32000000000001
2017-05-09,94,92.0,,0.92,86.48
2017-05-10,93,92.0,,0.92,85.56
2017-05-11,95,92.0,,0.92,87.4
2017-05-12,93,92.0,,0.92,85.56
2017-05-13,93,92.0,,0.92,85.56
2017-05-14,94,92.0,,0.92,86.48
2017-05-15,90,92.0,,0.92,82.8
2017-05-16,90,92.0,,0.92,82.8
2017-05-17,90,92.0,,0.92,82.8
2017-05-18,91,92.0,,0.92,83.72
2017-05-19,93,92.0,,0.92,85.56
2017-05-20,89,92.0,,0.92,81.88000000000001
2017-05-21,91,92.0,,0.92,83.72
2017-05-22,96,92.0,,0.92,88.32000000000001
2017-05-23,91,92.0,,0.92,83.72
2017-05-24,94,92.0,,0.92,86.48
2017-05-25,94,92.0,,0.92,86.48
2017-05-26,93,92.0,,0.92,85.56
2017-05-27,92,92.0,,0.92,84.64
2017-05-28,93,92.0,,0.92,85.56
2017-05-29,100,92.0,,0.92,92.0
2017-05-30,98,92.0,,0.92,90.16000000000001
2017-05-31,98,92.0,,0.92,90.16000000000001
2017-06-01,100,89.0,False,0.89,89.0
2017-06-02,99,89.0,,0.89,88.11
2017-06-03,99,89.0,,0.89,88.11
2017-06-04,95,89.0,,0.89,84.55
2017-06-05,93,89.0,,0.89,82.77
2017-06-06,96,89.0,,0.89,85.44
2017-06-07,95,89.0,,0.89,84.55
2017-06-08,96,89.0,,0.89,85.44
2017-06-09,95,89.0,,0.89,84.55
2017-06-10,89,89.0,,0.89,79.21000000000001
2017-06-11,92,89.0,,0.89,81.88
2017-06-12,93,89.0,,0.89,82.77
2017-06-13,89,89.0,,0.89,79.21000000000001
2017-06-14,92,89.0,,0.89,81.88
2017-06-15,94,89.0,,0.89,83.66
2017-06-16,93,89.0,,0.89,82.77
2017-06-17,97,89.0,,0.89,86.33
2017-06-18,100,89.0,,0.89,89.0
2017-06-19,96,89.0,,0.89,85.44
2017-06-20,95,89.0,,0.89,84.55
2017-06-21,94,89.0,,0.89,83.66
2017-06-22,95,89.0,,0.89,84.55
2017-06-23,91,89.0,,0.89,80.99
2017-06-24,92,89.0,,0.89,81.88
2017-06-25,92,89.0,,0.89,81.88
2017-06-26,94,89.0,,0.89,83.66
2017-06-27,91,89.0,,0.89,80.99
2017-06-28,93,89.0,,0.89,82.77
2017-06-29,93,89.0,,0.89,82.77
2017-06-30,91,89.0,,0.89,80.99
2017-07-01,91,86.0,False,0.86,78.26
2017-07-02,93,86.0,,0.86,79.98
2017-07-03,95,86.0,,0.86,81.7
2017-07-04,95,86.0,,0.86,81.7
2017-07-05,92,86.0,,0.86,79.12
2017-07-06,93,86.0,,0.86,79.98
2017-07-07,90,86.0,,0.86,77.4
2017-07-08,92,86.0,,0.86,79.12
2017-07-09,92,86.0,,0.86,79.12
2017-07-10,92,86.0,,0.86,79.12
2017-07-11,97,86.0,,0.86,83.42
2017-07-12,92,86.0,,0.86,79.12
2017-07-13,97,86.0,,0.86,83.42
2017-07-14,94,86.0,,0.86,80.84
2017-07-15,95,86.0,,0.86,81.7
2017-07-16,92,86.0,,0.86,79.12
2017-07-17,96,86.0,,0.86,82.56
2017-07-18,93,86.0,,0.86,79.98
2017-07-19,94,86.0,,0.86,80.84
2017-07-20,99,86.0,,0.86,85.14
2017-07-21,95,86.0,,0.86,81.7
2017-07-22,91,86.0,,0.86,78.26
2017-07-23,94,86.0,,0.86,80.84
2017-07-24,93,86.0,,0.86,79.98
2017-07-25,93,86.0,,0.86,79.98
2017-07-26,92,86.0,,0.86,79.12
2017-07-27,87,86.0,,0.86,74.82
2017-07-28,100,86.0,,0.86,86.0
2017-07-29,97,86.0,,0.86,83.42
2017-07-30,92,86.0,,0.86,79.12
2017-07-31,95,86.0,,0.86,81.7
2017-08-01,98,84.0,False,0.84,82.32
2017-08-02,96,84.0,,0.84,80.64
2017-08-03,94,84.0,,0.84,78.96
2017-08-04,94,84.0,,0.84,78.96
2017-08-05,96,84.0,,0.84,80.64
2017-08-06,96,84.0,,0.84,80.64
2017-08-07,98,84.0,,0.84,82.32
2017-08-08,93,84.0,,0.84,78.11999999999999
2017-08-09,94,84.0,,0.84,78.96
2017-08-10,100,84.0,,0.84,84.0
2017-08-11,93,84.0,,0.84,78.11999999999999
2017-08-12,93,84.0,,0.84,78.11999999999999
2017-08-13,92,84.0,,0.84,77.28
2017-08-14,96,84.0,,0.84,80.64
2017-08-15,97,84.0,,0.84,81.48
2017-08-16,92,84.0,,0.84,77.28
2017-08-17,95,84.0,,0.84,79.8
2017-08-18,92,84.0,,0.84,77.28
2017-08-19,95,84.0,,0.84,79.8
2017-08-20,97,84.0,,0.84,81.48
2017-08-21,90,84.0,,0.84,75.6
2017-08-22,95,84.0,,0.84,79.8
2017-08-23,94,84.0,,0.84,78.96
2017-08-24,94,84.0,,0.84,78.96
2017-08-25,91,84.0,,0.84,76.44
2017-08-26,95,84.0,,0.84,79.8
2017-08-27,96,84.0,,0.84,80.64
2017-08-28,95,84.0,,0.84,79.8
2017-08-29,96,84.0,,0.84,80.64
2017-08-30,97,84.0,,0.84,81.48
2017-08-31,97,84.0,,0.84,81.48
2017-09-01,95,85.0,False,0.85,80.75
2017-09-02,96,85.0,,0.85,81.6
2017-09-03,94,85.0,,0.85,79.89999999999999
2017-09-04,85,85.0,,0.85,72.25
2017-09-05,89,85.0,,0.85,75.64999999999999
2017-09-06,88,85.0,,0.85,74.8
2017-09-07,86,85.0,,0.85,73.1
2017-09-08,88,85.0,,0.85,74.8
2017-09-09,88,85.0,,0.85,74.8
2017-09-10,86,85.0,,0.85,73.1
2017-09-11,88,85.0,,0.85,74.8
2017-09-12,93,85.0,,0.85,79.05
2017-09-13,95,85.0,,0.85,80.75
2017-09-14,94,85.0,,0.85,79.89999999999999
2017-09-15,93,85.0,,0.85,79.05
2017-09-16,91,85.0,,0.85,77.35
2017-09-17,91,85.0,,0.85,77.35
2017-09-18,96,85.0,,0.85,81.6
2017-09-19,95,85.0,,0.85,80.75
2017-09-20,95,85.0,,0.85,80.75
2017-09-21,91,85.0,,0.85,77.35
2017-09-22,94,85.0,,0.85,79.89999999999999
2017-09-23,91,85.0,,0.85,77.35
2017-09-24,95,85.0,,0.85,80.75
2017-09-25,100,85.0,,0.85,85.0
2017-09-26,99,85.0,,0.85,84.14999999999999
2017-09-27,100,85.0,,0.85,85.0
2017-09-28,100,85.0,,0.85,85.0
2017-09-29,97,85.0,,0.85,82.45
2017-09-30,92,85.0,,0.85,78.2
2017-10-01,94,91.0,False,0.91,85.54
2017-10-02,88,91.0,,0.91,80.08
2017-10-03,94,91.0,,0.91,85.54
2017-10-04,93,91.0,,0.91,84.63000000000001
2017-10-05,95,91.0,,0.91,86.45
2017-10-06,91,91.0,,0.91,82.81
2017-10-07,88,91.0,,0.91,80.08
2017-10-08,88,91.0,,0.91,80.08
2017-10-09,89,91.0,,0.91,80.99000000000001
2017-10-10,91,91.0,,0.91,82.81
2017-10-11,92,91.0,,0.91,83.72
2017-10-12,91,91.0,,0.91,82.81
2017-10-13,91,91.0,,0.91,82.81
2017-10-14,83,91.0,,0.91,75.53
2017-10-15,91,91.0,,0.91,82.81
2017-10-16,96,91.0,,0.91,87.36
2017-10-17,100,91.0,,0.91,91.0
2017-10-18,96,91.0,,0.91,87.36
2017-10-19,97,91.0,,0.91,88.27
2017-10-20,95,91.0,,0.91,86.45
2017-10-21,87,91.0,,0.91,79.17
2017-10-22,91,91.0,,0.91,82.81
2017-10-23,98,91.0,,0.91,89.18
2017-10-24,97,91.0,,0.91,88.27
2017-10-25,98,91.0,,0.91,89.18
2017-10-26,98,91.0,,0.91,89.18
2017-10-27,97,91.0,,0.91,88.27
2017-10-28,91,91.0,,0.91,82.81
2017-10-29,91,91.0,,0.91,82.81
2017-10-30,95,91.0,,0.91,86.45
2017-10-31,93,91.0,,0.91,84.63000000000001
2017-11-01,94,87.0,False,0.87,81.78
2017-11-02,92,87.0,,0.87,80.04
2017-11-03,95,87.0,,0.87,82.65
2017-11-04,91,87.0,,0.87,79.17
2017-11-05,90,87.0,,0.87,78.3
2017-11-06,94,87.0,,0.87,81.78
2017-11-07,94,87.0,,0.87,81.78
2017-11-08,98,87.0,,0.87,85.26
2017-11-09,96,87.0,,0.87,83.52
2017-11-10,99,87.0,,0.87,86.13
2017-11-11,94,87.0,,0.87,81.78
2017-11-12,92,87.0,,0.87,80.04
2017-11-13,94,87.0,,0.87,81.78
2017-11-14,96,87.0,,0.87,83.52
2017-11-15,98,87.0,,0.87,85.26
2017-11-16,100,87.0,,0.87,87.0
2017-11-17,93,87.0,,0.87,80.91
2017-11-18,90,87.0,,0.87,78.3
2017-11-19,94,87.0,,0.87,81.78
2017-11-20,94,87.0,,0.87,81.78
2017-11-21,96,87.0,,0.87,83.52
2017-11-22,91,87.0,,0.87,79.17
2017-11-23,94,87.0,,0.87,81.78
2017-11-24,83,87.0,,0.87,72.21
2017-11-25,86,87.0,,0.87,74.82
2017-11-26,86,87.0,,0.87,74.82
2017-11-27,89,87.0,,0.87,77.42999999999999
2017-11-28,94,87.0,,0.87,81.78
2017-11-29,91,87.0,,0.87,79.17
2017-11-30,92,87.0,,0.87,80.04
2017-12-01,95,86.0,False,0.86,81.7
2017-12-02,90,86.0,,0.86,77.4
2017-12-03,91,86.0,,0.86,78.26
2017-12-04,98,86.0,,0.86,84.28
2017-12-05,97,86.0,,0.86,83.42
2017-12-06,98,86.0,,0.86,84.28
2017-12-07,97,86.0,,0.86,83.42
2017-12-08,97,86.0,,0.86,83.42
2017-12-09,94,86.0,,0.86,80.84
2017-12-10,95,86.0,,0.86,81.7
2017-12-11,97,86.0,,0.86,83.42
2017-12-12,100,86.0,,0.86,86.0
2017-12-13,99,86.0,,0.86,85.14
2017-12-14,100,86.0,,0.86,86.0
2017-12-15,96,86.0,,0.86,82.56
2017-12-16,90,86.0,,0.86,77.4
2017-12-17,90,86.0,,0.86,77.4
2017-12-18,94,86.0,,0.86,80.84
2017-12-19,97,86.0,,0.86,83.42
2017-12-20,92,86.0,,0.86,79.12
2017-12-21,95,86.0,,0.86,81.7
2017-12-22,93,86.0,,0.86,79.98
2017-12-23,94,86.0,,0.86,80.84
2017-12-24,98,86.0,,0.86,84.28
2017-12-25,100,86.0,,0.86,86.0
2017-12-26,95,86.0,,0.86,81.7
2017-12-27,98,86.0,,0.86,84.28
2017-12-28,98,86.0,,0.86,84.28
2017-12-29,95,86.0,,0.86,81.7
