date,LINK_unscaled,LINK_monthly,isPartial,scale,LINK
2016-09-20,99,72.0,,0.72,71.28
2016-09-21,98,72.0,,0.72,70.56
2016-09-22,97,72.0,,0.72,69.84
2016-09-23,92,72.0,,0.72,66.24
2016-09-24,77,72.0,,0.72,55.44
2016-09-25,73,72.0,,0.72,52.559999999999995
2016-09-26,94,72.0,,0.72,67.67999999999999
2016-09-27,97,72.0,,0.72,69.84
2016-09-28,93,72.0,,0.72,66.96
2016-09-29,97,72.0,,0.72,69.84
2016-09-30,91,72.0,,0.72,65.52
2016-10-01,82,72.0,False,0.72,59.04
2016-10-02,76,72.0,,0.72,54.72
2016-10-03,94,72.0,,0.72,67.67999999999999
2016-10-04,98,72.0,,0.72,70.56
2016-10-05,93,72.0,,0.72,66.96
2016-10-06,94,72.0,,0.72,67.67999999999999
2016-10-07,88,72.0,,0.72,63.36
2016-10-08,75,72.0,,0.72,54.0
2016-10-09,68,72.0,,0.72,48.96
2016-10-10,89,72.0,,0.72,64.08
2016-10-11,93,72.0,,0.72,66.96
2016-10-12,97,72.0,,0.72,69.84
2016-10-13,91,72.0,,0.72,65.52
2016-10-14,89,72.0,,0.72,64.08
2016-10-15,77,72.0,,0.72,55.44
2016-10-16,79,72.0,,0.72,56.879999999999995
2016-10-17,97,72.0,,0.72,69.84
2016-10-18,100,72.0,,0.72,72.0
2016-10-19,99,72.0,,0.72,71.28
2016-10-20,96,72.0,,0.72,69.12
2016-10-21,87,72.0,,0.72,62.64
2016-10-22,78,72.0,,0.72,56.16
2016-10-23,76,72.0,,0.72,54.72
2016-10-24,95,72.0,,0.72,68.39999999999999
2016-10-25,100,72.0,,0.72,72.0
2016-10-26,98,72.0,,0.72,70.56
2016-10-27,95,72.0,,0.72,68.39999999999999
2016-10-28,92,72.0,,0.72,66.24
2016-10-29,76,72.0,,0.72,54.72
2016-10-30,74,72.0,,0.72,53.28
2016-10-31,96,72.0,,0.72,69.12
2016-11-01,100,71.0,False,0.71,71.0
2016-11-02,95,71.0,,0.71,67.45
2016-11-03,95,71.0,,0.71,67.45
2016-11-04,91,71.0,,0.71,64.61
2016-11-05,74,71.0,,0.71,52.54
2016-11-06,74,71.0,,0.71,52.54
2016-11-07,92,71.0,,0.71,65.32
2016-11-08,84,71.0,,0.71,59.64
2016-11-09,66,71.0,,0.71,46.86
2016-11-10,90,71.0,,0.71,63.9
2016-11-11,87,71.0,,0.71,61.769999999999996
2016-11-12,74,71.0,,0.71,52.54
2016-11-13,76,71.0,,0.71,53.959999999999994
2016-11-14,91,71.0,,0.71,64.61
2016-11-15,98,71.0,,0.71,69.58
2016-11-16,92,71.0,,0.71,65.32
2016-11-17,92,71.0,,0.71,65.32
2016-11-18,92,71.0,,0.71,65.32
2016-11-19,74,71.0,,0.71,52.54
2016-11-20,77,71.0,,0.71,54.669999999999995
2016-11-21,90,71.0,,0.71,63.9
2016-11-22,95,71.0,,0.71,67.45
2016-11-23,91,71.0,,0.71,64.61
2016-11-24,70,71.0,,0.71,49.699999999999996
2016-11-25,71,71.0,,0.71,50.41
2016-11-26,73,71.0,,0.71,51.83
2016-11-27,78,71.0,,0.71,55.379999999999995
2016-11-28,93,71.0,,0.71,66.03
2016-11-29,98,71.0,,0.71,69.58
2016-11-30,96,71.0,,0.71,68.16
2016-12-01,93,71.0,False,0.71,66.03
2016-12-02,87,71.0,,0.71,61.769999999999996
2016-12-03,76,71.0,,0.71,53.959999999999994
2016-12-04,74,71.0,,0.71,52.54
2016-12-05,85,71.0,,0.71,60.349999999999994
2016-12-06,89,71.0,,0.71,63.19
2016-12-07,85,71.0,,0.71,60.349999999999994
2016-12-08,100,71.0,,0.71,71.0
2016-12-09,83,71.0,,0.71,58.93
2016-12-10,73,71.0,,0.71,51.83
2016-12-11,71,71.0,,0.71,50.41
2016-12-12,85,71.0,,0.71,60.349999999999994
2016-12-13,85,71.0,,0.71,60.349999999999994
2016-12-14,89,71.0,,0.71,63.19
2016-12-15,89,71.0,,0.71,63.19
2016-12-16,83,71.0,,0.71,58.93
2016-12-17,73,71.0,,0.71,51.83
2016-12-18,67,71.0,,0.71,47.57
2016-12-19,84,71.0,,0.71,59.64
2016-12-20,88,71.0,,0.71,62.48
2016-12-21,87,71.0,,0.71,61.769999999999996
2016-12-22,87,71.0,,0.71,61.769999999999996
2016-12-23,77,71.0,,0.71,54.669999999999995
2016-12-24,71,71.0,,0.71,50.41
2016-12-25,75,71.0,,0.71,53.25
2016-12-26,79,71.0,,0.71,56.089999999999996
2016-12-27,85,71.0,,0.71,60.349999999999994
2016-12-28,88,71.0,,0.71,62.48
2016-12-29,86,71.0,,0.71,61.059999999999995
2016-12-30,85,71.0,,0.71,60.349999999999994
2016-12-31,70,71.0,,0.71,49.699999999999996
2017-01-01,66,74.0,False,0.74,48.839999999999996
2017-01-02,78,74.0,,0.74,57.72
2017-01-03,90,74.0,,0.74,66.6
2017-01-04,92,74.0,,0.74,68.08
2017-01-05,95,74.0,,0.74,70.3
2017-01-06,89,74.0,,0.74,65.86
2017-01-07,78,74.0,,0.74,57.72
2017-01-08,76,74.0,,0.74,56.24
2017-01-09,89,74.0,,0.74,65.86
2017-01-10,93,74.0,,0.74,68.82
2017-01-11,97,74.0,,0.74,71.78
2017-01-12,91,74.0,,0.74,67.34
2017-01-13,96,74.0,,0.74,71.03999999999999
2017-01-14,81,74.0,,0.74,59.94
2017-01-15,72,74.0,,0.74,53.28
2017-01-16,85,74.0,,0.74,62.9
2017-01-17,100,74.0,,0.74,74.0
2017-01-18,93,74.0,,0.74,68.82
2017-01-19,100,74.0,,0.74,74.0
2017-01-20,90,74.0,,0.74,66.6
2017-01-21,79,74.0,,0.74,58.46
2017-01-22,79,74.0,,0.74,58.46
2017-01-23,90,74.0,,0.74,66.6
2017-01-24,95,74.0,,0.74,70.3
2017-01-25,95,74.0,,0.74,70.3
2017-01-26,93,74.0,,0.74,68.82
2017-01-27,90,74.0,,0.74,66.6
2017-01-28,76,74.0,,0.74,56.24
2017-01-29,78,74.0,,0.74,57.72
2017-01-30,89,74.0,,0.74,65.86
2017-01-31,94,74.0,,0.74,69.56
2017-02-01,100,74.0,False,0.74,74.0
2017-02-02,100,74.0,,0.74,74.0
2017-02-03,93,74.0,,0.74,68.82
2017-02-04,83,74.0,,0.74,61.42
2017-02-05,77,74.0,,0.74,56.98
2017-02-06,90,74.0,,0.74,66.6
2017-02-07,99,74.0,,0.74,73.26
2017-02-08,97,74.0,,0.74,71.78
2017-02-09,95,74.0,,0.74,70.3
2017-02-10,95,74.0,,0.74,70.3
2017-02-11,82,74.0,,0.74,60.68
2017-02-12,83,74.0,,0.74,61.42
2017-02-13,90,74.0,,0.74,66.6
2017-02-14,91,74.0,,0.74,67.34
2017-02-15,93,74.0,,0.74,68.82
2017-02-16,98,74.0,,0.74,72.52
2017-02-17,99,74.0,,0.74,73.26
2017-02-18,84,74.0,,0.74,62.16
2017-02-19,83,74.0,,0.74,61.42
2017-02-20,94,74.0,,0.74,69.56
2017-02-21,98,74.0,,0.74,72.52
2017-02-22,99,74.0,,0.74,73.26
2017-02-23,94,74.0,,0.74,69.56
2017-02-24,93,74.0,,0.74,68.82
2017-02-25,82,74.0,,0.74,60.68
2017-02-26,81,74.0,,0.74,59.94
2017-02-27,92,74.0,,0.74,68.08
2017-02-28,98,74.0,,0.74,72.52
2017-03-01,92,81.0,False,0.81,74.52000000000001
2017-03-02,91,81.0,,0.81,73.71000000000001
2017-03-03,93,81.0,,0.81,75.33
2017-03-04,84,81.0,,0.81,68.04
2017-03-05,87,81.0,,0.81,70.47
2017-03-06,100,81.0,,0.81,81.0
2017-03-07,100,81.0,,0.81,81.0
2017-03-08,99,81.0,,0.81,80.19000000000001
2017-03-09,99,81.0,,0.81,80.19000000000001
2017-03-10,92,81.0,,0.81,74.52000000000001
2017-03-11,90,81.0,,0.81,72.9
2017-03-12,82,81.0,,0.81,66.42
2017-03-13,91,81.0,,0.81,73.71000000000001
2017-03-14,94,81.0,,0.81,76.14
2017-03-15,95,81.0,,0.81,76.95
2017-03-16,94,81.0,,0.81,76.14
2017-03-17,92,81.0,,0.81,74.52000000000001
2017-03-18,79,81.0,,0.81,63.99
2017-03-19,86,81.0,,0.81,69.66000000000001
2017-03-20,99,81.0,,0.81,80.19000000000001
2017-03-21,98,81.0,,0.81,79.38000000000001
2017-03-22,97,81.0,,0.81,78.57000000000001
2017-03-23,96,81.0,,0.81,77.76
2017-03-24,89,81.0,,0.81,72.09
2017-03-25,80,81.0,,0.81,64.80000000000001
2017-03-26,80,81.0,,0.81,64.80000000000001
2017-03-27,96,81.0,,0.81,77.76
2017-03-28,96,81.0,,0.81,77.76
2017-03-29,94,81.0,,0.81,76.14
2017-03-30,96,81.0,,0.81,77.76
2017-03-31,88,81.0,,0.81,71.28
2017-04-01,83,76.0,False,0.76,63.08
2017-04-02,80,76.0,,0.76,60.8
2017-04-03,94,76.0,,0.76,71.44
2017-04-04,99,76.0,,0.76,75.24
2017-04-05,94,76.0,,0.76,71.44
2017-04-06,95,76.0,,0.76,72.2
2017-04-07,89,76.0,,0.76,67.64
2017-04-08,82,76.0,,0.76,62.32
2017-04-09,83,76.0,,0.76,63.08
2017-04-10,100,76.0,,0.76,76.0
2017-04-11,98,76.0,,0.76,74.48
2017-04-12,99,76.0,,0.76,75.24
2017-04-13,96,76.0,,0.76,72.96000000000001
2017-04-14,93,76.0,,0.76,70.68
2017-04-15,79,76.0,,0.76,60.04
2017-04-16,78,76.0,,0.76,59.28
2017-04-17,94,76.0,,0.76,71.44
2017-04-18,94,76.0,,0.76,71.44
2017-04-19,93,76.0,,0.76,70.68
2017-04-20,94,76.0,,0.76,71.44
2017-04-21,89,76.0,,0.76,67.64
2017-04-22,80,76.0,,0.76,60.8
2017-04-23,77,76.0,,0.76,58.52
2017-04-24,96,76.0,,0.76,72.96000000000001
2017-04-25,94,76.0,,0.76,71.44
2017-04-26,95,76.0,,0.76,72.2
2017-04-27,94,76.0,,0.76,71.44
2017-04-28,84,76.0,,0.76,63.84
2017-04-29,78,76.0,,0.76,59.28
2017-04-30,79,76.0,,0.76,60.04
2017-05-01,96,75.0,False,0.75,72.0
2017-05-02,96,75.0,,0.75,72.0
2017-05-03,95,75.0,,0.75,71.25
2017-05-04,96,75.0,,0.75,72.0
2017-05-05,92,75.0,,0.75,69.0
2017-05-06,80,75.0,,0.75,60.0
2017-05-07,83,75.0,,0.75,62.25
2017-05-08,98,75.0,,0.75,73.5
2017-05-09,100,75.0,,0.75,75.0
2017-05-10,96,75.0,,0.75,72.0
2017-05-11,96,75.0,,0.75,72.0
2017-05-12,95,75.0,,0.75,71.25
2017-05-13,84,75.0,,0.75,63.0
2017-05-14,77,75.0,,0.75,57.75
2017-05-15,94,75.0,,0.75,70.5
2017-05-16,95,75.0,,0.75,71.25
2017-05-17,87,75.0,,0.75,65.25
2017-05-18,89,75.0,,0.75,66.75
2017-05-19,87,75.0,,0.75,65.25
2017-05-20,74,75.0,,0.75,55.5
2017-05-21,75,75.0,,0.75,56.25
2017-05-22,94,75.0,,0.75,70.5
2017-05-23,95,75.0,,0.75,71.25
2017-05-24,91,75.0,,0.75,68.25
2017-05-25,90,75.0,,0.75,67.5
2017-05-26,89,75.0,,0.75,66.75
2017-05-27,71,75.0,,0.75,53.25
2017-05-28,72,75.0,,0.75,54.0
2017-05-29,69,75.0,,0.75,51.75
2017-05-30,89,75.0,,0.75,66.75
2017-05-31,94,75.0,,0.75,70.5
2017-06-01,94,75.0,False,0.75,70.5
2017-06-02,91,75.0,,0.75,68.25
2017-06-03,74,75.0,,0.75,55.5
2017-06-04,74,75.0,,0.75,55.5
2017-06-05,92,75.0,,0.75,69.0
2017-06-06,94,75.0,,0.75,70.5
2017-06-07,96,75.0,,0.75,72.0
2017-06-08,94,75.0,,0.75,70.5
2017-06-09,95,75.0,,0.75,71.25
2017-06-10,76,75.0,,0.75,57.0
2017-06-11,75,75.0,,0.75,56.25
2017-06-12,90,75.0,,0.75,67.5
2017-06-13,92,75.0,,0.75,69.0
2017-06-14,93,75.0,,0.75,69.75
2017-06-15,93,75.0,,0.75,69.75
2017-06-16,91,75.0,,0.75,68.25
2017-06-17,73,75.0,,0.75,54.75
2017-06-18,70,75.0,,0.75,52.5
2017-06-19,96,75.0,,0.75,72.0
2017-06-20,98,75.0,,0.75,73.5
2017-06-21,95,75.0,,0.75,71.25
2017-06-22,93,75.0,,0.75,69.75
2017-06-23,99,75.0,,0.75,74.25
2017-06-24,80,75.0,,0.75,60.0
2017-06-25,77,75.0,,0.75,57.75
2017-06-26,96,75.0,,0.75,72.0
2017-06-27,99,75.0,,0.75,74.25
2017-06-28,98,75.0,,0.75,73.5
2017-06-29,95,75.0,,0.75,71.25
2017-06-30,100,75.0,,0.75,75.0
2017-07-01,72,79.0,False,0.79,56.88
2017-07-02,68,79.0,,0.79,53.72
2017-07-03,82,79.0,,0.79,64.78
2017-07-04,73,79.0,,0.79,57.67
2017-07-05,85,79.0,,0.79,67.15
2017-07-06,88,79.0,,0.79,69.52000000000001
2017-07-07,88,79.0,,0.79,69.52000000000001
2017-07-08,77,79.0,,0.79,60.830000000000005
2017-07-09,73,79.0,,0.79,57.67
2017-07-10,87,79.0,,0.79,68.73
2017-07-11,92,79.0,,0.79,72.68
2017-07-12,95,79.0,,0.79,75.05
2017-07-13,91,79.0,,0.79,71.89
2017-07-14,88,79.0,,0.79,69.52000000000001
2017-07-15,74,79.0,,0.79,58.46
2017-07-16,74,79.0,,0.79,58.46
2017-07-17,93,79.0,,0.79,73.47
2017-07-18,95,79.0,,0.79,75.05
2017-07-19,100,79.0,,0.79,79.0
2017-07-20,98,79.0,,0.79,77.42
2017-07-21,96,79.0,,0.79,75.84
2017-07-22,79,79.0,,0.79,62.410000000000004
2017-07-23,78,79.0,,0.79,61.620000000000005
2017-07-24,95,79.0,,0.79,75.05
2017-07-25,97,79.0,,0.79,76.63000000000001
2017-07-26,95,79.0,,0.79,75.05
2017-07-27,96,79.0,,0.79,75.84
2017-07-28,89,79.0,,0.79,70.31
2017-07-29,71,79.0,,0.79,56.09
2017-07-30,70,79.0,,0.79,55.300000000000004
2017-07-31,88,79.0,,0.79,69.52000000000001
2017-08-01,96,79.0,False,0.79,75.84
2017-08-02,98,79.0,,0.79,77.42
2017-08-03,93,79.0,,0.79,73.47
2017-08-04,91,79.0,,0.79,71.89
2017-08-05,81,79.0,,0.79,63.99
2017-08-06,82,79.0,,0.79,64.78
2017-08-07,95,79.0,,0.79,75.05
2017-08-08,100,79.0,,0.79,79.0
2017-08-09,92,79.0,,0.79,72.68
2017-08-10,96,79.0,,0.79,75.84
2017-08-11,89,79.0,,0.79,70.31
2017-08-12,77,79.0,,0.79,60.830000000000005
2017-08-13,75,79.0,,0.79,59.25
2017-08-14,89,79.0,,0.79,70.31
2017-08-15,93,79.0,,0.79,73.47
2017-08-16,91,79.0,,0.79,71.89
2017-08-17,92,79.0,,0.79,72.68
2017-08-18,88,79.0,,0.79,69.52000000000001
2017-08-19,76,79.0,,0.79,60.040000000000006
2017-08-20,73,79.0,,0.79,57.67
2017-08-21,81,79.0,,0.79,63.99
2017-08-22,94,79.0,,0.79,74.26
2017-08-23,92,79.0,,0.79,72.68
2017-08-24,92,79.0,,0.79,72.68
2017-08-25,89,79.0,,0.79,70.31
2017-08-26,73,79.0,,0.79,57.67
2017-08-27,82,79.0,,0.79,64.78
2017-08-28,92,79.0,,0.79,72.68
2017-08-29,90,79.0,,0.79,71.10000000000001
2017-08-30,92,79.0,,0.79,72.68
2017-08-31,96,79.0,,0.79,75.84
2017-09-01,93,73.0,False,0.73,67.89
2017-09-02,81,73.0,,0.73,59.129999999999995
2017-09-03,80,73.0,,0.73,58.4
2017-09-04,84,73.0,,0.73,61.32
2017-09-05,96,73.0,,0.73,70.08
2017-09-06,97,73.0,,0.73,70.81
2017-09-07,93,73.0,,0.73,67.89
2017-09-08,86,73.0,,0.73,62.78
2017-09-09,75,73.0,,0.73,54.75
2017-09-10,78,73.0,,0.73,56.94
2017-09-11,92,73.0,,0.73,67.16
2017-09-12,98,73.0,,0.73,71.53999999999999
2017-09-13,99,73.0,,0.73,72.27
2017-09-14,98,73.0,,0.73,71.53999999999999
2017-09-15,93,73.0,,0.73,67.89
2017-09-16,82,73.0,,0.73,59.86
2017-09-17,81,73.0,,0.73,59.129999999999995
2017-09-18,95,73.0,,0.73,69.35
2017-09-19,98,73.0,,0.73,71.53999999999999
2017-09-20,98,73.0,,0.73,71.53999999999999
2017-09-21,97,73.0,,0.73,70.81
2017-09-22,90,73.0,,0.73,65.7
2017-09-23,81,73.0,,0.73,59.129999999999995
2017-09-24,80,73.0,,0.73,58.4
2017-09-25,100,73.0,,0.73,73.0
2017-09-26,95,73.0,,0.73,69.35
2017-09-27,97,73.0,,0.73,70.81
2017-09-28,95,73.0,,0.73,69.35
2017-09-29,93,73.0,,0.73,67.89
2017-09-30,80,73.0,,0.73,58.4
2017-10-01,79,77.0,False,0.77,60.83
2017-10-02,88,77.0,,0.77,67.76
2017-10-03,93,77.0,,0.77,71.61
2017-10-04,97,77.0,,0.77,74.69
2017-10-05,96,77.0,,0.77,73.92
2017-10-06,92,77.0,,0.77,70.84
2017-10-07,78,77.0,,0.77,60.06
2017-10-08,74,77.0,,0.77,56.980000000000004
2017-10-09,90,77.0,,0.77,69.3
2017-10-10,92,77.0,,0.77,70.84
2017-10-11,93,77.0,,0.77,71.61
2017-10-12,94,77.0,,0.77,72.38
2017-10-13,92,77.0,,0.77,70.84
2017-10-14,75,77.0,,0.77,57.75
2017-10-15,72,77.0,,0.77,55.44
2017-10-16,91,77.0,,0.77,70.07000000000001
2017-10-17,97,77.0,,0.77,74.69
2017-10-18,90,77.0,,0.77,69.3
2017-10-19,100,77.0,,0.77,77.0
2017-10-20,94,77.0,,0.77,72.38
2017-10-21,83,77.0,,0.77,63.910000000000004
2017-10-22,78,77.0,,0.77,60.06
2017-10-23,93,77.0,,0.77,71.61
2017-10-24,96,77.0,,0.77,73.92
2017-10-25,94,77.0,,0.77,72.38
2017-10-26,91,77.0,,0.77,70.07000000000001
2017-10-27,90,77.0,,0.77,69.3
2017-10-28,72,77.0,,0.77,55.44
2017-10-29,78,77.0,,0.77,60.06
2017-10-30,90,77.0,,0.77,69.3
2017-10-31,90,77.0,,0.77,69.3
2017-11-01,94,78.0,False,0.78,73.32000000000001
2017-11-02,91,78.0,,0.78,70.98
2017-11-03,92,78.0,,0.78,71.76
2017-11-04,83,78.0,,0.78,64.74000000000001
2017-11-05,80,78.0,,0.78,62.400000000000006
2017-11-06,96,78.0,,0.78,74.88
2017-11-07,93,78.0,,0.78,72.54
2017-11-08,94,78.0,,0.78,73.32000000000001
2017-11-09,94,78.0,,0.78,73.32000000000001
2017-11-10,95,78.0,,0.78,74.10000000000001
2017-11-11,75,78.0,,0.78,58.5
2017-11-12,78,78.0,,0.78,60.84
2017-11-13,87,78.0,,0.78,67.86
2017-11-14,89,78.0,,0.78,69.42
2017-11-15,95,78.0,,0.78,74.10000000000001
2017-11-16,90,78.0,,0.78,70.2
2017-11-17,89,78.0,,0.78,69.42
2017-11-18,78,78.0,,0.78,60.84
2017-11-19,72,78.0,,0.78,56.160000000000004
2017-11-20,90,78.0,,0.78,70.2
2017-11-21,98,78.0,,0.78,76.44
2017-11-22,88,78.0,,0.78,68.64
2017-11-23,79,78.0,,0.78,61.620000000000005
2017-11-24,87,78.0,,0.78,67.86
2017-11-25,87,78.0,,0.78,67.86
2017-11-26,85,78.0,,0.78,66.3
2017-11-27,94,78.0,,0.78,73.32000000000001
2017-11-28,100,78.0,,0.78,78.0
2017-11-29,95,78.0,,0.78,74.10000000000001
2017-11-30,97,78.0,,0.78,75.66
2017-12-01,93,75.0,False,0.75,69.75
2017-12-02,82,75.0,,0.75,61.5
2017-12-03,83,75.0,,0.75,62.25
2017-12-04,93,75.0,,0.75,69.75
2017-12-05,95,75.0,,0.75,71.25
2017-12-06,95,75.0,,0.75,71.25
2017-12-07,95,75.0,,0.75,71.25
2017-12-08,92,75.0,,0.75,69.0
2017-12-09,83,75.0,,0.75,62.25
2017-12-10,80,75.0,,0.75,60.0
2017-12-11,92,75.0,,0.75,69.0
2017-12-12,94,75.0,,0.75,70.5
2017-12-13,92,75.0,,0.75,69.0
2017-12-14,92,75.0,,0.75,69.0
2017-12-15,90,75.0,,0.75,67.5
2017-12-16,80,75.0,,0.75,60.0
2017-12-17,79,75.0,,0.75,59.25
2017-12-18,85,75.0,,0.75,63.75
2017-12-19,93,75.0,,0.75,69.75
2017-12-20,93,75.0,,0.75,69.75
2017-12-21,92,75.0,,0.75,69.0
2017-12-22,88,75.0,,0.75,66.0
2017-12-23,80,75.0,,0.75,60.0
2017-12-24,76,75.0,,0.75,57.0
2017-12-25,100,75.0,,0.75,75.0
2017-12-26,99,75.0,,0.75,74.25
2017-12-27,97,75.0,,0.75,72.75
2017-12-28,94,75.0,,0.75,70.5
2017-12-29,93,75.0,,0.75,69.75
2017-12-30,81,75.0,,0.75,60.75
2017-12-31,78,75.0,,0.75,58.5
2018-01-01,75,81.0,False,0.81,60.75000000000001
2018-01-02,91,81.0,,0.81,73.71000000000001
