date,NET_unscaled,NET_monthly,isPartial,scale,NET
2016-10-02,91,60.0,,0.6,54.6
2016-10-03,99,60.0,,0.6,59.4
2016-10-04,98,60.0,,0.6,58.8
2016-10-05,94,60.0,,0.6,56.4
2016-10-06,86,60.0,,0.6,51.6
2016-10-07,84,60.0,,0.6,50.4
2016-10-08,78,60.0,,0.6,46.8
2016-10-09,91,60.0,,0.6,54.6
2016-10-10,95,60.0,,0.6,57.0
2016-10-11,93,60.0,,0.6,55.8
2016-10-12,100,60.0,,0.6,60.0
2016-10-13,97,60.0,,0.6,58.199999999999996
2016-10-14,89,60.0,,0.6,53.4
2016-10-15,81,60.0,,0.6,48.6
2016-10-16,92,60.0,,0.6,55.199999999999996
2016-10-17,97,60.0,,0.6,58.199999999999996
2016-10-18,99,60.0,,0.6,59.4
2016-10-19,94,60.0,,0.6,56.4
2016-10-20,93,60.0,,0.6,55.8
2016-10-21,94,60.0,,0.6,56.4
2016-10-22,79,60.0,,0.6,47.4
2016-10-23,87,60.0,,0.6,52.199999999999996
2016-10-24,95,60.0,,0.6,57.0
2016-10-25,96,60.0,,0.6,57.599999999999994
2016-10-26,92,60.0,,0.6,55.199999999999996
2016-10-27,92,60.0,,0.6,55.199999999999996
2016-10-28,88,60.0,,0.6,52.8
2016-10-29,76,60.0,,0.6,45.6
2016-10-30,80,60.0,,0.6,48.0
2016-10-31,89,60.0,,0.6,53.4
2016-11-01,93,59.0,False,0.59,54.87
2016-11-02,94,59.0,,0.59,55.459999999999994
2016-11-03,95,59.0,,0.59,56.05
2016-11-04,93,59.0,,0.59,54.87
2016-11-05,82,59.0,,0.59,48.379999999999995
2016-11-06,86,59.0,,0.59,50.739999999999995
2016-11-07,92,59.0,,0.59,54.279999999999994
2016-11-08,89,59.0,,0.59,52.51
2016-11-09,75,59.0,,0.59,44.25
2016-11-10,91,59.0,,0.59,53.69
2016-11-11,92,59.0,,0.59,54.279999999999994
2016-11-12,81,59.0,,0.59,47.79
2016-11-13,99,59.0,,0.59,58.41
2016-11-14,99,59.0,,0.59,58.41
2016-11-15,99,59.0,,0.59,58.41
2016-11-16,99,59.0,,0.59,58.41
2016-11-17,99,59.0,,0.59,58.41
2016-11-18,95,59.0,,0.59,56.05
2016-11-19,83,59.0,,0.59,48.97
2016-11-20,86,59.0,,0.59,50.739999999999995
2016-11-21,97,59.0,,0.59,57.23
2016-11-22,98,59.0,,0.59,57.82
2016-11-23,97,59.0,,0.59,57.23
2016-11-24,85,59.0,,0.59,50.15
2016-11-25,82,59.0,,0.59,48.379999999999995
2016-11-26,88,59.0,,0.59,51.919999999999995
2016-11-27,94,59.0,,0.59,55.459999999999994
2016-11-28,91,59.0,,0.59,53.69
2016-11-29,95,59.0,,0.59,56.05
2016-11-30,100,59.0,,0.59,59.0
2016-12-01,85,61.0,False,0.61,51.85
2016-12-02,78,61.0,,0.61,47.58
2016-12-03,78,61.0,,0.61,47.58
2016-12-04,78,61.0,,0.61,47.58
2016-12-05,85,61.0,,0.61,51.85
2016-12-06,81,61.0,,0.61,49.41
2016-12-07,81,61.0,,0.61,49.41
2016-12-08,79,61.0,,0.61,48.19
2016-12-09,75,61.0,,0.61,45.75
2016-12-10,73,61.0,,0.61,44.53
2016-12-11,79,61.0,,0.61,48.19
2016-12-12,78,61.0,,0.61,47.58
2016-12-13,84,61.0,,0.61,51.24
2016-12-14,87,61.0,,0.61,53.07
2016-12-15,76,61.0,,0.61,46.36
2016-12-16,70,61.0,,0.61,42.699999999999996
2016-12-17,66,61.0,,0.61,40.26
2016-12-18,72,61.0,,0.61,43.92
2016-12-19,75,61.0,,0.61,45.75
2016-12-20,76,61.0,,0.61,46.36
2016-12-21,74,61.0,,0.61,45.14
2016-12-22,73,61.0,,0.61,44.53
2016-12-23,70,61.0,,0.61,42.699999999999996
2016-12-24,66,61.0,,0.61,40.26
2016-12-25,64,61.0,,0.61,39.04
2016-12-26,77,61.0,,0.61,46.97
2016-12-27,81,61.0,,0.61,49.41
2016-12-28,87,61.0,,0.61,53.07
2016-12-29,100,61.0,,0.61,61.0
2016-12-30,96,61.0,,0.61,58.56
2016-12-31,87,61.0,,0.61,53.07
2017-01-01,99,66.0,False,0.66,65.34
2017-01-02,100,66.0,,0.66,66.0
2017-01-03,99,66.0,,0.66,65.34
2017-01-04,94,66.0,,0.66,62.040000000000006
2017-01-05,92,66.0,,0.66,60.720000000000006
2017-01-06,86,66.0,,0.66,56.760000000000005
2017-01-07,88,66.0,,0.66,58.080000000000005
2017-01-08,95,66.0,,0.66,62.7
2017-01-09,92,66.0,,0.66,60.720000000000006
2017-01-10,86,66.0,,0.66,56.760000000000005
2017-01-11,89,66.0,,0.66,58.74
2017-01-12,84,66.0,,0.66,55.440000000000005
2017-01-13,84,66.0,,0.66,55.440000000000005
2017-01-14,90,66.0,,0.66,59.400000000000006
2017-01-15,90,66.0,,0.66,59.400000000000006
2017-01-16,89,66.0,,0.66,58.74
2017-01-17,92,66.0,,0.66,60.720000000000006
2017-01-18,87,66.0,,0.66,57.42
2017-01-19,100,66.0,,0.66,66.0
2017-01-20,94,66.0,,0.66,62.040000000000006
2017-01-21,93,66.0,,0.66,61.38
2017-01-22,94,66.0,,0.66,62.040000000000006
2017-01-23,90,66.0,,0.66,59.400000000000006
2017-01-24,92,66.0,,0.66,60.720000000000006
2017-01-25,90,66.0,,0.66,59.400000000000006
2017-01-26,91,66.0,,0.66,60.06
2017-01-27,97,66.0,,0.66,64.02
2017-01-28,93,66.0,,0.66,61.38
2017-01-29,100,66.0,,0.66,66.0
2017-01-30,90,66.0,,0.66,59.400000000000006
2017-01-31,91,66.0,,0.66,60.06
2017-02-01,80,63.0,False,0.63,50.4
2017-02-02,77,63.0,,0.63,48.51
2017-02-03,76,63.0,,0.63,47.88
2017-02-04,79,63.0,,0.63,49.77
2017-02-05,86,63.0,,0.63,54.18
2017-02-06,100,63.0,,0.63,63.0
2017-02-07,82,63.0,,0.63,51.660000000000004
2017-02-08,79,63.0,,0.63,49.77
2017-02-09,78,63.0,,0.63,49.14
2017-02-10,78,63.0,,0.63,49.14
2017-02-11,80,63.0,,0.63,50.4
2017-02-12,82,63.0,,0.63,51.660000000000004
2017-02-13,86,63.0,,0.63,54.18
2017-02-14,74,63.0,,0.63,46.62
2017-02-15,73,63.0,,0.63,45.99
2017-02-16,74,63.0,,0.63,46.62
2017-02-17,73,63.0,,0.63,45.99
2017-02-18,75,63.0,,0.63,47.25
2017-02-19,82,63.0,,0.63,51.660000000000004
2017-02-20,80,63.0,,0.63,50.4
2017-02-21,86,63.0,,0.63,54.18
2017-02-22,80,63.0,,0.63,50.4
2017-02-23,77,63.0,,0.63,48.51
2017-02-24,73,63.0,,0.63,45.99
2017-02-25,75,63.0,,0.63,47.25
2017-02-26,91,63.0,,0.63,57.33
2017-02-27,87,63.0,,0.63,54.81
2017-02-28,78,63.0,,0.63,49.14
2017-03-01,95,60.0,False,0.6,57.0
2017-03-02,97,60.0,,0.6,58.199999999999996
2017-03-03,94,60.0,,0.6,56.4
2017-03-04,84,60.0,,0.6,50.4
2017-03-05,100,60.0,,0.6,60.0
2017-03-06,97,60.0,,0.6,58.199999999999996
2017-03-07,96,60.0,,0.6,57.599999999999994
2017-03-08,89,60.0,,0.6,53.4
2017-03-09,91,60.0,,0.6,54.6
2017-03-10,87,60.0,,0.6,52.199999999999996
2017-03-11,89,60.0,,0.6,53.4
2017-03-12,96,60.0,,0.6,57.599999999999994
2017-03-13,91,60.0,,0.6,54.6
2017-03-14,91,60.0,,0.6,54.6
2017-03-15,91,60.0,,0.6,54.6
2017-03-16,89,60.0,,0.6,53.4
2017-03-17,84,60.0,,0.6,50.4
2017-03-18,85,60.0,,0.6,51.0
2017-03-19,97,60.0,,0.6,58.199999999999996
2017-03-20,98,60.0,,0.6,58.8
2017-03-21,99,60.0,,0.6,59.4
2017-03-22,97,60.0,,0.6,58.199999999999996
2017-03-23,92,60.0,,0.6,55.199999999999996
2017-03-24,90,60.0,,0.6,54.0
2017-03-25,90,60.0,,0.6,54.0
2017-03-26,100,60.0,,0.6,60.0
2017-03-27,94,60.0,,0.6,56.4
2017-03-28,97,60.0,,0.6,58.199999999999996
2017-03-29,95,60.0,,0.6,57.0
2017-03-30,90,60.0,,0.6,54.0
2017-03-31,91,60.0,,0.6,54.6
2017-04-01,81,58.0,False,0.58,46.98
2017-04-02,83,58.0,,0.58,48.13999999999999
2017-04-03,89,58.0,,0.58,51.62
2017-04-04,88,58.0,,0.58,51.04
2017-04-05,84,58.0,,0.58,48.72
2017-04-06,88,58.0,,0.58,51.04
2017-04-07,78,58.0,,0.58,45.239999999999995
2017-04-08,75,58.0,,0.58,43.5
2017-04-09,91,58.0,,0.58,52.779999999999994
2017-04-10,89,58.0,,0.58,51.62
2017-04-11,85,58.0,,0.58,49.3
2017-04-12,85,58.0,,0.58,49.3
2017-04-13,84,58.0,,0.58,48.72
2017-04-14,80,58.0,,0.58,46.4
2017-04-15,75,58.0,,0.58,43.5
2017-04-16,82,58.0,,0.58,47.559999999999995
2017-04-17,84,58.0,,0.58,48.72
2017-04-18,84,58.0,,0.58,48.72
2017-04-19,100,58.0,,0.58,57.99999999999999
2017-04-20,93,58.0,,0.58,53.94
2017-04-21,86,58.0,,0.58,49.879999999999995
2017-04-22,77,58.0,,0.58,44.66
2017-04-23,92,58.0,,0.58,53.36
2017-04-24,89,58.0,,0.58,51.62
2017-04-25,90,58.0,,0.58,52.199999999999996
2017-04-26,85,58.0,,0.58,49.3
2017-04-27,87,58.0,,0.58,50.459999999999994
2017-04-28,79,58.0,,0.58,45.82
2017-04-29,75,58.0,,0.58,43.5
2017-04-30,92,58.0,,0.58,53.36
2017-05-01,89,59.0,False,0.59,52.51
2017-05-02,89,59.0,,0.59,52.51
2017-05-03,85,59.0,,0.59,50.15
2017-05-04,87,59.0,,0.59,51.33
2017-05-05,82,59.0,,0.59,48.379999999999995
2017-05-06,79,59.0,,0.59,46.61
2017-05-07,90,59.0,,0.59,53.099999999999994
2017-05-08,97,59.0,,0.59,57.23
2017-05-09,95,59.0,,0.59,56.05
2017-05-10,90,59.0,,0.59,53.099999999999994
2017-05-11,89,59.0,,0.59,52.51
2017-05-12,88,59.0,,0.59,51.919999999999995
2017-05-13,84,59.0,,0.59,49.559999999999995
2017-05-14,87,59.0,,0.59,51.33
2017-05-15,85,59.0,,0.59,50.15
2017-05-16,82,59.0,,0.59,48.379999999999995
2017-05-17,81,59.0,,0.59,47.79
2017-05-18,88,59.0,,0.59,51.919999999999995
2017-05-19,85,59.0,,0.59,50.15
2017-05-20,83,59.0,,0.59,48.97
2017-05-21,86,59.0,,0.59,50.739999999999995
2017-05-22,91,59.0,,0.59,53.69
2017-05-23,85,59.0,,0.59,50.15
2017-05-24,83,59.0,,0.59,48.97
2017-05-25,84,59.0,,0.59,49.559999999999995
2017-05-26,81,59.0,,0.59,47.79
2017-05-27,73,59.0,,0.59,43.07
2017-05-28,81,59.0,,0.59,47.79
2017-05-29,100,59.0,,0.59,59.0
2017-05-30,92,59.0,,0.59,54.279999999999994
2017-05-31,93,59.0,,0.59,54.87
2017-06-01,88,62.0,False,0.62,54.56
2017-06-02,92,62.0,,0.62,57.04
2017-06-03,85,62.0,,0.62,52.7
2017-06-04,86,62.0,,0.62,53.32
2017-06-05,86,62.0,,0.62,53.32
2017-06-06,84,62.0,,0.62,52.08
2017-06-07,84,62.0,,0.62,52.08
2017-06-08,87,62.0,,0.62,53.94
2017-06-09,88,62.0,,0.62,54.56
2017-06-10,84,62.0,,0.62,52.08
2017-06-11,89,62.0,,0.62,55.18
2017-06-12,88,62.0,,0.62,54.56
2017-06-13,92,62.0,,0.62,57.04
2017-06-14,90,62.0,,0.62,55.8
2017-06-15,92,62.0,,0.62,57.04
2017-06-16,96,62.0,,0.62,59.519999999999996
2017-06-17,88,62.0,,0.62,54.56
2017-06-18,92,62.0,,0.62,57.04
2017-06-19,87,62.0,,0.62,53.94
2017-06-20,94,62.0,,0.62,58.28
2017-06-21,100,62.0,,0.62,62.0
2017-06-22,93,62.0,,0.62,57.66
2017-06-23,92,62.0,,0.62,57.04
2017-06-24,92,62.0,,0.62,57.04
2017-06-25,93,62.0,,0.62,57.66
2017-06-26,100,62.0,,0.62,62.0
2017-06-27,93,62.0,,0.62,57.66
2017-06-28,93,62.0,,0.62,57.66
2017-06-29,91,62.0,,0.62,56.42
2017-06-30,90,62.0,,0.62,55.8
2017-07-01,63,67.0,False,0.67,42.21
2017-07-02,64,67.0,,0.67,42.88
2017-07-03,66,67.0,,0.67,44.220000000000006
2017-07-04,69,67.0,,0.67,46.230000000000004
2017-07-05,64,67.0,,0.67,42.88
2017-07-06,66,67.0,,0.67,44.220000000000006
2017-07-07,70,67.0,,0.67,46.900000000000006
2017-07-08,65,67.0,,0.67,43.550000000000004
2017-07-09,69,67.0,,0.67,46.230000000000004
2017-07-10,71,67.0,,0.67,47.57
2017-07-11,71,67.0,,0.67,47.57
2017-07-12,100,67.0,,0.67,67.0
2017-07-13,100,67.0,,0.67,67.0
2017-07-14,79,67.0,,0.67,52.93
2017-07-15,79,67.0,,0.67,52.93
2017-07-16,82,67.0,,0.67,54.940000000000005
2017-07-17,72,67.0,,0.67,48.24
2017-07-18,69,67.0,,0.67,46.230000000000004
2017-07-19,70,67.0,,0.67,46.900000000000006
2017-07-20,82,67.0,,0.67,54.940000000000005
2017-07-21,86,67.0,,0.67,57.620000000000005
2017-07-22,72,67.0,,0.67,48.24
2017-07-23,75,67.0,,0.67,50.25
2017-07-24,71,67.0,,0.67,47.57
2017-07-25,70,67.0,,0.67,46.900000000000006
2017-07-26,67,67.0,,0.67,44.89
2017-07-27,74,67.0,,0.67,49.580000000000005
2017-07-28,72,67.0,,0.67,48.24
2017-07-29,66,67.0,,0.67,44.220000000000006
2017-07-30,72,67.0,,0.67,48.24
2017-07-31,67,67.0,,0.67,44.89
2017-08-01,67,62.0,False,0.62,41.54
2017-08-02,69,62.0,,0.62,42.78
2017-08-03,68,62.0,,0.62,42.16
2017-08-04,67,62.0,,0.62,41.54
2017-08-05,62,62.0,,0.62,38.44
2017-08-06,71,62.0,,0.62,44.02
2017-08-07,67,62.0,,0.62,41.54
2017-08-08,67,62.0,,0.62,41.54
2017-08-09,65,62.0,,0.62,40.3
2017-08-10,70,62.0,,0.62,43.4
2017-08-11,65,62.0,,0.62,40.3
2017-08-12,55,62.0,,0.62,34.1
2017-08-13,62,62.0,,0.62,38.44
2017-08-14,59,62.0,,0.62,36.58
2017-08-15,62,62.0,,0.62,38.44
2017-08-16,57,62.0,,0.62,35.339999999999996
2017-08-17,60,62.0,,0.62,37.2
2017-08-18,56,62.0,,0.62,34.72
2017-08-19,52,62.0,,0.62,32.24
2017-08-20,59,62.0,,0.62,36.58
2017-08-21,55,62.0,,0.62,34.1
2017-08-22,60,62.0,,0.62,37.2
2017-08-23,61,62.0,,0.62,37.82
2017-08-24,58,62.0,,0.62,35.96
2017-08-25,62,62.0,,0.62,38.44
2017-08-26,67,62.0,,0.62,41.54
2017-08-27,100,62.0,,0.62,62.0
2017-08-28,71,62.0,,0.62,44.02
2017-08-29,71,62.0,,0.62,44.02
2017-08-30,71,62.0,,0.62,44.02
2017-08-31,68,62.0,,0.62,42.16
2017-09-01,75,58.0,False,0.58,43.5
2017-09-02,70,58.0,,0.58,40.599999999999994
2017-09-03,71,58.0,,0.58,41.18
2017-09-04,78,58.0,,0.58,45.239999999999995
2017-09-05,70,58.0,,0.58,40.599999999999994
2017-09-06,65,58.0,,0.58,37.699999999999996
2017-09-07,69,58.0,,0.58,40.019999999999996
2017-09-08,66,58.0,,0.58,38.279999999999994
2017-09-09,60,58.0,,0.58,34.8
2017-09-10,60,58.0,,0.58,34.8
2017-09-11,65,58.0,,0.58,37.699999999999996
2017-09-12,69,58.0,,0.58,40.019999999999996
2017-09-13,73,58.0,,0.58,42.339999999999996
2017-09-14,72,58.0,,0.58,41.76
2017-09-15,68,58.0,,0.58,39.44
2017-09-16,60,58.0,,0.58,34.8
2017-09-17,73,58.0,,0.58,42.339999999999996
2017-09-18,72,58.0,,0.58,41.76
2017-09-19,73,58.0,,0.58,42.339999999999996
2017-09-20,69,58.0,,0.58,40.019999999999996
2017-09-21,76,58.0,,0.58,44.08
2017-09-22,73,58.0,,0.58,42.339999999999996
2017-09-23,75,58.0,,0.58,43.5
2017-09-24,70,58.0,,0.58,40.599999999999994
2017-09-25,74,58.0,,0.58,42.919999999999995
2017-09-26,77,58.0,,0.58,44.66
2017-09-27,74,58.0,,0.58,42.919999999999995
2017-09-28,100,58.0,,0.58,57.99999999999999
2017-09-29,80,58.0,,0.58,46.4
2017-09-30,64,58.0,,0.58,37.12
2017-10-01,84,62.0,False,0.62,52.08
2017-10-02,82,62.0,,0.62,50.839999999999996
2017-10-03,83,62.0,,0.62,51.46
2017-10-04,81,62.0,,0.62,50.22
2017-10-05,81,62.0,,0.62,50.22
2017-10-06,79,62.0,,0.62,48.98
2017-10-07,79,62.0,,0.62,48.98
2017-10-08,80,62.0,,0.62,49.6
2017-10-09,90,62.0,,0.62,55.8
2017-10-10,92,62.0,,0.62,57.04
2017-10-11,100,62.0,,0.62,62.0
2017-10-12,96,62.0,,0.62,59.519999999999996
2017-10-13,82,62.0,,0.62,50.839999999999996
2017-10-14,79,62.0,,0.62,48.98
2017-10-15,85,62.0,,0.62,52.7
2017-10-16,93,62.0,,0.62,57.66
2017-10-17,92,62.0,,0.62,57.04
2017-10-18,88,62.0,,0.62,54.56
2017-10-19,91,62.0,,0.62,56.42
2017-10-20,80,62.0,,0.62,49.6
2017-10-21,78,62.0,,0.62,48.36
2017-10-22,80,62.0,,0.62,49.6
2017-10-23,90,62.0,,0.62,55.8
2017-10-24,87,62.0,,0.62,53.94
2017-10-25,89,62.0,,0.62,55.18
2017-10-26,82,62.0,,0.62,50.839999999999996
2017-10-27,83,62.0,,0.62,51.46
2017-10-28,74,62.0,,0.62,45.88
2017-10-29,79,62.0,,0.62,48.98
2017-10-30,85,62.0,,0.62,52.7
2017-10-31,82,62.0,,0.62,50.839999999999996
2017-11-01,47,68.0,False,0.68,31.96
2017-11-02,49,68.0,,0.68,33.32
2017-11-03,49,68.0,,0.68,33.32
2017-11-04,46,68.0,,0.68,31.28
2017-11-05,49,68.0,,0.68,33.32
2017-11-06,53,68.0,,0.68,36.04
2017-11-07,53,68.0,,0.68,36.04
2017-11-08,51,68.0,,0.68,34.68
2017-11-09,54,68.0,,0.68,36.720000000000006
2017-11-10,51,68.0,,0.68,34.68
2017-11-11,44,68.0,,0.68,29.92
2017-11-12,45,68.0,,0.68,30.6
2017-11-13,50,68.0,,0.68,34.0
2017-11-14,48,68.0,,0.68,32.64
2017-11-15,48,68.0,,0.68,32.64
2017-11-16,50,68.0,,0.68,34.0
2017-11-17,49,68.0,,0.68,33.32
2017-11-18,48,68.0,,0.68,32.64
2017-11-19,48,68.0,,0.68,32.64
2017-11-20,54,68.0,,0.68,36.720000000000006
2017-11-21,71,68.0,,0.68,48.28
2017-11-22,100,68.0,,0.68,68.0
2017-11-23,87,68.0,,0.68,59.160000000000004
2017-11-24,66,68.0,,0.68,44.88
2017-11-25,66,68.0,,0.68,44.88
2017-11-26,68,68.0,,0.68,46.24
2017-11-27,66,68.0,,0.68,44.88
2017-11-28,68,68.0,,0.68,46.24
2017-11-29,76,68.0,,0.68,51.68000000000001
2017-11-30,79,68.0,,0.68,53.720000000000006
2017-12-01,14,100.0,False,1.0,14.0
2017-12-02,13,100.0,,1.0,13.0
2017-12-03,13,100.0,,1.0,13.0
2017-12-04,13,100.0,,1.0,13.0
2017-12-05,12,100.0,,1.0,12.0
2017-12-06,13,100.0,,1.0,13.0
2017-12-07,13,100.0,,1.0,13.0
2017-12-08,12,100.0,,1.0,12.0
2017-12-09,13,100.0,,1.0,13.0
2017-12-10,13,100.0,,1.0,13.0
2017-12-11,13,100.0,,1.0,13.0
2017-12-12,16,100.0,,1.0,16.0
2017-12-13,22,100.0,,1.0,22.0
2017-12-14,100,100.0,,1.0,100.0
2017-12-15,62,100.0,,1.0,62.0
2017-12-16,25,100.0,,1.0,25.0
2017-12-17,18,100.0,,1.0,18.0
2017-12-18,18,100.0,,1.0,18.0
2017-12-19,16,100.0,,1.0,16.0
2017-12-20,14,100.0,,1.0,14.0
2017-12-21,13,100.0,,1.0,13.0
2017-12-22,12,100.0,,1.0,12.0
2017-12-23,11,100.0,,1.0,11.0
2017-12-24,11,100.0,,1.0,11.0
2017-12-25,10,100.0,,1.0,10.0
