date,DIA_unscaled,DIA_monthly,isPartial,scale,DIA
2016-10-18,39,69.0,,0.69,26.909999999999997
2016-10-19,38,69.0,,0.69,26.22
2016-10-20,41,69.0,,0.69,28.29
2016-10-21,41,69.0,,0.69,28.29
2016-10-22,39,69.0,,0.69,26.909999999999997
2016-10-23,41,69.0,,0.69,28.29
2016-10-24,44,69.0,,0.69,30.36
2016-10-25,49,69.0,,0.69,33.809999999999995
2016-10-26,52,69.0,,0.69,35.879999999999995
2016-10-27,58,69.0,,0.69,40.019999999999996
2016-10-28,64,69.0,,0.69,44.16
2016-10-29,67,69.0,,0.69,46.23
2016-10-30,72,69.0,,0.69,49.67999999999999
2016-10-31,100,69.0,,0.69,69.0
2016-11-01,100,65.0,False,0.65,65.0
2016-11-02,98,65.0,,0.65,63.7
2016-11-03,49,65.0,,0.65,31.85
2016-11-04,33,65.0,,0.65,21.45
2016-11-05,25,65.0,,0.65,16.25
2016-11-06,26,65.0,,0.65,16.900000000000002
2016-11-07,25,65.0,,0.65,16.25
2016-11-08,25,65.0,,0.65,16.25
2016-11-09,19,65.0,,0.65,12.35
2016-11-10,24,65.0,,0.65,15.600000000000001
2016-11-11,26,65.0,,0.65,16.900000000000002
2016-11-12,22,65.0,,0.65,14.3
2016-11-13,19,65.0,,0.65,12.35
2016-11-14,22,65.0,,0.65,14.3
2016-11-15,23,65.0,,0.65,14.950000000000001
2016-11-16,23,65.0,,0.65,14.950000000000001
2016-11-17,23,65.0,,0.65,14.950000000000001
2016-11-18,24,65.0,,0.65,15.600000000000001
2016-11-19,22,65.0,,0.65,14.3
2016-11-20,21,65.0,,0.65,13.65
2016-11-21,25,65.0,,0.65,16.25
2016-11-22,32,65.0,,0.65,20.8
2016-11-23,34,65.0,,0.65,22.1
2016-11-24,81,65.0,,0.65,52.65
2016-11-25,26,65.0,,0.65,16.900000000000002
2016-11-26,19,65.0,,0.65,12.35
2016-11-27,21,65.0,,0.65,13.65
2016-11-28,18,65.0,,0.65,11.700000000000001
2016-11-29,19,65.0,,0.65,12.35
2016-11-30,18,65.0,,0.65,11.700000000000001
2016-12-01,65,41.0,False,0.41,26.65
2016-12-02,58,41.0,,0.41,23.779999999999998
2016-12-03,61,41.0,,0.41,25.009999999999998
2016-12-04,58,41.0,,0.41,23.779999999999998
2016-12-05,59,41.0,,0.41,24.189999999999998
2016-12-06,58,41.0,,0.41,23.779999999999998
2016-12-07,69,41.0,,0.41,28.29
2016-12-08,77,41.0,,0.41,31.569999999999997
2016-12-09,63,41.0,,0.41,25.83
2016-12-10,61,41.0,,0.41,25.009999999999998
2016-12-11,59,41.0,,0.41,24.189999999999998
2016-12-12,84,41.0,,0.41,34.44
2016-12-13,68,41.0,,0.41,27.88
2016-12-14,62,41.0,,0.41,25.419999999999998
2016-12-15,58,41.0,,0.41,23.779999999999998
2016-12-16,57,41.0,,0.41,23.369999999999997
2016-12-17,70,41.0,,0.41,28.7
2016-12-18,60,41.0,,0.41,24.599999999999998
2016-12-19,58,41.0,,0.41,23.779999999999998
2016-12-20,61,41.0,,0.41,25.009999999999998
2016-12-21,63,41.0,,0.41,25.83
2016-12-22,69,41.0,,0.41,28.29
2016-12-23,60,41.0,,0.41,24.599999999999998
2016-12-24,60,41.0,,0.41,24.599999999999998
2016-12-25,58,41.0,,0.41,23.779999999999998
2016-12-26,54,41.0,,0.41,22.139999999999997
2016-12-27,59,41.0,,0.41,24.189999999999998
2016-12-28,100,41.0,,0.41,41.0
2016-12-29,71,41.0,,0.41,29.11
2016-12-30,63,41.0,,0.41,25.83
2016-12-31,58,41.0,,0.41,23.779999999999998
2017-01-01,35,43.0,False,0.43,15.049999999999999
2017-01-02,38,43.0,,0.43,16.34
2017-01-03,41,43.0,,0.43,17.63
2017-01-04,50,43.0,,0.43,21.5
2017-01-05,62,43.0,,0.43,26.66
2017-01-06,100,43.0,,0.43,43.0
2017-01-07,55,43.0,,0.43,23.65
2017-01-08,35,43.0,,0.43,15.049999999999999
2017-01-09,39,43.0,,0.43,16.77
2017-01-10,35,43.0,,0.43,15.049999999999999
2017-01-11,40,43.0,,0.43,17.2
2017-01-12,37,43.0,,0.43,15.91
2017-01-13,38,43.0,,0.43,16.34
2017-01-14,36,43.0,,0.43,15.48
2017-01-15,36,43.0,,0.43,15.48
2017-01-16,39,43.0,,0.43,16.77
2017-01-17,38,43.0,,0.43,16.34
2017-01-18,35,43.0,,0.43,15.049999999999999
2017-01-19,38,43.0,,0.43,16.34
2017-01-20,35,43.0,,0.43,15.049999999999999
2017-01-21,37,43.0,,0.43,15.91
2017-01-22,33,43.0,,0.43,14.19
2017-01-23,33,43.0,,0.43,14.19
2017-01-24,38,43.0,,0.43,16.34
2017-01-25,41,43.0,,0.43,17.63
2017-01-26,38,43.0,,0.43,16.34
2017-01-27,37,43.0,,0.43,15.91
2017-01-28,38,43.0,,0.43,16.34
2017-01-29,37,43.0,,0.43,15.91
2017-01-30,40,43.0,,0.43,17.2
2017-01-31,39,43.0,,0.43,16.77
2017-02-01,10,59.0,False,0.59,5.8999999999999995
2017-02-02,13,59.0,,0.59,7.67
2017-02-03,12,59.0,,0.59,7.08
2017-02-04,9,59.0,,0.59,5.31
2017-02-05,9,59.0,,0.59,5.31
2017-02-06,9,59.0,,0.59,5.31
2017-02-07,10,59.0,,0.59,5.8999999999999995
2017-02-08,10,59.0,,0.59,5.8999999999999995
2017-02-09,10,59.0,,0.59,5.8999999999999995
2017-02-10,11,59.0,,0.59,6.489999999999999
2017-02-11,10,59.0,,0.59,5.8999999999999995
2017-02-12,11,59.0,,0.59,6.489999999999999
2017-02-13,15,59.0,,0.59,8.85
2017-02-14,100,59.0,,0.59,59.0
2017-02-15,23,59.0,,0.59,13.569999999999999
2017-02-16,20,59.0,,0.59,11.799999999999999
2017-02-17,13,59.0,,0.59,7.67
2017-02-18,9,59.0,,0.59,5.31
2017-02-19,10,59.0,,0.59,5.8999999999999995
2017-02-20,11,59.0,,0.59,6.489999999999999
2017-02-21,10,59.0,,0.59,5.8999999999999995
2017-02-22,10,59.0,,0.59,5.8999999999999995
2017-02-23,9,59.0,,0.59,5.31
2017-02-24,10,59.0,,0.59,5.8999999999999995
2017-02-25,8,59.0,,0.59,4.72
2017-02-26,9,59.0,,0.59,5.31
2017-02-27,9,59.0,,0.59,5.31
2017-02-28,9,59.0,,0.59,5.31
2017-03-01,21,50.0,False,0.5,10.5
2017-03-02,19,50.0,,0.5,9.5
2017-03-03,19,50.0,,0.5,9.5
2017-03-04,19,50.0,,0.5,9.5
2017-03-05,18,50.0,,0.5,9.0
2017-03-06,20,50.0,,0.5,10.0
2017-03-07,23,50.0,,0.5,11.5
2017-03-08,100,50.0,,0.5,50.0
2017-03-09,28,50.0,,0.5,14.0
2017-03-10,22,50.0,,0.5,11.0
2017-03-11,19,50.0,,0.5,9.5
2017-03-12,20,50.0,,0.5,10.0
2017-03-13,21,50.0,,0.5,10.5
2017-03-14,18,50.0,,0.5,9.0
2017-03-15,20,50.0,,0.5,10.0
2017-03-16,20,50.0,,0.5,10.0
2017-03-17,27,50.0,,0.5,13.5
2017-03-18,21,50.0,,0.5,10.5
2017-03-19,33,50.0,,0.5,16.5
2017-03-20,23,50.0,,0.5,11.5
2017-03-21,20,50.0,,0.5,10.0
2017-03-22,21,50.0,,0.5,10.5
2017-03-23,23,50.0,,0.5,11.5
2017-03-24,21,50.0,,0.5,10.5
2017-03-25,17,50.0,,0.5,8.5
2017-03-26,20,50.0,,0.5,10.0
2017-03-27,20,50.0,,0.5,10.0
2017-03-28,19,50.0,,0.5,9.5
2017-03-29,20,50.0,,0.5,10.0
2017-03-30,18,50.0,,0.5,9.0
2017-03-31,19,50.0,,0.5,9.5
2017-04-01,44,45.0,False,0.45,19.8
2017-04-02,42,45.0,,0.45,18.900000000000002
2017-04-03,40,45.0,,0.45,18.0
2017-04-04,42,45.0,,0.45,18.900000000000002
2017-04-05,41,45.0,,0.45,18.45
2017-04-06,41,45.0,,0.45,18.45
2017-04-07,42,45.0,,0.45,18.900000000000002
2017-04-08,44,45.0,,0.45,19.8
2017-04-09,46,45.0,,0.45,20.7
2017-04-10,42,45.0,,0.45,18.900000000000002
2017-04-11,40,45.0,,0.45,18.0
2017-04-12,41,45.0,,0.45,18.45
2017-04-13,44,45.0,,0.45,19.8
2017-04-14,43,45.0,,0.45,19.35
2017-04-15,44,45.0,,0.45,19.8
2017-04-16,69,45.0,,0.45,31.05
2017-04-17,43,45.0,,0.45,19.35
2017-04-18,43,45.0,,0.45,19.35
2017-04-19,42,45.0,,0.45,18.900000000000002
2017-04-20,44,45.0,,0.45,19.8
2017-04-21,44,45.0,,0.45,19.8
2017-04-22,45,45.0,,0.45,20.25
2017-04-23,43,45.0,,0.45,19.35
2017-04-24,46,45.0,,0.45,20.7
2017-04-25,51,45.0,,0.45,22.95
2017-04-26,50,45.0,,0.45,22.5
2017-04-27,46,45.0,,0.45,20.7
2017-04-28,58,45.0,,0.45,26.1
2017-04-29,52,45.0,,0.45,23.400000000000002
2017-04-30,100,45.0,,0.45,45.0
2017-05-01,9,90.0,False,0.9,8.1
2017-05-02,7,90.0,,0.9,6.3
2017-05-03,8,90.0,,0.9,7.2
2017-05-04,8,90.0,,0.9,7.2
2017-05-05,8,90.0,,0.9,7.2
2017-05-06,7,90.0,,0.9,6.3
2017-05-07,9,90.0,,0.9,8.1
2017-05-08,8,90.0,,0.9,7.2
2017-05-09,12,90.0,,0.9,10.8
2017-05-10,100,90.0,,0.9,90.0
2017-05-11,17,90.0,,0.9,15.3
2017-05-12,10,90.0,,0.9,9.0
2017-05-13,12,90.0,,0.9,10.8
2017-05-14,59,90.0,,0.9,53.1
2017-05-15,11,90.0,,0.9,9.9
2017-05-16,6,90.0,,0.9,5.4
2017-05-17,6,90.0,,0.9,5.4
2017-05-18,6,90.0,,0.9,5.4
2017-05-19,5,90.0,,0.9,4.5
2017-05-20,6,90.0,,0.9,5.4
2017-05-21,5,90.0,,0.9,4.5
2017-05-22,6,90.0,,0.9,5.4
2017-05-23,6,90.0,,0.9,5.4
2017-05-24,6,90.0,,0.9,5.4
2017-05-25,6,90.0,,0.9,5.4
2017-05-26,5,90.0,,0.9,4.5
2017-05-27,6,90.0,,0.9,5.4
2017-05-28,10,90.0,,0.9,9.0
2017-05-29,6,90.0,,0.9,5.4
2017-05-30,7,90.0,,0.9,6.3
2017-05-31,6,90.0,,0.9,5.4
2017-06-01,9,64.0,False,0.64,5.76
2017-06-02,9,64.0,,0.64,5.76
2017-06-03,8,64.0,,0.64,5.12
2017-06-04,9,64.0,,0.64,5.76
2017-06-05,9,64.0,,0.64,5.76
2017-06-06,9,64.0,,0.64,5.76
2017-06-07,9,64.0,,0.64,5.76
2017-06-08,11,64.0,,0.64,7.04
2017-06-09,9,64.0,,0.64,5.76
2017-06-10,10,64.0,,0.64,6.4
2017-06-11,12,64.0,,0.64,7.68
2017-06-12,11,64.0,,0.64,7.04
2017-06-13,10,64.0,,0.64,6.4
2017-06-14,11,64.0,,0.64,7.04
2017-06-15,13,64.0,,0.64,8.32
2017-06-16,14,64.0,,0.64,8.96
2017-06-17,26,64.0,,0.64,16.64
2017-06-18,100,64.0,,0.64,64.0
2017-06-19,15,64.0,,0.64,9.6
2017-06-20,8,64.0,,0.64,5.12
2017-06-21,8,64.0,,0.64,5.12
2017-06-22,8,64.0,,0.64,5.12
2017-06-23,8,64.0,,0.64,5.12
2017-06-24,8,64.0,,0.64,5.12
2017-06-25,8,64.0,,0.64,5.12
2017-06-26,7,64.0,,0.64,4.48
2017-06-27,8,64.0,,0.64,5.12
2017-06-28,8,64.0,,0.64,5.12
2017-06-29,8,64.0,,0.64,5.12
2017-06-30,8,64.0,,0.64,5.12
2017-07-01,80,39.0,False,0.39,31.200000000000003
2017-07-02,69,39.0,,0.39,26.91
2017-07-03,67,39.0,,0.39,26.130000000000003
2017-07-04,85,39.0,,0.39,33.15
2017-07-05,74,39.0,,0.39,28.86
2017-07-06,73,39.0,,0.39,28.470000000000002
2017-07-07,73,39.0,,0.39,28.470000000000002
2017-07-08,65,39.0,,0.39,25.35
2017-07-09,72,39.0,,0.39,28.080000000000002
2017-07-10,68,39.0,,0.39,26.52
2017-07-11,70,39.0,,0.39,27.3
2017-07-12,75,39.0,,0.39,29.25
2017-07-13,73,39.0,,0.39,28.470000000000002
2017-07-14,75,39.0,,0.39,29.25
2017-07-15,73,39.0,,0.39,28.470000000000002
2017-07-16,76,39.0,,0.39,29.64
2017-07-17,66,39.0,,0.39,25.740000000000002
2017-07-18,67,39.0,,0.39,26.130000000000003
2017-07-19,76,39.0,,0.39,29.64
2017-07-20,88,39.0,,0.39,34.32
2017-07-21,74,39.0,,0.39,28.86
2017-07-22,74,39.0,,0.39,28.86
2017-07-23,67,39.0,,0.39,26.130000000000003
2017-07-24,73,39.0,,0.39,28.470000000000002
2017-07-25,71,39.0,,0.39,27.69
2017-07-26,83,39.0,,0.39,32.370000000000005
2017-07-27,74,39.0,,0.39,28.86
2017-07-28,78,39.0,,0.39,30.42
2017-07-29,69,39.0,,0.39,26.91
2017-07-30,100,39.0,,0.39,39.0
2017-07-31,74,39.0,,0.39,28.86
2017-08-01,78,42.0,False,0.42,32.76
2017-08-02,82,42.0,,0.42,34.44
2017-08-03,82,42.0,,0.42,34.44
2017-08-04,90,42.0,,0.42,37.8
2017-08-05,81,42.0,,0.42,34.019999999999996
2017-08-06,82,42.0,,0.42,34.44
2017-08-07,90,42.0,,0.42,37.8
2017-08-08,92,42.0,,0.42,38.64
2017-08-09,88,42.0,,0.42,36.96
2017-08-10,96,42.0,,0.42,40.32
2017-08-11,78,42.0,,0.42,32.76
2017-08-12,84,42.0,,0.42,35.28
2017-08-13,100,42.0,,0.42,42.0
2017-08-14,85,42.0,,0.42,35.699999999999996
2017-08-15,98,42.0,,0.42,41.16
2017-08-16,88,42.0,,0.42,36.96
2017-08-17,94,42.0,,0.42,39.48
2017-08-18,80,42.0,,0.42,33.6
2017-08-19,75,42.0,,0.42,31.5
2017-08-20,85,42.0,,0.42,35.699999999999996
2017-08-21,78,42.0,,0.42,32.76
2017-08-22,89,42.0,,0.42,37.379999999999995
2017-08-23,82,42.0,,0.42,34.44
2017-08-24,80,42.0,,0.42,33.6
2017-08-25,85,42.0,,0.42,35.699999999999996
2017-08-26,76,42.0,,0.42,31.919999999999998
2017-08-27,79,42.0,,0.42,33.18
2017-08-28,96,42.0,,0.42,40.32
2017-08-29,91,42.0,,0.42,38.22
2017-08-30,89,42.0,,0.42,37.379999999999995
2017-08-31,81,42.0,,0.42,34.019999999999996
2017-09-01,76,45.0,False,0.45,34.2
2017-09-02,70,45.0,,0.45,31.5
2017-09-03,66,45.0,,0.45,29.7
2017-09-04,76,45.0,,0.45,34.2
2017-09-05,79,45.0,,0.45,35.550000000000004
2017-09-06,77,45.0,,0.45,34.65
2017-09-07,80,45.0,,0.45,36.0
2017-09-08,70,45.0,,0.45,31.5
2017-09-09,67,45.0,,0.45,30.150000000000002
2017-09-10,70,45.0,,0.45,31.5
2017-09-11,68,45.0,,0.45,30.6
2017-09-12,72,45.0,,0.45,32.4
2017-09-13,76,45.0,,0.45,34.2
2017-09-14,80,45.0,,0.45,36.0
2017-09-15,96,45.0,,0.45,43.2
2017-09-16,99,45.0,,0.45,44.550000000000004
2017-09-17,75,45.0,,0.45,33.75
2017-09-18,85,45.0,,0.45,38.25
2017-09-19,94,45.0,,0.45,42.300000000000004
2017-09-20,100,45.0,,0.45,45.0
2017-09-21,91,45.0,,0.45,40.95
2017-09-22,93,45.0,,0.45,41.85
2017-09-23,79,45.0,,0.45,35.550000000000004
2017-09-24,75,45.0,,0.45,33.75
2017-09-25,79,45.0,,0.45,35.550000000000004
2017-09-26,88,45.0,,0.45,39.6
2017-09-27,92,45.0,,0.45,41.4
2017-09-28,89,45.0,,0.45,40.050000000000004
2017-09-29,92,45.0,,0.45,41.4
2017-09-30,81,45.0,,0.45,36.45
2017-10-01,32,67.0,False,0.67,21.44
2017-10-02,33,67.0,,0.67,22.110000000000003
2017-10-03,36,67.0,,0.67,24.12
2017-10-04,35,67.0,,0.67,23.450000000000003
2017-10-05,37,67.0,,0.67,24.790000000000003
2017-10-06,41,67.0,,0.67,27.470000000000002
2017-10-07,32,67.0,,0.67,21.44
2017-10-08,33,67.0,,0.67,22.110000000000003
2017-10-09,38,67.0,,0.67,25.46
2017-10-10,36,67.0,,0.67,24.12
2017-10-11,37,67.0,,0.67,24.790000000000003
2017-10-12,43,67.0,,0.67,28.810000000000002
2017-10-13,37,67.0,,0.67,24.790000000000003
2017-10-14,34,67.0,,0.67,22.78
2017-10-15,39,67.0,,0.67,26.130000000000003
2017-10-16,40,67.0,,0.67,26.8
2017-10-17,40,67.0,,0.67,26.8
2017-10-18,40,67.0,,0.67,26.8
2017-10-19,44,67.0,,0.67,29.48
2017-10-20,43,67.0,,0.67,28.810000000000002
2017-10-21,39,67.0,,0.67,26.130000000000003
2017-10-22,41,67.0,,0.67,27.470000000000002
2017-10-23,49,67.0,,0.67,32.830000000000005
2017-10-24,50,67.0,,0.67,33.5
2017-10-25,54,67.0,,0.67,36.18
2017-10-26,56,67.0,,0.67,37.52
2017-10-27,61,67.0,,0.67,40.870000000000005
2017-10-28,64,67.0,,0.67,42.88
2017-10-29,70,67.0,,0.67,46.900000000000006
2017-10-30,72,67.0,,0.67,48.24
2017-10-31,100,67.0,,0.67,67.0
2017-11-01,96,64.0,False,0.64,61.44
2017-11-02,100,64.0,,0.64,64.0
2017-11-03,54,64.0,,0.64,34.56
2017-11-04,33,64.0,,0.64,21.12
2017-11-05,33,64.0,,0.64,21.12
2017-11-06,29,64.0,,0.64,18.56
2017-11-07,28,64.0,,0.64,17.92
2017-11-08,26,64.0,,0.64,16.64
2017-11-09,27,64.0,,0.64,17.28
2017-11-10,26,64.0,,0.64,16.64
2017-11-11,22,64.0,,0.64,14.08
2017-11-12,21,64.0,,0.64,13.44
2017-11-13,25,64.0,,0.64,16.0
2017-11-14,26,64.0,,0.64,16.64
2017-11-15,25,64.0,,0.64,16.0
2017-11-16,24,64.0,,0.64,15.36
2017-11-17,23,64.0,,0.64,14.72
2017-11-18,21,64.0,,0.64,13.44
2017-11-19,21,64.0,,0.64,13.44
2017-11-20,26,64.0,,0.64,16.64
2017-11-21,28,64.0,,0.64,17.92
2017-11-22,34,64.0,,0.64,21.76
2017-11-23,80,64.0,,0.64,51.2
2017-11-24,29,64.0,,0.64,18.56
2017-11-25,22,64.0,,0.64,14.08
2017-11-26,21,64.0,,0.64,13.44
2017-11-27,20,64.0,,0.64,12.8
2017-11-28,19,64.0,,0.64,12.16
2017-11-29,20,64.0,,0.64,12.8
2017-11-30,20,64.0,,0.64,12.8
2017-12-01,56,42.0,False,0.42,23.52
2017-12-02,51,42.0,,0.42,21.419999999999998
2017-12-03,68,42.0,,0.42,28.56
2017-12-04,61,42.0,,0.42,25.619999999999997
2017-12-05,55,42.0,,0.42,23.099999999999998
2017-12-06,56,42.0,,0.42,23.52
2017-12-07,62,42.0,,0.42,26.04
2017-12-08,71,42.0,,0.42,29.82
2017-12-09,46,42.0,,0.42,19.32
2017-12-10,54,42.0,,0.42,22.68
2017-12-11,54,42.0,,0.42,22.68
2017-12-12,80,42.0,,0.42,33.6
2017-12-13,62,42.0,,0.42,26.04
2017-12-14,52,42.0,,0.42,21.84
2017-12-15,56,42.0,,0.42,23.52
2017-12-16,51,42.0,,0.42,21.419999999999998
2017-12-17,51,42.0,,0.42,21.419999999999998
2017-12-18,60,42.0,,0.42,25.2
2017-12-19,56,42.0,,0.42,23.52
2017-12-20,56,42.0,,0.42,23.52
2017-12-21,59,42.0,,0.42,24.779999999999998
2017-12-22,61,42.0,,0.42,25.619999999999997
2017-12-23,59,42.0,,0.42,24.779999999999998
2017-12-24,58,42.0,,0.42,24.36
2017-12-25,54,42.0,,0.42,22.68
2017-12-26,60,42.0,,0.42,25.2
2017-12-27,60,42.0,,0.42,25.2
2017-12-28,100,42.0,,0.42,42.0
