date,BOOM_unscaled,BOOM_monthly,isPartial,scale,BOOM
2016-06-19,92,79.0,,0.79,72.68
2016-06-20,72,79.0,,0.79,56.88
2016-06-21,69,79.0,,0.79,54.510000000000005
2016-06-22,76,79.0,,0.79,60.040000000000006
2016-06-23,70,79.0,,0.79,55.300000000000004
2016-06-24,75,79.0,,0.79,59.25
2016-06-25,87,79.0,,0.79,68.73
2016-06-26,91,79.0,,0.79,71.89
2016-06-27,86,79.0,,0.79,67.94
2016-06-28,86,79.0,,0.79,67.94
2016-06-29,94,79.0,,0.79,74.26
2016-06-30,100,79.0,,0.79,79.0
2016-07-01,93,81.0,False,0.81,75.33
2016-07-02,95,81.0,,0.81,76.95
2016-07-03,93,81.0,,0.81,75.33
2016-07-04,100,81.0,,0.81,81.0
2016-07-05,75,81.0,,0.81,60.75000000000001
2016-07-06,45,81.0,,0.81,36.45
2016-07-07,47,81.0,,0.81,38.07
2016-07-08,45,81.0,,0.81,36.45
2016-07-09,51,81.0,,0.81,41.31
2016-07-10,51,81.0,,0.81,41.31
2016-07-11,43,81.0,,0.81,34.830000000000005
2016-07-12,45,81.0,,0.81,36.45
2016-07-13,43,81.0,,0.81,34.830000000000005
2016-07-14,44,81.0,,0.81,35.64
2016-07-15,47,81.0,,0.81,38.07
2016-07-16,53,81.0,,0.81,42.93
2016-07-17,49,81.0,,0.81,39.690000000000005
2016-07-18,57,81.0,,0.81,46.17
2016-07-19,47,81.0,,0.81,38.07
2016-07-20,48,81.0,,0.81,38.88
2016-07-21,45,81.0,,0.81,36.45
2016-07-22,42,81.0,,0.81,34.02
2016-07-23,49,81.0,,0.81,39.690000000000005
2016-07-24,50,81.0,,0.81,40.5
2016-07-25,40,81.0,,0.81,32.400000000000006
2016-07-26,41,81.0,,0.81,33.21
2016-07-27,41,81.0,,0.81,33.21
2016-07-28,43,81.0,,0.81,34.830000000000005
2016-07-29,45,81.0,,0.81,36.45
2016-07-30,45,81.0,,0.81,36.45
2016-07-31,48,81.0,,0.81,38.88
2016-08-01,79,64.0,False,0.64,50.56
2016-08-02,86,64.0,,0.64,55.04
2016-08-03,79,64.0,,0.64,50.56
2016-08-04,88,64.0,,0.64,56.32
2016-08-05,84,64.0,,0.64,53.76
2016-08-06,90,64.0,,0.64,57.6
2016-08-07,79,64.0,,0.64,50.56
2016-08-08,81,64.0,,0.64,51.84
2016-08-09,78,64.0,,0.64,49.92
2016-08-10,79,64.0,,0.64,50.56
2016-08-11,78,64.0,,0.64,49.92
2016-08-12,82,64.0,,0.64,52.480000000000004
2016-08-13,85,64.0,,0.64,54.4
2016-08-14,93,64.0,,0.64,59.52
2016-08-15,75,64.0,,0.64,48.0
2016-08-16,76,64.0,,0.64,48.64
2016-08-17,83,64.0,,0.64,53.120000000000005
2016-08-18,90,64.0,,0.64,57.6
2016-08-19,94,64.0,,0.64,60.160000000000004
2016-08-20,96,64.0,,0.64,61.44
2016-08-21,89,64.0,,0.64,56.96
2016-08-22,84,64.0,,0.64,53.76
2016-08-23,83,64.0,,0.64,53.120000000000005
2016-08-24,85,64.0,,0.64,54.4
2016-08-25,94,64.0,,0.64,60.160000000000004
2016-08-26,82,64.0,,0.64,52.480000000000004
2016-08-27,100,64.0,,0.64,64.0
2016-08-28,95,64.0,,0.64,60.800000000000004
2016-08-29,82,64.0,,0.64,52.480000000000004
2016-08-30,89,64.0,,0.64,56.96
2016-08-31,80,64.0,,0.64,51.2
2016-09-01,86,67.0,False,0.67,57.620000000000005
2016-09-02,93,67.0,,0.67,62.31
2016-09-03,97,67.0,,0.67,64.99000000000001
2016-09-04,100,67.0,,0.67,67.0
2016-09-05,86,67.0,,0.67,57.620000000000005
2016-09-06,81,67.0,,0.67,54.27
2016-09-07,75,67.0,,0.67,50.25
2016-09-08,81,67.0,,0.67,54.27
2016-09-09,86,67.0,,0.67,57.620000000000005
2016-09-10,92,67.0,,0.67,61.64
2016-09-11,86,67.0,,0.67,57.620000000000005
2016-09-12,72,67.0,,0.67,48.24
2016-09-13,77,67.0,,0.67,51.59
2016-09-14,73,67.0,,0.67,48.910000000000004
2016-09-15,81,67.0,,0.67,54.27
2016-09-16,78,67.0,,0.67,52.260000000000005
2016-09-17,85,67.0,,0.67,56.95
2016-09-18,83,67.0,,0.67,55.61000000000001
2016-09-19,74,67.0,,0.67,49.580000000000005
2016-09-20,72,67.0,,0.67,48.24
2016-09-21,87,67.0,,0.67,58.290000000000006
2016-09-22,82,67.0,,0.67,54.940000000000005
2016-09-23,88,67.0,,0.67,58.96
2016-09-24,82,67.0,,0.67,54.940000000000005
2016-09-25,87,67.0,,0.67,58.290000000000006
2016-09-26,78,67.0,,0.67,52.260000000000005
2016-09-27,78,67.0,,0.67,52.260000000000005
2016-09-28,81,67.0,,0.67,54.27
2016-09-29,85,67.0,,0.67,56.95
2016-09-30,90,67.0,,0.67,60.300000000000004
2016-10-01,100,65.0,False,0.65,65.0
2016-10-02,92,65.0,,0.65,59.800000000000004
2016-10-03,77,65.0,,0.65,50.050000000000004
2016-10-04,78,65.0,,0.65,50.7
2016-10-05,85,65.0,,0.65,55.25
2016-10-06,85,65.0,,0.65,55.25
2016-10-07,79,65.0,,0.65,51.35
2016-10-08,86,65.0,,0.65,55.9
2016-10-09,84,65.0,,0.65,54.6
2016-10-10,72,65.0,,0.65,46.800000000000004
2016-10-11,79,65.0,,0.65,51.35
2016-10-12,76,65.0,,0.65,49.4
2016-10-13,77,65.0,,0.65,50.050000000000004
2016-10-14,80,65.0,,0.65,52.0
2016-10-15,85,65.0,,0.65,55.25
2016-10-16,90,65.0,,0.65,58.5
2016-10-17,76,65.0,,0.65,49.4
2016-10-18,81,65.0,,0.65,52.65
2016-10-19,71,65.0,,0.65,46.15
2016-10-20,81,65.0,,0.65,52.65
2016-10-21,75,65.0,,0.65,48.75
2016-10-22,82,65.0,,0.65,53.300000000000004
2016-10-23,80,65.0,,0.65,52.0
2016-10-24,79,65.0,,0.65,51.35
2016-10-25,84,65.0,,0.65,54.6
2016-10-26,73,65.0,,0.65,47.45
2016-10-27,81,65.0,,0.65,52.65
2016-10-28,82,65.0,,0.65,53.300000000000004
2016-10-29,96,65.0,,0.65,62.400000000000006
2016-10-30,82,65.0,,0.65,53.300000000000004
2016-10-31,79,65.0,,0.65,51.35
2016-11-01,71,64.0,False,0.64,45.44
2016-11-02,77,64.0,,0.64,49.28
2016-11-03,72,64.0,,0.64,46.08
2016-11-04,77,64.0,,0.64,49.28
2016-11-05,86,64.0,,0.64,55.04
2016-11-06,88,64.0,,0.64,56.32
2016-11-07,73,64.0,,0.64,46.72
2016-11-08,70,64.0,,0.64,44.800000000000004
2016-11-09,48,64.0,,0.64,30.72
2016-11-10,83,64.0,,0.64,53.120000000000005
2016-11-11,83,64.0,,0.64,53.120000000000005
2016-11-12,86,64.0,,0.64,55.04
2016-11-13,83,64.0,,0.64,53.120000000000005
2016-11-14,79,64.0,,0.64,50.56
2016-11-15,81,64.0,,0.64,51.84
2016-11-16,85,64.0,,0.64,54.4
2016-11-17,94,64.0,,0.64,60.160000000000004
2016-11-18,80,64.0,,0.64,51.2
2016-11-19,99,64.0,,0.64,63.36
2016-11-20,88,64.0,,0.64,56.32
2016-11-21,81,64.0,,0.64,51.84
2016-11-22,79,64.0,,0.64,50.56
2016-11-23,81,64.0,,0.64,51.84
2016-11-24,94,64.0,,0.64,60.160000000000004
2016-11-25,100,64.0,,0.64,64.0
2016-11-26,97,64.0,,0.64,62.08
2016-11-27,99,64.0,,0.64,63.36
2016-11-28,85,64.0,,0.64,54.4
2016-11-29,87,64.0,,0.64,55.68
2016-11-30,83,64.0,,0.64,53.120000000000005
2016-12-01,72,69.0,False,0.69,49.67999999999999
2016-12-02,84,69.0,,0.69,57.959999999999994
2016-12-03,92,69.0,,0.69,63.48
2016-12-04,82,69.0,,0.69,56.58
2016-12-05,74,69.0,,0.69,51.059999999999995
2016-12-06,70,69.0,,0.69,48.3
2016-12-07,76,69.0,,0.69,52.44
2016-12-08,77,69.0,,0.69,53.129999999999995
2016-12-09,71,69.0,,0.69,48.989999999999995
2016-12-10,81,69.0,,0.69,55.88999999999999
2016-12-11,84,69.0,,0.69,57.959999999999994
2016-12-12,78,69.0,,0.69,53.81999999999999
2016-12-13,80,69.0,,0.69,55.199999999999996
2016-12-14,77,69.0,,0.69,53.129999999999995
2016-12-15,78,69.0,,0.69,53.81999999999999
2016-12-16,79,69.0,,0.69,54.51
2016-12-17,87,69.0,,0.69,60.029999999999994
2016-12-18,87,69.0,,0.69,60.029999999999994
2016-12-19,76,69.0,,0.69,52.44
2016-12-20,79,69.0,,0.69,54.51
2016-12-21,77,69.0,,0.69,53.129999999999995
2016-12-22,78,69.0,,0.69,53.81999999999999
2016-12-23,79,69.0,,0.69,54.51
2016-12-24,87,69.0,,0.69,60.029999999999994
2016-12-25,100,69.0,,0.69,69.0
2016-12-26,81,69.0,,0.69,55.88999999999999
2016-12-27,69,69.0,,0.69,47.61
2016-12-28,77,69.0,,0.69,53.129999999999995
2016-12-29,75,69.0,,0.69,51.74999999999999
2016-12-30,74,69.0,,0.69,51.059999999999995
2016-12-31,82,69.0,,0.69,56.58
2017-01-01,100,66.0,False,0.66,66.0
2017-01-02,83,66.0,,0.66,54.78
2017-01-03,77,66.0,,0.66,50.82
2017-01-04,78,66.0,,0.66,51.480000000000004
2017-01-05,82,66.0,,0.66,54.120000000000005
2017-01-06,87,66.0,,0.66,57.42
2017-01-07,94,66.0,,0.66,62.040000000000006
2017-01-08,85,66.0,,0.66,56.1
2017-01-09,71,66.0,,0.66,46.86
2017-01-10,81,66.0,,0.66,53.46
2017-01-11,82,66.0,,0.66,54.120000000000005
2017-01-12,81,66.0,,0.66,53.46
2017-01-13,83,66.0,,0.66,54.78
2017-01-14,97,66.0,,0.66,64.02
2017-01-15,90,66.0,,0.66,59.400000000000006
2017-01-16,86,66.0,,0.66,56.760000000000005
2017-01-17,77,66.0,,0.66,50.82
2017-01-18,78,66.0,,0.66,51.480000000000004
2017-01-19,79,66.0,,0.66,52.14
2017-01-20,77,66.0,,0.66,50.82
2017-01-21,88,66.0,,0.66,58.080000000000005
2017-01-22,77,66.0,,0.66,50.82
2017-01-23,73,66.0,,0.66,48.18
2017-01-24,76,66.0,,0.66,50.160000000000004
2017-01-25,75,66.0,,0.66,49.5
2017-01-26,77,66.0,,0.66,50.82
2017-01-27,80,66.0,,0.66,52.800000000000004
2017-01-28,89,66.0,,0.66,58.74
2017-01-29,88,66.0,,0.66,58.080000000000005
2017-01-30,77,66.0,,0.66,50.82
2017-01-31,75,66.0,,0.66,49.5
2017-02-01,61,65.0,False,0.65,39.65
2017-02-02,56,65.0,,0.65,36.4
2017-02-03,61,65.0,,0.65,39.65
2017-02-04,64,65.0,,0.65,41.6
2017-02-05,69,65.0,,0.65,44.85
2017-02-06,56,65.0,,0.65,36.4
2017-02-07,56,65.0,,0.65,36.4
2017-02-08,60,65.0,,0.65,39.0
2017-02-09,58,65.0,,0.65,37.7
2017-02-10,64,65.0,,0.65,41.6
2017-02-11,67,65.0,,0.65,43.550000000000004
2017-02-12,65,65.0,,0.65,42.25
2017-02-13,59,65.0,,0.65,38.35
2017-02-14,52,65.0,,0.65,33.800000000000004
2017-02-15,58,65.0,,0.65,37.7
2017-02-16,61,65.0,,0.65,39.65
2017-02-17,60,65.0,,0.65,39.0
2017-02-18,100,65.0,,0.65,65.0
2017-02-19,74,65.0,,0.65,48.1
2017-02-20,62,65.0,,0.65,40.300000000000004
2017-02-21,57,65.0,,0.65,37.050000000000004
2017-02-22,59,65.0,,0.65,38.35
2017-02-23,57,65.0,,0.65,37.050000000000004
2017-02-24,61,65.0,,0.65,39.65
2017-02-25,65,65.0,,0.65,42.25
2017-02-26,67,65.0,,0.65,43.550000000000004
2017-02-27,57,65.0,,0.65,37.050000000000004
2017-02-28,53,65.0,,0.65,34.45
2017-03-01,80,67.0,False,0.67,53.6
2017-03-02,82,67.0,,0.67,54.940000000000005
2017-03-03,88,67.0,,0.67,58.96
2017-03-04,89,67.0,,0.67,59.63
2017-03-05,92,67.0,,0.67,61.64
2017-03-06,84,67.0,,0.67,56.28
2017-03-07,85,67.0,,0.67,56.95
2017-03-08,84,67.0,,0.67,56.28
2017-03-09,85,67.0,,0.67,56.95
2017-03-10,91,67.0,,0.67,60.970000000000006
2017-03-11,90,67.0,,0.67,60.300000000000004
2017-03-12,84,67.0,,0.67,56.28
2017-03-13,73,67.0,,0.67,48.910000000000004
2017-03-14,79,67.0,,0.67,52.93
2017-03-15,81,67.0,,0.67,54.27
2017-03-16,84,67.0,,0.67,56.28
2017-03-17,88,67.0,,0.67,58.96
2017-03-18,96,67.0,,0.67,64.32000000000001
2017-03-19,90,67.0,,0.67,60.300000000000004
2017-03-20,94,67.0,,0.67,62.980000000000004
2017-03-21,91,67.0,,0.67,60.970000000000006
2017-03-22,94,67.0,,0.67,62.980000000000004
2017-03-23,85,67.0,,0.67,56.95
2017-03-24,88,67.0,,0.67,58.96
2017-03-25,100,67.0,,0.67,67.0
2017-03-26,100,67.0,,0.67,67.0
2017-03-27,85,67.0,,0.67,56.95
2017-03-28,89,67.0,,0.67,59.63
2017-03-29,87,67.0,,0.67,58.290000000000006
2017-03-30,87,67.0,,0.67,58.290000000000006
2017-03-31,90,67.0,,0.67,60.300000000000004
2017-04-01,94,66.0,False,0.66,62.040000000000006
2017-04-02,97,66.0,,0.66,64.02
2017-04-03,84,66.0,,0.66,55.440000000000005
2017-04-04,82,66.0,,0.66,54.120000000000005
2017-04-05,83,66.0,,0.66,54.78
2017-04-06,86,66.0,,0.66,56.760000000000005
2017-04-07,89,66.0,,0.66,58.74
2017-04-08,91,66.0,,0.66,60.06
2017-04-09,94,66.0,,0.66,62.040000000000006
2017-04-10,79,66.0,,0.66,52.14
2017-04-11,81,66.0,,0.66,53.46
2017-04-12,83,66.0,,0.66,54.78
2017-04-13,97,66.0,,0.66,64.02
2017-04-14,81,66.0,,0.66,53.46
2017-04-15,92,66.0,,0.66,60.720000000000006
2017-04-16,100,66.0,,0.66,66.0
2017-04-17,90,66.0,,0.66,59.400000000000006
2017-04-18,82,66.0,,0.66,54.120000000000005
2017-04-19,83,66.0,,0.66,54.78
2017-04-20,80,66.0,,0.66,52.800000000000004
2017-04-21,93,66.0,,0.66,61.38
2017-04-22,90,66.0,,0.66,59.400000000000006
2017-04-23,90,66.0,,0.66,59.400000000000006
2017-04-24,86,66.0,,0.66,56.760000000000005
2017-04-25,91,66.0,,0.66,60.06
2017-04-26,80,66.0,,0.66,52.800000000000004
2017-04-27,87,66.0,,0.66,57.42
2017-04-28,86,66.0,,0.66,56.760000000000005
2017-04-29,97,66.0,,0.66,64.02
2017-04-30,91,66.0,,0.66,60.06
2017-05-01,82,68.0,False,0.68,55.760000000000005
2017-05-02,80,68.0,,0.68,54.400000000000006
2017-05-03,81,68.0,,0.68,55.080000000000005
2017-05-04,89,68.0,,0.68,60.52
2017-05-05,82,68.0,,0.68,55.760000000000005
2017-05-06,88,68.0,,0.68,59.84
2017-05-07,100,68.0,,0.68,68.0
2017-05-08,89,68.0,,0.68,60.52
2017-05-09,84,68.0,,0.68,57.120000000000005
2017-05-10,82,68.0,,0.68,55.760000000000005
2017-05-11,80,68.0,,0.68,54.400000000000006
2017-05-12,84,68.0,,0.68,57.120000000000005
2017-05-13,91,68.0,,0.68,61.88
2017-05-14,87,68.0,,0.68,59.160000000000004
2017-05-15,80,68.0,,0.68,54.400000000000006
2017-05-16,84,68.0,,0.68,57.120000000000005
2017-05-17,80,68.0,,0.68,54.400000000000006
2017-05-18,86,68.0,,0.68,58.480000000000004
2017-05-19,80,68.0,,0.68,54.400000000000006
2017-05-20,93,68.0,,0.68,63.24
2017-05-21,91,68.0,,0.68,61.88
2017-05-22,78,68.0,,0.68,53.040000000000006
2017-05-23,87,68.0,,0.68,59.160000000000004
2017-05-24,82,68.0,,0.68,55.760000000000005
2017-05-25,92,68.0,,0.68,62.56
2017-05-26,88,68.0,,0.68,59.84
2017-05-27,85,68.0,,0.68,57.800000000000004
2017-05-28,100,68.0,,0.68,68.0
2017-05-29,97,68.0,,0.68,65.96000000000001
2017-05-30,99,68.0,,0.68,67.32000000000001
2017-05-31,90,68.0,,0.68,61.2
2017-06-01,77,73.0,False,0.73,56.21
2017-06-02,73,73.0,,0.73,53.29
2017-06-03,76,73.0,,0.73,55.48
2017-06-04,80,73.0,,0.73,58.4
2017-06-05,70,73.0,,0.73,51.1
2017-06-06,74,73.0,,0.73,54.019999999999996
2017-06-07,77,73.0,,0.73,56.21
2017-06-08,72,73.0,,0.73,52.56
2017-06-09,76,73.0,,0.73,55.48
2017-06-10,79,73.0,,0.73,57.67
2017-06-11,81,73.0,,0.73,59.129999999999995
2017-06-12,72,73.0,,0.73,52.56
2017-06-13,73,73.0,,0.73,53.29
2017-06-14,76,73.0,,0.73,55.48
2017-06-15,82,73.0,,0.73,59.86
2017-06-16,80,73.0,,0.73,58.4
2017-06-17,88,73.0,,0.73,64.24
2017-06-18,84,73.0,,0.73,61.32
2017-06-19,83,73.0,,0.73,60.589999999999996
2017-06-20,75,73.0,,0.73,54.75
2017-06-21,78,73.0,,0.73,56.94
2017-06-22,81,73.0,,0.73,59.129999999999995
2017-06-23,81,73.0,,0.73,59.129999999999995
2017-06-24,93,73.0,,0.73,67.89
2017-06-25,93,73.0,,0.73,67.89
2017-06-26,88,73.0,,0.73,64.24
2017-06-27,86,73.0,,0.73,62.78
2017-06-28,87,73.0,,0.73,63.51
2017-06-29,87,73.0,,0.73,63.51
2017-06-30,100,73.0,,0.73,73.0
2017-07-01,49,76.0,False,0.76,37.24
2017-07-02,63,76.0,,0.76,47.88
2017-07-03,96,76.0,,0.76,72.96000000000001
2017-07-04,100,76.0,,0.76,76.0
2017-07-05,51,76.0,,0.76,38.76
2017-07-06,33,76.0,,0.76,25.080000000000002
2017-07-07,35,76.0,,0.76,26.6
2017-07-08,37,76.0,,0.76,28.12
2017-07-09,40,76.0,,0.76,30.4
2017-07-10,30,76.0,,0.76,22.8
2017-07-11,33,76.0,,0.76,25.080000000000002
2017-07-12,32,76.0,,0.76,24.32
2017-07-13,34,76.0,,0.76,25.84
2017-07-14,34,76.0,,0.76,25.84
2017-07-15,41,76.0,,0.76,31.16
2017-07-16,37,76.0,,0.76,28.12
2017-07-17,31,76.0,,0.76,23.56
2017-07-18,31,76.0,,0.76,23.56
2017-07-19,32,76.0,,0.76,24.32
2017-07-20,28,76.0,,0.76,21.28
2017-07-21,35,76.0,,0.76,26.6
2017-07-22,38,76.0,,0.76,28.88
2017-07-23,34,76.0,,0.76,25.84
2017-07-24,31,76.0,,0.76,23.56
2017-07-25,33,76.0,,0.76,25.080000000000002
2017-07-26,33,76.0,,0.76,25.080000000000002
2017-07-27,35,76.0,,0.76,26.6
2017-07-28,33,76.0,,0.76,25.080000000000002
2017-07-29,36,76.0,,0.76,27.36
2017-07-30,40,76.0,,0.76,30.4
2017-07-31,36,76.0,,0.76,27.36
2017-08-01,91,65.0,False,0.65,59.15
2017-08-02,96,65.0,,0.65,62.400000000000006
2017-08-03,89,65.0,,0.65,57.85
2017-08-04,90,65.0,,0.65,58.5
2017-08-05,100,65.0,,0.65,65.0
2017-08-06,89,65.0,,0.65,57.85
2017-08-07,83,65.0,,0.65,53.95
2017-08-08,84,65.0,,0.65,54.6
2017-08-09,90,65.0,,0.65,58.5
2017-08-10,93,65.0,,0.65,60.45
2017-08-11,96,65.0,,0.65,62.400000000000006
2017-08-12,99,65.0,,0.65,64.35000000000001
2017-08-13,90,65.0,,0.65,58.5
2017-08-14,82,65.0,,0.65,53.300000000000004
2017-08-15,88,65.0,,0.65,57.2
2017-08-16,86,65.0,,0.65,55.9
2017-08-17,79,65.0,,0.65,51.35
2017-08-18,79,65.0,,0.65,51.35
2017-08-19,94,65.0,,0.65,61.1
2017-08-20,92,65.0,,0.65,59.800000000000004
2017-08-21,78,65.0,,0.65,50.7
2017-08-22,90,65.0,,0.65,58.5
2017-08-23,84,65.0,,0.65,54.6
2017-08-24,84,65.0,,0.65,54.6
2017-08-25,90,65.0,,0.65,58.5
2017-08-26,95,65.0,,0.65,61.75
2017-08-27,91,65.0,,0.65,59.15
2017-08-28,91,65.0,,0.65,59.15
2017-08-29,90,65.0,,0.65,58.5
2017-08-30,87,65.0,,0.65,56.550000000000004
2017-08-31,96,65.0,,0.65,62.400000000000006
2017-09-01,93,63.0,False,0.63,58.59
2017-09-02,100,63.0,,0.63,63.0
2017-09-03,95,63.0,,0.63,59.85
2017-09-04,85,63.0,,0.63,53.55
2017-09-05,71,63.0,,0.63,44.73
2017-09-06,75,63.0,,0.63,47.25
2017-09-07,76,63.0,,0.63,47.88
2017-09-08,75,63.0,,0.63,47.25
2017-09-09,72,63.0,,0.63,45.36
2017-09-10,78,63.0,,0.63,49.14
2017-09-11,67,63.0,,0.63,42.21
2017-09-12,74,63.0,,0.63,46.62
2017-09-13,79,63.0,,0.63,49.77
2017-09-14,77,63.0,,0.63,48.51
2017-09-15,84,63.0,,0.63,52.92
2017-09-16,84,63.0,,0.63,52.92
2017-09-17,88,63.0,,0.63,55.44
2017-09-18,71,63.0,,0.63,44.73
2017-09-19,80,63.0,,0.63,50.4
2017-09-20,82,63.0,,0.63,51.660000000000004
2017-09-21,72,63.0,,0.63,45.36
2017-09-22,79,63.0,,0.63,49.77
2017-09-23,85,63.0,,0.63,53.55
2017-09-24,79,63.0,,0.63,49.77
2017-09-25,77,63.0,,0.63,48.51
2017-09-26,74,63.0,,0.63,46.62
2017-09-27,81,63.0,,0.63,51.03
2017-09-28,83,63.0,,0.63,52.29
2017-09-29,85,63.0,,0.63,53.55
2017-09-30,94,63.0,,0.63,59.22
2017-10-01,90,61.0,False,0.61,54.9
2017-10-02,82,61.0,,0.61,50.019999999999996
2017-10-03,74,61.0,,0.61,45.14
2017-10-04,87,61.0,,0.61,53.07
2017-10-05,84,61.0,,0.61,51.24
2017-10-06,81,61.0,,0.61,49.41
2017-10-07,92,61.0,,0.61,56.12
2017-10-08,94,61.0,,0.61,57.339999999999996
2017-10-09,97,61.0,,0.61,59.17
2017-10-10,89,61.0,,0.61,54.29
2017-10-11,86,61.0,,0.61,52.46
2017-10-12,96,61.0,,0.61,58.56
2017-10-13,86,61.0,,0.61,52.46
2017-10-14,92,61.0,,0.61,56.12
2017-10-15,93,61.0,,0.61,56.73
2017-10-16,89,61.0,,0.61,54.29
2017-10-17,84,61.0,,0.61,51.24
2017-10-18,89,61.0,,0.61,54.29
2017-10-19,89,61.0,,0.61,54.29
2017-10-20,92,61.0,,0.61,56.12
2017-10-21,96,61.0,,0.61,58.56
2017-10-22,98,61.0,,0.61,59.78
2017-10-23,92,61.0,,0.61,56.12
2017-10-24,85,61.0,,0.61,51.85
2017-10-25,94,61.0,,0.61,57.339999999999996
2017-10-26,85,61.0,,0.61,51.85
2017-10-27,93,61.0,,0.61,56.73
2017-10-28,100,61.0,,0.61,61.0
2017-10-29,98,61.0,,0.61,59.78
2017-10-30,85,61.0,,0.61,51.85
2017-10-31,86,61.0,,0.61,52.46
2017-11-01,71,67.0,False,0.67,47.57
2017-11-02,72,67.0,,0.67,48.24
2017-11-03,75,67.0,,0.67,50.25
2017-11-04,71,67.0,,0.67,47.57
2017-11-05,74,67.0,,0.67,49.580000000000005
2017-11-06,67,67.0,,0.67,44.89
2017-11-07,74,67.0,,0.67,49.580000000000005
2017-11-08,70,67.0,,0.67,46.900000000000006
2017-11-09,72,67.0,,0.67,48.24
2017-11-10,79,67.0,,0.67,52.93
2017-11-11,74,67.0,,0.67,49.580000000000005
2017-11-12,82,67.0,,0.67,54.940000000000005
2017-11-13,72,67.0,,0.67,48.24
2017-11-14,79,67.0,,0.67,52.93
2017-11-15,86,67.0,,0.67,57.620000000000005
2017-11-16,75,67.0,,0.67,50.25
2017-11-17,75,67.0,,0.67,50.25
2017-11-18,79,67.0,,0.67,52.93
2017-11-19,83,67.0,,0.67,55.61000000000001
2017-11-20,72,67.0,,0.67,48.24
2017-11-21,82,67.0,,0.67,54.940000000000005
2017-11-22,71,67.0,,0.67,47.57
2017-11-23,85,67.0,,0.67,56.95
2017-11-24,100,67.0,,0.67,67.0
2017-11-25,88,67.0,,0.67,58.96
2017-11-26,81,67.0,,0.67,54.27
2017-11-27,79,67.0,,0.67,52.93
2017-11-28,80,67.0,,0.67,53.6
2017-11-29,75,67.0,,0.67,50.25
2017-11-30,76,67.0,,0.67,50.92
2017-12-01,80,66.0,False,0.66,52.800000000000004
2017-12-02,80,66.0,,0.66,52.800000000000004
2017-12-03,83,66.0,,0.66,54.78
2017-12-04,80,66.0,,0.66,52.800000000000004
2017-12-05,84,66.0,,0.66,55.440000000000005
2017-12-06,77,66.0,,0.66,50.82
2017-12-07,82,66.0,,0.66,54.120000000000005
2017-12-08,82,66.0,,0.66,54.120000000000005
2017-12-09,100,66.0,,0.66,66.0
2017-12-10,94,66.0,,0.66,62.040000000000006
2017-12-11,87,66.0,,0.66,57.42
2017-12-12,84,66.0,,0.66,55.440000000000005
2017-12-13,77,66.0,,0.66,50.82
2017-12-14,82,66.0,,0.66,54.120000000000005
2017-12-15,78,66.0,,0.66,51.480000000000004
2017-12-16,85,66.0,,0.66,56.1
2017-12-17,87,66.0,,0.66,57.42
2017-12-18,84,66.0,,0.66,55.440000000000005
2017-12-19,87,66.0,,0.66,57.42
