date,TTWO_unscaled,TTWO_monthly,isPartial,scale,TTWO
2017-02-13,0,24.0,,0.24,0.0
2017-02-14,39,24.0,,0.24,9.36
2017-02-15,39,24.0,,0.24,9.36
2017-02-16,48,24.0,,0.24,11.52
2017-02-17,68,24.0,,0.24,16.32
2017-02-18,12,24.0,,0.24,2.88
2017-02-19,0,24.0,,0.24,0.0
2017-02-20,20,24.0,,0.24,4.8
2017-02-21,29,24.0,,0.24,6.96
2017-02-22,48,24.0,,0.24,11.52
2017-02-23,19,24.0,,0.24,4.56
2017-02-24,59,24.0,,0.24,14.16
2017-02-25,11,24.0,,0.24,2.6399999999999997
2017-02-26,0,24.0,,0.24,0.0
2017-02-27,44,24.0,,0.24,10.559999999999999
2017-02-28,100,24.0,,0.24,24.0
2017-03-01,51,18.0,False,0.18,9.18
2017-03-02,66,18.0,,0.18,11.879999999999999
2017-03-03,14,18.0,,0.18,2.52
2017-03-04,65,18.0,,0.18,11.7
2017-03-05,0,18.0,,0.18,0.0
2017-03-06,64,18.0,,0.18,11.52
2017-03-07,38,18.0,,0.18,6.84
2017-03-08,80,18.0,,0.18,14.399999999999999
2017-03-09,27,18.0,,0.18,4.859999999999999
2017-03-10,69,18.0,,0.18,12.42
2017-03-11,0,18.0,,0.18,0.0
2017-03-12,15,18.0,,0.18,2.6999999999999997
2017-03-13,63,18.0,,0.18,11.34
2017-03-14,13,18.0,,0.18,2.34
2017-03-15,55,18.0,,0.18,9.9
2017-03-16,14,18.0,,0.18,2.52
2017-03-17,100,18.0,,0.18,18.0
2017-03-18,0,18.0,,0.18,0.0
2017-03-19,16,18.0,,0.18,2.88
2017-03-20,95,18.0,,0.18,17.099999999999998
2017-03-21,68,18.0,,0.18,12.24
2017-03-22,55,18.0,,0.18,9.9
2017-03-23,28,18.0,,0.18,5.04
2017-03-24,28,18.0,,0.18,5.04
2017-03-25,0,18.0,,0.18,0.0
2017-03-26,0,18.0,,0.18,0.0
2017-03-27,41,18.0,,0.18,7.38
2017-03-28,41,18.0,,0.18,7.38
2017-03-29,41,18.0,,0.18,7.38
2017-03-30,84,18.0,,0.18,15.12
2017-03-31,28,18.0,,0.18,5.04
2017-04-01,14,15.0,False,0.15,2.1
2017-04-02,43,15.0,,0.15,6.45
