date,NEXT_unscaled,NEXT_monthly,isPartial,scale,NEXT
2016-08-14,54,75.0,,0.75,40.5
2016-08-15,51,75.0,,0.75,38.25
2016-08-16,53,75.0,,0.75,39.75
2016-08-17,52,75.0,,0.75,39.0
2016-08-18,52,75.0,,0.75,39.0
2016-08-19,49,75.0,,0.75,36.75
2016-08-20,52,75.0,,0.75,39.0
2016-08-21,57,75.0,,0.75,42.75
2016-08-22,59,75.0,,0.75,44.25
2016-08-23,49,75.0,,0.75,36.75
2016-08-24,51,75.0,,0.75,38.25
2016-08-25,51,75.0,,0.75,38.25
2016-08-26,49,75.0,,0.75,36.75
2016-08-27,51,75.0,,0.75,38.25
2016-08-28,53,75.0,,0.75,39.75
2016-08-29,48,75.0,,0.75,36.0
2016-08-30,49,75.0,,0.75,36.75
2016-08-31,76,75.0,,0.75,57.0
2016-09-01,80,74.0,False,0.74,59.2
2016-09-02,79,74.0,,0.74,58.46
2016-09-03,76,74.0,,0.74,56.24
2016-09-04,82,74.0,,0.74,60.68
2016-09-05,84,74.0,,0.74,62.16
2016-09-06,84,74.0,,0.74,62.16
2016-09-07,83,74.0,,0.74,61.42
2016-09-08,83,74.0,,0.74,61.42
2016-09-09,81,74.0,,0.74,59.94
2016-09-10,84,74.0,,0.74,62.16
2016-09-11,86,74.0,,0.74,63.64
2016-09-12,78,74.0,,0.74,57.72
2016-09-13,83,74.0,,0.74,61.42
2016-09-14,79,74.0,,0.74,58.46
2016-09-15,82,74.0,,0.74,60.68
2016-09-16,83,74.0,,0.74,61.42
2016-09-17,86,74.0,,0.74,63.64
2016-09-18,86,74.0,,0.74,63.64
2016-09-19,78,74.0,,0.74,57.72
2016-09-20,76,74.0,,0.74,56.24
2016-09-21,76,74.0,,0.74,56.24
2016-09-22,76,74.0,,0.74,56.24
2016-09-23,74,74.0,,0.74,54.76
2016-09-24,77,74.0,,0.74,56.98
2016-09-25,86,74.0,,0.74,63.64
2016-09-26,80,74.0,,0.74,59.2
2016-09-27,100,74.0,,0.74,74.0
2016-09-28,88,74.0,,0.74,65.12
2016-09-29,84,74.0,,0.74,62.16
2016-09-30,83,74.0,,0.74,61.42
2016-10-01,87,79.0,False,0.79,68.73
2016-10-02,95,79.0,,0.79,75.05
2016-10-03,88,79.0,,0.79,69.52000000000001
2016-10-04,88,79.0,,0.79,69.52000000000001
2016-10-05,85,79.0,,0.79,67.15
2016-10-06,84,79.0,,0.79,66.36
2016-10-07,79,79.0,,0.79,62.410000000000004
2016-10-08,84,79.0,,0.79,66.36
2016-10-09,97,79.0,,0.79,76.63000000000001
2016-10-10,91,79.0,,0.79,71.89
2016-10-11,86,79.0,,0.79,67.94
2016-10-12,90,79.0,,0.79,71.10000000000001
2016-10-13,88,79.0,,0.79,69.52000000000001
2016-10-14,86,79.0,,0.79,67.94
2016-10-15,95,79.0,,0.79,75.05
2016-10-16,100,79.0,,0.79,79.0
2016-10-17,93,79.0,,0.79,73.47
2016-10-18,92,79.0,,0.79,72.68
2016-10-19,91,79.0,,0.79,71.89
2016-10-20,84,79.0,,0.79,66.36
2016-10-21,80,79.0,,0.79,63.2
2016-10-22,82,79.0,,0.79,64.78
2016-10-23,83,79.0,,0.79,65.57000000000001
2016-10-24,79,79.0,,0.79,62.410000000000004
2016-10-25,78,79.0,,0.79,61.620000000000005
2016-10-26,79,79.0,,0.79,62.410000000000004
2016-10-27,81,79.0,,0.79,63.99
2016-10-28,79,79.0,,0.79,62.410000000000004
2016-10-29,79,79.0,,0.79,62.410000000000004
2016-10-30,88,79.0,,0.79,69.52000000000001
2016-10-31,87,79.0,,0.79,68.73
2016-11-01,65,76.0,False,0.76,49.4
2016-11-02,64,76.0,,0.76,48.64
2016-11-03,61,76.0,,0.76,46.36
2016-11-04,61,76.0,,0.76,46.36
2016-11-05,66,76.0,,0.76,50.160000000000004
2016-11-06,68,76.0,,0.76,51.68
2016-11-07,62,76.0,,0.76,47.12
2016-11-08,67,76.0,,0.76,50.92
2016-11-09,100,76.0,,0.76,76.0
2016-11-10,68,76.0,,0.76,51.68
2016-11-11,63,76.0,,0.76,47.88
2016-11-12,72,76.0,,0.76,54.72
2016-11-13,75,76.0,,0.76,57.0
2016-11-14,67,76.0,,0.76,50.92
2016-11-15,63,76.0,,0.76,47.88
2016-11-16,59,76.0,,0.76,44.84
2016-11-17,59,76.0,,0.76,44.84
2016-11-18,59,76.0,,0.76,44.84
2016-11-19,60,76.0,,0.76,45.6
2016-11-20,63,76.0,,0.76,47.88
2016-11-21,60,76.0,,0.76,45.6
2016-11-22,59,76.0,,0.76,44.84
2016-11-23,57,76.0,,0.76,43.32
2016-11-24,51,76.0,,0.76,38.76
2016-11-25,55,76.0,,0.76,41.8
2016-11-26,61,76.0,,0.76,46.36
2016-11-27,65,76.0,,0.76,49.4
2016-11-28,57,76.0,,0.76,43.32
2016-11-29,56,76.0,,0.76,42.56
2016-11-30,59,76.0,,0.76,44.84
2016-12-01,89,71.0,False,0.71,63.19
2016-12-02,89,71.0,,0.71,63.19
2016-12-03,94,71.0,,0.71,66.74
2016-12-04,100,71.0,,0.71,71.0
2016-12-05,90,71.0,,0.71,63.9
2016-12-06,88,71.0,,0.71,62.48
2016-12-07,90,71.0,,0.71,63.9
2016-12-08,89,71.0,,0.71,63.19
2016-12-09,88,71.0,,0.71,62.48
2016-12-10,94,71.0,,0.71,66.74
2016-12-11,97,71.0,,0.71,68.86999999999999
2016-12-12,91,71.0,,0.71,64.61
2016-12-13,94,71.0,,0.71,66.74
2016-12-14,93,71.0,,0.71,66.03
2016-12-15,88,71.0,,0.71,62.48
2016-12-16,88,71.0,,0.71,62.48
2016-12-17,93,71.0,,0.71,66.03
2016-12-18,90,71.0,,0.71,63.9
2016-12-19,89,71.0,,0.71,63.19
2016-12-20,92,71.0,,0.71,65.32
2016-12-21,93,71.0,,0.71,66.03
2016-12-22,90,71.0,,0.71,63.9
2016-12-23,85,71.0,,0.71,60.349999999999994
2016-12-24,86,71.0,,0.71,61.059999999999995
2016-12-25,89,71.0,,0.71,63.19
2016-12-26,90,71.0,,0.71,63.9
2016-12-27,98,71.0,,0.71,69.58
2016-12-28,99,71.0,,0.71,70.28999999999999
2016-12-29,94,71.0,,0.71,66.74
2016-12-30,99,71.0,,0.71,70.28999999999999
2016-12-31,99,71.0,,0.71,70.28999999999999
2017-01-01,72,78.0,False,0.78,56.160000000000004
2017-01-02,83,78.0,,0.78,64.74000000000001
2017-01-03,69,78.0,,0.78,53.82
2017-01-04,69,78.0,,0.78,53.82
2017-01-05,68,78.0,,0.78,53.04
2017-01-06,68,78.0,,0.78,53.04
2017-01-07,78,78.0,,0.78,60.84
2017-01-08,100,78.0,,0.78,78.0
2017-01-09,81,78.0,,0.78,63.18
2017-01-10,68,78.0,,0.78,53.04
2017-01-11,69,78.0,,0.78,53.82
2017-01-12,70,78.0,,0.78,54.6
2017-01-13,67,78.0,,0.78,52.260000000000005
2017-01-14,74,78.0,,0.78,57.72
2017-01-15,79,78.0,,0.78,61.620000000000005
2017-01-16,94,78.0,,0.78,73.32000000000001
2017-01-17,72,78.0,,0.78,56.160000000000004
2017-01-18,68,78.0,,0.78,53.04
2017-01-19,67,78.0,,0.78,52.260000000000005
2017-01-20,70,78.0,,0.78,54.6
2017-01-21,71,78.0,,0.78,55.38
2017-01-22,72,78.0,,0.78,56.160000000000004
2017-01-23,77,78.0,,0.78,60.06
2017-01-24,72,78.0,,0.78,56.160000000000004
2017-01-25,66,78.0,,0.78,51.480000000000004
2017-01-26,65,78.0,,0.78,50.7
2017-01-27,67,78.0,,0.78,52.260000000000005
2017-01-28,69,78.0,,0.78,53.82
2017-01-29,73,78.0,,0.78,56.940000000000005
2017-01-30,65,78.0,,0.78,50.7
2017-01-31,72,78.0,,0.78,56.160000000000004
2017-02-01,87,75.0,False,0.75,65.25
2017-02-02,79,75.0,,0.75,59.25
2017-02-03,80,75.0,,0.75,60.0
2017-02-04,84,75.0,,0.75,63.0
2017-02-05,85,75.0,,0.75,63.75
2017-02-06,78,75.0,,0.75,58.5
2017-02-07,81,75.0,,0.75,60.75
2017-02-08,77,75.0,,0.75,57.75
2017-02-09,81,75.0,,0.75,60.75
2017-02-10,81,75.0,,0.75,60.75
2017-02-11,89,75.0,,0.75,66.75
2017-02-12,85,75.0,,0.75,63.75
2017-02-13,77,75.0,,0.75,57.75
2017-02-14,100,75.0,,0.75,75.0
2017-02-15,85,75.0,,0.75,63.75
2017-02-16,80,75.0,,0.75,60.0
2017-02-17,78,75.0,,0.75,58.5
2017-02-18,83,75.0,,0.75,62.25
2017-02-19,83,75.0,,0.75,62.25
2017-02-20,79,75.0,,0.75,59.25
2017-02-21,82,75.0,,0.75,61.5
2017-02-22,81,75.0,,0.75,60.75
2017-02-23,79,75.0,,0.75,59.25
2017-02-24,75,75.0,,0.75,56.25
2017-02-25,82,75.0,,0.75,61.5
2017-02-26,80,75.0,,0.75,60.0
2017-02-27,81,75.0,,0.75,60.75
2017-02-28,81,75.0,,0.75,60.75
2017-03-01,84,74.0,False,0.74,62.16
2017-03-02,88,74.0,,0.74,65.12
2017-03-03,85,74.0,,0.74,62.9
2017-03-04,87,74.0,,0.74,64.38
2017-03-05,94,74.0,,0.74,69.56
2017-03-06,89,74.0,,0.74,65.86
2017-03-07,88,74.0,,0.74,65.12
2017-03-08,89,74.0,,0.74,65.86
2017-03-09,93,74.0,,0.74,68.82
2017-03-10,93,74.0,,0.74,68.82
2017-03-11,98,74.0,,0.74,72.52
2017-03-12,97,74.0,,0.74,71.78
2017-03-13,83,74.0,,0.74,61.42
2017-03-14,86,74.0,,0.74,63.64
2017-03-15,88,74.0,,0.74,65.12
2017-03-16,84,74.0,,0.74,62.16
2017-03-17,89,74.0,,0.74,65.86
2017-03-18,96,74.0,,0.74,71.03999999999999
2017-03-19,100,74.0,,0.74,74.0
2017-03-20,90,74.0,,0.74,66.6
2017-03-21,87,74.0,,0.74,64.38
2017-03-22,84,74.0,,0.74,62.16
2017-03-23,82,74.0,,0.74,60.68
2017-03-24,88,74.0,,0.74,65.12
2017-03-25,93,74.0,,0.74,68.82
2017-03-26,94,74.0,,0.74,69.56
2017-03-27,84,74.0,,0.74,62.16
2017-03-28,84,74.0,,0.74,62.16
2017-03-29,83,74.0,,0.74,61.42
2017-03-30,85,74.0,,0.74,62.9
2017-03-31,80,74.0,,0.74,59.2
2017-04-01,91,74.0,False,0.74,67.34
2017-04-02,94,74.0,,0.74,69.56
2017-04-03,87,74.0,,0.74,64.38
2017-04-04,88,74.0,,0.74,65.12
2017-04-05,88,74.0,,0.74,65.12
2017-04-06,89,74.0,,0.74,65.86
2017-04-07,86,74.0,,0.74,63.64
2017-04-08,96,74.0,,0.74,71.03999999999999
2017-04-09,95,74.0,,0.74,70.3
2017-04-10,90,74.0,,0.74,66.6
2017-04-11,88,74.0,,0.74,65.12
2017-04-12,85,74.0,,0.74,62.9
2017-04-13,87,74.0,,0.74,64.38
2017-04-14,85,74.0,,0.74,62.9
2017-04-15,91,74.0,,0.74,67.34
2017-04-16,94,74.0,,0.74,69.56
2017-04-17,91,74.0,,0.74,67.34
2017-04-18,85,74.0,,0.74,62.9
2017-04-19,88,74.0,,0.74,65.12
2017-04-20,88,74.0,,0.74,65.12
2017-04-21,89,74.0,,0.74,65.86
2017-04-22,95,74.0,,0.74,70.3
2017-04-23,100,74.0,,0.74,74.0
2017-04-24,89,74.0,,0.74,65.86
2017-04-25,91,74.0,,0.74,67.34
2017-04-26,92,74.0,,0.74,68.08
2017-04-27,89,74.0,,0.74,65.86
2017-04-28,90,74.0,,0.74,66.6
2017-04-29,96,74.0,,0.74,71.03999999999999
2017-04-30,97,74.0,,0.74,71.78
2017-05-01,85,71.0,False,0.71,60.349999999999994
2017-05-02,83,71.0,,0.71,58.93
2017-05-03,85,71.0,,0.71,60.349999999999994
2017-05-04,90,71.0,,0.71,63.9
2017-05-05,87,71.0,,0.71,61.769999999999996
2017-05-06,90,71.0,,0.71,63.9
2017-05-07,100,71.0,,0.71,71.0
2017-05-08,88,71.0,,0.71,62.48
2017-05-09,88,71.0,,0.71,62.48
2017-05-10,91,71.0,,0.71,64.61
2017-05-11,91,71.0,,0.71,64.61
2017-05-12,89,71.0,,0.71,63.19
2017-05-13,90,71.0,,0.71,63.9
2017-05-14,95,71.0,,0.71,67.45
2017-05-15,86,71.0,,0.71,61.059999999999995
2017-05-16,87,71.0,,0.71,61.769999999999996
2017-05-17,89,71.0,,0.71,63.19
2017-05-18,87,71.0,,0.71,61.769999999999996
2017-05-19,86,71.0,,0.71,61.059999999999995
2017-05-20,91,71.0,,0.71,64.61
2017-05-21,95,71.0,,0.71,67.45
2017-05-22,88,71.0,,0.71,62.48
2017-05-23,84,71.0,,0.71,59.64
2017-05-24,92,71.0,,0.71,65.32
2017-05-25,89,71.0,,0.71,63.19
2017-05-26,88,71.0,,0.71,62.48
2017-05-27,90,71.0,,0.71,63.9
2017-05-28,95,71.0,,0.71,67.45
2017-05-29,89,71.0,,0.71,63.19
2017-05-30,89,71.0,,0.71,63.19
2017-05-31,88,71.0,,0.71,62.48
2017-06-01,83,74.0,False,0.74,61.42
2017-06-02,88,74.0,,0.74,65.12
2017-06-03,88,74.0,,0.74,65.12
2017-06-04,95,74.0,,0.74,70.3
2017-06-05,86,74.0,,0.74,63.64
2017-06-06,89,74.0,,0.74,65.86
2017-06-07,86,74.0,,0.74,63.64
2017-06-08,91,74.0,,0.74,67.34
2017-06-09,94,74.0,,0.74,69.56
2017-06-10,97,74.0,,0.74,71.78
2017-06-11,100,74.0,,0.74,74.0
2017-06-12,89,74.0,,0.74,65.86
2017-06-13,83,74.0,,0.74,61.42
2017-06-14,79,74.0,,0.74,58.46
2017-06-15,81,74.0,,0.74,59.94
2017-06-16,81,74.0,,0.74,59.94
2017-06-17,83,74.0,,0.74,61.42
2017-06-18,82,74.0,,0.74,60.68
2017-06-19,83,74.0,,0.74,61.42
2017-06-20,81,74.0,,0.74,59.94
2017-06-21,83,74.0,,0.74,61.42
2017-06-22,80,74.0,,0.74,59.2
2017-06-23,81,74.0,,0.74,59.94
2017-06-24,84,74.0,,0.74,62.16
2017-06-25,90,74.0,,0.74,66.6
2017-06-26,83,74.0,,0.74,61.42
2017-06-27,82,74.0,,0.74,60.68
2017-06-28,85,74.0,,0.74,62.9
2017-06-29,85,74.0,,0.74,62.9
2017-06-30,82,74.0,,0.74,60.68
2017-07-01,92,73.0,False,0.73,67.16
2017-07-02,94,73.0,,0.73,68.62
2017-07-03,87,73.0,,0.73,63.51
2017-07-04,87,73.0,,0.73,63.51
2017-07-05,91,73.0,,0.73,66.42999999999999
2017-07-06,86,73.0,,0.73,62.78
2017-07-07,88,73.0,,0.73,64.24
2017-07-08,100,73.0,,0.73,73.0
2017-07-09,99,73.0,,0.73,72.27
2017-07-10,90,73.0,,0.73,65.7
2017-07-11,93,73.0,,0.73,67.89
2017-07-12,93,73.0,,0.73,67.89
2017-07-13,88,73.0,,0.73,64.24
2017-07-14,90,73.0,,0.73,65.7
2017-07-15,91,73.0,,0.73,66.42999999999999
2017-07-16,97,73.0,,0.73,70.81
2017-07-17,90,73.0,,0.73,65.7
2017-07-18,91,73.0,,0.73,66.42999999999999
2017-07-19,88,73.0,,0.73,64.24
2017-07-20,90,73.0,,0.73,65.7
2017-07-21,88,73.0,,0.73,64.24
2017-07-22,90,73.0,,0.73,65.7
2017-07-23,92,73.0,,0.73,67.16
2017-07-24,92,73.0,,0.73,67.16
2017-07-25,93,73.0,,0.73,67.89
2017-07-26,88,73.0,,0.73,64.24
2017-07-27,88,73.0,,0.73,64.24
2017-07-28,87,73.0,,0.73,63.51
2017-07-29,93,73.0,,0.73,67.89
2017-07-30,98,73.0,,0.73,71.53999999999999
2017-07-31,92,73.0,,0.73,67.16
2017-08-01,16,99.0,False,0.99,15.84
2017-08-02,16,99.0,,0.99,15.84
2017-08-03,15,99.0,,0.99,14.85
2017-08-04,15,99.0,,0.99,14.85
2017-08-05,16,99.0,,0.99,15.84
2017-08-06,17,99.0,,0.99,16.83
2017-08-07,16,99.0,,0.99,15.84
2017-08-08,22,99.0,,0.99,21.78
2017-08-09,16,99.0,,0.99,15.84
2017-08-10,16,99.0,,0.99,15.84
2017-08-11,16,99.0,,0.99,15.84
2017-08-12,16,99.0,,0.99,15.84
2017-08-13,16,99.0,,0.99,15.84
2017-08-14,16,99.0,,0.99,15.84
2017-08-15,16,99.0,,0.99,15.84
2017-08-16,17,99.0,,0.99,16.83
2017-08-17,18,99.0,,0.99,17.82
2017-08-18,19,99.0,,0.99,18.81
2017-08-19,20,99.0,,0.99,19.8
2017-08-20,26,99.0,,0.99,25.74
2017-08-21,100,99.0,,0.99,99.0
2017-08-22,46,99.0,,0.99,45.54
2017-08-23,23,99.0,,0.99,22.77
2017-08-24,19,99.0,,0.99,18.81
2017-08-25,16,99.0,,0.99,15.84
2017-08-26,16,99.0,,0.99,15.84
2017-08-27,16,99.0,,0.99,15.84
2017-08-28,17,99.0,,0.99,16.83
2017-08-29,15,99.0,,0.99,14.85
2017-08-30,15,99.0,,0.99,14.85
2017-08-31,15,99.0,,0.99,14.85
2017-09-01,91,74.0,False,0.74,67.34
2017-09-02,92,74.0,,0.74,68.08
2017-09-03,96,74.0,,0.74,71.03999999999999
2017-09-04,100,74.0,,0.74,74.0
2017-09-05,95,74.0,,0.74,70.3
2017-09-06,92,74.0,,0.74,68.08
2017-09-07,95,74.0,,0.74,70.3
2017-09-08,89,74.0,,0.74,65.86
2017-09-09,87,74.0,,0.74,64.38
2017-09-10,91,74.0,,0.74,67.34
2017-09-11,87,74.0,,0.74,64.38
2017-09-12,90,74.0,,0.74,66.6
2017-09-13,88,74.0,,0.74,65.12
2017-09-14,87,74.0,,0.74,64.38
2017-09-15,87,74.0,,0.74,64.38
2017-09-16,89,74.0,,0.74,65.86
2017-09-17,95,74.0,,0.74,70.3
2017-09-18,87,74.0,,0.74,64.38
2017-09-19,85,74.0,,0.74,62.9
2017-09-20,88,74.0,,0.74,65.12
2017-09-21,85,74.0,,0.74,62.9
2017-09-22,87,74.0,,0.74,64.38
2017-09-23,91,74.0,,0.74,67.34
2017-09-24,93,74.0,,0.74,68.82
2017-09-25,87,74.0,,0.74,64.38
2017-09-26,84,74.0,,0.74,62.16
2017-09-27,86,74.0,,0.74,63.64
2017-09-28,93,74.0,,0.74,68.82
2017-09-29,86,74.0,,0.74,63.64
2017-09-30,88,74.0,,0.74,65.12
2017-10-01,97,77.0,False,0.77,74.69
2017-10-02,83,77.0,,0.77,63.910000000000004
2017-10-03,84,77.0,,0.77,64.68
2017-10-04,88,77.0,,0.77,67.76
2017-10-05,89,77.0,,0.77,68.53
2017-10-06,88,77.0,,0.77,67.76
2017-10-07,91,77.0,,0.77,70.07000000000001
2017-10-08,96,77.0,,0.77,73.92
2017-10-09,92,77.0,,0.77,70.84
2017-10-10,90,77.0,,0.77,69.3
2017-10-11,88,77.0,,0.77,67.76
2017-10-12,87,77.0,,0.77,66.99
2017-10-13,90,77.0,,0.77,69.3
2017-10-14,90,77.0,,0.77,69.3
2017-10-15,96,77.0,,0.77,73.92
2017-10-16,91,77.0,,0.77,70.07000000000001
2017-10-17,87,77.0,,0.77,66.99
2017-10-18,87,77.0,,0.77,66.99
2017-10-19,90,77.0,,0.77,69.3
2017-10-20,90,77.0,,0.77,69.3
2017-10-21,93,77.0,,0.77,71.61
2017-10-22,94,77.0,,0.77,72.38
2017-10-23,89,77.0,,0.77,68.53
2017-10-24,88,77.0,,0.77,67.76
2017-10-25,87,77.0,,0.77,66.99
2017-10-26,93,77.0,,0.77,71.61
2017-10-27,88,77.0,,0.77,67.76
2017-10-28,89,77.0,,0.77,68.53
2017-10-29,99,77.0,,0.77,76.23
2017-10-30,100,77.0,,0.77,77.0
2017-10-31,91,77.0,,0.77,70.07000000000001
2017-11-01,96,72.0,False,0.72,69.12
2017-11-02,93,72.0,,0.72,66.96
2017-11-03,94,72.0,,0.72,67.67999999999999
2017-11-04,99,72.0,,0.72,71.28
2017-11-05,100,72.0,,0.72,72.0
2017-11-06,92,72.0,,0.72,66.24
2017-11-07,92,72.0,,0.72,66.24
2017-11-08,89,72.0,,0.72,64.08
2017-11-09,89,72.0,,0.72,64.08
2017-11-10,90,72.0,,0.72,64.8
2017-11-11,89,72.0,,0.72,64.08
2017-11-12,97,72.0,,0.72,69.84
2017-11-13,91,72.0,,0.72,65.52
2017-11-14,88,72.0,,0.72,63.36
2017-11-15,87,72.0,,0.72,62.64
2017-11-16,89,72.0,,0.72,64.08
2017-11-17,89,72.0,,0.72,64.08
2017-11-18,96,72.0,,0.72,69.12
2017-11-19,95,72.0,,0.72,68.39999999999999
2017-11-20,88,72.0,,0.72,63.36
2017-11-21,89,72.0,,0.72,64.08
2017-11-22,88,72.0,,0.72,63.36
2017-11-23,83,72.0,,0.72,59.76
2017-11-24,81,72.0,,0.72,58.32
2017-11-25,91,72.0,,0.72,65.52
2017-11-26,100,72.0,,0.72,72.0
2017-11-27,89,72.0,,0.72,64.08
2017-11-28,89,72.0,,0.72,64.08
2017-11-29,90,72.0,,0.72,64.8
2017-11-30,95,72.0,,0.72,68.39999999999999
2017-12-01,87,72.0,False,0.72,62.64
2017-12-02,98,72.0,,0.72,70.56
2017-12-03,100,72.0,,0.72,72.0
2017-12-04,87,72.0,,0.72,62.64
2017-12-05,82,72.0,,0.72,59.04
2017-12-06,84,72.0,,0.72,60.48
2017-12-07,82,72.0,,0.72,59.04
2017-12-08,83,72.0,,0.72,59.76
2017-12-09,85,72.0,,0.72,61.199999999999996
2017-12-10,88,72.0,,0.72,63.36
2017-12-11,85,72.0,,0.72,61.199999999999996
2017-12-12,85,72.0,,0.72,61.199999999999996
2017-12-13,84,72.0,,0.72,60.48
2017-12-14,85,72.0,,0.72,61.199999999999996
2017-12-15,85,72.0,,0.72,61.199999999999996
2017-12-16,85,72.0,,0.72,61.199999999999996
2017-12-17,92,72.0,,0.72,66.24
2017-12-18,85,72.0,,0.72,61.199999999999996
2017-12-19,84,72.0,,0.72,60.48
2017-12-20,85,72.0,,0.72,61.199999999999996
2017-12-21,84,72.0,,0.72,60.48
2017-12-22,82,72.0,,0.72,59.04
2017-12-23,89,72.0,,0.72,64.08
2017-12-24,85,72.0,,0.72,61.199999999999996
2017-12-25,83,72.0,,0.72,59.76
2017-12-26,88,72.0,,0.72,63.36
2017-12-27,91,72.0,,0.72,65.52
2017-12-28,87,72.0,,0.72,62.64
2017-12-29,87,72.0,,0.72,62.64
2017-12-30,95,72.0,,0.72,68.39999999999999
2017-12-31,99,72.0,,0.72,71.28
2018-01-01,74,81.0,False,0.81,59.940000000000005
2018-01-02,72,81.0,,0.81,58.32000000000001
2018-01-03,75,81.0,,0.81,60.75000000000001
2018-01-04,76,81.0,,0.81,61.56
2018-01-05,74,81.0,,0.81,59.940000000000005
2018-01-06,83,81.0,,0.81,67.23
2018-01-07,100,81.0,,0.81,81.0
2018-01-08,73,81.0,,0.81,59.13
2018-01-09,69,81.0,,0.81,55.89
