date,BEST_unscaled,BEST_monthly,isPartial,scale,BEST
2016-08-12,78,79.0,,0.79,61.620000000000005
2016-08-13,90,79.0,,0.79,71.10000000000001
2016-08-14,94,79.0,,0.79,74.26
2016-08-15,82,79.0,,0.79,64.78
2016-08-16,79,79.0,,0.79,62.410000000000004
2016-08-17,76,79.0,,0.79,60.040000000000006
2016-08-18,77,79.0,,0.79,60.830000000000005
2016-08-19,80,79.0,,0.79,63.2
2016-08-20,91,79.0,,0.79,71.89
2016-08-21,95,79.0,,0.79,75.05
2016-08-22,81,79.0,,0.79,63.99
2016-08-23,80,79.0,,0.79,63.2
2016-08-24,80,79.0,,0.79,63.2
2016-08-25,79,79.0,,0.79,62.410000000000004
2016-08-26,78,79.0,,0.79,61.620000000000005
2016-08-27,94,79.0,,0.79,74.26
2016-08-28,100,79.0,,0.79,79.0
2016-08-29,82,79.0,,0.79,64.78
2016-08-30,78,79.0,,0.79,61.620000000000005
2016-08-31,79,79.0,,0.79,62.410000000000004
2016-09-01,74,74.0,False,0.74,54.76
2016-09-02,79,74.0,,0.74,58.46
2016-09-03,92,74.0,,0.74,68.08
2016-09-04,100,74.0,,0.74,74.0
2016-09-05,100,74.0,,0.74,74.0
2016-09-06,78,74.0,,0.74,57.72
2016-09-07,75,74.0,,0.74,55.5
2016-09-08,74,74.0,,0.74,54.76
2016-09-09,77,74.0,,0.74,56.98
2016-09-10,91,74.0,,0.74,67.34
2016-09-11,88,74.0,,0.74,65.12
2016-09-12,80,74.0,,0.74,59.2
2016-09-13,76,74.0,,0.74,56.24
2016-09-14,76,74.0,,0.74,56.24
2016-09-15,75,74.0,,0.74,55.5
2016-09-16,77,74.0,,0.74,56.98
2016-09-17,89,74.0,,0.74,65.86
2016-09-18,88,74.0,,0.74,65.12
2016-09-19,78,74.0,,0.74,57.72
2016-09-20,75,74.0,,0.74,55.5
2016-09-21,74,74.0,,0.74,54.76
2016-09-22,73,74.0,,0.74,54.019999999999996
2016-09-23,73,74.0,,0.74,54.019999999999996
2016-09-24,86,74.0,,0.74,63.64
2016-09-25,90,74.0,,0.74,66.6
2016-09-26,75,74.0,,0.74,55.5
2016-09-27,73,74.0,,0.74,54.019999999999996
2016-09-28,75,74.0,,0.74,55.5
2016-09-29,72,74.0,,0.74,53.28
2016-09-30,74,74.0,,0.74,54.76
2016-10-01,93,73.0,False,0.73,67.89
2016-10-02,100,73.0,,0.73,73.0
2016-10-03,83,73.0,,0.73,60.589999999999996
2016-10-04,82,73.0,,0.73,59.86
2016-10-05,75,73.0,,0.73,54.75
2016-10-06,77,73.0,,0.73,56.21
2016-10-07,79,73.0,,0.73,57.67
2016-10-08,93,73.0,,0.73,67.89
2016-10-09,94,73.0,,0.73,68.62
2016-10-10,83,73.0,,0.73,60.589999999999996
2016-10-11,81,73.0,,0.73,59.129999999999995
2016-10-12,80,73.0,,0.73,58.4
2016-10-13,83,73.0,,0.73,60.589999999999996
2016-10-14,81,73.0,,0.73,59.129999999999995
2016-10-15,97,73.0,,0.73,70.81
2016-10-16,97,73.0,,0.73,70.81
2016-10-17,86,73.0,,0.73,62.78
2016-10-18,82,73.0,,0.73,59.86
2016-10-19,82,73.0,,0.73,59.86
2016-10-20,77,73.0,,0.73,56.21
2016-10-21,82,73.0,,0.73,59.86
2016-10-22,96,73.0,,0.73,70.08
2016-10-23,98,73.0,,0.73,71.53999999999999
2016-10-24,83,73.0,,0.73,60.589999999999996
2016-10-25,85,73.0,,0.73,62.05
2016-10-26,80,73.0,,0.73,58.4
2016-10-27,79,73.0,,0.73,57.67
2016-10-28,82,73.0,,0.73,59.86
2016-10-29,93,73.0,,0.73,67.89
2016-10-30,97,73.0,,0.73,70.81
2016-10-31,79,73.0,,0.73,57.67
2016-11-01,46,86.0,False,0.86,39.56
2016-11-02,46,86.0,,0.86,39.56
2016-11-03,45,86.0,,0.86,38.7
2016-11-04,48,86.0,,0.86,41.28
2016-11-05,56,86.0,,0.86,48.16
2016-11-06,59,86.0,,0.86,50.74
2016-11-07,47,86.0,,0.86,40.42
2016-11-08,45,86.0,,0.86,38.7
2016-11-09,31,86.0,,0.86,26.66
2016-11-10,47,86.0,,0.86,40.42
2016-11-11,54,86.0,,0.86,46.44
2016-11-12,58,86.0,,0.86,49.88
2016-11-13,62,86.0,,0.86,53.32
2016-11-14,52,86.0,,0.86,44.72
2016-11-15,51,86.0,,0.86,43.86
2016-11-16,50,86.0,,0.86,43.0
2016-11-17,50,86.0,,0.86,43.0
2016-11-18,53,86.0,,0.86,45.58
2016-11-19,63,86.0,,0.86,54.18
2016-11-20,68,86.0,,0.86,58.48
2016-11-21,59,86.0,,0.86,50.74
2016-11-22,61,86.0,,0.86,52.46
2016-11-23,64,86.0,,0.86,55.04
2016-11-24,86,86.0,,0.86,73.96
2016-11-25,100,86.0,,0.86,86.0
2016-11-26,74,86.0,,0.86,63.64
2016-11-27,74,86.0,,0.86,63.64
2016-11-28,72,86.0,,0.86,61.92
2016-11-29,59,86.0,,0.86,50.74
2016-11-30,51,86.0,,0.86,43.86
2016-12-01,74,88.0,False,0.88,65.12
2016-12-02,71,88.0,,0.88,62.48
2016-12-03,86,88.0,,0.88,75.68
2016-12-04,91,88.0,,0.88,80.08
2016-12-05,78,88.0,,0.88,68.64
2016-12-06,77,88.0,,0.88,67.76
2016-12-07,78,88.0,,0.88,68.64
2016-12-08,77,88.0,,0.88,67.76
2016-12-09,76,88.0,,0.88,66.88
2016-12-10,87,88.0,,0.88,76.56
2016-12-11,93,88.0,,0.88,81.84
2016-12-12,81,88.0,,0.88,71.28
2016-12-13,78,88.0,,0.88,68.64
2016-12-14,78,88.0,,0.88,68.64
2016-12-15,75,88.0,,0.88,66.0
2016-12-16,78,88.0,,0.88,68.64
2016-12-17,97,88.0,,0.88,85.36
2016-12-18,95,88.0,,0.88,83.6
2016-12-19,88,88.0,,0.88,77.44
2016-12-20,89,88.0,,0.88,78.32000000000001
2016-12-21,89,88.0,,0.88,78.32000000000001
2016-12-22,85,88.0,,0.88,74.8
2016-12-23,91,88.0,,0.88,80.08
2016-12-24,91,88.0,,0.88,80.08
2016-12-25,85,88.0,,0.88,74.8
2016-12-26,100,88.0,,0.88,88.0
2016-12-27,93,88.0,,0.88,81.84
2016-12-28,90,88.0,,0.88,79.2
2016-12-29,86,88.0,,0.88,75.68
2016-12-30,90,88.0,,0.88,79.2
2016-12-31,99,88.0,,0.88,87.12
2017-01-01,100,81.0,False,0.81,81.0
2017-01-02,100,81.0,,0.81,81.0
2017-01-03,86,81.0,,0.81,69.66000000000001
2017-01-04,82,81.0,,0.81,66.42
2017-01-05,82,81.0,,0.81,66.42
2017-01-06,81,81.0,,0.81,65.61
2017-01-07,95,81.0,,0.81,76.95
2017-01-08,97,81.0,,0.81,78.57000000000001
2017-01-09,79,81.0,,0.81,63.99
2017-01-10,76,81.0,,0.81,61.56
2017-01-11,74,81.0,,0.81,59.940000000000005
2017-01-12,77,81.0,,0.81,62.370000000000005
2017-01-13,80,81.0,,0.81,64.80000000000001
2017-01-14,97,81.0,,0.81,78.57000000000001
2017-01-15,94,81.0,,0.81,76.14
2017-01-16,87,81.0,,0.81,70.47
2017-01-17,82,81.0,,0.81,66.42
2017-01-18,76,81.0,,0.81,61.56
2017-01-19,76,81.0,,0.81,61.56
2017-01-20,71,81.0,,0.81,57.510000000000005
2017-01-21,87,81.0,,0.81,70.47
2017-01-22,91,81.0,,0.81,73.71000000000001
2017-01-23,78,81.0,,0.81,63.18000000000001
2017-01-24,76,81.0,,0.81,61.56
2017-01-25,73,81.0,,0.81,59.13
2017-01-26,73,81.0,,0.81,59.13
2017-01-27,77,81.0,,0.81,62.370000000000005
2017-01-28,87,81.0,,0.81,70.47
2017-01-29,95,81.0,,0.81,76.95
2017-01-30,75,81.0,,0.81,60.75000000000001
2017-01-31,75,81.0,,0.81,60.75000000000001
2017-02-01,71,78.0,False,0.78,55.38
2017-02-02,67,78.0,,0.78,52.260000000000005
2017-02-03,73,78.0,,0.78,56.940000000000005
2017-02-04,87,78.0,,0.78,67.86
2017-02-05,91,78.0,,0.78,70.98
2017-02-06,71,78.0,,0.78,55.38
2017-02-07,74,78.0,,0.78,57.72
2017-02-08,70,78.0,,0.78,54.6
2017-02-09,74,78.0,,0.78,57.72
2017-02-10,72,78.0,,0.78,56.160000000000004
2017-02-11,87,78.0,,0.78,67.86
2017-02-12,90,78.0,,0.78,70.2
2017-02-13,76,78.0,,0.78,59.28
2017-02-14,74,78.0,,0.78,57.72
2017-02-15,71,78.0,,0.78,55.38
2017-02-16,70,78.0,,0.78,54.6
2017-02-17,74,78.0,,0.78,57.72
2017-02-18,87,78.0,,0.78,67.86
2017-02-19,94,78.0,,0.78,73.32000000000001
2017-02-20,86,78.0,,0.78,67.08
2017-02-21,77,78.0,,0.78,60.06
2017-02-22,72,78.0,,0.78,56.160000000000004
2017-02-23,73,78.0,,0.78,56.940000000000005
2017-02-24,73,78.0,,0.78,56.940000000000005
2017-02-25,91,78.0,,0.78,70.98
2017-02-26,94,78.0,,0.78,73.32000000000001
2017-02-27,100,78.0,,0.78,78.0
2017-02-28,76,78.0,,0.78,59.28
2017-03-01,75,78.0,False,0.78,58.5
2017-03-02,78,78.0,,0.78,60.84
2017-03-03,80,78.0,,0.78,62.400000000000006
2017-03-04,92,78.0,,0.78,71.76
2017-03-05,100,78.0,,0.78,78.0
2017-03-06,79,78.0,,0.78,61.620000000000005
2017-03-07,80,78.0,,0.78,62.400000000000006
2017-03-08,79,78.0,,0.78,61.620000000000005
2017-03-09,76,78.0,,0.78,59.28
2017-03-10,78,78.0,,0.78,60.84
2017-03-11,93,78.0,,0.78,72.54
2017-03-12,95,78.0,,0.78,74.10000000000001
2017-03-13,82,78.0,,0.78,63.96
2017-03-14,80,78.0,,0.78,62.400000000000006
2017-03-15,78,78.0,,0.78,60.84
2017-03-16,74,78.0,,0.78,57.72
2017-03-17,76,78.0,,0.78,59.28
2017-03-18,91,78.0,,0.78,70.98
2017-03-19,95,78.0,,0.78,74.10000000000001
2017-03-20,78,78.0,,0.78,60.84
2017-03-21,75,78.0,,0.78,58.5
2017-03-22,76,78.0,,0.78,59.28
2017-03-23,75,78.0,,0.78,58.5
2017-03-24,77,78.0,,0.78,60.06
2017-03-25,91,78.0,,0.78,70.98
2017-03-26,99,78.0,,0.78,77.22
2017-03-27,81,78.0,,0.78,63.18
2017-03-28,80,78.0,,0.78,62.400000000000006
2017-03-29,78,78.0,,0.78,60.84
2017-03-30,76,78.0,,0.78,59.28
2017-03-31,77,78.0,,0.78,60.06
2017-04-01,94,78.0,False,0.78,73.32000000000001
2017-04-02,97,78.0,,0.78,75.66
2017-04-03,81,78.0,,0.78,63.18
2017-04-04,81,78.0,,0.78,63.18
2017-04-05,83,78.0,,0.78,64.74000000000001
2017-04-06,78,78.0,,0.78,60.84
2017-04-07,79,78.0,,0.78,61.620000000000005
2017-04-08,94,78.0,,0.78,73.32000000000001
2017-04-09,94,78.0,,0.78,73.32000000000001
2017-04-10,85,78.0,,0.78,66.3
2017-04-11,80,78.0,,0.78,62.400000000000006
2017-04-12,78,78.0,,0.78,60.84
2017-04-13,79,78.0,,0.78,61.620000000000005
2017-04-14,81,78.0,,0.78,63.18
2017-04-15,91,78.0,,0.78,70.98
2017-04-16,95,78.0,,0.78,74.10000000000001
2017-04-17,84,78.0,,0.78,65.52
2017-04-18,81,78.0,,0.78,63.18
2017-04-19,81,78.0,,0.78,63.18
2017-04-20,77,78.0,,0.78,60.06
2017-04-21,79,78.0,,0.78,61.620000000000005
2017-04-22,92,78.0,,0.78,71.76
2017-04-23,95,78.0,,0.78,74.10000000000001
2017-04-24,85,78.0,,0.78,66.3
2017-04-25,83,78.0,,0.78,64.74000000000001
2017-04-26,77,78.0,,0.78,60.06
2017-04-27,77,78.0,,0.78,60.06
2017-04-28,79,78.0,,0.78,61.620000000000005
2017-04-29,93,78.0,,0.78,72.54
2017-04-30,100,78.0,,0.78,78.0
2017-05-01,81,81.0,False,0.81,65.61
2017-05-02,78,81.0,,0.81,63.18000000000001
2017-05-03,75,81.0,,0.81,60.75000000000001
2017-05-04,80,81.0,,0.81,64.80000000000001
2017-05-05,79,81.0,,0.81,63.99
2017-05-06,89,81.0,,0.81,72.09
2017-05-07,98,81.0,,0.81,79.38000000000001
2017-05-08,83,81.0,,0.81,67.23
2017-05-09,79,81.0,,0.81,63.99
2017-05-10,77,81.0,,0.81,62.370000000000005
2017-05-11,78,81.0,,0.81,63.18000000000001
2017-05-12,78,81.0,,0.81,63.18000000000001
2017-05-13,92,81.0,,0.81,74.52000000000001
2017-05-14,94,81.0,,0.81,76.14
2017-05-15,78,81.0,,0.81,63.18000000000001
2017-05-16,78,81.0,,0.81,63.18000000000001
2017-05-17,78,81.0,,0.81,63.18000000000001
2017-05-18,73,81.0,,0.81,59.13
2017-05-19,76,81.0,,0.81,61.56
2017-05-20,88,81.0,,0.81,71.28
2017-05-21,95,81.0,,0.81,76.95
2017-05-22,82,81.0,,0.81,66.42
2017-05-23,80,81.0,,0.81,64.80000000000001
2017-05-24,78,81.0,,0.81,63.18000000000001
2017-05-25,76,81.0,,0.81,61.56
2017-05-26,81,81.0,,0.81,65.61
2017-05-27,93,81.0,,0.81,75.33
2017-05-28,100,81.0,,0.81,81.0
2017-05-29,98,81.0,,0.81,79.38000000000001
2017-05-30,82,81.0,,0.81,66.42
2017-05-31,80,81.0,,0.81,64.80000000000001
2017-06-01,75,82.0,False,0.82,61.49999999999999
2017-06-02,74,82.0,,0.82,60.68
2017-06-03,84,82.0,,0.82,68.88
2017-06-04,90,82.0,,0.82,73.8
2017-06-05,79,82.0,,0.82,64.78
2017-06-06,76,82.0,,0.82,62.31999999999999
2017-06-07,76,82.0,,0.82,62.31999999999999
2017-06-08,81,82.0,,0.82,66.42
2017-06-09,80,82.0,,0.82,65.6
2017-06-10,85,82.0,,0.82,69.7
2017-06-11,94,82.0,,0.82,77.08
2017-06-12,82,82.0,,0.82,67.24
2017-06-13,77,82.0,,0.82,63.13999999999999
2017-06-14,78,82.0,,0.82,63.959999999999994
2017-06-15,78,82.0,,0.82,63.959999999999994
2017-06-16,81,82.0,,0.82,66.42
2017-06-17,89,82.0,,0.82,72.97999999999999
2017-06-18,96,82.0,,0.82,78.72
2017-06-19,83,82.0,,0.82,68.06
2017-06-20,81,82.0,,0.82,66.42
2017-06-21,78,82.0,,0.82,63.959999999999994
2017-06-22,77,82.0,,0.82,63.13999999999999
2017-06-23,79,82.0,,0.82,64.78
2017-06-24,88,82.0,,0.82,72.16
2017-06-25,100,82.0,,0.82,82.0
2017-06-26,83,82.0,,0.82,68.06
2017-06-27,83,82.0,,0.82,68.06
2017-06-28,80,82.0,,0.82,65.6
2017-06-29,79,82.0,,0.82,64.78
2017-06-30,79,82.0,,0.82,64.78
2017-07-01,89,88.0,False,0.88,78.32000000000001
2017-07-02,100,88.0,,0.88,88.0
2017-07-03,90,88.0,,0.88,79.2
2017-07-04,99,88.0,,0.88,87.12
2017-07-05,84,88.0,,0.88,73.92
2017-07-06,84,88.0,,0.88,73.92
2017-07-07,86,88.0,,0.88,75.68
2017-07-08,94,88.0,,0.88,82.72
2017-07-09,98,88.0,,0.88,86.24
2017-07-10,86,88.0,,0.88,75.68
2017-07-11,87,88.0,,0.88,76.56
2017-07-12,85,88.0,,0.88,74.8
2017-07-13,83,88.0,,0.88,73.04
2017-07-14,84,88.0,,0.88,73.92
2017-07-15,92,88.0,,0.88,80.96
2017-07-16,96,88.0,,0.88,84.48
2017-07-17,84,88.0,,0.88,73.92
2017-07-18,87,88.0,,0.88,76.56
2017-07-19,82,88.0,,0.88,72.16
2017-07-20,78,88.0,,0.88,68.64
2017-07-21,80,88.0,,0.88,70.4
2017-07-22,93,88.0,,0.88,81.84
2017-07-23,96,88.0,,0.88,84.48
2017-07-24,85,88.0,,0.88,74.8
2017-07-25,84,88.0,,0.88,73.92
2017-07-26,82,88.0,,0.88,72.16
2017-07-27,79,88.0,,0.88,69.52
2017-07-28,79,88.0,,0.88,69.52
2017-07-29,93,88.0,,0.88,81.84
2017-07-30,96,88.0,,0.88,84.48
2017-07-31,83,88.0,,0.88,73.04
2017-08-01,85,83.0,False,0.83,70.55
2017-08-02,87,83.0,,0.83,72.21
2017-08-03,83,83.0,,0.83,68.89
2017-08-04,83,83.0,,0.83,68.89
2017-08-05,96,83.0,,0.83,79.67999999999999
2017-08-06,100,83.0,,0.83,83.0
2017-08-07,88,83.0,,0.83,73.03999999999999
2017-08-08,87,83.0,,0.83,72.21
2017-08-09,84,83.0,,0.83,69.72
2017-08-10,82,83.0,,0.83,68.06
2017-08-11,83,83.0,,0.83,68.89
2017-08-12,95,83.0,,0.83,78.85
2017-08-13,97,83.0,,0.83,80.50999999999999
2017-08-14,84,83.0,,0.83,69.72
2017-08-15,82,83.0,,0.83,68.06
2017-08-16,79,83.0,,0.83,65.57
2017-08-17,81,83.0,,0.83,67.22999999999999
2017-08-18,80,83.0,,0.83,66.39999999999999
2017-08-19,91,83.0,,0.83,75.53
2017-08-20,99,83.0,,0.83,82.17
2017-08-21,82,83.0,,0.83,68.06
2017-08-22,81,83.0,,0.83,67.22999999999999
2017-08-23,79,83.0,,0.83,65.57
2017-08-24,75,83.0,,0.83,62.25
2017-08-25,75,83.0,,0.83,62.25
2017-08-26,87,83.0,,0.83,72.21
2017-08-27,84,83.0,,0.83,69.72
2017-08-28,79,83.0,,0.83,65.57
2017-08-29,77,83.0,,0.83,63.91
2017-08-30,78,83.0,,0.83,64.74
2017-08-31,76,83.0,,0.83,63.08
2017-09-01,80,75.0,False,0.75,60.0
2017-09-02,95,75.0,,0.75,71.25
2017-09-03,100,75.0,,0.75,75.0
2017-09-04,98,75.0,,0.75,73.5
2017-09-05,78,75.0,,0.75,58.5
2017-09-06,74,75.0,,0.75,55.5
2017-09-07,73,75.0,,0.75,54.75
2017-09-08,72,75.0,,0.75,54.0
2017-09-09,82,75.0,,0.75,61.5
2017-09-10,86,75.0,,0.75,64.5
2017-09-11,73,75.0,,0.75,54.75
2017-09-12,75,75.0,,0.75,56.25
2017-09-13,77,75.0,,0.75,57.75
2017-09-14,79,75.0,,0.75,59.25
2017-09-15,76,75.0,,0.75,57.0
2017-09-16,88,75.0,,0.75,66.0
2017-09-17,92,75.0,,0.75,69.0
2017-09-18,77,75.0,,0.75,57.75
2017-09-19,76,75.0,,0.75,57.0
2017-09-20,76,75.0,,0.75,57.0
2017-09-21,77,75.0,,0.75,57.75
2017-09-22,76,75.0,,0.75,57.0
2017-09-23,92,75.0,,0.75,69.0
2017-09-24,91,75.0,,0.75,68.25
2017-09-25,75,75.0,,0.75,56.25
2017-09-26,78,75.0,,0.75,58.5
2017-09-27,76,75.0,,0.75,57.0
2017-09-28,74,75.0,,0.75,55.5
2017-09-29,76,75.0,,0.75,57.0
2017-09-30,90,75.0,,0.75,67.5
2017-10-01,98,78.0,False,0.78,76.44
2017-10-02,75,78.0,,0.78,58.5
2017-10-03,76,78.0,,0.78,59.28
2017-10-04,78,78.0,,0.78,60.84
2017-10-05,80,78.0,,0.78,62.400000000000006
2017-10-06,80,78.0,,0.78,62.400000000000006
2017-10-07,94,78.0,,0.78,73.32000000000001
2017-10-08,100,78.0,,0.78,78.0
2017-10-09,84,78.0,,0.78,65.52
2017-10-10,81,78.0,,0.78,63.18
2017-10-11,79,78.0,,0.78,61.620000000000005
2017-10-12,79,78.0,,0.78,61.620000000000005
2017-10-13,82,78.0,,0.78,63.96
2017-10-14,93,78.0,,0.78,72.54
2017-10-15,97,78.0,,0.78,75.66
2017-10-16,83,78.0,,0.78,64.74000000000001
2017-10-17,81,78.0,,0.78,63.18
2017-10-18,80,78.0,,0.78,62.400000000000006
2017-10-19,79,78.0,,0.78,61.620000000000005
2017-10-20,79,78.0,,0.78,61.620000000000005
2017-10-21,97,78.0,,0.78,75.66
2017-10-22,97,78.0,,0.78,75.66
2017-10-23,86,78.0,,0.78,67.08
2017-10-24,84,78.0,,0.78,65.52
2017-10-25,84,78.0,,0.78,65.52
2017-10-26,81,78.0,,0.78,63.18
2017-10-27,81,78.0,,0.78,63.18
2017-10-28,94,78.0,,0.78,73.32000000000001
2017-10-29,94,78.0,,0.78,73.32000000000001
2017-10-30,79,78.0,,0.78,61.620000000000005
2017-10-31,76,78.0,,0.78,59.28
2017-11-01,42,91.0,False,0.91,38.22
2017-11-02,44,91.0,,0.91,40.04
2017-11-03,45,91.0,,0.91,40.95
2017-11-04,56,91.0,,0.91,50.96
2017-11-05,57,91.0,,0.91,51.870000000000005
2017-11-06,48,91.0,,0.91,43.68
2017-11-07,48,91.0,,0.91,43.68
2017-11-08,48,91.0,,0.91,43.68
2017-11-09,48,91.0,,0.91,43.68
2017-11-10,50,91.0,,0.91,45.5
2017-11-11,58,91.0,,0.91,52.78
2017-11-12,61,91.0,,0.91,55.510000000000005
2017-11-13,51,91.0,,0.91,46.410000000000004
2017-11-14,48,91.0,,0.91,43.68
2017-11-15,49,91.0,,0.91,44.59
2017-11-16,49,91.0,,0.91,44.59
2017-11-17,49,91.0,,0.91,44.59
2017-11-18,60,91.0,,0.91,54.6
2017-11-19,62,91.0,,0.91,56.42
2017-11-20,56,91.0,,0.91,50.96
2017-11-21,58,91.0,,0.91,52.78
2017-11-22,62,91.0,,0.91,56.42
2017-11-23,84,91.0,,0.91,76.44
2017-11-24,100,91.0,,0.91,91.0
2017-11-25,72,91.0,,0.91,65.52
2017-11-26,69,91.0,,0.91,62.79
2017-11-27,71,91.0,,0.91,64.61
2017-11-28,58,91.0,,0.91,52.78
2017-11-29,48,91.0,,0.91,43.68
2017-11-30,47,91.0,,0.91,42.77
2017-12-01,69,93.0,False,0.93,64.17
2017-12-02,79,93.0,,0.93,73.47
2017-12-03,85,93.0,,0.93,79.05
2017-12-04,71,93.0,,0.93,66.03
2017-12-05,71,93.0,,0.93,66.03
2017-12-06,70,93.0,,0.93,65.10000000000001
2017-12-07,69,93.0,,0.93,64.17
2017-12-08,71,93.0,,0.93,66.03
2017-12-09,86,93.0,,0.93,79.98
2017-12-10,93,93.0,,0.93,86.49000000000001
2017-12-11,74,93.0,,0.93,68.82000000000001
2017-12-12,74,93.0,,0.93,68.82000000000001
2017-12-13,72,93.0,,0.93,66.96000000000001
2017-12-14,72,93.0,,0.93,66.96000000000001
2017-12-15,70,93.0,,0.93,65.10000000000001
2017-12-16,87,93.0,,0.93,80.91000000000001
2017-12-17,94,93.0,,0.93,87.42
2017-12-18,79,93.0,,0.93,73.47
2017-12-19,78,93.0,,0.93,72.54
2017-12-20,77,93.0,,0.93,71.61
2017-12-21,77,93.0,,0.93,71.61
2017-12-22,82,93.0,,0.93,76.26
2017-12-23,90,93.0,,0.93,83.7
2017-12-24,87,93.0,,0.93,80.91000000000001
2017-12-25,82,93.0,,0.93,76.26
2017-12-26,91,93.0,,0.93,84.63000000000001
2017-12-27,89,93.0,,0.93,82.77000000000001
