date,MF_unscaled,MF_monthly,isPartial,scale,MF
2016-08-18,69,11.0,,0.11,7.59
2016-08-19,70,11.0,,0.11,7.7
2016-08-20,67,11.0,,0.11,7.37
2016-08-21,85,11.0,,0.11,9.35
2016-08-22,66,11.0,,0.11,7.26
2016-08-23,86,11.0,,0.11,9.46
2016-08-24,90,11.0,,0.11,9.9
2016-08-25,98,11.0,,0.11,10.78
2016-08-26,94,11.0,,0.11,10.34
2016-08-27,87,11.0,,0.11,9.57
2016-08-28,86,11.0,,0.11,9.46
2016-08-29,73,11.0,,0.11,8.03
2016-08-30,88,11.0,,0.11,9.68
2016-08-31,91,11.0,,0.11,10.01
2016-09-01,93,12.0,False,0.12,11.16
2016-09-02,78,12.0,,0.12,9.36
2016-09-03,96,12.0,,0.12,11.52
2016-09-04,90,12.0,,0.12,10.799999999999999
2016-09-05,69,12.0,,0.12,8.28
2016-09-06,81,12.0,,0.12,9.719999999999999
2016-09-07,87,12.0,,0.12,10.44
2016-09-08,90,12.0,,0.12,10.799999999999999
2016-09-09,98,12.0,,0.12,11.76
2016-09-10,100,12.0,,0.12,12.0
2016-09-11,98,12.0,,0.12,11.76
2016-09-12,66,12.0,,0.12,7.92
2016-09-13,86,12.0,,0.12,10.32
2016-09-14,84,12.0,,0.12,10.08
2016-09-15,98,12.0,,0.12,11.76
2016-09-16,85,12.0,,0.12,10.2
2016-09-17,89,12.0,,0.12,10.68
2016-09-18,83,12.0,,0.12,9.959999999999999
2016-09-19,85,12.0,,0.12,10.2
2016-09-20,81,12.0,,0.12,9.719999999999999
2016-09-21,92,12.0,,0.12,11.04
2016-09-22,85,12.0,,0.12,10.2
2016-09-23,77,12.0,,0.12,9.24
2016-09-24,88,12.0,,0.12,10.559999999999999
2016-09-25,93,12.0,,0.12,11.16
2016-09-26,83,12.0,,0.12,9.959999999999999
2016-09-27,67,12.0,,0.12,8.04
2016-09-28,70,12.0,,0.12,8.4
2016-09-29,85,12.0,,0.12,10.2
2016-09-30,87,12.0,,0.12,10.44
2016-10-01,80,12.0,False,0.12,9.6
2016-10-02,55,12.0,,0.12,6.6
2016-10-03,72,12.0,,0.12,8.64
2016-10-04,87,12.0,,0.12,10.44
2016-10-05,80,12.0,,0.12,9.6
2016-10-06,74,12.0,,0.12,8.879999999999999
2016-10-07,82,12.0,,0.12,9.84
2016-10-08,74,12.0,,0.12,8.879999999999999
2016-10-09,66,12.0,,0.12,7.92
2016-10-10,64,12.0,,0.12,7.68
2016-10-11,64,12.0,,0.12,7.68
2016-10-12,80,12.0,,0.12,9.6
2016-10-13,92,12.0,,0.12,11.04
2016-10-14,94,12.0,,0.12,11.28
2016-10-15,84,12.0,,0.12,10.08
2016-10-16,80,12.0,,0.12,9.6
2016-10-17,97,12.0,,0.12,11.639999999999999
2016-10-18,78,12.0,,0.12,9.36
2016-10-19,73,12.0,,0.12,8.76
2016-10-20,84,12.0,,0.12,10.08
2016-10-21,87,12.0,,0.12,10.44
2016-10-22,96,12.0,,0.12,11.52
2016-10-23,90,12.0,,0.12,10.799999999999999
2016-10-24,85,12.0,,0.12,10.2
2016-10-25,90,12.0,,0.12,10.799999999999999
2016-10-26,90,12.0,,0.12,10.799999999999999
2016-10-27,89,12.0,,0.12,10.68
2016-10-28,100,12.0,,0.12,12.0
2016-10-29,87,12.0,,0.12,10.44
2016-10-30,94,12.0,,0.12,11.28
2016-10-31,85,12.0,,0.12,10.2
2016-11-01,79,12.0,False,0.12,9.48
2016-11-02,98,12.0,,0.12,11.76
2016-11-03,100,12.0,,0.12,12.0
2016-11-04,89,12.0,,0.12,10.68
