date,GOOGL_unscaled,GOOGL_monthly,isPartial,scale,GOOGL
2016-06-16,69,67.0,,0.67,46.230000000000004
2016-06-17,82,67.0,,0.67,54.940000000000005
2016-06-18,54,67.0,,0.67,36.18
2016-06-19,57,67.0,,0.67,38.190000000000005
2016-06-20,77,67.0,,0.67,51.59
2016-06-21,82,67.0,,0.67,54.940000000000005
2016-06-22,68,67.0,,0.67,45.56
2016-06-23,74,67.0,,0.67,49.580000000000005
2016-06-24,82,67.0,,0.67,54.940000000000005
2016-06-25,56,67.0,,0.67,37.52
2016-06-26,61,67.0,,0.67,40.870000000000005
2016-06-27,89,67.0,,0.67,59.63
2016-06-28,80,67.0,,0.67,53.6
2016-06-29,85,67.0,,0.67,56.95
2016-06-30,80,67.0,,0.67,53.6
2016-07-01,54,63.0,False,0.63,34.02
2016-07-02,47,63.0,,0.63,29.61
2016-07-03,46,63.0,,0.63,28.98
2016-07-04,33,63.0,,0.63,20.79
2016-07-05,59,63.0,,0.63,37.17
2016-07-06,60,63.0,,0.63,37.8
2016-07-07,63,63.0,,0.63,39.69
2016-07-08,53,63.0,,0.63,33.39
2016-07-09,53,63.0,,0.63,33.39
2016-07-10,45,63.0,,0.63,28.35
2016-07-11,64,63.0,,0.63,40.32
2016-07-12,54,63.0,,0.63,34.02
2016-07-13,65,63.0,,0.63,40.95
2016-07-14,57,63.0,,0.63,35.910000000000004
2016-07-15,48,63.0,,0.63,30.240000000000002
2016-07-16,44,63.0,,0.63,27.72
2016-07-17,41,63.0,,0.63,25.830000000000002
2016-07-18,69,63.0,,0.63,43.47
2016-07-19,62,63.0,,0.63,39.06
2016-07-20,52,63.0,,0.63,32.76
2016-07-21,56,63.0,,0.63,35.28
2016-07-22,50,63.0,,0.63,31.5
2016-07-23,41,63.0,,0.63,25.830000000000002
2016-07-24,38,63.0,,0.63,23.94
2016-07-25,55,63.0,,0.63,34.65
2016-07-26,70,63.0,,0.63,44.1
2016-07-27,57,63.0,,0.63,35.910000000000004
2016-07-28,100,63.0,,0.63,63.0
2016-07-29,97,63.0,,0.63,61.11
2016-07-30,61,63.0,,0.63,38.43
2016-07-31,54,63.0,,0.63,34.02
2016-08-01,86,64.0,False,0.64,55.04
2016-08-02,76,64.0,,0.64,48.64
2016-08-03,74,64.0,,0.64,47.36
2016-08-04,65,64.0,,0.64,41.6
2016-08-05,76,64.0,,0.64,48.64
2016-08-06,47,64.0,,0.64,30.080000000000002
2016-08-07,68,64.0,,0.64,43.52
2016-08-08,91,64.0,,0.64,58.24
2016-08-09,75,64.0,,0.64,48.0
2016-08-10,75,64.0,,0.64,48.0
2016-08-11,76,64.0,,0.64,48.64
2016-08-12,73,64.0,,0.64,46.72
2016-08-13,63,64.0,,0.64,40.32
2016-08-14,68,64.0,,0.64,43.52
2016-08-15,80,64.0,,0.64,51.2
2016-08-16,86,64.0,,0.64,55.04
2016-08-17,80,64.0,,0.64,51.2
2016-08-18,76,64.0,,0.64,48.64
2016-08-19,75,64.0,,0.64,48.0
2016-08-20,62,64.0,,0.64,39.68
2016-08-21,58,64.0,,0.64,37.12
2016-08-22,85,64.0,,0.64,54.4
2016-08-23,89,64.0,,0.64,56.96
2016-08-24,92,64.0,,0.64,58.88
2016-08-25,100,64.0,,0.64,64.0
2016-08-26,78,64.0,,0.64,49.92
2016-08-27,58,64.0,,0.64,37.12
2016-08-28,52,64.0,,0.64,33.28
2016-08-29,80,64.0,,0.64,51.2
2016-08-30,95,64.0,,0.64,60.800000000000004
2016-08-31,95,64.0,,0.64,60.800000000000004
2016-09-01,77,80.0,False,0.8,61.6
2016-09-02,83,80.0,,0.8,66.4
2016-09-03,37,80.0,,0.8,29.6
2016-09-04,38,80.0,,0.8,30.400000000000002
2016-09-05,43,80.0,,0.8,34.4
2016-09-06,74,80.0,,0.8,59.2
2016-09-07,72,80.0,,0.8,57.6
2016-09-08,83,80.0,,0.8,66.4
2016-09-09,73,80.0,,0.8,58.400000000000006
2016-09-10,41,80.0,,0.8,32.800000000000004
2016-09-11,45,80.0,,0.8,36.0
2016-09-12,83,80.0,,0.8,66.4
2016-09-13,88,80.0,,0.8,70.4
2016-09-14,72,80.0,,0.8,57.6
2016-09-15,89,80.0,,0.8,71.2
2016-09-16,90,80.0,,0.8,72.0
2016-09-17,45,80.0,,0.8,36.0
2016-09-18,35,80.0,,0.8,28.0
2016-09-19,87,80.0,,0.8,69.60000000000001
2016-09-20,81,80.0,,0.8,64.8
2016-09-21,92,80.0,,0.8,73.60000000000001
2016-09-22,100,80.0,,0.8,80.0
2016-09-23,88,80.0,,0.8,70.4
2016-09-24,47,80.0,,0.8,37.6
2016-09-25,46,80.0,,0.8,36.800000000000004
2016-09-26,80,80.0,,0.8,64.0
2016-09-27,88,80.0,,0.8,70.4
2016-09-28,84,80.0,,0.8,67.2
2016-09-29,81,80.0,,0.8,64.8
2016-09-30,77,80.0,,0.8,61.6
2016-10-01,36,98.0,False,0.98,35.28
2016-10-02,35,98.0,,0.98,34.3
2016-10-03,68,98.0,,0.98,66.64
2016-10-04,66,98.0,,0.98,64.67999999999999
2016-10-05,75,98.0,,0.98,73.5
2016-10-06,73,98.0,,0.98,71.53999999999999
2016-10-07,55,98.0,,0.98,53.9
2016-10-08,35,98.0,,0.98,34.3
2016-10-09,35,98.0,,0.98,34.3
2016-10-10,60,98.0,,0.98,58.8
2016-10-11,69,98.0,,0.98,67.62
2016-10-12,72,98.0,,0.98,70.56
2016-10-13,78,98.0,,0.98,76.44
2016-10-14,67,98.0,,0.98,65.66
2016-10-15,34,98.0,,0.98,33.32
2016-10-16,32,98.0,,0.98,31.36
2016-10-17,74,98.0,,0.98,72.52
2016-10-18,74,98.0,,0.98,72.52
2016-10-19,70,98.0,,0.98,68.6
2016-10-20,70,98.0,,0.98,68.6
2016-10-21,73,98.0,,0.98,71.53999999999999
2016-10-22,37,98.0,,0.98,36.26
2016-10-23,38,98.0,,0.98,37.24
2016-10-24,75,98.0,,0.98,73.5
2016-10-25,73,98.0,,0.98,71.53999999999999
2016-10-26,70,98.0,,0.98,68.6
2016-10-27,100,98.0,,0.98,98.0
2016-10-28,88,98.0,,0.98,86.24
2016-10-29,44,98.0,,0.98,43.12
2016-10-30,40,98.0,,0.98,39.2
2016-10-31,67,98.0,,0.98,65.66
2016-11-01,85,86.0,False,0.86,73.1
2016-11-02,91,86.0,,0.86,78.26
2016-11-03,90,86.0,,0.86,77.4
2016-11-04,91,86.0,,0.86,78.26
2016-11-05,46,86.0,,0.86,39.56
2016-11-06,48,86.0,,0.86,41.28
2016-11-07,78,86.0,,0.86,67.08
2016-11-08,71,86.0,,0.86,61.06
2016-11-09,85,86.0,,0.86,73.1
2016-11-10,81,86.0,,0.86,69.66
2016-11-11,72,86.0,,0.86,61.92
2016-11-12,41,86.0,,0.86,35.26
2016-11-13,44,86.0,,0.86,37.839999999999996
2016-11-14,91,86.0,,0.86,78.26
2016-11-15,100,86.0,,0.86,86.0
2016-11-16,92,86.0,,0.86,79.12
2016-11-17,87,86.0,,0.86,74.82
2016-11-18,80,86.0,,0.86,68.8
2016-11-19,37,86.0,,0.86,31.82
2016-11-20,42,86.0,,0.86,36.12
2016-11-21,64,86.0,,0.86,55.04
2016-11-22,62,86.0,,0.86,53.32
2016-11-23,52,86.0,,0.86,44.72
2016-11-24,38,86.0,,0.86,32.68
2016-11-25,53,86.0,,0.86,45.58
2016-11-26,39,86.0,,0.86,33.54
2016-11-27,42,86.0,,0.86,36.12
2016-11-28,71,86.0,,0.86,61.06
2016-11-29,84,86.0,,0.86,72.24
2016-11-30,75,86.0,,0.86,64.5
2016-12-01,82,76.0,False,0.76,62.32
2016-12-02,82,76.0,,0.76,62.32
2016-12-03,42,76.0,,0.76,31.92
2016-12-04,47,76.0,,0.76,35.72
2016-12-05,87,76.0,,0.76,66.12
2016-12-06,84,76.0,,0.76,63.84
2016-12-07,94,76.0,,0.76,71.44
2016-12-08,93,76.0,,0.76,70.68
2016-12-09,77,76.0,,0.76,58.52
2016-12-10,56,76.0,,0.76,42.56
2016-12-11,41,76.0,,0.76,31.16
2016-12-12,91,76.0,,0.76,69.16
2016-12-13,81,76.0,,0.76,61.56
2016-12-14,88,76.0,,0.76,66.88
2016-12-15,100,76.0,,0.76,76.0
2016-12-16,80,76.0,,0.76,60.8
2016-12-17,43,76.0,,0.76,32.68
2016-12-18,47,76.0,,0.76,35.72
2016-12-19,71,76.0,,0.76,53.96
2016-12-20,71,76.0,,0.76,53.96
2016-12-21,67,76.0,,0.76,50.92
2016-12-22,64,76.0,,0.76,48.64
2016-12-23,43,76.0,,0.76,32.68
2016-12-24,44,76.0,,0.76,33.44
2016-12-25,45,76.0,,0.76,34.2
2016-12-26,50,76.0,,0.76,38.0
2016-12-27,48,76.0,,0.76,36.480000000000004
2016-12-28,42,76.0,,0.76,31.92
2016-12-29,53,76.0,,0.76,40.28
2016-12-30,41,76.0,,0.76,31.16
2016-12-31,41,76.0,,0.76,31.16
2017-01-01,27,77.0,False,0.77,20.79
2017-01-02,31,77.0,,0.77,23.87
2017-01-03,56,77.0,,0.77,43.120000000000005
2017-01-04,52,77.0,,0.77,40.04
2017-01-05,58,77.0,,0.77,44.660000000000004
2017-01-06,60,77.0,,0.77,46.2
2017-01-07,36,77.0,,0.77,27.72
2017-01-08,38,77.0,,0.77,29.26
2017-01-09,64,77.0,,0.77,49.28
2017-01-10,64,77.0,,0.77,49.28
2017-01-11,69,77.0,,0.77,53.13
2017-01-12,65,77.0,,0.77,50.050000000000004
2017-01-13,72,77.0,,0.77,55.44
2017-01-14,35,77.0,,0.77,26.95
2017-01-15,36,77.0,,0.77,27.72
2017-01-16,36,77.0,,0.77,27.72
2017-01-17,61,77.0,,0.77,46.97
2017-01-18,67,77.0,,0.77,51.59
2017-01-19,67,77.0,,0.77,51.59
2017-01-20,68,77.0,,0.77,52.36
2017-01-21,36,77.0,,0.77,27.72
2017-01-22,33,77.0,,0.77,25.41
2017-01-23,67,77.0,,0.77,51.59
2017-01-24,70,77.0,,0.77,53.9
2017-01-25,71,77.0,,0.77,54.67
2017-01-26,100,77.0,,0.77,77.0
2017-01-27,95,77.0,,0.77,73.15
2017-01-28,39,77.0,,0.77,30.03
2017-01-29,34,77.0,,0.77,26.18
2017-01-30,68,77.0,,0.77,52.36
2017-01-31,80,77.0,,0.77,61.6
2017-02-01,88,84.0,False,0.84,73.92
2017-02-02,87,84.0,,0.84,73.08
2017-02-03,100,84.0,,0.84,84.0
2017-02-04,57,84.0,,0.84,47.879999999999995
2017-02-05,51,84.0,,0.84,42.839999999999996
2017-02-06,78,84.0,,0.84,65.52
2017-02-07,86,84.0,,0.84,72.24
2017-02-08,82,84.0,,0.84,68.88
2017-02-09,72,84.0,,0.84,60.48
2017-02-10,81,84.0,,0.84,68.03999999999999
2017-02-11,40,84.0,,0.84,33.6
2017-02-12,48,84.0,,0.84,40.32
2017-02-13,78,84.0,,0.84,65.52
2017-02-14,89,84.0,,0.84,74.75999999999999
2017-02-15,91,84.0,,0.84,76.44
2017-02-16,81,84.0,,0.84,68.03999999999999
2017-02-17,86,84.0,,0.84,72.24
2017-02-18,43,84.0,,0.84,36.12
2017-02-19,44,84.0,,0.84,36.96
2017-02-20,57,84.0,,0.84,47.879999999999995
2017-02-21,87,84.0,,0.84,73.08
2017-02-22,82,84.0,,0.84,68.88
2017-02-23,85,84.0,,0.84,71.39999999999999
2017-02-24,78,84.0,,0.84,65.52
2017-02-25,36,84.0,,0.84,30.24
2017-02-26,43,84.0,,0.84,36.12
2017-02-27,74,84.0,,0.84,62.16
2017-02-28,90,84.0,,0.84,75.6
2017-03-01,95,86.0,False,0.86,81.7
2017-03-02,97,86.0,,0.86,83.42
2017-03-03,94,86.0,,0.86,80.84
2017-03-04,50,86.0,,0.86,43.0
2017-03-05,45,86.0,,0.86,38.7
2017-03-06,86,86.0,,0.86,73.96
2017-03-07,85,86.0,,0.86,73.1
2017-03-08,92,86.0,,0.86,79.12
2017-03-09,98,86.0,,0.86,84.28
2017-03-10,82,86.0,,0.86,70.52
2017-03-11,52,86.0,,0.86,44.72
2017-03-12,37,86.0,,0.86,31.82
2017-03-13,82,86.0,,0.86,70.52
2017-03-14,77,86.0,,0.86,66.22
2017-03-15,87,86.0,,0.86,74.82
2017-03-16,93,86.0,,0.86,79.98
2017-03-17,86,86.0,,0.86,73.96
2017-03-18,51,86.0,,0.86,43.86
2017-03-19,50,86.0,,0.86,43.0
2017-03-20,96,86.0,,0.86,82.56
2017-03-21,100,86.0,,0.86,86.0
2017-03-22,93,86.0,,0.86,79.98
2017-03-23,97,86.0,,0.86,83.42
2017-03-24,84,86.0,,0.86,72.24
2017-03-25,46,86.0,,0.86,39.56
2017-03-26,48,86.0,,0.86,41.28
2017-03-27,97,86.0,,0.86,83.42
2017-03-28,82,86.0,,0.86,70.52
2017-03-29,83,86.0,,0.86,71.38
2017-03-30,91,86.0,,0.86,78.26
2017-03-31,73,86.0,,0.86,62.78
2017-04-01,43,75.0,False,0.75,32.25
2017-04-02,26,75.0,,0.75,19.5
2017-04-03,74,75.0,,0.75,55.5
2017-04-04,65,75.0,,0.75,48.75
2017-04-05,64,75.0,,0.75,48.0
2017-04-06,73,75.0,,0.75,54.75
2017-04-07,59,75.0,,0.75,44.25
2017-04-08,32,75.0,,0.75,24.0
2017-04-09,36,75.0,,0.75,27.0
2017-04-10,57,75.0,,0.75,42.75
2017-04-11,58,75.0,,0.75,43.5
2017-04-12,61,75.0,,0.75,45.75
2017-04-13,59,75.0,,0.75,44.25
2017-04-14,46,75.0,,0.75,34.5
2017-04-15,23,75.0,,0.75,17.25
2017-04-16,33,75.0,,0.75,24.75
2017-04-17,53,75.0,,0.75,39.75
2017-04-18,66,75.0,,0.75,49.5
2017-04-19,71,75.0,,0.75,53.25
2017-04-20,67,75.0,,0.75,50.25
2017-04-21,57,75.0,,0.75,42.75
2017-04-22,39,75.0,,0.75,29.25
2017-04-23,36,75.0,,0.75,27.0
2017-04-24,72,75.0,,0.75,54.0
2017-04-25,71,75.0,,0.75,53.25
2017-04-26,68,75.0,,0.75,51.0
2017-04-27,100,75.0,,0.75,75.0
2017-04-28,96,75.0,,0.75,72.0
2017-04-29,43,75.0,,0.75,32.25
2017-04-30,34,75.0,,0.75,25.5
2017-05-01,100,84.0,False,0.84,84.0
2017-05-02,97,84.0,,0.84,81.48
2017-05-03,90,84.0,,0.84,75.6
2017-05-04,94,84.0,,0.84,78.96
2017-05-05,94,84.0,,0.84,78.96
2017-05-06,41,84.0,,0.84,34.44
2017-05-07,41,84.0,,0.84,34.44
2017-05-08,80,84.0,,0.84,67.2
2017-05-09,84,84.0,,0.84,70.56
2017-05-10,81,84.0,,0.84,68.03999999999999
2017-05-11,80,84.0,,0.84,67.2
2017-05-12,78,84.0,,0.84,65.52
2017-05-13,36,84.0,,0.84,30.24
2017-05-14,41,84.0,,0.84,34.44
2017-05-15,83,84.0,,0.84,69.72
2017-05-16,83,84.0,,0.84,69.72
2017-05-17,98,84.0,,0.84,82.32
2017-05-18,90,84.0,,0.84,75.6
2017-05-19,70,84.0,,0.84,58.8
2017-05-20,49,84.0,,0.84,41.16
2017-05-21,51,84.0,,0.84,42.839999999999996
2017-05-22,82,84.0,,0.84,68.88
2017-05-23,80,84.0,,0.84,67.2
2017-05-24,89,84.0,,0.84,74.75999999999999
2017-05-25,100,84.0,,0.84,84.0
2017-05-26,80,84.0,,0.84,67.2
2017-05-27,36,84.0,,0.84,30.24
2017-05-28,30,84.0,,0.84,25.2
2017-05-29,39,84.0,,0.84,32.76
2017-05-30,81,84.0,,0.84,68.03999999999999
2017-05-31,89,84.0,,0.84,74.75999999999999
2017-06-01,94,63.0,False,0.63,59.22
2017-06-02,84,63.0,,0.63,52.92
2017-06-03,43,63.0,,0.63,27.09
2017-06-04,40,63.0,,0.63,25.2
2017-06-05,96,63.0,,0.63,60.480000000000004
2017-06-06,100,63.0,,0.63,63.0
2017-06-07,83,63.0,,0.63,52.29
2017-06-08,86,63.0,,0.63,54.18
2017-06-09,91,63.0,,0.63,57.33
2017-06-10,50,63.0,,0.63,31.5
2017-06-11,44,63.0,,0.63,27.72
2017-06-12,92,63.0,,0.63,57.96
2017-06-13,78,63.0,,0.63,49.14
2017-06-14,81,63.0,,0.63,51.03
2017-06-15,97,63.0,,0.63,61.11
2017-06-16,80,63.0,,0.63,50.4
2017-06-17,47,63.0,,0.63,29.61
2017-06-18,42,63.0,,0.63,26.46
2017-06-19,67,63.0,,0.63,42.21
2017-06-20,73,63.0,,0.63,45.99
2017-06-21,66,63.0,,0.63,41.58
2017-06-22,66,63.0,,0.63,41.58
2017-06-23,55,63.0,,0.63,34.65
2017-06-24,45,63.0,,0.63,28.35
2017-06-25,41,63.0,,0.63,25.830000000000002
2017-06-26,63,63.0,,0.63,39.69
2017-06-27,91,63.0,,0.63,57.33
2017-06-28,79,63.0,,0.63,49.77
2017-06-29,74,63.0,,0.63,46.62
2017-06-30,69,63.0,,0.63,43.47
2017-07-01,36,54.0,False,0.54,19.44
2017-07-02,38,54.0,,0.54,20.520000000000003
2017-07-03,59,54.0,,0.54,31.860000000000003
2017-07-04,53,54.0,,0.54,28.62
2017-07-05,55,54.0,,0.54,29.700000000000003
2017-07-06,60,54.0,,0.54,32.400000000000006
2017-07-07,50,54.0,,0.54,27.0
2017-07-08,33,54.0,,0.54,17.82
2017-07-09,35,54.0,,0.54,18.900000000000002
2017-07-10,55,54.0,,0.54,29.700000000000003
2017-07-11,50,54.0,,0.54,27.0
2017-07-12,59,54.0,,0.54,31.860000000000003
2017-07-13,47,54.0,,0.54,25.380000000000003
2017-07-14,44,54.0,,0.54,23.76
2017-07-15,30,54.0,,0.54,16.200000000000003
2017-07-16,31,54.0,,0.54,16.740000000000002
2017-07-17,46,54.0,,0.54,24.840000000000003
2017-07-18,48,54.0,,0.54,25.92
2017-07-19,52,54.0,,0.54,28.080000000000002
2017-07-20,51,54.0,,0.54,27.540000000000003
2017-07-21,48,54.0,,0.54,25.92
2017-07-22,38,54.0,,0.54,20.520000000000003
2017-07-23,34,54.0,,0.54,18.36
2017-07-24,100,54.0,,0.54,54.0
2017-07-25,94,54.0,,0.54,50.760000000000005
2017-07-26,60,54.0,,0.54,32.400000000000006
2017-07-27,76,54.0,,0.54,41.040000000000006
2017-07-28,63,54.0,,0.54,34.02
2017-07-29,32,54.0,,0.54,17.28
2017-07-30,38,54.0,,0.54,20.520000000000003
2017-07-31,61,54.0,,0.54,32.940000000000005
2017-08-01,76,57.0,False,0.57,43.31999999999999
2017-08-02,76,57.0,,0.57,43.31999999999999
2017-08-03,96,57.0,,0.57,54.72
2017-08-04,77,57.0,,0.57,43.88999999999999
2017-08-05,46,57.0,,0.57,26.22
2017-08-06,52,57.0,,0.57,29.639999999999997
2017-08-07,69,57.0,,0.57,39.33
2017-08-08,75,57.0,,0.57,42.74999999999999
2017-08-09,74,57.0,,0.57,42.18
2017-08-10,71,57.0,,0.57,40.47
2017-08-11,77,57.0,,0.57,43.88999999999999
2017-08-12,44,57.0,,0.57,25.08
2017-08-13,42,57.0,,0.57,23.939999999999998
2017-08-14,93,57.0,,0.57,53.01
2017-08-15,85,57.0,,0.57,48.449999999999996
2017-08-16,64,57.0,,0.57,36.48
2017-08-17,78,57.0,,0.57,44.459999999999994
2017-08-18,84,57.0,,0.57,47.879999999999995
2017-08-19,40,57.0,,0.57,22.799999999999997
2017-08-20,36,57.0,,0.57,20.52
2017-08-21,91,57.0,,0.57,51.87
2017-08-22,96,57.0,,0.57,54.72
2017-08-23,91,57.0,,0.57,51.87
2017-08-24,89,57.0,,0.57,50.73
2017-08-25,100,57.0,,0.57,56.99999999999999
2017-08-26,55,57.0,,0.57,31.349999999999998
2017-08-27,52,57.0,,0.57,29.639999999999997
2017-08-28,92,57.0,,0.57,52.44
2017-08-29,91,57.0,,0.57,51.87
2017-08-30,99,57.0,,0.57,56.42999999999999
2017-08-31,97,57.0,,0.57,55.28999999999999
2017-09-01,74,71.0,False,0.71,52.54
2017-09-02,39,71.0,,0.71,27.689999999999998
2017-09-03,30,71.0,,0.71,21.299999999999997
2017-09-04,43,71.0,,0.71,30.529999999999998
2017-09-05,77,71.0,,0.71,54.669999999999995
2017-09-06,71,71.0,,0.71,50.41
2017-09-07,79,71.0,,0.71,56.089999999999996
2017-09-08,75,71.0,,0.71,53.25
2017-09-09,42,71.0,,0.71,29.82
2017-09-10,34,71.0,,0.71,24.14
2017-09-11,87,71.0,,0.71,61.769999999999996
2017-09-12,81,71.0,,0.71,57.51
2017-09-13,94,71.0,,0.71,66.74
2017-09-14,88,71.0,,0.71,62.48
2017-09-15,84,71.0,,0.71,59.64
2017-09-16,34,71.0,,0.71,24.14
2017-09-17,41,71.0,,0.71,29.11
2017-09-18,93,71.0,,0.71,66.03
2017-09-19,82,71.0,,0.71,58.22
2017-09-20,84,71.0,,0.71,59.64
2017-09-21,96,71.0,,0.71,68.16
2017-09-22,89,71.0,,0.71,63.19
2017-09-23,37,71.0,,0.71,26.27
2017-09-24,48,71.0,,0.71,34.08
2017-09-25,86,71.0,,0.71,61.059999999999995
2017-09-26,91,71.0,,0.71,64.61
2017-09-27,86,71.0,,0.71,61.059999999999995
2017-09-28,100,71.0,,0.71,71.0
2017-09-29,100,71.0,,0.71,71.0
2017-09-30,38,71.0,,0.71,26.979999999999997
2017-10-01,30,88.0,False,0.88,26.4
2017-10-02,59,88.0,,0.88,51.92
2017-10-03,61,88.0,,0.88,53.68
2017-10-04,68,88.0,,0.88,59.84
2017-10-05,71,88.0,,0.88,62.48
2017-10-06,65,88.0,,0.88,57.2
2017-10-07,29,88.0,,0.88,25.52
2017-10-08,27,88.0,,0.88,23.76
2017-10-09,48,88.0,,0.88,42.24
2017-10-10,68,88.0,,0.88,59.84
2017-10-11,63,88.0,,0.88,55.44
2017-10-12,68,88.0,,0.88,59.84
2017-10-13,68,88.0,,0.88,59.84
2017-10-14,32,88.0,,0.88,28.16
2017-10-15,28,88.0,,0.88,24.64
2017-10-16,68,88.0,,0.88,59.84
2017-10-17,67,88.0,,0.88,58.96
2017-10-18,63,88.0,,0.88,55.44
2017-10-19,72,88.0,,0.88,63.36
2017-10-20,71,88.0,,0.88,62.48
2017-10-21,30,88.0,,0.88,26.4
2017-10-22,29,88.0,,0.88,25.52
2017-10-23,61,88.0,,0.88,53.68
2017-10-24,69,88.0,,0.88,60.72
2017-10-25,67,88.0,,0.88,58.96
2017-10-26,100,88.0,,0.88,88.0
2017-10-27,88,88.0,,0.88,77.44
2017-10-28,37,88.0,,0.88,32.56
2017-10-29,33,88.0,,0.88,29.04
2017-10-30,62,88.0,,0.88,54.56
2017-10-31,65,88.0,,0.88,57.2
2017-11-01,97,79.0,False,0.79,76.63000000000001
2017-11-02,89,79.0,,0.79,70.31
2017-11-03,90,79.0,,0.79,71.10000000000001
2017-11-04,45,79.0,,0.79,35.550000000000004
2017-11-05,48,79.0,,0.79,37.92
2017-11-06,85,79.0,,0.79,67.15
2017-11-07,92,79.0,,0.79,72.68
2017-11-08,95,79.0,,0.79,75.05
2017-11-09,94,79.0,,0.79,74.26
2017-11-10,61,79.0,,0.79,48.190000000000005
2017-11-11,47,79.0,,0.79,37.13
2017-11-12,47,79.0,,0.79,37.13
2017-11-13,88,79.0,,0.79,69.52000000000001
2017-11-14,90,79.0,,0.79,71.10000000000001
2017-11-15,84,79.0,,0.79,66.36
2017-11-16,96,79.0,,0.79,75.84
2017-11-17,98,79.0,,0.79,77.42
2017-11-18,41,79.0,,0.79,32.39
2017-11-19,48,79.0,,0.79,37.92
2017-11-20,82,79.0,,0.79,64.78
2017-11-21,82,79.0,,0.79,64.78
2017-11-22,50,79.0,,0.79,39.5
2017-11-23,42,79.0,,0.79,33.18
2017-11-24,43,79.0,,0.79,33.97
2017-11-25,44,79.0,,0.79,34.760000000000005
2017-11-26,39,79.0,,0.79,30.810000000000002
2017-11-27,85,79.0,,0.79,67.15
2017-11-28,87,79.0,,0.79,68.73
2017-11-29,100,79.0,,0.79,79.0
2017-11-30,88,79.0,,0.79,69.52000000000001
2017-12-01,82,67.0,False,0.67,54.940000000000005
2017-12-02,38,67.0,,0.67,25.46
2017-12-03,49,67.0,,0.67,32.830000000000005
2017-12-04,93,67.0,,0.67,62.31
2017-12-05,95,67.0,,0.67,63.650000000000006
2017-12-06,89,67.0,,0.67,59.63
2017-12-07,100,67.0,,0.67,67.0
2017-12-08,89,67.0,,0.67,59.63
2017-12-09,54,67.0,,0.67,36.18
2017-12-10,49,67.0,,0.67,32.830000000000005
2017-12-11,100,67.0,,0.67,67.0
2017-12-12,85,67.0,,0.67,56.95
2017-12-13,90,67.0,,0.67,60.300000000000004
2017-12-14,88,67.0,,0.67,58.96
2017-12-15,83,67.0,,0.67,55.61000000000001
2017-12-16,57,67.0,,0.67,38.190000000000005
2017-12-17,42,67.0,,0.67,28.14
2017-12-18,90,67.0,,0.67,60.300000000000004
2017-12-19,78,67.0,,0.67,52.260000000000005
2017-12-20,84,67.0,,0.67,56.28
2017-12-21,69,67.0,,0.67,46.230000000000004
2017-12-22,64,67.0,,0.67,42.88
2017-12-23,35,67.0,,0.67,23.450000000000003
2017-12-24,33,67.0,,0.67,22.110000000000003
2017-12-25,34,67.0,,0.67,22.78
2017-12-26,47,67.0,,0.67,31.490000000000002
2017-12-27,49,67.0,,0.67,32.830000000000005
2017-12-28,45,67.0,,0.67,30.150000000000002
2017-12-29,45,67.0,,0.67,30.150000000000002
2017-12-30,33,67.0,,0.67,22.110000000000003
