date,TSLA_unscaled,TSLA_monthly,isPartial,scale,TSLA
2016-08-05,36,7.0,,0.07,2.5200000000000005
2016-08-06,7,7.0,,0.07,0.49000000000000005
2016-08-07,6,7.0,,0.07,0.42000000000000004
2016-08-08,36,7.0,,0.07,2.5200000000000005
2016-08-09,29,7.0,,0.07,2.0300000000000002
2016-08-10,29,7.0,,0.07,2.0300000000000002
2016-08-11,35,7.0,,0.07,2.45
2016-08-12,25,7.0,,0.07,1.7500000000000002
2016-08-13,5,7.0,,0.07,0.35000000000000003
2016-08-14,4,7.0,,0.07,0.28
2016-08-15,31,7.0,,0.07,2.1700000000000004
2016-08-16,24,7.0,,0.07,1.6800000000000002
2016-08-17,20,7.0,,0.07,1.4000000000000001
2016-08-18,20,7.0,,0.07,1.4000000000000001
2016-08-19,19,7.0,,0.07,1.33
2016-08-20,4,7.0,,0.07,0.28
2016-08-21,6,7.0,,0.07,0.42000000000000004
2016-08-22,23,7.0,,0.07,1.61
2016-08-23,50,7.0,,0.07,3.5000000000000004
2016-08-24,42,7.0,,0.07,2.9400000000000004
2016-08-25,25,7.0,,0.07,1.7500000000000002
2016-08-26,21,7.0,,0.07,1.4700000000000002
2016-08-27,9,7.0,,0.07,0.6300000000000001
2016-08-28,3,7.0,,0.07,0.21000000000000002
2016-08-29,22,7.0,,0.07,1.54
2016-08-30,33,7.0,,0.07,2.31
2016-08-31,27,7.0,,0.07,1.8900000000000001
2016-09-01,94,7.0,False,0.07,6.580000000000001
2016-09-02,100,7.0,,0.07,7.000000000000001
2016-09-03,20,7.0,,0.07,1.4000000000000001
2016-09-04,13,7.0,,0.07,0.9100000000000001
2016-09-05,12,7.0,,0.07,0.8400000000000001
2016-09-06,68,7.0,,0.07,4.760000000000001
2016-09-07,58,7.0,,0.07,4.0600000000000005
2016-09-08,54,7.0,,0.07,3.7800000000000002
2016-09-09,50,7.0,,0.07,3.5000000000000004
2016-09-10,10,7.0,,0.07,0.7000000000000001
2016-09-11,7,7.0,,0.07,0.49000000000000005
2016-09-12,59,7.0,,0.07,4.130000000000001
2016-09-13,59,7.0,,0.07,4.130000000000001
2016-09-14,57,7.0,,0.07,3.99
2016-09-15,52,7.0,,0.07,3.6400000000000006
2016-09-16,56,7.0,,0.07,3.9200000000000004
2016-09-17,16,7.0,,0.07,1.12
2016-09-18,14,7.0,,0.07,0.9800000000000001
2016-09-19,43,7.0,,0.07,3.0100000000000002
2016-09-20,52,7.0,,0.07,3.6400000000000006
2016-09-21,47,7.0,,0.07,3.2900000000000005
2016-09-22,60,7.0,,0.07,4.2
2016-09-23,53,7.0,,0.07,3.7100000000000004
2016-09-24,19,7.0,,0.07,1.33
2016-09-25,13,7.0,,0.07,0.9100000000000001
2016-09-26,52,7.0,,0.07,3.6400000000000006
2016-09-27,48,7.0,,0.07,3.3600000000000003
2016-09-28,35,7.0,,0.07,2.45
2016-09-29,45,7.0,,0.07,3.1500000000000004
2016-09-30,34,7.0,,0.07,2.3800000000000003
2016-10-01,10,8.0,False,0.08,0.8
2016-10-02,7,8.0,,0.08,0.56
2016-10-03,56,8.0,,0.08,4.48
2016-10-04,34,8.0,,0.08,2.72
2016-10-05,26,8.0,,0.08,2.08
2016-10-06,34,8.0,,0.08,2.72
2016-10-07,28,8.0,,0.08,2.24
2016-10-08,5,8.0,,0.08,0.4
2016-10-09,7,8.0,,0.08,0.56
2016-10-10,30,8.0,,0.08,2.4
2016-10-11,28,8.0,,0.08,2.24
2016-10-12,28,8.0,,0.08,2.24
2016-10-13,23,8.0,,0.08,1.84
2016-10-14,25,8.0,,0.08,2.0
2016-10-15,7,8.0,,0.08,0.56
2016-10-16,5,8.0,,0.08,0.4
2016-10-17,32,8.0,,0.08,2.56
2016-10-18,33,8.0,,0.08,2.64
2016-10-19,50,8.0,,0.08,4.0
2016-10-20,58,8.0,,0.08,4.64
2016-10-21,29,8.0,,0.08,2.32
2016-10-22,8,8.0,,0.08,0.64
2016-10-23,6,8.0,,0.08,0.48
2016-10-24,35,8.0,,0.08,2.8000000000000003
2016-10-25,37,8.0,,0.08,2.96
2016-10-26,88,8.0,,0.08,7.04
2016-10-27,100,8.0,,0.08,8.0
2016-10-28,44,8.0,,0.08,3.52
2016-10-29,27,8.0,,0.08,2.16
2016-10-30,10,8.0,,0.08,0.8
2016-10-31,34,8.0,,0.08,2.72
2016-11-01,83,8.0,False,0.08,6.640000000000001
2016-11-02,78,8.0,,0.08,6.24
2016-11-03,62,8.0,,0.08,4.96
2016-11-04,61,8.0,,0.08,4.88
2016-11-05,22,8.0,,0.08,1.76
2016-11-06,15,8.0,,0.08,1.2
2016-11-07,77,8.0,,0.08,6.16
2016-11-08,59,8.0,,0.08,4.72
2016-11-09,100,8.0,,0.08,8.0
2016-11-10,90,8.0,,0.08,7.2
2016-11-11,68,8.0,,0.08,5.44
2016-11-12,16,8.0,,0.08,1.28
2016-11-13,10,8.0,,0.08,0.8
2016-11-14,59,8.0,,0.08,4.72
2016-11-15,58,8.0,,0.08,4.64
2016-11-16,62,8.0,,0.08,4.96
2016-11-17,83,8.0,,0.08,6.640000000000001
2016-11-18,82,8.0,,0.08,6.5600000000000005
2016-11-19,19,8.0,,0.08,1.52
2016-11-20,19,8.0,,0.08,1.52
2016-11-21,64,8.0,,0.08,5.12
2016-11-22,68,8.0,,0.08,5.44
2016-11-23,77,8.0,,0.08,6.16
2016-11-24,16,8.0,,0.08,1.28
2016-11-25,38,8.0,,0.08,3.04
2016-11-26,13,8.0,,0.08,1.04
2016-11-27,10,8.0,,0.08,0.8
2016-11-28,51,8.0,,0.08,4.08
2016-11-29,59,8.0,,0.08,4.72
2016-11-30,58,8.0,,0.08,4.64
2016-12-01,88,7.0,False,0.07,6.16
2016-12-02,100,7.0,,0.07,7.000000000000001
2016-12-03,31,7.0,,0.07,2.1700000000000004
2016-12-04,16,7.0,,0.07,1.12
2016-12-05,71,7.0,,0.07,4.970000000000001
2016-12-06,83,7.0,,0.07,5.8100000000000005
2016-12-07,76,7.0,,0.07,5.32
2016-12-08,72,7.0,,0.07,5.040000000000001
2016-12-09,61,7.0,,0.07,4.2700000000000005
2016-12-10,27,7.0,,0.07,1.8900000000000001
2016-12-11,8,7.0,,0.07,0.56
2016-12-12,55,7.0,,0.07,3.8500000000000005
2016-12-13,86,7.0,,0.07,6.0200000000000005
2016-12-14,92,7.0,,0.07,6.44
2016-12-15,81,7.0,,0.07,5.670000000000001
2016-12-16,76,7.0,,0.07,5.32
2016-12-17,24,7.0,,0.07,1.6800000000000002
2016-12-18,12,7.0,,0.07,0.8400000000000001
2016-12-19,58,7.0,,0.07,4.0600000000000005
2016-12-20,80,7.0,,0.07,5.6000000000000005
2016-12-21,86,7.0,,0.07,6.0200000000000005
2016-12-22,70,7.0,,0.07,4.9
2016-12-23,60,7.0,,0.07,4.2
2016-12-24,16,7.0,,0.07,1.12
2016-12-25,14,7.0,,0.07,0.9800000000000001
2016-12-26,19,7.0,,0.07,1.33
2016-12-27,97,7.0,,0.07,6.790000000000001
2016-12-28,87,7.0,,0.07,6.090000000000001
2016-12-29,80,7.0,,0.07,5.6000000000000005
2016-12-30,65,7.0,,0.07,4.550000000000001
2016-12-31,16,7.0,,0.07,1.12
2017-01-01,13,8.0,False,0.08,1.04
2017-01-02,14,8.0,,0.08,1.12
2017-01-03,68,8.0,,0.08,5.44
2017-01-04,100,8.0,,0.08,8.0
2017-01-05,71,8.0,,0.08,5.68
2017-01-06,64,8.0,,0.08,5.12
2017-01-07,22,8.0,,0.08,1.76
2017-01-08,13,8.0,,0.08,1.04
2017-01-09,56,8.0,,0.08,4.48
2017-01-10,60,8.0,,0.08,4.8
2017-01-11,63,8.0,,0.08,5.04
2017-01-12,44,8.0,,0.08,3.52
2017-01-13,61,8.0,,0.08,4.88
2017-01-14,21,8.0,,0.08,1.68
2017-01-15,12,8.0,,0.08,0.96
2017-01-16,26,8.0,,0.08,2.08
2017-01-17,52,8.0,,0.08,4.16
2017-01-18,58,8.0,,0.08,4.64
2017-01-19,94,8.0,,0.08,7.5200000000000005
2017-01-20,68,8.0,,0.08,5.44
2017-01-21,21,8.0,,0.08,1.68
2017-01-22,12,8.0,,0.08,0.96
2017-01-23,59,8.0,,0.08,4.72
2017-01-24,78,8.0,,0.08,6.24
2017-01-25,82,8.0,,0.08,6.5600000000000005
2017-01-26,74,8.0,,0.08,5.92
2017-01-27,57,8.0,,0.08,4.5600000000000005
2017-01-28,15,8.0,,0.08,1.2
2017-01-29,18,8.0,,0.08,1.44
2017-01-30,58,8.0,,0.08,4.64
2017-01-31,64,8.0,,0.08,5.12
2017-02-01,30,12.0,False,0.12,3.5999999999999996
2017-02-02,29,12.0,,0.12,3.48
2017-02-03,25,12.0,,0.12,3.0
2017-02-04,8,12.0,,0.12,0.96
2017-02-05,5,12.0,,0.12,0.6
2017-02-06,21,12.0,,0.12,2.52
2017-02-07,35,12.0,,0.12,4.2
2017-02-08,28,12.0,,0.12,3.36
2017-02-09,43,12.0,,0.12,5.16
2017-02-10,38,12.0,,0.12,4.56
2017-02-11,11,12.0,,0.12,1.3199999999999998
2017-02-12,8,12.0,,0.12,0.96
2017-02-13,45,12.0,,0.12,5.3999999999999995
2017-02-14,52,12.0,,0.12,6.24
2017-02-15,45,12.0,,0.12,5.3999999999999995
2017-02-16,48,12.0,,0.12,5.76
2017-02-17,46,12.0,,0.12,5.52
2017-02-18,11,12.0,,0.12,1.3199999999999998
2017-02-19,9,12.0,,0.12,1.08
2017-02-20,16,12.0,,0.12,1.92
2017-02-21,45,12.0,,0.12,5.3999999999999995
2017-02-22,97,12.0,,0.12,11.639999999999999
2017-02-23,100,12.0,,0.12,12.0
2017-02-24,59,12.0,,0.12,7.08
2017-02-25,12,12.0,,0.12,1.44
2017-02-26,9,12.0,,0.12,1.08
2017-02-27,63,12.0,,0.12,7.56
2017-02-28,55,12.0,,0.12,6.6
2017-03-01,99,8.0,False,0.08,7.92
2017-03-02,76,8.0,,0.08,6.08
2017-03-03,79,8.0,,0.08,6.32
2017-03-04,24,8.0,,0.08,1.92
2017-03-05,14,8.0,,0.08,1.12
2017-03-06,58,8.0,,0.08,4.64
2017-03-07,61,8.0,,0.08,4.88
2017-03-08,53,8.0,,0.08,4.24
2017-03-09,53,8.0,,0.08,4.24
2017-03-10,57,8.0,,0.08,4.5600000000000005
2017-03-11,10,8.0,,0.08,0.8
2017-03-12,9,8.0,,0.08,0.72
2017-03-13,40,8.0,,0.08,3.2
2017-03-14,76,8.0,,0.08,6.08
2017-03-15,77,8.0,,0.08,6.16
2017-03-16,96,8.0,,0.08,7.68
2017-03-17,73,8.0,,0.08,5.84
2017-03-18,19,8.0,,0.08,1.52
2017-03-19,11,8.0,,0.08,0.88
2017-03-20,52,8.0,,0.08,4.16
2017-03-21,73,8.0,,0.08,5.84
2017-03-22,55,8.0,,0.08,4.4
2017-03-23,43,8.0,,0.08,3.44
2017-03-24,60,8.0,,0.08,4.8
2017-03-25,17,8.0,,0.08,1.36
2017-03-26,14,8.0,,0.08,1.12
2017-03-27,64,8.0,,0.08,5.12
2017-03-28,100,8.0,,0.08,8.0
2017-03-29,75,8.0,,0.08,6.0
2017-03-30,75,8.0,,0.08,6.0
2017-03-31,66,8.0,,0.08,5.28
2017-04-01,9,12.0,False,0.12,1.08
2017-04-02,10,12.0,,0.12,1.2
2017-04-03,90,12.0,,0.12,10.799999999999999
2017-04-04,100,12.0,,0.12,12.0
2017-04-05,70,12.0,,0.12,8.4
2017-04-06,54,12.0,,0.12,6.4799999999999995
2017-04-07,45,12.0,,0.12,5.3999999999999995
2017-04-08,10,12.0,,0.12,1.2
2017-04-09,8,12.0,,0.12,0.96
2017-04-10,77,12.0,,0.12,9.24
2017-04-11,65,12.0,,0.12,7.8
2017-04-12,55,12.0,,0.12,6.6
2017-04-13,60,12.0,,0.12,7.199999999999999
2017-04-14,33,12.0,,0.12,3.96
2017-04-15,9,12.0,,0.12,1.08
2017-04-16,10,12.0,,0.12,1.2
2017-04-17,37,12.0,,0.12,4.4399999999999995
2017-04-18,45,12.0,,0.12,5.3999999999999995
2017-04-19,39,12.0,,0.12,4.68
2017-04-20,43,12.0,,0.12,5.16
2017-04-21,39,12.0,,0.12,4.68
2017-04-22,9,12.0,,0.12,1.08
2017-04-23,6,12.0,,0.12,0.72
2017-04-24,41,12.0,,0.12,4.92
2017-04-25,51,12.0,,0.12,6.12
2017-04-26,39,12.0,,0.12,4.68
2017-04-27,39,12.0,,0.12,4.68
2017-04-28,38,12.0,,0.12,4.56
2017-04-29,11,12.0,,0.12,1.3199999999999998
2017-04-30,14,12.0,,0.12,1.68
2017-05-01,58,14.0,False,0.14,8.120000000000001
2017-05-02,52,14.0,,0.14,7.280000000000001
2017-05-03,92,14.0,,0.14,12.88
2017-05-04,100,14.0,,0.14,14.000000000000002
2017-05-05,60,14.0,,0.14,8.4
2017-05-06,13,14.0,,0.14,1.8200000000000003
2017-05-07,13,14.0,,0.14,1.8200000000000003
2017-05-08,48,14.0,,0.14,6.720000000000001
2017-05-09,54,14.0,,0.14,7.5600000000000005
2017-05-10,65,14.0,,0.14,9.100000000000001
2017-05-11,58,14.0,,0.14,8.120000000000001
2017-05-12,41,14.0,,0.14,5.74
2017-05-13,13,14.0,,0.14,1.8200000000000003
2017-05-14,9,14.0,,0.14,1.2600000000000002
2017-05-15,49,14.0,,0.14,6.86
2017-05-16,40,14.0,,0.14,5.6000000000000005
2017-05-17,44,14.0,,0.14,6.16
2017-05-18,46,14.0,,0.14,6.44
2017-05-19,40,14.0,,0.14,5.6000000000000005
2017-05-20,12,14.0,,0.14,1.6800000000000002
2017-05-21,7,14.0,,0.14,0.9800000000000001
2017-05-22,33,14.0,,0.14,4.62
2017-05-23,37,14.0,,0.14,5.180000000000001
2017-05-24,35,14.0,,0.14,4.9
2017-05-25,35,14.0,,0.14,4.9
2017-05-26,36,14.0,,0.14,5.040000000000001
2017-05-27,8,14.0,,0.14,1.12
2017-05-28,4,14.0,,0.14,0.56
2017-05-29,10,14.0,,0.14,1.4000000000000001
2017-05-30,47,14.0,,0.14,6.580000000000001
2017-05-31,52,14.0,,0.14,7.280000000000001
2017-06-01,75,15.0,False,0.15,11.25
2017-06-02,61,15.0,,0.15,9.15
2017-06-03,13,15.0,,0.15,1.95
2017-06-04,10,15.0,,0.15,1.5
2017-06-05,58,15.0,,0.15,8.7
2017-06-06,83,15.0,,0.15,12.45
2017-06-07,79,15.0,,0.15,11.85
2017-06-08,76,15.0,,0.15,11.4
2017-06-09,100,15.0,,0.15,15.0
2017-06-10,26,15.0,,0.15,3.9
2017-06-11,14,15.0,,0.15,2.1
2017-06-12,68,15.0,,0.15,10.2
2017-06-13,85,15.0,,0.15,12.75
2017-06-14,91,15.0,,0.15,13.65
2017-06-15,84,15.0,,0.15,12.6
2017-06-16,71,15.0,,0.15,10.65
2017-06-17,17,15.0,,0.15,2.55
2017-06-18,13,15.0,,0.15,1.95
2017-06-19,64,15.0,,0.15,9.6
2017-06-20,80,15.0,,0.15,12.0
2017-06-21,59,15.0,,0.15,8.85
2017-06-22,68,15.0,,0.15,10.2
2017-06-23,66,15.0,,0.15,9.9
2017-06-24,19,15.0,,0.15,2.85
2017-06-25,9,15.0,,0.15,1.3499999999999999
2017-06-26,60,15.0,,0.15,9.0
2017-06-27,59,15.0,,0.15,8.85
2017-06-28,64,15.0,,0.15,9.6
2017-06-29,66,15.0,,0.15,9.9
2017-06-30,46,15.0,,0.15,6.8999999999999995
2017-07-01,8,16.0,False,0.16,1.28
2017-07-02,10,16.0,,0.16,1.6
2017-07-03,54,16.0,,0.16,8.64
2017-07-04,18,16.0,,0.16,2.88
2017-07-05,79,16.0,,0.16,12.64
2017-07-06,100,16.0,,0.16,16.0
2017-07-07,80,16.0,,0.16,12.8
2017-07-08,19,16.0,,0.16,3.04
2017-07-09,12,16.0,,0.16,1.92
2017-07-10,60,16.0,,0.16,9.6
2017-07-11,54,16.0,,0.16,8.64
2017-07-12,50,16.0,,0.16,8.0
2017-07-13,39,16.0,,0.16,6.24
2017-07-14,39,16.0,,0.16,6.24
2017-07-15,14,16.0,,0.16,2.24
2017-07-16,9,16.0,,0.16,1.44
2017-07-17,48,16.0,,0.16,7.68
2017-07-18,42,16.0,,0.16,6.72
2017-07-19,37,16.0,,0.16,5.92
2017-07-20,38,16.0,,0.16,6.08
2017-07-21,28,16.0,,0.16,4.48
2017-07-22,8,16.0,,0.16,1.28
2017-07-23,5,16.0,,0.16,0.8
2017-07-24,38,16.0,,0.16,6.08
2017-07-25,39,16.0,,0.16,6.24
2017-07-26,36,16.0,,0.16,5.76
2017-07-27,41,16.0,,0.16,6.5600000000000005
2017-07-28,37,16.0,,0.16,5.92
2017-07-29,27,16.0,,0.16,4.32
2017-07-30,13,16.0,,0.16,2.08
2017-07-31,43,16.0,,0.16,6.88
2017-08-01,47,12.0,False,0.12,5.64
2017-08-02,100,12.0,,0.12,12.0
2017-08-03,98,12.0,,0.12,11.76
2017-08-04,48,12.0,,0.12,5.76
2017-08-05,11,12.0,,0.12,1.3199999999999998
2017-08-06,7,12.0,,0.12,0.84
2017-08-07,43,12.0,,0.12,5.16
2017-08-08,39,12.0,,0.12,4.68
2017-08-09,41,12.0,,0.12,4.92
2017-08-10,41,12.0,,0.12,4.92
2017-08-11,35,12.0,,0.12,4.2
2017-08-12,10,12.0,,0.12,1.2
2017-08-13,4,12.0,,0.12,0.48
2017-08-14,33,12.0,,0.12,3.96
2017-08-15,35,12.0,,0.12,4.2
2017-08-16,31,12.0,,0.12,3.7199999999999998
2017-08-17,23,12.0,,0.12,2.76
2017-08-18,25,12.0,,0.12,3.0
2017-08-19,8,12.0,,0.12,0.96
2017-08-20,5,12.0,,0.12,0.6
2017-08-21,27,12.0,,0.12,3.2399999999999998
2017-08-22,31,12.0,,0.12,3.7199999999999998
2017-08-23,32,12.0,,0.12,3.84
2017-08-24,28,12.0,,0.12,3.36
2017-08-25,26,12.0,,0.12,3.12
2017-08-26,6,12.0,,0.12,0.72
2017-08-27,3,12.0,,0.12,0.36
2017-08-28,21,12.0,,0.12,2.52
2017-08-29,26,12.0,,0.12,3.12
2017-08-30,20,12.0,,0.12,2.4
2017-08-31,24,12.0,,0.12,2.88
2017-09-01,67,7.0,False,0.07,4.69
2017-09-02,11,7.0,,0.07,0.77
2017-09-03,17,7.0,,0.07,1.1900000000000002
2017-09-04,16,7.0,,0.07,1.12
2017-09-05,65,7.0,,0.07,4.550000000000001
2017-09-06,63,7.0,,0.07,4.41
2017-09-07,66,7.0,,0.07,4.62
2017-09-08,58,7.0,,0.07,4.0600000000000005
2017-09-09,15,7.0,,0.07,1.05
2017-09-10,13,7.0,,0.07,0.9100000000000001
2017-09-11,95,7.0,,0.07,6.65
2017-09-12,91,7.0,,0.07,6.370000000000001
2017-09-13,80,7.0,,0.07,5.6000000000000005
2017-09-14,100,7.0,,0.07,7.000000000000001
2017-09-15,80,7.0,,0.07,5.6000000000000005
2017-09-16,26,7.0,,0.07,1.8200000000000003
2017-09-17,16,7.0,,0.07,1.12
2017-09-18,86,7.0,,0.07,6.0200000000000005
2017-09-19,91,7.0,,0.07,6.370000000000001
2017-09-20,81,7.0,,0.07,5.670000000000001
2017-09-21,79,7.0,,0.07,5.53
2017-09-22,89,7.0,,0.07,6.23
2017-09-23,23,7.0,,0.07,1.61
2017-09-24,12,7.0,,0.07,0.8400000000000001
2017-09-25,85,7.0,,0.07,5.95
2017-09-26,73,7.0,,0.07,5.11
2017-09-27,68,7.0,,0.07,4.760000000000001
2017-09-28,75,7.0,,0.07,5.250000000000001
2017-09-29,66,7.0,,0.07,4.62
2017-09-30,17,7.0,,0.07,1.1900000000000002
2017-10-01,10,9.0,False,0.09,0.8999999999999999
2017-10-02,75,9.0,,0.09,6.75
2017-10-03,100,9.0,,0.09,9.0
2017-10-04,70,9.0,,0.09,6.3
2017-10-05,58,9.0,,0.09,5.22
2017-10-06,62,9.0,,0.09,5.58
2017-10-07,17,9.0,,0.09,1.53
2017-10-08,16,9.0,,0.09,1.44
2017-10-09,65,9.0,,0.09,5.85
2017-10-10,62,9.0,,0.09,5.58
2017-10-11,51,9.0,,0.09,4.59
2017-10-12,56,9.0,,0.09,5.04
2017-10-13,40,9.0,,0.09,3.5999999999999996
2017-10-14,18,9.0,,0.09,1.6199999999999999
2017-10-15,11,9.0,,0.09,0.99
2017-10-16,47,9.0,,0.09,4.2299999999999995
2017-10-17,63,9.0,,0.09,5.67
2017-10-18,57,9.0,,0.09,5.13
2017-10-19,50,9.0,,0.09,4.5
2017-10-20,53,9.0,,0.09,4.77
2017-10-21,15,9.0,,0.09,1.3499999999999999
2017-10-22,10,9.0,,0.09,0.8999999999999999
2017-10-23,49,9.0,,0.09,4.41
2017-10-24,50,9.0,,0.09,4.5
2017-10-25,69,9.0,,0.09,6.21
2017-10-26,66,9.0,,0.09,5.9399999999999995
2017-10-27,82,9.0,,0.09,7.38
2017-10-28,19,9.0,,0.09,1.71
2017-10-29,18,9.0,,0.09,1.6199999999999999
2017-10-30,67,9.0,,0.09,6.029999999999999
2017-10-31,68,9.0,,0.09,6.12
2017-11-01,90,14.0,False,0.14,12.600000000000001
2017-11-02,96,14.0,,0.14,13.440000000000001
2017-11-03,62,14.0,,0.14,8.680000000000001
2017-11-04,17,14.0,,0.14,2.3800000000000003
2017-11-05,6,14.0,,0.14,0.8400000000000001
2017-11-06,36,14.0,,0.14,5.040000000000001
2017-11-07,35,14.0,,0.14,4.9
2017-11-08,34,14.0,,0.14,4.760000000000001
2017-11-09,31,14.0,,0.14,4.340000000000001
2017-11-10,26,14.0,,0.14,3.6400000000000006
2017-11-11,8,14.0,,0.14,1.12
2017-11-12,7,14.0,,0.14,0.9800000000000001
2017-11-13,31,14.0,,0.14,4.340000000000001
2017-11-14,33,14.0,,0.14,4.62
2017-11-15,28,14.0,,0.14,3.9200000000000004
2017-11-16,36,14.0,,0.14,5.040000000000001
2017-11-17,100,14.0,,0.14,14.000000000000002
2017-11-18,19,14.0,,0.14,2.66
2017-11-19,9,14.0,,0.14,1.2600000000000002
2017-11-20,30,14.0,,0.14,4.2
2017-11-21,39,14.0,,0.14,5.460000000000001
2017-11-22,30,14.0,,0.14,4.2
2017-11-23,10,14.0,,0.14,1.4000000000000001
2017-11-24,19,14.0,,0.14,2.66
2017-11-25,11,14.0,,0.14,1.54
2017-11-26,6,14.0,,0.14,0.8400000000000001
2017-11-27,26,14.0,,0.14,3.6400000000000006
2017-11-28,29,14.0,,0.14,4.0600000000000005
2017-11-29,33,14.0,,0.14,4.62
2017-11-30,29,14.0,,0.14,4.0600000000000005
2017-12-01,75,8.0,False,0.08,6.0
2017-12-02,22,8.0,,0.08,1.76
2017-12-03,14,8.0,,0.08,1.12
2017-12-04,57,8.0,,0.08,4.5600000000000005
2017-12-05,55,8.0,,0.08,4.4
2017-12-06,64,8.0,,0.08,5.12
2017-12-07,75,8.0,,0.08,6.0
2017-12-08,54,8.0,,0.08,4.32
2017-12-09,18,8.0,,0.08,1.44
2017-12-10,13,8.0,,0.08,1.04
2017-12-11,74,8.0,,0.08,5.92
2017-12-12,100,8.0,,0.08,8.0
2017-12-13,82,8.0,,0.08,6.5600000000000005
