date,SQQQ_unscaled,SQQQ_monthly,isPartial,scale,SQQQ
2016-06-28,30,7.0,,0.07,2.1
2016-06-29,54,7.0,,0.07,3.7800000000000002
2016-06-30,47,7.0,,0.07,3.2900000000000005
2016-07-01,74,6.0,False,0.06,4.4399999999999995
2016-07-02,0,6.0,,0.06,0.0
2016-07-03,0,6.0,,0.06,0.0
2016-07-04,0,6.0,,0.06,0.0
2016-07-05,43,6.0,,0.06,2.58
2016-07-06,41,6.0,,0.06,2.46
2016-07-07,52,6.0,,0.06,3.12
2016-07-08,42,6.0,,0.06,2.52
2016-07-09,12,6.0,,0.06,0.72
2016-07-10,12,6.0,,0.06,0.72
2016-07-11,41,6.0,,0.06,2.46
2016-07-12,31,6.0,,0.06,1.8599999999999999
2016-07-13,64,6.0,,0.06,3.84
2016-07-14,100,6.0,,0.06,6.0
2016-07-15,32,6.0,,0.06,1.92
2016-07-16,12,6.0,,0.06,0.72
2016-07-17,12,6.0,,0.06,0.72
2016-07-18,42,6.0,,0.06,2.52
2016-07-19,51,6.0,,0.06,3.06
2016-07-20,84,6.0,,0.06,5.04
2016-07-21,32,6.0,,0.06,1.92
2016-07-22,43,6.0,,0.06,2.58
2016-07-23,0,6.0,,0.06,0.0
2016-07-24,0,6.0,,0.06,0.0
2016-07-25,20,6.0,,0.06,1.2
2016-07-26,20,6.0,,0.06,1.2
2016-07-27,51,6.0,,0.06,3.06
2016-07-28,30,6.0,,0.06,1.7999999999999998
2016-07-29,62,6.0,,0.06,3.7199999999999998
2016-07-30,0,6.0,,0.06,0.0
2016-07-31,0,6.0,,0.06,0.0
2016-08-01,87,6.0,False,0.06,5.22
2016-08-02,44,6.0,,0.06,2.6399999999999997
2016-08-03,90,6.0,,0.06,5.3999999999999995
2016-08-04,46,6.0,,0.06,2.76
2016-08-05,49,6.0,,0.06,2.94
2016-08-06,0,6.0,,0.06,0.0
2016-08-07,18,6.0,,0.06,1.08
2016-08-08,45,6.0,,0.06,2.6999999999999997
2016-08-09,46,6.0,,0.06,2.76
2016-08-10,47,6.0,,0.06,2.82
2016-08-11,48,6.0,,0.06,2.88
2016-08-12,96,6.0,,0.06,5.76
2016-08-13,0,6.0,,0.06,0.0
2016-08-14,18,6.0,,0.06,1.08
2016-08-15,16,6.0,,0.06,0.96
2016-08-16,16,6.0,,0.06,0.96
2016-08-17,31,6.0,,0.06,1.8599999999999999
2016-08-18,32,6.0,,0.06,1.92
2016-08-19,49,6.0,,0.06,2.94
2016-08-20,19,6.0,,0.06,1.14
2016-08-21,0,6.0,,0.06,0.0
2016-08-22,63,6.0,,0.06,3.78
2016-08-23,31,6.0,,0.06,1.8599999999999999
2016-08-24,46,6.0,,0.06,2.76
2016-08-25,44,6.0,,0.06,2.6399999999999997
2016-08-26,60,6.0,,0.06,3.5999999999999996
2016-08-27,17,6.0,,0.06,1.02
2016-08-28,17,6.0,,0.06,1.02
2016-08-29,14,6.0,,0.06,0.84
2016-08-30,85,6.0,,0.06,5.1
2016-08-31,100,6.0,,0.06,6.0
2016-09-01,41,7.0,False,0.07,2.87
2016-09-02,53,7.0,,0.07,3.7100000000000004
2016-09-03,12,7.0,,0.07,0.8400000000000001
2016-09-04,0,7.0,,0.07,0.0
2016-09-05,0,7.0,,0.07,0.0
2016-09-06,30,7.0,,0.07,2.1
2016-09-07,40,7.0,,0.07,2.8000000000000003
2016-09-08,50,7.0,,0.07,3.5000000000000004
2016-09-09,94,7.0,,0.07,6.580000000000001
2016-09-10,61,7.0,,0.07,4.2700000000000005
2016-09-11,0,7.0,,0.07,0.0
2016-09-12,69,7.0,,0.07,4.83
2016-09-13,50,7.0,,0.07,3.5000000000000004
2016-09-14,50,7.0,,0.07,3.5000000000000004
2016-09-15,41,7.0,,0.07,2.87
2016-09-16,21,7.0,,0.07,1.4700000000000002
2016-09-17,0,7.0,,0.07,0.0
2016-09-18,23,7.0,,0.07,1.61
2016-09-19,10,7.0,,0.07,0.7000000000000001
2016-09-20,40,7.0,,0.07,2.8000000000000003
2016-09-21,100,7.0,,0.07,7.000000000000001
2016-09-22,31,7.0,,0.07,2.1700000000000004
2016-09-23,21,7.0,,0.07,1.4700000000000002
2016-09-24,0,7.0,,0.07,0.0
2016-09-25,0,7.0,,0.07,0.0
2016-09-26,50,7.0,,0.07,3.5000000000000004
2016-09-27,50,7.0,,0.07,3.5000000000000004
2016-09-28,40,7.0,,0.07,2.8000000000000003
2016-09-29,30,7.0,,0.07,2.1
2016-09-30,63,7.0,,0.07,4.41
2016-10-01,0,4.0,False,0.04,0.0
2016-10-02,15,4.0,,0.04,0.6
2016-10-03,12,4.0,,0.04,0.48
2016-10-04,25,4.0,,0.04,1.0
2016-10-05,62,4.0,,0.04,2.48
2016-10-06,13,4.0,,0.04,0.52
2016-10-07,13,4.0,,0.04,0.52
2016-10-08,15,4.0,,0.04,0.6
2016-10-09,0,4.0,,0.04,0.0
2016-10-10,25,4.0,,0.04,1.0
2016-10-11,63,4.0,,0.04,2.52
2016-10-12,13,4.0,,0.04,0.52
2016-10-13,38,4.0,,0.04,1.52
2016-10-14,26,4.0,,0.04,1.04
2016-10-15,0,4.0,,0.04,0.0
2016-10-16,15,4.0,,0.04,0.6
2016-10-17,100,4.0,,0.04,4.0
2016-10-18,25,4.0,,0.04,1.0
2016-10-19,0,4.0,,0.04,0.0
2016-10-20,63,4.0,,0.04,2.52
2016-10-21,64,4.0,,0.04,2.56
2016-10-22,0,4.0,,0.04,0.0
2016-10-23,0,4.0,,0.04,0.0
2016-10-24,37,4.0,,0.04,1.48
2016-10-25,37,4.0,,0.04,1.48
2016-10-26,62,4.0,,0.04,2.48
2016-10-27,37,4.0,,0.04,1.48
2016-10-28,26,4.0,,0.04,1.04
2016-10-29,0,4.0,,0.04,0.0
2016-10-30,15,4.0,,0.04,0.6
2016-10-31,37,4.0,,0.04,1.48
2016-11-01,58,7.0,False,0.07,4.0600000000000005
2016-11-02,54,7.0,,0.07,3.7800000000000002
2016-11-03,77,7.0,,0.07,5.390000000000001
2016-11-04,33,7.0,,0.07,2.31
2016-11-05,0,7.0,,0.07,0.0
2016-11-06,0,7.0,,0.07,0.0
2016-11-07,23,7.0,,0.07,1.61
2016-11-08,23,7.0,,0.07,1.61
2016-11-09,100,7.0,,0.07,7.000000000000001
2016-11-10,0,7.0,,0.07,0.0
2016-11-11,50,7.0,,0.07,3.5000000000000004
2016-11-12,0,7.0,,0.07,0.0
2016-11-13,0,7.0,,0.07,0.0
2016-11-14,39,7.0,,0.07,2.7300000000000004
2016-11-15,23,7.0,,0.07,1.61
2016-11-16,32,7.0,,0.07,2.24
2016-11-17,56,7.0,,0.07,3.9200000000000004
2016-11-18,33,7.0,,0.07,2.31
2016-11-19,0,7.0,,0.07,0.0
2016-11-20,0,7.0,,0.07,0.0
2016-11-21,16,7.0,,0.07,1.12
2016-11-22,24,7.0,,0.07,1.6800000000000002
2016-11-23,51,7.0,,0.07,3.5700000000000003
2016-11-24,28,7.0,,0.07,1.9600000000000002
2016-11-25,17,7.0,,0.07,1.1900000000000002
2016-11-26,0,7.0,,0.07,0.0
2016-11-27,0,7.0,,0.07,0.0
2016-11-28,36,7.0,,0.07,2.5200000000000005
2016-11-29,58,7.0,,0.07,4.0600000000000005
2016-11-30,15,7.0,,0.07,1.05
2016-12-01,70,5.0,False,0.05,3.5
2016-12-02,100,5.0,,0.05,5.0
2016-12-03,0,5.0,,0.05,0.0
2016-12-04,0,5.0,,0.05,0.0
2016-12-05,50,5.0,,0.05,2.5
2016-12-06,0,5.0,,0.05,0.0
2016-12-07,42,5.0,,0.05,2.1
2016-12-08,56,5.0,,0.05,2.8000000000000003
2016-12-09,44,5.0,,0.05,2.2
2016-12-10,17,5.0,,0.05,0.8500000000000001
2016-12-11,0,5.0,,0.05,0.0
2016-12-12,54,5.0,,0.05,2.7
2016-12-13,27,5.0,,0.05,1.35
2016-12-14,84,5.0,,0.05,4.2
2016-12-15,71,5.0,,0.05,3.5500000000000003
2016-12-16,60,5.0,,0.05,3.0
2016-12-17,35,5.0,,0.05,1.75
2016-12-18,0,5.0,,0.05,0.0
2016-12-19,88,5.0,,0.05,4.4
2016-12-20,75,5.0,,0.05,3.75
2016-12-21,46,5.0,,0.05,2.3000000000000003
2016-12-22,48,5.0,,0.05,2.4000000000000004
2016-12-23,65,5.0,,0.05,3.25
2016-12-24,36,5.0,,0.05,1.8
2016-12-25,0,5.0,,0.05,0.0
2016-12-26,0,5.0,,0.05,0.0
2016-12-27,30,5.0,,0.05,1.5
2016-12-28,78,5.0,,0.05,3.9000000000000004
2016-12-29,60,5.0,,0.05,3.0
2016-12-30,16,5.0,,0.05,0.8
2016-12-31,0,5.0,,0.05,0.0
2017-01-01,21,4.0,False,0.04,0.84
2017-01-02,18,4.0,,0.04,0.72
2017-01-03,67,4.0,,0.04,2.68
2017-01-04,84,4.0,,0.04,3.36
2017-01-05,52,4.0,,0.04,2.08
2017-01-06,34,4.0,,0.04,1.36
2017-01-07,58,4.0,,0.04,2.32
2017-01-08,19,4.0,,0.04,0.76
2017-01-09,49,4.0,,0.04,1.96
2017-01-10,49,4.0,,0.04,1.96
2017-01-11,16,4.0,,0.04,0.64
2017-01-12,100,4.0,,0.04,4.0
2017-01-13,68,4.0,,0.04,2.72
2017-01-14,20,4.0,,0.04,0.8
2017-01-15,0,4.0,,0.04,0.0
2017-01-16,17,4.0,,0.04,0.68
2017-01-17,65,4.0,,0.04,2.6
2017-01-18,65,4.0,,0.04,2.6
2017-01-19,33,4.0,,0.04,1.32
2017-01-20,81,4.0,,0.04,3.24
2017-01-21,19,4.0,,0.04,0.76
2017-01-22,0,4.0,,0.04,0.0
2017-01-23,16,4.0,,0.04,0.64
2017-01-24,49,4.0,,0.04,1.96
2017-01-25,80,4.0,,0.04,3.2
2017-01-26,64,4.0,,0.04,2.56
2017-01-27,50,4.0,,0.04,2.0
2017-01-28,0,4.0,,0.04,0.0
2017-01-29,19,4.0,,0.04,0.76
2017-01-30,47,4.0,,0.04,1.8800000000000001
2017-01-31,48,4.0,,0.04,1.92
2017-02-01,51,2.0,False,0.02,1.02
2017-02-02,77,2.0,,0.02,1.54
2017-02-03,0,2.0,,0.02,0.0
2017-02-04,63,2.0,,0.02,1.26
2017-02-05,31,2.0,,0.02,0.62
2017-02-06,100,2.0,,0.02,2.0
2017-02-07,0,2.0,,0.02,0.0
2017-02-08,52,2.0,,0.02,1.04
2017-02-09,52,2.0,,0.02,1.04
2017-02-10,81,2.0,,0.02,1.62
2017-02-11,0,2.0,,0.02,0.0
2017-02-12,0,2.0,,0.02,0.0
2017-02-13,25,2.0,,0.02,0.5
2017-02-14,78,2.0,,0.02,1.56
2017-02-15,80,2.0,,0.02,1.6
2017-02-16,26,2.0,,0.02,0.52
2017-02-17,26,2.0,,0.02,0.52
2017-02-18,0,2.0,,0.02,0.0
2017-02-19,0,2.0,,0.02,0.0
2017-02-20,0,2.0,,0.02,0.0
2017-02-21,26,2.0,,0.02,0.52
2017-02-22,26,2.0,,0.02,0.52
2017-02-23,78,2.0,,0.02,1.56
2017-02-24,27,2.0,,0.02,0.54
2017-02-25,0,2.0,,0.02,0.0
2017-02-26,0,2.0,,0.02,0.0
2017-02-27,24,2.0,,0.02,0.48
2017-02-28,74,2.0,,0.02,1.48
2017-03-01,74,4.0,False,0.04,2.96
2017-03-02,77,4.0,,0.04,3.08
2017-03-03,20,4.0,,0.04,0.8
2017-03-04,24,4.0,,0.04,0.96
2017-03-05,24,4.0,,0.04,0.96
2017-03-06,75,4.0,,0.04,3.0
2017-03-07,37,4.0,,0.04,1.48
2017-03-08,59,4.0,,0.04,2.36
2017-03-09,78,4.0,,0.04,3.12
2017-03-10,20,4.0,,0.04,0.8
2017-03-11,47,4.0,,0.04,1.8800000000000001
2017-03-12,0,4.0,,0.04,0.0
2017-03-13,37,4.0,,0.04,1.48
2017-03-14,98,4.0,,0.04,3.92
2017-03-15,80,4.0,,0.04,3.2
2017-03-16,0,4.0,,0.04,0.0
2017-03-17,42,4.0,,0.04,1.68
2017-03-18,47,4.0,,0.04,1.8800000000000001
2017-03-19,0,4.0,,0.04,0.0
2017-03-20,40,4.0,,0.04,1.6
2017-03-21,60,4.0,,0.04,2.4
2017-03-22,100,4.0,,0.04,4.0
2017-03-23,40,4.0,,0.04,1.6
2017-03-24,82,4.0,,0.04,3.2800000000000002
2017-03-25,48,4.0,,0.04,1.92
2017-03-26,0,4.0,,0.04,0.0
2017-03-27,0,4.0,,0.04,0.0
2017-03-28,40,4.0,,0.04,1.6
2017-03-29,20,4.0,,0.04,0.8
2017-03-30,0,4.0,,0.04,0.0
2017-03-31,40,4.0,,0.04,1.6
2017-04-01,0,2.0,False,0.02,0.0
2017-04-02,30,2.0,,0.02,0.6
2017-04-03,72,2.0,,0.02,1.44
2017-04-04,73,2.0,,0.02,1.46
2017-04-05,98,2.0,,0.02,1.96
2017-04-06,74,2.0,,0.02,1.48
2017-04-07,25,2.0,,0.02,0.5
2017-04-08,0,2.0,,0.02,0.0
2017-04-09,0,2.0,,0.02,0.0
2017-04-10,25,2.0,,0.02,0.5
2017-04-11,50,2.0,,0.02,1.0
2017-04-12,100,2.0,,0.02,2.0
2017-04-13,25,2.0,,0.02,0.5
2017-04-14,0,2.0,,0.02,0.0
2017-04-15,0,2.0,,0.02,0.0
2017-04-16,32,2.0,,0.02,0.64
2017-04-17,25,2.0,,0.02,0.5
2017-04-18,48,2.0,,0.02,0.96
2017-04-19,0,2.0,,0.02,0.0
2017-04-20,25,2.0,,0.02,0.5
2017-04-21,78,2.0,,0.02,1.56
2017-04-22,0,2.0,,0.02,0.0
2017-04-23,0,2.0,,0.02,0.0
2017-04-24,49,2.0,,0.02,0.98
2017-04-25,97,2.0,,0.02,1.94
2017-04-26,96,2.0,,0.02,1.92
2017-04-27,0,2.0,,0.02,0.0
2017-04-28,25,2.0,,0.02,0.5
2017-04-29,0,2.0,,0.02,0.0
2017-04-30,0,2.0,,0.02,0.0
2017-05-01,0,2.0,False,0.02,0.0
2017-05-02,0,2.0,,0.02,0.0
2017-05-03,74,2.0,,0.02,1.48
2017-05-04,57,2.0,,0.02,1.1400000000000001
2017-05-05,58,2.0,,0.02,1.16
2017-05-06,0,2.0,,0.02,0.0
2017-05-07,0,2.0,,0.02,0.0
2017-05-08,38,2.0,,0.02,0.76
2017-05-09,37,2.0,,0.02,0.74
2017-05-10,56,2.0,,0.02,1.12
2017-05-11,57,2.0,,0.02,1.1400000000000001
2017-05-12,20,2.0,,0.02,0.4
2017-05-13,0,2.0,,0.02,0.0
2017-05-14,0,2.0,,0.02,0.0
2017-05-15,20,2.0,,0.02,0.4
2017-05-16,20,2.0,,0.02,0.4
2017-05-17,100,2.0,,0.02,2.0
2017-05-18,20,2.0,,0.02,0.4
2017-05-19,41,2.0,,0.02,0.8200000000000001
2017-05-20,0,2.0,,0.02,0.0
2017-05-21,0,2.0,,0.02,0.0
2017-05-22,0,2.0,,0.02,0.0
2017-05-23,19,2.0,,0.02,0.38
2017-05-24,61,2.0,,0.02,1.22
2017-05-25,41,2.0,,0.02,0.8200000000000001
2017-05-26,44,2.0,,0.02,0.88
2017-05-27,0,2.0,,0.02,0.0
2017-05-28,0,2.0,,0.02,0.0
2017-05-29,0,2.0,,0.02,0.0
2017-05-30,40,2.0,,0.02,0.8
2017-05-31,20,2.0,,0.02,0.4
2017-06-01,0,5.0,False,0.05,0.0
2017-06-02,24,5.0,,0.05,1.2000000000000002
2017-06-03,0,5.0,,0.05,0.0
2017-06-04,27,5.0,,0.05,1.35
2017-06-05,11,5.0,,0.05,0.55
2017-06-06,43,5.0,,0.05,2.15
2017-06-07,0,5.0,,0.05,0.0
2017-06-08,11,5.0,,0.05,0.55
2017-06-09,59,5.0,,0.05,2.95
2017-06-10,0,5.0,,0.05,0.0
2017-06-11,14,5.0,,0.05,0.7000000000000001
2017-06-12,100,5.0,,0.05,5.0
2017-06-13,33,5.0,,0.05,1.6500000000000001
2017-06-14,0,5.0,,0.05,0.0
2017-06-15,57,5.0,,0.05,2.85
2017-06-16,35,5.0,,0.05,1.75
2017-06-17,0,5.0,,0.05,0.0
2017-06-18,0,5.0,,0.05,0.0
2017-06-19,56,5.0,,0.05,2.8000000000000003
2017-06-20,63,5.0,,0.05,3.1500000000000004
2017-06-21,54,5.0,,0.05,2.7
2017-06-22,43,5.0,,0.05,2.15
2017-06-23,11,5.0,,0.05,0.55
2017-06-24,0,5.0,,0.05,0.0
2017-06-25,14,5.0,,0.05,0.7000000000000001
2017-06-26,23,5.0,,0.05,1.1500000000000001
2017-06-27,58,5.0,,0.05,2.9000000000000004
2017-06-28,84,5.0,,0.05,4.2
2017-06-29,48,5.0,,0.05,2.4000000000000004
2017-06-30,12,5.0,,0.05,0.6000000000000001
2017-07-01,0,4.0,False,0.04,0.0
2017-07-02,16,4.0,,0.04,0.64
2017-07-03,73,4.0,,0.04,2.92
2017-07-04,0,4.0,,0.04,0.0
2017-07-05,100,4.0,,0.04,4.0
2017-07-06,67,4.0,,0.04,2.68
2017-07-07,55,4.0,,0.04,2.2
2017-07-08,0,4.0,,0.04,0.0
2017-07-09,16,4.0,,0.04,0.64
2017-07-10,40,4.0,,0.04,1.6
2017-07-11,27,4.0,,0.04,1.08
2017-07-12,54,4.0,,0.04,2.16
2017-07-13,54,4.0,,0.04,2.16
2017-07-14,41,4.0,,0.04,1.6400000000000001
2017-07-15,0,4.0,,0.04,0.0
2017-07-16,0,4.0,,0.04,0.0
2017-07-17,27,4.0,,0.04,1.08
2017-07-18,54,4.0,,0.04,2.16
2017-07-19,40,4.0,,0.04,1.6
2017-07-20,26,4.0,,0.04,1.04
2017-07-21,27,4.0,,0.04,1.08
2017-07-22,0,4.0,,0.04,0.0
2017-07-23,16,4.0,,0.04,0.64
2017-07-24,27,4.0,,0.04,1.08
2017-07-25,0,4.0,,0.04,0.0
2017-07-26,26,4.0,,0.04,1.04
2017-07-27,79,4.0,,0.04,3.16
2017-07-28,27,4.0,,0.04,1.08
2017-07-29,16,4.0,,0.04,0.64
2017-07-30,0,4.0,,0.04,0.0
2017-07-31,67,4.0,,0.04,2.68
2017-08-01,10,7.0,False,0.07,0.7000000000000001
2017-08-02,39,7.0,,0.07,2.7300000000000004
2017-08-03,51,7.0,,0.07,3.5700000000000003
2017-08-04,21,7.0,,0.07,1.4700000000000002
2017-08-05,0,7.0,,0.07,0.0
2017-08-06,0,7.0,,0.07,0.0
2017-08-07,41,7.0,,0.07,2.87
2017-08-08,99,7.0,,0.07,6.930000000000001
2017-08-09,51,7.0,,0.07,3.5700000000000003
2017-08-10,97,7.0,,0.07,6.790000000000001
2017-08-11,54,7.0,,0.07,3.7800000000000002
2017-08-12,12,7.0,,0.07,0.8400000000000001
2017-08-13,12,7.0,,0.07,0.8400000000000001
2017-08-14,32,7.0,,0.07,2.24
2017-08-15,21,7.0,,0.07,1.4700000000000002
2017-08-16,52,7.0,,0.07,3.6400000000000006
2017-08-17,63,7.0,,0.07,4.41
2017-08-18,42,7.0,,0.07,2.9400000000000004
2017-08-19,12,7.0,,0.07,0.8400000000000001
2017-08-20,0,7.0,,0.07,0.0
2017-08-21,89,7.0,,0.07,6.23
2017-08-22,72,7.0,,0.07,5.040000000000001
2017-08-23,21,7.0,,0.07,1.4700000000000002
2017-08-24,51,7.0,,0.07,3.5700000000000003
2017-08-25,74,7.0,,0.07,5.180000000000001
2017-08-26,0,7.0,,0.07,0.0
2017-08-27,11,7.0,,0.07,0.77
2017-08-28,51,7.0,,0.07,3.5700000000000003
2017-08-29,100,7.0,,0.07,7.000000000000001
2017-08-30,20,7.0,,0.07,1.4000000000000001
2017-08-31,30,7.0,,0.07,2.1
2017-09-01,44,4.0,False,0.04,1.76
2017-09-02,0,4.0,,0.04,0.0
2017-09-03,0,4.0,,0.04,0.0
2017-09-04,0,4.0,,0.04,0.0
2017-09-05,14,4.0,,0.04,0.56
2017-09-06,67,4.0,,0.04,2.68
2017-09-07,69,4.0,,0.04,2.7600000000000002
2017-09-08,69,4.0,,0.04,2.7600000000000002
2017-09-09,32,4.0,,0.04,1.28
2017-09-10,0,4.0,,0.04,0.0
2017-09-11,41,4.0,,0.04,1.6400000000000001
2017-09-12,56,4.0,,0.04,2.24
2017-09-13,55,4.0,,0.04,2.2
2017-09-14,42,4.0,,0.04,1.68
2017-09-15,100,4.0,,0.04,4.0
2017-09-16,17,4.0,,0.04,0.68
2017-09-17,0,4.0,,0.04,0.0
2017-09-18,14,4.0,,0.04,0.56
2017-09-19,41,4.0,,0.04,1.6400000000000001
2017-09-20,14,4.0,,0.04,0.56
2017-09-21,28,4.0,,0.04,1.12
2017-09-22,72,4.0,,0.04,2.88
2017-09-23,17,4.0,,0.04,0.68
2017-09-24,17,4.0,,0.04,0.68
2017-09-25,56,4.0,,0.04,2.24
2017-09-26,42,4.0,,0.04,1.68
2017-09-27,28,4.0,,0.04,1.12
2017-09-28,84,4.0,,0.04,3.36
2017-09-29,0,4.0,,0.04,0.0
2017-09-30,0,4.0,,0.04,0.0
2017-10-01,0,4.0,False,0.04,0.0
2017-10-02,31,4.0,,0.04,1.24
2017-10-03,63,4.0,,0.04,2.52
2017-10-04,43,4.0,,0.04,1.72
2017-10-05,32,4.0,,0.04,1.28
2017-10-06,11,4.0,,0.04,0.44
2017-10-07,0,4.0,,0.04,0.0
2017-10-08,0,4.0,,0.04,0.0
2017-10-09,42,4.0,,0.04,1.68
2017-10-10,10,4.0,,0.04,0.4
2017-10-11,11,4.0,,0.04,0.44
2017-10-12,21,4.0,,0.04,0.84
2017-10-13,33,4.0,,0.04,1.32
2017-10-14,0,4.0,,0.04,0.0
2017-10-15,13,4.0,,0.04,0.52
2017-10-16,32,4.0,,0.04,1.28
2017-10-17,0,4.0,,0.04,0.0
2017-10-18,11,4.0,,0.04,0.44
2017-10-19,33,4.0,,0.04,1.32
2017-10-20,56,4.0,,0.04,2.24
2017-10-21,0,4.0,,0.04,0.0
2017-10-22,0,4.0,,0.04,0.0
2017-10-23,21,4.0,,0.04,0.84
2017-10-24,63,4.0,,0.04,2.52
2017-10-25,43,4.0,,0.04,1.72
2017-10-26,21,4.0,,0.04,0.84
2017-10-27,100,4.0,,0.04,4.0
2017-10-28,13,4.0,,0.04,0.52
2017-10-29,0,4.0,,0.04,0.0
2017-10-30,21,4.0,,0.04,0.84
2017-10-31,22,4.0,,0.04,0.88
2017-11-01,35,4.0,False,0.04,1.4000000000000001
2017-11-02,22,4.0,,0.04,0.88
2017-11-03,35,4.0,,0.04,1.4000000000000001
2017-11-04,0,4.0,,0.04,0.0
2017-11-05,26,4.0,,0.04,1.04
2017-11-06,23,4.0,,0.04,0.92
2017-11-07,23,4.0,,0.04,0.92
2017-11-08,67,4.0,,0.04,2.68
2017-11-09,45,4.0,,0.04,1.8
2017-11-10,36,4.0,,0.04,1.44
2017-11-11,0,4.0,,0.04,0.0
2017-11-12,0,4.0,,0.04,0.0
2017-11-13,11,4.0,,0.04,0.44
2017-11-14,45,4.0,,0.04,1.8
2017-11-15,23,4.0,,0.04,0.92
2017-11-16,56,4.0,,0.04,2.24
2017-11-17,35,4.0,,0.04,1.4000000000000001
2017-11-18,0,4.0,,0.04,0.0
2017-11-19,0,4.0,,0.04,0.0
2017-11-20,46,4.0,,0.04,1.84
2017-11-21,12,4.0,,0.04,0.48
2017-11-22,37,4.0,,0.04,1.48
2017-11-23,0,4.0,,0.04,0.0
2017-11-24,26,4.0,,0.04,1.04
2017-11-25,0,4.0,,0.04,0.0
2017-11-26,13,4.0,,0.04,0.52
2017-11-27,21,4.0,,0.04,0.84
2017-11-28,11,4.0,,0.04,0.44
2017-11-29,100,4.0,,0.04,4.0
2017-11-30,45,4.0,,0.04,1.8
2017-12-01,19,3.0,False,0.03,0.57
2017-12-02,23,3.0,,0.03,0.69
2017-12-03,23,3.0,,0.03,0.69
2017-12-04,38,3.0,,0.03,1.14
2017-12-05,37,3.0,,0.03,1.1099999999999999
2017-12-06,95,3.0,,0.03,2.85
2017-12-07,38,3.0,,0.03,1.14
2017-12-08,78,3.0,,0.03,2.34
2017-12-09,0,3.0,,0.03,0.0
2017-12-10,0,3.0,,0.03,0.0
2017-12-11,19,3.0,,0.03,0.57
2017-12-12,0,3.0,,0.03,0.0
2017-12-13,19,3.0,,0.03,0.57
2017-12-14,58,3.0,,0.03,1.74
2017-12-15,20,3.0,,0.03,0.6
2017-12-16,23,3.0,,0.03,0.69
2017-12-17,23,3.0,,0.03,0.69
2017-12-18,39,3.0,,0.03,1.17
2017-12-19,100,3.0,,0.03,3.0
2017-12-20,41,3.0,,0.03,1.23
2017-12-21,63,3.0,,0.03,1.89
2017-12-22,66,3.0,,0.03,1.98
2017-12-23,24,3.0,,0.03,0.72
2017-12-24,0,3.0,,0.03,0.0
2017-12-25,0,3.0,,0.03,0.0
2017-12-26,46,3.0,,0.03,1.38
2017-12-27,43,3.0,,0.03,1.29
