date,SHOP_unscaled,SHOP_monthly,isPartial,scale,SHOP
2016-09-24,94,71.0,,0.71,66.74
2016-09-25,80,71.0,,0.71,56.8
2016-09-26,75,71.0,,0.71,53.25
2016-09-27,71,71.0,,0.71,50.41
2016-09-28,73,71.0,,0.71,51.83
2016-09-29,73,71.0,,0.71,51.83
2016-09-30,83,71.0,,0.71,58.93
2016-10-01,100,69.0,False,0.69,69.0
2016-10-02,84,69.0,,0.69,57.959999999999994
2016-10-03,80,69.0,,0.69,55.199999999999996
2016-10-04,78,69.0,,0.69,53.81999999999999
2016-10-05,71,69.0,,0.69,48.989999999999995
2016-10-06,71,69.0,,0.69,48.989999999999995
2016-10-07,79,69.0,,0.69,54.51
2016-10-08,96,69.0,,0.69,66.24
2016-10-09,84,69.0,,0.69,57.959999999999994
2016-10-10,81,69.0,,0.69,55.88999999999999
2016-10-11,75,69.0,,0.69,51.74999999999999
2016-10-12,78,69.0,,0.69,53.81999999999999
2016-10-13,76,69.0,,0.69,52.44
2016-10-14,81,69.0,,0.69,55.88999999999999
2016-10-15,100,69.0,,0.69,69.0
2016-10-16,85,69.0,,0.69,58.65
2016-10-17,78,69.0,,0.69,53.81999999999999
2016-10-18,77,69.0,,0.69,53.129999999999995
2016-10-19,77,69.0,,0.69,53.129999999999995
2016-10-20,75,69.0,,0.69,51.74999999999999
2016-10-21,84,69.0,,0.69,57.959999999999994
2016-10-22,98,69.0,,0.69,67.61999999999999
2016-10-23,84,69.0,,0.69,57.959999999999994
2016-10-24,77,69.0,,0.69,53.129999999999995
2016-10-25,74,69.0,,0.69,51.059999999999995
2016-10-26,76,69.0,,0.69,52.44
2016-10-27,74,69.0,,0.69,51.059999999999995
2016-10-28,81,69.0,,0.69,55.88999999999999
2016-10-29,94,69.0,,0.69,64.86
2016-10-30,82,69.0,,0.69,56.58
2016-10-31,72,69.0,,0.69,49.67999999999999
2016-11-01,57,76.0,False,0.76,43.32
2016-11-02,57,76.0,,0.76,43.32
2016-11-03,61,76.0,,0.76,46.36
2016-11-04,64,76.0,,0.76,48.64
2016-11-05,77,76.0,,0.76,58.52
2016-11-06,68,76.0,,0.76,51.68
2016-11-07,59,76.0,,0.76,44.84
2016-11-08,56,76.0,,0.76,42.56
2016-11-09,39,76.0,,0.76,29.64
2016-11-10,59,76.0,,0.76,44.84
2016-11-11,68,76.0,,0.76,51.68
2016-11-12,76,76.0,,0.76,57.76
2016-11-13,72,76.0,,0.76,54.72
2016-11-14,63,76.0,,0.76,47.88
2016-11-15,62,76.0,,0.76,47.12
2016-11-16,64,76.0,,0.76,48.64
2016-11-17,61,76.0,,0.76,46.36
2016-11-18,66,76.0,,0.76,50.160000000000004
2016-11-19,83,76.0,,0.76,63.08
2016-11-20,75,76.0,,0.76,57.0
2016-11-21,70,76.0,,0.76,53.2
2016-11-22,72,76.0,,0.76,54.72
2016-11-23,81,76.0,,0.76,61.56
2016-11-24,84,76.0,,0.76,63.84
2016-11-25,100,76.0,,0.76,76.0
2016-11-26,89,76.0,,0.76,67.64
2016-11-27,77,76.0,,0.76,58.52
2016-11-28,79,76.0,,0.76,60.04
2016-11-29,71,76.0,,0.76,53.96
2016-11-30,63,76.0,,0.76,47.88
2016-12-01,70,82.0,False,0.82,57.4
2016-12-02,75,82.0,,0.82,61.49999999999999
2016-12-03,88,82.0,,0.82,72.16
2016-12-04,84,82.0,,0.82,68.88
2016-12-05,71,82.0,,0.82,58.22
2016-12-06,70,82.0,,0.82,57.4
2016-12-07,70,82.0,,0.82,57.4
2016-12-08,72,82.0,,0.82,59.04
2016-12-09,75,82.0,,0.82,61.49999999999999
2016-12-10,97,82.0,,0.82,79.53999999999999
2016-12-11,84,82.0,,0.82,68.88
2016-12-12,77,82.0,,0.82,63.13999999999999
2016-12-13,74,82.0,,0.82,60.68
2016-12-14,73,82.0,,0.82,59.86
2016-12-15,71,82.0,,0.82,58.22
2016-12-16,80,82.0,,0.82,65.6
2016-12-17,92,82.0,,0.82,75.44
2016-12-18,84,82.0,,0.82,68.88
2016-12-19,81,82.0,,0.82,66.42
2016-12-20,84,82.0,,0.82,68.88
2016-12-21,84,82.0,,0.82,68.88
2016-12-22,87,82.0,,0.82,71.33999999999999
2016-12-23,100,82.0,,0.82,82.0
2016-12-24,97,82.0,,0.82,79.53999999999999
2016-12-25,70,82.0,,0.82,57.4
2016-12-26,86,82.0,,0.82,70.52
2016-12-27,78,82.0,,0.82,63.959999999999994
2016-12-28,77,82.0,,0.82,63.13999999999999
2016-12-29,75,82.0,,0.82,61.49999999999999
2016-12-30,79,82.0,,0.82,64.78
2016-12-31,83,82.0,,0.82,68.06
2017-01-01,86,68.0,False,0.68,58.480000000000004
2017-01-02,100,68.0,,0.68,68.0
2017-01-03,79,68.0,,0.68,53.720000000000006
2017-01-04,79,68.0,,0.68,53.720000000000006
2017-01-05,77,68.0,,0.68,52.36000000000001
2017-01-06,81,68.0,,0.68,55.080000000000005
2017-01-07,92,68.0,,0.68,62.56
2017-01-08,83,68.0,,0.68,56.440000000000005
2017-01-09,76,68.0,,0.68,51.68000000000001
2017-01-10,73,68.0,,0.68,49.64
2017-01-11,76,68.0,,0.68,51.68000000000001
2017-01-12,79,68.0,,0.68,53.720000000000006
2017-01-13,84,68.0,,0.68,57.120000000000005
2017-01-14,100,68.0,,0.68,68.0
2017-01-15,86,68.0,,0.68,58.480000000000004
2017-01-16,89,68.0,,0.68,60.52
2017-01-17,76,68.0,,0.68,51.68000000000001
2017-01-18,75,68.0,,0.68,51.00000000000001
2017-01-19,75,68.0,,0.68,51.00000000000001
2017-01-20,75,68.0,,0.68,51.00000000000001
2017-01-21,95,68.0,,0.68,64.60000000000001
2017-01-22,85,68.0,,0.68,57.800000000000004
2017-01-23,79,68.0,,0.68,53.720000000000006
2017-01-24,74,68.0,,0.68,50.32
2017-01-25,73,68.0,,0.68,49.64
2017-01-26,75,68.0,,0.68,51.00000000000001
2017-01-27,83,68.0,,0.68,56.440000000000005
2017-01-28,97,68.0,,0.68,65.96000000000001
2017-01-29,89,68.0,,0.68,60.52
2017-01-30,77,68.0,,0.68,52.36000000000001
2017-01-31,76,68.0,,0.68,51.68000000000001
2017-02-01,68,70.0,False,0.7,47.599999999999994
2017-02-02,69,70.0,,0.7,48.3
2017-02-03,77,70.0,,0.7,53.9
2017-02-04,93,70.0,,0.7,65.1
2017-02-05,77,70.0,,0.7,53.9
2017-02-06,68,70.0,,0.7,47.599999999999994
2017-02-07,71,70.0,,0.7,49.699999999999996
2017-02-08,69,70.0,,0.7,48.3
2017-02-09,74,70.0,,0.7,51.8
2017-02-10,77,70.0,,0.7,53.9
2017-02-11,96,70.0,,0.7,67.19999999999999
2017-02-12,87,70.0,,0.7,60.9
2017-02-13,81,70.0,,0.7,56.699999999999996
2017-02-14,88,70.0,,0.7,61.599999999999994
2017-02-15,72,70.0,,0.7,50.4
2017-02-16,70,70.0,,0.7,49.0
2017-02-17,79,70.0,,0.7,55.3
2017-02-18,94,70.0,,0.7,65.8
2017-02-19,85,70.0,,0.7,59.49999999999999
2017-02-20,83,70.0,,0.7,58.099999999999994
2017-02-21,71,70.0,,0.7,49.699999999999996
2017-02-22,70,70.0,,0.7,49.0
2017-02-23,75,70.0,,0.7,52.5
2017-02-24,80,70.0,,0.7,56.0
2017-02-25,100,70.0,,0.7,70.0
2017-02-26,84,70.0,,0.7,58.8
2017-02-27,71,70.0,,0.7,49.699999999999996
2017-02-28,71,70.0,,0.7,49.699999999999996
2017-03-01,72,72.0,False,0.72,51.839999999999996
2017-03-02,77,72.0,,0.72,55.44
2017-03-03,82,72.0,,0.72,59.04
2017-03-04,100,72.0,,0.72,72.0
2017-03-05,89,72.0,,0.72,64.08
2017-03-06,79,72.0,,0.72,56.879999999999995
2017-03-07,76,72.0,,0.72,54.72
2017-03-08,73,72.0,,0.72,52.559999999999995
2017-03-09,75,72.0,,0.72,54.0
2017-03-10,81,72.0,,0.72,58.32
2017-03-11,98,72.0,,0.72,70.56
2017-03-12,86,72.0,,0.72,61.919999999999995
2017-03-13,80,72.0,,0.72,57.599999999999994
2017-03-14,74,72.0,,0.72,53.28
2017-03-15,74,72.0,,0.72,53.28
2017-03-16,75,72.0,,0.72,54.0
2017-03-17,82,72.0,,0.72,59.04
2017-03-18,96,72.0,,0.72,69.12
2017-03-19,85,72.0,,0.72,61.199999999999996
2017-03-20,78,72.0,,0.72,56.16
2017-03-21,76,72.0,,0.72,54.72
2017-03-22,75,72.0,,0.72,54.0
2017-03-23,75,72.0,,0.72,54.0
2017-03-24,81,72.0,,0.72,58.32
2017-03-25,99,72.0,,0.72,71.28
2017-03-26,89,72.0,,0.72,64.08
2017-03-27,78,72.0,,0.72,56.16
2017-03-28,79,72.0,,0.72,56.879999999999995
2017-03-29,75,72.0,,0.72,54.0
2017-03-30,76,72.0,,0.72,54.72
2017-03-31,81,72.0,,0.72,58.32
2017-04-01,94,73.0,False,0.73,68.62
2017-04-02,86,73.0,,0.73,62.78
2017-04-03,76,73.0,,0.73,55.48
2017-04-04,75,73.0,,0.73,54.75
2017-04-05,73,73.0,,0.73,53.29
2017-04-06,75,73.0,,0.73,54.75
2017-04-07,79,73.0,,0.73,57.67
2017-04-08,98,73.0,,0.73,71.53999999999999
2017-04-09,85,73.0,,0.73,62.05
2017-04-10,81,73.0,,0.73,59.129999999999995
2017-04-11,77,73.0,,0.73,56.21
2017-04-12,73,73.0,,0.73,53.29
2017-04-13,78,73.0,,0.73,56.94
2017-04-14,90,73.0,,0.73,65.7
2017-04-15,100,73.0,,0.73,73.0
2017-04-16,87,73.0,,0.73,63.51
2017-04-17,76,73.0,,0.73,55.48
2017-04-18,70,73.0,,0.73,51.1
2017-04-19,73,73.0,,0.73,53.29
2017-04-20,74,73.0,,0.73,54.019999999999996
2017-04-21,82,73.0,,0.73,59.86
2017-04-22,95,73.0,,0.73,69.35
2017-04-23,85,73.0,,0.73,62.05
2017-04-24,75,73.0,,0.73,54.75
2017-04-25,74,73.0,,0.73,54.019999999999996
2017-04-26,71,73.0,,0.73,51.83
2017-04-27,73,73.0,,0.73,53.29
2017-04-28,80,73.0,,0.73,58.4
2017-04-29,94,73.0,,0.73,68.62
2017-04-30,84,73.0,,0.73,61.32
2017-05-01,75,76.0,False,0.76,57.0
2017-05-02,73,76.0,,0.76,55.480000000000004
2017-05-03,71,76.0,,0.76,53.96
2017-05-04,74,76.0,,0.76,56.24
2017-05-05,80,76.0,,0.76,60.8
2017-05-06,92,76.0,,0.76,69.92
2017-05-07,84,76.0,,0.76,63.84
2017-05-08,76,76.0,,0.76,57.76
2017-05-09,72,76.0,,0.76,54.72
2017-05-10,72,76.0,,0.76,54.72
2017-05-11,74,76.0,,0.76,56.24
2017-05-12,84,76.0,,0.76,63.84
2017-05-13,100,76.0,,0.76,76.0
2017-05-14,87,76.0,,0.76,66.12
2017-05-15,74,76.0,,0.76,56.24
2017-05-16,72,76.0,,0.76,54.72
2017-05-17,71,76.0,,0.76,53.96
2017-05-18,71,76.0,,0.76,53.96
2017-05-19,76,76.0,,0.76,57.76
2017-05-20,96,76.0,,0.76,72.96000000000001
2017-05-21,83,76.0,,0.76,63.08
2017-05-22,78,76.0,,0.76,59.28
2017-05-23,76,76.0,,0.76,57.76
2017-05-24,72,76.0,,0.76,54.72
2017-05-25,74,76.0,,0.76,56.24
2017-05-26,84,76.0,,0.76,63.84
2017-05-27,97,76.0,,0.76,73.72
2017-05-28,90,76.0,,0.76,68.4
2017-05-29,92,76.0,,0.76,69.92
2017-05-30,79,76.0,,0.76,60.04
2017-05-31,79,76.0,,0.76,60.04
2017-06-01,78,82.0,False,0.82,63.959999999999994
2017-06-02,86,82.0,,0.82,70.52
2017-06-03,97,82.0,,0.82,79.53999999999999
2017-06-04,85,82.0,,0.82,69.7
2017-06-05,78,82.0,,0.82,63.959999999999994
2017-06-06,78,82.0,,0.82,63.959999999999994
2017-06-07,77,82.0,,0.82,63.13999999999999
2017-06-08,80,82.0,,0.82,65.6
2017-06-09,85,82.0,,0.82,69.7
2017-06-10,97,82.0,,0.82,79.53999999999999
2017-06-11,87,82.0,,0.82,71.33999999999999
2017-06-12,81,82.0,,0.82,66.42
2017-06-13,79,82.0,,0.82,64.78
2017-06-14,80,82.0,,0.82,65.6
2017-06-15,84,82.0,,0.82,68.88
2017-06-16,89,82.0,,0.82,72.97999999999999
2017-06-17,100,82.0,,0.82,82.0
2017-06-18,88,82.0,,0.82,72.16
2017-06-19,83,82.0,,0.82,68.06
2017-06-20,83,82.0,,0.82,68.06
2017-06-21,79,82.0,,0.82,64.78
2017-06-22,78,82.0,,0.82,63.959999999999994
2017-06-23,89,82.0,,0.82,72.97999999999999
2017-06-24,98,82.0,,0.82,80.36
2017-06-25,87,82.0,,0.82,71.33999999999999
2017-06-26,87,82.0,,0.82,71.33999999999999
2017-06-27,79,82.0,,0.82,64.78
2017-06-28,80,82.0,,0.82,65.6
2017-06-29,84,82.0,,0.82,68.88
2017-06-30,86,82.0,,0.82,70.52
2017-07-01,99,87.0,False,0.87,86.13
2017-07-02,89,87.0,,0.87,77.42999999999999
2017-07-03,96,87.0,,0.87,83.52
2017-07-04,92,87.0,,0.87,80.04
2017-07-05,84,87.0,,0.87,73.08
2017-07-06,81,87.0,,0.87,70.47
2017-07-07,87,87.0,,0.87,75.69
2017-07-08,95,87.0,,0.87,82.65
2017-07-09,84,87.0,,0.87,73.08
2017-07-10,84,87.0,,0.87,73.08
2017-07-11,80,87.0,,0.87,69.6
2017-07-12,82,87.0,,0.87,71.34
2017-07-13,80,87.0,,0.87,69.6
2017-07-14,86,87.0,,0.87,74.82
2017-07-15,100,87.0,,0.87,87.0
2017-07-16,87,87.0,,0.87,75.69
2017-07-17,81,87.0,,0.87,70.47
2017-07-18,83,87.0,,0.87,72.21
2017-07-19,77,87.0,,0.87,66.99
2017-07-20,83,87.0,,0.87,72.21
2017-07-21,83,87.0,,0.87,72.21
2017-07-22,95,87.0,,0.87,82.65
2017-07-23,84,87.0,,0.87,73.08
2017-07-24,82,87.0,,0.87,71.34
2017-07-25,78,87.0,,0.87,67.86
2017-07-26,78,87.0,,0.87,67.86
2017-07-27,79,87.0,,0.87,68.73
2017-07-28,84,87.0,,0.87,73.08
2017-07-29,100,87.0,,0.87,87.0
2017-07-30,86,87.0,,0.87,74.82
2017-07-31,81,87.0,,0.87,70.47
2017-08-01,80,79.0,False,0.79,63.2
2017-08-02,82,79.0,,0.79,64.78
2017-08-03,80,79.0,,0.79,63.2
2017-08-04,86,79.0,,0.79,67.94
2017-08-05,100,79.0,,0.79,79.0
2017-08-06,90,79.0,,0.79,71.10000000000001
2017-08-07,85,79.0,,0.79,67.15
2017-08-08,81,79.0,,0.79,63.99
2017-08-09,80,79.0,,0.79,63.2
2017-08-10,81,79.0,,0.79,63.99
2017-08-11,86,79.0,,0.79,67.94
2017-08-12,97,79.0,,0.79,76.63000000000001
2017-08-13,85,79.0,,0.79,67.15
2017-08-14,81,79.0,,0.79,63.99
2017-08-15,79,79.0,,0.79,62.410000000000004
2017-08-16,76,79.0,,0.79,60.040000000000006
2017-08-17,78,79.0,,0.79,61.620000000000005
2017-08-18,83,79.0,,0.79,65.57000000000001
2017-08-19,96,79.0,,0.79,75.84
2017-08-20,83,79.0,,0.79,65.57000000000001
2017-08-21,73,79.0,,0.79,57.67
2017-08-22,76,79.0,,0.79,60.040000000000006
2017-08-23,76,79.0,,0.79,60.040000000000006
2017-08-24,73,79.0,,0.79,57.67
2017-08-25,77,79.0,,0.79,60.830000000000005
2017-08-26,90,79.0,,0.79,71.10000000000001
2017-08-27,72,79.0,,0.79,56.88
2017-08-28,73,79.0,,0.79,57.67
2017-08-29,71,79.0,,0.79,56.09
2017-08-30,72,79.0,,0.79,56.88
2017-08-31,71,79.0,,0.79,56.09
2017-09-01,85,74.0,False,0.74,62.9
2017-09-02,97,74.0,,0.74,71.78
2017-09-03,95,74.0,,0.74,70.3
2017-09-04,90,74.0,,0.74,66.6
2017-09-05,72,74.0,,0.74,53.28
2017-09-06,68,74.0,,0.74,50.32
2017-09-07,69,74.0,,0.74,51.06
2017-09-08,72,74.0,,0.74,53.28
2017-09-09,80,74.0,,0.74,59.2
2017-09-10,74,74.0,,0.74,54.76
2017-09-11,70,74.0,,0.74,51.8
2017-09-12,72,74.0,,0.74,53.28
2017-09-13,69,74.0,,0.74,51.06
2017-09-14,74,74.0,,0.74,54.76
2017-09-15,81,74.0,,0.74,59.94
2017-09-16,100,74.0,,0.74,74.0
2017-09-17,82,74.0,,0.74,60.68
2017-09-18,74,74.0,,0.74,54.76
2017-09-19,72,74.0,,0.74,53.28
2017-09-20,72,74.0,,0.74,53.28
2017-09-21,73,74.0,,0.74,54.019999999999996
2017-09-22,77,74.0,,0.74,56.98
2017-09-23,95,74.0,,0.74,70.3
2017-09-24,80,74.0,,0.74,59.2
2017-09-25,74,74.0,,0.74,54.76
2017-09-26,74,74.0,,0.74,54.76
2017-09-27,73,74.0,,0.74,54.019999999999996
2017-09-28,72,74.0,,0.74,53.28
2017-09-29,80,74.0,,0.74,59.2
2017-09-30,95,74.0,,0.74,70.3
2017-10-01,86,74.0,False,0.74,63.64
2017-10-02,73,74.0,,0.74,54.019999999999996
2017-10-03,77,74.0,,0.74,56.98
2017-10-04,81,74.0,,0.74,59.94
2017-10-05,81,74.0,,0.74,59.94
2017-10-06,83,74.0,,0.74,61.42
2017-10-07,100,74.0,,0.74,74.0
2017-10-08,92,74.0,,0.74,68.08
2017-10-09,83,74.0,,0.74,61.42
2017-10-10,75,74.0,,0.74,55.5
2017-10-11,73,74.0,,0.74,54.019999999999996
2017-10-12,78,74.0,,0.74,57.72
2017-10-13,85,74.0,,0.74,62.9
2017-10-14,100,74.0,,0.74,74.0
2017-10-15,86,74.0,,0.74,63.64
2017-10-16,81,74.0,,0.74,59.94
2017-10-17,78,74.0,,0.74,57.72
2017-10-18,77,74.0,,0.74,56.98
2017-10-19,82,74.0,,0.74,60.68
2017-10-20,85,74.0,,0.74,62.9
2017-10-21,99,74.0,,0.74,73.26
2017-10-22,87,74.0,,0.74,64.38
2017-10-23,79,74.0,,0.74,58.46
2017-10-24,76,74.0,,0.74,56.24
2017-10-25,78,74.0,,0.74,57.72
2017-10-26,75,74.0,,0.74,55.5
2017-10-27,83,74.0,,0.74,61.42
2017-10-28,99,74.0,,0.74,73.26
2017-10-29,83,74.0,,0.74,61.42
2017-10-30,78,74.0,,0.74,57.72
2017-10-31,73,74.0,,0.74,54.019999999999996
2017-11-01,56,79.0,False,0.79,44.24
2017-11-02,60,79.0,,0.79,47.400000000000006
2017-11-03,66,79.0,,0.79,52.14
2017-11-04,77,79.0,,0.79,60.830000000000005
2017-11-05,68,79.0,,0.79,53.72
2017-11-06,62,79.0,,0.79,48.980000000000004
2017-11-07,61,79.0,,0.79,48.190000000000005
2017-11-08,60,79.0,,0.79,47.400000000000006
2017-11-09,60,79.0,,0.79,47.400000000000006
2017-11-10,70,79.0,,0.79,55.300000000000004
2017-11-11,82,79.0,,0.79,64.78
2017-11-12,71,79.0,,0.79,56.09
2017-11-13,63,79.0,,0.79,49.77
2017-11-14,61,79.0,,0.79,48.190000000000005
2017-11-15,63,79.0,,0.79,49.77
2017-11-16,61,79.0,,0.79,48.190000000000005
2017-11-17,67,79.0,,0.79,52.93
2017-11-18,82,79.0,,0.79,64.78
2017-11-19,75,79.0,,0.79,59.25
2017-11-20,72,79.0,,0.79,56.88
2017-11-21,74,79.0,,0.79,58.46
2017-11-22,83,79.0,,0.79,65.57000000000001
2017-11-23,85,79.0,,0.79,67.15
2017-11-24,100,79.0,,0.79,79.0
2017-11-25,94,79.0,,0.79,74.26
2017-11-26,77,79.0,,0.79,60.830000000000005
2017-11-27,79,79.0,,0.79,62.410000000000004
2017-11-28,69,79.0,,0.79,54.510000000000005
2017-11-29,62,79.0,,0.79,48.980000000000004
2017-11-30,64,79.0,,0.79,50.56
2017-12-01,72,83.0,False,0.83,59.76
2017-12-02,88,83.0,,0.83,73.03999999999999
2017-12-03,79,83.0,,0.83,65.57
2017-12-04,70,83.0,,0.83,58.099999999999994
2017-12-05,66,83.0,,0.83,54.779999999999994
2017-12-06,66,83.0,,0.83,54.779999999999994
2017-12-07,69,83.0,,0.83,57.269999999999996
2017-12-08,72,83.0,,0.83,59.76
2017-12-09,89,83.0,,0.83,73.86999999999999
2017-12-10,80,83.0,,0.83,66.39999999999999
2017-12-11,72,83.0,,0.83,59.76
2017-12-12,72,83.0,,0.83,59.76
2017-12-13,69,83.0,,0.83,57.269999999999996
2017-12-14,71,83.0,,0.83,58.93
2017-12-15,78,83.0,,0.83,64.74
2017-12-16,97,83.0,,0.83,80.50999999999999
2017-12-17,86,83.0,,0.83,71.38
2017-12-18,77,83.0,,0.83,63.91
2017-12-19,76,83.0,,0.83,63.08
2017-12-20,77,83.0,,0.83,63.91
2017-12-21,80,83.0,,0.83,66.39999999999999
2017-12-22,89,83.0,,0.83,73.86999999999999
2017-12-23,100,83.0,,0.83,83.0
2017-12-24,88,83.0,,0.83,73.03999999999999
2017-12-25,70,83.0,,0.83,58.099999999999994
