date,IQ_unscaled,IQ_monthly,isPartial,scale,IQ
2016-10-25,95,74.0,,0.74,70.3
2016-10-26,89,74.0,,0.74,65.86
2016-10-27,85,74.0,,0.74,62.9
2016-10-28,90,74.0,,0.74,66.6
2016-10-29,69,74.0,,0.74,51.06
2016-10-30,72,74.0,,0.74,53.28
2016-10-31,85,74.0,,0.74,62.9
2016-11-01,80,82.0,False,0.82,65.6
2016-11-02,88,82.0,,0.82,72.16
2016-11-03,79,82.0,,0.82,64.78
2016-11-04,90,82.0,,0.82,73.8
2016-11-05,79,82.0,,0.82,64.78
2016-11-06,90,82.0,,0.82,73.8
2016-11-07,92,82.0,,0.82,75.44
2016-11-08,90,82.0,,0.82,73.8
2016-11-09,70,82.0,,0.82,57.4
2016-11-10,100,82.0,,0.82,82.0
2016-11-11,91,82.0,,0.82,74.61999999999999
2016-11-12,92,82.0,,0.82,75.44
2016-11-13,94,82.0,,0.82,77.08
2016-11-14,93,82.0,,0.82,76.25999999999999
2016-11-15,96,82.0,,0.82,78.72
2016-11-16,89,82.0,,0.82,72.97999999999999
2016-11-17,99,82.0,,0.82,81.17999999999999
2016-11-18,95,82.0,,0.82,77.89999999999999
2016-11-19,87,82.0,,0.82,71.33999999999999
2016-11-20,85,82.0,,0.82,69.7
2016-11-21,90,82.0,,0.82,73.8
2016-11-22,88,82.0,,0.82,72.16
2016-11-23,84,82.0,,0.82,68.88
2016-11-24,78,82.0,,0.82,63.959999999999994
2016-11-25,78,82.0,,0.82,63.959999999999994
2016-11-26,74,82.0,,0.82,60.68
2016-11-27,80,82.0,,0.82,65.6
2016-11-28,88,82.0,,0.82,72.16
2016-11-29,97,82.0,,0.82,79.53999999999999
2016-11-30,98,82.0,,0.82,80.36
2016-12-01,82,82.0,False,0.82,67.24
2016-12-02,82,82.0,,0.82,67.24
2016-12-03,74,82.0,,0.82,60.68
2016-12-04,75,82.0,,0.82,61.49999999999999
2016-12-05,84,82.0,,0.82,68.88
2016-12-06,84,82.0,,0.82,68.88
2016-12-07,87,82.0,,0.82,71.33999999999999
2016-12-08,80,82.0,,0.82,65.6
2016-12-09,77,82.0,,0.82,63.13999999999999
2016-12-10,76,82.0,,0.82,62.31999999999999
2016-12-11,79,82.0,,0.82,64.78
2016-12-12,77,82.0,,0.82,63.13999999999999
2016-12-13,84,82.0,,0.82,68.88
2016-12-14,86,82.0,,0.82,70.52
2016-12-15,76,82.0,,0.82,62.31999999999999
2016-12-16,79,82.0,,0.82,64.78
2016-12-17,77,82.0,,0.82,63.13999999999999
2016-12-18,79,82.0,,0.82,64.78
2016-12-19,92,82.0,,0.82,75.44
2016-12-20,84,82.0,,0.82,68.88
2016-12-21,83,82.0,,0.82,68.06
2016-12-22,100,82.0,,0.82,82.0
2016-12-23,81,82.0,,0.82,66.42
2016-12-24,81,82.0,,0.82,66.42
2016-12-25,80,82.0,,0.82,65.6
2016-12-26,85,82.0,,0.82,69.7
2016-12-27,85,82.0,,0.82,69.7
2016-12-28,79,82.0,,0.82,64.78
2016-12-29,81,82.0,,0.82,66.42
2016-12-30,86,82.0,,0.82,70.52
2016-12-31,71,82.0,,0.82,58.22
2017-01-01,58,100.0,False,1.0,58.0
2017-01-02,62,100.0,,1.0,62.0
2017-01-03,69,100.0,,1.0,69.0
2017-01-04,63,100.0,,1.0,63.0
2017-01-05,77,100.0,,1.0,77.0
2017-01-06,68,100.0,,1.0,68.0
2017-01-07,67,100.0,,1.0,67.0
2017-01-08,70,100.0,,1.0,70.0
2017-01-09,69,100.0,,1.0,69.0
2017-01-10,65,100.0,,1.0,65.0
2017-01-11,64,100.0,,1.0,64.0
2017-01-12,67,100.0,,1.0,67.0
2017-01-13,65,100.0,,1.0,65.0
2017-01-14,65,100.0,,1.0,65.0
2017-01-15,60,100.0,,1.0,60.0
2017-01-16,69,100.0,,1.0,69.0
2017-01-17,74,100.0,,1.0,74.0
2017-01-18,64,100.0,,1.0,64.0
2017-01-19,71,100.0,,1.0,71.0
2017-01-20,84,100.0,,1.0,84.0
2017-01-21,97,100.0,,1.0,97.0
2017-01-22,100,100.0,,1.0,100.0
2017-01-23,99,100.0,,1.0,99.0
2017-01-24,96,100.0,,1.0,96.0
2017-01-25,95,100.0,,1.0,95.0
2017-01-26,88,100.0,,1.0,88.0
2017-01-27,95,100.0,,1.0,95.0
2017-01-28,81,100.0,,1.0,81.0
2017-01-29,88,100.0,,1.0,88.0
2017-01-30,85,100.0,,1.0,85.0
2017-01-31,78,100.0,,1.0,78.0
2017-02-01,90,94.0,False,0.94,84.6
2017-02-02,93,94.0,,0.94,87.42
2017-02-03,93,94.0,,0.94,87.42
2017-02-04,100,94.0,,0.94,94.0
2017-02-05,94,94.0,,0.94,88.36
2017-02-06,93,94.0,,0.94,87.42
2017-02-07,95,94.0,,0.94,89.3
2017-02-08,90,94.0,,0.94,84.6
2017-02-09,92,94.0,,0.94,86.47999999999999
2017-02-10,88,94.0,,0.94,82.72
2017-02-11,80,94.0,,0.94,75.19999999999999
2017-02-12,85,94.0,,0.94,79.89999999999999
2017-02-13,76,94.0,,0.94,71.44
2017-02-14,76,94.0,,0.94,71.44
2017-02-15,78,94.0,,0.94,73.32
2017-02-16,89,94.0,,0.94,83.66
2017-02-17,86,94.0,,0.94,80.83999999999999
2017-02-18,81,94.0,,0.94,76.14
2017-02-19,89,94.0,,0.94,83.66
2017-02-20,89,94.0,,0.94,83.66
2017-02-21,88,94.0,,0.94,82.72
2017-02-22,86,94.0,,0.94,80.83999999999999
2017-02-23,85,94.0,,0.94,79.89999999999999
2017-02-24,99,94.0,,0.94,93.05999999999999
2017-02-25,85,94.0,,0.94,79.89999999999999
2017-02-26,83,94.0,,0.94,78.02
2017-02-27,86,94.0,,0.94,80.83999999999999
2017-02-28,83,94.0,,0.94,78.02
2017-03-01,91,87.0,False,0.87,79.17
2017-03-02,95,87.0,,0.87,82.65
2017-03-03,97,87.0,,0.87,84.39
2017-03-04,90,87.0,,0.87,78.3
2017-03-05,97,87.0,,0.87,84.39
2017-03-06,100,87.0,,0.87,87.0
2017-03-07,96,87.0,,0.87,83.52
2017-03-08,97,87.0,,0.87,84.39
2017-03-09,92,87.0,,0.87,80.04
2017-03-10,97,87.0,,0.87,84.39
2017-03-11,90,87.0,,0.87,78.3
2017-03-12,89,87.0,,0.87,77.42999999999999
2017-03-13,93,87.0,,0.87,80.91
2017-03-14,87,87.0,,0.87,75.69
2017-03-15,94,87.0,,0.87,81.78
2017-03-16,88,87.0,,0.87,76.56
2017-03-17,80,87.0,,0.87,69.6
2017-03-18,76,87.0,,0.87,66.12
2017-03-19,78,87.0,,0.87,67.86
2017-03-20,90,87.0,,0.87,78.3
2017-03-21,93,87.0,,0.87,80.91
2017-03-22,84,87.0,,0.87,73.08
2017-03-23,87,87.0,,0.87,75.69
2017-03-24,85,87.0,,0.87,73.95
2017-03-25,80,87.0,,0.87,69.6
2017-03-26,85,87.0,,0.87,73.95
2017-03-27,92,87.0,,0.87,80.04
2017-03-28,93,87.0,,0.87,80.91
2017-03-29,92,87.0,,0.87,80.04
2017-03-30,89,87.0,,0.87,77.42999999999999
2017-03-31,95,87.0,,0.87,82.65
2017-04-01,86,79.0,False,0.79,67.94
2017-04-02,89,79.0,,0.79,70.31
2017-04-03,89,79.0,,0.79,70.31
2017-04-04,98,79.0,,0.79,77.42
2017-04-05,98,79.0,,0.79,77.42
2017-04-06,96,79.0,,0.79,75.84
2017-04-07,90,79.0,,0.79,71.10000000000001
2017-04-08,78,79.0,,0.79,61.620000000000005
2017-04-09,79,79.0,,0.79,62.410000000000004
2017-04-10,84,79.0,,0.79,66.36
2017-04-11,93,79.0,,0.79,73.47
2017-04-12,92,79.0,,0.79,72.68
2017-04-13,87,79.0,,0.79,68.73
2017-04-14,82,79.0,,0.79,64.78
2017-04-15,83,79.0,,0.79,65.57000000000001
2017-04-16,77,79.0,,0.79,60.830000000000005
2017-04-17,85,79.0,,0.79,67.15
2017-04-18,92,79.0,,0.79,72.68
2017-04-19,94,79.0,,0.79,74.26
2017-04-20,93,79.0,,0.79,73.47
2017-04-21,89,79.0,,0.79,70.31
2017-04-22,85,79.0,,0.79,67.15
2017-04-23,100,79.0,,0.79,79.0
2017-04-24,98,79.0,,0.79,77.42
2017-04-25,97,79.0,,0.79,76.63000000000001
2017-04-26,93,79.0,,0.79,73.47
2017-04-27,100,79.0,,0.79,79.0
2017-04-28,92,79.0,,0.79,72.68
2017-04-29,85,79.0,,0.79,67.15
2017-04-30,86,79.0,,0.79,67.94
2017-05-01,92,80.0,False,0.8,73.60000000000001
2017-05-02,93,80.0,,0.8,74.4
2017-05-03,86,80.0,,0.8,68.8
2017-05-04,89,80.0,,0.8,71.2
2017-05-05,87,80.0,,0.8,69.60000000000001
2017-05-06,76,80.0,,0.8,60.800000000000004
2017-05-07,78,80.0,,0.8,62.400000000000006
2017-05-08,88,80.0,,0.8,70.4
2017-05-09,92,80.0,,0.8,73.60000000000001
2017-05-10,97,80.0,,0.8,77.60000000000001
2017-05-11,100,80.0,,0.8,80.0
2017-05-12,92,80.0,,0.8,73.60000000000001
2017-05-13,83,80.0,,0.8,66.4
2017-05-14,91,80.0,,0.8,72.8
2017-05-15,92,80.0,,0.8,73.60000000000001
2017-05-16,89,80.0,,0.8,71.2
2017-05-17,87,80.0,,0.8,69.60000000000001
2017-05-18,81,80.0,,0.8,64.8
2017-05-19,89,80.0,,0.8,71.2
2017-05-20,78,80.0,,0.8,62.400000000000006
2017-05-21,78,80.0,,0.8,62.400000000000006
2017-05-22,82,80.0,,0.8,65.60000000000001
2017-05-23,84,80.0,,0.8,67.2
2017-05-24,89,80.0,,0.8,71.2
2017-05-25,86,80.0,,0.8,68.8
2017-05-26,85,80.0,,0.8,68.0
2017-05-27,77,80.0,,0.8,61.6
2017-05-28,80,80.0,,0.8,64.0
2017-05-29,78,80.0,,0.8,62.400000000000006
2017-05-30,77,80.0,,0.8,61.6
2017-05-31,96,80.0,,0.8,76.80000000000001
2017-06-01,97,76.0,False,0.76,73.72
2017-06-02,91,76.0,,0.76,69.16
2017-06-03,79,76.0,,0.76,60.04
2017-06-04,92,76.0,,0.76,69.92
2017-06-05,83,76.0,,0.76,63.08
2017-06-06,94,76.0,,0.76,71.44
2017-06-07,100,76.0,,0.76,76.0
2017-06-08,86,76.0,,0.76,65.36
2017-06-09,94,76.0,,0.76,71.44
2017-06-10,87,76.0,,0.76,66.12
2017-06-11,77,76.0,,0.76,58.52
2017-06-12,93,76.0,,0.76,70.68
2017-06-13,88,76.0,,0.76,66.88
2017-06-14,78,76.0,,0.76,59.28
2017-06-15,86,76.0,,0.76,65.36
2017-06-16,82,76.0,,0.76,62.32
2017-06-17,80,76.0,,0.76,60.8
2017-06-18,91,76.0,,0.76,69.16
2017-06-19,94,76.0,,0.76,71.44
2017-06-20,86,76.0,,0.76,65.36
2017-06-21,94,76.0,,0.76,71.44
2017-06-22,88,76.0,,0.76,66.88
2017-06-23,88,76.0,,0.76,66.88
2017-06-24,90,76.0,,0.76,68.4
2017-06-25,84,76.0,,0.76,63.84
2017-06-26,84,76.0,,0.76,63.84
2017-06-27,95,76.0,,0.76,72.2
2017-06-28,90,76.0,,0.76,68.4
2017-06-29,98,76.0,,0.76,74.48
2017-06-30,97,76.0,,0.76,73.72
2017-07-01,90,74.0,False,0.74,66.6
2017-07-02,90,74.0,,0.74,66.6
2017-07-03,88,74.0,,0.74,65.12
2017-07-04,84,74.0,,0.74,62.16
2017-07-05,90,74.0,,0.74,66.6
2017-07-06,85,74.0,,0.74,62.9
2017-07-07,83,74.0,,0.74,61.42
2017-07-08,89,74.0,,0.74,65.86
2017-07-09,86,74.0,,0.74,63.64
2017-07-10,92,74.0,,0.74,68.08
2017-07-11,90,74.0,,0.74,66.6
2017-07-12,85,74.0,,0.74,62.9
2017-07-13,90,74.0,,0.74,66.6
2017-07-14,89,74.0,,0.74,65.86
2017-07-15,76,74.0,,0.74,56.24
2017-07-16,89,74.0,,0.74,65.86
2017-07-17,82,74.0,,0.74,60.68
2017-07-18,82,74.0,,0.74,60.68
2017-07-19,88,74.0,,0.74,65.12
2017-07-20,79,74.0,,0.74,58.46
2017-07-21,87,74.0,,0.74,64.38
2017-07-22,88,74.0,,0.74,65.12
2017-07-23,84,74.0,,0.74,62.16
2017-07-24,84,74.0,,0.74,62.16
2017-07-25,97,74.0,,0.74,71.78
2017-07-26,98,74.0,,0.74,72.52
2017-07-27,93,74.0,,0.74,68.82
2017-07-28,86,74.0,,0.74,63.64
2017-07-29,91,74.0,,0.74,67.34
2017-07-30,100,74.0,,0.74,74.0
2017-07-31,96,74.0,,0.74,71.03999999999999
2017-08-01,97,74.0,False,0.74,71.78
2017-08-02,100,74.0,,0.74,74.0
2017-08-03,83,74.0,,0.74,61.42
2017-08-04,73,74.0,,0.74,54.019999999999996
2017-08-05,77,74.0,,0.74,56.98
2017-08-06,80,74.0,,0.74,59.2
2017-08-07,72,74.0,,0.74,53.28
2017-08-08,76,74.0,,0.74,56.24
2017-08-09,85,74.0,,0.74,62.9
2017-08-10,80,74.0,,0.74,59.2
2017-08-11,76,74.0,,0.74,56.24
2017-08-12,72,74.0,,0.74,53.28
2017-08-13,65,74.0,,0.74,48.1
2017-08-14,72,74.0,,0.74,53.28
2017-08-15,68,74.0,,0.74,50.32
2017-08-16,77,74.0,,0.74,56.98
2017-08-17,71,74.0,,0.74,52.54
2017-08-18,71,74.0,,0.74,52.54
2017-08-19,70,74.0,,0.74,51.8
2017-08-20,64,74.0,,0.74,47.36
2017-08-21,62,74.0,,0.74,45.88
2017-08-22,69,74.0,,0.74,51.06
2017-08-23,74,74.0,,0.74,54.76
2017-08-24,69,74.0,,0.74,51.06
2017-08-25,71,74.0,,0.74,52.54
2017-08-26,69,74.0,,0.74,51.06
2017-08-27,63,74.0,,0.74,46.62
2017-08-28,69,74.0,,0.74,51.06
2017-08-29,64,74.0,,0.74,47.36
2017-08-30,70,74.0,,0.74,51.8
2017-08-31,64,74.0,,0.74,47.36
2017-09-01,77,73.0,False,0.73,56.21
2017-09-02,80,73.0,,0.73,58.4
2017-09-03,85,73.0,,0.73,62.05
2017-09-04,77,73.0,,0.73,56.21
2017-09-05,89,73.0,,0.73,64.97
2017-09-06,86,73.0,,0.73,62.78
2017-09-07,80,73.0,,0.73,58.4
2017-09-08,87,73.0,,0.73,63.51
2017-09-09,80,73.0,,0.73,58.4
2017-09-10,70,73.0,,0.73,51.1
2017-09-11,78,73.0,,0.73,56.94
2017-09-12,84,73.0,,0.73,61.32
2017-09-13,89,73.0,,0.73,64.97
2017-09-14,82,73.0,,0.73,59.86
2017-09-15,86,73.0,,0.73,62.78
2017-09-16,78,73.0,,0.73,56.94
2017-09-17,84,73.0,,0.73,61.32
2017-09-18,82,73.0,,0.73,59.86
2017-09-19,88,73.0,,0.73,64.24
2017-09-20,93,73.0,,0.73,67.89
2017-09-21,92,73.0,,0.73,67.16
2017-09-22,92,73.0,,0.73,67.16
2017-09-23,92,73.0,,0.73,67.16
2017-09-24,90,73.0,,0.73,65.7
2017-09-25,87,73.0,,0.73,63.51
2017-09-26,98,73.0,,0.73,71.53999999999999
2017-09-27,99,73.0,,0.73,72.27
2017-09-28,100,73.0,,0.73,73.0
2017-09-29,96,73.0,,0.73,70.08
2017-09-30,95,73.0,,0.73,69.35
2017-10-01,35,90.0,False,0.9,31.5
2017-10-02,36,90.0,,0.9,32.4
2017-10-03,43,90.0,,0.9,38.7
2017-10-04,41,90.0,,0.9,36.9
2017-10-05,43,90.0,,0.9,38.7
2017-10-06,41,90.0,,0.9,36.9
2017-10-07,35,90.0,,0.9,31.5
2017-10-08,37,90.0,,0.9,33.300000000000004
2017-10-09,43,90.0,,0.9,38.7
2017-10-10,100,90.0,,0.9,90.0
2017-10-11,93,90.0,,0.9,83.7
2017-10-12,54,90.0,,0.9,48.6
2017-10-13,45,90.0,,0.9,40.5
2017-10-14,40,90.0,,0.9,36.0
2017-10-15,50,90.0,,0.9,45.0
2017-10-16,46,90.0,,0.9,41.4
2017-10-17,46,90.0,,0.9,41.4
2017-10-18,43,90.0,,0.9,38.7
2017-10-19,42,90.0,,0.9,37.800000000000004
2017-10-20,41,90.0,,0.9,36.9
2017-10-21,40,90.0,,0.9,36.0
2017-10-22,42,90.0,,0.9,37.800000000000004
2017-10-23,47,90.0,,0.9,42.300000000000004
2017-10-24,46,90.0,,0.9,41.4
2017-10-25,43,90.0,,0.9,38.7
2017-10-26,45,90.0,,0.9,40.5
2017-10-27,41,90.0,,0.9,36.9
2017-10-28,34,90.0,,0.9,30.6
2017-10-29,36,90.0,,0.9,32.4
2017-10-30,38,90.0,,0.9,34.2
2017-10-31,37,90.0,,0.9,33.300000000000004
2017-11-01,84,78.0,False,0.78,65.52
2017-11-02,93,78.0,,0.78,72.54
2017-11-03,90,78.0,,0.78,70.2
2017-11-04,93,78.0,,0.78,72.54
2017-11-05,81,78.0,,0.78,63.18
2017-11-06,84,78.0,,0.78,65.52
2017-11-07,91,78.0,,0.78,70.98
2017-11-08,94,78.0,,0.78,73.32000000000001
2017-11-09,92,78.0,,0.78,71.76
2017-11-10,86,78.0,,0.78,67.08
2017-11-11,75,78.0,,0.78,58.5
2017-11-12,77,78.0,,0.78,60.06
2017-11-13,83,78.0,,0.78,64.74000000000001
2017-11-14,88,78.0,,0.78,68.64
2017-11-15,91,78.0,,0.78,70.98
2017-11-16,90,78.0,,0.78,70.2
2017-11-17,92,78.0,,0.78,71.76
2017-11-18,81,78.0,,0.78,63.18
2017-11-19,78,78.0,,0.78,60.84
2017-11-20,97,78.0,,0.78,75.66
2017-11-21,89,78.0,,0.78,69.42
2017-11-22,87,78.0,,0.78,67.86
2017-11-23,79,78.0,,0.78,61.620000000000005
2017-11-24,80,78.0,,0.78,62.400000000000006
2017-11-25,83,78.0,,0.78,64.74000000000001
2017-11-26,76,78.0,,0.78,59.28
2017-11-27,81,78.0,,0.78,63.18
2017-11-28,100,78.0,,0.78,78.0
2017-11-29,85,78.0,,0.78,66.3
2017-11-30,88,78.0,,0.78,68.64
2017-12-01,97,76.0,False,0.76,73.72
2017-12-02,84,76.0,,0.76,63.84
2017-12-03,85,76.0,,0.76,64.6
2017-12-04,91,76.0,,0.76,69.16
2017-12-05,99,76.0,,0.76,75.24
2017-12-06,98,76.0,,0.76,74.48
2017-12-07,92,76.0,,0.76,69.92
2017-12-08,96,76.0,,0.76,72.96000000000001
2017-12-09,87,76.0,,0.76,66.12
2017-12-10,87,76.0,,0.76,66.12
2017-12-11,95,76.0,,0.76,72.2
2017-12-12,100,76.0,,0.76,76.0
2017-12-13,94,76.0,,0.76,71.44
2017-12-14,89,76.0,,0.76,67.64
2017-12-15,95,76.0,,0.76,72.2
2017-12-16,78,76.0,,0.76,59.28
2017-12-17,83,76.0,,0.76,63.08
2017-12-18,88,76.0,,0.76,66.88
2017-12-19,91,76.0,,0.76,69.16
2017-12-20,88,76.0,,0.76,66.88
2017-12-21,87,76.0,,0.76,66.12
2017-12-22,90,76.0,,0.76,68.4
2017-12-23,87,76.0,,0.76,66.12
2017-12-24,86,76.0,,0.76,65.36
2017-12-25,89,76.0,,0.76,67.64
2017-12-26,96,76.0,,0.76,72.96000000000001
2017-12-27,89,76.0,,0.76,67.64
2017-12-28,93,76.0,,0.76,70.68
2017-12-29,95,76.0,,0.76,72.2
2017-12-30,95,76.0,,0.76,72.2
2017-12-31,88,76.0,,0.76,66.88
2018-01-01,71,85.0,False,0.85,60.35
2018-01-02,72,85.0,,0.85,61.199999999999996
