date,GOAT_unscaled,GOAT_monthly,isPartial,scale,GOAT
2016-06-16,55,71.0,,0.71,39.05
2016-06-17,54,71.0,,0.71,38.339999999999996
2016-06-18,60,71.0,,0.71,42.599999999999994
2016-06-19,61,71.0,,0.71,43.309999999999995
2016-06-20,53,71.0,,0.71,37.629999999999995
2016-06-21,49,71.0,,0.71,34.79
2016-06-22,51,71.0,,0.71,36.21
2016-06-23,49,71.0,,0.71,34.79
2016-06-24,53,71.0,,0.71,37.629999999999995
2016-06-25,60,71.0,,0.71,42.599999999999994
2016-06-26,59,71.0,,0.71,41.89
2016-06-27,51,71.0,,0.71,36.21
2016-06-28,49,71.0,,0.71,34.79
2016-06-29,45,71.0,,0.71,31.95
2016-06-30,49,71.0,,0.71,34.79
2016-07-01,70,67.0,False,0.67,46.900000000000006
2016-07-02,94,67.0,,0.67,62.980000000000004
2016-07-03,99,67.0,,0.67,66.33
2016-07-04,89,67.0,,0.67,59.63
2016-07-05,79,67.0,,0.67,52.93
2016-07-06,73,67.0,,0.67,48.910000000000004
2016-07-07,83,67.0,,0.67,55.61000000000001
2016-07-08,80,67.0,,0.67,53.6
2016-07-09,99,67.0,,0.67,66.33
2016-07-10,100,67.0,,0.67,67.0
2016-07-11,79,67.0,,0.67,52.93
2016-07-12,83,67.0,,0.67,55.61000000000001
2016-07-13,84,67.0,,0.67,56.28
2016-07-14,71,67.0,,0.67,47.57
2016-07-15,75,67.0,,0.67,50.25
2016-07-16,90,67.0,,0.67,60.300000000000004
2016-07-17,96,67.0,,0.67,64.32000000000001
2016-07-18,81,67.0,,0.67,54.27
2016-07-19,71,67.0,,0.67,47.57
2016-07-20,77,67.0,,0.67,51.59
2016-07-21,73,67.0,,0.67,48.910000000000004
2016-07-22,84,67.0,,0.67,56.28
2016-07-23,90,67.0,,0.67,60.300000000000004
2016-07-24,91,67.0,,0.67,60.970000000000006
2016-07-25,75,67.0,,0.67,50.25
2016-07-26,76,67.0,,0.67,50.92
2016-07-27,77,67.0,,0.67,51.59
2016-07-28,78,67.0,,0.67,52.260000000000005
2016-07-29,77,67.0,,0.67,51.59
2016-07-30,87,67.0,,0.67,58.290000000000006
2016-07-31,92,67.0,,0.67,61.64
2016-08-01,60,68.0,False,0.68,40.800000000000004
2016-08-02,64,68.0,,0.68,43.52
2016-08-03,66,68.0,,0.68,44.88
2016-08-04,68,68.0,,0.68,46.24
2016-08-05,68,68.0,,0.68,46.24
2016-08-06,78,68.0,,0.68,53.040000000000006
2016-08-07,69,68.0,,0.68,46.92
2016-08-08,63,68.0,,0.68,42.84
2016-08-09,58,68.0,,0.68,39.440000000000005
2016-08-10,81,68.0,,0.68,55.080000000000005
2016-08-11,67,68.0,,0.68,45.56
2016-08-12,72,68.0,,0.68,48.96
2016-08-13,80,68.0,,0.68,54.400000000000006
2016-08-14,100,68.0,,0.68,68.0
2016-08-15,72,68.0,,0.68,48.96
2016-08-16,65,68.0,,0.68,44.2
2016-08-17,62,68.0,,0.68,42.160000000000004
2016-08-18,65,68.0,,0.68,44.2
2016-08-19,64,68.0,,0.68,43.52
2016-08-20,71,68.0,,0.68,48.28
2016-08-21,74,68.0,,0.68,50.32
2016-08-22,60,68.0,,0.68,40.800000000000004
2016-08-23,65,68.0,,0.68,44.2
2016-08-24,64,68.0,,0.68,43.52
2016-08-25,62,68.0,,0.68,42.160000000000004
2016-08-26,67,68.0,,0.68,45.56
2016-08-27,77,68.0,,0.68,52.36000000000001
2016-08-28,82,68.0,,0.68,55.760000000000005
2016-08-29,62,68.0,,0.68,42.160000000000004
2016-08-30,64,68.0,,0.68,43.52
2016-08-31,60,68.0,,0.68,40.800000000000004
2016-09-01,57,67.0,False,0.67,38.190000000000005
2016-09-02,63,67.0,,0.67,42.21
2016-09-03,78,67.0,,0.67,52.260000000000005
2016-09-04,83,67.0,,0.67,55.61000000000001
2016-09-05,73,67.0,,0.67,48.910000000000004
2016-09-06,65,67.0,,0.67,43.550000000000004
2016-09-07,59,67.0,,0.67,39.53
2016-09-08,60,67.0,,0.67,40.2
2016-09-09,64,67.0,,0.67,42.88
2016-09-10,72,67.0,,0.67,48.24
2016-09-11,70,67.0,,0.67,46.900000000000006
2016-09-12,59,67.0,,0.67,39.53
2016-09-13,61,67.0,,0.67,40.870000000000005
2016-09-14,60,67.0,,0.67,40.2
2016-09-15,62,67.0,,0.67,41.54
2016-09-16,64,67.0,,0.67,42.88
2016-09-17,74,67.0,,0.67,49.580000000000005
2016-09-18,77,67.0,,0.67,51.59
2016-09-19,65,67.0,,0.67,43.550000000000004
2016-09-20,64,67.0,,0.67,42.88
2016-09-21,66,67.0,,0.67,44.220000000000006
2016-09-22,63,67.0,,0.67,42.21
2016-09-23,70,67.0,,0.67,46.900000000000006
2016-09-24,100,67.0,,0.67,67.0
2016-09-25,88,67.0,,0.67,58.96
2016-09-26,75,67.0,,0.67,50.25
2016-09-27,62,67.0,,0.67,41.54
2016-09-28,63,67.0,,0.67,42.21
2016-09-29,66,67.0,,0.67,44.220000000000006
2016-09-30,67,67.0,,0.67,44.89
2016-10-01,45,80.0,False,0.8,36.0
2016-10-02,49,80.0,,0.8,39.2
2016-10-03,40,80.0,,0.8,32.0
2016-10-04,40,80.0,,0.8,32.0
2016-10-05,38,80.0,,0.8,30.400000000000002
2016-10-06,38,80.0,,0.8,30.400000000000002
2016-10-07,42,80.0,,0.8,33.6
2016-10-08,56,80.0,,0.8,44.800000000000004
2016-10-09,57,80.0,,0.8,45.6
2016-10-10,42,80.0,,0.8,33.6
2016-10-11,44,80.0,,0.8,35.2
2016-10-12,53,80.0,,0.8,42.400000000000006
2016-10-13,41,80.0,,0.8,32.800000000000004
2016-10-14,41,80.0,,0.8,32.800000000000004
2016-10-15,48,80.0,,0.8,38.400000000000006
2016-10-16,56,80.0,,0.8,44.800000000000004
2016-10-17,47,80.0,,0.8,37.6
2016-10-18,39,80.0,,0.8,31.200000000000003
2016-10-19,50,80.0,,0.8,40.0
2016-10-20,45,80.0,,0.8,36.0
2016-10-21,45,80.0,,0.8,36.0
2016-10-22,55,80.0,,0.8,44.0
2016-10-23,100,80.0,,0.8,80.0
2016-10-24,49,80.0,,0.8,39.2
2016-10-25,49,80.0,,0.8,39.2
2016-10-26,55,80.0,,0.8,44.0
2016-10-27,51,80.0,,0.8,40.800000000000004
2016-10-28,45,80.0,,0.8,36.0
2016-10-29,61,80.0,,0.8,48.800000000000004
2016-10-30,68,80.0,,0.8,54.400000000000006
2016-10-31,50,80.0,,0.8,40.0
2016-11-01,33,74.0,False,0.74,24.419999999999998
2016-11-02,42,74.0,,0.74,31.08
2016-11-03,100,74.0,,0.74,74.0
2016-11-04,44,74.0,,0.74,32.56
2016-11-05,38,74.0,,0.74,28.12
2016-11-06,39,74.0,,0.74,28.86
2016-11-07,32,74.0,,0.74,23.68
2016-11-08,27,74.0,,0.74,19.98
2016-11-09,19,74.0,,0.74,14.06
2016-11-10,28,74.0,,0.74,20.72
2016-11-11,29,74.0,,0.74,21.46
2016-11-12,33,74.0,,0.74,24.419999999999998
2016-11-13,33,74.0,,0.74,24.419999999999998
2016-11-14,28,74.0,,0.74,20.72
2016-11-15,31,74.0,,0.74,22.94
2016-11-16,27,74.0,,0.74,19.98
2016-11-17,31,74.0,,0.74,22.94
2016-11-18,32,74.0,,0.74,23.68
2016-11-19,41,74.0,,0.74,30.34
2016-11-20,36,74.0,,0.74,26.64
2016-11-21,33,74.0,,0.74,24.419999999999998
2016-11-22,35,74.0,,0.74,25.9
2016-11-23,37,74.0,,0.74,27.38
2016-11-24,43,74.0,,0.74,31.82
2016-11-25,35,74.0,,0.74,25.9
2016-11-26,40,74.0,,0.74,29.6
2016-11-27,38,74.0,,0.74,28.12
2016-11-28,31,74.0,,0.74,22.94
2016-11-29,34,74.0,,0.74,25.16
2016-11-30,33,74.0,,0.74,24.419999999999998
2016-12-01,74,78.0,False,0.78,57.72
2016-12-02,71,78.0,,0.78,55.38
2016-12-03,84,78.0,,0.78,65.52
2016-12-04,90,78.0,,0.78,70.2
2016-12-05,73,78.0,,0.78,56.940000000000005
2016-12-06,74,78.0,,0.78,57.72
2016-12-07,76,78.0,,0.78,59.28
2016-12-08,71,78.0,,0.78,55.38
2016-12-09,71,78.0,,0.78,55.38
2016-12-10,87,78.0,,0.78,67.86
2016-12-11,90,78.0,,0.78,70.2
2016-12-12,72,78.0,,0.78,56.160000000000004
2016-12-13,70,78.0,,0.78,54.6
2016-12-14,69,78.0,,0.78,53.82
2016-12-15,71,78.0,,0.78,55.38
2016-12-16,80,78.0,,0.78,62.400000000000006
2016-12-17,99,78.0,,0.78,77.22
2016-12-18,96,78.0,,0.78,74.88
2016-12-19,83,78.0,,0.78,64.74000000000001
2016-12-20,94,78.0,,0.78,73.32000000000001
2016-12-21,88,78.0,,0.78,68.64
2016-12-22,92,78.0,,0.78,71.76
2016-12-23,97,78.0,,0.78,75.66
2016-12-24,100,78.0,,0.78,78.0
2016-12-25,93,78.0,,0.78,72.54
2016-12-26,88,78.0,,0.78,68.64
2016-12-27,79,78.0,,0.78,61.620000000000005
2016-12-28,77,78.0,,0.78,60.06
2016-12-29,78,78.0,,0.78,60.84
2016-12-30,84,78.0,,0.78,65.52
2016-12-31,93,78.0,,0.78,72.54
2017-01-01,84,72.0,False,0.72,60.48
2017-01-02,92,72.0,,0.72,66.24
2017-01-03,78,72.0,,0.72,56.16
2017-01-04,78,72.0,,0.72,56.16
2017-01-05,73,72.0,,0.72,52.559999999999995
2017-01-06,81,72.0,,0.72,58.32
2017-01-07,89,72.0,,0.72,64.08
2017-01-08,92,72.0,,0.72,66.24
2017-01-09,69,72.0,,0.72,49.68
2017-01-10,65,72.0,,0.72,46.8
2017-01-11,76,72.0,,0.72,54.72
2017-01-12,78,72.0,,0.72,56.16
2017-01-13,84,72.0,,0.72,60.48
2017-01-14,95,72.0,,0.72,68.39999999999999
2017-01-15,96,72.0,,0.72,69.12
2017-01-16,86,72.0,,0.72,61.919999999999995
2017-01-17,76,72.0,,0.72,54.72
2017-01-18,73,72.0,,0.72,52.559999999999995
2017-01-19,80,72.0,,0.72,57.599999999999994
2017-01-20,78,72.0,,0.72,56.16
2017-01-21,92,72.0,,0.72,66.24
2017-01-22,91,72.0,,0.72,65.52
2017-01-23,83,72.0,,0.72,59.76
2017-01-24,76,72.0,,0.72,54.72
2017-01-25,75,72.0,,0.72,54.0
2017-01-26,77,72.0,,0.72,55.44
2017-01-27,82,72.0,,0.72,59.04
2017-01-28,100,72.0,,0.72,72.0
2017-01-29,96,72.0,,0.72,69.12
2017-01-30,74,72.0,,0.72,53.28
2017-01-31,80,72.0,,0.72,57.599999999999994
2017-02-01,22,84.0,False,0.84,18.48
2017-02-02,21,84.0,,0.84,17.64
2017-02-03,25,84.0,,0.84,21.0
2017-02-04,28,84.0,,0.84,23.52
2017-02-05,29,84.0,,0.84,24.36
2017-02-06,100,84.0,,0.84,84.0
2017-02-07,40,84.0,,0.84,33.6
2017-02-08,27,84.0,,0.84,22.68
2017-02-09,25,84.0,,0.84,21.0
2017-02-10,24,84.0,,0.84,20.16
2017-02-11,28,84.0,,0.84,23.52
2017-02-12,29,84.0,,0.84,24.36
2017-02-13,23,84.0,,0.84,19.32
2017-02-14,23,84.0,,0.84,19.32
2017-02-15,22,84.0,,0.84,18.48
2017-02-16,22,84.0,,0.84,18.48
2017-02-17,24,84.0,,0.84,20.16
2017-02-18,26,84.0,,0.84,21.84
2017-02-19,27,84.0,,0.84,22.68
2017-02-20,23,84.0,,0.84,19.32
2017-02-21,22,84.0,,0.84,18.48
2017-02-22,21,84.0,,0.84,17.64
2017-02-23,22,84.0,,0.84,18.48
2017-02-24,24,84.0,,0.84,20.16
2017-02-25,26,84.0,,0.84,21.84
2017-02-26,26,84.0,,0.84,21.84
2017-02-27,22,84.0,,0.84,18.48
2017-02-28,21,84.0,,0.84,17.64
2017-03-01,77,73.0,False,0.73,56.21
2017-03-02,78,73.0,,0.73,56.94
2017-03-03,79,73.0,,0.73,57.67
2017-03-04,91,73.0,,0.73,66.42999999999999
2017-03-05,91,73.0,,0.73,66.42999999999999
2017-03-06,79,73.0,,0.73,57.67
2017-03-07,79,73.0,,0.73,57.67
2017-03-08,85,73.0,,0.73,62.05
2017-03-09,83,73.0,,0.73,60.589999999999996
2017-03-10,82,73.0,,0.73,59.86
2017-03-11,97,73.0,,0.73,70.81
2017-03-12,97,73.0,,0.73,70.81
2017-03-13,81,73.0,,0.73,59.129999999999995
2017-03-14,82,73.0,,0.73,59.86
2017-03-15,84,73.0,,0.73,61.32
2017-03-16,84,73.0,,0.73,61.32
2017-03-17,79,73.0,,0.73,57.67
2017-03-18,90,73.0,,0.73,65.7
2017-03-19,93,73.0,,0.73,67.89
2017-03-20,83,73.0,,0.73,60.589999999999996
2017-03-21,80,73.0,,0.73,58.4
2017-03-22,81,73.0,,0.73,59.129999999999995
2017-03-23,84,73.0,,0.73,61.32
2017-03-24,82,73.0,,0.73,59.86
2017-03-25,98,73.0,,0.73,71.53999999999999
2017-03-26,100,73.0,,0.73,73.0
2017-03-27,80,73.0,,0.73,58.4
2017-03-28,82,73.0,,0.73,59.86
2017-03-29,80,73.0,,0.73,58.4
2017-03-30,82,73.0,,0.73,59.86
2017-03-31,78,73.0,,0.73,56.94
2017-04-01,82,75.0,False,0.75,61.5
2017-04-02,87,75.0,,0.75,65.25
2017-04-03,67,75.0,,0.75,50.25
2017-04-04,70,75.0,,0.75,52.5
2017-04-05,69,75.0,,0.75,51.75
2017-04-06,70,75.0,,0.75,52.5
2017-04-07,77,75.0,,0.75,57.75
2017-04-08,87,75.0,,0.75,65.25
2017-04-09,86,75.0,,0.75,64.5
2017-04-10,74,75.0,,0.75,55.5
2017-04-11,73,75.0,,0.75,54.75
2017-04-12,68,75.0,,0.75,51.0
2017-04-13,74,75.0,,0.75,55.5
2017-04-14,90,75.0,,0.75,67.5
2017-04-15,93,75.0,,0.75,69.75
2017-04-16,100,75.0,,0.75,75.0
2017-04-17,70,75.0,,0.75,52.5
2017-04-18,69,75.0,,0.75,51.75
2017-04-19,73,75.0,,0.75,54.75
2017-04-20,77,75.0,,0.75,57.75
2017-04-21,76,75.0,,0.75,57.0
2017-04-22,82,75.0,,0.75,61.5
2017-04-23,81,75.0,,0.75,60.75
2017-04-24,69,75.0,,0.75,51.75
2017-04-25,68,75.0,,0.75,51.0
2017-04-26,69,75.0,,0.75,51.75
2017-04-27,68,75.0,,0.75,51.0
2017-04-28,67,75.0,,0.75,50.25
2017-04-29,77,75.0,,0.75,57.75
2017-04-30,78,75.0,,0.75,58.5
2017-05-01,79,73.0,False,0.73,57.67
2017-05-02,72,73.0,,0.73,52.56
2017-05-03,69,73.0,,0.73,50.37
2017-05-04,79,73.0,,0.73,57.67
2017-05-05,75,73.0,,0.73,54.75
2017-05-06,86,73.0,,0.73,62.78
2017-05-07,99,73.0,,0.73,72.27
2017-05-08,78,73.0,,0.73,56.94
2017-05-09,73,73.0,,0.73,53.29
2017-05-10,72,73.0,,0.73,52.56
2017-05-11,74,73.0,,0.73,54.019999999999996
2017-05-12,84,73.0,,0.73,61.32
2017-05-13,90,73.0,,0.73,65.7
2017-05-14,95,73.0,,0.73,69.35
2017-05-15,77,73.0,,0.73,56.21
2017-05-16,68,73.0,,0.73,49.64
2017-05-17,69,73.0,,0.73,50.37
2017-05-18,74,73.0,,0.73,54.019999999999996
2017-05-19,80,73.0,,0.73,58.4
2017-05-20,97,73.0,,0.73,70.81
2017-05-21,100,73.0,,0.73,73.0
2017-05-22,83,73.0,,0.73,60.589999999999996
2017-05-23,83,73.0,,0.73,60.589999999999996
2017-05-24,78,73.0,,0.73,56.94
2017-05-25,77,73.0,,0.73,56.21
2017-05-26,82,73.0,,0.73,59.86
2017-05-27,95,73.0,,0.73,69.35
2017-05-28,88,73.0,,0.73,64.24
2017-05-29,89,73.0,,0.73,64.97
2017-05-30,66,73.0,,0.73,48.18
2017-05-31,76,73.0,,0.73,55.48
2017-06-01,71,70.0,False,0.7,49.699999999999996
2017-06-02,78,70.0,,0.7,54.599999999999994
2017-06-03,91,70.0,,0.7,63.699999999999996
2017-06-04,95,70.0,,0.7,66.5
2017-06-05,79,70.0,,0.7,55.3
2017-06-06,69,70.0,,0.7,48.3
2017-06-07,79,70.0,,0.7,55.3
2017-06-08,81,70.0,,0.7,56.699999999999996
2017-06-09,87,70.0,,0.7,60.9
2017-06-10,86,70.0,,0.7,60.199999999999996
2017-06-11,89,70.0,,0.7,62.3
2017-06-12,71,70.0,,0.7,49.699999999999996
2017-06-13,80,70.0,,0.7,56.0
2017-06-14,79,70.0,,0.7,55.3
2017-06-15,70,70.0,,0.7,49.0
2017-06-16,75,70.0,,0.7,52.5
2017-06-17,87,70.0,,0.7,60.9
2017-06-18,83,70.0,,0.7,58.099999999999994
2017-06-19,80,70.0,,0.7,56.0
2017-06-20,70,70.0,,0.7,49.0
2017-06-21,77,70.0,,0.7,53.9
2017-06-22,71,70.0,,0.7,49.699999999999996
2017-06-23,78,70.0,,0.7,54.599999999999994
2017-06-24,84,70.0,,0.7,58.8
2017-06-25,100,70.0,,0.7,70.0
2017-06-26,75,70.0,,0.7,52.5
2017-06-27,77,70.0,,0.7,53.9
2017-06-28,75,70.0,,0.7,52.5
2017-06-29,73,70.0,,0.7,51.099999999999994
2017-06-30,86,70.0,,0.7,60.199999999999996
2017-07-01,83,73.0,False,0.73,60.589999999999996
2017-07-02,88,73.0,,0.73,64.24
2017-07-03,74,73.0,,0.73,54.019999999999996
2017-07-04,78,73.0,,0.73,56.94
2017-07-05,67,73.0,,0.73,48.91
2017-07-06,65,73.0,,0.73,47.449999999999996
2017-07-07,80,73.0,,0.73,58.4
2017-07-08,93,73.0,,0.73,67.89
2017-07-09,94,73.0,,0.73,68.62
2017-07-10,79,73.0,,0.73,57.67
2017-07-11,74,73.0,,0.73,54.019999999999996
2017-07-12,71,73.0,,0.73,51.83
2017-07-13,67,73.0,,0.73,48.91
2017-07-14,82,73.0,,0.73,59.86
2017-07-15,93,73.0,,0.73,67.89
2017-07-16,93,73.0,,0.73,67.89
2017-07-17,68,73.0,,0.73,49.64
2017-07-18,81,73.0,,0.73,59.129999999999995
2017-07-19,73,73.0,,0.73,53.29
2017-07-20,72,73.0,,0.73,52.56
2017-07-21,79,73.0,,0.73,57.67
2017-07-22,100,73.0,,0.73,73.0
2017-07-23,95,73.0,,0.73,69.35
2017-07-24,72,73.0,,0.73,52.56
2017-07-25,74,73.0,,0.73,54.019999999999996
2017-07-26,79,73.0,,0.73,57.67
2017-07-27,77,73.0,,0.73,56.21
2017-07-28,80,73.0,,0.73,58.4
2017-07-29,93,73.0,,0.73,67.89
2017-07-30,96,73.0,,0.73,70.08
2017-07-31,77,73.0,,0.73,56.21
2017-08-01,66,75.0,False,0.75,49.5
2017-08-02,75,75.0,,0.75,56.25
2017-08-03,79,75.0,,0.75,59.25
2017-08-04,89,75.0,,0.75,66.75
2017-08-05,93,75.0,,0.75,69.75
2017-08-06,94,75.0,,0.75,70.5
2017-08-07,72,75.0,,0.75,54.0
2017-08-08,73,75.0,,0.75,54.75
2017-08-09,74,75.0,,0.75,55.5
2017-08-10,72,75.0,,0.75,54.0
2017-08-11,80,75.0,,0.75,60.0
2017-08-12,88,75.0,,0.75,66.0
2017-08-13,80,75.0,,0.75,60.0
2017-08-14,75,75.0,,0.75,56.25
2017-08-15,69,75.0,,0.75,51.75
2017-08-16,68,75.0,,0.75,51.0
2017-08-17,79,75.0,,0.75,59.25
2017-08-18,77,75.0,,0.75,57.75
2017-08-19,94,75.0,,0.75,70.5
2017-08-20,100,75.0,,0.75,75.0
2017-08-21,77,75.0,,0.75,57.75
2017-08-22,99,75.0,,0.75,74.25
2017-08-23,89,75.0,,0.75,66.75
2017-08-24,78,75.0,,0.75,58.5
2017-08-25,81,75.0,,0.75,60.75
2017-08-26,96,75.0,,0.75,72.0
2017-08-27,92,75.0,,0.75,69.0
2017-08-28,73,75.0,,0.75,54.75
2017-08-29,71,75.0,,0.75,53.25
2017-08-30,73,75.0,,0.75,54.75
2017-08-31,66,75.0,,0.75,49.5
2017-09-01,83,68.0,False,0.68,56.440000000000005
2017-09-02,96,68.0,,0.68,65.28
2017-09-03,100,68.0,,0.68,68.0
2017-09-04,94,68.0,,0.68,63.92
2017-09-05,69,68.0,,0.68,46.92
2017-09-06,64,68.0,,0.68,43.52
2017-09-07,78,68.0,,0.68,53.040000000000006
2017-09-08,71,68.0,,0.68,48.28
2017-09-09,82,68.0,,0.68,55.760000000000005
2017-09-10,83,68.0,,0.68,56.440000000000005
2017-09-11,73,68.0,,0.68,49.64
2017-09-12,71,68.0,,0.68,48.28
2017-09-13,81,68.0,,0.68,55.080000000000005
2017-09-14,83,68.0,,0.68,56.440000000000005
2017-09-15,82,68.0,,0.68,55.760000000000005
2017-09-16,94,68.0,,0.68,63.92
2017-09-17,96,68.0,,0.68,65.28
2017-09-18,82,68.0,,0.68,55.760000000000005
2017-09-19,79,68.0,,0.68,53.720000000000006
2017-09-20,72,68.0,,0.68,48.96
2017-09-21,78,68.0,,0.68,53.040000000000006
2017-09-22,85,68.0,,0.68,57.800000000000004
2017-09-23,86,68.0,,0.68,58.480000000000004
2017-09-24,96,68.0,,0.68,65.28
2017-09-25,84,68.0,,0.68,57.120000000000005
2017-09-26,70,68.0,,0.68,47.6
2017-09-27,78,68.0,,0.68,53.040000000000006
2017-09-28,82,68.0,,0.68,55.760000000000005
2017-09-29,85,68.0,,0.68,57.800000000000004
2017-09-30,92,68.0,,0.68,62.56
2017-10-01,89,65.0,False,0.65,57.85
2017-10-02,76,65.0,,0.65,49.4
2017-10-03,74,65.0,,0.65,48.1
2017-10-04,75,65.0,,0.65,48.75
2017-10-05,85,65.0,,0.65,55.25
2017-10-06,90,65.0,,0.65,58.5
2017-10-07,87,65.0,,0.65,56.550000000000004
2017-10-08,97,65.0,,0.65,63.050000000000004
2017-10-09,82,65.0,,0.65,53.300000000000004
2017-10-10,70,65.0,,0.65,45.5
2017-10-11,81,65.0,,0.65,52.65
2017-10-12,88,65.0,,0.65,57.2
2017-10-13,88,65.0,,0.65,57.2
2017-10-14,99,65.0,,0.65,64.35000000000001
2017-10-15,100,65.0,,0.65,65.0
2017-10-16,81,65.0,,0.65,52.65
2017-10-17,83,65.0,,0.65,53.95
2017-10-18,75,65.0,,0.65,48.75
2017-10-19,83,65.0,,0.65,53.95
2017-10-20,84,65.0,,0.65,54.6
2017-10-21,100,65.0,,0.65,65.0
2017-10-22,94,65.0,,0.65,61.1
2017-10-23,76,65.0,,0.65,49.4
2017-10-24,80,65.0,,0.65,52.0
2017-10-25,75,65.0,,0.65,48.75
2017-10-26,75,65.0,,0.65,48.75
2017-10-27,76,65.0,,0.65,49.4
2017-10-28,92,65.0,,0.65,59.800000000000004
2017-10-29,87,65.0,,0.65,56.550000000000004
2017-10-30,73,65.0,,0.65,47.45
2017-10-31,71,65.0,,0.65,46.15
2017-11-01,59,67.0,False,0.67,39.53
2017-11-02,64,67.0,,0.67,42.88
2017-11-03,73,67.0,,0.67,48.910000000000004
2017-11-04,80,67.0,,0.67,53.6
2017-11-05,84,67.0,,0.67,56.28
2017-11-06,69,67.0,,0.67,46.230000000000004
2017-11-07,66,67.0,,0.67,44.220000000000006
2017-11-08,63,67.0,,0.67,42.21
2017-11-09,73,67.0,,0.67,48.910000000000004
2017-11-10,76,67.0,,0.67,50.92
2017-11-11,75,67.0,,0.67,50.25
2017-11-12,91,67.0,,0.67,60.970000000000006
2017-11-13,71,67.0,,0.67,47.57
2017-11-14,73,67.0,,0.67,48.910000000000004
2017-11-15,71,67.0,,0.67,47.57
2017-11-16,77,67.0,,0.67,51.59
2017-11-17,83,67.0,,0.67,55.61000000000001
2017-11-18,95,67.0,,0.67,63.650000000000006
2017-11-19,86,67.0,,0.67,57.620000000000005
2017-11-20,81,67.0,,0.67,54.27
2017-11-21,77,67.0,,0.67,51.59
2017-11-22,79,67.0,,0.67,52.93
2017-11-23,100,67.0,,0.67,67.0
2017-11-24,82,67.0,,0.67,54.940000000000005
2017-11-25,88,67.0,,0.67,58.96
2017-11-26,81,67.0,,0.67,54.27
2017-11-27,71,67.0,,0.67,47.57
2017-11-28,72,67.0,,0.67,48.24
2017-11-29,73,67.0,,0.67,48.910000000000004
2017-11-30,73,67.0,,0.67,48.910000000000004
2017-12-01,67,74.0,False,0.74,49.58
2017-12-02,83,74.0,,0.74,61.42
2017-12-03,76,74.0,,0.74,56.24
2017-12-04,66,74.0,,0.74,48.839999999999996
2017-12-05,70,74.0,,0.74,51.8
2017-12-06,70,74.0,,0.74,51.8
2017-12-07,71,74.0,,0.74,52.54
2017-12-08,77,74.0,,0.74,56.98
2017-12-09,87,74.0,,0.74,64.38
2017-12-10,80,74.0,,0.74,59.2
2017-12-11,66,74.0,,0.74,48.839999999999996
2017-12-12,70,74.0,,0.74,51.8
2017-12-13,71,74.0,,0.74,52.54
2017-12-14,68,74.0,,0.74,50.32
2017-12-15,74,74.0,,0.74,54.76
2017-12-16,84,74.0,,0.74,62.16
2017-12-17,82,74.0,,0.74,60.68
2017-12-18,76,74.0,,0.74,56.24
2017-12-19,71,74.0,,0.74,52.54
2017-12-20,78,74.0,,0.74,57.72
2017-12-21,81,74.0,,0.74,59.94
2017-12-22,82,74.0,,0.74,60.68
2017-12-23,94,74.0,,0.74,69.56
2017-12-24,87,74.0,,0.74,64.38
2017-12-25,100,74.0,,0.74,74.0
