date,DTE_unscaled,DTE_monthly,isPartial,scale,DTE
2016-08-21,51,43.0,,0.43,21.93
2016-08-22,58,43.0,,0.43,24.94
2016-08-23,53,43.0,,0.43,22.79
2016-08-24,47,43.0,,0.43,20.21
2016-08-25,42,43.0,,0.43,18.06
2016-08-26,46,43.0,,0.43,19.78
2016-08-27,29,43.0,,0.43,12.47
2016-08-28,24,43.0,,0.43,10.32
2016-08-29,41,43.0,,0.43,17.63
2016-08-30,55,43.0,,0.43,23.65
2016-08-31,52,43.0,,0.43,22.36
2016-09-01,95,25.0,False,0.25,23.75
2016-09-02,93,25.0,,0.25,23.25
2016-09-03,68,25.0,,0.25,17.0
2016-09-04,40,25.0,,0.25,10.0
2016-09-05,48,25.0,,0.25,12.0
2016-09-06,77,25.0,,0.25,19.25
2016-09-07,93,25.0,,0.25,23.25
2016-09-08,78,25.0,,0.25,19.5
2016-09-09,81,25.0,,0.25,20.25
2016-09-10,78,25.0,,0.25,19.5
2016-09-11,39,25.0,,0.25,9.75
2016-09-12,73,25.0,,0.25,18.25
2016-09-13,65,25.0,,0.25,16.25
2016-09-14,81,25.0,,0.25,20.25
2016-09-15,92,25.0,,0.25,23.0
2016-09-16,92,25.0,,0.25,23.0
2016-09-17,58,25.0,,0.25,14.5
2016-09-18,51,25.0,,0.25,12.75
2016-09-19,72,25.0,,0.25,18.0
2016-09-20,70,25.0,,0.25,17.5
2016-09-21,73,25.0,,0.25,18.25
2016-09-22,80,25.0,,0.25,20.0
2016-09-23,100,25.0,,0.25,25.0
2016-09-24,81,25.0,,0.25,20.25
2016-09-25,57,25.0,,0.25,14.25
2016-09-26,77,25.0,,0.25,19.25
2016-09-27,78,25.0,,0.25,19.5
2016-09-28,72,25.0,,0.25,18.0
2016-09-29,85,25.0,,0.25,21.25
2016-09-30,96,25.0,,0.25,24.0
2016-10-01,70,22.0,False,0.22,15.4
2016-10-02,73,22.0,,0.22,16.06
2016-10-03,73,22.0,,0.22,16.06
2016-10-04,68,22.0,,0.22,14.96
2016-10-05,62,22.0,,0.22,13.64
2016-10-06,65,22.0,,0.22,14.3
2016-10-07,73,22.0,,0.22,16.06
2016-10-08,44,22.0,,0.22,9.68
2016-10-09,46,22.0,,0.22,10.12
2016-10-10,60,22.0,,0.22,13.2
2016-10-11,66,22.0,,0.22,14.52
2016-10-12,67,22.0,,0.22,14.74
2016-10-13,73,22.0,,0.22,16.06
2016-10-14,94,22.0,,0.22,20.68
2016-10-15,58,22.0,,0.22,12.76
2016-10-16,48,22.0,,0.22,10.56
2016-10-17,76,22.0,,0.22,16.72
2016-10-18,100,22.0,,0.22,22.0
2016-10-19,56,22.0,,0.22,12.32
2016-10-20,80,22.0,,0.22,17.6
2016-10-21,82,22.0,,0.22,18.04
2016-10-22,64,22.0,,0.22,14.08
2016-10-23,49,22.0,,0.22,10.78
2016-10-24,72,22.0,,0.22,15.84
2016-10-25,66,22.0,,0.22,14.52
2016-10-26,73,22.0,,0.22,16.06
2016-10-27,62,22.0,,0.22,13.64
2016-10-28,94,22.0,,0.22,20.68
2016-10-29,48,22.0,,0.22,10.56
2016-10-30,36,22.0,,0.22,7.92
2016-10-31,67,22.0,,0.22,14.74
2016-11-01,64,21.0,False,0.21,13.44
2016-11-02,50,21.0,,0.21,10.5
2016-11-03,56,21.0,,0.21,11.76
2016-11-04,67,21.0,,0.21,14.07
2016-11-05,41,21.0,,0.21,8.61
2016-11-06,25,21.0,,0.21,5.25
2016-11-07,53,21.0,,0.21,11.129999999999999
2016-11-08,46,21.0,,0.21,9.66
2016-11-09,46,21.0,,0.21,9.66
2016-11-10,65,21.0,,0.21,13.65
2016-11-11,62,21.0,,0.21,13.02
2016-11-12,38,21.0,,0.21,7.9799999999999995
2016-11-13,24,21.0,,0.21,5.04
2016-11-14,57,21.0,,0.21,11.969999999999999
2016-11-15,52,21.0,,0.21,10.92
2016-11-16,53,21.0,,0.21,11.129999999999999
2016-11-17,57,21.0,,0.21,11.969999999999999
2016-11-18,69,21.0,,0.21,14.49
2016-11-19,100,21.0,,0.21,21.0
2016-11-20,74,21.0,,0.21,15.54
2016-11-21,68,21.0,,0.21,14.28
2016-11-22,56,21.0,,0.21,11.76
2016-11-23,62,21.0,,0.21,13.02
2016-11-24,44,21.0,,0.21,9.24
2016-11-25,37,21.0,,0.21,7.77
2016-11-26,40,21.0,,0.21,8.4
2016-11-27,42,21.0,,0.21,8.82
2016-11-28,65,21.0,,0.21,13.65
2016-11-29,98,21.0,,0.21,20.58
2016-11-30,58,21.0,,0.21,12.18
2016-12-01,62,21.0,False,0.21,13.02
2016-12-02,66,21.0,,0.21,13.86
2016-12-03,54,21.0,,0.21,11.34
2016-12-04,34,21.0,,0.21,7.14
2016-12-05,58,21.0,,0.21,12.18
2016-12-06,58,21.0,,0.21,12.18
2016-12-07,65,21.0,,0.21,13.65
2016-12-08,55,21.0,,0.21,11.549999999999999
2016-12-09,71,21.0,,0.21,14.91
2016-12-10,40,21.0,,0.21,8.4
2016-12-11,32,21.0,,0.21,6.72
2016-12-12,59,21.0,,0.21,12.389999999999999
2016-12-13,60,21.0,,0.21,12.6
2016-12-14,65,21.0,,0.21,13.65
2016-12-15,67,21.0,,0.21,14.07
2016-12-16,68,21.0,,0.21,14.28
2016-12-17,53,21.0,,0.21,11.129999999999999
2016-12-18,39,21.0,,0.21,8.19
2016-12-19,73,21.0,,0.21,15.33
2016-12-20,60,21.0,,0.21,12.6
2016-12-21,47,21.0,,0.21,9.87
2016-12-22,49,21.0,,0.21,10.29
2016-12-23,57,21.0,,0.21,11.969999999999999
2016-12-24,31,21.0,,0.21,6.51
2016-12-25,28,21.0,,0.21,5.88
2016-12-26,42,21.0,,0.21,8.82
2016-12-27,100,21.0,,0.21,21.0
2016-12-28,55,21.0,,0.21,11.549999999999999
2016-12-29,59,21.0,,0.21,12.389999999999999
2016-12-30,57,21.0,,0.21,11.969999999999999
2016-12-31,37,21.0,,0.21,7.77
2017-01-01,18,24.0,False,0.24,4.32
2017-01-02,34,24.0,,0.24,8.16
2017-01-03,42,24.0,,0.24,10.08
2017-01-04,41,24.0,,0.24,9.84
2017-01-05,39,24.0,,0.24,9.36
2017-01-06,42,24.0,,0.24,10.08
2017-01-07,25,24.0,,0.24,6.0
2017-01-08,19,24.0,,0.24,4.56
2017-01-09,39,24.0,,0.24,9.36
2017-01-10,40,24.0,,0.24,9.6
2017-01-11,100,24.0,,0.24,24.0
2017-01-12,47,24.0,,0.24,11.28
2017-01-13,42,24.0,,0.24,10.08
2017-01-14,27,24.0,,0.24,6.4799999999999995
2017-01-15,24,24.0,,0.24,5.76
2017-01-16,27,24.0,,0.24,6.4799999999999995
2017-01-17,49,24.0,,0.24,11.76
2017-01-18,39,24.0,,0.24,9.36
2017-01-19,33,24.0,,0.24,7.92
2017-01-20,41,24.0,,0.24,9.84
2017-01-21,28,24.0,,0.24,6.72
2017-01-22,23,24.0,,0.24,5.52
2017-01-23,37,24.0,,0.24,8.879999999999999
2017-01-24,40,24.0,,0.24,9.6
2017-01-25,38,24.0,,0.24,9.12
2017-01-26,36,24.0,,0.24,8.64
2017-01-27,40,24.0,,0.24,9.6
2017-01-28,31,24.0,,0.24,7.4399999999999995
2017-01-29,30,24.0,,0.24,7.199999999999999
2017-01-30,33,24.0,,0.24,7.92
2017-01-31,38,24.0,,0.24,9.12
2017-02-01,75,24.0,False,0.24,18.0
2017-02-02,69,24.0,,0.24,16.56
2017-02-03,80,24.0,,0.24,19.2
2017-02-04,50,24.0,,0.24,12.0
2017-02-05,39,24.0,,0.24,9.36
2017-02-06,61,24.0,,0.24,14.639999999999999
2017-02-07,85,24.0,,0.24,20.4
2017-02-08,83,24.0,,0.24,19.919999999999998
2017-02-09,70,24.0,,0.24,16.8
2017-02-10,72,24.0,,0.24,17.28
2017-02-11,52,24.0,,0.24,12.48
2017-02-12,51,24.0,,0.24,12.24
2017-02-13,100,24.0,,0.24,24.0
2017-02-14,79,24.0,,0.24,18.96
2017-02-15,84,24.0,,0.24,20.16
2017-02-16,74,24.0,,0.24,17.759999999999998
2017-02-17,88,24.0,,0.24,21.119999999999997
2017-02-18,51,24.0,,0.24,12.24
2017-02-19,48,24.0,,0.24,11.52
2017-02-20,68,24.0,,0.24,16.32
2017-02-21,73,24.0,,0.24,17.52
2017-02-22,81,24.0,,0.24,19.439999999999998
2017-02-23,86,24.0,,0.24,20.64
2017-02-24,92,24.0,,0.24,22.08
2017-02-25,69,24.0,,0.24,16.56
2017-02-26,52,24.0,,0.24,12.48
2017-02-27,76,24.0,,0.24,18.24
2017-02-28,82,24.0,,0.24,19.68
2017-03-01,8,88.0,False,0.88,7.04
2017-03-02,6,88.0,,0.88,5.28
2017-03-03,6,88.0,,0.88,5.28
2017-03-04,4,88.0,,0.88,3.52
2017-03-05,3,88.0,,0.88,2.64
2017-03-06,5,88.0,,0.88,4.4
2017-03-07,5,88.0,,0.88,4.4
2017-03-08,75,88.0,,0.88,66.0
2017-03-09,100,88.0,,0.88,88.0
2017-03-10,46,88.0,,0.88,40.48
2017-03-11,34,88.0,,0.88,29.92
2017-03-12,21,88.0,,0.88,18.48
2017-03-13,15,88.0,,0.88,13.2
2017-03-14,12,88.0,,0.88,10.56
2017-03-15,8,88.0,,0.88,7.04
2017-03-16,6,88.0,,0.88,5.28
2017-03-17,6,88.0,,0.88,5.28
2017-03-18,6,88.0,,0.88,5.28
2017-03-19,4,88.0,,0.88,3.52
2017-03-20,5,88.0,,0.88,4.4
2017-03-21,4,88.0,,0.88,3.52
2017-03-22,4,88.0,,0.88,3.52
2017-03-23,5,88.0,,0.88,4.4
2017-03-24,5,88.0,,0.88,4.4
2017-03-25,4,88.0,,0.88,3.52
2017-03-26,3,88.0,,0.88,2.64
2017-03-27,5,88.0,,0.88,4.4
2017-03-28,4,88.0,,0.88,3.52
2017-03-29,4,88.0,,0.88,3.52
2017-03-30,6,88.0,,0.88,5.28
2017-03-31,6,88.0,,0.88,5.28
2017-04-01,38,26.0,False,0.26,9.88
2017-04-02,32,26.0,,0.26,8.32
2017-04-03,63,26.0,,0.26,16.38
2017-04-04,48,26.0,,0.26,12.48
2017-04-05,44,26.0,,0.26,11.440000000000001
2017-04-06,64,26.0,,0.26,16.64
2017-04-07,100,26.0,,0.26,26.0
2017-04-08,39,26.0,,0.26,10.14
2017-04-09,36,26.0,,0.26,9.36
2017-04-10,49,26.0,,0.26,12.74
2017-04-11,40,26.0,,0.26,10.4
2017-04-12,38,26.0,,0.26,9.88
2017-04-13,39,26.0,,0.26,10.14
2017-04-14,38,26.0,,0.26,9.88
2017-04-15,31,26.0,,0.26,8.06
2017-04-16,28,26.0,,0.26,7.28
2017-04-17,37,26.0,,0.26,9.620000000000001
2017-04-18,40,26.0,,0.26,10.4
2017-04-19,42,26.0,,0.26,10.92
2017-04-20,47,26.0,,0.26,12.22
2017-04-21,42,26.0,,0.26,10.92
2017-04-22,31,26.0,,0.26,8.06
2017-04-23,24,26.0,,0.26,6.24
2017-04-24,39,26.0,,0.26,10.14
2017-04-25,39,26.0,,0.26,10.14
2017-04-26,39,26.0,,0.26,10.14
2017-04-27,57,26.0,,0.26,14.82
2017-04-28,49,26.0,,0.26,12.74
2017-04-29,32,26.0,,0.26,8.32
2017-04-30,35,26.0,,0.26,9.1
2017-05-01,69,30.0,False,0.3,20.7
2017-05-02,68,30.0,,0.3,20.4
2017-05-03,62,30.0,,0.3,18.599999999999998
2017-05-04,53,30.0,,0.3,15.899999999999999
2017-05-05,55,30.0,,0.3,16.5
2017-05-06,47,30.0,,0.3,14.1
2017-05-07,42,30.0,,0.3,12.6
2017-05-08,54,30.0,,0.3,16.2
2017-05-09,46,30.0,,0.3,13.799999999999999
2017-05-10,56,30.0,,0.3,16.8
2017-05-11,60,30.0,,0.3,18.0
2017-05-12,71,30.0,,0.3,21.3
2017-05-13,48,30.0,,0.3,14.399999999999999
2017-05-14,43,30.0,,0.3,12.9
2017-05-15,59,30.0,,0.3,17.7
2017-05-16,62,30.0,,0.3,18.599999999999998
2017-05-17,66,30.0,,0.3,19.8
2017-05-18,100,30.0,,0.3,30.0
2017-05-19,85,30.0,,0.3,25.5
2017-05-20,48,30.0,,0.3,14.399999999999999
2017-05-21,52,30.0,,0.3,15.6
2017-05-22,64,30.0,,0.3,19.2
2017-05-23,64,30.0,,0.3,19.2
2017-05-24,58,30.0,,0.3,17.4
2017-05-25,59,30.0,,0.3,17.7
2017-05-26,76,30.0,,0.3,22.8
2017-05-27,51,30.0,,0.3,15.299999999999999
2017-05-28,72,30.0,,0.3,21.599999999999998
2017-05-29,58,30.0,,0.3,17.4
2017-05-30,73,30.0,,0.3,21.9
2017-05-31,84,30.0,,0.3,25.2
2017-06-01,53,44.0,False,0.44,23.32
2017-06-02,53,44.0,,0.44,23.32
2017-06-03,32,44.0,,0.44,14.08
2017-06-04,31,44.0,,0.44,13.64
2017-06-05,53,44.0,,0.44,23.32
2017-06-06,50,44.0,,0.44,22.0
2017-06-07,70,44.0,,0.44,30.8
2017-06-08,58,44.0,,0.44,25.52
2017-06-09,53,44.0,,0.44,23.32
2017-06-10,44,44.0,,0.44,19.36
2017-06-11,41,44.0,,0.44,18.04
2017-06-12,58,44.0,,0.44,25.52
2017-06-13,61,44.0,,0.44,26.84
2017-06-14,52,44.0,,0.44,22.88
2017-06-15,60,44.0,,0.44,26.4
2017-06-16,62,44.0,,0.44,27.28
2017-06-17,42,44.0,,0.44,18.48
2017-06-18,32,44.0,,0.44,14.08
2017-06-19,47,44.0,,0.44,20.68
2017-06-20,33,44.0,,0.44,14.52
2017-06-21,42,44.0,,0.44,18.48
2017-06-22,46,44.0,,0.44,20.24
2017-06-23,100,44.0,,0.44,44.0
2017-06-24,49,44.0,,0.44,21.56
2017-06-25,45,44.0,,0.44,19.8
2017-06-26,45,44.0,,0.44,19.8
2017-06-27,34,44.0,,0.44,14.96
2017-06-28,51,44.0,,0.44,22.44
2017-06-29,50,44.0,,0.44,22.0
2017-06-30,74,44.0,,0.44,32.56
2017-07-01,64,39.0,False,0.39,24.96
2017-07-02,40,39.0,,0.39,15.600000000000001
2017-07-03,45,39.0,,0.39,17.55
2017-07-04,34,39.0,,0.39,13.26
2017-07-05,52,39.0,,0.39,20.28
2017-07-06,55,39.0,,0.39,21.45
2017-07-07,100,39.0,,0.39,39.0
2017-07-08,64,39.0,,0.39,24.96
2017-07-09,36,39.0,,0.39,14.040000000000001
2017-07-10,68,39.0,,0.39,26.52
2017-07-11,63,39.0,,0.39,24.57
2017-07-12,76,39.0,,0.39,29.64
2017-07-13,64,39.0,,0.39,24.96
2017-07-14,58,39.0,,0.39,22.62
2017-07-15,45,39.0,,0.39,17.55
2017-07-16,44,39.0,,0.39,17.16
2017-07-17,66,39.0,,0.39,25.740000000000002
2017-07-18,68,39.0,,0.39,26.52
2017-07-19,64,39.0,,0.39,24.96
2017-07-20,64,39.0,,0.39,24.96
2017-07-21,65,39.0,,0.39,25.35
2017-07-22,45,39.0,,0.39,17.55
2017-07-23,58,39.0,,0.39,22.62
2017-07-24,66,39.0,,0.39,25.740000000000002
2017-07-25,57,39.0,,0.39,22.23
2017-07-26,44,39.0,,0.39,17.16
2017-07-27,53,39.0,,0.39,20.67
2017-07-28,53,39.0,,0.39,20.67
2017-07-29,38,39.0,,0.39,14.82
2017-07-30,45,39.0,,0.39,17.55
2017-07-31,64,39.0,,0.39,24.96
2017-08-01,81,36.0,False,0.36,29.16
2017-08-02,85,36.0,,0.36,30.599999999999998
2017-08-03,97,36.0,,0.36,34.92
2017-08-04,92,36.0,,0.36,33.12
2017-08-05,57,36.0,,0.36,20.52
2017-08-06,47,36.0,,0.36,16.919999999999998
2017-08-07,75,36.0,,0.36,27.0
2017-08-08,67,36.0,,0.36,24.119999999999997
2017-08-09,64,36.0,,0.36,23.04
2017-08-10,68,36.0,,0.36,24.48
2017-08-11,76,36.0,,0.36,27.36
2017-08-12,45,36.0,,0.36,16.2
2017-08-13,44,36.0,,0.36,15.84
2017-08-14,59,36.0,,0.36,21.24
2017-08-15,73,36.0,,0.36,26.279999999999998
2017-08-16,65,36.0,,0.36,23.4
2017-08-17,100,36.0,,0.36,36.0
2017-08-18,67,36.0,,0.36,24.119999999999997
2017-08-19,64,36.0,,0.36,23.04
2017-08-20,42,36.0,,0.36,15.12
2017-08-21,44,36.0,,0.36,15.84
2017-08-22,59,36.0,,0.36,21.24
2017-08-23,52,36.0,,0.36,18.72
2017-08-24,55,36.0,,0.36,19.8
2017-08-25,66,36.0,,0.36,23.759999999999998
2017-08-26,28,36.0,,0.36,10.08
2017-08-27,42,36.0,,0.36,15.12
2017-08-28,60,36.0,,0.36,21.599999999999998
2017-08-29,62,36.0,,0.36,22.32
2017-08-30,49,36.0,,0.36,17.64
2017-08-31,61,36.0,,0.36,21.96
2017-09-01,100,24.0,False,0.24,24.0
2017-09-02,52,24.0,,0.24,12.48
2017-09-03,58,24.0,,0.24,13.92
2017-09-04,49,24.0,,0.24,11.76
2017-09-05,93,24.0,,0.24,22.32
2017-09-06,69,24.0,,0.24,16.56
2017-09-07,69,24.0,,0.24,16.56
2017-09-08,88,24.0,,0.24,21.119999999999997
2017-09-09,68,24.0,,0.24,16.32
2017-09-10,33,24.0,,0.24,7.92
2017-09-11,62,24.0,,0.24,14.879999999999999
2017-09-12,62,24.0,,0.24,14.879999999999999
2017-09-13,63,24.0,,0.24,15.12
2017-09-14,61,24.0,,0.24,14.639999999999999
2017-09-15,72,24.0,,0.24,17.28
2017-09-16,50,24.0,,0.24,12.0
2017-09-17,44,24.0,,0.24,10.559999999999999
2017-09-18,69,24.0,,0.24,16.56
2017-09-19,56,24.0,,0.24,13.44
2017-09-20,77,24.0,,0.24,18.48
2017-09-21,71,24.0,,0.24,17.04
2017-09-22,73,24.0,,0.24,17.52
2017-09-23,64,24.0,,0.24,15.36
2017-09-24,50,24.0,,0.24,12.0
2017-09-25,51,24.0,,0.24,12.24
2017-09-26,65,24.0,,0.24,15.6
2017-09-27,65,24.0,,0.24,15.6
2017-09-28,57,24.0,,0.24,13.68
2017-09-29,84,24.0,,0.24,20.16
2017-09-30,52,24.0,,0.24,12.48
2017-10-01,49,24.0,False,0.24,11.76
2017-10-02,71,24.0,,0.24,17.04
2017-10-03,64,24.0,,0.24,15.36
2017-10-04,53,24.0,,0.24,12.719999999999999
2017-10-05,64,24.0,,0.24,15.36
2017-10-06,72,24.0,,0.24,17.28
2017-10-07,48,24.0,,0.24,11.52
2017-10-08,82,24.0,,0.24,19.68
2017-10-09,73,24.0,,0.24,17.52
2017-10-10,53,24.0,,0.24,12.719999999999999
2017-10-11,100,24.0,,0.24,24.0
2017-10-12,82,24.0,,0.24,19.68
2017-10-13,70,24.0,,0.24,16.8
2017-10-14,44,24.0,,0.24,10.559999999999999
2017-10-15,80,24.0,,0.24,19.2
2017-10-16,98,24.0,,0.24,23.52
2017-10-17,62,24.0,,0.24,14.879999999999999
2017-10-18,65,24.0,,0.24,15.6
2017-10-19,51,24.0,,0.24,12.24
2017-10-20,71,24.0,,0.24,17.04
2017-10-21,35,24.0,,0.24,8.4
2017-10-22,33,24.0,,0.24,7.92
2017-10-23,62,24.0,,0.24,14.879999999999999
2017-10-24,89,24.0,,0.24,21.36
2017-10-25,65,24.0,,0.24,15.6
2017-10-26,58,24.0,,0.24,13.92
2017-10-27,54,24.0,,0.24,12.959999999999999
2017-10-28,43,24.0,,0.24,10.32
2017-10-29,30,24.0,,0.24,7.199999999999999
2017-10-30,50,24.0,,0.24,12.0
2017-10-31,69,24.0,,0.24,16.56
2017-11-01,96,21.0,False,0.21,20.16
2017-11-02,92,21.0,,0.21,19.32
2017-11-03,88,21.0,,0.21,18.48
2017-11-04,62,21.0,,0.21,13.02
2017-11-05,47,21.0,,0.21,9.87
2017-11-06,68,21.0,,0.21,14.28
2017-11-07,76,21.0,,0.21,15.959999999999999
2017-11-08,76,21.0,,0.21,15.959999999999999
2017-11-09,72,21.0,,0.21,15.12
2017-11-10,100,21.0,,0.21,21.0
2017-11-11,56,21.0,,0.21,11.76
2017-11-12,42,21.0,,0.21,8.82
2017-11-13,72,21.0,,0.21,15.12
2017-11-14,75,21.0,,0.21,15.75
2017-11-15,87,21.0,,0.21,18.27
2017-11-16,84,21.0,,0.21,17.64
2017-11-17,88,21.0,,0.21,18.48
2017-11-18,56,21.0,,0.21,11.76
2017-11-19,54,21.0,,0.21,11.34
2017-11-20,73,21.0,,0.21,15.33
2017-11-21,63,21.0,,0.21,13.229999999999999
2017-11-22,56,21.0,,0.21,11.76
2017-11-23,29,21.0,,0.21,6.09
2017-11-24,44,21.0,,0.21,9.24
2017-11-25,45,21.0,,0.21,9.45
2017-11-26,41,21.0,,0.21,8.61
2017-11-27,65,21.0,,0.21,13.65
2017-11-28,72,21.0,,0.21,15.12
2017-11-29,81,21.0,,0.21,17.009999999999998
2017-11-30,79,21.0,,0.21,16.59
2017-12-01,81,20.0,False,0.2,16.2
2017-12-02,61,20.0,,0.2,12.200000000000001
2017-12-03,61,20.0,,0.2,12.200000000000001
2017-12-04,83,20.0,,0.2,16.6
2017-12-05,100,20.0,,0.2,20.0
2017-12-06,78,20.0,,0.2,15.600000000000001
2017-12-07,63,20.0,,0.2,12.600000000000001
2017-12-08,88,20.0,,0.2,17.6
2017-12-09,68,20.0,,0.2,13.600000000000001
2017-12-10,44,20.0,,0.2,8.8
2017-12-11,81,20.0,,0.2,16.2
2017-12-12,70,20.0,,0.2,14.0
2017-12-13,57,20.0,,0.2,11.4
2017-12-14,61,20.0,,0.2,12.200000000000001
2017-12-15,86,20.0,,0.2,17.2
2017-12-16,58,20.0,,0.2,11.600000000000001
2017-12-17,38,20.0,,0.2,7.6000000000000005
2017-12-18,97,20.0,,0.2,19.400000000000002
2017-12-19,69,20.0,,0.2,13.8
2017-12-20,73,20.0,,0.2,14.600000000000001
2017-12-21,62,20.0,,0.2,12.4
2017-12-22,79,20.0,,0.2,15.8
2017-12-23,42,20.0,,0.2,8.4
2017-12-24,33,20.0,,0.2,6.6000000000000005
2017-12-25,40,20.0,,0.2,8.0
2017-12-26,72,20.0,,0.2,14.4
2017-12-27,85,20.0,,0.2,17.0
2017-12-28,100,20.0,,0.2,20.0
2017-12-29,92,20.0,,0.2,18.400000000000002
2017-12-30,55,20.0,,0.2,11.0
2017-12-31,46,20.0,,0.2,9.200000000000001
2018-01-01,41,23.0,False,0.23,9.43
2018-01-02,73,23.0,,0.23,16.79
2018-01-03,75,23.0,,0.23,17.25
