date,HBAR_unscaled,HBAR_monthly,isPartial,scale,HBAR
2016-07-09,100,11.0,,0.11,11.0
2016-07-10,56,11.0,,0.11,6.16
2016-07-11,10,11.0,,0.11,1.1
2016-07-12,19,11.0,,0.11,2.09
2016-07-13,29,11.0,,0.11,3.19
2016-07-14,9,11.0,,0.11,0.99
2016-07-15,29,11.0,,0.11,3.19
2016-07-16,56,11.0,,0.11,6.16
2016-07-17,23,11.0,,0.11,2.53
2016-07-18,19,11.0,,0.11,2.09
2016-07-19,28,11.0,,0.11,3.08
2016-07-20,58,11.0,,0.11,6.38
2016-07-21,49,11.0,,0.11,5.39
2016-07-22,20,11.0,,0.11,2.2
2016-07-23,33,11.0,,0.11,3.63
2016-07-24,56,11.0,,0.11,6.16
2016-07-25,9,11.0,,0.11,0.99
2016-07-26,28,11.0,,0.11,3.08
2016-07-27,19,11.0,,0.11,2.09
2016-07-28,56,11.0,,0.11,6.16
2016-07-29,19,11.0,,0.11,2.09
2016-07-30,22,11.0,,0.11,2.42
2016-07-31,22,11.0,,0.11,2.42
2016-08-01,31,10.0,False,0.1,3.1
2016-08-02,79,10.0,,0.1,7.9
2016-08-03,16,10.0,,0.1,1.6
2016-08-04,33,10.0,,0.1,3.3000000000000003
2016-08-05,87,10.0,,0.1,8.700000000000001
2016-08-06,100,10.0,,0.1,10.0
2016-08-07,20,10.0,,0.1,2.0
2016-08-08,49,10.0,,0.1,4.9
2016-08-09,16,10.0,,0.1,1.6
2016-08-10,17,10.0,,0.1,1.7000000000000002
2016-08-11,52,10.0,,0.1,5.2
2016-08-12,34,10.0,,0.1,3.4000000000000004
2016-08-13,38,10.0,,0.1,3.8000000000000003
2016-08-14,79,10.0,,0.1,7.9
2016-08-15,84,10.0,,0.1,8.4
2016-08-16,34,10.0,,0.1,3.4000000000000004
2016-08-17,0,10.0,,0.1,0.0
2016-08-18,69,10.0,,0.1,6.9
2016-08-19,88,10.0,,0.1,8.8
2016-08-20,81,10.0,,0.1,8.1
2016-08-21,40,10.0,,0.1,4.0
2016-08-22,34,10.0,,0.1,3.4000000000000004
2016-08-23,33,10.0,,0.1,3.3000000000000003
2016-08-24,83,10.0,,0.1,8.3
2016-08-25,31,10.0,,0.1,3.1
2016-08-26,64,10.0,,0.1,6.4
2016-08-27,19,10.0,,0.1,1.9000000000000001
2016-08-28,55,10.0,,0.1,5.5
2016-08-29,15,10.0,,0.1,1.5
2016-08-30,31,10.0,,0.1,3.1
2016-08-31,46,10.0,,0.1,4.6000000000000005
2016-09-01,41,12.0,False,0.12,4.92
2016-09-02,11,12.0,,0.12,1.3199999999999998
2016-09-03,25,12.0,,0.12,3.0
2016-09-04,38,12.0,,0.12,4.56
2016-09-05,23,12.0,,0.12,2.76
2016-09-06,51,12.0,,0.12,6.12
2016-09-07,10,12.0,,0.12,1.2
2016-09-08,51,12.0,,0.12,6.12
2016-09-09,84,12.0,,0.12,10.08
2016-09-10,61,12.0,,0.12,7.319999999999999
2016-09-11,35,12.0,,0.12,4.2
2016-09-12,100,12.0,,0.12,12.0
2016-09-13,20,12.0,,0.12,2.4
2016-09-14,10,12.0,,0.12,1.2
2016-09-15,20,12.0,,0.12,2.4
2016-09-16,42,12.0,,0.12,5.04
2016-09-17,24,12.0,,0.12,2.88
2016-09-18,57,12.0,,0.12,6.84
2016-09-19,40,12.0,,0.12,4.8
2016-09-20,40,12.0,,0.12,4.8
2016-09-21,30,12.0,,0.12,3.5999999999999996
2016-09-22,41,12.0,,0.12,4.92
2016-09-23,63,12.0,,0.12,7.56
2016-09-24,25,12.0,,0.12,3.0
2016-09-25,36,12.0,,0.12,4.32
2016-09-26,10,12.0,,0.12,1.2
2016-09-27,30,12.0,,0.12,3.5999999999999996
2016-09-28,30,12.0,,0.12,3.5999999999999996
2016-09-29,31,12.0,,0.12,3.7199999999999998
2016-09-30,63,12.0,,0.12,7.56
2016-10-01,0,11.0,False,0.11,0.0
2016-10-02,27,11.0,,0.11,2.97
2016-10-03,45,11.0,,0.11,4.95
2016-10-04,56,11.0,,0.11,6.16
2016-10-05,34,11.0,,0.11,3.74
2016-10-06,34,11.0,,0.11,3.74
2016-10-07,12,11.0,,0.11,1.32
2016-10-08,27,11.0,,0.11,2.97
2016-10-09,40,11.0,,0.11,4.4
2016-10-10,34,11.0,,0.11,3.74
2016-10-11,57,11.0,,0.11,6.2700000000000005
2016-10-12,81,11.0,,0.11,8.91
2016-10-13,11,11.0,,0.11,1.21
2016-10-14,24,11.0,,0.11,2.64
2016-10-15,42,11.0,,0.11,4.62
2016-10-16,13,11.0,,0.11,1.43
2016-10-17,11,11.0,,0.11,1.21
2016-10-18,79,11.0,,0.11,8.69
2016-10-19,80,11.0,,0.11,8.8
2016-10-20,23,11.0,,0.11,2.53
2016-10-21,35,11.0,,0.11,3.85
2016-10-22,100,11.0,,0.11,11.0
2016-10-23,27,11.0,,0.11,2.97
2016-10-24,22,11.0,,0.11,2.42
2016-10-25,56,11.0,,0.11,6.16
2016-10-26,45,11.0,,0.11,4.95
2016-10-27,23,11.0,,0.11,2.53
2016-10-28,83,11.0,,0.11,9.13
2016-10-29,28,11.0,,0.11,3.08
2016-10-30,40,11.0,,0.11,4.4
2016-10-31,34,11.0,,0.11,3.74
2016-11-01,11,13.0,False,0.13,1.4300000000000002
2016-11-02,52,13.0,,0.13,6.76
2016-11-03,41,13.0,,0.13,5.33
2016-11-04,33,13.0,,0.13,4.29
2016-11-05,39,13.0,,0.13,5.07
2016-11-06,0,13.0,,0.13,0.0
2016-11-07,41,13.0,,0.13,5.33
2016-11-08,51,13.0,,0.13,6.63
2016-11-09,42,13.0,,0.13,5.46
2016-11-10,76,13.0,,0.13,9.88
2016-11-11,44,13.0,,0.13,5.720000000000001
2016-11-12,51,13.0,,0.13,6.63
2016-11-13,25,13.0,,0.13,3.25
2016-11-14,94,13.0,,0.13,12.22
2016-11-15,42,13.0,,0.13,5.46
2016-11-16,21,13.0,,0.13,2.73
2016-11-17,75,13.0,,0.13,9.75
2016-11-18,66,13.0,,0.13,8.58
2016-11-19,51,13.0,,0.13,6.63
2016-11-20,100,13.0,,0.13,13.0
2016-11-21,64,13.0,,0.13,8.32
2016-11-22,22,13.0,,0.13,2.8600000000000003
2016-11-23,23,13.0,,0.13,2.99
2016-11-24,13,13.0,,0.13,1.69
2016-11-25,70,13.0,,0.13,9.1
2016-11-26,72,13.0,,0.13,9.36
2016-11-27,49,13.0,,0.13,6.37
2016-11-28,29,13.0,,0.13,3.77
2016-11-29,59,13.0,,0.13,7.67
2016-11-30,30,13.0,,0.13,3.9000000000000004
2016-12-01,82,11.0,False,0.11,9.02
2016-12-02,42,11.0,,0.11,4.62
2016-12-03,33,11.0,,0.11,3.63
2016-12-04,78,11.0,,0.11,8.58
2016-12-05,86,11.0,,0.11,9.46
2016-12-06,64,11.0,,0.11,7.04
2016-12-07,41,11.0,,0.11,4.51
2016-12-08,55,11.0,,0.11,6.05
2016-12-09,29,11.0,,0.11,3.19
2016-12-10,17,11.0,,0.11,1.87
2016-12-11,16,11.0,,0.11,1.76
2016-12-12,66,11.0,,0.11,7.26
2016-12-13,67,11.0,,0.11,7.37
2016-12-14,82,11.0,,0.11,9.02
2016-12-15,42,11.0,,0.11,4.62
2016-12-16,44,11.0,,0.11,4.84
2016-12-17,34,11.0,,0.11,3.74
2016-12-18,100,11.0,,0.11,11.0
2016-12-19,14,11.0,,0.11,1.54
2016-12-20,29,11.0,,0.11,3.19
2016-12-21,61,11.0,,0.11,6.71
2016-12-22,31,11.0,,0.11,3.41
2016-12-23,47,11.0,,0.11,5.17
2016-12-24,18,11.0,,0.11,1.98
2016-12-25,38,11.0,,0.11,4.18
2016-12-26,16,11.0,,0.11,1.76
2016-12-27,15,11.0,,0.11,1.65
2016-12-28,76,11.0,,0.11,8.36
2016-12-29,29,11.0,,0.11,3.19
2016-12-30,46,11.0,,0.11,5.06
2016-12-31,80,11.0,,0.11,8.8
2017-01-01,49,10.0,False,0.1,4.9
2017-01-02,14,10.0,,0.1,1.4000000000000001
2017-01-03,79,10.0,,0.1,7.9
2017-01-04,53,10.0,,0.1,5.300000000000001
2017-01-05,69,10.0,,0.1,6.9
2017-01-06,40,10.0,,0.1,4.0
2017-01-07,31,10.0,,0.1,3.1
2017-01-08,46,10.0,,0.1,4.6000000000000005
2017-01-09,39,10.0,,0.1,3.9000000000000004
2017-01-10,52,10.0,,0.1,5.2
2017-01-11,39,10.0,,0.1,3.9000000000000004
2017-01-12,53,10.0,,0.1,5.300000000000001
2017-01-13,54,10.0,,0.1,5.4
2017-01-14,0,10.0,,0.1,0.0
2017-01-15,44,10.0,,0.1,4.4
2017-01-16,40,10.0,,0.1,4.0
2017-01-17,13,10.0,,0.1,1.3
2017-01-18,90,10.0,,0.1,9.0
2017-01-19,52,10.0,,0.1,5.2
2017-01-20,13,10.0,,0.1,1.3
2017-01-21,0,10.0,,0.1,0.0
2017-01-22,29,10.0,,0.1,2.9000000000000004
2017-01-23,37,10.0,,0.1,3.7
2017-01-24,26,10.0,,0.1,2.6
2017-01-25,38,10.0,,0.1,3.8000000000000003
2017-01-26,76,10.0,,0.1,7.6000000000000005
2017-01-27,40,10.0,,0.1,4.0
2017-01-28,46,10.0,,0.1,4.6000000000000005
2017-01-29,61,10.0,,0.1,6.1000000000000005
2017-01-30,100,10.0,,0.1,10.0
2017-01-31,25,10.0,,0.1,2.5
2017-02-01,30,15.0,False,0.15,4.5
2017-02-02,67,15.0,,0.15,10.049999999999999
2017-02-03,54,15.0,,0.15,8.1
2017-02-04,100,15.0,,0.15,15.0
2017-02-05,45,15.0,,0.15,6.75
2017-02-06,36,15.0,,0.15,5.3999999999999995
2017-02-07,22,15.0,,0.15,3.3
2017-02-08,38,15.0,,0.15,5.7
2017-02-09,53,15.0,,0.15,7.949999999999999
2017-02-10,31,15.0,,0.15,4.6499999999999995
2017-02-11,28,15.0,,0.15,4.2
2017-02-12,64,15.0,,0.15,9.6
2017-02-13,29,15.0,,0.15,4.35
2017-02-14,8,15.0,,0.15,1.2
2017-02-15,31,15.0,,0.15,4.6499999999999995
2017-02-16,30,15.0,,0.15,4.5
2017-02-17,8,15.0,,0.15,1.2
2017-02-18,18,15.0,,0.15,2.6999999999999997
2017-02-19,56,15.0,,0.15,8.4
2017-02-20,39,15.0,,0.15,5.85
2017-02-21,82,15.0,,0.15,12.299999999999999
2017-02-22,37,15.0,,0.15,5.55
2017-02-23,52,15.0,,0.15,7.8
2017-02-24,31,15.0,,0.15,4.6499999999999995
2017-02-25,36,15.0,,0.15,5.3999999999999995
2017-02-26,69,15.0,,0.15,10.35
2017-02-27,35,15.0,,0.15,5.25
2017-02-28,43,15.0,,0.15,6.45
2017-03-01,61,12.0,False,0.12,7.319999999999999
2017-03-02,42,12.0,,0.12,5.04
2017-03-03,66,12.0,,0.12,7.92
2017-03-04,52,12.0,,0.12,6.24
2017-03-05,13,12.0,,0.12,1.56
2017-03-06,31,12.0,,0.12,3.7199999999999998
2017-03-07,30,12.0,,0.12,3.5999999999999996
2017-03-08,32,12.0,,0.12,3.84
2017-03-09,65,12.0,,0.12,7.8
2017-03-10,88,12.0,,0.12,10.559999999999999
2017-03-11,13,12.0,,0.12,1.56
2017-03-12,24,12.0,,0.12,2.88
2017-03-13,41,12.0,,0.12,4.92
2017-03-14,32,12.0,,0.12,3.84
2017-03-15,11,12.0,,0.12,1.3199999999999998
2017-03-16,66,12.0,,0.12,7.92
2017-03-17,69,12.0,,0.12,8.28
2017-03-18,26,12.0,,0.12,3.12
2017-03-19,39,12.0,,0.12,4.68
2017-03-20,0,12.0,,0.12,0.0
2017-03-21,88,12.0,,0.12,10.559999999999999
2017-03-22,66,12.0,,0.12,7.92
2017-03-23,44,12.0,,0.12,5.279999999999999
2017-03-24,34,12.0,,0.12,4.08
2017-03-25,40,12.0,,0.12,4.8
2017-03-26,0,12.0,,0.12,0.0
2017-03-27,22,12.0,,0.12,2.6399999999999997
2017-03-28,33,12.0,,0.12,3.96
2017-03-29,44,12.0,,0.12,5.279999999999999
2017-03-30,56,12.0,,0.12,6.72
2017-03-31,100,12.0,,0.12,12.0
2017-04-01,55,13.0,False,0.13,7.15
2017-04-02,0,13.0,,0.13,0.0
2017-04-03,66,13.0,,0.13,8.58
2017-04-04,22,13.0,,0.13,2.8600000000000003
2017-04-05,45,13.0,,0.13,5.8500000000000005
2017-04-06,68,13.0,,0.13,8.84
2017-04-07,47,13.0,,0.13,6.11
2017-04-08,28,13.0,,0.13,3.64
2017-04-09,97,13.0,,0.13,12.610000000000001
2017-04-10,57,13.0,,0.13,7.41
2017-04-11,69,13.0,,0.13,8.97
2017-04-12,34,13.0,,0.13,4.42
2017-04-13,46,13.0,,0.13,5.98
2017-04-14,50,13.0,,0.13,6.5
2017-04-15,28,13.0,,0.13,3.64
2017-04-16,44,13.0,,0.13,5.720000000000001
2017-04-17,23,13.0,,0.13,2.99
2017-04-18,100,13.0,,0.13,13.0
2017-04-19,68,13.0,,0.13,8.84
2017-04-20,34,13.0,,0.13,4.42
2017-04-21,48,13.0,,0.13,6.24
2017-04-22,14,13.0,,0.13,1.82
2017-04-23,14,13.0,,0.13,1.82
2017-04-24,78,13.0,,0.13,10.14
2017-04-25,45,13.0,,0.13,5.8500000000000005
2017-04-26,99,13.0,,0.13,12.870000000000001
2017-04-27,45,13.0,,0.13,5.8500000000000005
2017-04-28,69,13.0,,0.13,8.97
2017-04-29,69,13.0,,0.13,8.97
2017-04-30,68,13.0,,0.13,8.84
2017-05-01,47,9.0,False,0.09,4.2299999999999995
2017-05-02,46,9.0,,0.09,4.14
2017-05-03,24,9.0,,0.09,2.16
2017-05-04,49,9.0,,0.09,4.41
2017-05-05,50,9.0,,0.09,4.5
2017-05-06,15,9.0,,0.09,1.3499999999999999
2017-05-07,45,9.0,,0.09,4.05
2017-05-08,61,9.0,,0.09,5.49
2017-05-09,0,9.0,,0.09,0.0
2017-05-10,60,9.0,,0.09,5.3999999999999995
2017-05-11,12,9.0,,0.09,1.08
2017-05-12,13,9.0,,0.09,1.17
2017-05-13,46,9.0,,0.09,4.14
2017-05-14,46,9.0,,0.09,4.14
2017-05-15,13,9.0,,0.09,1.17
2017-05-16,64,9.0,,0.09,5.76
2017-05-17,39,9.0,,0.09,3.51
2017-05-18,26,9.0,,0.09,2.34
2017-05-19,40,9.0,,0.09,3.5999999999999996
2017-05-20,16,9.0,,0.09,1.44
2017-05-21,32,9.0,,0.09,2.88
2017-05-22,0,9.0,,0.09,0.0
2017-05-23,100,9.0,,0.09,9.0
2017-05-24,39,9.0,,0.09,3.51
2017-05-25,39,9.0,,0.09,3.51
2017-05-26,42,9.0,,0.09,3.78
2017-05-27,0,9.0,,0.09,0.0
2017-05-28,33,9.0,,0.09,2.9699999999999998
2017-05-29,76,9.0,,0.09,6.84
2017-05-30,51,9.0,,0.09,4.59
2017-05-31,64,9.0,,0.09,5.76
2017-06-01,61,8.0,False,0.08,4.88
2017-06-02,85,8.0,,0.08,6.8
2017-06-03,24,8.0,,0.08,1.92
2017-06-04,95,8.0,,0.08,7.6000000000000005
2017-06-05,0,8.0,,0.08,0.0
2017-06-06,58,8.0,,0.08,4.64
2017-06-07,39,8.0,,0.08,3.12
2017-06-08,20,8.0,,0.08,1.6
2017-06-09,42,8.0,,0.08,3.36
2017-06-10,24,8.0,,0.08,1.92
2017-06-11,99,8.0,,0.08,7.92
2017-06-12,60,8.0,,0.08,4.8
2017-06-13,39,8.0,,0.08,3.12
2017-06-14,0,8.0,,0.08,0.0
2017-06-15,82,8.0,,0.08,6.5600000000000005
2017-06-16,62,8.0,,0.08,4.96
2017-06-17,49,8.0,,0.08,3.92
2017-06-18,49,8.0,,0.08,3.92
2017-06-19,100,8.0,,0.08,8.0
2017-06-20,57,8.0,,0.08,4.5600000000000005
2017-06-21,96,8.0,,0.08,7.68
2017-06-22,58,8.0,,0.08,4.64
2017-06-23,39,8.0,,0.08,3.12
2017-06-24,46,8.0,,0.08,3.68
2017-06-25,49,8.0,,0.08,3.92
2017-06-26,61,8.0,,0.08,4.88
2017-06-27,62,8.0,,0.08,4.96
2017-06-28,43,8.0,,0.08,3.44
2017-06-29,64,8.0,,0.08,5.12
2017-06-30,0,8.0,,0.08,0.0
2017-07-01,39,8.0,False,0.08,3.12
2017-07-02,20,8.0,,0.08,1.6
2017-07-03,36,8.0,,0.08,2.88
2017-07-04,20,8.0,,0.08,1.6
2017-07-05,71,8.0,,0.08,5.68
2017-07-06,49,8.0,,0.08,3.92
2017-07-07,51,8.0,,0.08,4.08
2017-07-08,0,8.0,,0.08,0.0
2017-07-09,19,8.0,,0.08,1.52
2017-07-10,16,8.0,,0.08,1.28
2017-07-11,83,8.0,,0.08,6.640000000000001
2017-07-12,17,8.0,,0.08,1.36
2017-07-13,100,8.0,,0.08,8.0
2017-07-14,68,8.0,,0.08,5.44
2017-07-15,0,8.0,,0.08,0.0
2017-07-16,39,8.0,,0.08,3.12
2017-07-17,33,8.0,,0.08,2.64
2017-07-18,33,8.0,,0.08,2.64
2017-07-19,67,8.0,,0.08,5.36
2017-07-20,16,8.0,,0.08,1.28
2017-07-21,68,8.0,,0.08,5.44
2017-07-22,76,8.0,,0.08,6.08
2017-07-23,19,8.0,,0.08,1.52
2017-07-24,99,8.0,,0.08,7.92
2017-07-25,16,8.0,,0.08,1.28
2017-07-26,33,8.0,,0.08,2.64
2017-07-27,16,8.0,,0.08,1.28
2017-07-28,33,8.0,,0.08,2.64
2017-07-29,38,8.0,,0.08,3.04
2017-07-30,58,8.0,,0.08,4.64
2017-07-31,33,8.0,,0.08,2.64
2017-08-01,66,8.0,False,0.08,5.28
2017-08-02,32,8.0,,0.08,2.56
2017-08-03,0,8.0,,0.08,0.0
2017-08-04,52,8.0,,0.08,4.16
2017-08-05,39,8.0,,0.08,3.12
2017-08-06,60,8.0,,0.08,4.8
2017-08-07,65,8.0,,0.08,5.2
2017-08-08,32,8.0,,0.08,2.56
2017-08-09,0,8.0,,0.08,0.0
2017-08-10,87,8.0,,0.08,6.96
2017-08-11,34,8.0,,0.08,2.72
2017-08-12,58,8.0,,0.08,4.64
2017-08-13,20,8.0,,0.08,1.6
2017-08-14,34,8.0,,0.08,2.72
2017-08-15,17,8.0,,0.08,1.36
2017-08-16,67,8.0,,0.08,5.36
2017-08-17,50,8.0,,0.08,4.0
2017-08-18,17,8.0,,0.08,1.36
2017-08-19,20,8.0,,0.08,1.6
2017-08-20,58,8.0,,0.08,4.64
2017-08-21,48,8.0,,0.08,3.84
2017-08-22,83,8.0,,0.08,6.640000000000001
2017-08-23,100,8.0,,0.08,8.0
2017-08-24,82,8.0,,0.08,6.5600000000000005
2017-08-25,68,8.0,,0.08,5.44
2017-08-26,0,8.0,,0.08,0.0
2017-08-27,36,8.0,,0.08,2.88
2017-08-28,33,8.0,,0.08,2.64
2017-08-29,0,8.0,,0.08,0.0
2017-08-30,16,8.0,,0.08,1.28
2017-08-31,65,8.0,,0.08,5.2
2017-09-01,87,9.0,False,0.09,7.83
2017-09-02,39,9.0,,0.09,3.51
2017-09-03,40,9.0,,0.09,3.5999999999999996
2017-09-04,37,9.0,,0.09,3.33
2017-09-05,48,9.0,,0.09,4.32
2017-09-06,31,9.0,,0.09,2.79
2017-09-07,80,9.0,,0.09,7.199999999999999
2017-09-08,81,9.0,,0.09,7.29
2017-09-09,19,9.0,,0.09,1.71
2017-09-10,56,9.0,,0.09,5.04
2017-09-11,16,9.0,,0.09,1.44
2017-09-12,65,9.0,,0.09,5.85
2017-09-13,32,9.0,,0.09,2.88
2017-09-14,83,9.0,,0.09,7.47
2017-09-15,17,9.0,,0.09,1.53
2017-09-16,99,9.0,,0.09,8.91
2017-09-17,77,9.0,,0.09,6.93
2017-09-18,16,9.0,,0.09,1.44
2017-09-19,65,9.0,,0.09,5.85
2017-09-20,65,9.0,,0.09,5.85
2017-09-21,16,9.0,,0.09,1.44
2017-09-22,68,9.0,,0.09,6.12
2017-09-23,100,9.0,,0.09,9.0
2017-09-24,78,9.0,,0.09,7.02
2017-09-25,16,9.0,,0.09,1.44
2017-09-26,49,9.0,,0.09,4.41
2017-09-27,16,9.0,,0.09,1.44
2017-09-28,66,9.0,,0.09,5.9399999999999995
2017-09-29,34,9.0,,0.09,3.06
2017-09-30,0,9.0,,0.09,0.0
2017-10-01,27,11.0,False,0.11,2.97
2017-10-02,44,11.0,,0.11,4.84
2017-10-03,0,11.0,,0.11,0.0
2017-10-04,57,11.0,,0.11,6.2700000000000005
2017-10-05,23,11.0,,0.11,2.53
2017-10-06,47,11.0,,0.11,5.17
2017-10-07,40,11.0,,0.11,4.4
2017-10-08,80,11.0,,0.11,8.8
2017-10-09,34,11.0,,0.11,3.74
2017-10-10,55,11.0,,0.11,6.05
2017-10-11,34,11.0,,0.11,3.74
2017-10-12,45,11.0,,0.11,4.95
2017-10-13,35,11.0,,0.11,3.85
2017-10-14,27,11.0,,0.11,2.97
2017-10-15,27,11.0,,0.11,2.97
2017-10-16,11,11.0,,0.11,1.21
2017-10-17,34,11.0,,0.11,3.74
2017-10-18,34,11.0,,0.11,3.74
2017-10-19,70,11.0,,0.11,7.7
2017-10-20,95,11.0,,0.11,10.45
2017-10-21,42,11.0,,0.11,4.62
2017-10-22,40,11.0,,0.11,4.4
2017-10-23,100,11.0,,0.11,11.0
2017-10-24,67,11.0,,0.11,7.37
2017-10-25,45,11.0,,0.11,4.95
2017-10-26,45,11.0,,0.11,4.95
2017-10-27,12,11.0,,0.11,1.32
2017-10-28,14,11.0,,0.11,1.54
2017-10-29,27,11.0,,0.11,2.97
2017-10-30,89,11.0,,0.11,9.790000000000001
2017-10-31,35,11.0,,0.11,3.85
2017-11-01,34,9.0,False,0.09,3.06
2017-11-02,32,9.0,,0.09,2.88
2017-11-03,67,9.0,,0.09,6.029999999999999
2017-11-04,0,9.0,,0.09,0.0
2017-11-05,57,9.0,,0.09,5.13
2017-11-06,0,9.0,,0.09,0.0
2017-11-07,65,9.0,,0.09,5.85
2017-11-08,64,9.0,,0.09,5.76
2017-11-09,49,9.0,,0.09,4.41
2017-11-10,69,9.0,,0.09,6.21
2017-11-11,0,9.0,,0.09,0.0
2017-11-12,96,9.0,,0.09,8.64
2017-11-13,80,9.0,,0.09,7.199999999999999
2017-11-14,80,9.0,,0.09,7.199999999999999
2017-11-15,16,9.0,,0.09,1.44
2017-11-16,32,9.0,,0.09,2.88
2017-11-17,100,9.0,,0.09,9.0
2017-11-18,58,9.0,,0.09,5.22
2017-11-19,58,9.0,,0.09,5.22
2017-11-20,33,9.0,,0.09,2.9699999999999998
2017-11-21,17,9.0,,0.09,1.53
2017-11-22,36,9.0,,0.09,3.2399999999999998
2017-11-23,59,9.0,,0.09,5.31
2017-11-24,0,9.0,,0.09,0.0
2017-11-25,76,9.0,,0.09,6.84
2017-11-26,57,9.0,,0.09,5.13
2017-11-27,61,9.0,,0.09,5.49
2017-11-28,79,9.0,,0.09,7.109999999999999
2017-11-29,48,9.0,,0.09,4.32
2017-11-30,65,9.0,,0.09,5.85
2017-12-01,14,9.0,False,0.09,1.26
2017-12-02,0,9.0,,0.09,0.0
2017-12-03,17,9.0,,0.09,1.53
2017-12-04,55,9.0,,0.09,4.95
2017-12-05,55,9.0,,0.09,4.95
2017-12-06,14,9.0,,0.09,1.26
2017-12-07,83,9.0,,0.09,7.47
2017-12-08,100,9.0,,0.09,9.0
2017-12-09,34,9.0,,0.09,3.06
2017-12-10,33,9.0,,0.09,2.9699999999999998
2017-12-11,68,9.0,,0.09,6.12
2017-12-12,96,9.0,,0.09,8.64
2017-12-13,96,9.0,,0.09,8.64
2017-12-14,14,9.0,,0.09,1.26
2017-12-15,59,9.0,,0.09,5.31
2017-12-16,68,9.0,,0.09,6.12
2017-12-17,0,9.0,,0.09,0.0
2017-12-18,72,9.0,,0.09,6.4799999999999995
2017-12-19,29,9.0,,0.09,2.61
2017-12-20,60,9.0,,0.09,5.3999999999999995
2017-12-21,46,9.0,,0.09,4.14
2017-12-22,16,9.0,,0.09,1.44
2017-12-23,89,9.0,,0.09,8.01
2017-12-24,0,9.0,,0.09,0.0
2017-12-25,59,9.0,,0.09,5.31
2017-12-26,50,9.0,,0.09,4.5
2017-12-27,47,9.0,,0.09,4.2299999999999995
2017-12-28,63,9.0,,0.09,5.67
2017-12-29,47,9.0,,0.09,4.2299999999999995
2017-12-30,0,9.0,,0.09,0.0
2017-12-31,34,9.0,,0.09,3.06
2018-01-01,61,7.0,False,0.07,4.2700000000000005
