date,EVER_unscaled,EVER_monthly,isPartial,scale,EVER
2016-12-13,87,90.0,,0.9,78.3
2016-12-14,87,90.0,,0.9,78.3
2016-12-15,84,90.0,,0.9,75.60000000000001
2016-12-16,86,90.0,,0.9,77.4
2016-12-17,90,90.0,,0.9,81.0
2016-12-18,100,90.0,,0.9,90.0
2016-12-19,86,90.0,,0.9,77.4
2016-12-20,89,90.0,,0.9,80.10000000000001
2016-12-21,88,90.0,,0.9,79.2
2016-12-22,90,90.0,,0.9,81.0
2016-12-23,91,90.0,,0.9,81.9
2016-12-24,97,90.0,,0.9,87.3
2016-12-25,94,90.0,,0.9,84.60000000000001
2016-12-26,88,90.0,,0.9,79.2
2016-12-27,83,90.0,,0.9,74.7
2016-12-28,83,90.0,,0.9,74.7
2016-12-29,82,90.0,,0.9,73.8
2016-12-30,90,90.0,,0.9,81.0
2016-12-31,97,90.0,,0.9,87.3
2017-01-01,94,92.0,False,0.92,86.48
2017-01-02,81,92.0,,0.92,74.52000000000001
2017-01-03,71,92.0,,0.92,65.32000000000001
2017-01-04,72,92.0,,0.92,66.24000000000001
2017-01-05,76,92.0,,0.92,69.92
2017-01-06,75,92.0,,0.92,69.0
2017-01-07,81,92.0,,0.92,74.52000000000001
2017-01-08,89,92.0,,0.92,81.88000000000001
2017-01-09,73,92.0,,0.92,67.16
2017-01-10,74,92.0,,0.92,68.08
2017-01-11,75,92.0,,0.92,69.0
2017-01-12,75,92.0,,0.92,69.0
2017-01-13,74,92.0,,0.92,68.08
2017-01-14,83,92.0,,0.92,76.36
2017-01-15,88,92.0,,0.92,80.96000000000001
2017-01-16,83,92.0,,0.92,76.36
2017-01-17,77,92.0,,0.92,70.84
2017-01-18,75,92.0,,0.92,69.0
2017-01-19,78,92.0,,0.92,71.76
2017-01-20,80,92.0,,0.92,73.60000000000001
2017-01-21,81,92.0,,0.92,74.52000000000001
2017-01-22,100,92.0,,0.92,92.0
2017-01-23,78,92.0,,0.92,71.76
2017-01-24,74,92.0,,0.92,68.08
2017-01-25,72,92.0,,0.92,66.24000000000001
2017-01-26,75,92.0,,0.92,69.0
2017-01-27,74,92.0,,0.92,68.08
2017-01-28,82,92.0,,0.92,75.44
2017-01-29,92,92.0,,0.92,84.64
2017-01-30,76,92.0,,0.92,69.92
2017-01-31,75,92.0,,0.92,69.0
2017-02-01,65,89.0,False,0.89,57.85
2017-02-02,66,89.0,,0.89,58.74
2017-02-03,66,89.0,,0.89,58.74
2017-02-04,71,89.0,,0.89,63.19
2017-02-05,82,89.0,,0.89,72.98
2017-02-06,100,89.0,,0.89,89.0
2017-02-07,66,89.0,,0.89,58.74
2017-02-08,64,89.0,,0.89,56.96
2017-02-09,63,89.0,,0.89,56.07
2017-02-10,65,89.0,,0.89,57.85
2017-02-11,72,89.0,,0.89,64.08
2017-02-12,74,89.0,,0.89,65.86
2017-02-13,63,89.0,,0.89,56.07
2017-02-14,64,89.0,,0.89,56.96
2017-02-15,62,89.0,,0.89,55.18
2017-02-16,62,89.0,,0.89,55.18
2017-02-17,63,89.0,,0.89,56.07
2017-02-18,70,89.0,,0.89,62.300000000000004
2017-02-19,80,89.0,,0.89,71.2
2017-02-20,70,89.0,,0.89,62.300000000000004
2017-02-21,68,89.0,,0.89,60.52
2017-02-22,61,89.0,,0.89,54.29
2017-02-23,60,89.0,,0.89,53.4
2017-02-24,63,89.0,,0.89,56.07
2017-02-25,69,89.0,,0.89,61.410000000000004
2017-02-26,73,89.0,,0.89,64.97
2017-02-27,64,89.0,,0.89,56.96
2017-02-28,60,89.0,,0.89,53.4
2017-03-01,82,88.0,False,0.88,72.16
2017-03-02,83,88.0,,0.88,73.04
2017-03-03,84,88.0,,0.88,73.92
2017-03-04,89,88.0,,0.88,78.32000000000001
2017-03-05,96,88.0,,0.88,84.48
2017-03-06,85,88.0,,0.88,74.8
2017-03-07,79,88.0,,0.88,69.52
2017-03-08,79,88.0,,0.88,69.52
2017-03-09,80,88.0,,0.88,70.4
2017-03-10,81,88.0,,0.88,71.28
2017-03-11,100,88.0,,0.88,88.0
2017-03-12,98,88.0,,0.88,86.24
2017-03-13,84,88.0,,0.88,73.92
2017-03-14,88,88.0,,0.88,77.44
2017-03-15,90,88.0,,0.88,79.2
2017-03-16,88,88.0,,0.88,77.44
2017-03-17,86,88.0,,0.88,75.68
2017-03-18,95,88.0,,0.88,83.6
2017-03-19,100,88.0,,0.88,88.0
2017-03-20,86,88.0,,0.88,75.68
2017-03-21,83,88.0,,0.88,73.04
2017-03-22,83,88.0,,0.88,73.04
2017-03-23,84,88.0,,0.88,73.92
2017-03-24,87,88.0,,0.88,76.56
2017-03-25,92,88.0,,0.88,80.96
2017-03-26,100,88.0,,0.88,88.0
2017-03-27,83,88.0,,0.88,73.04
2017-03-28,84,88.0,,0.88,73.92
2017-03-29,80,88.0,,0.88,70.4
2017-03-30,83,88.0,,0.88,73.04
2017-03-31,80,88.0,,0.88,70.4
2017-04-01,83,85.0,False,0.85,70.55
2017-04-02,89,85.0,,0.85,75.64999999999999
2017-04-03,77,85.0,,0.85,65.45
2017-04-04,80,85.0,,0.85,68.0
2017-04-05,79,85.0,,0.85,67.14999999999999
2017-04-06,79,85.0,,0.85,67.14999999999999
2017-04-07,80,85.0,,0.85,68.0
2017-04-08,87,85.0,,0.85,73.95
2017-04-09,95,85.0,,0.85,80.75
2017-04-10,77,85.0,,0.85,65.45
2017-04-11,78,85.0,,0.85,66.3
2017-04-12,76,85.0,,0.85,64.6
2017-04-13,80,85.0,,0.85,68.0
2017-04-14,79,85.0,,0.85,67.14999999999999
2017-04-15,89,85.0,,0.85,75.64999999999999
2017-04-16,100,85.0,,0.85,85.0
2017-04-17,78,85.0,,0.85,66.3
2017-04-18,76,85.0,,0.85,64.6
2017-04-19,74,85.0,,0.85,62.9
2017-04-20,79,85.0,,0.85,67.14999999999999
2017-04-21,79,85.0,,0.85,67.14999999999999
2017-04-22,86,85.0,,0.85,73.1
2017-04-23,92,85.0,,0.85,78.2
2017-04-24,77,85.0,,0.85,65.45
2017-04-25,78,85.0,,0.85,66.3
2017-04-26,77,85.0,,0.85,65.45
2017-04-27,76,85.0,,0.85,64.6
2017-04-28,77,85.0,,0.85,65.45
2017-04-29,84,85.0,,0.85,71.39999999999999
2017-04-30,92,85.0,,0.85,78.2
2017-05-01,81,84.0,False,0.84,68.03999999999999
2017-05-02,79,84.0,,0.84,66.36
2017-05-03,79,84.0,,0.84,66.36
2017-05-04,82,84.0,,0.84,68.88
2017-05-05,83,84.0,,0.84,69.72
2017-05-06,91,84.0,,0.84,76.44
2017-05-07,94,84.0,,0.84,78.96
2017-05-08,86,84.0,,0.84,72.24
2017-05-09,82,84.0,,0.84,68.88
2017-05-10,80,84.0,,0.84,67.2
2017-05-11,83,84.0,,0.84,69.72
2017-05-12,84,84.0,,0.84,70.56
2017-05-13,93,84.0,,0.84,78.11999999999999
2017-05-14,100,84.0,,0.84,84.0
2017-05-15,85,84.0,,0.84,71.39999999999999
2017-05-16,84,84.0,,0.84,70.56
2017-05-17,79,84.0,,0.84,66.36
2017-05-18,80,84.0,,0.84,67.2
2017-05-19,79,84.0,,0.84,66.36
2017-05-20,90,84.0,,0.84,75.6
2017-05-21,93,84.0,,0.84,78.11999999999999
2017-05-22,83,84.0,,0.84,69.72
2017-05-23,81,84.0,,0.84,68.03999999999999
2017-05-24,81,84.0,,0.84,68.03999999999999
2017-05-25,81,84.0,,0.84,68.03999999999999
2017-05-26,80,84.0,,0.84,67.2
2017-05-27,90,84.0,,0.84,75.6
2017-05-28,93,84.0,,0.84,78.11999999999999
2017-05-29,96,84.0,,0.84,80.64
2017-05-30,80,84.0,,0.84,67.2
2017-05-31,81,84.0,,0.84,68.03999999999999
2017-06-01,87,81.0,False,0.81,70.47
2017-06-02,87,81.0,,0.81,70.47
2017-06-03,93,81.0,,0.81,75.33
2017-06-04,98,81.0,,0.81,79.38000000000001
2017-06-05,85,81.0,,0.81,68.85000000000001
2017-06-06,81,81.0,,0.81,65.61
2017-06-07,86,81.0,,0.81,69.66000000000001
2017-06-08,87,81.0,,0.81,70.47
2017-06-09,88,81.0,,0.81,71.28
2017-06-10,94,81.0,,0.81,76.14
2017-06-11,98,81.0,,0.81,79.38000000000001
2017-06-12,86,81.0,,0.81,69.66000000000001
2017-06-13,86,81.0,,0.81,69.66000000000001
2017-06-14,81,81.0,,0.81,65.61
2017-06-15,86,81.0,,0.81,69.66000000000001
2017-06-16,85,81.0,,0.81,68.85000000000001
2017-06-17,93,81.0,,0.81,75.33
2017-06-18,100,81.0,,0.81,81.0
2017-06-19,83,81.0,,0.81,67.23
2017-06-20,88,81.0,,0.81,71.28
2017-06-21,87,81.0,,0.81,70.47
2017-06-22,83,81.0,,0.81,67.23
2017-06-23,86,81.0,,0.81,69.66000000000001
2017-06-24,94,81.0,,0.81,76.14
2017-06-25,98,81.0,,0.81,79.38000000000001
2017-06-26,81,81.0,,0.81,65.61
2017-06-27,88,81.0,,0.81,71.28
2017-06-28,85,81.0,,0.81,68.85000000000001
2017-06-29,85,81.0,,0.81,68.85000000000001
2017-06-30,86,81.0,,0.81,69.66000000000001
2017-07-01,93,79.0,False,0.79,73.47
2017-07-02,99,79.0,,0.79,78.21000000000001
2017-07-03,91,79.0,,0.79,71.89
2017-07-04,100,79.0,,0.79,79.0
2017-07-05,84,79.0,,0.79,66.36
2017-07-06,87,79.0,,0.79,68.73
2017-07-07,85,79.0,,0.79,67.15
2017-07-08,96,79.0,,0.79,75.84
2017-07-09,95,79.0,,0.79,75.05
2017-07-10,84,79.0,,0.79,66.36
2017-07-11,89,79.0,,0.79,70.31
2017-07-12,84,79.0,,0.79,66.36
2017-07-13,86,79.0,,0.79,67.94
2017-07-14,88,79.0,,0.79,69.52000000000001
2017-07-15,95,79.0,,0.79,75.05
2017-07-16,99,79.0,,0.79,78.21000000000001
2017-07-17,84,79.0,,0.79,66.36
2017-07-18,84,79.0,,0.79,66.36
2017-07-19,85,79.0,,0.79,67.15
2017-07-20,84,79.0,,0.79,66.36
2017-07-21,86,79.0,,0.79,67.94
2017-07-22,92,79.0,,0.79,72.68
2017-07-23,98,79.0,,0.79,77.42
2017-07-24,86,79.0,,0.79,67.94
2017-07-25,88,79.0,,0.79,69.52000000000001
2017-07-26,83,79.0,,0.79,65.57000000000001
2017-07-27,85,79.0,,0.79,67.15
2017-07-28,88,79.0,,0.79,69.52000000000001
2017-07-29,94,79.0,,0.79,74.26
2017-07-30,98,79.0,,0.79,77.42
2017-07-31,88,79.0,,0.79,69.52000000000001
2017-08-01,89,77.0,False,0.77,68.53
2017-08-02,87,77.0,,0.77,66.99
2017-08-03,85,77.0,,0.77,65.45
2017-08-04,87,77.0,,0.77,66.99
2017-08-05,97,77.0,,0.77,74.69
2017-08-06,100,77.0,,0.77,77.0
2017-08-07,86,77.0,,0.77,66.22
2017-08-08,85,77.0,,0.77,65.45
2017-08-09,81,77.0,,0.77,62.370000000000005
2017-08-10,86,77.0,,0.77,66.22
2017-08-11,89,77.0,,0.77,68.53
2017-08-12,91,77.0,,0.77,70.07000000000001
2017-08-13,98,77.0,,0.77,75.46000000000001
2017-08-14,84,77.0,,0.77,64.68
2017-08-15,86,77.0,,0.77,66.22
2017-08-16,84,77.0,,0.77,64.68
2017-08-17,90,77.0,,0.77,69.3
2017-08-18,85,77.0,,0.77,65.45
2017-08-19,94,77.0,,0.77,72.38
2017-08-20,95,77.0,,0.77,73.15
2017-08-21,85,77.0,,0.77,65.45
2017-08-22,85,77.0,,0.77,65.45
2017-08-23,87,77.0,,0.77,66.99
2017-08-24,88,77.0,,0.77,67.76
2017-08-25,85,77.0,,0.77,65.45
2017-08-26,100,77.0,,0.77,77.0
2017-08-27,97,77.0,,0.77,74.69
2017-08-28,83,77.0,,0.77,63.910000000000004
2017-08-29,81,77.0,,0.77,62.370000000000005
2017-08-30,82,77.0,,0.77,63.14
2017-08-31,82,77.0,,0.77,63.14
2017-09-01,78,78.0,False,0.78,60.84
2017-09-02,91,78.0,,0.78,70.98
2017-09-03,99,78.0,,0.78,77.22
2017-09-04,94,78.0,,0.78,73.32000000000001
2017-09-05,90,78.0,,0.78,70.2
2017-09-06,90,78.0,,0.78,70.2
2017-09-07,85,78.0,,0.78,66.3
2017-09-08,88,78.0,,0.78,68.64
2017-09-09,96,78.0,,0.78,74.88
2017-09-10,100,78.0,,0.78,78.0
2017-09-11,84,78.0,,0.78,65.52
2017-09-12,78,78.0,,0.78,60.84
2017-09-13,79,78.0,,0.78,61.620000000000005
2017-09-14,80,78.0,,0.78,62.400000000000006
2017-09-15,83,78.0,,0.78,64.74000000000001
2017-09-16,88,78.0,,0.78,68.64
2017-09-17,98,78.0,,0.78,76.44
2017-09-18,81,78.0,,0.78,63.18
2017-09-19,84,78.0,,0.78,65.52
2017-09-20,87,78.0,,0.78,67.86
2017-09-21,86,78.0,,0.78,67.08
2017-09-22,85,78.0,,0.78,66.3
2017-09-23,90,78.0,,0.78,70.2
2017-09-24,96,78.0,,0.78,74.88
2017-09-25,83,78.0,,0.78,64.74000000000001
2017-09-26,82,78.0,,0.78,63.96
2017-09-27,83,78.0,,0.78,64.74000000000001
2017-09-28,83,78.0,,0.78,64.74000000000001
2017-09-29,78,78.0,,0.78,60.84
2017-09-30,91,78.0,,0.78,70.98
2017-10-01,94,79.0,False,0.79,74.26
2017-10-02,76,79.0,,0.79,60.040000000000006
2017-10-03,76,79.0,,0.79,60.040000000000006
2017-10-04,79,79.0,,0.79,62.410000000000004
2017-10-05,80,79.0,,0.79,63.2
2017-10-06,78,79.0,,0.79,61.620000000000005
2017-10-07,90,79.0,,0.79,71.10000000000001
2017-10-08,92,79.0,,0.79,72.68
2017-10-09,86,79.0,,0.79,67.94
2017-10-10,81,79.0,,0.79,63.99
2017-10-11,78,79.0,,0.79,61.620000000000005
2017-10-12,80,79.0,,0.79,63.2
2017-10-13,81,79.0,,0.79,63.99
2017-10-14,93,79.0,,0.79,73.47
2017-10-15,98,79.0,,0.79,77.42
2017-10-16,82,79.0,,0.79,64.78
2017-10-17,79,79.0,,0.79,62.410000000000004
2017-10-18,80,79.0,,0.79,63.2
2017-10-19,82,79.0,,0.79,64.78
2017-10-20,83,79.0,,0.79,65.57000000000001
2017-10-21,89,79.0,,0.79,70.31
2017-10-22,100,79.0,,0.79,79.0
2017-10-23,84,79.0,,0.79,66.36
2017-10-24,84,79.0,,0.79,66.36
2017-10-25,82,79.0,,0.79,64.78
2017-10-26,82,79.0,,0.79,64.78
2017-10-27,80,79.0,,0.79,63.2
2017-10-28,92,79.0,,0.79,72.68
2017-10-29,96,79.0,,0.79,75.84
2017-10-30,87,79.0,,0.79,68.73
2017-10-31,79,79.0,,0.79,62.410000000000004
2017-11-01,85,78.0,False,0.78,66.3
2017-11-02,85,78.0,,0.78,66.3
2017-11-03,81,78.0,,0.78,63.18
2017-11-04,87,78.0,,0.78,67.86
2017-11-05,93,78.0,,0.78,72.54
2017-11-06,82,78.0,,0.78,63.96
2017-11-07,84,78.0,,0.78,65.52
2017-11-08,80,78.0,,0.78,62.400000000000006
2017-11-09,82,78.0,,0.78,63.96
2017-11-10,85,78.0,,0.78,66.3
2017-11-11,88,78.0,,0.78,68.64
2017-11-12,94,78.0,,0.78,73.32000000000001
2017-11-13,84,78.0,,0.78,65.52
2017-11-14,82,78.0,,0.78,63.96
2017-11-15,83,78.0,,0.78,64.74000000000001
2017-11-16,83,78.0,,0.78,64.74000000000001
2017-11-17,85,78.0,,0.78,66.3
2017-11-18,89,78.0,,0.78,69.42
2017-11-19,97,78.0,,0.78,75.66
2017-11-20,88,78.0,,0.78,68.64
2017-11-21,89,78.0,,0.78,69.42
2017-11-22,89,78.0,,0.78,69.42
2017-11-23,100,78.0,,0.78,78.0
2017-11-24,83,78.0,,0.78,64.74000000000001
2017-11-25,95,78.0,,0.78,74.10000000000001
2017-11-26,97,78.0,,0.78,75.66
2017-11-27,82,78.0,,0.78,63.96
2017-11-28,81,78.0,,0.78,63.18
2017-11-29,84,78.0,,0.78,65.52
2017-11-30,84,78.0,,0.78,65.52
2017-12-01,87,81.0,False,0.81,70.47
2017-12-02,92,81.0,,0.81,74.52000000000001
2017-12-03,98,81.0,,0.81,79.38000000000001
2017-12-04,86,81.0,,0.81,69.66000000000001
2017-12-05,85,81.0,,0.81,68.85000000000001
2017-12-06,86,81.0,,0.81,69.66000000000001
2017-12-07,88,81.0,,0.81,71.28
2017-12-08,86,81.0,,0.81,69.66000000000001
2017-12-09,93,81.0,,0.81,75.33
2017-12-10,98,81.0,,0.81,79.38000000000001
2017-12-11,85,81.0,,0.81,68.85000000000001
2017-12-12,89,81.0,,0.81,72.09
2017-12-13,84,81.0,,0.81,68.04
2017-12-14,89,81.0,,0.81,72.09
2017-12-15,91,81.0,,0.81,73.71000000000001
2017-12-16,93,81.0,,0.81,75.33
2017-12-17,100,81.0,,0.81,81.0
2017-12-18,86,81.0,,0.81,69.66000000000001
2017-12-19,85,81.0,,0.81,68.85000000000001
2017-12-20,88,81.0,,0.81,71.28
2017-12-21,87,81.0,,0.81,70.47
2017-12-22,83,81.0,,0.81,67.23
2017-12-23,96,81.0,,0.81,77.76
2017-12-24,98,81.0,,0.81,79.38000000000001
2017-12-25,92,81.0,,0.81,74.52000000000001
2017-12-26,88,81.0,,0.81,71.28
2017-12-27,85,81.0,,0.81,68.85000000000001
