date,TD_unscaled,TD_monthly,isPartial,scale,TD
2016-06-11,74,73.0,,0.73,54.019999999999996
2016-06-12,68,73.0,,0.73,49.64
2016-06-13,83,73.0,,0.73,60.589999999999996
2016-06-14,89,73.0,,0.73,64.97
2016-06-15,93,73.0,,0.73,67.89
2016-06-16,91,73.0,,0.73,66.42999999999999
2016-06-17,94,73.0,,0.73,68.62
2016-06-18,77,73.0,,0.73,56.21
2016-06-19,67,73.0,,0.73,48.91
2016-06-20,91,73.0,,0.73,66.42999999999999
2016-06-21,89,73.0,,0.73,64.97
2016-06-22,86,73.0,,0.73,62.78
2016-06-23,81,73.0,,0.73,59.129999999999995
2016-06-24,100,73.0,,0.73,73.0
2016-06-25,70,73.0,,0.73,51.1
2016-06-26,65,73.0,,0.73,47.449999999999996
2016-06-27,88,73.0,,0.73,64.24
2016-06-28,92,73.0,,0.73,67.16
2016-06-29,92,73.0,,0.73,67.16
2016-06-30,98,73.0,,0.73,71.53999999999999
2016-07-01,100,72.0,False,0.72,72.0
2016-07-02,81,72.0,,0.72,58.32
2016-07-03,68,72.0,,0.72,48.96
2016-07-04,65,72.0,,0.72,46.8
2016-07-05,97,72.0,,0.72,69.84
2016-07-06,95,72.0,,0.72,68.39999999999999
2016-07-07,90,72.0,,0.72,64.8
2016-07-08,99,72.0,,0.72,71.28
2016-07-09,77,72.0,,0.72,55.44
2016-07-10,71,72.0,,0.72,51.12
2016-07-11,90,72.0,,0.72,64.8
2016-07-12,89,72.0,,0.72,64.08
2016-07-13,88,72.0,,0.72,63.36
2016-07-14,85,72.0,,0.72,61.199999999999996
2016-07-15,95,72.0,,0.72,68.39999999999999
2016-07-16,76,72.0,,0.72,54.72
2016-07-17,72,72.0,,0.72,51.839999999999996
2016-07-18,91,72.0,,0.72,65.52
2016-07-19,87,72.0,,0.72,62.64
2016-07-20,90,72.0,,0.72,64.8
2016-07-21,86,72.0,,0.72,61.919999999999995
2016-07-22,92,72.0,,0.72,66.24
2016-07-23,73,72.0,,0.72,52.559999999999995
2016-07-24,60,72.0,,0.72,43.199999999999996
2016-07-25,83,72.0,,0.72,59.76
2016-07-26,86,72.0,,0.72,61.919999999999995
2016-07-27,88,72.0,,0.72,63.36
2016-07-28,88,72.0,,0.72,63.36
2016-07-29,93,72.0,,0.72,66.96
2016-07-30,77,72.0,,0.72,55.44
2016-07-31,71,72.0,,0.72,51.12
2016-08-01,94,74.0,False,0.74,69.56
2016-08-02,91,74.0,,0.74,67.34
2016-08-03,88,74.0,,0.74,65.12
2016-08-04,92,74.0,,0.74,68.08
2016-08-05,100,74.0,,0.74,74.0
2016-08-06,77,74.0,,0.74,56.98
2016-08-07,62,74.0,,0.74,45.88
2016-08-08,90,74.0,,0.74,66.6
2016-08-09,90,74.0,,0.74,66.6
2016-08-10,86,74.0,,0.74,63.64
2016-08-11,93,74.0,,0.74,68.82
2016-08-12,98,74.0,,0.74,72.52
2016-08-13,79,74.0,,0.74,58.46
2016-08-14,67,74.0,,0.74,49.58
2016-08-15,99,74.0,,0.74,73.26
2016-08-16,86,74.0,,0.74,63.64
2016-08-17,88,74.0,,0.74,65.12
2016-08-18,83,74.0,,0.74,61.42
2016-08-19,91,74.0,,0.74,67.34
2016-08-20,78,74.0,,0.74,57.72
2016-08-21,65,74.0,,0.74,48.1
2016-08-22,92,74.0,,0.74,68.08
2016-08-23,92,74.0,,0.74,68.08
2016-08-24,87,74.0,,0.74,64.38
2016-08-25,86,74.0,,0.74,63.64
2016-08-26,97,74.0,,0.74,71.78
2016-08-27,78,74.0,,0.74,57.72
2016-08-28,69,74.0,,0.74,51.06
2016-08-29,90,74.0,,0.74,66.6
2016-08-30,92,74.0,,0.74,68.08
2016-08-31,98,74.0,,0.74,72.52
2016-09-01,97,73.0,False,0.73,70.81
2016-09-02,100,73.0,,0.73,73.0
2016-09-03,84,73.0,,0.73,61.32
2016-09-04,69,73.0,,0.73,50.37
2016-09-05,69,73.0,,0.73,50.37
2016-09-06,94,73.0,,0.73,68.62
2016-09-07,86,73.0,,0.73,62.78
2016-09-08,87,73.0,,0.73,63.51
2016-09-09,93,73.0,,0.73,67.89
2016-09-10,76,73.0,,0.73,55.48
2016-09-11,73,73.0,,0.73,53.29
2016-09-12,96,73.0,,0.73,70.08
2016-09-13,93,73.0,,0.73,67.89
2016-09-14,87,73.0,,0.73,63.51
2016-09-15,93,73.0,,0.73,67.89
2016-09-16,93,73.0,,0.73,67.89
2016-09-17,76,73.0,,0.73,55.48
2016-09-18,72,73.0,,0.73,52.56
2016-09-19,90,73.0,,0.73,65.7
2016-09-20,88,73.0,,0.73,64.24
2016-09-21,84,73.0,,0.73,61.32
2016-09-22,89,73.0,,0.73,64.97
2016-09-23,96,73.0,,0.73,70.08
2016-09-24,78,73.0,,0.73,56.94
2016-09-25,74,73.0,,0.73,54.019999999999996
2016-09-26,90,73.0,,0.73,65.7
2016-09-27,84,73.0,,0.73,61.32
2016-09-28,85,73.0,,0.73,62.05
2016-09-29,84,73.0,,0.73,61.32
2016-09-30,100,73.0,,0.73,73.0
2016-10-01,90,71.0,False,0.71,63.9
2016-10-02,80,71.0,,0.71,56.8
2016-10-03,100,71.0,,0.71,71.0
2016-10-04,87,71.0,,0.71,61.769999999999996
2016-10-05,80,71.0,,0.71,56.8
2016-10-06,80,71.0,,0.71,56.8
2016-10-07,90,71.0,,0.71,63.9
2016-10-08,74,71.0,,0.71,52.54
2016-10-09,67,71.0,,0.71,47.57
2016-10-10,84,71.0,,0.71,59.64
2016-10-11,82,71.0,,0.71,58.22
2016-10-12,85,71.0,,0.71,60.349999999999994
2016-10-13,82,71.0,,0.71,58.22
2016-10-14,92,71.0,,0.71,65.32
2016-10-15,75,71.0,,0.71,53.25
2016-10-16,71,71.0,,0.71,50.41
2016-10-17,89,71.0,,0.71,63.19
2016-10-18,90,71.0,,0.71,63.9
2016-10-19,87,71.0,,0.71,61.769999999999996
2016-10-20,81,71.0,,0.71,57.51
2016-10-21,94,71.0,,0.71,66.74
2016-10-22,80,71.0,,0.71,56.8
2016-10-23,68,71.0,,0.71,48.28
2016-10-24,88,71.0,,0.71,62.48
2016-10-25,85,71.0,,0.71,60.349999999999994
2016-10-26,84,71.0,,0.71,59.64
2016-10-27,88,71.0,,0.71,62.48
2016-10-28,90,71.0,,0.71,63.9
2016-10-29,80,71.0,,0.71,56.8
2016-10-30,70,71.0,,0.71,49.699999999999996
2016-10-31,83,71.0,,0.71,58.93
2016-11-01,92,69.0,False,0.69,63.48
2016-11-02,81,69.0,,0.69,55.88999999999999
2016-11-03,79,69.0,,0.69,54.51
2016-11-04,85,69.0,,0.69,58.65
2016-11-05,75,69.0,,0.69,51.74999999999999
2016-11-06,72,69.0,,0.69,49.67999999999999
2016-11-07,82,69.0,,0.69,56.58
2016-11-08,74,69.0,,0.69,51.059999999999995
2016-11-09,60,69.0,,0.69,41.4
2016-11-10,85,69.0,,0.69,58.65
2016-11-11,100,69.0,,0.69,69.0
2016-11-12,72,69.0,,0.69,49.67999999999999
2016-11-13,67,69.0,,0.69,46.23
2016-11-14,84,69.0,,0.69,57.959999999999994
2016-11-15,94,69.0,,0.69,64.86
2016-11-16,80,69.0,,0.69,55.199999999999996
2016-11-17,81,69.0,,0.69,55.88999999999999
2016-11-18,89,69.0,,0.69,61.41
2016-11-19,74,69.0,,0.69,51.059999999999995
2016-11-20,67,69.0,,0.69,46.23
2016-11-21,86,69.0,,0.69,59.339999999999996
2016-11-22,86,69.0,,0.69,59.339999999999996
2016-11-23,87,69.0,,0.69,60.029999999999994
2016-11-24,51,69.0,,0.69,35.19
2016-11-25,81,69.0,,0.69,55.88999999999999
2016-11-26,69,69.0,,0.69,47.61
2016-11-27,66,69.0,,0.69,45.54
2016-11-28,82,69.0,,0.69,56.58
2016-11-29,80,69.0,,0.69,55.199999999999996
2016-11-30,78,69.0,,0.69,53.81999999999999
2016-12-01,83,76.0,False,0.76,63.08
2016-12-02,91,76.0,,0.76,69.16
2016-12-03,84,76.0,,0.76,63.84
2016-12-04,65,76.0,,0.76,49.4
2016-12-05,85,76.0,,0.76,64.6
2016-12-06,82,76.0,,0.76,62.32
2016-12-07,80,76.0,,0.76,60.8
2016-12-08,85,76.0,,0.76,64.6
2016-12-09,91,76.0,,0.76,69.16
2016-12-10,74,76.0,,0.76,56.24
2016-12-11,65,76.0,,0.76,49.4
2016-12-12,85,76.0,,0.76,64.6
2016-12-13,85,76.0,,0.76,64.6
2016-12-14,79,76.0,,0.76,60.04
2016-12-15,86,76.0,,0.76,65.36
2016-12-16,91,76.0,,0.76,69.16
2016-12-17,74,76.0,,0.76,56.24
2016-12-18,66,76.0,,0.76,50.160000000000004
2016-12-19,93,76.0,,0.76,70.68
2016-12-20,88,76.0,,0.76,66.88
2016-12-21,96,76.0,,0.76,72.96000000000001
2016-12-22,92,76.0,,0.76,69.92
2016-12-23,100,76.0,,0.76,76.0
2016-12-24,78,76.0,,0.76,59.28
2016-12-25,49,76.0,,0.76,37.24
2016-12-26,86,76.0,,0.76,65.36
2016-12-27,94,76.0,,0.76,71.44
2016-12-28,92,76.0,,0.76,69.92
2016-12-29,87,76.0,,0.76,66.12
2016-12-30,100,76.0,,0.76,76.0
2016-12-31,76,76.0,,0.76,57.76
2017-01-01,71,73.0,False,0.73,51.83
2017-01-02,100,73.0,,0.73,73.0
2017-01-03,97,73.0,,0.73,70.81
2017-01-04,94,73.0,,0.73,68.62
2017-01-05,97,73.0,,0.73,70.81
2017-01-06,97,73.0,,0.73,70.81
2017-01-07,74,73.0,,0.73,54.019999999999996
2017-01-08,66,73.0,,0.73,48.18
2017-01-09,82,73.0,,0.73,59.86
2017-01-10,94,73.0,,0.73,68.62
2017-01-11,81,73.0,,0.73,59.129999999999995
2017-01-12,88,73.0,,0.73,64.24
2017-01-13,99,73.0,,0.73,72.27
2017-01-14,82,73.0,,0.73,59.86
2017-01-15,72,73.0,,0.73,52.56
2017-01-16,82,73.0,,0.73,59.86
2017-01-17,92,73.0,,0.73,67.16
2017-01-18,84,73.0,,0.73,61.32
2017-01-19,83,73.0,,0.73,60.589999999999996
2017-01-20,91,73.0,,0.73,66.42999999999999
2017-01-21,78,73.0,,0.73,56.94
2017-01-22,65,73.0,,0.73,47.449999999999996
2017-01-23,79,73.0,,0.73,57.67
2017-01-24,84,73.0,,0.73,61.32
2017-01-25,90,73.0,,0.73,65.7
2017-01-26,86,73.0,,0.73,62.78
2017-01-27,94,73.0,,0.73,68.62
2017-01-28,74,73.0,,0.73,54.019999999999996
2017-01-29,69,73.0,,0.73,50.37
2017-01-30,84,73.0,,0.73,61.32
2017-01-31,92,73.0,,0.73,67.16
2017-02-01,100,75.0,False,0.75,75.0
2017-02-02,88,75.0,,0.75,66.0
2017-02-03,100,75.0,,0.75,75.0
2017-02-04,87,75.0,,0.75,65.25
2017-02-05,72,75.0,,0.75,54.0
2017-02-06,87,75.0,,0.75,65.25
2017-02-07,92,75.0,,0.75,69.0
2017-02-08,90,75.0,,0.75,67.5
2017-02-09,86,75.0,,0.75,64.5
2017-02-10,95,75.0,,0.75,71.25
2017-02-11,84,75.0,,0.75,63.0
2017-02-12,70,75.0,,0.75,52.5
2017-02-13,87,75.0,,0.75,65.25
2017-02-14,87,75.0,,0.75,65.25
2017-02-15,87,75.0,,0.75,65.25
2017-02-16,88,75.0,,0.75,66.0
2017-02-17,90,75.0,,0.75,67.5
2017-02-18,80,75.0,,0.75,60.0
2017-02-19,70,75.0,,0.75,52.5
2017-02-20,81,75.0,,0.75,60.75
2017-02-21,87,75.0,,0.75,65.25
2017-02-22,91,75.0,,0.75,68.25
2017-02-23,93,75.0,,0.75,69.75
2017-02-24,94,75.0,,0.75,70.5
2017-02-25,82,75.0,,0.75,61.5
2017-02-26,68,75.0,,0.75,51.0
2017-02-27,83,75.0,,0.75,62.25
2017-02-28,95,75.0,,0.75,71.25
2017-03-01,88,72.0,False,0.72,63.36
2017-03-02,85,72.0,,0.72,61.199999999999996
2017-03-03,92,72.0,,0.72,66.24
2017-03-04,82,72.0,,0.72,59.04
2017-03-05,62,72.0,,0.72,44.64
2017-03-06,75,72.0,,0.72,54.0
2017-03-07,76,72.0,,0.72,54.72
2017-03-08,75,72.0,,0.72,54.0
2017-03-09,72,72.0,,0.72,51.839999999999996
2017-03-10,80,72.0,,0.72,57.599999999999994
2017-03-11,69,72.0,,0.72,49.68
2017-03-12,58,72.0,,0.72,41.76
2017-03-13,75,72.0,,0.72,54.0
2017-03-14,63,72.0,,0.72,45.36
2017-03-15,82,72.0,,0.72,59.04
2017-03-16,77,72.0,,0.72,55.44
2017-03-17,77,72.0,,0.72,55.44
2017-03-18,68,72.0,,0.72,48.96
2017-03-19,63,72.0,,0.72,45.36
2017-03-20,72,72.0,,0.72,51.839999999999996
2017-03-21,72,72.0,,0.72,51.839999999999996
2017-03-22,68,72.0,,0.72,48.96
2017-03-23,71,72.0,,0.72,51.12
2017-03-24,75,72.0,,0.72,54.0
2017-03-25,61,72.0,,0.72,43.92
2017-03-26,64,72.0,,0.72,46.08
2017-03-27,100,72.0,,0.72,72.0
2017-03-28,79,72.0,,0.72,56.879999999999995
2017-03-29,75,72.0,,0.72,54.0
2017-03-30,77,72.0,,0.72,55.44
2017-03-31,83,72.0,,0.72,59.76
2017-04-01,89,69.0,False,0.69,61.41
2017-04-02,74,69.0,,0.69,51.059999999999995
2017-04-03,92,69.0,,0.69,63.48
2017-04-04,91,69.0,,0.69,62.78999999999999
2017-04-05,90,69.0,,0.69,62.099999999999994
2017-04-06,93,69.0,,0.69,64.17
2017-04-07,92,69.0,,0.69,63.48
2017-04-08,83,69.0,,0.69,57.269999999999996
2017-04-09,71,69.0,,0.69,48.989999999999995
2017-04-10,88,69.0,,0.69,60.72
2017-04-11,86,69.0,,0.69,59.339999999999996
2017-04-12,94,69.0,,0.69,64.86
2017-04-13,94,69.0,,0.69,64.86
2017-04-14,100,69.0,,0.69,69.0
2017-04-15,81,69.0,,0.69,55.88999999999999
2017-04-16,66,69.0,,0.69,45.54
2017-04-17,98,69.0,,0.69,67.61999999999999
2017-04-18,93,69.0,,0.69,64.17
2017-04-19,86,69.0,,0.69,59.339999999999996
2017-04-20,86,69.0,,0.69,59.339999999999996
2017-04-21,99,69.0,,0.69,68.30999999999999
2017-04-22,76,69.0,,0.69,52.44
2017-04-23,71,69.0,,0.69,48.989999999999995
2017-04-24,87,69.0,,0.69,60.029999999999994
2017-04-25,92,69.0,,0.69,63.48
2017-04-26,82,69.0,,0.69,56.58
2017-04-27,86,69.0,,0.69,59.339999999999996
2017-04-28,93,69.0,,0.69,64.17
2017-04-29,84,69.0,,0.69,57.959999999999994
2017-04-30,80,69.0,,0.69,55.199999999999996
2017-05-01,87,72.0,False,0.72,62.64
2017-05-02,76,72.0,,0.72,54.72
2017-05-03,75,72.0,,0.72,54.0
2017-05-04,77,72.0,,0.72,55.44
2017-05-05,88,72.0,,0.72,63.36
2017-05-06,69,72.0,,0.72,49.68
2017-05-07,65,72.0,,0.72,46.8
2017-05-08,79,72.0,,0.72,56.879999999999995
2017-05-09,79,72.0,,0.72,56.879999999999995
2017-05-10,78,72.0,,0.72,56.16
2017-05-11,78,72.0,,0.72,56.16
2017-05-12,84,72.0,,0.72,60.48
2017-05-13,69,72.0,,0.72,49.68
2017-05-14,52,72.0,,0.72,37.44
2017-05-15,78,72.0,,0.72,56.16
2017-05-16,80,72.0,,0.72,57.599999999999994
2017-05-17,81,72.0,,0.72,58.32
2017-05-18,74,72.0,,0.72,53.28
2017-05-19,78,72.0,,0.72,56.16
2017-05-20,64,72.0,,0.72,46.08
2017-05-21,62,72.0,,0.72,44.64
2017-05-22,77,72.0,,0.72,55.44
2017-05-23,76,72.0,,0.72,54.72
2017-05-24,75,72.0,,0.72,54.0
2017-05-25,79,72.0,,0.72,56.879999999999995
2017-05-26,100,72.0,,0.72,72.0
2017-05-27,73,72.0,,0.72,52.559999999999995
2017-05-28,54,72.0,,0.72,38.879999999999995
2017-05-29,57,72.0,,0.72,41.04
2017-05-30,85,72.0,,0.72,61.199999999999996
2017-05-31,87,72.0,,0.72,62.64
2017-06-01,85,72.0,False,0.72,61.199999999999996
2017-06-02,100,72.0,,0.72,72.0
2017-06-03,77,72.0,,0.72,55.44
2017-06-04,61,72.0,,0.72,43.92
2017-06-05,82,72.0,,0.72,59.04
2017-06-06,80,72.0,,0.72,57.599999999999994
2017-06-07,77,72.0,,0.72,55.44
2017-06-08,79,72.0,,0.72,56.879999999999995
2017-06-09,82,72.0,,0.72,59.04
2017-06-10,69,72.0,,0.72,49.68
2017-06-11,62,72.0,,0.72,44.64
2017-06-12,83,72.0,,0.72,59.76
2017-06-13,77,72.0,,0.72,55.44
2017-06-14,78,72.0,,0.72,56.16
2017-06-15,85,72.0,,0.72,61.199999999999996
2017-06-16,87,72.0,,0.72,62.64
2017-06-17,75,72.0,,0.72,54.0
2017-06-18,62,72.0,,0.72,44.64
2017-06-19,82,72.0,,0.72,59.04
2017-06-20,81,72.0,,0.72,58.32
2017-06-21,79,72.0,,0.72,56.879999999999995
2017-06-22,79,72.0,,0.72,56.879999999999995
2017-06-23,86,72.0,,0.72,61.919999999999995
2017-06-24,73,72.0,,0.72,52.559999999999995
2017-06-25,63,72.0,,0.72,45.36
2017-06-26,88,72.0,,0.72,63.36
2017-06-27,87,72.0,,0.72,62.64
2017-06-28,84,72.0,,0.72,60.48
2017-06-29,85,72.0,,0.72,61.199999999999996
2017-06-30,100,72.0,,0.72,72.0
2017-07-01,84,72.0,False,0.72,60.48
2017-07-02,69,72.0,,0.72,49.68
2017-07-03,90,72.0,,0.72,64.8
2017-07-04,62,72.0,,0.72,44.64
2017-07-05,91,72.0,,0.72,65.52
2017-07-06,90,72.0,,0.72,64.8
2017-07-07,100,72.0,,0.72,72.0
2017-07-08,71,72.0,,0.72,51.12
2017-07-09,60,72.0,,0.72,43.199999999999996
2017-07-10,85,72.0,,0.72,61.199999999999996
2017-07-11,82,72.0,,0.72,59.04
2017-07-12,83,72.0,,0.72,59.76
2017-07-13,83,72.0,,0.72,59.76
2017-07-14,96,72.0,,0.72,69.12
2017-07-15,71,72.0,,0.72,51.12
2017-07-16,59,72.0,,0.72,42.48
2017-07-17,83,72.0,,0.72,59.76
2017-07-18,84,72.0,,0.72,60.48
2017-07-19,83,72.0,,0.72,59.76
2017-07-20,80,72.0,,0.72,57.599999999999994
2017-07-21,86,72.0,,0.72,61.919999999999995
2017-07-22,72,72.0,,0.72,51.839999999999996
2017-07-23,58,72.0,,0.72,41.76
2017-07-24,79,72.0,,0.72,56.879999999999995
2017-07-25,88,72.0,,0.72,63.36
2017-07-26,81,72.0,,0.72,58.32
2017-07-27,85,72.0,,0.72,61.199999999999996
2017-07-28,90,72.0,,0.72,64.8
2017-07-29,70,72.0,,0.72,50.4
2017-07-30,59,72.0,,0.72,42.48
2017-07-31,89,72.0,,0.72,64.08
2017-08-01,93,71.0,False,0.71,66.03
2017-08-02,84,71.0,,0.71,59.64
2017-08-03,88,71.0,,0.71,62.48
2017-08-04,100,71.0,,0.71,71.0
2017-08-05,76,71.0,,0.71,53.959999999999994
2017-08-06,64,71.0,,0.71,45.44
2017-08-07,91,71.0,,0.71,64.61
2017-08-08,86,71.0,,0.71,61.059999999999995
2017-08-09,83,71.0,,0.71,58.93
2017-08-10,85,71.0,,0.71,60.349999999999994
2017-08-11,90,71.0,,0.71,63.9
2017-08-12,72,71.0,,0.71,51.12
2017-08-13,62,71.0,,0.71,44.019999999999996
2017-08-14,86,71.0,,0.71,61.059999999999995
2017-08-15,88,71.0,,0.71,62.48
2017-08-16,82,71.0,,0.71,58.22
2017-08-17,85,71.0,,0.71,60.349999999999994
2017-08-18,85,71.0,,0.71,60.349999999999994
2017-08-19,70,71.0,,0.71,49.699999999999996
2017-08-20,59,71.0,,0.71,41.89
2017-08-21,70,71.0,,0.71,49.699999999999996
2017-08-22,81,71.0,,0.71,57.51
2017-08-23,82,71.0,,0.71,58.22
2017-08-24,77,71.0,,0.71,54.669999999999995
2017-08-25,86,71.0,,0.71,61.059999999999995
2017-08-26,69,71.0,,0.71,48.989999999999995
2017-08-27,57,71.0,,0.71,40.47
2017-08-28,80,71.0,,0.71,56.8
2017-08-29,82,71.0,,0.71,58.22
2017-08-30,83,71.0,,0.71,58.93
2017-08-31,90,71.0,,0.71,63.9
2017-09-01,100,69.0,False,0.69,69.0
2017-09-02,76,69.0,,0.69,52.44
2017-09-03,72,69.0,,0.69,49.67999999999999
2017-09-04,61,69.0,,0.69,42.089999999999996
2017-09-05,87,69.0,,0.69,60.029999999999994
2017-09-06,83,69.0,,0.69,57.269999999999996
2017-09-07,83,69.0,,0.69,57.269999999999996
2017-09-08,84,69.0,,0.69,57.959999999999994
2017-09-09,65,69.0,,0.69,44.849999999999994
2017-09-10,57,69.0,,0.69,39.33
2017-09-11,74,69.0,,0.69,51.059999999999995
2017-09-12,81,69.0,,0.69,55.88999999999999
2017-09-13,76,69.0,,0.69,52.44
2017-09-14,82,69.0,,0.69,56.58
2017-09-15,98,69.0,,0.69,67.61999999999999
2017-09-16,73,69.0,,0.69,50.37
2017-09-17,69,69.0,,0.69,47.61
2017-09-18,89,69.0,,0.69,61.41
2017-09-19,86,69.0,,0.69,59.339999999999996
2017-09-20,84,69.0,,0.69,57.959999999999994
2017-09-21,84,69.0,,0.69,57.959999999999994
2017-09-22,95,69.0,,0.69,65.55
2017-09-23,76,69.0,,0.69,52.44
2017-09-24,71,69.0,,0.69,48.989999999999995
2017-09-25,88,69.0,,0.69,60.72
2017-09-26,85,69.0,,0.69,58.65
2017-09-27,85,69.0,,0.69,58.65
2017-09-28,85,69.0,,0.69,58.65
2017-09-29,96,69.0,,0.69,66.24
2017-09-30,82,69.0,,0.69,56.58
2017-10-01,81,73.0,False,0.73,59.129999999999995
2017-10-02,88,73.0,,0.73,64.24
2017-10-03,91,73.0,,0.73,66.42999999999999
2017-10-04,88,73.0,,0.73,64.24
2017-10-05,88,73.0,,0.73,64.24
2017-10-06,94,73.0,,0.73,68.62
2017-10-07,79,73.0,,0.73,57.67
2017-10-08,74,73.0,,0.73,54.019999999999996
2017-10-09,97,73.0,,0.73,70.81
2017-10-10,89,73.0,,0.73,64.97
2017-10-11,85,73.0,,0.73,62.05
2017-10-12,82,73.0,,0.73,59.86
2017-10-13,100,73.0,,0.73,73.0
2017-10-14,77,73.0,,0.73,56.21
2017-10-15,72,73.0,,0.73,52.56
2017-10-16,90,73.0,,0.73,65.7
2017-10-17,85,73.0,,0.73,62.05
2017-10-18,83,73.0,,0.73,60.589999999999996
2017-10-19,84,73.0,,0.73,61.32
2017-10-20,92,73.0,,0.73,67.16
2017-10-21,74,73.0,,0.73,54.019999999999996
2017-10-22,69,73.0,,0.73,50.37
2017-10-23,89,73.0,,0.73,64.97
2017-10-24,86,73.0,,0.73,62.78
2017-10-25,83,73.0,,0.73,60.589999999999996
2017-10-26,81,73.0,,0.73,59.129999999999995
2017-10-27,94,73.0,,0.73,68.62
2017-10-28,72,73.0,,0.73,52.56
2017-10-29,70,73.0,,0.73,51.1
2017-10-30,89,73.0,,0.73,64.97
2017-10-31,89,73.0,,0.73,64.97
2017-11-01,95,70.0,False,0.7,66.5
2017-11-02,92,70.0,,0.7,64.39999999999999
2017-11-03,100,70.0,,0.7,70.0
2017-11-04,83,70.0,,0.7,58.099999999999994
2017-11-05,71,70.0,,0.7,49.699999999999996
2017-11-06,93,70.0,,0.7,65.1
2017-11-07,93,70.0,,0.7,65.1
2017-11-08,86,70.0,,0.7,60.199999999999996
2017-11-09,83,70.0,,0.7,58.099999999999994
2017-11-10,99,70.0,,0.7,69.3
2017-11-11,81,70.0,,0.7,56.699999999999996
2017-11-12,69,70.0,,0.7,48.3
2017-11-13,91,70.0,,0.7,63.699999999999996
2017-11-14,89,70.0,,0.7,62.3
2017-11-15,83,70.0,,0.7,58.099999999999994
2017-11-16,87,70.0,,0.7,60.9
2017-11-17,94,70.0,,0.7,65.8
2017-11-18,77,70.0,,0.7,53.9
2017-11-19,69,70.0,,0.7,48.3
2017-11-20,89,70.0,,0.7,62.3
2017-11-21,87,70.0,,0.7,60.9
2017-11-22,92,70.0,,0.7,64.39999999999999
2017-11-23,57,70.0,,0.7,39.9
2017-11-24,89,70.0,,0.7,62.3
2017-11-25,73,70.0,,0.7,51.099999999999994
2017-11-26,76,70.0,,0.7,53.199999999999996
2017-11-27,96,70.0,,0.7,67.19999999999999
2017-11-28,94,70.0,,0.7,65.8
2017-11-29,87,70.0,,0.7,60.9
2017-11-30,98,70.0,,0.7,68.6
2017-12-01,91,76.0,False,0.76,69.16
2017-12-02,81,76.0,,0.76,61.56
2017-12-03,67,76.0,,0.76,50.92
2017-12-04,82,76.0,,0.76,62.32
2017-12-05,77,76.0,,0.76,58.52
2017-12-06,77,76.0,,0.76,58.52
2017-12-07,78,76.0,,0.76,59.28
2017-12-08,87,76.0,,0.76,66.12
2017-12-09,67,76.0,,0.76,50.92
2017-12-10,61,76.0,,0.76,46.36
2017-12-11,77,76.0,,0.76,58.52
2017-12-12,86,76.0,,0.76,65.36
2017-12-13,79,76.0,,0.76,60.04
2017-12-14,79,76.0,,0.76,60.04
2017-12-15,97,76.0,,0.76,73.72
2017-12-16,81,76.0,,0.76,61.56
2017-12-17,69,76.0,,0.76,52.44
2017-12-18,100,76.0,,0.76,76.0
2017-12-19,90,76.0,,0.76,68.4
2017-12-20,94,76.0,,0.76,71.44
2017-12-21,94,76.0,,0.76,71.44
2017-12-22,90,76.0,,0.76,68.4
2017-12-23,84,76.0,,0.76,63.84
2017-12-24,72,76.0,,0.76,54.72
2017-12-25,47,76.0,,0.76,35.72
2017-12-26,86,76.0,,0.76,65.36
2017-12-27,95,76.0,,0.76,72.2
