date,CB_unscaled,CB_monthly,isPartial,scale,CB
2016-09-16,70,80.0,,0.8,56.0
2016-09-17,67,80.0,,0.8,53.6
2016-09-18,66,80.0,,0.8,52.800000000000004
2016-09-19,56,80.0,,0.8,44.800000000000004
2016-09-20,64,80.0,,0.8,51.2
2016-09-21,55,80.0,,0.8,44.0
2016-09-22,51,80.0,,0.8,40.800000000000004
2016-09-23,70,80.0,,0.8,56.0
2016-09-24,70,80.0,,0.8,56.0
2016-09-25,70,80.0,,0.8,56.0
2016-09-26,71,80.0,,0.8,56.800000000000004
2016-09-27,54,80.0,,0.8,43.2
2016-09-28,59,80.0,,0.8,47.2
2016-09-29,64,80.0,,0.8,51.2
2016-09-30,64,80.0,,0.8,51.2
2016-10-01,80,76.0,False,0.76,60.8
2016-10-02,90,76.0,,0.76,68.4
2016-10-03,80,76.0,,0.76,60.8
2016-10-04,92,76.0,,0.76,69.92
2016-10-05,90,76.0,,0.76,68.4
2016-10-06,94,76.0,,0.76,71.44
2016-10-07,96,76.0,,0.76,72.96000000000001
2016-10-08,99,76.0,,0.76,75.24
2016-10-09,100,76.0,,0.76,76.0
2016-10-10,81,76.0,,0.76,61.56
2016-10-11,89,76.0,,0.76,67.64
2016-10-12,88,76.0,,0.76,66.88
2016-10-13,86,76.0,,0.76,65.36
2016-10-14,79,76.0,,0.76,60.04
2016-10-15,92,76.0,,0.76,69.92
2016-10-16,92,76.0,,0.76,69.92
2016-10-17,90,76.0,,0.76,68.4
2016-10-18,87,76.0,,0.76,66.12
2016-10-19,88,76.0,,0.76,66.88
2016-10-20,81,76.0,,0.76,61.56
2016-10-21,86,76.0,,0.76,65.36
2016-10-22,92,76.0,,0.76,69.92
2016-10-23,86,76.0,,0.76,65.36
2016-10-24,83,76.0,,0.76,63.08
2016-10-25,90,76.0,,0.76,68.4
2016-10-26,93,76.0,,0.76,70.68
2016-10-27,78,76.0,,0.76,59.28
2016-10-28,81,76.0,,0.76,61.56
2016-10-29,87,76.0,,0.76,66.12
2016-10-30,87,76.0,,0.76,66.12
2016-10-31,78,76.0,,0.76,59.28
2016-11-01,91,70.0,False,0.7,63.699999999999996
2016-11-02,81,70.0,,0.7,56.699999999999996
2016-11-03,81,70.0,,0.7,56.699999999999996
2016-11-04,86,70.0,,0.7,60.199999999999996
2016-11-05,96,70.0,,0.7,67.19999999999999
2016-11-06,94,70.0,,0.7,65.8
2016-11-07,78,70.0,,0.7,54.599999999999994
2016-11-08,74,70.0,,0.7,51.8
2016-11-09,55,70.0,,0.7,38.5
2016-11-10,76,70.0,,0.7,53.199999999999996
2016-11-11,82,70.0,,0.7,57.4
2016-11-12,81,70.0,,0.7,56.699999999999996
2016-11-13,78,70.0,,0.7,54.599999999999994
2016-11-14,88,70.0,,0.7,61.599999999999994
2016-11-15,85,70.0,,0.7,59.49999999999999
2016-11-16,86,70.0,,0.7,60.199999999999996
2016-11-17,81,70.0,,0.7,56.699999999999996
2016-11-18,81,70.0,,0.7,56.699999999999996
2016-11-19,89,70.0,,0.7,62.3
2016-11-20,95,70.0,,0.7,66.5
2016-11-21,100,70.0,,0.7,70.0
2016-11-22,89,70.0,,0.7,62.3
2016-11-23,89,70.0,,0.7,62.3
2016-11-24,78,70.0,,0.7,54.599999999999994
2016-11-25,77,70.0,,0.7,53.9
2016-11-26,90,70.0,,0.7,62.99999999999999
2016-11-27,88,70.0,,0.7,61.599999999999994
2016-11-28,87,70.0,,0.7,60.9
2016-11-29,88,70.0,,0.7,61.599999999999994
2016-11-30,85,70.0,,0.7,59.49999999999999
2016-12-01,78,74.0,False,0.74,57.72
2016-12-02,78,74.0,,0.74,57.72
2016-12-03,90,74.0,,0.74,66.6
2016-12-04,77,74.0,,0.74,56.98
2016-12-05,75,74.0,,0.74,55.5
2016-12-06,80,74.0,,0.74,59.2
2016-12-07,74,74.0,,0.74,54.76
2016-12-08,81,74.0,,0.74,59.94
2016-12-09,81,74.0,,0.74,59.94
2016-12-10,87,74.0,,0.74,64.38
2016-12-11,95,74.0,,0.74,70.3
2016-12-12,88,74.0,,0.74,65.12
2016-12-13,90,74.0,,0.74,66.6
2016-12-14,86,74.0,,0.74,63.64
2016-12-15,85,74.0,,0.74,62.9
2016-12-16,75,74.0,,0.74,55.5
2016-12-17,78,74.0,,0.74,57.72
2016-12-18,84,74.0,,0.74,62.16
2016-12-19,92,74.0,,0.74,68.08
2016-12-20,79,74.0,,0.74,58.46
2016-12-21,79,74.0,,0.74,58.46
2016-12-22,76,74.0,,0.74,56.24
2016-12-23,75,74.0,,0.74,55.5
2016-12-24,73,74.0,,0.74,54.019999999999996
2016-12-25,81,74.0,,0.74,59.94
2016-12-26,88,74.0,,0.74,65.12
2016-12-27,100,74.0,,0.74,74.0
2016-12-28,96,74.0,,0.74,71.03999999999999
2016-12-29,86,74.0,,0.74,63.64
2016-12-30,80,74.0,,0.74,59.2
2016-12-31,83,74.0,,0.74,61.42
2017-01-01,87,77.0,False,0.77,66.99
2017-01-02,93,77.0,,0.77,71.61
2017-01-03,81,77.0,,0.77,62.370000000000005
2017-01-04,93,77.0,,0.77,71.61
2017-01-05,100,77.0,,0.77,77.0
2017-01-06,95,77.0,,0.77,73.15
2017-01-07,98,77.0,,0.77,75.46000000000001
2017-01-08,96,77.0,,0.77,73.92
2017-01-09,96,77.0,,0.77,73.92
2017-01-10,99,77.0,,0.77,76.23
2017-01-11,92,77.0,,0.77,70.84
2017-01-12,78,77.0,,0.77,60.06
2017-01-13,85,77.0,,0.77,65.45
2017-01-14,81,77.0,,0.77,62.370000000000005
2017-01-15,88,77.0,,0.77,67.76
2017-01-16,88,77.0,,0.77,67.76
2017-01-17,80,77.0,,0.77,61.6
2017-01-18,96,77.0,,0.77,73.92
2017-01-19,86,77.0,,0.77,66.22
2017-01-20,79,77.0,,0.77,60.83
2017-01-21,89,77.0,,0.77,68.53
2017-01-22,89,77.0,,0.77,68.53
2017-01-23,86,77.0,,0.77,66.22
2017-01-24,89,77.0,,0.77,68.53
2017-01-25,82,77.0,,0.77,63.14
2017-01-26,87,77.0,,0.77,66.99
2017-01-27,79,77.0,,0.77,60.83
2017-01-28,85,77.0,,0.77,65.45
2017-01-29,98,77.0,,0.77,75.46000000000001
2017-01-30,90,77.0,,0.77,69.3
2017-01-31,91,77.0,,0.77,70.07000000000001
2017-02-01,84,71.0,False,0.71,59.64
2017-02-02,89,71.0,,0.71,63.19
2017-02-03,85,71.0,,0.71,60.349999999999994
2017-02-04,84,71.0,,0.71,59.64
2017-02-05,93,71.0,,0.71,66.03
2017-02-06,82,71.0,,0.71,58.22
2017-02-07,86,71.0,,0.71,61.059999999999995
2017-02-08,77,71.0,,0.71,54.669999999999995
2017-02-09,80,71.0,,0.71,56.8
2017-02-10,87,71.0,,0.71,61.769999999999996
2017-02-11,98,71.0,,0.71,69.58
2017-02-12,92,71.0,,0.71,65.32
2017-02-13,94,71.0,,0.71,66.74
2017-02-14,91,71.0,,0.71,64.61
2017-02-15,87,71.0,,0.71,61.769999999999996
2017-02-16,88,71.0,,0.71,62.48
2017-02-17,83,71.0,,0.71,58.93
2017-02-18,89,71.0,,0.71,63.19
2017-02-19,78,71.0,,0.71,55.379999999999995
2017-02-20,86,71.0,,0.71,61.059999999999995
2017-02-21,86,71.0,,0.71,61.059999999999995
2017-02-22,87,71.0,,0.71,61.769999999999996
2017-02-23,100,71.0,,0.71,71.0
2017-02-24,90,71.0,,0.71,63.9
2017-02-25,89,71.0,,0.71,63.19
2017-02-26,83,71.0,,0.71,58.93
2017-02-27,89,71.0,,0.71,63.19
2017-02-28,83,71.0,,0.71,58.93
2017-03-01,80,84.0,False,0.84,67.2
2017-03-02,86,84.0,,0.84,72.24
2017-03-03,76,84.0,,0.84,63.839999999999996
2017-03-04,84,84.0,,0.84,70.56
2017-03-05,82,84.0,,0.84,68.88
2017-03-06,86,84.0,,0.84,72.24
2017-03-07,75,84.0,,0.84,63.0
2017-03-08,76,84.0,,0.84,63.839999999999996
2017-03-09,94,84.0,,0.84,78.96
2017-03-10,96,84.0,,0.84,80.64
2017-03-11,100,84.0,,0.84,84.0
2017-03-12,96,84.0,,0.84,80.64
2017-03-13,88,84.0,,0.84,73.92
2017-03-14,81,84.0,,0.84,68.03999999999999
2017-03-15,88,84.0,,0.84,73.92
2017-03-16,78,84.0,,0.84,65.52
2017-03-17,86,84.0,,0.84,72.24
2017-03-18,90,84.0,,0.84,75.6
2017-03-19,77,84.0,,0.84,64.67999999999999
2017-03-20,91,84.0,,0.84,76.44
2017-03-21,85,84.0,,0.84,71.39999999999999
2017-03-22,80,84.0,,0.84,67.2
2017-03-23,81,84.0,,0.84,68.03999999999999
2017-03-24,82,84.0,,0.84,68.88
2017-03-25,83,84.0,,0.84,69.72
2017-03-26,83,84.0,,0.84,69.72
2017-03-27,82,84.0,,0.84,68.88
2017-03-28,97,84.0,,0.84,81.48
2017-03-29,80,84.0,,0.84,67.2
2017-03-30,82,84.0,,0.84,68.88
2017-03-31,93,84.0,,0.84,78.11999999999999
2017-04-01,70,84.0,False,0.84,58.8
2017-04-02,58,84.0,,0.84,48.72
2017-04-03,69,84.0,,0.84,57.96
2017-04-04,59,84.0,,0.84,49.559999999999995
2017-04-05,60,84.0,,0.84,50.4
2017-04-06,61,84.0,,0.84,51.239999999999995
2017-04-07,65,84.0,,0.84,54.6
2017-04-08,69,84.0,,0.84,57.96
2017-04-09,57,84.0,,0.84,47.879999999999995
2017-04-10,58,84.0,,0.84,48.72
2017-04-11,62,84.0,,0.84,52.08
2017-04-12,58,84.0,,0.84,48.72
2017-04-13,60,84.0,,0.84,50.4
2017-04-14,57,84.0,,0.84,47.879999999999995
2017-04-15,58,84.0,,0.84,48.72
2017-04-16,60,84.0,,0.84,50.4
2017-04-17,58,84.0,,0.84,48.72
2017-04-18,59,84.0,,0.84,49.559999999999995
2017-04-19,89,84.0,,0.84,74.75999999999999
2017-04-20,76,84.0,,0.84,63.839999999999996
2017-04-21,66,84.0,,0.84,55.44
2017-04-22,65,84.0,,0.84,54.6
2017-04-23,64,84.0,,0.84,53.76
2017-04-24,60,84.0,,0.84,50.4
2017-04-25,63,84.0,,0.84,52.919999999999995
2017-04-26,58,84.0,,0.84,48.72
2017-04-27,71,84.0,,0.84,59.64
2017-04-28,96,84.0,,0.84,80.64
2017-04-29,100,84.0,,0.84,84.0
2017-04-30,69,84.0,,0.84,57.96
2017-05-01,100,76.0,False,0.76,76.0
2017-05-02,87,76.0,,0.76,66.12
2017-05-03,89,76.0,,0.76,67.64
2017-05-04,88,76.0,,0.76,66.88
2017-05-05,81,76.0,,0.76,61.56
2017-05-06,79,76.0,,0.76,60.04
2017-05-07,80,76.0,,0.76,60.8
2017-05-08,79,76.0,,0.76,60.04
2017-05-09,86,76.0,,0.76,65.36
2017-05-10,76,76.0,,0.76,57.76
2017-05-11,80,76.0,,0.76,60.8
2017-05-12,95,76.0,,0.76,72.2
2017-05-13,80,76.0,,0.76,60.8
2017-05-14,78,76.0,,0.76,59.28
2017-05-15,74,76.0,,0.76,56.24
2017-05-16,85,76.0,,0.76,64.6
2017-05-17,90,76.0,,0.76,68.4
2017-05-18,70,76.0,,0.76,53.2
2017-05-19,79,76.0,,0.76,60.04
2017-05-20,83,76.0,,0.76,63.08
2017-05-21,83,76.0,,0.76,63.08
2017-05-22,79,76.0,,0.76,60.04
2017-05-23,93,76.0,,0.76,70.68
2017-05-24,72,76.0,,0.76,54.72
2017-05-25,90,76.0,,0.76,68.4
2017-05-26,81,76.0,,0.76,61.56
2017-05-27,78,76.0,,0.76,59.28
2017-05-28,81,76.0,,0.76,61.56
2017-05-29,83,76.0,,0.76,63.08
2017-05-30,78,76.0,,0.76,59.28
2017-05-31,76,76.0,,0.76,57.76
2017-06-01,88,76.0,False,0.76,66.88
2017-06-02,78,76.0,,0.76,59.28
2017-06-03,88,76.0,,0.76,66.88
2017-06-04,70,76.0,,0.76,53.2
2017-06-05,86,76.0,,0.76,65.36
2017-06-06,84,76.0,,0.76,63.84
2017-06-07,84,76.0,,0.76,63.84
2017-06-08,86,76.0,,0.76,65.36
2017-06-09,82,76.0,,0.76,62.32
2017-06-10,79,76.0,,0.76,60.04
2017-06-11,69,76.0,,0.76,52.44
2017-06-12,83,76.0,,0.76,63.08
2017-06-13,86,76.0,,0.76,65.36
2017-06-14,75,76.0,,0.76,57.0
2017-06-15,78,76.0,,0.76,59.28
2017-06-16,75,76.0,,0.76,57.0
2017-06-17,83,76.0,,0.76,63.08
2017-06-18,91,76.0,,0.76,69.16
2017-06-19,83,76.0,,0.76,63.08
2017-06-20,84,76.0,,0.76,63.84
2017-06-21,88,76.0,,0.76,66.88
2017-06-22,74,76.0,,0.76,56.24
2017-06-23,88,76.0,,0.76,66.88
2017-06-24,93,76.0,,0.76,70.68
2017-06-25,98,76.0,,0.76,74.48
2017-06-26,85,76.0,,0.76,64.6
2017-06-27,87,76.0,,0.76,66.12
2017-06-28,95,76.0,,0.76,72.2
2017-06-29,100,76.0,,0.76,76.0
2017-06-30,81,76.0,,0.76,61.56
2017-07-01,79,74.0,False,0.74,58.46
2017-07-02,76,74.0,,0.74,56.24
2017-07-03,80,74.0,,0.74,59.2
2017-07-04,82,74.0,,0.74,60.68
2017-07-05,82,74.0,,0.74,60.68
2017-07-06,97,74.0,,0.74,71.78
2017-07-07,100,74.0,,0.74,74.0
2017-07-08,93,74.0,,0.74,68.82
2017-07-09,87,74.0,,0.74,64.38
2017-07-10,98,74.0,,0.74,72.52
2017-07-11,87,74.0,,0.74,64.38
2017-07-12,88,74.0,,0.74,65.12
2017-07-13,81,74.0,,0.74,59.94
2017-07-14,93,74.0,,0.74,68.82
2017-07-15,96,74.0,,0.74,71.03999999999999
2017-07-16,99,74.0,,0.74,73.26
2017-07-17,94,74.0,,0.74,69.56
2017-07-18,77,74.0,,0.74,56.98
2017-07-19,89,74.0,,0.74,65.86
2017-07-20,88,74.0,,0.74,65.12
2017-07-21,83,74.0,,0.74,61.42
2017-07-22,85,74.0,,0.74,62.9
2017-07-23,86,74.0,,0.74,63.64
2017-07-24,95,74.0,,0.74,70.3
2017-07-25,90,74.0,,0.74,66.6
2017-07-26,89,74.0,,0.74,65.86
2017-07-27,86,74.0,,0.74,63.64
2017-07-28,92,74.0,,0.74,68.08
2017-07-29,99,74.0,,0.74,73.26
2017-07-30,86,74.0,,0.74,63.64
2017-07-31,99,74.0,,0.74,73.26
2017-08-01,76,82.0,False,0.82,62.31999999999999
2017-08-02,83,82.0,,0.82,68.06
2017-08-03,78,82.0,,0.82,63.959999999999994
2017-08-04,84,82.0,,0.82,68.88
2017-08-05,87,82.0,,0.82,71.33999999999999
2017-08-06,82,82.0,,0.82,67.24
2017-08-07,87,82.0,,0.82,71.33999999999999
2017-08-08,87,82.0,,0.82,71.33999999999999
2017-08-09,86,82.0,,0.82,70.52
2017-08-10,89,82.0,,0.82,72.97999999999999
2017-08-11,88,82.0,,0.82,72.16
2017-08-12,95,82.0,,0.82,77.89999999999999
2017-08-13,83,82.0,,0.82,68.06
2017-08-14,76,82.0,,0.82,62.31999999999999
2017-08-15,79,82.0,,0.82,64.78
2017-08-16,84,82.0,,0.82,68.88
2017-08-17,80,82.0,,0.82,65.6
2017-08-18,79,82.0,,0.82,64.78
2017-08-19,89,82.0,,0.82,72.97999999999999
2017-08-20,75,82.0,,0.82,61.49999999999999
2017-08-21,67,82.0,,0.82,54.94
2017-08-22,77,82.0,,0.82,63.13999999999999
2017-08-23,76,82.0,,0.82,62.31999999999999
2017-08-24,83,82.0,,0.82,68.06
2017-08-25,72,82.0,,0.82,59.04
2017-08-26,71,82.0,,0.82,58.22
2017-08-27,71,82.0,,0.82,58.22
2017-08-28,76,82.0,,0.82,62.31999999999999
2017-08-29,75,82.0,,0.82,61.49999999999999
2017-08-30,100,82.0,,0.82,82.0
2017-08-31,75,82.0,,0.82,61.49999999999999
2017-09-01,83,81.0,False,0.81,67.23
2017-09-02,86,81.0,,0.81,69.66000000000001
2017-09-03,91,81.0,,0.81,73.71000000000001
2017-09-04,80,81.0,,0.81,64.80000000000001
2017-09-05,92,81.0,,0.81,74.52000000000001
2017-09-06,82,81.0,,0.81,66.42
2017-09-07,86,81.0,,0.81,69.66000000000001
2017-09-08,82,81.0,,0.81,66.42
2017-09-09,94,81.0,,0.81,76.14
2017-09-10,89,81.0,,0.81,72.09
2017-09-11,94,81.0,,0.81,76.14
2017-09-12,93,81.0,,0.81,75.33
2017-09-13,92,81.0,,0.81,74.52000000000001
2017-09-14,84,81.0,,0.81,68.04
2017-09-15,100,81.0,,0.81,81.0
2017-09-16,92,81.0,,0.81,74.52000000000001
2017-09-17,89,81.0,,0.81,72.09
2017-09-18,81,81.0,,0.81,65.61
2017-09-19,89,81.0,,0.81,72.09
2017-09-20,78,81.0,,0.81,63.18000000000001
2017-09-21,82,81.0,,0.81,66.42
2017-09-22,87,81.0,,0.81,70.47
2017-09-23,100,81.0,,0.81,81.0
2017-09-24,82,81.0,,0.81,66.42
2017-09-25,91,81.0,,0.81,73.71000000000001
2017-09-26,81,81.0,,0.81,65.61
2017-09-27,81,81.0,,0.81,65.61
2017-09-28,80,81.0,,0.81,64.80000000000001
2017-09-29,84,81.0,,0.81,68.04
2017-09-30,85,81.0,,0.81,68.85000000000001
2017-10-01,85,82.0,False,0.82,69.7
2017-10-02,73,82.0,,0.82,59.86
2017-10-03,66,82.0,,0.82,54.12
2017-10-04,85,82.0,,0.82,69.7
2017-10-05,90,82.0,,0.82,73.8
2017-10-06,86,82.0,,0.82,70.52
2017-10-07,83,82.0,,0.82,68.06
2017-10-08,77,82.0,,0.82,63.13999999999999
2017-10-09,78,82.0,,0.82,63.959999999999994
2017-10-10,80,82.0,,0.82,65.6
2017-10-11,79,82.0,,0.82,64.78
2017-10-12,95,82.0,,0.82,77.89999999999999
2017-10-13,90,82.0,,0.82,73.8
2017-10-14,100,82.0,,0.82,82.0
2017-10-15,91,82.0,,0.82,74.61999999999999
2017-10-16,78,82.0,,0.82,63.959999999999994
2017-10-17,77,82.0,,0.82,63.13999999999999
2017-10-18,74,82.0,,0.82,60.68
2017-10-19,92,82.0,,0.82,75.44
2017-10-20,88,82.0,,0.82,72.16
2017-10-21,78,82.0,,0.82,63.959999999999994
2017-10-22,76,82.0,,0.82,62.31999999999999
2017-10-23,69,82.0,,0.82,56.58
2017-10-24,82,82.0,,0.82,67.24
2017-10-25,77,82.0,,0.82,63.13999999999999
2017-10-26,75,82.0,,0.82,61.49999999999999
2017-10-27,82,82.0,,0.82,67.24
2017-10-28,92,82.0,,0.82,75.44
2017-10-29,87,82.0,,0.82,71.33999999999999
2017-10-30,67,82.0,,0.82,54.94
2017-10-31,76,82.0,,0.82,62.31999999999999
2017-11-01,78,74.0,False,0.74,57.72
2017-11-02,82,74.0,,0.74,60.68
2017-11-03,77,74.0,,0.74,56.98
2017-11-04,96,74.0,,0.74,71.03999999999999
2017-11-05,89,74.0,,0.74,65.86
2017-11-06,81,74.0,,0.74,59.94
2017-11-07,74,74.0,,0.74,54.76
2017-11-08,77,74.0,,0.74,56.98
2017-11-09,77,74.0,,0.74,56.98
2017-11-10,80,74.0,,0.74,59.2
2017-11-11,85,74.0,,0.74,62.9
2017-11-12,83,74.0,,0.74,61.42
2017-11-13,81,74.0,,0.74,59.94
2017-11-14,91,74.0,,0.74,67.34
2017-11-15,79,74.0,,0.74,58.46
2017-11-16,77,74.0,,0.74,56.98
2017-11-17,85,74.0,,0.74,62.9
2017-11-18,90,74.0,,0.74,66.6
2017-11-19,78,74.0,,0.74,57.72
2017-11-20,73,74.0,,0.74,54.019999999999996
2017-11-21,80,74.0,,0.74,59.2
2017-11-22,84,74.0,,0.74,62.16
2017-11-23,77,74.0,,0.74,56.98
2017-11-24,90,74.0,,0.74,66.6
2017-11-25,76,74.0,,0.74,56.24
2017-11-26,92,74.0,,0.74,68.08
2017-11-27,83,74.0,,0.74,61.42
2017-11-28,100,74.0,,0.74,74.0
2017-11-29,83,74.0,,0.74,61.42
2017-11-30,75,74.0,,0.74,55.5
2017-12-01,74,73.0,False,0.73,54.019999999999996
2017-12-02,82,73.0,,0.73,59.86
2017-12-03,86,73.0,,0.73,62.78
2017-12-04,84,73.0,,0.73,61.32
2017-12-05,75,73.0,,0.73,54.75
2017-12-06,88,73.0,,0.73,64.24
2017-12-07,85,73.0,,0.73,62.05
2017-12-08,78,73.0,,0.73,56.94
2017-12-09,91,73.0,,0.73,66.42999999999999
2017-12-10,77,73.0,,0.73,56.21
2017-12-11,68,73.0,,0.73,49.64
2017-12-12,80,73.0,,0.73,58.4
2017-12-13,73,73.0,,0.73,53.29
2017-12-14,80,73.0,,0.73,58.4
2017-12-15,76,73.0,,0.73,55.48
2017-12-16,87,73.0,,0.73,63.51
2017-12-17,80,73.0,,0.73,58.4
2017-12-18,79,73.0,,0.73,57.67
2017-12-19,86,73.0,,0.73,62.78
2017-12-20,94,73.0,,0.73,68.62
2017-12-21,92,73.0,,0.73,67.16
2017-12-22,76,73.0,,0.73,55.48
2017-12-23,82,73.0,,0.73,59.86
2017-12-24,76,73.0,,0.73,55.48
2017-12-25,70,73.0,,0.73,51.1
2017-12-26,84,73.0,,0.73,61.32
2017-12-27,84,73.0,,0.73,61.32
2017-12-28,98,73.0,,0.73,71.53999999999999
2017-12-29,88,73.0,,0.73,64.24
