date,HUBS_unscaled,HUBS_monthly,isPartial,scale,HUBS
2016-07-22,60,73.0,,0.73,43.8
2016-07-23,69,73.0,,0.73,50.37
2016-07-24,77,73.0,,0.73,56.21
2016-07-25,63,73.0,,0.73,45.99
2016-07-26,63,73.0,,0.73,45.99
2016-07-27,100,73.0,,0.73,73.0
2016-07-28,70,73.0,,0.73,51.1
2016-07-29,60,73.0,,0.73,43.8
2016-07-30,75,73.0,,0.73,54.75
2016-07-31,79,73.0,,0.73,57.67
2016-08-01,67,79.0,False,0.79,52.93
2016-08-02,69,79.0,,0.79,54.510000000000005
2016-08-03,81,79.0,,0.79,63.99
2016-08-04,73,79.0,,0.79,57.67
2016-08-05,84,79.0,,0.79,66.36
2016-08-06,62,79.0,,0.79,48.980000000000004
2016-08-07,79,79.0,,0.79,62.410000000000004
2016-08-08,73,79.0,,0.79,57.67
2016-08-09,68,79.0,,0.79,53.72
2016-08-10,83,79.0,,0.79,65.57000000000001
2016-08-11,82,79.0,,0.79,64.78
2016-08-12,83,79.0,,0.79,65.57000000000001
2016-08-13,100,79.0,,0.79,79.0
2016-08-14,95,79.0,,0.79,75.05
2016-08-15,70,79.0,,0.79,55.300000000000004
2016-08-16,71,79.0,,0.79,56.09
2016-08-17,65,79.0,,0.79,51.35
2016-08-18,92,79.0,,0.79,72.68
2016-08-19,64,79.0,,0.79,50.56
2016-08-20,68,79.0,,0.79,53.72
2016-08-21,70,79.0,,0.79,55.300000000000004
2016-08-22,96,79.0,,0.79,75.84
2016-08-23,93,79.0,,0.79,73.47
2016-08-24,74,79.0,,0.79,58.46
2016-08-25,70,79.0,,0.79,55.300000000000004
2016-08-26,82,79.0,,0.79,64.78
2016-08-27,85,79.0,,0.79,67.15
2016-08-28,83,79.0,,0.79,65.57000000000001
2016-08-29,69,79.0,,0.79,54.510000000000005
2016-08-30,76,79.0,,0.79,60.040000000000006
2016-08-31,70,79.0,,0.79,55.300000000000004
2016-09-01,63,76.0,False,0.76,47.88
2016-09-02,71,76.0,,0.76,53.96
2016-09-03,59,76.0,,0.76,44.84
2016-09-04,63,76.0,,0.76,47.88
2016-09-05,53,76.0,,0.76,40.28
2016-09-06,72,76.0,,0.76,54.72
2016-09-07,64,76.0,,0.76,48.64
2016-09-08,100,76.0,,0.76,76.0
2016-09-09,70,76.0,,0.76,53.2
2016-09-10,70,76.0,,0.76,53.2
2016-09-11,65,76.0,,0.76,49.4
2016-09-12,70,76.0,,0.76,53.2
2016-09-13,72,76.0,,0.76,54.72
2016-09-14,58,76.0,,0.76,44.08
2016-09-15,67,76.0,,0.76,50.92
2016-09-16,73,76.0,,0.76,55.480000000000004
2016-09-17,80,76.0,,0.76,60.8
2016-09-18,75,76.0,,0.76,57.0
2016-09-19,77,76.0,,0.76,58.52
2016-09-20,67,76.0,,0.76,50.92
2016-09-21,75,76.0,,0.76,57.0
2016-09-22,66,76.0,,0.76,50.160000000000004
2016-09-23,54,76.0,,0.76,41.04
2016-09-24,45,76.0,,0.76,34.2
2016-09-25,62,76.0,,0.76,47.12
2016-09-26,72,76.0,,0.76,54.72
2016-09-27,74,76.0,,0.76,56.24
2016-09-28,62,76.0,,0.76,47.12
2016-09-29,72,76.0,,0.76,54.72
2016-09-30,66,76.0,,0.76,50.160000000000004
2016-10-01,76,79.0,False,0.79,60.040000000000006
2016-10-02,71,79.0,,0.79,56.09
2016-10-03,100,79.0,,0.79,79.0
2016-10-04,83,79.0,,0.79,65.57000000000001
2016-10-05,79,79.0,,0.79,62.410000000000004
2016-10-06,70,79.0,,0.79,55.300000000000004
2016-10-07,81,79.0,,0.79,63.99
2016-10-08,91,79.0,,0.79,71.89
2016-10-09,49,79.0,,0.79,38.71
2016-10-10,69,79.0,,0.79,54.510000000000005
2016-10-11,68,79.0,,0.79,53.72
2016-10-12,71,79.0,,0.79,56.09
2016-10-13,78,79.0,,0.79,61.620000000000005
2016-10-14,85,79.0,,0.79,67.15
2016-10-15,78,79.0,,0.79,61.620000000000005
2016-10-16,94,79.0,,0.79,74.26
2016-10-17,90,79.0,,0.79,71.10000000000001
2016-10-18,85,79.0,,0.79,67.15
2016-10-19,66,79.0,,0.79,52.14
2016-10-20,92,79.0,,0.79,72.68
2016-10-21,83,79.0,,0.79,65.57000000000001
2016-10-22,74,79.0,,0.79,58.46
2016-10-23,88,79.0,,0.79,69.52000000000001
2016-10-24,77,79.0,,0.79,60.830000000000005
2016-10-25,81,79.0,,0.79,63.99
2016-10-26,79,79.0,,0.79,62.410000000000004
2016-10-27,86,79.0,,0.79,67.94
2016-10-28,89,79.0,,0.79,70.31
2016-10-29,92,79.0,,0.79,72.68
2016-10-30,78,79.0,,0.79,61.620000000000005
2016-10-31,68,79.0,,0.79,53.72
2016-11-01,76,81.0,False,0.81,61.56
2016-11-02,86,81.0,,0.81,69.66000000000001
2016-11-03,74,81.0,,0.81,59.940000000000005
2016-11-04,83,81.0,,0.81,67.23
2016-11-05,83,81.0,,0.81,67.23
2016-11-06,71,81.0,,0.81,57.510000000000005
2016-11-07,74,81.0,,0.81,59.940000000000005
2016-11-08,85,81.0,,0.81,68.85000000000001
2016-11-09,60,81.0,,0.81,48.6
2016-11-10,82,81.0,,0.81,66.42
2016-11-11,68,81.0,,0.81,55.080000000000005
2016-11-12,72,81.0,,0.81,58.32000000000001
2016-11-13,68,81.0,,0.81,55.080000000000005
2016-11-14,77,81.0,,0.81,62.370000000000005
2016-11-15,79,81.0,,0.81,63.99
2016-11-16,87,81.0,,0.81,70.47
2016-11-17,83,81.0,,0.81,67.23
2016-11-18,77,81.0,,0.81,62.370000000000005
2016-11-19,100,81.0,,0.81,81.0
2016-11-20,79,81.0,,0.81,63.99
2016-11-21,83,81.0,,0.81,67.23
2016-11-22,65,81.0,,0.81,52.650000000000006
2016-11-23,72,81.0,,0.81,58.32000000000001
2016-11-24,73,81.0,,0.81,59.13
2016-11-25,71,81.0,,0.81,57.510000000000005
2016-11-26,71,81.0,,0.81,57.510000000000005
2016-11-27,83,81.0,,0.81,67.23
2016-11-28,90,81.0,,0.81,72.9
2016-11-29,83,81.0,,0.81,67.23
2016-11-30,89,81.0,,0.81,72.09
2016-12-01,72,87.0,False,0.87,62.64
2016-12-02,71,87.0,,0.87,61.77
2016-12-03,71,87.0,,0.87,61.77
2016-12-04,79,87.0,,0.87,68.73
2016-12-05,72,87.0,,0.87,62.64
2016-12-06,82,87.0,,0.87,71.34
2016-12-07,86,87.0,,0.87,74.82
2016-12-08,75,87.0,,0.87,65.25
2016-12-09,87,87.0,,0.87,75.69
2016-12-10,66,87.0,,0.87,57.42
2016-12-11,67,87.0,,0.87,58.29
2016-12-12,81,87.0,,0.87,70.47
2016-12-13,83,87.0,,0.87,72.21
2016-12-14,83,87.0,,0.87,72.21
2016-12-15,83,87.0,,0.87,72.21
2016-12-16,81,87.0,,0.87,70.47
2016-12-17,100,87.0,,0.87,87.0
2016-12-18,77,87.0,,0.87,66.99
2016-12-19,75,87.0,,0.87,65.25
2016-12-20,65,87.0,,0.87,56.55
2016-12-21,67,87.0,,0.87,58.29
2016-12-22,82,87.0,,0.87,71.34
2016-12-23,78,87.0,,0.87,67.86
2016-12-24,54,87.0,,0.87,46.98
2016-12-25,54,87.0,,0.87,46.98
2016-12-26,57,87.0,,0.87,49.589999999999996
2016-12-27,75,87.0,,0.87,65.25
2016-12-28,75,87.0,,0.87,65.25
2016-12-29,83,87.0,,0.87,72.21
2016-12-30,84,87.0,,0.87,73.08
2016-12-31,69,87.0,,0.87,60.03
2017-01-01,63,87.0,False,0.87,54.81
2017-01-02,71,87.0,,0.87,61.77
2017-01-03,90,87.0,,0.87,78.3
2017-01-04,80,87.0,,0.87,69.6
2017-01-05,87,87.0,,0.87,75.69
2017-01-06,69,87.0,,0.87,60.03
2017-01-07,73,87.0,,0.87,63.51
2017-01-08,100,87.0,,0.87,87.0
2017-01-09,57,87.0,,0.87,49.589999999999996
2017-01-10,75,87.0,,0.87,65.25
2017-01-11,71,87.0,,0.87,61.77
2017-01-12,68,87.0,,0.87,59.16
2017-01-13,57,87.0,,0.87,49.589999999999996
2017-01-14,71,87.0,,0.87,61.77
2017-01-15,89,87.0,,0.87,77.42999999999999
2017-01-16,68,87.0,,0.87,59.16
2017-01-17,55,87.0,,0.87,47.85
2017-01-18,69,87.0,,0.87,60.03
2017-01-19,76,87.0,,0.87,66.12
2017-01-20,78,87.0,,0.87,67.86
2017-01-21,77,87.0,,0.87,66.99
2017-01-22,50,87.0,,0.87,43.5
2017-01-23,73,87.0,,0.87,63.51
2017-01-24,77,87.0,,0.87,66.99
2017-01-25,90,87.0,,0.87,78.3
2017-01-26,73,87.0,,0.87,63.51
2017-01-27,61,87.0,,0.87,53.07
2017-01-28,68,87.0,,0.87,59.16
2017-01-29,73,87.0,,0.87,63.51
2017-01-30,64,87.0,,0.87,55.68
2017-01-31,69,87.0,,0.87,60.03
2017-02-01,94,87.0,False,0.87,81.78
2017-02-02,65,87.0,,0.87,56.55
2017-02-03,79,87.0,,0.87,68.73
2017-02-04,100,87.0,,0.87,87.0
2017-02-05,98,87.0,,0.87,85.26
2017-02-06,72,87.0,,0.87,62.64
2017-02-07,85,87.0,,0.87,73.95
2017-02-08,86,87.0,,0.87,74.82
2017-02-09,100,87.0,,0.87,87.0
2017-02-10,80,87.0,,0.87,69.6
2017-02-11,92,87.0,,0.87,80.04
2017-02-12,65,87.0,,0.87,56.55
2017-02-13,85,87.0,,0.87,73.95
2017-02-14,92,87.0,,0.87,80.04
2017-02-15,83,87.0,,0.87,72.21
2017-02-16,83,87.0,,0.87,72.21
2017-02-17,96,87.0,,0.87,83.52
2017-02-18,77,87.0,,0.87,66.99
2017-02-19,91,87.0,,0.87,79.17
2017-02-20,88,87.0,,0.87,76.56
2017-02-21,85,87.0,,0.87,73.95
2017-02-22,94,87.0,,0.87,81.78
2017-02-23,85,87.0,,0.87,73.95
2017-02-24,86,87.0,,0.87,74.82
2017-02-25,88,87.0,,0.87,76.56
2017-02-26,87,87.0,,0.87,75.69
2017-02-27,96,87.0,,0.87,83.52
2017-02-28,92,87.0,,0.87,80.04
2017-03-01,68,88.0,False,0.88,59.84
2017-03-02,78,88.0,,0.88,68.64
2017-03-03,74,88.0,,0.88,65.12
2017-03-04,77,88.0,,0.88,67.76
2017-03-05,65,88.0,,0.88,57.2
2017-03-06,87,88.0,,0.88,76.56
2017-03-07,63,88.0,,0.88,55.44
2017-03-08,74,88.0,,0.88,65.12
2017-03-09,68,88.0,,0.88,59.84
2017-03-10,93,88.0,,0.88,81.84
2017-03-11,61,88.0,,0.88,53.68
2017-03-12,82,88.0,,0.88,72.16
2017-03-13,100,88.0,,0.88,88.0
2017-03-14,76,88.0,,0.88,66.88
2017-03-15,81,88.0,,0.88,71.28
2017-03-16,75,88.0,,0.88,66.0
2017-03-17,87,88.0,,0.88,76.56
2017-03-18,68,88.0,,0.88,59.84
2017-03-19,71,88.0,,0.88,62.48
2017-03-20,86,88.0,,0.88,75.68
2017-03-21,76,88.0,,0.88,66.88
2017-03-22,68,88.0,,0.88,59.84
2017-03-23,61,88.0,,0.88,53.68
2017-03-24,81,88.0,,0.88,71.28
2017-03-25,90,88.0,,0.88,79.2
2017-03-26,87,88.0,,0.88,76.56
2017-03-27,75,88.0,,0.88,66.0
2017-03-28,74,88.0,,0.88,65.12
2017-03-29,79,88.0,,0.88,69.52
2017-03-30,70,88.0,,0.88,61.6
2017-03-31,70,88.0,,0.88,61.6
2017-04-01,79,85.0,False,0.85,67.14999999999999
2017-04-02,75,85.0,,0.85,63.75
2017-04-03,77,85.0,,0.85,65.45
2017-04-04,92,85.0,,0.85,78.2
2017-04-05,91,85.0,,0.85,77.35
2017-04-06,76,85.0,,0.85,64.6
2017-04-07,78,85.0,,0.85,66.3
2017-04-08,94,85.0,,0.85,79.89999999999999
2017-04-09,84,85.0,,0.85,71.39999999999999
2017-04-10,73,85.0,,0.85,62.05
2017-04-11,96,85.0,,0.85,81.6
2017-04-12,88,85.0,,0.85,74.8
2017-04-13,62,85.0,,0.85,52.699999999999996
2017-04-14,74,85.0,,0.85,62.9
2017-04-15,70,85.0,,0.85,59.5
2017-04-16,82,85.0,,0.85,69.7
2017-04-17,86,85.0,,0.85,73.1
2017-04-18,90,85.0,,0.85,76.5
2017-04-19,76,85.0,,0.85,64.6
2017-04-20,79,85.0,,0.85,67.14999999999999
2017-04-21,78,85.0,,0.85,66.3
2017-04-22,66,85.0,,0.85,56.1
2017-04-23,62,85.0,,0.85,52.699999999999996
2017-04-24,100,85.0,,0.85,85.0
2017-04-25,81,85.0,,0.85,68.85
2017-04-26,65,85.0,,0.85,55.25
2017-04-27,74,85.0,,0.85,62.9
2017-04-28,76,85.0,,0.85,64.6
2017-04-29,84,85.0,,0.85,71.39999999999999
2017-04-30,88,85.0,,0.85,74.8
2017-05-01,89,85.0,False,0.85,75.64999999999999
2017-05-02,73,85.0,,0.85,62.05
2017-05-03,88,85.0,,0.85,74.8
2017-05-04,88,85.0,,0.85,74.8
2017-05-05,99,85.0,,0.85,84.14999999999999
2017-05-06,77,85.0,,0.85,65.45
2017-05-07,70,85.0,,0.85,59.5
2017-05-08,67,85.0,,0.85,56.949999999999996
2017-05-09,65,85.0,,0.85,55.25
2017-05-10,82,85.0,,0.85,69.7
2017-05-11,76,85.0,,0.85,64.6
2017-05-12,97,85.0,,0.85,82.45
2017-05-13,65,85.0,,0.85,55.25
2017-05-14,78,85.0,,0.85,66.3
2017-05-15,90,85.0,,0.85,76.5
2017-05-16,84,85.0,,0.85,71.39999999999999
2017-05-17,82,85.0,,0.85,69.7
2017-05-18,92,85.0,,0.85,78.2
2017-05-19,59,85.0,,0.85,50.15
2017-05-20,74,85.0,,0.85,62.9
2017-05-21,83,85.0,,0.85,70.55
2017-05-22,100,85.0,,0.85,85.0
2017-05-23,88,85.0,,0.85,74.8
2017-05-24,87,85.0,,0.85,73.95
2017-05-25,79,85.0,,0.85,67.14999999999999
2017-05-26,78,85.0,,0.85,66.3
2017-05-27,74,85.0,,0.85,62.9
2017-05-28,90,85.0,,0.85,76.5
2017-05-29,66,85.0,,0.85,56.1
2017-05-30,90,85.0,,0.85,76.5
2017-05-31,68,85.0,,0.85,57.8
2017-06-01,71,83.0,False,0.83,58.93
2017-06-02,73,83.0,,0.83,60.589999999999996
2017-06-03,81,83.0,,0.83,67.22999999999999
2017-06-04,85,83.0,,0.83,70.55
2017-06-05,77,83.0,,0.83,63.91
2017-06-06,81,83.0,,0.83,67.22999999999999
2017-06-07,75,83.0,,0.83,62.25
2017-06-08,79,83.0,,0.83,65.57
2017-06-09,67,83.0,,0.83,55.61
2017-06-10,66,83.0,,0.83,54.779999999999994
2017-06-11,67,83.0,,0.83,55.61
2017-06-12,100,83.0,,0.83,83.0
2017-06-13,85,83.0,,0.83,70.55
2017-06-14,59,83.0,,0.83,48.97
2017-06-15,83,83.0,,0.83,68.89
2017-06-16,68,83.0,,0.83,56.44
2017-06-17,69,83.0,,0.83,57.269999999999996
2017-06-18,62,83.0,,0.83,51.46
2017-06-19,79,83.0,,0.83,65.57
2017-06-20,80,83.0,,0.83,66.39999999999999
2017-06-21,67,83.0,,0.83,55.61
2017-06-22,78,83.0,,0.83,64.74
2017-06-23,73,83.0,,0.83,60.589999999999996
2017-06-24,61,83.0,,0.83,50.629999999999995
2017-06-25,71,83.0,,0.83,58.93
2017-06-26,79,83.0,,0.83,65.57
2017-06-27,84,83.0,,0.83,69.72
2017-06-28,94,83.0,,0.83,78.02
2017-06-29,74,83.0,,0.83,61.419999999999995
2017-06-30,72,83.0,,0.83,59.76
2017-07-01,63,84.0,False,0.84,52.919999999999995
2017-07-02,72,84.0,,0.84,60.48
2017-07-03,64,84.0,,0.84,53.76
2017-07-04,64,84.0,,0.84,53.76
2017-07-05,75,84.0,,0.84,63.0
2017-07-06,81,84.0,,0.84,68.03999999999999
2017-07-07,66,84.0,,0.84,55.44
2017-07-08,76,84.0,,0.84,63.839999999999996
2017-07-09,65,84.0,,0.84,54.6
2017-07-10,89,84.0,,0.84,74.75999999999999
2017-07-11,84,84.0,,0.84,70.56
2017-07-12,67,84.0,,0.84,56.28
2017-07-13,72,84.0,,0.84,60.48
2017-07-14,72,84.0,,0.84,60.48
2017-07-15,73,84.0,,0.84,61.32
2017-07-16,62,84.0,,0.84,52.08
2017-07-17,80,84.0,,0.84,67.2
2017-07-18,78,84.0,,0.84,65.52
2017-07-19,77,84.0,,0.84,64.67999999999999
2017-07-20,69,84.0,,0.84,57.96
2017-07-21,63,84.0,,0.84,52.919999999999995
2017-07-22,60,84.0,,0.84,50.4
2017-07-23,63,84.0,,0.84,52.919999999999995
2017-07-24,64,84.0,,0.84,53.76
2017-07-25,85,84.0,,0.84,71.39999999999999
2017-07-26,79,84.0,,0.84,66.36
2017-07-27,54,84.0,,0.84,45.36
2017-07-28,66,84.0,,0.84,55.44
2017-07-29,77,84.0,,0.84,64.67999999999999
2017-07-30,100,84.0,,0.84,84.0
2017-07-31,82,84.0,,0.84,68.88
2017-08-01,100,85.0,False,0.85,85.0
2017-08-02,82,85.0,,0.85,69.7
2017-08-03,68,85.0,,0.85,57.8
2017-08-04,68,85.0,,0.85,57.8
2017-08-05,71,85.0,,0.85,60.35
2017-08-06,73,85.0,,0.85,62.05
2017-08-07,51,85.0,,0.85,43.35
2017-08-08,81,85.0,,0.85,68.85
2017-08-09,71,85.0,,0.85,60.35
2017-08-10,72,85.0,,0.85,61.199999999999996
2017-08-11,72,85.0,,0.85,61.199999999999996
2017-08-12,86,85.0,,0.85,73.1
2017-08-13,76,85.0,,0.85,64.6
2017-08-14,76,85.0,,0.85,64.6
2017-08-15,65,85.0,,0.85,55.25
2017-08-16,52,85.0,,0.85,44.199999999999996
2017-08-17,77,85.0,,0.85,65.45
2017-08-18,73,85.0,,0.85,62.05
2017-08-19,58,85.0,,0.85,49.3
2017-08-20,54,85.0,,0.85,45.9
2017-08-21,68,85.0,,0.85,57.8
2017-08-22,82,85.0,,0.85,69.7
2017-08-23,83,85.0,,0.85,70.55
2017-08-24,74,85.0,,0.85,62.9
2017-08-25,58,85.0,,0.85,49.3
2017-08-26,46,85.0,,0.85,39.1
2017-08-27,68,85.0,,0.85,57.8
2017-08-28,80,85.0,,0.85,68.0
2017-08-29,78,85.0,,0.85,66.3
2017-08-30,73,85.0,,0.85,62.05
2017-08-31,63,85.0,,0.85,53.55
2017-09-01,79,81.0,False,0.81,63.99
2017-09-02,83,81.0,,0.81,67.23
2017-09-03,93,81.0,,0.81,75.33
2017-09-04,99,81.0,,0.81,80.19000000000001
2017-09-05,81,81.0,,0.81,65.61
2017-09-06,74,81.0,,0.81,59.940000000000005
2017-09-07,88,81.0,,0.81,71.28
2017-09-08,100,81.0,,0.81,81.0
2017-09-09,70,81.0,,0.81,56.7
2017-09-10,83,81.0,,0.81,67.23
2017-09-11,79,81.0,,0.81,63.99
2017-09-12,90,81.0,,0.81,72.9
2017-09-13,77,81.0,,0.81,62.370000000000005
2017-09-14,81,81.0,,0.81,65.61
2017-09-15,75,81.0,,0.81,60.75000000000001
2017-09-16,93,81.0,,0.81,75.33
2017-09-17,67,81.0,,0.81,54.27
2017-09-18,84,81.0,,0.81,68.04
2017-09-19,92,81.0,,0.81,74.52000000000001
2017-09-20,98,81.0,,0.81,79.38000000000001
2017-09-21,99,81.0,,0.81,80.19000000000001
2017-09-22,70,81.0,,0.81,56.7
2017-09-23,72,81.0,,0.81,58.32000000000001
2017-09-24,91,81.0,,0.81,73.71000000000001
2017-09-25,80,81.0,,0.81,64.80000000000001
2017-09-26,90,81.0,,0.81,72.9
2017-09-27,80,81.0,,0.81,64.80000000000001
2017-09-28,89,81.0,,0.81,72.09
2017-09-29,62,81.0,,0.81,50.220000000000006
2017-09-30,89,81.0,,0.81,72.09
2017-10-01,73,78.0,False,0.78,56.940000000000005
2017-10-02,78,78.0,,0.78,60.84
2017-10-03,91,78.0,,0.78,70.98
2017-10-04,99,78.0,,0.78,77.22
2017-10-05,86,78.0,,0.78,67.08
2017-10-06,83,78.0,,0.78,64.74000000000001
2017-10-07,91,78.0,,0.78,70.98
2017-10-08,61,78.0,,0.78,47.58
2017-10-09,83,78.0,,0.78,64.74000000000001
2017-10-10,80,78.0,,0.78,62.400000000000006
2017-10-11,81,78.0,,0.78,63.18
2017-10-12,92,78.0,,0.78,71.76
2017-10-13,69,78.0,,0.78,53.82
2017-10-14,84,78.0,,0.78,65.52
2017-10-15,93,78.0,,0.78,72.54
2017-10-16,88,78.0,,0.78,68.64
2017-10-17,84,78.0,,0.78,65.52
2017-10-18,70,78.0,,0.78,54.6
2017-10-19,76,78.0,,0.78,59.28
2017-10-20,91,78.0,,0.78,70.98
2017-10-21,84,78.0,,0.78,65.52
2017-10-22,71,78.0,,0.78,55.38
2017-10-23,73,78.0,,0.78,56.940000000000005
2017-10-24,80,78.0,,0.78,62.400000000000006
2017-10-25,89,78.0,,0.78,69.42
2017-10-26,100,78.0,,0.78,78.0
2017-10-27,70,78.0,,0.78,54.6
2017-10-28,57,78.0,,0.78,44.46
2017-10-29,82,78.0,,0.78,63.96
2017-10-30,50,78.0,,0.78,39.0
2017-10-31,88,78.0,,0.78,68.64
2017-11-01,76,82.0,False,0.82,62.31999999999999
2017-11-02,88,82.0,,0.82,72.16
2017-11-03,85,82.0,,0.82,69.7
2017-11-04,94,82.0,,0.82,77.08
2017-11-05,68,82.0,,0.82,55.76
2017-11-06,84,82.0,,0.82,68.88
2017-11-07,91,82.0,,0.82,74.61999999999999
2017-11-08,77,82.0,,0.82,63.13999999999999
2017-11-09,100,82.0,,0.82,82.0
2017-11-10,81,82.0,,0.82,66.42
2017-11-11,86,82.0,,0.82,70.52
2017-11-12,81,82.0,,0.82,66.42
2017-11-13,95,82.0,,0.82,77.89999999999999
2017-11-14,82,82.0,,0.82,67.24
2017-11-15,69,82.0,,0.82,56.58
2017-11-16,74,82.0,,0.82,60.68
2017-11-17,61,82.0,,0.82,50.019999999999996
2017-11-18,77,82.0,,0.82,63.13999999999999
2017-11-19,90,82.0,,0.82,73.8
2017-11-20,87,82.0,,0.82,71.33999999999999
2017-11-21,82,82.0,,0.82,67.24
2017-11-22,83,82.0,,0.82,68.06
2017-11-23,72,82.0,,0.82,59.04
2017-11-24,90,82.0,,0.82,73.8
2017-11-25,73,82.0,,0.82,59.86
2017-11-26,74,82.0,,0.82,60.68
2017-11-27,77,82.0,,0.82,63.13999999999999
2017-11-28,85,82.0,,0.82,69.7
2017-11-29,81,82.0,,0.82,66.42
2017-11-30,94,82.0,,0.82,77.08
2017-12-01,79,88.0,False,0.88,69.52
2017-12-02,73,88.0,,0.88,64.24
2017-12-03,72,88.0,,0.88,63.36
2017-12-04,89,88.0,,0.88,78.32000000000001
2017-12-05,80,88.0,,0.88,70.4
2017-12-06,97,88.0,,0.88,85.36
2017-12-07,64,88.0,,0.88,56.32
2017-12-08,70,88.0,,0.88,61.6
2017-12-09,71,88.0,,0.88,62.48
2017-12-10,97,88.0,,0.88,85.36
2017-12-11,87,88.0,,0.88,76.56
2017-12-12,75,88.0,,0.88,66.0
2017-12-13,65,88.0,,0.88,57.2
2017-12-14,70,88.0,,0.88,61.6
2017-12-15,74,88.0,,0.88,65.12
2017-12-16,84,88.0,,0.88,73.92
2017-12-17,95,88.0,,0.88,83.6
2017-12-18,80,88.0,,0.88,70.4
2017-12-19,60,88.0,,0.88,52.8
2017-12-20,90,88.0,,0.88,79.2
2017-12-21,88,88.0,,0.88,77.44
2017-12-22,83,88.0,,0.88,73.04
2017-12-23,82,88.0,,0.88,72.16
2017-12-24,83,88.0,,0.88,73.04
2017-12-25,70,88.0,,0.88,61.6
2017-12-26,89,88.0,,0.88,78.32000000000001
2017-12-27,100,88.0,,0.88,88.0
2017-12-28,82,88.0,,0.88,72.16
2017-12-29,82,88.0,,0.88,72.16
