date,FANG_unscaled,FANG_monthly,isPartial,scale,FANG
2017-05-31,83,35.0,,0.35,29.049999999999997
2017-06-01,68,37.0,False,0.37,25.16
2017-06-02,83,37.0,,0.37,30.71
2017-06-03,83,37.0,,0.37,30.71
2017-06-04,74,37.0,,0.37,27.38
2017-06-05,75,37.0,,0.37,27.75
2017-06-06,92,37.0,,0.37,34.04
2017-06-07,81,37.0,,0.37,29.97
2017-06-08,74,37.0,,0.37,27.38
2017-06-09,94,37.0,,0.37,34.78
2017-06-10,79,37.0,,0.37,29.23
2017-06-11,60,37.0,,0.37,22.2
2017-06-12,100,37.0,,0.37,37.0
2017-06-13,97,37.0,,0.37,35.89
2017-06-14,70,37.0,,0.37,25.9
2017-06-15,74,37.0,,0.37,27.38
2017-06-16,78,37.0,,0.37,28.86
2017-06-17,63,37.0,,0.37,23.31
2017-06-18,67,37.0,,0.37,24.79
2017-06-19,69,37.0,,0.37,25.53
2017-06-20,69,37.0,,0.37,25.53
2017-06-21,67,37.0,,0.37,24.79
2017-06-22,81,37.0,,0.37,29.97
2017-06-23,86,37.0,,0.37,31.82
2017-06-24,69,37.0,,0.37,25.53
2017-06-25,66,37.0,,0.37,24.419999999999998
2017-06-26,74,37.0,,0.37,27.38
2017-06-27,86,37.0,,0.37,31.82
2017-06-28,81,37.0,,0.37,29.97
2017-06-29,88,37.0,,0.37,32.56
2017-06-30,70,37.0,,0.37,25.9
2017-07-01,71,36.0,False,0.36,25.56
2017-07-02,92,36.0,,0.36,33.12
2017-07-03,74,36.0,,0.36,26.64
2017-07-04,78,36.0,,0.36,28.08
2017-07-05,75,36.0,,0.36,27.0
2017-07-06,73,36.0,,0.36,26.279999999999998
2017-07-07,91,36.0,,0.36,32.76
2017-07-08,85,36.0,,0.36,30.599999999999998
2017-07-09,90,36.0,,0.36,32.4
2017-07-10,77,36.0,,0.36,27.72
2017-07-11,89,36.0,,0.36,32.04
2017-07-12,66,36.0,,0.36,23.759999999999998
2017-07-13,75,36.0,,0.36,27.0
2017-07-14,78,36.0,,0.36,28.08
2017-07-15,82,36.0,,0.36,29.52
2017-07-16,69,36.0,,0.36,24.84
2017-07-17,63,36.0,,0.36,22.68
2017-07-18,100,36.0,,0.36,36.0
2017-07-19,86,36.0,,0.36,30.959999999999997
2017-07-20,72,36.0,,0.36,25.919999999999998
2017-07-21,86,36.0,,0.36,30.959999999999997
2017-07-22,74,36.0,,0.36,26.64
2017-07-23,82,36.0,,0.36,29.52
2017-07-24,88,36.0,,0.36,31.68
2017-07-25,86,36.0,,0.36,30.959999999999997
2017-07-26,73,36.0,,0.36,26.279999999999998
2017-07-27,76,36.0,,0.36,27.36
2017-07-28,87,36.0,,0.36,31.32
2017-07-29,80,36.0,,0.36,28.799999999999997
2017-07-30,88,36.0,,0.36,31.68
2017-07-31,75,36.0,,0.36,27.0
2017-08-01,76,35.0,False,0.35,26.599999999999998
2017-08-02,93,35.0,,0.35,32.55
2017-08-03,76,35.0,,0.35,26.599999999999998
2017-08-04,90,35.0,,0.35,31.499999999999996
2017-08-05,74,35.0,,0.35,25.9
2017-08-06,89,35.0,,0.35,31.15
2017-08-07,90,35.0,,0.35,31.499999999999996
2017-08-08,72,35.0,,0.35,25.2
2017-08-09,79,35.0,,0.35,27.65
2017-08-10,100,35.0,,0.35,35.0
2017-08-11,78,35.0,,0.35,27.299999999999997
2017-08-12,70,35.0,,0.35,24.5
2017-08-13,72,35.0,,0.35,25.2
2017-08-14,89,35.0,,0.35,31.15
2017-08-15,89,35.0,,0.35,31.15
2017-08-16,68,35.0,,0.35,23.799999999999997
2017-08-17,80,35.0,,0.35,28.0
2017-08-18,81,35.0,,0.35,28.349999999999998
2017-08-19,62,35.0,,0.35,21.7
2017-08-20,72,35.0,,0.35,25.2
2017-08-21,87,35.0,,0.35,30.45
2017-08-22,89,35.0,,0.35,31.15
2017-08-23,81,35.0,,0.35,28.349999999999998
2017-08-24,84,35.0,,0.35,29.4
2017-08-25,76,35.0,,0.35,26.599999999999998
2017-08-26,69,35.0,,0.35,24.15
2017-08-27,71,35.0,,0.35,24.849999999999998
2017-08-28,56,35.0,,0.35,19.599999999999998
2017-08-29,79,35.0,,0.35,27.65
2017-08-30,63,35.0,,0.35,22.049999999999997
2017-08-31,76,35.0,,0.35,26.599999999999998
2017-09-01,37,38.0,False,0.38,14.06
2017-09-02,28,38.0,,0.38,10.64
2017-09-03,40,38.0,,0.38,15.2
2017-09-04,31,38.0,,0.38,11.78
2017-09-05,32,38.0,,0.38,12.16
2017-09-06,33,38.0,,0.38,12.540000000000001
2017-09-07,34,38.0,,0.38,12.92
2017-09-08,38,38.0,,0.38,14.44
2017-09-09,35,38.0,,0.38,13.3
2017-09-10,40,38.0,,0.38,15.2
2017-09-11,34,38.0,,0.38,12.92
2017-09-12,33,38.0,,0.38,12.540000000000001
2017-09-13,40,38.0,,0.38,15.2
2017-09-14,74,38.0,,0.38,28.12
2017-09-15,100,38.0,,0.38,38.0
2017-09-16,64,38.0,,0.38,24.32
2017-09-17,45,38.0,,0.38,17.1
2017-09-18,39,38.0,,0.38,14.82
2017-09-19,37,38.0,,0.38,14.06
2017-09-20,40,38.0,,0.38,15.2
2017-09-21,30,38.0,,0.38,11.4
2017-09-22,38,38.0,,0.38,14.44
2017-09-23,42,38.0,,0.38,15.96
2017-09-24,43,38.0,,0.38,16.34
2017-09-25,35,38.0,,0.38,13.3
2017-09-26,41,38.0,,0.38,15.58
2017-09-27,33,38.0,,0.38,12.540000000000001
2017-09-28,40,38.0,,0.38,15.2
2017-09-29,35,38.0,,0.38,13.3
2017-09-30,32,38.0,,0.38,12.16
2017-10-01,59,36.0,False,0.36,21.24
2017-10-02,56,36.0,,0.36,20.16
2017-10-03,75,36.0,,0.36,27.0
2017-10-04,73,36.0,,0.36,26.279999999999998
2017-10-05,84,36.0,,0.36,30.24
2017-10-06,84,36.0,,0.36,30.24
2017-10-07,79,36.0,,0.36,28.439999999999998
2017-10-08,67,36.0,,0.36,24.119999999999997
2017-10-09,75,36.0,,0.36,27.0
2017-10-10,72,36.0,,0.36,25.919999999999998
2017-10-11,76,36.0,,0.36,27.36
2017-10-12,60,36.0,,0.36,21.599999999999998
2017-10-13,67,36.0,,0.36,24.119999999999997
2017-10-14,71,36.0,,0.36,25.56
2017-10-15,82,36.0,,0.36,29.52
2017-10-16,87,36.0,,0.36,31.32
2017-10-17,80,36.0,,0.36,28.799999999999997
2017-10-18,77,36.0,,0.36,27.72
2017-10-19,80,36.0,,0.36,28.799999999999997
2017-10-20,94,36.0,,0.36,33.839999999999996
2017-10-21,73,36.0,,0.36,26.279999999999998
2017-10-22,76,36.0,,0.36,27.36
2017-10-23,72,36.0,,0.36,25.919999999999998
2017-10-24,82,36.0,,0.36,29.52
2017-10-25,83,36.0,,0.36,29.88
2017-10-26,92,36.0,,0.36,33.12
2017-10-27,84,36.0,,0.36,30.24
2017-10-28,86,36.0,,0.36,30.959999999999997
2017-10-29,99,36.0,,0.36,35.64
2017-10-30,71,36.0,,0.36,25.56
2017-10-31,100,36.0,,0.36,36.0
2017-11-01,90,36.0,False,0.36,32.4
2017-11-02,74,36.0,,0.36,26.64
2017-11-03,83,36.0,,0.36,29.88
2017-11-04,71,36.0,,0.36,25.56
2017-11-05,90,36.0,,0.36,32.4
2017-11-06,83,36.0,,0.36,29.88
2017-11-07,95,36.0,,0.36,34.199999999999996
2017-11-08,89,36.0,,0.36,32.04
2017-11-09,81,36.0,,0.36,29.16
2017-11-10,64,36.0,,0.36,23.04
2017-11-11,82,36.0,,0.36,29.52
2017-11-12,91,36.0,,0.36,32.76
2017-11-13,100,36.0,,0.36,36.0
2017-11-14,83,36.0,,0.36,29.88
2017-11-15,76,36.0,,0.36,27.36
2017-11-16,89,36.0,,0.36,32.04
2017-11-17,80,36.0,,0.36,28.799999999999997
2017-11-18,65,36.0,,0.36,23.4
2017-11-19,63,36.0,,0.36,22.68
2017-11-20,77,36.0,,0.36,27.72
2017-11-21,82,36.0,,0.36,29.52
2017-11-22,91,36.0,,0.36,32.76
2017-11-23,65,36.0,,0.36,23.4
2017-11-24,86,36.0,,0.36,30.959999999999997
2017-11-25,78,36.0,,0.36,28.08
2017-11-26,73,36.0,,0.36,26.279999999999998
2017-11-27,73,36.0,,0.36,26.279999999999998
2017-11-28,74,36.0,,0.36,26.64
2017-11-29,86,36.0,,0.36,30.959999999999997
2017-11-30,91,36.0,,0.36,32.76
2017-12-01,74,35.0,False,0.35,25.9
2017-12-02,65,35.0,,0.35,22.75
2017-12-03,82,35.0,,0.35,28.7
2017-12-04,83,35.0,,0.35,29.049999999999997
2017-12-05,85,35.0,,0.35,29.749999999999996
2017-12-06,71,35.0,,0.35,24.849999999999998
2017-12-07,69,35.0,,0.35,24.15
2017-12-08,62,35.0,,0.35,21.7
2017-12-09,67,35.0,,0.35,23.45
2017-12-10,79,35.0,,0.35,27.65
2017-12-11,76,35.0,,0.35,26.599999999999998
2017-12-12,80,35.0,,0.35,28.0
2017-12-13,76,35.0,,0.35,26.599999999999998
2017-12-14,77,35.0,,0.35,26.95
2017-12-15,76,35.0,,0.35,26.599999999999998
2017-12-16,81,35.0,,0.35,28.349999999999998
2017-12-17,86,35.0,,0.35,30.099999999999998
2017-12-18,86,35.0,,0.35,30.099999999999998
2017-12-19,78,35.0,,0.35,27.299999999999997
2017-12-20,90,35.0,,0.35,31.499999999999996
2017-12-21,99,35.0,,0.35,34.65
2017-12-22,78,35.0,,0.35,27.299999999999997
2017-12-23,77,35.0,,0.35,26.95
2017-12-24,83,35.0,,0.35,29.049999999999997
2017-12-25,92,35.0,,0.35,32.199999999999996
2017-12-26,87,35.0,,0.35,30.45
