date,SITC_unscaled,SITC_monthly,isPartial,scale,SITC
2016-07-27,20,22.0,,0.22,4.4
2016-07-28,100,22.0,,0.22,22.0
2016-07-29,0,22.0,,0.22,0.0
2016-07-30,23,22.0,,0.22,5.06
2016-07-31,24,22.0,,0.22,5.28
2016-08-01,61,29.0,False,0.29,17.689999999999998
2016-08-02,41,29.0,,0.29,11.889999999999999
2016-08-03,63,29.0,,0.29,18.27
2016-08-04,64,29.0,,0.29,18.56
2016-08-05,45,29.0,,0.29,13.049999999999999
2016-08-06,0,29.0,,0.29,0.0
2016-08-07,51,29.0,,0.29,14.79
2016-08-08,21,29.0,,0.29,6.09
2016-08-09,21,29.0,,0.29,6.09
2016-08-10,0,29.0,,0.29,0.0
2016-08-11,67,29.0,,0.29,19.43
2016-08-12,67,29.0,,0.29,19.43
2016-08-13,100,29.0,,0.29,28.999999999999996
2016-08-14,0,29.0,,0.29,0.0
2016-08-15,0,29.0,,0.29,0.0
2016-08-16,22,29.0,,0.29,6.38
2016-08-17,22,29.0,,0.29,6.38
2016-08-18,90,29.0,,0.29,26.099999999999998
2016-08-19,23,29.0,,0.29,6.67
2016-08-20,0,29.0,,0.29,0.0
2016-08-21,52,29.0,,0.29,15.079999999999998
2016-08-22,22,29.0,,0.29,6.38
2016-08-23,22,29.0,,0.29,6.38
2016-08-24,0,29.0,,0.29,0.0
2016-08-25,0,29.0,,0.29,0.0
2016-08-26,21,29.0,,0.29,6.09
2016-08-27,0,29.0,,0.29,0.0
2016-08-28,0,29.0,,0.29,0.0
2016-08-29,0,29.0,,0.29,0.0
2016-08-30,20,29.0,,0.29,5.8
2016-08-31,80,29.0,,0.29,23.2
2016-09-01,39,32.0,False,0.32,12.48
2016-09-02,0,32.0,,0.32,0.0
2016-09-03,23,32.0,,0.32,7.36
2016-09-04,24,32.0,,0.32,7.68
2016-09-05,0,32.0,,0.32,0.0
2016-09-06,78,32.0,,0.32,24.96
2016-09-07,19,32.0,,0.32,6.08
2016-09-08,39,32.0,,0.32,12.48
2016-09-09,0,32.0,,0.32,0.0
2016-09-10,23,32.0,,0.32,7.36
2016-09-11,0,32.0,,0.32,0.0
2016-09-12,38,32.0,,0.32,12.16
2016-09-13,58,32.0,,0.32,18.56
2016-09-14,58,32.0,,0.32,18.56
2016-09-15,0,32.0,,0.32,0.0
2016-09-16,40,32.0,,0.32,12.8
2016-09-17,0,32.0,,0.32,0.0
2016-09-18,22,32.0,,0.32,7.04
2016-09-19,38,32.0,,0.32,12.16
2016-09-20,77,32.0,,0.32,24.64
2016-09-21,38,32.0,,0.32,12.16
2016-09-22,59,32.0,,0.32,18.88
2016-09-23,100,32.0,,0.32,32.0
2016-09-24,0,32.0,,0.32,0.0
2016-09-25,0,32.0,,0.32,0.0
2016-09-26,96,32.0,,0.32,30.72
2016-09-27,39,32.0,,0.32,12.48
2016-09-28,58,32.0,,0.32,18.56
2016-09-29,39,32.0,,0.32,12.48
2016-09-30,20,32.0,,0.32,6.4
2016-10-01,35,42.0,False,0.42,14.7
2016-10-02,0,42.0,,0.42,0.0
2016-10-03,57,42.0,,0.42,23.939999999999998
2016-10-04,57,42.0,,0.42,23.939999999999998
2016-10-05,14,42.0,,0.42,5.88
2016-10-06,58,42.0,,0.42,24.36
2016-10-07,15,42.0,,0.42,6.3
2016-10-08,0,42.0,,0.42,0.0
2016-10-09,0,42.0,,0.42,0.0
2016-10-10,15,42.0,,0.42,6.3
2016-10-11,44,42.0,,0.42,18.48
2016-10-12,15,42.0,,0.42,6.3
2016-10-13,29,42.0,,0.42,12.18
2016-10-14,30,42.0,,0.42,12.6
2016-10-15,0,42.0,,0.42,0.0
2016-10-16,34,42.0,,0.42,14.28
2016-10-17,87,42.0,,0.42,36.54
2016-10-18,0,42.0,,0.42,0.0
2016-10-19,59,42.0,,0.42,24.779999999999998
2016-10-20,29,42.0,,0.42,12.18
2016-10-21,15,42.0,,0.42,6.3
2016-10-22,55,42.0,,0.42,23.099999999999998
2016-10-23,35,42.0,,0.42,14.7
2016-10-24,100,42.0,,0.42,42.0
2016-10-25,29,42.0,,0.42,12.18
2016-10-26,43,42.0,,0.42,18.06
2016-10-27,72,42.0,,0.42,30.24
2016-10-28,76,42.0,,0.42,31.919999999999998
2016-10-29,18,42.0,,0.42,7.56
2016-10-30,0,42.0,,0.42,0.0
2016-10-31,58,42.0,,0.42,24.36
2016-11-01,55,55.0,False,0.55,30.250000000000004
2016-11-02,26,55.0,,0.55,14.3
2016-11-03,34,55.0,,0.55,18.700000000000003
2016-11-04,36,55.0,,0.55,19.8
2016-11-05,11,55.0,,0.55,6.050000000000001
2016-11-06,21,55.0,,0.55,11.55
2016-11-07,34,55.0,,0.55,18.700000000000003
2016-11-08,100,55.0,,0.55,55.00000000000001
2016-11-09,48,55.0,,0.55,26.400000000000002
2016-11-10,62,55.0,,0.55,34.1
2016-11-11,73,55.0,,0.55,40.150000000000006
2016-11-12,73,55.0,,0.55,40.150000000000006
2016-11-13,21,55.0,,0.55,11.55
2016-11-14,43,55.0,,0.55,23.650000000000002
2016-11-15,17,55.0,,0.55,9.350000000000001
2016-11-16,0,55.0,,0.55,0.0
2016-11-17,18,55.0,,0.55,9.9
2016-11-18,18,55.0,,0.55,9.9
2016-11-19,21,55.0,,0.55,11.55
2016-11-20,0,55.0,,0.55,0.0
2016-11-21,9,55.0,,0.55,4.95
2016-11-22,27,55.0,,0.55,14.850000000000001
2016-11-23,9,55.0,,0.55,4.95
2016-11-24,0,55.0,,0.55,0.0
2016-11-25,0,55.0,,0.55,0.0
2016-11-26,20,55.0,,0.55,11.0
2016-11-27,0,55.0,,0.55,0.0
2016-11-28,16,55.0,,0.55,8.8
2016-11-29,16,55.0,,0.55,8.8
2016-11-30,16,55.0,,0.55,8.8
2016-12-01,64,13.0,False,0.13,8.32
2016-12-02,33,13.0,,0.13,4.29
2016-12-03,38,13.0,,0.13,4.94
2016-12-04,0,13.0,,0.13,0.0
2016-12-05,57,13.0,,0.13,7.41
2016-12-06,0,13.0,,0.13,0.0
2016-12-07,32,13.0,,0.13,4.16
2016-12-08,0,13.0,,0.13,0.0
2016-12-09,100,13.0,,0.13,13.0
2016-12-10,40,13.0,,0.13,5.2
2016-12-11,37,13.0,,0.13,4.8100000000000005
2016-12-12,31,13.0,,0.13,4.03
2016-12-13,31,13.0,,0.13,4.03
2016-12-14,0,13.0,,0.13,0.0
2016-12-15,65,13.0,,0.13,8.450000000000001
2016-12-16,0,13.0,,0.13,0.0
2016-12-17,40,13.0,,0.13,5.2
2016-12-18,39,13.0,,0.13,5.07
2016-12-19,33,13.0,,0.13,4.29
2016-12-20,34,13.0,,0.13,4.42
2016-12-21,35,13.0,,0.13,4.55
2016-12-22,0,13.0,,0.13,0.0
2016-12-23,0,13.0,,0.13,0.0
2016-12-24,0,13.0,,0.13,0.0
2016-12-25,44,13.0,,0.13,5.720000000000001
2016-12-26,77,13.0,,0.13,10.01
2016-12-27,0,13.0,,0.13,0.0
2016-12-28,0,13.0,,0.13,0.0
2016-12-29,0,13.0,,0.13,0.0
2016-12-30,0,13.0,,0.13,0.0
2016-12-31,37,13.0,,0.13,4.8100000000000005
2017-01-01,0,17.0,False,0.17,0.0
2017-01-02,36,17.0,,0.17,6.12
2017-01-03,33,17.0,,0.17,5.61
2017-01-04,0,17.0,,0.17,0.0
2017-01-05,34,17.0,,0.17,5.78
2017-01-06,100,17.0,,0.17,17.0
2017-01-07,38,17.0,,0.17,6.460000000000001
2017-01-08,0,17.0,,0.17,0.0
2017-01-09,64,17.0,,0.17,10.88
2017-01-10,32,17.0,,0.17,5.44
2017-01-11,65,17.0,,0.17,11.05
2017-01-12,33,17.0,,0.17,5.61
2017-01-13,33,17.0,,0.17,5.61
2017-01-14,77,17.0,,0.17,13.090000000000002
2017-01-15,37,17.0,,0.17,6.29
2017-01-16,66,17.0,,0.17,11.22
2017-01-17,32,17.0,,0.17,5.44
2017-01-18,0,17.0,,0.17,0.0
2017-01-19,64,17.0,,0.17,10.88
2017-01-20,32,17.0,,0.17,5.44
2017-01-21,0,17.0,,0.17,0.0
2017-01-22,0,17.0,,0.17,0.0
2017-01-23,61,17.0,,0.17,10.370000000000001
2017-01-24,32,17.0,,0.17,5.44
2017-01-25,31,17.0,,0.17,5.2700000000000005
2017-01-26,63,17.0,,0.17,10.71
2017-01-27,0,17.0,,0.17,0.0
2017-01-28,0,17.0,,0.17,0.0
2017-01-29,38,17.0,,0.17,6.460000000000001
2017-01-30,0,17.0,,0.17,0.0
2017-01-31,63,17.0,,0.17,10.71
2017-02-01,20,24.0,False,0.24,4.8
2017-02-02,40,24.0,,0.24,9.6
2017-02-03,42,24.0,,0.24,10.08
2017-02-04,0,24.0,,0.24,0.0
2017-02-05,0,24.0,,0.24,0.0
2017-02-06,19,24.0,,0.24,4.56
2017-02-07,40,24.0,,0.24,9.6
2017-02-08,20,24.0,,0.24,4.8
2017-02-09,41,24.0,,0.24,9.84
2017-02-10,21,24.0,,0.24,5.04
2017-02-11,0,24.0,,0.24,0.0
2017-02-12,24,24.0,,0.24,5.76
2017-02-13,0,24.0,,0.24,0.0
2017-02-14,40,24.0,,0.24,9.6
2017-02-15,62,24.0,,0.24,14.879999999999999
2017-02-16,61,24.0,,0.24,14.639999999999999
2017-02-17,0,24.0,,0.24,0.0
2017-02-18,0,24.0,,0.24,0.0
2017-02-19,0,24.0,,0.24,0.0
2017-02-20,21,24.0,,0.24,5.04
2017-02-21,40,24.0,,0.24,9.6
2017-02-22,40,24.0,,0.24,9.6
2017-02-23,100,24.0,,0.24,24.0
2017-02-24,62,24.0,,0.24,14.879999999999999
2017-02-25,0,24.0,,0.24,0.0
2017-02-26,69,24.0,,0.24,16.56
2017-02-27,56,24.0,,0.24,13.44
2017-02-28,19,24.0,,0.24,4.56
2017-03-01,0,18.0,False,0.18,0.0
2017-03-02,32,18.0,,0.18,5.76
2017-03-03,33,18.0,,0.18,5.9399999999999995
2017-03-04,0,18.0,,0.18,0.0
2017-03-05,39,18.0,,0.18,7.02
2017-03-06,31,18.0,,0.18,5.58
2017-03-07,30,18.0,,0.18,5.3999999999999995
2017-03-08,64,18.0,,0.18,11.52
2017-03-09,0,18.0,,0.18,0.0
2017-03-10,0,18.0,,0.18,0.0
2017-03-11,39,18.0,,0.18,7.02
2017-03-12,0,18.0,,0.18,0.0
2017-03-13,30,18.0,,0.18,5.3999999999999995
2017-03-14,64,18.0,,0.18,11.52
2017-03-15,99,18.0,,0.18,17.82
2017-03-16,33,18.0,,0.18,5.9399999999999995
2017-03-17,34,18.0,,0.18,6.12
2017-03-18,78,18.0,,0.18,14.04
2017-03-19,0,18.0,,0.18,0.0
2017-03-20,32,18.0,,0.18,5.76
2017-03-21,0,18.0,,0.18,0.0
2017-03-22,33,18.0,,0.18,5.9399999999999995
2017-03-23,33,18.0,,0.18,5.9399999999999995
2017-03-24,34,18.0,,0.18,6.12
2017-03-25,39,18.0,,0.18,7.02
2017-03-26,0,18.0,,0.18,0.0
2017-03-27,97,18.0,,0.18,17.46
2017-03-28,33,18.0,,0.18,5.9399999999999995
2017-03-29,99,18.0,,0.18,17.82
2017-03-30,100,18.0,,0.18,18.0
2017-03-31,0,18.0,,0.18,0.0
2017-04-01,100,20.0,False,0.2,20.0
2017-04-02,25,20.0,,0.2,5.0
2017-04-03,40,20.0,,0.2,8.0
2017-04-04,21,20.0,,0.2,4.2
2017-04-05,0,20.0,,0.2,0.0
2017-04-06,0,20.0,,0.2,0.0
2017-04-07,21,20.0,,0.2,4.2
2017-04-08,0,20.0,,0.2,0.0
2017-04-09,0,20.0,,0.2,0.0
2017-04-10,42,20.0,,0.2,8.4
2017-04-11,21,20.0,,0.2,4.2
2017-04-12,63,20.0,,0.2,12.600000000000001
2017-04-13,0,20.0,,0.2,0.0
2017-04-14,23,20.0,,0.2,4.6000000000000005
2017-04-15,78,20.0,,0.2,15.600000000000001
2017-04-16,0,20.0,,0.2,0.0
2017-04-17,63,20.0,,0.2,12.600000000000001
2017-04-18,61,20.0,,0.2,12.200000000000001
2017-04-19,0,20.0,,0.2,0.0
2017-04-20,41,20.0,,0.2,8.200000000000001
2017-04-21,0,20.0,,0.2,0.0
2017-04-22,25,20.0,,0.2,5.0
2017-04-23,0,20.0,,0.2,0.0
2017-04-24,41,20.0,,0.2,8.200000000000001
2017-04-25,20,20.0,,0.2,4.0
2017-04-26,20,20.0,,0.2,4.0
2017-04-27,21,20.0,,0.2,4.2
2017-04-28,42,20.0,,0.2,8.4
2017-04-29,0,20.0,,0.2,0.0
2017-04-30,0,20.0,,0.2,0.0
2017-05-01,40,15.0,False,0.15,6.0
2017-05-02,40,15.0,,0.15,6.0
2017-05-03,81,15.0,,0.15,12.15
2017-05-04,41,15.0,,0.15,6.1499999999999995
2017-05-05,43,15.0,,0.15,6.45
2017-05-06,100,15.0,,0.15,15.0
2017-05-07,51,15.0,,0.15,7.6499999999999995
2017-05-08,41,15.0,,0.15,6.1499999999999995
2017-05-09,41,15.0,,0.15,6.1499999999999995
2017-05-10,0,15.0,,0.15,0.0
2017-05-11,42,15.0,,0.15,6.3
2017-05-12,0,15.0,,0.15,0.0
2017-05-13,52,15.0,,0.15,7.8
2017-05-14,0,15.0,,0.15,0.0
2017-05-15,87,15.0,,0.15,13.049999999999999
2017-05-16,44,15.0,,0.15,6.6
2017-05-17,0,15.0,,0.15,0.0
2017-05-18,44,15.0,,0.15,6.6
2017-05-19,45,15.0,,0.15,6.75
2017-05-20,54,15.0,,0.15,8.1
2017-05-21,0,15.0,,0.15,0.0
2017-05-22,44,15.0,,0.15,6.6
2017-05-23,43,15.0,,0.15,6.45
2017-05-24,89,15.0,,0.15,13.35
2017-05-25,44,15.0,,0.15,6.6
2017-05-26,48,15.0,,0.15,7.199999999999999
2017-05-27,0,15.0,,0.15,0.0
2017-05-28,0,15.0,,0.15,0.0
2017-05-29,0,15.0,,0.15,0.0
2017-05-30,44,15.0,,0.15,6.6
2017-05-31,43,15.0,,0.15,6.45
2017-06-01,0,22.0,False,0.22,0.0
2017-06-02,33,22.0,,0.22,7.26
2017-06-03,0,22.0,,0.22,0.0
2017-06-04,37,22.0,,0.22,8.14
2017-06-05,0,22.0,,0.22,0.0
2017-06-06,30,22.0,,0.22,6.6
2017-06-07,31,22.0,,0.22,6.82
2017-06-08,93,22.0,,0.22,20.46
2017-06-09,0,22.0,,0.22,0.0
2017-06-10,0,22.0,,0.22,0.0
2017-06-11,38,22.0,,0.22,8.36
2017-06-12,62,22.0,,0.22,13.64
2017-06-13,0,22.0,,0.22,0.0
2017-06-14,31,22.0,,0.22,6.82
2017-06-15,0,22.0,,0.22,0.0
2017-06-16,96,22.0,,0.22,21.12
2017-06-17,0,22.0,,0.22,0.0
2017-06-18,0,22.0,,0.22,0.0
2017-06-19,62,22.0,,0.22,13.64
2017-06-20,88,22.0,,0.22,19.36
2017-06-21,90,22.0,,0.22,19.8
2017-06-22,30,22.0,,0.22,6.6
2017-06-23,91,22.0,,0.22,20.02
2017-06-24,0,22.0,,0.22,0.0
2017-06-25,38,22.0,,0.22,8.36
2017-06-26,95,22.0,,0.22,20.9
2017-06-27,0,22.0,,0.22,0.0
2017-06-28,100,22.0,,0.22,22.0
2017-06-29,100,22.0,,0.22,22.0
2017-06-30,34,22.0,,0.22,7.48
2017-07-01,0,37.0,False,0.37,0.0
2017-07-02,0,37.0,,0.37,0.0
2017-07-03,18,37.0,,0.37,6.66
2017-07-04,20,37.0,,0.37,7.4
2017-07-05,71,37.0,,0.37,26.27
2017-07-06,17,37.0,,0.37,6.29
2017-07-07,34,37.0,,0.37,12.58
2017-07-08,19,37.0,,0.37,7.03
2017-07-09,20,37.0,,0.37,7.4
2017-07-10,67,37.0,,0.37,24.79
2017-07-11,17,37.0,,0.37,6.29
2017-07-12,33,37.0,,0.37,12.209999999999999
2017-07-13,84,37.0,,0.37,31.08
2017-07-14,0,37.0,,0.37,0.0
2017-07-15,20,37.0,,0.37,7.4
2017-07-16,40,37.0,,0.37,14.8
2017-07-17,0,37.0,,0.37,0.0
2017-07-18,50,37.0,,0.37,18.5
2017-07-19,50,37.0,,0.37,18.5
2017-07-20,17,37.0,,0.37,6.29
2017-07-21,34,37.0,,0.37,12.58
2017-07-22,19,37.0,,0.37,7.03
2017-07-23,19,37.0,,0.37,7.03
2017-07-24,50,37.0,,0.37,18.5
2017-07-25,100,37.0,,0.37,37.0
2017-07-26,49,37.0,,0.37,18.13
2017-07-27,50,37.0,,0.37,18.5
2017-07-28,51,37.0,,0.37,18.87
2017-07-29,39,37.0,,0.37,14.43
2017-07-30,59,37.0,,0.37,21.83
2017-07-31,50,37.0,,0.37,18.5
2017-08-01,98,29.0,False,0.29,28.419999999999998
2017-08-02,23,29.0,,0.29,6.67
2017-08-03,0,29.0,,0.29,0.0
2017-08-04,26,29.0,,0.29,7.539999999999999
2017-08-05,88,29.0,,0.29,25.52
2017-08-06,30,29.0,,0.29,8.7
2017-08-07,48,29.0,,0.29,13.919999999999998
2017-08-08,24,29.0,,0.29,6.959999999999999
2017-08-09,25,29.0,,0.29,7.249999999999999
2017-08-10,77,29.0,,0.29,22.33
2017-08-11,51,29.0,,0.29,14.79
2017-08-12,0,29.0,,0.29,0.0
2017-08-13,29,29.0,,0.29,8.41
2017-08-14,75,29.0,,0.29,21.75
2017-08-15,75,29.0,,0.29,21.75
2017-08-16,25,29.0,,0.29,7.249999999999999
2017-08-17,100,29.0,,0.29,28.999999999999996
2017-08-18,50,29.0,,0.29,14.499999999999998
2017-08-19,0,29.0,,0.29,0.0
2017-08-20,0,29.0,,0.29,0.0
2017-08-21,47,29.0,,0.29,13.629999999999999
2017-08-22,49,29.0,,0.29,14.209999999999999
2017-08-23,25,29.0,,0.29,7.249999999999999
2017-08-24,49,29.0,,0.29,14.209999999999999
2017-08-25,0,29.0,,0.29,0.0
2017-08-26,0,29.0,,0.29,0.0
2017-08-27,54,29.0,,0.29,15.659999999999998
2017-08-28,25,29.0,,0.29,7.249999999999999
2017-08-29,72,29.0,,0.29,20.88
2017-08-30,24,29.0,,0.29,6.959999999999999
2017-08-31,48,29.0,,0.29,13.919999999999998
2017-09-01,13,50.0,False,0.5,6.5
2017-09-02,15,50.0,,0.5,7.5
2017-09-03,0,50.0,,0.5,0.0
2017-09-04,14,50.0,,0.5,7.0
2017-09-05,25,50.0,,0.5,12.5
2017-09-06,73,50.0,,0.5,36.5
2017-09-07,0,50.0,,0.5,0.0
2017-09-08,25,50.0,,0.5,12.5
2017-09-09,15,50.0,,0.5,7.5
2017-09-10,15,50.0,,0.5,7.5
2017-09-11,50,50.0,,0.5,25.0
2017-09-12,38,50.0,,0.5,19.0
2017-09-13,0,50.0,,0.5,0.0
2017-09-14,64,50.0,,0.5,32.0
2017-09-15,65,50.0,,0.5,32.5
2017-09-16,15,50.0,,0.5,7.5
2017-09-17,0,50.0,,0.5,0.0
2017-09-18,100,50.0,,0.5,50.0
2017-09-19,63,50.0,,0.5,31.5
2017-09-20,50,50.0,,0.5,25.0
2017-09-21,38,50.0,,0.5,19.0
2017-09-22,26,50.0,,0.5,13.0
2017-09-23,16,50.0,,0.5,8.0
2017-09-24,91,50.0,,0.5,45.5
2017-09-25,64,50.0,,0.5,32.0
2017-09-26,89,50.0,,0.5,44.5
2017-09-27,89,50.0,,0.5,44.5
2017-09-28,51,50.0,,0.5,25.5
2017-09-29,39,50.0,,0.5,19.5
2017-09-30,0,50.0,,0.5,0.0
2017-10-01,27,56.0,False,0.56,15.120000000000001
2017-10-02,43,56.0,,0.56,24.080000000000002
2017-10-03,88,56.0,,0.56,49.28
2017-10-04,56,56.0,,0.56,31.360000000000003
2017-10-05,11,56.0,,0.56,6.16
2017-10-06,34,56.0,,0.56,19.040000000000003
2017-10-07,0,56.0,,0.56,0.0
2017-10-08,26,56.0,,0.56,14.560000000000002
2017-10-09,44,56.0,,0.56,24.64
2017-10-10,43,56.0,,0.56,24.080000000000002
2017-10-11,22,56.0,,0.56,12.32
2017-10-12,67,56.0,,0.56,37.52
2017-10-13,34,56.0,,0.56,19.040000000000003
2017-10-14,13,56.0,,0.56,7.280000000000001
2017-10-15,26,56.0,,0.56,14.560000000000002
2017-10-16,22,56.0,,0.56,12.32
2017-10-17,34,56.0,,0.56,19.040000000000003
2017-10-18,78,56.0,,0.56,43.68000000000001
2017-10-19,23,56.0,,0.56,12.88
2017-10-20,47,56.0,,0.56,26.320000000000004
2017-10-21,0,56.0,,0.56,0.0
2017-10-22,0,56.0,,0.56,0.0
2017-10-23,33,56.0,,0.56,18.48
2017-10-24,66,56.0,,0.56,36.96
2017-10-25,100,56.0,,0.56,56.00000000000001
2017-10-26,33,56.0,,0.56,18.48
2017-10-27,58,56.0,,0.56,32.480000000000004
2017-10-28,0,56.0,,0.56,0.0
2017-10-29,66,56.0,,0.56,36.96
2017-10-30,66,56.0,,0.56,36.96
2017-10-31,23,56.0,,0.56,12.88
2017-11-01,62,62.0,False,0.62,38.44
2017-11-02,33,62.0,,0.62,20.46
2017-11-03,21,62.0,,0.62,13.02
2017-11-04,32,62.0,,0.62,19.84
2017-11-05,16,62.0,,0.62,9.92
2017-11-06,47,62.0,,0.62,29.14
2017-11-07,100,62.0,,0.62,62.0
2017-11-08,59,62.0,,0.62,36.58
2017-11-09,60,62.0,,0.62,37.2
2017-11-10,36,62.0,,0.62,22.32
2017-11-11,48,62.0,,0.62,29.759999999999998
2017-11-12,24,62.0,,0.62,14.879999999999999
2017-11-13,33,62.0,,0.62,20.46
2017-11-14,26,62.0,,0.62,16.12
2017-11-15,13,62.0,,0.62,8.06
2017-11-16,20,62.0,,0.62,12.4
2017-11-17,14,62.0,,0.62,8.68
2017-11-18,24,62.0,,0.62,14.879999999999999
2017-11-19,16,62.0,,0.62,9.92
2017-11-20,27,62.0,,0.62,16.74
2017-11-21,14,62.0,,0.62,8.68
2017-11-22,15,62.0,,0.62,9.3
2017-11-23,0,62.0,,0.62,0.0
2017-11-24,0,62.0,,0.62,0.0
2017-11-25,16,62.0,,0.62,9.92
2017-11-26,0,62.0,,0.62,0.0
2017-11-27,13,62.0,,0.62,8.06
2017-11-28,0,62.0,,0.62,0.0
2017-11-29,13,62.0,,0.62,8.06
2017-11-30,7,62.0,,0.62,4.34
2017-12-01,41,16.0,False,0.16,6.5600000000000005
2017-12-02,24,16.0,,0.16,3.84
2017-12-03,24,16.0,,0.16,3.84
2017-12-04,40,16.0,,0.16,6.4
2017-12-05,0,16.0,,0.16,0.0
2017-12-06,20,16.0,,0.16,3.2
2017-12-07,61,16.0,,0.16,9.76
2017-12-08,21,16.0,,0.16,3.36
2017-12-09,0,16.0,,0.16,0.0
2017-12-10,0,16.0,,0.16,0.0
2017-12-11,20,16.0,,0.16,3.2
2017-12-12,20,16.0,,0.16,3.2
2017-12-13,100,16.0,,0.16,16.0
2017-12-14,0,16.0,,0.16,0.0
2017-12-15,64,16.0,,0.16,10.24
2017-12-16,0,16.0,,0.16,0.0
2017-12-17,0,16.0,,0.16,0.0
2017-12-18,21,16.0,,0.16,3.36
2017-12-19,0,16.0,,0.16,0.0
2017-12-20,65,16.0,,0.16,10.4
2017-12-21,22,16.0,,0.16,3.52
2017-12-22,23,16.0,,0.16,3.68
2017-12-23,26,16.0,,0.16,4.16
2017-12-24,0,16.0,,0.16,0.0
2017-12-25,0,16.0,,0.16,0.0
2017-12-26,0,16.0,,0.16,0.0
2017-12-27,46,16.0,,0.16,7.36
2017-12-28,0,16.0,,0.16,0.0
2017-12-29,0,16.0,,0.16,0.0
2017-12-30,0,16.0,,0.16,0.0
2017-12-31,0,16.0,,0.16,0.0
2018-01-01,39,34.0,False,0.34,13.260000000000002
2018-01-02,100,34.0,,0.34,34.0
2018-01-03,33,34.0,,0.34,11.22
2018-01-04,50,34.0,,0.34,17.0
